267a38086fc8c997d328b8331b42e23fd95bf2ecf48425ba9309af26e926109d,85ad9c30d3e3ca179bcb020b58b5428a01b8d1078a50ca512aa2dbd3261e24e2,4971384c9115aa6785d9589d2657d68e3af98749f33966fa5f949fc901e2fa17,ccf29338ad3819ea7cc21358097c8d99792bb070f9a5900ec0a3263faa6d9f3f,ceb3ff4e13f4f355e458edd4bc212d0cecac864b06b8b8c7ec55d2c0a0151753,468190e3d8aafb6c13f07297ee3761f5209f34c47a7b7bab664da26ba25e264d,8e6f3a163dd4e595244331a2a25951f2a5336bd9d507afc0e4f22f0ffb310c6f,f9f485185aac2379c7e9ae6b8f7d804e55063c5277253cb1d5d800b34a5b992e,c88c20f533b1b4dde18730748e146434f671532d270ac3b1c5127e8e71ccf03a,3ee88c327c8b13701b4bc801fd52a9a61a0474f8d44580767c03fe61413c84d7,9044d55bfdfce0a7ae8dee85f3ec52f4ad734327a11376bbc1b443de3166cabe,e6bec4a35f7a86e156161b327cb6c61da74bb8a8afa17ef13a8b35fa61bd63be,1d6295b565af6d7823aa44023f91a379ad0e043b243613f654a600650b2348d1,a44355f2d014d310e392706e80e4ccea895ef18f98f40cfa630eb926045ba1d3,e1fc04827ea5aeec81282a866e2bfe14ca8489c3b746b9b3ba1dd4a344111586,3f85abacc47b0ec2f6da5010c72fef152829f973ce5b43e200d053f99f5bdf97,e063b81bf3e77b11dd6ec6659f9887a83f068058f445a0cdad959595346db35a,b584d24dc6c736e29b6fd3e97ca06f86897bc8e98d3f3f13786a16c619a83c90
"16","100584","2","bgm_M220","bgm_M220","2020/04/01 12:59:59","1002002","1250000000000","750000000001","巨影復活","300","0","4004102","バトル オブ ランドソル 巨影復活　～04/01 23：59","1","1002","0","2020/04/01 8:00:00"
"17","100584","3","bgm_M220","bgm_M220","2020/04/01 17:59:59","1002003","750000000000","250000000001","巨影復活","300","0","4004103","バトル オブ ランドソル 巨影復活　～04/01 23：59","1","1002","0","2020/04/01 13:00:00"
"18","100584","1","bgm_M220","bgm_M220","2020/04/01 19:59:59","1002001","250000000000","125000000001","巨影復活","120","0","4004104","バトル オブ ランドソル 巨影復活　～04/01 23：59","1","1002","0","2020/04/01 18:00:00"
"19","100584","2","bgm_M220","bgm_M220","2020/04/01 23:59:59","1002002","125000000000","0","巨影復活","240","0","0","バトル オブ ランドソル 巨影復活　～04/01 23：59","1","1002","0","2020/04/01 20:00:00"
"22","100584","1","bgm_M220","bgm_M220","2020/04/01 7:59:59","1002004","0","0","巨影復活","480","0","4004109","バトル オブ ランドソル 巨影復活　～04/01 23：59","1","1002","0","2020/04/01"
"23","100584","2","bgm_M220","bgm_M220","2020/04/01 12:59:59","1002005","0","0","巨影復活","300","0","0","バトル オブ ランドソル 巨影復活　～04/01 23：59","1","1002","0","2020/04/01 8:00:00"
"24","100584","3","bgm_M220","bgm_M220","2020/04/01 17:59:59","1002006","0","0","巨影復活","300","0","0","バトル オブ ランドソル 巨影復活　～04/01 23：59","1","1002","0","2020/04/01 13:00:00"
"25","100584","1","bgm_M220","bgm_M220","2020/04/01 20:59:59","1002004","0","0","巨影復活","180","0","0","バトル オブ ランドソル 巨影復活　～04/01 23：59","1","1002","0","2020/04/01 18:00:00"
"26","100584","2","bgm_M220","bgm_M220","2020/04/01 21:59:59","1002005","0","0","巨影復活","60","0","0","バトル オブ ランドソル 巨影復活　～04/01 23：59","1","1002","0","2020/04/01 21:00:00"
"27","100584","3","bgm_M220","bgm_M220","2020/04/01 22:59:59","1002006","0","0","巨影復活","60","0","0","バトル オブ ランドソル 巨影復活　～04/01 23：59","1","1002","0","2020/04/01 22:00:00"
"28","100584","1","bgm_M220","bgm_M220","2020/04/01 23:59:59","1002004","0","0","巨影復活","60","0","0","バトル オブ ランドソル 巨影復活　～04/01 23：59","1","1002","0","2020/04/01 23:00:00"
