7c7108a75f8c3250d2822e4567e4f4239c15c063a67f861274333f10fdf712c6,5cd5e5a6b57c6ada944086c7ff204ae9c735543c5abed6daffe17f4ba9aacf76,0b2f631db07628058dddfbe5452792613b36f222cf6fd253f735b07d027b5876,de4cb3395b70d0ccc233534dc792893d8151a834e23a1bd24d7c50d3f42da0cc,192918a20525f9499471b5357ef776ac1a985d10b0854bbc1ea97926d4a82d89,582657ced54c0c073bb86308c221f330a3248748c30e59502a8b9ebc0c186d99,788e1d2e2c33e69ec8d0a8c4671030939bd8c1d550d4d32472f97904b6642eb4,12cb163ff7420882761197b7623bbed7308efc38f40053baed0630535c1d6d0e,ee9ef953a7c19cf5500d399ca5f65716ee569f57968e6b9ab0ed2c216d96ddce,2db1131a9de8b0fecfe0dc8b21eafa94162b640938ffa47e3454bbcf79ca1a75
"","13","リンド","3","2","1","出たダイスの目が{0}だった場合、\n+{1}進める","出たダイスの目が{0}だった場合、\n+{1}進める","127701","1017"
"","10","ヴルム","2","1","1","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","出たダイスの目が{0}だった場合、\nライバルを{1}ターン休みにできる","127801","1018"
"","1","ミフユ","1","10001","0","最大50％割引確定のショップを開く（1品100％割引あり）","","104801","1019"
"ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","ジュン","2","2","0","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","104701","1020"
"","6","ミサキ","1","7","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","105001","1021"
"","2","アキノ","1","10002","0","最大2000マイルを入手する","","103201","1022"
"","12","クルル","1","1","0","福引券を{0}枚入手する","","130901","1023"
"","3","スズメ","1","1","0","料理を{0}つ入手する","","102501","1024"
"","8","ユキ","2","0","0","ダイスの表と裏\nどちらを適用するか選択できる","ダイスの表と裏\nどちらを適用するか選択できる","100801","1025"
"","5","ネア","2","4","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる","123301","1026"
"","1","タマキ","1","10001","0","最大50％割引確定のショップを開く（1品100％割引あり）","","104601","1027"
"ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","ランファ","2","2","0","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","118101","1028"
"","6","ユカリ","1","7","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","103401","1029"
"","2","クレジッタ","1","10002","0","最大2000マイルを入手する","","118001","1030"
"","12","サレン","1","1","0","福引券を{0}枚入手する","","102801","1031"
"","3","ユイ","1","1","0","料理を{0}つ入手する","","100201","1032"
"","13","ハツネ","3","1","1","出たダイスの目が{0}だった場合、\n+{1}進める","出たダイスの目が{0}だった場合、\n+{1}進める","101201","1033"
"ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","ミソラ","3","1","0","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","118201","1034"
"","6","ムイミ","1","7","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","106101","1035"
"","5","シノブ","2","4","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる","103101","1036"
"","1","マヒル","1","10001","0","最大50％割引確定のショップを開く（1品100％割引あり）","","103301","1037"
"","2","キョウカ","1","10002","0","最大2000マイルを入手する","","103601","1038"
"","12","グレイス","1","1","0","福引券を{0}枚入手する","","133001","1039"
"","3","ヴァイオレット","1","1","0","料理を{0}つ入手する","","133101","1040"
"","8","ラビリスタ","2","0","0","ダイスの表と裏\nどちらを適用するか選択できる","ダイスの表と裏\nどちらを適用するか選択できる","106801","1041"
"ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","クリスティーナ","3","1","0","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","107101","1042"
"","6","ネネカ","1","7","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","107001","1043"
"","5","カヤ","2","4","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる","106501","1044"
"","1","ユニ","1","10001","0","最大50％割引確定のショップを開く（1品100％割引あり）","","111001","1045"
"","2","カノン","1","10002","0","最大2000マイルを入手する","","134901","1046"
"","12","ツムギ","1","1","0","福引券を{0}枚入手する","","105401","1047"
"","3","ホウオウ","1","1","0","料理を{0}つ入手する","","134701","1048"
"","8","ヒヨリ","2","0","0","ダイスの表と裏\nどちらを適用するか選択できる","ダイスの表と裏\nどちらを適用するか選択できる","100101","1049"
"ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","ミヤコ","3","1","0","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","100701","1050"
"","6","ニノン","1","7","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","103001","1051"
"","13","カスミ","3","2","1","出たダイスの目が{0}だった場合、\n+{1}進める","出たダイスの目が{0}だった場合、\n+{1}進める","101401","1052"
"","1","サツキ","1","10001","0","最大50％割引確定のショップを開く（1品100％割引あり）","","135901","1053"
"","2","リン","1","10002","0","最大2000マイルを入手する","","102601","1054"
"","12","イロハ","1","1","0","福引券を{0}枚入手する","","132401","1055"
"","3","ユキノ","1","1","0","料理を{0}つ入手する","","135801","1056"
"","8","レイ","2","0","0","ダイスの表と裏\nどちらを適用するか選択できる","ダイスの表と裏\nどちらを適用するか選択できる","100301","1057"
"ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","ホマレ","3","1","0","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","106701","1058"
"","6","ルイズマリー","1","7","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","132301","1059"
"","13","リマ","3","1","1","出たダイスの目が{0}だった場合、\n+{1}進める","出たダイスの目が{0}だった場合、\n+{1}進める","105201","1060"
"","1","ヨリ","1","10001","0","最大50％割引確定のショップを開く（1品100％割引あり）","","102201","1061"
"","2","アカリ","1","10002","0","最大2000マイルを入手する","","100601","1062"
"","12","ナーナ","1","1","0","福引券を{0}枚入手する","","136201","1063"
"","3","チエル","1","1","0","料理を{0}つ入手する","","110901","1064"
"","5","シオリ","2","4","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","出目が{0}のダイスを同時に振って\nどちらか選択できる","103801","1065"
"ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","ミサト","3","1","0","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","101501","1066"
"","6","ノゾミ","1","7","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","102901","1067"
"","13","カオリ","3","2","1","出たダイスの目が{0}だった場合、\n+{1}進める","出たダイスの目が{0}だった場合、\n+{1}進める","101701","1068"
"","1","ソノ","1","10001","0","最大50％割引確定のショップを開く（1品100％割引あり）","","132501","1069"
"","2","チカ","1","10002","0","最大2000マイルを入手する","","104201","1070"
"","12","リノ","1","1","0","福引券を{0}枚入手する","","101101","1071"
"","3","シズル","1","1","0","料理を{0}つ入手する","","104901","1072"
"","8","マホ","2","0","0","ダイスの表と裏\nどちらを適用するか選択できる","ダイスの表と裏\nどちらを適用するか選択できる","101001","1073"
"ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","シナツ","3","1","0","ダイスの目を{0}回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","135601","1074"
"","6","アイラ","1","7","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","135501","1075"
"","13","アユミ","3","1","1","出たダイスの目が{0}だった場合、\n+{1}進める","出たダイスの目が{0}だった場合、\n+{1}進める","105501","1076"
"","1","ヴァンピィ","1","10001","0","最大50％割引確定のショップを開く（1品100％割引あり）","","122301","1077"
"","2","メドゥーサ","1","10002","0","最大2000マイルを入手する","","133601","1078"
"","12","クルミ","1","1","0","福引券を{0}枚入手する","","102101","1079"
"","3","アヤネ","1","1","0","料理を{0}つ入手する","","102301","1080"
"","8","アメス","2","0","0","【仲間】ダイスの表と裏どちらを適用するか選択できる","ダイスの表と裏\nどちらを適用するか選択できる","123001","1081"
"ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","イリヤ","3","1","0","【仲間】ダイスの目を1回振りなおせる","ダイスの目を{0}回振りなおせる\n（あと{1}回）","104401","1082"
"","6","トモ","1","7","0","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","出目の合計が{0}以上になるまで\nダイスを追加で振れる","103701","1083"
"","13","イノリ","3","2","1","【仲間】出たダイスの目が偶数だった場合、1マス分多く進める","出たダイスの目が{0}だった場合、\n+{1}進める","106601","1084"
"","1","クロエ","1","10001","0","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","","110801","1085"
"","2","アオイ","1","10002","0","【仲間】最大2000マイルを入手する","","104001","1086"
"","12","クウカ","1","1","0","【仲間】福引券を1枚入手する","","104501","1087"
"","3","ルルィ","1","1","0","【仲間】料理を1つ入手する","","136901","1088"
