725a362383f41fb77e3a2569b480f8d9bee7422510135c7f00d06702ebe9f1d4,5eb4bf5b56ffc404129077eb49d4572eed0fc40fa0639ba7d09235628cc303a3,38ae9fd67f6348a75c3fae72e886244a3eb9bd201e4f1b885088d657e103a5c0,a6ea2c869e07441b7afe441071468e21a1b4e2f1223e2afb9051a4d12ce94208,6a367988851997218039bf191ca0354d839fbfb8d0221c749416417b888454c4,e0bd99dd97f40e8a932e49d61e5b18274fed681b76e0c51aa18d6c2f6c5ea140,61037c7316bbb00c96a27ef689e1d70eb68a63f11f340812b3fe53544a86392f,90743277ed16254fc10a4df0414810393b1dfbd7dc9e0b8b98909eeb3438bfc9
"11011","4","3","5","104","2","200","1"
"11111","4","3","5","101","2","2","1"
"11211","4","3","5","104","2","200","1"
"11311","4","3","5","102","2","1","1"
"11411","4","3","5","104","2","200","1"
"11511","4","3","5","103","2","1","1"
"11611","4","3","5","104","2","200","1"
"11711","4","3","5","102","2","1","1"
"11811","4","3","5","104","2","200","1"
"11911","4","3","5","6","2","150","1"
"11912","4","3","5","7","2","150","1"
"12011","4","3","5","104","2","200","1"
"12111","4","3","5","102","2","1","1"
"12211","4","3","5","103","2","1","1"
"12311","4","3","5","100","2","2","1"
"12411","4","3","5","102","2","1","1"
"12511","4","3","5","104","2","200","1"
"12611","4","3","5","101","2","2","1"
"12711","4","3","5","100","2","1","1"
"12811","4","3","5","2","2","250","1"
"12812","4","3","5","4","2","250","1"
"12911","4","3","5","104","2","200","1"
"13011","4","3","5","101","2","1","1"
"13111","4","3","5","103","2","1","1"
"13211","4","3","5","104","2","200","1"
"13311","4","3","5","102","2","1","1"
"13411","4","3","5","100","2","1","1"
"13511","4","3","5","104","2","200","1"
"13611","4","3","5","104","2","200","1"
"13711","4","3","5","101","2","1","1"
"13811","4","3","5","100","2","1","1"
"13911","4","3","5","104","2","200","1"
"14011","4","3","5","101","2","1","1"
"14111","4","3","5","104","2","200","1"
"14211","4","3","5","6","2","150","1"
"14212","4","3","5","7","2","150","1"
"14311","4","3","5","100","2","1","1"
"14411","4","3","5","103","2","1","1"
"14511","4","3","5","104","2","200","1"
"14611","4","3","5","104","2","200","1"
"14711","4","3","5","102","2","1","1"
"14811","4","3","5","103","2","1","1"
"14911","4","3","5","104","2","200","1"
"15011","4","3","5","102","2","1","1"
"15111","4","3","5","103","2","1","1"
"15211","4","3","5","104","2","200","1"
"15311","4","3","5","102","2","1","1"
"15411","4","3","5","104","2","200","1"
"15511","4","3","5","101","2","1","1"
"15611","4","3","5","104","2","200","1"
