5ff4f4e531b0fd2a92a9eca2e28533d5f0e116387d83d2c4254fe4552ccde82f,648c2513cda27f964365f0328a0eeb1c5f373253d567034b309b877af3331a17,8a449d56a35132a81e56b965e1667eb2265642a508ca417aae6e82e975bbde9b,63321e04de992f398da1a826f589fb4a8c68ad5ea33c550c9f5882cbf457399d,b73de30c4218439587184f0dfa35b8299c15745b8fda85d209b10da40aacb629
"ダメージ減衰","92407230","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","60"
"物理防御力（ダウン不可）アップ","92407230","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","61"
"魔法防御力（ダウン不可）アップ","92407230","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","62"
"ＴＰ上昇上限付与","92407230","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","63"
"ＨＰ吸収ダウン","92407230","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","64"
"ＴＰダウンカット","92407230","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","65"
"火属性ボーナス特大アップ","92407240","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","66"
"ダメージ減衰","92407240","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","67"
"物理防御力（ダウン不可）アップ","92407240","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","68"
"魔法防御力（ダウン不可）アップ","92407240","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","69"
"ＴＰ上昇上限付与","92407240","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","70"
"ＨＰ吸収ダウン","92407240","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","71"
"ＴＰダウンカット","92407240","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","72"
"火属性ボーナス特大アップ","92407310","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","73"
"ダメージ減衰","92407310","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74"
"物理防御力（ダウン不可）アップ","92407310","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","75"
"魔法防御力（ダウン不可）アップ","92407310","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","76"
"ＴＰ上昇上限付与","92407310","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","77"
"ＨＰ吸収ダウン","92407310","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","78"
"ＴＰダウンカット","92407310","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","79"
"火属性ボーナス特大アップ","92407320","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","80"
"ダメージ減衰","92407320","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","81"
"物理防御力（ダウン不可）アップ","92407320","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","82"
"魔法防御力（ダウン不可）アップ","92407320","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","83"
"ＴＰ上昇上限付与","92407320","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","84"
"ＨＰ吸収ダウン","92407320","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","85"
"ＴＰダウンカット","92407320","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","86"
"火属性ボーナス特大アップ","92407330","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","87"
"ダメージ減衰","92407330","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","88"
"物理防御力（ダウン不可）アップ","92407330","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","89"
"魔法防御力（ダウン不可）アップ","92407330","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","90"
"ＴＰ上昇上限付与","92407330","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","91"
"ＨＰ吸収ダウン","92407330","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","92"
"ＴＰダウンカット","92407330","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","93"
"火属性ボーナス特大アップ","92407340","12","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","94"
"ダメージ減衰","92407340","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","95"
"物理防御力（ダウン不可）アップ","92407340","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","96"
"魔法防御力（ダウン不可）アップ","92407340","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","97"
"ＴＰ上昇上限付与","92407340","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","98"
"ＨＰ吸収ダウン","92407340","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","99"
"ＴＰダウンカット","92407340","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","100"
"水属性ボーナス特大アップ","92408010","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","101"
"物理防御力（ダウン不可）アップ","92408010","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","102"
"魔法防御力（ダウン不可）アップ","92408010","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","103"
"ＴＰ上昇上限付与","92408010","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","104"
"ＨＰ吸収ダウン","92408010","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","105"
"水属性ボーナス特大アップ","92408020","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","106"
"物理防御力（ダウン不可）アップ","92408020","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","107"
"魔法防御力（ダウン不可）アップ","92408020","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","108"
"ＴＰ上昇上限付与","92408020","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","109"
"ＨＰ吸収ダウン","92408020","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","110"
"水属性ボーナス特大アップ","92408030","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","111"
"物理防御力（ダウン不可）アップ","92408030","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","112"
"魔法防御力（ダウン不可）アップ","92408030","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","113"
"ＴＰ上昇上限付与","92408030","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","114"
"ＨＰ吸収ダウン","92408030","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","115"
"水属性ボーナス特大アップ","92408110","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","116"
"物理防御力（ダウン不可）アップ","92408110","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","117"
"魔法防御力（ダウン不可）アップ","92408110","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","118"
"ＴＰダウンカット","92408110","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","119"
"ダメージ減衰","92408110","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","120"
"ＴＰ上昇上限付与","92408110","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","121"
"ＨＰ吸収ダウン","92408110","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","122"
"水属性ボーナス特大アップ","92408120","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","123"
"物理防御力（ダウン不可）アップ","92408120","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","124"
"魔法防御力（ダウン不可）アップ","92408120","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","125"
"ＴＰダウンカット","92408120","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","126"
"ダメージ減衰","92408120","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","127"
"ＴＰ上昇上限付与","92408120","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","128"
"ＨＰ吸収ダウン","92408120","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","129"
"水属性ボーナス特大アップ","92408130","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","130"
"物理防御力（ダウン不可）アップ","92408130","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","131"
"魔法防御力（ダウン不可）アップ","92408130","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","132"
"ＴＰダウンカット","92408130","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","133"
"ダメージ減衰","92408130","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","134"
"ＴＰ上昇上限付与","92408130","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","135"
"ＨＰ吸収ダウン","92408130","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","136"
"水属性ボーナス特大アップ","92408140","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","137"
"物理防御力（ダウン不可）アップ","92408140","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","138"
"魔法防御力（ダウン不可）アップ","92408140","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","139"
"ＴＰダウンカット","92408140","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","140"
"ダメージ減衰","92408140","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","141"
"ＴＰ上昇上限付与","92408140","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","142"
"ＨＰ吸収ダウン","92408140","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","143"
"水属性ボーナス特大アップ","92408210","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","144"
"物理防御力（ダウン不可）アップ","92408210","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","145"
"魔法防御力（ダウン不可）アップ","92408210","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","146"
"ＴＰダウンカット","92408210","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","147"
"ダメージ減衰","92408210","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","148"
"ＴＰ上昇上限付与","92408210","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","149"
"ＨＰ吸収ダウン","92408210","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","150"
"水属性ボーナス特大アップ","92408220","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","151"
"物理防御力（ダウン不可）アップ","92408220","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","152"
"魔法防御力（ダウン不可）アップ","92408220","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","153"
"ＴＰダウンカット","92408220","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","154"
"ダメージ減衰","92408220","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","155"
"ＴＰ上昇上限付与","92408220","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","156"
"ＨＰ吸収ダウン","92408220","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","157"
"水属性ボーナス特大アップ","92408230","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","158"
"物理防御力（ダウン不可）アップ","92408230","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","159"
"魔法防御力（ダウン不可）アップ","92408230","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","160"
"ＴＰダウンカット","92408230","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","161"
"ダメージ減衰","92408230","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","162"
"ＴＰ上昇上限付与","92408230","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","163"
"ＨＰ吸収ダウン","92408230","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","164"
"水属性ボーナス特大アップ","92408240","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","165"
"物理防御力（ダウン不可）アップ","92408240","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","166"
"魔法防御力（ダウン不可）アップ","92408240","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","167"
"ＴＰダウンカット","92408240","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","168"
"ダメージ減衰","92408240","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","169"
"ＴＰ上昇上限付与","92408240","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","170"
"ＨＰ吸収ダウン","92408240","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","171"
"水属性ボーナス特大アップ","92408310","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","172"
"物理防御力（ダウン不可）アップ","92408310","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","173"
"魔法防御力（ダウン不可）アップ","92408310","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","174"
"ＴＰダウンカット","92408310","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","175"
"ダメージ減衰","92408310","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","176"
"ＴＰ上昇上限付与","92408310","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","177"
"ＨＰ吸収ダウン","92408310","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","178"
"水属性ボーナス特大アップ","92408320","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","179"
"物理防御力（ダウン不可）アップ","92408320","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","180"
"魔法防御力（ダウン不可）アップ","92408320","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","181"
"ＴＰダウンカット","92408320","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","182"
"ダメージ減衰","92408320","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","183"
"ＴＰ上昇上限付与","92408320","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","184"
"ＨＰ吸収ダウン","92408320","9","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","185"
