8462901fe862ce3801166ea17a091652124526a71c964c173d298d0baa020f1a,10efceec6f6a5697fa85006c6cc7df8300ebee98c29db6e08e2ed55efdc28b9a,ff0d2de23dea7e33e59b1c425625e177448c7dcb8d0287cc0b99288b3138de67,a4ea5356a507a8b4c7793f0aca45634e71d8a66bcb2a0e1c3e9a1a580d40fdaa,3705e02d3cfc3f23c0b0a0f62c03a6c12b95ec46de9688af880d49ed1d79041f,6346292d161d6452ba0a34a95f3ba34fdcb9ff7881d9e87736a820a39dca1261,649d29eef04b33297d9518d27f53db20138c64b2f50ffc4b84c2e525f96861f3,eb645fc9d1e1c1dec9d2c4dc6249220de7539d07ae9c7fca48be5ab45708d818,3c0ca5731d66f37b9c9ec028e00d5b27b000281c32604f3ca9f68f90f7a19aa4,b0b3e43d9b0cc30f16b8d575febcd690fb25584a3694dc4a2f8817553cffd929,837699621c5cc523e7f18c4716a27cf22df587d886d1e48f3821ea81fb039885,7f719bba197489642414339614643861cd13f6863fca7a13c8cdf732d112f241
"1.667","0","0","4","1","300","0","1009805","0","0","100980511","11"
"0","0","2.324","0","4","0","1","1009805","0","0","100980512","12"
"2.168","0","0","5","1","310","0","1009805","0","0","100980513","13"
"0","0","3.168","0","4","0","1","1009805","0","0","100980514","14"
"0","vo_lsv_0504","0","0","2","0","0","1009805","0","vo_lsv","100980515","15"
"1.752","0","0","6","1","300","0","1009805","0","0","100980516","16"
"0","0","2.276","0","4","0","1","1009805","0","0","100980517","17"
"1.43","0","0","7","1","300","0","1009805","0","0","100980518","18"
"0","0","1.43","0","4","0","1","1009805","0","0","100980519","19"
"0.749","0","0","8","1","125","0","1009805","0","0","100980520","20"
"0","0","1.749","0","4","0","1","1009805","0","0","100980521","21"
"0","vo_lsv_0505","0","0","2","0","0","1009805","0","vo_lsv","100980522","22"
"0.65","0","0","8","1","300","0","1009805","125","0","100980523","23"
"0","0","0.65","0","4","0","1","1009805","0","0","100980524","24"
"1.753","0","0","9","1","300","0","1009805","0","0","100980525","25"
"0","0","1.753","0","4","0","1","1009805","0","0","100980526","26"
"0.929","0","0","10","1","160","0","1009805","0","0","100980527","27"
"0","0","1.929","0","4","0","1","1009805","0","0","100980528","28"
"0","vo_lsv_0506","0","0","2","0","0","1009805","0","vo_lsv","100980529","29"
"0.536","0","0","10","1","300","0","1009805","160","0","100980530","30"
"0","0","0.536","0","4","0","1","1009805","0","0","100980531","31"
"1.438","0","0","11","1","327","0","1009805","0","0","100980532","32"
"0","0","1.438","0","4","0","1","1009805","0","0","100980533","33"
"2.426","0","0","12","1","300","0","1009805","0","0","100980534","34"
"0","0","0.8","0","4","0","1","1009806","0","0","100980601","1"
"0","vo_lsv_0601","0","0","2","0","0","1009806","0","vo_lsv","100980602","2"
"2.5","0","0","1","1","330","0","1009806","0","0","100980603","3"
"0","0","2.5","0","4","0","1","1009806","0","0","100980604","4"
"1.5","0","0","2","1","270","0","1009806","0","0","100980605","5"
"0","0","2.5","0","4","0","1","1009806","0","0","100980606","6"
"0","vo_lsv_0602","0","0","2","0","0","1009806","0","vo_lsv","100980607","7"
"1.9","0","0","3","1","325","0","1009806","0","0","100980608","8"
"0","0","1.9","0","4","0","1","1009806","0","0","100980609","9"
"1.744","0","0","4","1","300","0","1009806","0","0","100980610","10"
"0","0","2.329","0","4","0","1","1009806","0","0","100980611","11"
"1.049","0","0","5","1","300","0","1009806","0","0","100980612","12"
"0","0","1.049","0","4","0","1","1009806","0","0","100980613","13"
"1.093","0","0","6","1","210","0","1009806","0","0","100980614","14"
"0","0","2.093","0","4","0","1","1009806","0","0","100980615","15"
"0","vo_lsv_0603","0","0","2","0","0","1009806","0","vo_lsv","100980616","16"
"1.9","0","0","7","1","300","0","1009806","0","0","100980617","17"
"0","0","1.9","0","4","0","1","1009806","0","0","100980618","18"
"2.4","0","0","8","1","300","0","1009806","0","0","100980619","19"
"0","0","2.4","0","4","0","1","1009806","0","0","100980620","20"
"1.65","0","0","9","1","300","0","1009806","0","0","100980621","21"
"0","0","2.65","0","4","0","1","1009806","0","0","100980622","22"
"0","vo_lsv_0604","0","0","2","0","0","1009806","0","vo_lsv","100980623","23"
"1.763","0","0","10","1","300","0","1009806","0","0","100980624","24"
"0","0","1.763","0","4","0","1","1009806","0","0","100980625","25"
"1.308","0","0","11","1","205","0","1009806","0","0","100980626","26"
"0","0","2.308","0","4","0","1","1009806","0","0","100980627","27"
"0","vo_lsv_0605","0","0","2","0","0","1009806","0","vo_lsv","100980628","28"
"1","0","0","11","1","320","0","1009806","205","0","100980629","29"
"0","0","1","0","4","0","1","1009806","0","0","100980630","30"
"1.853","0","0","12","1","270","0","1009806","0","0","100980631","31"
"0","0","0.8","0","4","0","1","1009807","0","0","100980701","1"
"0","vo_lsv_0701","0","0","2","0","0","1009807","0","vo_lsv","100980702","2"
"1.355","0","0","1","1","300","0","1009807","0","0","100980703","3"
"0","0","1.355","0","4","0","1","1009807","0","0","100980704","4"
"1.126","0","0","2","1","300","0","1009807","0","0","100980705","5"
"0","0","1.126","0","4","0","1","1009807","0","0","100980706","6"
"1.641","0","0","3","1","300","0","1009807","0","0","100980707","7"
"0","0","2","0","4","0","1","1009807","0","0","100980708","8"
"0","vo_lsv_0702","0","0","2","0","0","1009807","0","vo_lsv","100980709","9"
"1.325","0","0","4","1","300","0","1009807","0","0","100980710","10"
"0","0","1.325","0","4","0","1","1009807","0","0","100980711","11"
"1.891","0","0","5","1","327","0","1009807","0","0","100980712","12"
"0","0","2.437","0","4","0","1","1009807","0","0","100980713","13"
"1.93","0","0","6","1","327","0","1009807","0","0","100980714","14"
"0","0","2.93","0","4","0","1","1009807","0","0","100980715","15"
"0","vo_lsv_0703","0","0","2","0","0","1009807","0","vo_lsv","100980716","16"
"1.84","0","0","7","1","300","0","1009807","0","0","100980717","17"
"0","0","2.361","0","4","0","1","1009807","0","0","100980718","18"
"1.38","0","0","8","1","300","0","1009807","0","0","100980719","19"
"0","0","1.38","0","4","0","1","1009807","0","0","100980720","20"
"1.399","0","0","9","1","300","0","1009807","0","0","100980721","21"
"0","0","2.399","0","4","0","1","1009807","0","0","100980722","22"
"0","vo_lsv_0704","0","0","2","0","0","1009807","0","vo_lsv","100980723","23"
"2.268","0","0","10","1","300","0","1009807","0","0","100980724","24"
"0","0","2.268","0","4","0","1","1009807","0","0","100980725","25"
"1.299","0","0","11","1","300","0","1009807","0","0","100980726","26"
"0","0","0.8","0","4","0","1","1009808","0","0","100980801","1"
"0","vo_lsv_0801","0","0","2","0","0","1009808","0","vo_lsv","100980802","2"
"1.4","0","0","1","1","300","0","1009808","0","0","100980803","3"
"0","0","1.4","0","4","0","1","1009808","0","0","100980804","4"
"1","0","0","2","1","300","0","1009808","0","0","100980805","5"
"0","0","2","0","4","0","1","1009808","0","0","100980806","6"
"0","vo_lsv_0802","0","0","2","0","0","1009808","0","vo_lsv","100980807","7"
"1.6","0","0","3","1","300","0","1009808","0","0","100980808","8"
"0","0","1.8","0","4","0","1","1009808","0","0","100980809","9"
"1","0","0","4","1","300","0","1009808","0","0","100980810","10"
"0","0","1","0","4","0","1","1009808","0","0","100980811","11"
"1.5","0","0","5","1","300","0","1009808","0","0","100980812","12"
"0","0","2.5","0","4","0","1","1009808","0","0","100980813","13"
"0","vo_lsv_0803","0","0","2","0","0","1009808","0","vo_lsv","100980814","14"
"1.9","0","0","6","1","320","0","1009808","0","0","100980815","15"
"0","0","2.5","0","4","0","1","1009808","0","0","100980816","16"
"1.3","0","0","7","1","240","0","1009808","0","0","100980817","17"
"0","0","2.3","0","4","0","1","1009808","0","0","100980818","18"
"0","vo_lsv_0804","0","0","2","0","0","1009808","0","vo_lsv","100980819","19"
"1.3","0","0","8","1","300","0","1009808","0","0","100980820","20"
"0","0","1.3","0","4","0","1","1009808","0","0","100980821","21"
"1.5","0","0","9","1","300","0","1009808","0","0","100980822","22"
"0","0","2.5","0","4","0","1","1009808","0","0","100980823","23"
"0","vo_lsv_0805","0","0","2","0","0","1009808","0","vo_lsv","100980824","24"
"1.4","0","0","10","1","300","0","1009808","0","0","100980825","25"
"0","0","2.6","0","4","0","1","1009808","0","0","100980826","26"
"0","vo_lsv_0806","0","0","2","0","0","1009808","0","vo_lsv","100980827","27"
"1.363","0","0","11","1","327","0","1009808","15","0","100980828","28"
"0","0","0.8","0","4","0","1","1009809","0","0","100980901","1"
"0","vo_lsv_0901","0","0","2","0","0","1009809","0","vo_lsv","100980902","2"
"2.1","0","0","1","1","300","0","1009809","0","0","100980903","3"
"0","0","2.9","0","4","0","1","1009809","0","0","100980904","4"
"0","vo_lsv_0902","0","0","2","0","0","1009809","0","vo_lsv","100980905","5"
"2.46","0","0","2","1","327","0","1009809","0","0","100980906","6"
"0","0","2.64","0","4","0","1","1009809","0","0","100980907","7"
"1.845","0","0","3","1","327","0","1009809","0","0","100980908","8"
"0","0","1.85","0","4","0","1","1009809","0","0","100980909","9"
"1.735","0","0","4","1","300","0","1009809","0","0","100980910","10"
"0","0","2","0","4","0","1","1009809","0","0","100980911","11"
"0","vo_lsv_0903","0","0","2","0","0","1009809","0","vo_lsv","100980912","12"
"2.484","0","0","5","1","327","0","1009809","0","0","100980913","13"
"0","0","2.663","0","4","0","1","1009809","0","0","100980914","14"
"1.546","0","0","6","1","327","0","1009809","0","0","100980915","15"
"0","0","1.55","0","4","0","1","1009809","0","0","100980916","16"
"1.205","0","0","7","1","327","0","1009809","0","0","100980917","17"
"0","0","1.5","0","4","0","1","1009809","0","0","100980918","18"
"0","vo_lsv_0904","0","0","2","0","0","1009809","0","vo_lsv","100980919","19"
"2.079","0","0","8","1","327","0","1009809","0","0","100980920","20"
"0","0","2.4","0","4","0","1","1009809","0","0","100980921","21"
"2.05","0","0","9","1","327","0","1009809","0","0","100980922","22"
"0","0","2.35","0","4","0","1","1009809","0","0","100980923","23"
"2.55","0","0","10","1","327","0","1009809","0","0","100980924","24"
"0","0","0.8","0","4","0","1","1009810","0","0","100981001","1"
"0","vo_lsv_1001","0","0","2","0","0","1009810","0","vo_lsv","100981002","2"
"1.707","0","0","1","1","300","0","1009810","0","0","100981003","3"
"0","0","1.717","0","4","0","1","1009810","0","0","100981004","4"
"0.75","0","0","2","1","90","0","1009810","0","0","100981005","5"
"0","0","1.15","0","4","0","1","1009810","0","0","100981006","6"
"1.46","0","0","2","1","327","0","1009810","92","0","100981007","7"
"0","0","1.66","0","4","0","1","1009810","0","0","100981008","8"
"2.03","0","0","3","1","327","0","1009810","0","0","100981009","9"
"0","0","2.23","0","4","0","1","1009810","0","0","100981010","10"
"1.732","0","0","4","1","327","0","1009810","0","0","100981011","11"
"0","0","2.5","0","4","0","1","1009810","0","0","100981012","12"
"0","vo_lsv_1002","0","0","2","0","0","1009810","0","vo_lsv","100981013","13"
"1.9","0","0","5","1","300","0","1009810","0","0","100981014","14"
"0","0","1.949","0","4","0","1","1009810","0","0","100981015","15"
"2.05","0","0","6","1","327","0","1009810","0","0","100981016","16"
"0","0","2.08","0","4","0","1","1009810","0","0","100981017","17"
"0.8","0","0","7","1","130","0","1009810","0","0","100981018","18"
"0","0","2","0","4","0","1","1009810","0","0","100981019","19"
"0","vo_lsv_1003","0","0","2","0","0","1009810","0","vo_lsv","100981020","20"
"1.575","0","0","7","1","300","0","1009810","135","0","100981021","21"
"0","0","1.6","0","4","0","1","1009810","0","0","100981022","22"
"1.243","0","0","8","1","190","0","1009810","0","0","100981023","23"
"0","0","3","0","4","0","1","1009810","0","0","100981024","24"
"0","vo_lsv_1004","0","0","2","0","0","1009810","0","vo_lsv","100981025","25"
"1.867","0","0","9","1","196","0","1009810","0","0","100981026","26"
"0","0","2.067","0","4","0","1","1009810","0","0","100981027","27"
"0.956","0","0","9","1","327","0","1009810","198","0","100981028","28"
"0","0","1","0","4","0","1","1009810","0","0","100981029","29"
"1.851","0","0","10","1","260","0","1009810","0","0","100981030","30"
"0","0","1.88","0","4","0","1","1009810","0","0","100981031","31"
"1.172","0","0","11","1","160","0","1009810","0","0","100981032","32"
"0","0","2.5","0","4","0","1","1009810","0","0","100981033","33"
"0","vo_lsv_1005","0","0","2","0","0","1009810","0","vo_lsv","100981034","34"
"0.95","0","0","12","1","88","0","1009810","0","0","100981035","35"
"0","0","1.1","0","4","0","1","1009810","0","0","100981036","36"
"1.392","0","0","12","1","230","0","1009810","90","0","100981037","37"
"0","0","0.8","0","4","0","1","1009811","0","0","100981101","1"
"0","vo_lsv_1101","0","0","2","0","0","1009811","0","vo_lsv","100981102","2"
"1.813","0","0","1","1","300","0","1009811","0","0","100981103","3"
"0","0","2","0","4","0","1","1009811","0","0","100981104","4"
"1.065","0","0","2","1","280","0","1009811","0","0","100981105","5"
"0","0","1.095","0","4","0","1","1009811","0","0","100981106","6"
"2.176","0","0","3","1","327","0","1009811","0","0","100981107","7"
"0","0","3.1","0","4","0","1","1009811","0","0","100981108","8"
"0","vo_lsv_1102","0","0","2","0","0","1009811","0","vo_lsv","100981109","9"
"1.283","0","0","4","1","280","0","1009811","0","0","100981110","10"
"0","0","1.31","0","4","0","1","1009811","0","0","100981111","11"
"2.351","0","0","5","1","327","0","1009811","0","0","100981112","12"
"0","0","2.381","0","4","0","1","1009811","0","0","100981113","13"
"2.037","0","0","6","1","327","0","1009811","0","0","100981114","14"
"0","0","3","0","4","0","1","1009811","0","0","100981115","15"
"0","vo_lsv_1103","0","0","2","0","0","1009811","0","vo_lsv","100981116","16"
"2.637","0","0","7","1","327","0","1009811","0","0","100981117","17"
"0","0","3.23","0","4","0","1","1009811","0","0","100981118","18"
"1.789","0","0","8","1","327","0","1009811","0","0","100981119","19"
"0","0","1.81","0","4","0","1","1009811","0","0","100981120","20"
"0.763","0","0","9","1","80","0","1009811","0","0","100981121","21"
"0","0","0.893","0","4","0","1","1009811","0","0","100981122","22"
"1.079","0","0","9","1","327","0","1009811","82","0","100981123","23"
"0","0","1.1","0","4","0","1","1009811","0","0","100981124","24"
"1.424","0","0","10","1","195","0","1009811","0","0","100981125","25"
"0","0","2.5","0","4","0","1","1009811","0","0","100981126","26"
"0","vo_lsv_1104","0","0","2","0","0","1009811","0","vo_lsv","100981127","27"
"0.7","0","0","10","1","350","0","1009811","197","0","100981128","28"
"0","0","0.75","0","4","0","1","1009811","0","0","100981129","29"
"2.45","0","0","11","1","300","0","1009811","0","0","100981130","30"
"0","0","2.55","0","4","0","1","1009811","0","0","100981131","31"
"1.6","0","0","12","1","220","0","1009811","0","0","100981132","32"
"0","0","0.8","0","4","0","1","1009812","0","0","100981201","1"
"0","vo_lsv_1201","0","0","2","0","0","1009812","0","vo_lsv","100981202","2"
"2.379","0","0","1","1","300","0","1009812","0","0","100981203","3"
"0","0","3.5","0","4","0","1","1009812","0","0","100981204","4"
"0","vo_lsv_1202","0","0","2","0","0","1009812","0","vo_lsv","100981205","5"
"1.623","0","0","2","1","327","0","1009812","0","0","100981206","6"
"0","0","1.63","0","4","0","1","1009812","0","0","100981207","7"
"2.644","0","0","3","1","327","0","1009812","15","0","100981208","8"
"0","0","3.5","0","4","0","1","1009812","0","0","100981209","9"
"0","vo_lsv_1203","0","0","2","0","0","1009812","0","vo_lsv","100981210","10"
"1.502","0","0","4","1","300","0","1009812","0","0","100981211","11"
"0","0","1.51","0","4","0","1","1009812","0","0","100981212","12"
"2.171","0","0","5","1","327","0","1009812","15","0","100981213","13"
"0","0","2.2","0","4","0","1","1009812","0","0","100981214","14"
"1.319","0","0","6","1","180","0","1009812","0","0","100981215","15"
"0","0","1.8","0","4","0","1","1009812","0","0","100981216","16"
"0","vo_lsv_1204","0","0","2","0","0","1009812","0","vo_lsv","100981217","17"
"1.03","0","0","6","1","300","0","1009812","182","0","100981218","18"
"0","0","2","0","4","0","1","1009812","0","0","100981219","19"
"0","vo_lsv_1205","0","0","2","0","0","1009812","0","vo_lsv","100981220","20"
"1.96","0","0","7","1","300","0","1009812","0","0","100981221","21"
"0","0","2","0","4","0","1","1009812","0","0","100981222","22"
"2.137","0","0","8","1","327","0","1009812","15","0","100981223","23"
"0","0","3.5","0","4","0","1","1009812","0","0","100981224","24"
"0","vo_lsv_1206","0","0","2","0","0","1009812","0","vo_lsv","100981225","25"
"1.602","0","0","9","1","300","0","1009812","0","0","100981226","26"
"0","0","1.7","0","4","0","1","1009812","0","0","100981227","27"
"2.476","0","0","10","1","327","0","1009812","15","0","100981228","28"
"0","0","3.5","0","4","0","1","1009812","0","0","100981229","29"
"0","vo_lsv_1207","0","0","2","0","0","1009812","0","vo_lsv","100981230","30"
"1.155","0","0","11","1","300","0","1009812","0","0","100981231","31"
"0","0","1.18","0","4","0","1","1009812","0","0","100981232","32"
"1.28","0","0","12","1","200","0","1009812","15","0","100981233","33"
"0","0","0.8","0","4","0","1","1009813","0","0","100981301","1"
"0","vo_lsv_1301","0","0","2","0","0","1009813","0","vo_lsv","100981302","2"
"2.09","0","0","1","1","300","0","1009813","0","0","100981303","3"
"0","0","2.12","0","4","0","1","1009813","0","0","100981304","4"
"2.649","0","0","2","1","340","0","1009813","15","0","100981305","5"
"0","0","3.6","0","4","0","1","1009813","0","0","100981306","6"
"0","vo_lsv_1302","0","0","2","0","0","1009813","0","vo_lsv","100981307","7"
"2.138","0","0","3","1","300","0","1009813","0","0","100981308","8"
"0","0","2.17","0","4","0","1","1009813","0","0","100981309","9"
"2.111","0","0","4","1","327","0","1009813","0","0","100981310","10"
"0","0","2.45","0","4","0","1","1009813","0","0","100981311","11"
"2","0","0","5","1","327","0","1009813","0","0","100981312","12"
"0","0","2.3","0","4","0","1","1009813","0","0","100981313","13"
"1.354","0","0","6","1","290","0","1009813","0","0","100981314","14"
"0","0","3","0","4","0","1","1009813","0","0","100981315","15"
"0","vo_lsv_1303","0","0","2","0","0","1009813","0","vo_lsv","100981316","16"
"1.539","0","0","7","1","300","0","1009813","0","0","100981317","17"
"0","0","1.569","0","4","0","1","1009813","0","0","100981318","18"
"0.732","0","0","8","1","90","0","1009813","0","0","100981319","19"
"0","0","1.08","0","4","0","1","1009813","0","0","100981320","20"
"1.207","0","0","8","1","300","0","1009813","92","0","100981321","21"
"0","0","1.407","0","4","0","1","1009813","0","0","100981322","22"
"1.798","0","0","9","1","327","0","1009813","0","0","100981323","23"
"0","0","2.7","0","4","0","1","1009813","0","0","100981324","24"
"0","vo_lsv_1304","0","0","2","0","0","1009813","0","vo_lsv","100981325","25"
"1.633","0","0","10","1","300","0","1009813","0","0","100981326","26"
"0","0","0.8","0","4","0","1","1009814","0","0","100981401","1"
