077d6828c42e3d387ff2d86286e63b4c4bb96ebe3e7ce9da5c69ae13bb8ec598,69307426a903afe030a1525f7c251ddf1b6c50463cf5dd638ae1dadefa186c31,657a38034c6040744af6a4b40f9c01100c85cb3a7bbaaee4236c6fafb15aa876,fea65a0aa6913a7bae8a88611dde27bea3796dfe97112b6a28d3288d05325133,a9ac3c6ede5cea81bfc9302011d170abb6a185379017d57c9663f7be67b4d01b,7e5329c1a3e2c41314bb2fcecf358a2b1f1bb6e93fed219bc90620dbd09722c9,b01161c5c73c109074fad514103fb800a912a58d96a46b81018b883670837c4b,4d7f644097f82cfdec041ccc7db72b10680c8b28201621d2671dd31fb0a56484,af34288ec3799eac131c2628e846cc961cd850acb1956be69916d8e877643a29,eb9e3cf161a1486d5923ae3e55a33b186693d28dcfce7092f6fcfa38f55a997b,1dade4bfc5d03cd9fd2056c58f088c0f09aa5b7614317b71b58251318f9af500
"1010020","11","","10","","1","","105831","","","うわぁ～…！\n大きくなりすぎて\nやばいですね☆"
"1010021","91","","","","1","","0","","",""
"1010022","11","","10","","1","","105931","","","うえきちゃんが\nどこまで続くのか\n分からないほどです"
"1010023","91","","","","1","","0","","",""
"1010024","11","","10","","1","","112631","","","こういうのってさ\n上がどうなってるか\n見てみたいよね！"
"1010025","91","","","","1","","0","","",""
"1010026","11","","10","","1","","112531","","","確かにね…それに\nこうなった理由も\n分かるかも"
"1010027","91","","","","1","","0","","",""
"1010028","11","","10","","1","","106031","","","ま、興味はあるし\n付き合ってあげるわ"
"1010029","91","","","","1","","0","","",""
"1010030","11","","10","","1","","112431","","","はい♪みなさんで\n頂上を目指して\n頑張りましょう！"
"1010031","91","","","","1","","0","","",""
"1020001","1","0","100","02_uek_cmn_idol_def_N","2","0","1","1.3","0","104431"
"1020002","3","","0","","2","02_uek_02_ilya_loop","104431","","0","02_uek_02_ilya"
"1020003","11","","10","","2","0","104431","","","はーっはっはっは！\n世界征服への\n第一歩を始めるぞ！"
"1020004","91","","","","2","","0","","0",""
"1030001","1","0","100","01_uek_cmn_idol_def_N","3","-140","1","1.3","-10","105831"
"1030002","1","1","100","01_uek_cmn_idol_def_N","3","120","1","1.3","10","105931"
"1030003","1","1","100","01_uek_cmn_idol_def_N","3","0","1","1.3","0","106031"
"1030004","3","","0","","3","01_uek_03_peko_loop","105831","","0","01_uek_03_peko"
"1030005","3","","0","","3","01_uek_03_kyaru_loop","106031","","0","01_uek_03_kyaru"
"1030006","11","","10","","3","0","105831","","","キャルちゃん！\n見てください\nいい景色ですよ☆"
"1030007","91","","","","3","","0","","",""
"1030008","11","","10","","3","0","106031","","","ちょ、あんた！\n引っぱんないでよ！\n落ちるでしょうが！"
"1030009","91","","","","3","","0","","",""
"1030010","3","","0","","3","01_uek_cmn_idol_def_N","105931","","1","01_uek_03_kokkoro"
"1030011","11","","10","","3","0","105931","","","ふふ、この先も\nきっと素敵な景色が\n待っているはずです"
"1040001","1","0","100","02_uek_cmn_idol_def_N","4","-120","1","1.3","-30","101131"
"1040002","1","1","100","02_uek_cmn_idol_def_N","4","20","1","1.3","-5","104931"
"1040003","3","","1","","4","","101131","","","02_uek_talk_joy2"
"1040004","11","","10","","4","0","101131","","","マスターセンリも\n一発からです！\n頑張りますよ！"
"1040005","91","","","","4","","0","","",""
"1040006","3","","1","","4","","101131","0.2","","02_uek_cmn_idol_def_N"
"1040007","3","","1","","4","","104931","0.2","","02_uek_04_shizuru"
"1040008","11","","10","","4","0","104931","","","それを言うなら\n千里の道も一歩から\nだよ、リノちゃん"
"1040009","91","","","","4","","0","","",""
"1040010","3","","1","","4","","104931","0.2","","02_uek_cmn_idol_def_N"
"1050001","1","0","100","02_uek_cmn_idol_def_N","5","-70","1","1.3","0","105031"
"1050002","1","1","100","02_uek_cmn_idol_def_N","5","70","1","1.3","1","101631"
"1050003","3","","0","","5","02_uek_05_misaki_loop","105031","","-15","02_uek_05_misaki"
"1050004","3","","0","","5","02_uek_05_suzuna_loop","101631","","0","02_uek_05_suzuna"
"1050005","11","","10","","5","0","105031","","","大人の階段を\n登るわよー！"
"1050006","91","","","","5","","0","","0",""
"1050007","11","","10","","5","0","101631","","","うちもモデルの\nてっぺん目指すし！"
"1060001","1","1","100","02_uek_cmn_idol_def_N","6","120","1","1.3","25","100531"
"1060002","1","0","100","02_uek_cmn_idol_def_N","6","-20","1","1.3","5","103731"
"1060003","3","","1","","6","","100531","","","02_uek_cmn_pose04"
"1060004","11","","10","","6","0","100531","","","これくらいの高さで\nへこたれてたら\nヒーロー失格ッス！"
"1060005","91","","","","6","","0","","",""
"1060006","3","","1","","6","","103731","0.2","","02_uek_talk_normal"
"1060007","11","","10","","6","0","103731","","","うん、いい鍛錬に\nなりそうだね\n楽しくなってきたよ"
"1060008","91","","","","6","","0","","",""
"1060009","3","","1","","6","","103731","0.2","","02_uek_cmn_idol_def_N"
"1070001","1","0","100","02_uek_cmn_idol_def_N","7","-60","1","1.3","-20","103831"
"1070002","3","","1","","7","","103831","0.2","","02_uek_07_shiori"
"1070003","11","","10","","7","","103831","","","あれ…お姉ちゃん\nどこに行ったのかな\n…お姉ちゃーん？"
"1080001","1","0","100","02_uek_08_kuka_loop","8","90","1","1.3","40","104531"
"1080002","31","","90","","8","60","2","1","1","2"
"1080003","11","","10","","8","0","104531","","0","あ、足に絡みつく\nツタの感触が\nたまりません～～！"
"1080004","91","","","","8","","0","","",""
"1090001","1","0","100","05_idle","9","-195","2","0.9","-35","105831"
"1090002","1","0","1000","302102_idle","9","150","2","1.2","-30","302102"
"1090003","31","","150","","9","50","102","1","1","15"
"1090004","31","","150","","9","400","103","1","1","16"
"1100001","1","0","100","01_uek_cmn_idol_def_N","10","-160","1","1.3","-25","112531"
"1100002","1","1","100","01_uek_cmn_idol_def_N","10","-40","1","1.3","-5","112431"
"1100003","1","1","100","01_uek_cmn_idol_def_N","10","125","1","1.3","20","112631"
"1100004","3","","1","","10","","112631","","0","01_uek_talk_surprise2"
"1100005","11","","10","","10","0","112631","","0","うっひゃ～…！\n足場が雲になるって\nどういうこと！？"
"1100006","91","","","","10","","0","","",""
"1100007","3","","1","","10","","112631","0.2","0","01_uek_cmn_idol_def_N"
"1100008","3","","1","","10","","112431","","","01_uek_talk_joy1"
"1100009","11","","10","","10","0","112431","","0","なんだか不思議な\n感触してますね～\nふわふわですよ♪"
"1100010","91","","","","10","","0","","",""
"1100011","3","","1","","10","","112431","0.2","","01_uek_cmn_idol_def_N"
"1100012","3","","1","","10","","112531","","","01_uek_talk_normal"
"1100013","11","","10","","10","0","112531","","0","落ちたりはしなそう\nだけど…足元には\n気をつけて進もう"
"1100014","91","","","","10","","0","","",""
"1100015","3","","1","","10","","112531","0.2","","01_uek_cmn_idol_def_N"
"1100016","91","","","","10","","0","","",""
"1110001","1","0","100","03_uek_cmn_idol_def_N","11","-135","1","1.3","-20","104731"
"1110002","1","1","100","03_uek_cmn_idol_def_N","11","100","1","1.3","5","107131"
"1110003","3","","0","","11","03_uek_11_jun_loop","104731","0","1","03_uek_11_jun"
"1110004","3","0.2","0","","11","03_uek_cmn_idol_def_N","107131","0","1","03_uek_11_chris"
"1110005","11","","10","","11","","104731","","0","むむ、視界が白く…\nクリスちゃん、\n気を付けるんだ！"
"1110006","91","","","","11","","0","","",""
"1110007","11","","10","","11","0","107131","","0","ははは、鎧の重さで\n沈んでいるぞ団長☆\nそぉれ一本釣りだ！"
"1110008","93","","","","11","","1.5","","",""
"1110009","2","","0","","11","1.5","104731","","1","-135"
"1110010","91","","","","11","","1110007","","",""
"1120001","1","0","100","03_uek_cmn_idol_def_N","12","-120","1","1.3","-20","101031"
"1120002","1","1","100","03_uek_cmn_idol_def_N","12","10","1","1.3","-5","101431"
"1120003","3","","1","","12","","101031","","0","03_uek_talk_joy1"
"1120004","11","","10","","12","0","101031","","0","かわいい雲さんやね\n一緒に連れて\n帰りたいわぁ♪"
"1120005","91","","","","12","","0","","",""
"1120006","3","","1","","12","","101031","0.2","0","03_uek_cmn_idol_def_N"
"1120007","3","","1","","12","","101431","","0","03_uek_talk_normal"
"1120008","11","","10","","12","0","101431","","0","いくらなんでも\nそれは難しいんじゃ\nないかな…？"
"1120009","91","","","","12","","0","","",""
"1120010","3","","1","","12","","101431","0.2","0","03_uek_cmn_idol_def_N"
"1130001","1","0","100","01_uek_cmn_idol_def_N","13","-165","1","1.3","-45","105831"
"1130002","1","0","100","01_uek_cmn_idol_def_N","13","-45","1","1.3","-20","105931"
"1130003","1","1","100","01_uek_cmn_idol_def_N","13","120","1","1.3","-5","106031"
"1130004","3","","1","","13","","105931","","1","01_uek_talk_normal"
"1130005","11","","10","","13","0","105931","","0","かなり高くまで\n登ってまいりました\nですが…"
"1130006","91","","","","13","","0","","",""
"1130007","3","","0","","13","01_uek_cmn_idol_def_N","105931","0.2","1","01_uek_13_kokkoro"
"1130008","3","","0","","13","01_uek_13_kyaru_loop","106031","","1","01_uek_13_kyaru"
"1130009","11","","10","","13","0","106031","","0","全然頂上が\n見えないじゃない！\nどんだけ高いのよ！"
"1130010","91","","","","13","","0","","",""
"1130011","3","","1","","13","","105831","","0","01_uek_13_peco_loop"
"1130012","11","","10","","13","0","105831","","0","いいじゃないですか\n運動のあとの食事は\nまた格別ですよ☆"
"1130013","91","","","","13","","0","","",""
"1140001","1","0","100","03_uek_cmn_idol_def_N","14","-86","1","1.3","-25","104031"
"1140002","31","","0","","14","250","1","1","1","1"
"1140003","3","","0","","14","03_uek_14_aoi_loop","104031","","1","03_uek_14_aoi"
"1140004","11","","10","","14","0","104031","","0","うう、ぼっちへの\n風当たりが\n強すぎませんか！？"
"1150001","1","0","100","03_uek_cmn_idol_def_N","15","-75","1","1.3","-20","100731"
"1150002","1","1","100","03_uek_15_father","15","65","1","1.3","10","103131"
"1150003","3","","1","","15","","100731","","0","03_uek_15_miyako"
"1150004","11","","10","","15","0","100731","","0","空は気持ちいいの～\nこれが天にも昇る\n気持ちってやつなの"
"1150005","91","","","","15","","0","","",""
"1150006","3","","1","","15","","103131","","0","03_uek_15_father"
"1150007","11","","10","","15","0","103131","","0","ガキんちょもか？\nオレも身体が\n軽くなってきたぞ！"
"1150008","91","","","","15","","0","","",""
"1150009","3","","1","","15","","103131","","0","03_uek_talk_normal"
"1150010","11","","10","","15","0","103131","","0","ミヤコさんは\n本当に昇天しちゃ\nだめですよ…？"
"1150011","91","","","","15","","0","","",""
"1150012","3","","1","","15","","103131","0.2","0","03_uek_cmn_idol_def_N"
"1160001","1","0","100","01_uek_cmn_idol_def_N","16","-110","1","1.3","-45","112431"
"1160002","1","1","100","01_uek_cmn_idol_def_N","16","40","1","1.3","-15","105831"
"1160003","1","1","100","01_uek_cmn_idol_def_N","16","140","1","1.3","10","105931"
"1160004","3","","0","","16","01_uek_cmn_idol_def_N","105931","","0","01_uek_01_kokkoro"
"1160005","3","","0","","16","01_uek_cmn_idol_def_N","112431","","1","01_uek_01_uduki"
"1160006","3","","0","","16","01_uek_cmn_idol_def_N","105831","","1","01_uek_01_peko"
"1160007","91","","","","16","","0","","",""
"1160008","3","","1","","16","","105931","","1","01_uek_talk_normal"
"1160009","11","","10","","16","0","105931","","0","ウヅキさま。先は長\nそうですが、休まな\nくて大丈夫ですか？"
"1160010","91","","","","16","","0","","",""
"1160011","3","","1","","16","","105931","","1","01_uek_cmn_idol_def_N"
"1160012","3","","1","","16","","112431","","","01_uek_talk_joy1"
"1160013","11","","10","","16","0","112431","","0","はい、平気です！\nとっても楽しくって\nやばいです☆"
"1160014","93","","","","16","","1.5","","",""
"1160015","3","","0","","16","01_uek_16_uduki_loop","112431","0.2","1","01_uek_16_uduki"
"1160016","91","","","","16","","1160013","","",""
"1160017","3","","1","","16","","105831","","","01_uek_talk_joy1"
"1160018","11","","10","","16","0","105831","","0","元気いっぱいですね\nウヅキさん、一緒に\n頑張りましょう～☆"
"1160019","93","","","","16","","2.2","","",""
"1160020","3","","0","","16","01_uek_16_uduki_loop","105831","0.2","1","01_uek_16_peco"
"1160021","91","","","","16","","1160018","","",""
"1170001","1","1","300","03_uek_cmn_idol_def_N","17","150","1","1.3","10","102331"
"1170002","1","0","100","03_uek_cmn_idol_def_N","17","-100","1","1.3","-15","102131"
"1170003","31","","20","","17","10","3","0","1.3","3"
"1170004","3","0.2","0","","17","03_uek_17_ayane_loop","102331","0.2","1","03_uek_17_ayane"
"1170005","3","","0","","17","03_uek_cmn_idol_def_N","102131","0.2","1","03_uek_cmn_pose05"
"1170006","32","","","","17","","3","","","1"
"1170007","11","","10","","17","0","102331","","0","見て見て！\n雲でぷうきちを\n作ったよー！"
"1170008","91","","","","17","","0","","",""
"1170009","3","","1","","17","","102131","0.2","","03_uek_talk_joy1"
"1170010","11","","10","","17","0","102131","","0","わぁ、すご～い…！\n私も何か\n作りたいなぁ…♪"
"1170011","91","","","","17","","0","","",""
"1170012","3","","1","","17","","102131","0.2","","03_uek_cmn_idol_def_N"
"1180001","1","0","100","01_uek_cmn_idol_def_N","18","229","1","1.3","45","112631"
"1180002","1","0","110","01_uek_cmn_idol_def_N","18","170","1","1.3","20","105831"
"1180003","1","0","100","01_uek_cmn_idol_def_N","18","-85","1","1.3","-10","105931"
"1180004","3","","0","","18","01_uek_18_mio_loop","112631","","1","01_uek_18_mio"
"1180005","11","","10","","18","0","112631","","0","だいぶ登ったね～\nちょっと下のほう\n見てみようよ！"
"1180006","91","","","","18","","0","","",""
"1180007","3","","0","","18","01_uek_18_mio_loop","105831","","1","01_uek_18_mio"
"1180008","11","","10","","18","0","105831","","0","そうですね！\nえーと、どれどれ…\nって、わわわわ！"
"1180009","93","","","","18","","3","","",""
"1180010","2","","5","","18","2","105831","","1","170"
"1180011","91","","","","18","","1180008","","",""
"1180012","3","","0","","18","01_uek_cmn_idol_def_N","105931","","1","01_uek_18_kokkoro"
"1180013","11","","10","","18","0","105931","","0","ふふ、お二人とも\nはしゃがれて、楽し\nそうでございますね"
"1190001","1","0","100","02_uek_19_hatsune","19","402","1","1.3","110","101231"
"1190002","1","0","100","02_uek_talk_surprise2","19","166","1","1.3","30","103831"
"1190003","3","","1","","19","","103831","0.2","0","02_uek_talk_surprise2"
"1190004","11","","10","","19","0","103831","","0","あ！　お姉ちゃん！\nこんなところで\n寝ちゃ危ないよー！"
"1190005","91","","","","19","","0","","",""
"1190006","11","","10","","19","0","101231","","0","しおりんの声が\n聞こえたような…\nすやぁ…☆"
"1200001","1","0","100","05_idle","20","-195","2","0.9","-35","105831"
"1200002","1","0","1000","304602_idle","20","150","2","1.4","30","304602"
"1200003","31","","150","","20","50","102","1","1","17"
"1200004","31","","150","","20","400","103","1","1","18"
"1210001","1","0","110","01_uek_21_kokkoro_loop","21","185","1","1.3","25","105931"
"1210002","1","0","120","01_uek_21_rin_loop","21","65","1","1.3","-5","112531"
"1210003","1","0","100","01_uek_cmn_idol_def_N","21","-140","1","1.3","-35","106031"
"1210004","11","","10","","21","0","105931","","0","風が心地よいですね\n優しく、囁きかけて\nいるように感じます"
"1210005","91","","","","21","","0","","",""
"1210006","11","","10","","21","0","112531","","0","上に向かう私たちに\n蒼い風が語りかけて\nきてるのかもね…"
"1210007","91","","","","21","","0","","",""
"1210008","3","","0","","21","01_uek_cmn_idol_def_N","106031","","1","01_uek_21_kyaru"
"1210009","11","","10","","21","0","106031","","0","…あんたたち\nなんか妙なところで\nシンクロしてるわね"
"1210010","91","","","","21","","0","","",""
"1220001","1","0","100","01_uek_cmn_idol_def_N","22","180","1","1.3","40","105831"
"1220002","31","","420","","22","250","4","1","1.3","4"
"1220003","3","","1","","22","","105831","0.2","","01_uek_cmn_pose03"
"1220004","11","","10","","22","0","105831","","0","おにぎり型の雲って\nどんな味がするんで\nしょう…じゅるり☆"
"1220005","91","","","","22","","0","","",""
"1230001","1","0","100","03_uek_cmn_idol_def_N","23","33","1","1.3","5","105231"
"1230002","1","0","1010","03_uek_23_rin","23","200","1","1.3","40","102631"
"1230003","1","0","100","03_uek_cmn_idol_def_N","23","-110","1","1.3","-25","103331"
"1230004","31","","220","","23","32","5","1","1","5"
"1230005","3","","1","","23","","102631","0.2","","03_uek_23_rin"
"1230006","11","","10","","23","0","102631","","0","この雲、ふかふかで\n気持ちいい～\nぐっすり眠れそう～"
"1230007","91","","","","23","","0","","",""
"1230008","2","","40","","23","45","102631","","0","1100"
"1230009","33","","32","","23","45","5","","0","1120"
"1230010","3","","1","","23","","105231","0.2","","03_uek_cmn_pose04"
"1230011","3","","1","","23","","103331","0.2","","03_uek_talk_surprise2"
"1230012","11","","10","","23","0","105231","","0","リンちゃんの寝てる\n雲が流されてるわ！\nど、どうしよう！"
"1230013","91","","","","23","","0","","",""
"1230014","11","","10","","23","0","103331","","0","干し草のほうが\nふかふかだべー！\n戻ってくるべさー！"
"1230015","91","","","","23","","0","","",""
"1240001","1","0","10","03_uek_24_ayumi","24","-240","1","1.3","-45","105531"
"1240002","3","","1","","24","","105531","","0","03_uek_24_ayumi"
"1240003","11","","10","","24","0","105531","","0","あっ、あそこに\n先輩がいる\nじーーーー…"
"1250001","1","1","100","03_uek_cmn_idol_def_N","25","175","1","1.3","15","103631"
"1250002","1","0","100","03_uek_cmn_idol_def_N","25","-36","1","1.3","-10","100431"
"1250003","1","0","100","03_uek_cmn_idol_def_N","25","-158","1","1.3","-45","102031"
"1250004","3","","1","","25","","102031","","0","03_uek_cmn_pose06"
"1250005","11","","10","","25","0","102031","","0","お空で遊ぶのって\nすごく気持ちいいね\nるんたった～♪"
"1250006","91","","","","25","","0","","",""
"1250007","3","","0","","25","03_uek_25_misogi_loop","100431","","1","03_uek_25_misogi"
"1250008","11","","10","","25","0","100431","","0","うん！　キョウカも\nそう思うでしょー？\n…わぁっ！"
"1250009","3","","1","","25","03_uek_25_kyouka_loop","103631","","0","03_uek_25_kyouka"
"1250010","91","","","","25","","0","","",""
"1250011","11","","10","","25","0","103631","","0","ちょっとミソギ！\n落ちたら危ないから\nおどかさないでよ！"
"1250012","91","","","","25","","0","","",""
"1270001","1","0","100","01_uek_cmn_idol_def_N","27","-179","1","1.3","-43","104831"
"1270002","1","0","100","01_uek_27_tamaki_loop","27","0","1","1.3","-14","104631"
"1270003","1","1","100","01_uek_cmn_idol_def_N","27","200","1","1.3","24","103231"
"1270004","11","","10","","27","0","104631","","0","はぁはぁ…\nも、もう限界にゃ…\n帰りたいにゃ…"
"1270005","91","","","","27","","0","","",""
"1270006","3","","0","","27","01_uek_talk_normal","104831","","1","01_uek_cmn_pose02"
"1270007","11","","10","","27","0","104831","","0","効率的な体力配分で\n登れば、これくらい\n楽勝のはずよ"
"1270008","91","","","","27","","0","","",""
"1270009","3","","1","","27","","104831","0.3","0","01_uek_cmn_idol_def_N"
"1270010","3","","1","","27","","103231","","0","01_uek_27_akino_loop"
"1270011","11","","10","","27","0","103231","","0","おーっほっほっほ！\nいい眺めですわ！\n先が楽しみですわね"
"1280001","1","0","110","04_uek_cmn_idol_def_N","28","0","1","1.3","-10","102931"
"1280002","1","0","120","04_uek_cmn_idol_def_N","28","-120","1","1.3","-30","104231"
"1280003","1","0","100","04_uek_cmn_idol_def_N","28","120","1","1.3","10","105431"
"1280004","31","","35","","28","10","6","0","1.3","6"
"1280005","31","","-85","","28","-10","6","0","1.3","9"
"1280006","31","","155","","28","30","6","0","1.3","10"
"1280007","3","","1","","28","","102931","0.2","","04_uek_28_nozomi"
"1280008","3","","1","","28","","104231","0.2","","04_uek_28_chika"
"1280009","3","","1","","28","","105431","0.2","","04_uek_28_tsumugi"
"1280010","32","","","","28","","6","","","1"
"1280011","32","","","","28","","9","","","1"
"1280012","32","","","","28","","10","","","1"
"1280013","11","","10","","28","0","102931","","0","空の上でも\nカルミナ…\nオンステージ！"
"1280014","91","","","","28","","0","","",""
"1280015","11","","10","","28","0","104231","","0","風が気持ちいい…！\n精霊たちも\n楽しそうです！"
"1280016","91","","","","28","","0","","",""
"1280017","11","","10","","28","0","105431","","0","最っ高ですね！\nアンコールまで\n駆け抜けましょう！"
"1280018","91","","","","28","","0","","",""
"1290001","1","0","100","03_uek_cmn_idol_def_N","29","-40","1","1.3","-10","101531"
"1290002","1","1","100","03_uek_cmn_idol_def_N","29","95","1","1.3","10","101831"
"1290003","3","","1","","29","","101831","","0","03_uek_talk_joy1"
"1290004","11","","10","","29","0","101831","","0","気持ちいいところね\n遠足で生徒たちも\n連れてこようかしら"
"1290005","91","","","","29","","0","","",""
"1290006","3","","1","","29","","101831","0.3","0","03_uek_cmn_idol_def_N"
"1290007","3","","1","","29","","101531","0.3","0","03_uek_talk_joy1"
"1290008","11","","10","","29","0","101531","","0","あらあら～、じゃあ\n里の子どもたちも\nご一緒したいです～"
"1290009","91","","","","29","","0","","",""
"1290010","3","","1","","29","","101531","0.3","0","03_uek_cmn_idol_def_N"
"1300001","1","0","100","05_idle","30","-195","2","0.9","-35","105831"
"1300002","1","0","1000","307505_idle","30","150","2","1.5","-50","307505"
"1300003","31","","150","","30","50","102","1","1","19"
"1300004","31","","150","","30","400","103","1","1","20"
"1300005","3","","0","","30","307505_idle","307505","0","1","307505_awake"
"1310001","1","0","110","01_uek_cmn_idol_def_N","31","140","1","1.3","10","105831"
"1310002","1","0","110","01_uek_cmn_idol_def_N","31","20","1","1.3","0","105931"
"1310003","1","0","110","01_uek_26_kyaru_loop","31","-200","1","1.3","-55","106031"
"1310004","93","","","","31","","1","","",""
"1310005","4","","","","31","","105831","","","1"
"1310006","3","","1","","31","","105831","0","","01_uek_cmn_pose04"
"1310007","11","","10","","31","","105831","","","見てください！\nお星様の世界です！\nすごい景色ですね☆"
"1310008","93","","","","31","","2.3","","",""
"1310009","3","","0","","31","","105831","0.2","0","01_uek_cmn_idol_def_N"
"1310010","91","","","","31","","1310007","","",""
"1310011","3","","1","","31","","105831","0.2","0","01_uek_cmn_idol_def_N"
"1310012","3","","1","","31","","105931","","","01_uek_talk_normal"
"1310013","11","","10","","31","","105931","","","本当に素晴らしい\n場所でございます\n堪能いたしましょう"
"1310014","91","","","","31","","0","","",""
"1310015","3","","1","","31","","105931","0.2","","01_uek_cmn_idol_def_N"
"1310016","11","","10","","31","","106031","","","何落ち着いてるのよ\nおかしいでしょ\nなんか色々と…！"
"1320001","1","1","100","02_uek_32_kuka_loop","32","255","1","1.3","91","104531"
"1320002","1","0","100","02_uek_cmn_idol_def_N","32","-97","1","1.3","-29","105331"
"1320003","1","0","100","02_uek_cmn_idol_def_N","32","50","1","1.3","0","103031"
"1320004","3","","0","","32","","104531","0.5","0","02_uek_32_kuka"
"1320005","3","","0","","32","02_uek_talk_surprise2","105331","0.5","1","02_uek_cmn_shock_def_N"
"1320006","3","","0","","32","02_uek_talk_surprise2","103031","0.5","1","02_uek_cmn_shock_def_N"
"1320007","91","","","","32","","0","","",""
"1320008","3","","1","","32","","103031","0.5","0","02_uek_talk_surprise2"
"1320009","11","","10","","32","0","103031","","0","せっかく見つけた\nクウカがまた\n飛んでマス！"
"1320010","91","","","","32","","0","","",""
"1320011","3","","1","","32","","105331","0.5","0","02_uek_talk_surprise2"
"1320012","11","","10","","32","0","105331","","0","やっぱりよろこんで\nなかったか！？"
"1330001","1","1","100","02_uek_cmn_idol_def_N","33","0","1","1.3","0","100831"
"1330002","31","","-120","","33","130","7","1","1.3","7"
"1330003","3","","0","","33","02_uek_33_yuki_loop","100831","0.2","1","02_uek_33_yuki"
"1330004","11","","10","","33","0","100831","","0","星の輝きを浴びた\nボクはまた一段と\n美しいね…"
"1330005","91","","","","33","","0","","",""
"1340001","1","1","110","02_uek_cmn_idol_def_N","34","10","1","1.3","0","100931"
"1340002","1","1","110","02_uek_cmn_idol_def_N","34","180","1","1.3","10","101331"
"1340003","93","","","","34","","1","","",""
"1340004","3","0.2","1","","34","02_uek_cmn_idol_def_N","101331","0.2","1","02_uek_cmn_pose01"
"1340005","11","","10","","34","0","101331","","0","ウチュウキター！\nテンション爆上がり\nですしおすし！"
"1340006","91","","","","34","","0","","",""
"1340007","3","0","0","","34","02_uek_34_anna_loop","100931","0.2","1","02_uek_34_anna"
"1340008","11","","10","","34","0","100931","","0","くくく…星の力を\n強く感じるぞ！\n覚醒の時は近い…！"
"1350001","1","1","100","01_uek_cmn_idol_def_N","35","-200","1","1.3","-60","100231"
"1350002","1","1","100","01_uek_cmn_idol_def_N","35","0","1","1.3","10","100331"
"1350003","1","1","100","01_uek_cmn_idol_def_N","35","200","1","1.3","20","100131"
"1350004","31","","0","","35","270","8","1","1","8"
"1350005","3","0.2","0","","35","01_uek_35_yui_loop","100231","0.2","1","01_uek_35_yui"
"1350006","3","0.2","0","","35","01_uek_35_rei_loop","100331","0.2","1","01_uek_35_rei"
"1350007","3","","1","","35","","100131","0.2","","01_uek_cmn_pose03"
"1350008","11","","10","","35","0","100231","","0","見て、流れ星…！\nみんなで願い事を\nしようよ"
"1350009","91","","","","35","","0","","",""
"1350010","11","","10","","35","0","100331","","0","ああ、そうだね\n私たちにぴったりな\nシチュエーションだ"
"1350011","91","","","","35","","0","","",""
"1350012","11","","10","","35","0","100131","","0","さんせーい！\nじゃあ、あたしは…\nうーん、うーん…！"
"1350013","91","","","","35","","0","","",""
