e33324d5f64298680ce0066a7bd461605be9ff4b09fe27b102938b822131be92,fcdf4e9267b34cdf6f13698f79d3dbc1763ef7e51b0561ebd7e0b185da1286d9,24b01534d96eeb977a27632724113ed6785d574dd023557144316e6d01486da2,d3bf9be29c496e4d0cb7742e7ee777d275f279d8716a70cdef80baf158b13205,7eb44700315966b3600dad026ea257cd4d654e16d0c82207e8dc1177162f3ed6,875be4fa333bb7edd6be47d3c58487dd861d998df23b74b1c11b0a99dd357d3a,eb6f168f8319cb1685e1d5bc4d1bfbc788fe47f38c874cc1a4bae5395b73a732,83306115a44d64ece64db5d6e5c43c575af13600a88445d1a94a27a6f829a9be,f02e35b3f7b57460852f41e4bbafd59d962aedf6b424cee4996732032217f7ef,77ab4123a5ffd303044392bb1405db1351eb0ba89152589618b40612967ae2d1,c4a454e96552798ba20a4e004894655d5ef0b053d04f735025b5f179d40cd1ae
"6","1060005","","","3","","","","93","",""
"6","1060006","pkb_idle_guts_l","","3","0.2","0","","3","pkb_talk_guts_l","1"
"6","1060007","","","1060004","","","","91","",""
"6","1060008","","","3","0.2","1","","3","pkb_idle_normal_l",""
"7","1070001","64","1","1","1.65","100","pkb_idle_normal","1","113411","-175"
"7","1070002","pkb_talk_joy1","0.2","113411","0.2","0","","3","pkb_talk_fun","1"
"7","1070003","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_201",""
"7","1070004","0","0","113411","0","8","0","11","フレーフレー！\n今日もファイトだよ！\n張り切っていこー！","0"
"7","1070005","","","3.4","","","","93","",""
"7","1070006","pkb_idle_normal","0.2","113411","0.2","0","","3","pkb_talk_handsup","1"
"7","1070007","","","1070004","","","","91","",""
"7","1070008","","","113411","0.2","1","","3","pkb_idle_normal",""
"8","1080001","64","1","1","1.65","100","pkb_idle_normal","1","113411","-175"
"8","1080002","","","113411","0.2","1","","3","pkb_talk_joy2",""
"8","1080003","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_202",""
"8","1080004","0","0","113411","0","8","-1","11","ハツネちゃんも\n練習のお手伝いを\nしちゃうのだ～！\nきらーん☆","0"
"8","1080005","","","3.6","","","","93","",""
"8","1080006","","","113411","0.2","0","","3","pkb_hatsune_kiran",""
"8","1080007","","","1080004","","","","91","",""
"8","1080008","","","113411","0.2","1","","3","pkb_idle_normal",""
"9","1090001","64","1","1","1.65","100","pkb_idle_normal","1","113411","-175"
"9","1090002","","","113411","0.2","1","","3","pkb_talk_joy2",""
"9","1090003","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_203",""
"9","1090004","0","0","113411","0","6","0","11","私も投げてみたいな！\n超能りょ…じゃなくて\n魔法で、すごい球を\n投げちゃうよ！","0"
"9","1090005","","","3","","","","93","",""
"9","1090006","pkb_idle_surprise1","0.2","113411","0.2","0","","3","pkb_surprise","1"
"9","1090007","","","1","","","","93","",""
"9","1090008","","","113411","0.2","1","","3","pkb_talk_joy3",""
"9","1090009","","","1090004","","","","91","",""
"9","1090010","","","113411","0.2","1","","3","pkb_idle_normal",""
"10","1100001","64","1","1","1.65","100","pkb_idle_normal","1","106531","-175"
"10","1100002","pkb_idle_arm_crossed","","106531","0.2","0","","3","pkb_talk_arm_crossed","1"
"10","1100003","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_301",""
"10","1100004","0","0","106531","0","8","0","11","なあ、練習始めようぜ\n早く投げたくて\nウズウズしてるんだ！","0"
"10","1100005","","","2.8","","","","93","",""
"10","1100006","","","106531","0.2","1","","3","pkb_talk_joy1",""
"10","1100007","","","1100004","","","","91","",""
"10","1100008","","","106531","0.2","1","","3","pkb_idle_normal",""
"11","1110001","64","1","1","1.65","100","pkb_idle_normal","1","106531","-175"
"11","1110002","","","106531","0.2","1","","3","pkb_talk_normal",""
"11","1110003","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_302",""
"11","1110004","0","0","106531","0","8","0","11","オレ様の特訓は\n半端じゃねえぜ\n覚悟しとけよ？","0"
"11","1110005","","","3.2","","","","93","",""
"11","1110006","pkb_idle_arm_crossed","0.2","106531","0.2","0","","3","pkb_talk_arm_crossed","1"
"11","1110007","","","1110004","","","","91","",""
"11","1110008","","","106531","0.2","1","","3","pkb_idle_normal",""
"12","1120001","64","1","1","1.65","100","pkb_idle_normal","1","106531","-175"
"12","1120002","pkb_idle_arm_crossed","0.2","106531","0.2","0","","3","pkb_talk_arm_crossed","1"
"12","1120003","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_303",""
"12","1120004","0","0","106531","0","8","0.5","11","威勢がいいのは口だけ\nじゃねえってとこ\n見せてくれよな？","0"
"12","1120005","","","3.2","","","","93","",""
"12","1120006","pkb_idle_doya","","106531","0.2","0","","3","pkb_talk_doya","1"
"12","1120007","","","1120004","","","","91","",""
"12","1120008","","","106531","0.2","1","","3","pkb_idle_normal",""
"13","1130001","64","1","1","1.65","100","pkb_idle_normal","1","102311","-175"
"13","1130002","pkb_talk_joy1","0.4","102311","0.2","0","","3","pkb_talk_fun","1"
"13","1130003","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_401",""
"13","1130004","0","0","102311","0","8","0","11","今日も打っちゃうよ！\n一緒にがんばろうね\nぷうきち！","0"
"13","1130005","","","1130004","","","","91","",""
"13","1130006","","","102311","0.2","1","","3","pkb_idle_normal",""
"14","1140001","64","1","1","1.65","100","pkb_idle_normal","1","102311","-175"
"14","1140002","","","102311","0.2","1","","3","pkb_talk_joy1",""
"14","1140003","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_402",""
"14","1140004","0","0","102311","0","8","0","11","全部ホームラン\n打てばいいんだよね？\nそれくらい簡単だよ！","0"
"14","1140005","","","3","","","","93","",""
"14","1140006","pkb_idle_doya","","102311","0.2","0","","3","pkb_talk_doya","1"
"14","1140007","","","1140004","","","","91","",""
"14","1140008","","","102311","0.2","1","","3","pkb_idle_normal",""
"15","1150001","64","1","1","1.65","100","pkb_idle_normal","1","102311","-175"
"15","1150002","","","102311","0.2","1","","3","pkb_talk_wish",""
"15","1150003","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_403",""
"15","1150004","0","0","102311","0","8","-0.5","11","お兄ちゃんたちの\nお手本になれる\nように、いっぱい\n打つからね！","0"
"15","1150005","","","2.4","","","","93","",""
"15","1150006","pkb_talk_joy1","0.4","102311","0.2","0","","3","pkb_talk_fun","1"
"15","1150007","","","1150004","","","","91","",""
"15","1150008","","","102311","0.2","1","","3","pkb_idle_normal",""
"16","1160001","64","1","1","57","100","pkb_idle_normal_l","5","1","-155"
"16","1160002","pkb_idle_arm_crossed_l","0.2","1","0.2","0","","3","pkb_talk_arm_crossed_l","1"
"16","1160003","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_701",""
"16","1160004","0","0","1","0","8","0","11","全国大会を目指して\n今日も練習頑張ろう！","0"
"16","1160005","","","2.6","","","","93","",""
"16","1160006","pkb_idle_doya_l","0.2","1","0.2","0","","3","pkb_talk_doya_l","1"
"16","1160007","","","1160004","","","","91","",""
"16","1160008","","","1","0.2","1","","3","pkb_idle_normal_l",""
"17","1170001","64","1","1","57","100","pkb_idle_normal_l","5","1","-155"
"17","1170002","pkb_idle_guts_l","","1","0.2","0","","3","pkb_talk_guts_l","1"
"17","1170003","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_702",""
"17","1170004","0","0","1","0","8","0","11","夢を叶えるために\n全力で練習に\n取り組もう！","0"
"17","1170005","","","0","","","","91","",""
"17","1170006","","","1","0.2","1","","3","pkb_idle_normal_l",""
"18","1180001","64","1","1","57","100","pkb_idle_normal_l","5","1","-155"
"18","1180002","pkb_idle_arm_crossed_l","0.2","1","0.2","0","","3","pkb_talk_arm_crossed_l","1"
"18","1180003","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_703",""
"18","1180004","0","0","1","0","8","0","11","部員のみんなも\nすごく上達してる…\n俺も負けてられない！","0"
"18","1180005","","","2.9","","","","93","",""
"18","1180006","pkb_idle_guts_l","","1","0.2","0","","3","pkb_talk_guts_l","1"
"18","1180007","","","1180004","","","","91","",""
"18","1180008","","","1","0.2","1","","3","pkb_idle_normal_l",""
"19","1190001","64","1","2","57","100","pkb_idle_normal_l","5","2","-155"
"19","1190002","pkb_idle_arm_crossed_l","0.2","2","0.2","0","","3","pkb_talk_arm_crossed_l","1"
"19","1190003","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_801",""
"19","1190004","0","0","2","0","8","0","11","上達してるってとこ\n見せてやる\nオレだって選手なんだ","0"
"19","1190005","","","3.8","","","","93","",""
"19","1190006","pkb_idle_guts_l","","2","0.2","0","","3","pkb_talk_guts_l","1"
"19","1190007","","","1190004","","","","91","",""
"19","1190008","","","2","0.2","1","","3","pkb_idle_normal_l",""
"20","1200001","64","1","2","57","100","pkb_idle_normal_l","5","2","-155"
"20","1200002","pkb_idle_guts_l","","2","0.2","0","","3","pkb_talk_guts_l","1"
"20","1200003","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_802",""
"20","1200004","0","0","2","0","8","0","11","今日もかっとばす\n遠慮せず全力で\nかかってこい","0"
"20","1200005","","","3.2","","","","93","",""
"20","1200006","pkb_idle_doya_l","","2","0.2","0","","3","pkb_talk_doya_l","1"
"20","1200007","","","1200004","","","","91","",""
"20","1200008","","","2","0.2","1","","3","pkb_idle_normal_l",""
"21","1210001","64","1","2","57","100","pkb_idle_normal_l","5","2","-155"
"21","1210002","pkb_idle_arm_crossed_l","0.2","2","0.2","0","","3","pkb_talk_arm_crossed_l","1"
"21","1210003","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_803",""
"21","1210004","0","0","2","0","8","0","11","全国を目指してんだ\nもっと練習しなきゃ\nいけねえよな","0"
"21","1210005","","","0","","","","91","",""
"21","1210006","","","2","0.2","1","","3","pkb_idle_normal_l",""
"22","1220001","-20","0","1","1.6","100","pkb_idle_normal","1","113511","-150"
"22","1220002","170","1","1","1.6","100","pkb_idle_normal","1","113411","-150"
"22","1220003","","","113511","0.2","1","","3","pkb_talk_joy1",""
"22","1220004","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_talk_1_101",""
"22","1220005","0","0","113511","0","6","-0.5","11","ふふ、みんなすごく\n張り切ってるわね\nハツネちゃんの応援の\nおかげかしら♪","0"
"22","1220006","","","0","","","","91","",""
"22","1220007","","","113511","0.2","1","","3","pkb_idle_normal",""
"22","1220008","","","113411","0.2","1","","3","pkb_talk_joy1",""
"22","1220009","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_talk_1_202",""
"22","1220010","0","0","113411","0","6","-0.5","11","そうかなー？\nじゃあもっと応援\nがんばっちゃうぞ～！","0"
"22","1220011","","","4","","","","93","",""
"22","1220012","pkb_idle_normal","0","113411","0.2","0","","3","pkb_talk_handsup","1"
"22","1220013","","","1220010","","","","91","",""
"22","1220014","","","113411","0.2","1","","3","pkb_idle_normal",""
"23","1230001","170","1","1","1.6","100","pkb_idle_normal","1","113411","-150"
"23","1230002","-20","0","1","1.6","100","pkb_idle_normal","1","113511","-150"
"23","1230003","","","113411","0.2","1","","3","pkb_talk_normal",""
"23","1230004","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_talk_2_201",""
"23","1230005","0","0","113411","0","8","-1.5","11","ミサト先生も一緒に\n応援しようよ！","0"
"23","1230006","","","0","","","","91","",""
"23","1230007","","","113411","0.2","1","","3","pkb_idle_normal",""
"23","1230008","","","113511","0.2","1","","3","pkb_talk_normal",""
"23","1230009","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_talk_2_102",""
"23","1230010","0","0","113511","0","5","3","11","あらあら\n楽しそうね～♪\nフレーフレー！","0"
"23","1230011","","","4","","","","93","",""
"23","1230012","pkb_talk_fun","0.2","113511","0.2","0","","3","pkb_talk_fun","0"
"23","1230013","","","2.7","","","","93","",""
"23","1230014","pkb_talk_joy1","0.2","113511","0.2","0","","3","pkb_idle_normal","1"
"23","1230015","","","1230010","","","","91","",""
"23","1230016","","","113511","0.2","1","","3","pkb_idle_normal",""
"24","1240001","170","1","1","1.6","100","pkb_idle_normal","1","113511","-150"
"24","1240002","-20","0","3","55","100","pkb_idle_normal","5","3","-130"
"24","1240003","","","113511","0.2","1","","3","pkb_talk_joy3",""
"24","1240004","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_talk_3_101",""
"24","1240005","0","0","113511","0","6","-1","11","ダイチくんったら\nすごい気合いね～！\nでも、無理しちゃ\n駄目ですよ～？","0"
"24","1240006","","","4","","","","93","",""
"24","1240007","","","113511","0.2","1","","3","pkb_talk_wish",""
"24","1240008","","","1240005","","","","91","",""
"24","1240009","","","113511","0.2","1","","3","pkb_idle_normal",""
"24","1240010","","","3","0.2","1","","3","pkb_talk_normal",""
"24","1240011","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_talk_3_602",""
"24","1240012","0","0","3","0","6","-1","11","わかってるっつーの\nけどよ、ビーチベース\nボールが楽しくて\n仕方ねえんだよ！","0"
"24","1240013","","","2","","","","93","",""
"24","1240014","pkb_idle_doya","","3","0.2","0","","3","pkb_talk_doya","1"
"24","1240015","","","1240012","","","","91","",""
"24","1240016","","","3","0.2","1","","3","pkb_idle_normal",""
"25","1250001","-20","0","3","55","100","pkb_idle_normal","5","3","-130"
"25","1250002","170","1","1","1.6","100","pkb_idle_normal","1","113511","-150"
"25","1250003","pkb_idle_arm_crossed","0.2","3","0.2","0","","3","pkb_talk_arm_crossed","1"
"25","1250004","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_talk_4_601",""
"25","1250005","0","0","3","0","8","-0.5","11","今の俺たちなら\n全国行けるぜ！\n絶対に夢を\n叶えようぜ！","0"
"25","1250006","","","3","","","","93","",""
"25","1250007","pkb_idle_guts","","3","0.2","0","","3","pkb_talk_guts","1"
"25","1250008","","","1250005","","","","91","",""
"25","1250009","","","3","0.2","1","","3","pkb_idle_normal",""
"25","1250010","","","113511","0.2","1","","3","pkb_talk_wish",""
"25","1250011","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_talk_4_102",""
"25","1250012","0","0","113511","0","6","1","11","ええ、あなたたちなら\n行けるって信じてるわ\n頑張りましょう～♪","0"
"25","1250013","","","5.6","","","","93","",""
"25","1250014","pkb_idle_normal","0.2","113511","0.2","0","","3","pkb_talk_handsup","1"
"25","1250015","","","0","","","","91","",""
"25","1250016","","","113511","0.2","1","","3","pkb_idle_normal",""
"26","1260001","170","1","1","1.6","100","pkb_idle_normal","1","113511","-150"
"26","1260002","-20","0","1","55","100","pkb_idle_normal","5","1","-130"
"26","1260003","","","113511","0.2","1","","3","pkb_talk_joy3",""
"26","1260004","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_talk_5_101",""
"26","1260005","0","0","113511","0","6","0","11","ふふ、先生も\n練習のお手伝いを\nしますからね～","0"
"26","1260006","","","0","","","","91","",""
"26","1260007","","","113511","0.2","1","","3","pkb_idle_normal",""
"26","1260008","pkb_idle_guts","0.2","1","0.2","0","","3","pkb_talk_guts","1"
"26","1260009","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_talk_5_702",""
"26","1260010","0","0","1","0","8","-1","11","先生、ありがとう\nございます！\n俺も気合い入れて\n頑張ります！","0"
"26","1260011","","","0","","","","91","",""
"26","1260012","","","1","0.2","1","","3","pkb_idle_normal",""
"27","1270001","-20","0","1","55","100","pkb_idle_normal","5","1","-130"
"27","1270002","170","1","1","1.6","100","pkb_idle_normal","1","113511","-150"
"27","1270003","pkb_idle_arm_crossed","0.2","1","0.2","0","","3","pkb_talk_arm_crossed","1"
"27","1270004","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_talk_6_701",""
"27","1270005","0","0","1","0","8","-0.5","11","今日もボールが\nピカピカだ…\nきっと先生が\n磨いてくれたんだ…！","0"
"27","1270006","","","2.6","","","","93","",""
"27","1270007","pkb_idle_guts","0.2","1","0.2","0","","3","pkb_talk_guts","1"
"27","1270008","","","1270005","","","","91","",""
"27","1270009","","","1","0.2","1","","3","pkb_idle_normal",""
"27","1270010","","","113511","0.2","1","","3","pkb_talk_joy3",""
"27","1270011","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_talk_6_102",""
"27","1270012","0","0","113511","0","6","0.5","11","私にできることを\nしただけですよ～\nみんなが気持ちよく\n練習できたらなって♪","0"
"27","1270013","","","4","","","","93","",""
"27","1270014","","","113511","0.2","1","","3","pkb_talk_wish",""
"27","1270015","","","1270012","","","","91","",""
"27","1270016","","","113511","0.2","1","","3","pkb_idle_normal",""
"28","1280001","170","1","1","1.6","100","pkb_idle_normal","1","113411","-150"
"28","1280002","-20","0","3","55","100","pkb_idle_normal","5","3","-130"
"28","1280003","pkb_talk_joy1","0.2","113411","0.2","0","","3","pkb_talk_yell","1"
"28","1280004","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_talk_7_201",""
"28","1280005","0","0","113411","0","8","-0.5","11","みんな、頑張れ～♪\nかっこいいところ\n期待してるよー！\nファイトファイト～！","0"
"28","1280006","","","4.6","","","","93","",""
"28","1280007","pkb_idle_normal","0.2","113411","0.2","0","","3","pkb_talk_fun","1"
"28","1280008","","","1280005","","","","91","",""
"28","1280009","","","113411","0.2","1","","3","pkb_idle_normal",""
"28","1280010","pkb_idle_guts","","3","0.2","0","","3","pkb_talk_guts","1"
"28","1280011","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_talk_7_602",""
"28","1280012","0","0","3","0","8","0","11","応援が沁みるぜ…\nハツネちゃんに\nいいとこ見せるぞ！\nうおおぉぉ！！","0"
"28","1280013","","","5","","","","93","",""
"28","1280014","pkb_idle_normal","","3","0.2","0","","3","pkb_talk_handsup","1"
"28","1280015","","","1280012","","","","91","",""
"28","1280016","","","3","0.2","1","","3","pkb_idle_normal",""
"29","1290001","-20","0","3","55","100","pkb_idle_normal","5","3","-130"
"29","1290002","170","1","1","1.6","100","pkb_idle_normal","1","113411","-150"
"29","1290003","pkb_idle_arm_crossed","0.2","3","0.2","0","","3","pkb_talk_arm_crossed","1"
"29","1290004","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_talk_8_601",""
"29","1290005","0","0","3","0","8","-1","11","かなりハードな練習に\nなりそうなんだ\nビシッと気合いが入る\n応援を頼むぜ！","0"
"29","1290006","","","2.8","","","","93","",""
"29","1290007","pkb_idle_guts","","3","0.2","0","","3","pkb_talk_guts","1"
"29","1290008","","","1290005","","","","91","",""
"29","1290009","","","3","0.2","1","","3","pkb_idle_normal",""
"29","1290010","","","113411","0.2","1","","3","pkb_talk_joy1",""
"29","1290011","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_talk_8_202",""
"29","1290012","0","0","113411","0","8","-0.5","11","任せてよ！\nいつもよりいっぱい\n応援しちゃうよ～！","0"
"29","1290013","","","2.2","","","","93","",""
"29","1290014","pkb_smile","0.4","113411","0.2","0","","3","pkb_talk_fun","0"
"29","1290015","","","2.2","","","","93","",""
"29","1290016","","","113411","0.2","1","","3","pkb_idle_normal",""
"29","1290017","","","1290012","","","","91","",""
"29","1290018","","","113411","0.2","1","","3","pkb_idle_normal",""
"30","1300001","170","1","1","1.6","100","pkb_idle_normal","1","113411","-150"
"30","1300002","-20","0","1","55","100","pkb_idle_normal","5","1","-130"
"30","1300003","","","113411","0.2","1","","3","pkb_talk_joy1",""
"30","1300004","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_talk_9_201",""
"30","1300005","0","0","113411","0","8","1","11","いっぱい応援するから\n今日も練習頑張ってね\n目指せ、全国大会～！","0"
"30","1300006","","","5","","","","93","",""
"30","1300007","pkb_idle_normal","","113411","0.2","0","","3","pkb_talk_handsup","1"
"30","1300008","","","1300005","","","","91","",""
"30","1300009","","","113411","0.2","1","","3","pkb_idle_normal",""
"30","1300010","","","1","0.2","1","","3","pkb_talk_normal",""
"30","1300011","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_talk_9_702",""
"30","1300012","0","0","1","0","8","-1","11","ハツネちゃんの応援は\n俺たちの力に\nなってるよ\nいつもありがとう！","0"
"30","1300013","","","3.3","","","","93","",""
"30","1300014","pkb_idle_guts","","1","0.2","0","","3","pkb_talk_guts","1"
"30","1300015","","","1300012","","","","91","",""
"30","1300016","","","1","0.2","1","","3","pkb_idle_normal",""
"31","1310001","-20","0","1","55","100","pkb_idle_normal","5","1","-130"
"31","1310002","170","1","1","1.6","100","pkb_idle_normal","1","113411","-150"
"31","1310003","pkb_idle_arm_crossed","0.2","1","0.2","0","","3","pkb_talk_arm_crossed","1"
"31","1310004","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_talk_10_701",""
"31","1310005","0","0","1","0","8","-1.5","11","キャプテンとして\nもっと上手くなって\nみんなを引っ張って\nいかないと！","0"
"31","1310006","","","3.6","","","","93","",""
"31","1310007","pkb_idle_doya","","1","0.2","0","","3","pkb_talk_doya","1"
"31","1310008","","","1310005","","","","91","",""
"31","1310009","","","1","0.2","1","","3","pkb_idle_normal",""
"31","1310010","","","113411","0.2","1","","3","pkb_talk_joy1",""
"31","1310011","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_talk_10_202",""
"31","1310012","0","0","113411","0","8","-0.5","11","おっ、アサヒくん！\n気合い入ってるね！\nその意気なのだ～！\n頑張れ頑張れ～☆","0"
"31","1310013","","","3.6","","","","93","",""
"31","1310014","pkb_talk_fun","","113411","0.2","0","","3","pkb_talk_fun","0"
"31","1310015","","","3","","","","93","",""
"31","1310016","","","113411","0.2","1","","3","pkb_idle_normal",""
"31","1310017","","","1310012","","","","91","",""
"32","1320001","-20","0","2","55","100","pkb_idle_normal","5","2","-130"
"32","1320002","170","1","1","1.6","100","pkb_idle_normal","1","113411","-150"
"32","1320003","pkb_idle_guts","","2","0.2","0","","3","pkb_talk_guts","1"
"32","1320004","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_talk_11_801",""
"32","1320005","0","0","2","0","8","0","11","ハツネちゃん…\nホームラン打つって\n約束するから\nしっかり見ててくれよ","0"
"32","1320006","","","5","","","","93","",""
"32","1320007","pkb_idle_doya","","2","0.2","0","","3","pkb_talk_doya","1"
"32","1320008","","","1320005","","","","91","",""
"32","1320009","","","2","0.2","1","","3","pkb_idle_normal",""
"32","1320010","","","113411","0.2","1","","3","pkb_talk_joy2",""
"32","1320011","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_talk_11_202",""
"32","1320012","0","0","113411","0","8","0","11","うん、わかった！\n特大ホームランを\nよろしくねー！\n期待してるよ～！","0"
"32","1320013","","","4.6","","","","93","",""
"32","1320014","pkb_idle_normal","0.2","113411","0.2","0","","3","pkb_hatsune_kiran","1"
"32","1320015","","","1320012","","","","91","",""
"32","1320016","","","113411","0.2","1","","3","pkb_idle_normal",""
"33","1330001","170","1","1","1.6","100","pkb_idle_normal","1","102311","-150"
"33","1330002","-20","0","2","55","100","pkb_idle_normal","5","2","-130"
"33","1330003","","","102311","0.2","1","","3","pkb_talk_normal",""
"33","1330004","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_talk_12_401",""
"33","1330005","0","0","102311","0","8","-0.5","11","声出し練習やろうよ！\n「ぷうきち\nフルスイング」って\n大声で百回～！","0"
"33","1330006","","","1.6","","","","93","",""
"33","1330007","pkb_talk_joy1","0.2","102311","0.2","0","","3","pkb_talk_yell","1"
"33","1330008","","","1330005","","","","91","",""
"33","1330009","","","102311","0.2","1","","3","pkb_idle_normal",""
"33","1330010","0","","vo_minigame_1006","","0","","21","vo_minigame_1006_top_talk_12_802",""
"33","1330011","0","0","2","0","8","0","11","ぷ、ぷうきち\nフルスイーング！\n…これはこれで\nキツい練習だな","0"
"33","1330012","","","0.5","","","","93","",""
"33","1330013","","","2","0.2","0","","3","pkb_talk_yell",""
