989242767f42b012094141dc235744acffb0def4859300386372af6e079a4a18,6dfaa1996edcf6f0d6d7e2a10b49273d4dbfc36cd28cebffbc83e048feefbdf3,e0c59c03b13b988ed8c76bf0a089408f7421a4afe59e289b443cf28d63bb4cdc,ff513c53edab158cca91d4cd28131e7241804e97440c97c89cc2392920ad5b18,0ca534ac3a0bfdb92b6f06308228c0a914561e8eed1d3abb17293953f490d93b,9bb4a91e1207c74f05ff119e591bfcfc73f872d5d3996d41973ef2aad2b73498,269fa8b8a64d8dba55547548f6198617dbe130bdab0fd6daae1c167fc835c08f,3af8c56560426014ff3f35aeca363d4e99d42e095a1b763d594b899f1a72d67a,7d22aa58b3da7e6c6dee28b609f658abb75169aaaf0e319fb86656013af2e311,579b11264f20ffdf8236caa04cb3f38a15cf15378dd3e0bb989f99c109d7c330,981e7daebe3a4b68d126426bd4b7ff7e4cfafeedde4e58e02fbcc622e147c247
"227","","100","8","80005","500367","0","","12","0","91002"
"228","","100","8","80005","500367","0","","13","0","91002"
"229","","100","8","80005","500367","0","","14","0","91002"
"230","","100","8","80005","500367","0","","15","0","91002"
"231","","500","8","70006","0","0","","1","0","91002"
"232","","500","8","70006","0","0","","2","0","91002"
"233","","300","8","70007","0","0","","1","0","91002"
"234","","300","8","70007","0","0","","2","0","91002"
"235","","300","8","70007","0","0","","3","0","91002"
"236","","150","8","40010","0","0","","1","0","91002"
"237","","150","8","40010","0","0","","2","0","91002"
"238","","150","8","40010","0","0","","3","0","91002"
"239","","150","8","40010","0","0","","4","0","91002"
"240","","150","8","40010","0","0","","5","0","91002"
"241","","150","8","40010","0","0","","6","0","91002"
"242","","150","8","40010","0","0","","7","0","91002"
"243","","150","8","40010","0","0","","8","0","91002"
"244","","150","8","40010","0","0","","9","0","91002"
"245","","150","8","40010","0","0","","10","0","91002"
"246","","100","8","80006","530121","0","","1","0","91002"
"247","","100","8","80006","530122","0","","2","0","91002"
"248","","100","8","80006","530123","0","","3","0","91002"
"249","","100","8","80006","530124","0","","4","0","91002"
"250","","100","8","80006","530125","0","","5","0","91002"
"251","","100","8","80006","530126","0","","6","0","91002"
"252","","100","8","80006","530127","0","","7","0","91002"
"253","","100","8","80006","530128","0","","8","0","91002"
"254","","100","8","80006","530129","0","","9","0","91002"
"255","","100","8","80006","530130","0","","10","0","91002"
"256","","100","8","80006","530131","0","","11","0","91002"
"257","","100","8","80006","530132","0","","12","0","91002"
"258","","100","8","80006","530133","0","","13","0","91002"
"259","","100","8","80006","530134","0","","14","0","91002"
"260","","100","8","80006","530135","0","","15","0","91002"
"261","","100","8","80006","530136","0","","16","0","91002"
"262","","100","8","80006","530137","0","","17","0","91002"
"263","","1","7","80006","530137","0","","17","0","2816"
"264","","100","8","80007","530123","0","","1","0","91002"
"265","","100","8","80007","530124","0","","2","0","91002"
"266","","100","8","80007","530125","0","","3","0","91002"
"267","","100","8","80007","530126","0","","4","0","91002"
"268","","100","8","80007","530127","0","","5","0","91002"
"269","","100","8","80007","530128","0","","6","0","91002"
"270","","100","8","80007","530129","0","","7","0","91002"
"271","","100","8","80007","530130","0","","8","0","91002"
"272","","100","8","80007","530131","0","","9","0","91002"
"273","","100","8","80007","530132","0","","10","0","91002"
"274","","100","8","80007","530133","0","","11","0","91002"
"275","","100","8","80007","530134","0","","12","0","91002"
"276","","100","8","80007","530135","0","","13","0","91002"
"277","","100","8","80007","530136","0","","14","0","91002"
"278","","100","8","80007","530137","0","","15","0","91002"
"279","","1","16","80007","530137","0","","15","0","9000215"
"280","","1","16","80007","530137","0","","15","0","9000216"
"281","","500","8","70008","0","0","","1","0","91002"
"282","","500","8","70008","0","0","","2","0","91002"
"283","","1000","8","70009","0","0","","1","0","91002"
"284","","100","8","80008","530141","0","","1","0","91002"
"285","","100","8","80008","530142","0","","2","0","91002"
"286","","100","8","80008","530143","0","","3","0","91002"
"287","","100","8","80008","530144","0","","4","0","91002"
"288","","100","8","80008","530145","0","","5","0","91002"
"289","","100","8","80008","530146","0","","6","0","91002"
"290","","100","8","80008","530147","0","","7","0","91002"
"291","","100","8","80008","530148","0","","8","0","91002"
"292","","100","8","80008","530149","0","","9","0","91002"
"293","","100","8","80008","530150","0","","10","0","91002"
"294","","100","8","80008","530151","0","","11","0","91002"
"295","","100","8","80008","530152","0","","12","0","91002"
"296","","100","8","80008","530153","0","","13","0","91002"
"297","","100","8","80008","530154","0","","14","0","91002"
"298","","100","8","80008","530155","0","","15","0","91002"
"299","","100","8","80008","530156","0","","16","0","91002"
"300","","1","7","80008","530156","0","","16","0","2830"
"301","","100","8","20001","0","0","","1","0","91002"
"302","","20","2","20001","0","0","","1","0","23001"
"303","","100","8","20001","0","0","","2","0","91002"
"304","","20","2","20001","0","0","","2","0","23001"
"305","","1","2","20001","0","0","","3","0","24016"
"306","","20","2","20001","0","0","","3","0","23001"
"307","","100","8","20001","0","0","","4","0","91002"
"308","","20","2","20001","0","0","","4","0","23001"
"309","","300","8","20001","0","0","","5","0","91002"
"310","","20","2","20001","0","0","","5","0","23001"
"311","","100","8","20001","0","0","","6","0","91002"
"312","","20","2","20001","0","0","","6","0","23001"
"313","","100","8","20001","0","0","","7","0","91002"
"314","","20","2","20001","0","0","","7","0","23001"
"315","","200","8","20001","0","0","","8","0","91002"
"316","","20","2","20001","0","0","","8","0","23001"
"317","","300","8","20001","0","0","","9","0","91002"
"318","","20","2","20001","0","0","","9","0","23001"
"319","","1","2","20001","0","0","","10","0","24016"
"320","","20","2","20001","0","0","","10","0","23001"
"321","もうすぐ、みなさまに\nお会いできるのですね。\n胸が高鳴ってしまいます……\n","1","2","40011","0","125801","リリ","1","1","24001"
"322","初めまして、クリアです♪\nみなさんと一緒に冒険するの\nとっても楽しみにしてます","1","2","40011","0","126001","クリア","2","1","24001"
"323","んーと。\nこれ、あげる。\nはい","1","2","40011","0","126101","プレシア","3","1","24001"
"324","あらためまして……\n【アルターメイデン】の\nギルドマスター、リリと申します","1","2","40011","0","125801","リリ","4","2","24001"
"325","こんにちは、お兄さん♪\n【アルターメイデン】の\nクリアです","1","2","40011","0","126001","クリア","5","2","24001"
"326","お兄。\nきてくれて、うれしい","1","2","40011","0","126101","プレシア","6","2","24001"
"327","","100","8","80009","532001","0","","1","0","91002"
"328","","100","8","80009","532002","0","","2","0","91002"
"329","","100","8","80009","532003","0","","3","0","91002"
"330","","100","8","80009","532004","0","","4","0","91002"
"331","","100","8","80009","532005","0","","5","0","91002"
"332","","100","8","80009","532006","0","","6","0","91002"
"333","","100","8","80009","532007","0","","7","0","91002"
"334","","100","8","80009","532008","0","","8","0","91002"
"335","","100","8","80009","532009","0","","9","0","91002"
"336","","100","8","80009","532010","0","","10","0","91002"
"337","","100","8","80009","532011","0","","11","0","91002"
"338","","100","8","80009","532012","0","","12","0","91002"
"339","","100","8","80009","532013","0","","13","0","91002"
"340","","100","8","80009","532014","0","","14","0","91002"
"341","","100","8","80009","532015","0","","15","0","91002"
"342","","1","2","40012","0","0","","1","0","24001"
"343","","1","2","40012","0","0","","2","0","24001"
"344","","1","18","40012","0","0","","3","0","4201402"
"345","","1","2","40012","0","0","","4","0","24001"
"346","","1","2","40012","0","0","","5","0","24001"
"347","","1","18","40012","0","0","","6","0","4203402"
"348","","1","2","40012","0","0","","7","0","24001"
"349","","1","16","40012","0","0","","8","0","9000229"
"350","","500","8","70010","0","0","","1","0","91002"
"351","","1","2","70012","0","0","","1","0","41000"
"352","","1000","8","70011","0","0","","1","0","91002"
"353","","100","8","80010","530157","0","","1","0","91002"
"354","","100","8","80010","530158","0","","2","0","91002"
"355","","100","8","80010","530159","0","","3","0","91002"
"356","","100","8","80010","530160","0","","4","0","91002"
"357","","100","8","80010","530161","0","","5","0","91002"
"358","","100","8","80010","530162","0","","6","0","91002"
"359","","100","8","80010","530163","0","","7","0","91002"
"360","","100","8","80010","530164","0","","8","0","91002"
"361","","100","8","80010","530165","0","","9","0","91002"
"362","","100","8","80010","530166","0","","10","0","91002"
"363","","100","8","80010","530167","0","","11","0","91002"
"364","","100","8","80010","530168","0","","12","0","91002"
"365","","1","7","80010","530173","0","","12","0","2844"
"366","","100","8","80010","530169","0","","13","0","91002"
"367","","1","7","80010","530173","0","","13","0","2846"
"368","","100","8","80010","530170","0","","14","0","91002"
"369","","1","7","80010","530173","0","","14","0","2845"
"370","","100","8","80010","530171","0","","15","0","91002"
"371","","5","7","80010","530173","0","","15","0","2843"
"372","","100","8","80010","530172","0","","16","0","91002"
"373","","1","7","80010","530173","0","","16","0","2842"
"374","","1","16","40013","0","0","","1","0","9000236"
"375","","1","16","40013","0","0","","1","0","9000237"
"376","","1","16","40013","0","0","","1","0","9000238"
"377","","1","16","40013","0","0","","1","0","9000239"
"378","","100","8","80011","532001","0","","1","0","91002"
"379","","100","8","80011","532002","0","","2","0","91002"
"380","","100","8","80011","532003","0","","3","0","91002"
"381","","100","8","80011","532004","0","","4","0","91002"
"382","","100","8","80011","532005","0","","5","0","91002"
"383","","100","8","80011","532006","0","","6","0","91002"
"384","","100","8","80011","532007","0","","7","0","91002"
"385","","100","8","80011","532008","0","","8","0","91002"
"386","","100","8","80011","532009","0","","9","0","91002"
"387","","100","8","80011","532010","0","","10","0","91002"
"388","","100","8","80011","532011","0","","11","0","91002"
"389","","100","8","80011","532012","0","","12","0","91002"
"390","","100","8","80011","532013","0","","13","0","91002"
"391","","100","8","80011","532014","0","","14","0","91002"
"392","","100","8","80011","532015","0","","15","0","91002"
"393","","1","18","40014","0","0","","1","0","4305403"
"394","","1","16","40014","0","0","","2","0","9000242"
"395","","500","8","40015","0","0","","1","0","91002"
"396","","3000","2","40015","0","0","","2","0","90008"
"397","","500","8","40015","0","0","","3","0","91002"
"398","","3000","2","40015","0","0","","4","0","90008"
"399","","1000","8","40015","0","0","","5","0","91002"
"400","","1000","8","70013","0","0","","1","0","91002"
"401","","500","8","70014","0","0","","1","0","91002"
"402","","1","2","70015","0","0","","1","0","41000"
"403","","100","8","80012","530208","0","","1","0","91002"
"404","","100","8","80012","530209","0","","2","0","91002"
"405","","100","8","80012","530210","0","","3","0","91002"
"406","","100","8","80012","530211","0","","4","0","91002"
"407","","100","8","80012","530212","0","","5","0","91002"
"408","","100","8","80012","530213","0","","6","0","91002"
"409","","100","8","80012","530214","0","","7","0","91002"
"410","","100","8","80012","530215","0","","8","0","91002"
