c9b1724d36a9456520b3248dfbdc723ae8d9e84e43179c83c9214ecf7682819a,85aba0a305cbc86bb604f7ead9c105f10c500528acf62c38dcc69d6afc049350,87112eaa4ae38f44993406bac21dad80b40f5b7828ba901221a12d84552e00f2,56c392b04fe5fc34ef7b4ad74ca7be2cd097a0914d92fdd5fe256fe188b54520,84a6fc54fcdb706baef0208816a7b11372c380af556d6ee1ea65f1da20ab568d,73dd12f4c89acf37dc519e35f04d6df51de33e4a1c4ded8fd2607413f18c315e,21388f85fe294be01ce8db09c4cae5a4742ec6ac394ae5273d94c9b1a815ec72,3590125e49e1ef9913016cc42448469cfbd2cc239b73a06ed1c5b435a7c94701,f234db71502b65f65d5603065c0fc4ad0a8beed22d88d4d2a86be22903ba020d,74b3dad67b017c1946a9e4069f99341d994936aebf7c343757a220e4534d1880,a37864689b64c10d8b9d4c415b80c416769ab165f29ea4bd35362be85c55419a
"112411","えへへっ♪\nそれなら安心してください！\nリンちゃんが楽しいなら\n私も楽しいですから！","1","10","","11","1","","1010033","1",""
"0","","","","","91","1","","1010034","",""
"112511","0","","1","","4","1","","1010035","",""
"112411","omp_psn_20","","1","","3","1","0","1010036","",""
"112511","omp_idle_normal","","1","","3","1","0","1010037","",""
"vo_omp_7001","vo_omp_7001_006","0","0","","21","1","","1010038","",""
"112511","心配してたつもりなのに…\n私が励まされちゃった\nウヅキはやっぱりすごいな…","1","10","","11","1","","1010039","1",""
"0","","","","","91","1","","1010040","",""
"0.4","","","","","93","1","","1010041","",""
"1","112511","-180","1600","omp_idle_normal","1","2","1.8","1020001","-195","0"
"1","112411","20","1500","omp_talk_normal","1","2","1.8","1020002","-190","1"
"1","112611","220","1600","omp_idle_normal","1","2","1.8","1020003","-205","1"
"1","1","0","0","","31","2","1","1020004","1",""
"1","","","","","93","2","","1020005","",""
"vo_omp_7002","vo_omp_7002_000","0","0","","21","2","","1020006","",""
"112411","ペコリーヌちゃんの魔物料理、\n美味しかったですね♪","1","10","","11","2","","1020007","1",""
"0","","","","","91","2","","1020008","",""
"112411","0","","","","4","2","","1020009","",""
"112411","omp_idle_normal","","1","","3","2","0","1020010","",""
"112611","omp_talk_joy1","","1","","3","2","0","1020011","",""
"vo_omp_7002","vo_omp_7002_001","0","0","","21","2","","1020012","",""
"112611","うん！　美味しかったし\n冒険の醍醐味って感じがして…\nすごい経験しちゃったなって！","1","10","","11","2","","1020013","1",""
"0","","","","","91","2","","1020014","",""
"112611","omp_idle_joy1","","1","","3","2","0","1020015","",""
"112411","omp_talk_surprise1","","1","","3","2","0","1020016","",""
"vo_omp_7002","vo_omp_7002_002","0","0","","21","2","","1020017","",""
"112411","でも不思議ですよね\nあんな見た目の魔物が\nご馳走に変身しちゃうなんて！","1","10","","11","2","","1020018","1",""
"0","","","","","91","2","","1020019","",""
"112411","1","","","","4","2","","1020020","",""
"112411","omp_idle_surprise1","","1","","3","2","0","1020021","",""
"112511","omp_talk_normal","","1","","3","2","0","1020022","",""
"vo_omp_7002","vo_omp_7002_003","0","0","","21","2","","1020023","",""
"112511","全然想像できない味だったね\nいい意味で","1","10","","11","2","","1020024","1",""
"0","","","","","91","2","","1020025","",""
"112511","omp_talk_sad","","1","","3","2","0","1020026","",""
"vo_omp_7002","vo_omp_7002_004","0","0","","21","2","","1020027","",""
"112511","でも魔物が調理されてるところは\nまあ、何て言うか…","1","10","","11","2","","1020028","1",""
"0","","","","","91","2","","1020029","",""
"112511","omp_idle_sad","","1","","3","2","0","1020030","",""
"112411","omp_talk_bitter","","1","","3","2","0","1020031","",""
"vo_omp_7002","vo_omp_7002_005","0","0","","21","2","","1020032","",""
"112411","…す、すごかったですよね","1","10","","11","2","","1020033","1",""
"0","","","","","91","2","","1020034","",""
"112411","omp_idle_bitter","","1","","3","2","0","1020035","",""
"112611","omp_talk_joy1","","1","","3","2","0","1020036","",""
"vo_omp_7002","vo_omp_7002_006","0","0","","21","2","","1020037","",""
"112611","魔物料理は、おペコさんに\nまるっとお任せしちゃった方が\nいいかも。あはは～","1","10","","11","2","","1020038","1",""
"0","","","","","91","2","","1020039","",""
"112611","omp_idle_joy1","","1","","3","2","0","1020040","",""
"112511","omp_talk_bitter","","1","","3","2","0","1020041","",""
"vo_omp_7002","vo_omp_7002_007","0","0","","21","2","","1020042","",""
"112511","冒険って、奥が深いね…","1","10","","11","2","","1020043","1",""
"0","","","","","91","2","","1020044","",""
"0.4","","","","","93","2","","1020045","",""
"1","112411","-140","1500","omp_talk_joy1","1","3","1.8","1030001","-190","0"
"1","112611","140","1500","omp_idle_normal","1","3","1.8","1030002","-190","1"
"1","1","0","0","","31","3","1","1030003","1",""
"1","","","","","93","3","","1030004","",""
"vo_omp_7003","vo_omp_7003_000","0","0","","21","3","","1030005","",""
"112411","ミオちゃん！\nこのあたりっていろいろな\n魔物がいて楽しいですね！","1","10","","11","3","","1030006","1",""
"0","","","","","91","3","","1030007","",""
"112411","omp_psn_20","","1","","3","3","0","1030008","",""
"112611","omp_psn_19","","1","","3","3","0","1030009","",""
"vo_omp_7003","vo_omp_7003_001","0","0","","21","3","","1030010","",""
"112611","た、楽しいかな～？","1","10","","11","3","","1030011","1",""
"0","","","","","91","3","","1030012","",""
"112611","omp_psn_18","","1","","3","3","0","1030013","",""
"112411","omp_talk_joy1","","1","","3","3","0","1030014","",""
"vo_omp_7003","vo_omp_7003_002","0","0","","21","3","","1030015","",""
"112411","怖い魔物もたくさんいますけど\n探せばぴにゃこら太さんや\nプチグリフォンさんみたいに\nかわいい魔物もいると思うんですよね！","1","10","","11","3","","1030016","1",""
"0","","","","","91","3","","1030017","",""
"112411","omp_psn_20","","1","","3","3","0","1030018","",""
"112611","omp_talk_joy1","","1","","3","3","0","1030019","",""
"vo_omp_7003","vo_omp_7003_003","0","0","","21","3","","1030020","",""
"112611","そういうことか\nいや、ちょっとまって、しまむー\nプチグリフォンはかわいいかもだけど\nぴにゃこら太、かわいいかな～？","1","10","","11","3","","1030021","1",""
"1.5","1","","","","93","3","","1030022","",""
"112611","omp_psn_19","","1","","3","3","0.2","1030023","",""
"1030021","","","","","91","3","","1030024","",""
"112611","omp_psn_18","","1","","3","3","0","1030025","",""
"112411","omp_talk_joy1","","1","","3","3","0","1030026","",""
"vo_omp_7003","vo_omp_7003_004","0","0","","21","3","","1030027","",""
"112411","かわいいですよ～\n私たちの歌で、たくさんの\nぴにゃこら太さんを\n集められませんかね？","1","10","","11","3","","1030028","1",""
"0","","","","","91","3","","1030029","",""
"112411","omp_psn_20","","1","","3","3","0","1030030","",""
"112611","omp_psn_19","","1","","3","3","0","1030031","",""
"vo_omp_7003","vo_omp_7003_005","0","0","","21","3","","1030032","",""
"112611","いやー、どうだろう\nぴにゃこら太って\nオンリーワンみたいなところあるし…\nむしろオンリーワンであってほしいし…","1","10","","11","3","","1030033","1",""
"0","","","","","91","3","","1030034","",""
"112611","omp_psn_18","","1","","3","3","0","1030035","",""
"112411","omp_talk_joy2","","1","","3","3","0","1030036","",""
"vo_omp_7003","vo_omp_7003_006","0","0","","21","3","","1030037","",""
"112411","あっ、たしかにそうですね！\nまずは目の前のぴにゃこら太さんに\n認めてもらわなきゃですし♪","1","10","","11","3","","1030038","1",""
"0","","","","","91","3","","1030039","",""
"112411","omp_psn_20","","1","","3","3","0","1030040","",""
"112611","omp_talk_sad","","1","","3","3","0","1030041","",""
"vo_omp_7003","vo_omp_7003_007","0","0","","21","3","","1030042","",""
"112611","そういうことじゃないんだけど…\n集めるのあきらめてくれたなら\nまぁ、いっか！\nその調子で頑張ってこう、しまむー！","1","10","","11","3","","1030043","1",""
"6","1","","","","93","3","","1030044","",""
"112611","omp_talk_joy2","","1","","3","3","0.2","1030045","",""
"1030043","","","","","91","3","","1030046","",""
"112611","omp_idle_joy2","","1","","3","3","0","1030047","",""
"112411","omp_talk_joy2","","1","","3","3","0","1030048","",""
"vo_omp_7003","vo_omp_7003_008","0","0","","21","3","","1030049","",""
"112411","はい！\n一緒に頑張りましょう！","1","10","","11","3","","1030050","1",""
"0","","","","","91","3","","1030051","",""
"0.4","","","","","93","3","","1030052","",""
"1","105831","-180","1600","omp_talk_normal","1","4","1.8","1040001","-195","0"
"1","105931","20","1500","omp_idle_normal","1","4","1.8","1040002","-190","1"
"1","106031","220","1600","omp_idle_normal","1","4","1.8","1040003","-205","1"
"1","1","0","0","","31","4","1","1040004","1",""
"1","","","","","93","4","","1040005","",""
"vo_omp_7004","vo_omp_7004_000","0","0","","21","4","","1040006","",""
"105831","せっかくですから\nわたしたちもアイドルを\nしてみませんか？","1","10","","11","4","","1040007","1",""
"0","","","","","91","4","","1040008","",""
"105831","omp_idle_normal","","1","","3","4","0","1040009","",""
"105931","omp_talk_normal","","1","","3","4","0","1040010","",""
"vo_omp_7004","vo_omp_7004_001","0","0","","21","4","","1040011","",""
"105931","アイドルユニット\n【美食殿】でございますね\nとても楽しそうです","1","10","","11","4","","1040012","1",""
"0","","","","","91","4","","1040013","",""
"105931","0","","","","4","4","","1040014","",""
"105931","omp_idle_normal","","1","","3","4","0","1040015","",""
"106031","omp_surprise","omp_idle_surprise1","0","","3","4","0","1040016","1",""
"vo_omp_7004","vo_omp_7004_002","0","0","","21","4","","1040017","",""
"106031","えっ！？　ホントに…！？\nじゃ、じゃなくて\nバカじゃないのあんたたち！？","1","10","","11","4","","1040018","1",""
"2","1","","","","93","4","","1040019","",""
"106031","omp_talk_tsun","","1","","3","4","0.1","1040020","",""
"1040018","","","","","91","4","","1040021","",""
"106031","omp_talk_tsun","","1","","3","4","0","1040022","",""
"vo_omp_7004","vo_omp_7004_003","0","0","","21","4","","1040023","",""
"106031","あの３人を見て\nアイドルがどれだけ大変か\n分かんなかったっての？","1","10","","11","4","","1040024","1",""
"0","","","","","91","4","","1040025","",""
"106031","omp_idle_tsun","","1","","3","4","0","1040026","",""
"105931","omp_talk_worry","","1","","3","4","0","1040027","",""
"vo_omp_7004","vo_omp_7004_004","0","0","","21","4","","1040028","",""
"105931","それはそうでございますが…\n好奇心が勝ってしまいまして","1","10","","11","4","","1040029","1",""
"0","","","","","91","4","","1040030","",""
"105931","1","","","","4","4","","1040031","",""
"105931","omp_idle_worry","","1","","3","4","0","1040032","",""
"105831","omp_talk_joy1","","1","","3","4","0","1040033","",""
"vo_omp_7004","vo_omp_7004_005","0","0","","21","4","","1040034","",""
"105831","コッコロちゃんの言う通りですよ！\nさあ、決めポーズの練習をしましょう！\nいえーい！","1","10","","11","4","","1040035","1",""
"5.5","1","","","","93","4","","1040036","",""
"105831","omp_psn_11","","0","","3","4","0.2","1040037","",""
"1040035","","","","","91","4","","1040038","",""
"105931","omp_talk_normal","","1","","3","4","0","1040039","",""
"vo_omp_7004","vo_omp_7004_006","0","0","","21","4","","1040040","",""
"105931","はい♪\nいえーい、でございます…！","1","10","","11","4","","1040041","1",""
"1.5","1","","","","93","4","","1040042","",""
"105931","omp_psn_11","","0","","3","4","0.2","1040043","1",""
"1040041","","","","","91","4","","1040044","",""
"105931","0","","","","4","4","","1040045","",""
"105931","omp_idle_normal","","1","","3","4","0","1040046","",""
"105831","omp_idle_joy1","","1","","3","4","0.2","1040047","",""
"106031","omp_idle_tsun","","1","","3","4","0","1040048","",""
"vo_omp_7004","vo_omp_7004_007","0","0","","21","4","","1040049","",""
"106031","いえーい、ってねぇ\nこれくらいしてみせなさいよ！\n―よろしくにゃん♪","1","10","","11","4","","1040050","1",""
"7","1","","","","93","4","","1040051","",""
"106031","omp_psn_12","","0","","3","4","0.1","1040052","",""
"1.5","","","","","93","4","","1040053","",""
"1040050","","","","","91","4","","1040054","",""
"106031","omp_idle_normal","","1","","3","4","0.2","1040055","",""
"105831","omp_idle_surprise1","","1","","3","4","0","1040056","",""
"vo_omp_7004","vo_omp_7004_008","0","0","","21","4","","1040057","",""
"105831","キャ、キャルちゃん…","1","10","","11","4","","1040058","1",""
"0","","","","","91","4","","1040059","",""
"105831","omp_idle_surprise1","","1","","3","4","0","1040060","",""
"105931","omp_talk_sad","","1","","3","4","0","1040061","",""
"vo_omp_7004","vo_omp_7004_009","0","0","","21","4","","1040062","",""
"105931","ものすごく、本気でございますね","1","10","","11","4","","1040063","1",""
"0","","","","","91","4","","1040064","",""
"105931","omp_idle_sad","","1","","3","4","0","1040065","",""
"106031","omp_surprise","omp_talk_surprise2","0","","3","4","0","1040066","1","0.1"
"vo_omp_7004","vo_omp_7004_010","0","0","","21","4","","1040067","",""
"106031","はっ…！\nち、違うの今のは\n条件反射っていうか…\nも、もう！　こっち見んなバカ～！","1","10","","11","4","","1040068","1",""
"6.5","1","","","","93","4","","1040069","",""
"106031","omp_talk_tsun","","1","","3","4","0.2","1040070","",""
"1040068","","","","","91","4","","1040071","",""
"0.4","","","","","93","4","","1040072","",""
"1","112611","-140","1500","omp_talk_joy1","1","5","1.8","1050001","-190","0"
"1","112511","140","1500","omp_idle_normal","1","5","1.8","1050002","-190","1"
"1","1","0","0","","31","5","1","1050003","1",""
"1","","","","","93","5","","1050004","",""
"vo_omp_7005","vo_omp_7005_000","0","0","","21","5","","1050005","",""
"112611","冒険者としていろんなところへ\n行ったりしたけど\n今回の旅が一番楽しいね！","1","10","","11","5","","1050006","1",""
"0","","","","","91","5","","1050007","",""
"112611","omp_idle_joy1","","1","","3","5","0","1050008","",""
"112511","omp_talk_normal","","1","","3","5","0","1050009","",""
"vo_omp_7005","vo_omp_7005_001","0","0","","21","5","","1050010","",""
"112511","そう、かもね\n誰かの手伝いっていうわけじゃなくて\n自分たちの目的のために\n進んでるからかな","1","10","","11","5","","1050011","1",""
"0","","","","","91","5","","1050012","",""
"112511","omp_idle_normal","","1","","3","5","0","1050013","",""
"112611","omp_talk_joy1","","1","","3","5","0","1050014","",""
"vo_omp_7005","vo_omp_7005_002","0","0","","21","5","","1050015","",""
"112611","私たちが楽しんで\n私たちを見てくれる人も\n楽しんでくれたら最高だよね\nそんな風になれるかな…","1","10","","11","5","","1050016","1",""
"6.2","1","","","","93","5","","1050017","",""
"112611","omp_talk_thinking","","1","","3","5","0.2","1050018","",""
"1050016","","","","","91","5","","1050019","",""
"112611","omp_idle_thinking","","1","","3","5","0","1050020","",""
"112511","omp_talk_normal2","","1","","3","5","0","1050021","",""
"vo_omp_7005","vo_omp_7005_003","0","0","","21","5","","1050022","",""
"112511","ミオなら…ううん\n私たちならなれるよ\n一緒に頑張ろう","1","10","","11","5","","1050023","1",""
"0","","","","","91","5","","1050024","",""
"112511","omp_idle_calm","","1","","3","5","0","1050025","",""
"112611","omp_talk_sad","","1","","3","5","0.1","1050026","",""
"vo_omp_7005","vo_omp_7005_004","0","0","","21","5","","1050027","",""
"112611","し…し…","1","10","","11","5","","1050028","1",""
"0","","","","","91","5","","1050029","",""
"112611","omp_idle_sad","","1","","3","5","0","1050030","",""
"112511","omp_psn_19","","1","","3","5","0","1050031","",""
"vo_omp_7005","vo_omp_7005_005","0","0","","21","5","","1050032","",""
"112511","し…？","1","10","","11","5","","1050033","1",""
"0","","","","","91","5","","1050034","",""
"112511","omp_psn_18","","1","","3","5","0","1050035","",""
"112611","omp_talk_sad","","1","","3","5","0","1050036","",""
"vo_omp_7005","vo_omp_7005_006","0","0","","21","5","","1050037","",""
"112611","しぶりんがいつになく優しい…！？\nどうしたのっ、ヘンなものでも食べた！？","1","10","","11","5","","1050038","1",""
"4.5","1","","","","93","5","","1050039","",""
"112611","omp_talk_surprise2","","1","","3","5","0.2","1050040","",""
"1050038","","","","","91","5","","1050041","",""
"112611","omp_idle_surprise2","","1","","3","5","0","1050042","",""
"112511","omp_talk_normal","","1","","3","5","0","1050043","",""
"vo_omp_7005","vo_omp_7005_007","0","0","","21","5","","1050044","",""
"112511","さっき、ペコリーヌの魔物料理を…\nって、これじゃあいつもの\n私が優しくないみたいじゃん\nせっかく励まそうと思ったのに…","1","10","","11","5","","1050045","1",""
"3.5","1","","","","93","5","","1050046","",""
"112511","omp_talk_anger","","1","","3","5","0.2","1050047","",""
"1050045","","","","","91","5","","1050048","",""
"112511","omp_idle_anger","","1","","3","5","0","1050049","",""
"112611","omp_talk_joy1","","1","","3","5","0","1050050","",""
"vo_omp_7005","vo_omp_7005_008","0","0","","21","5","","1050051","",""
"112611","えへへ、ごめんごめん☆","1","10","","11","5","","1050052","1",""
"0","","","","","91","5","","1050053","",""
"112611","omp_idle_joy1","","1","","3","5","0","1050054","",""
"112511","omp_talk_sad","","1","","3","5","0","1050055","",""
"vo_omp_7005","vo_omp_7005_009","0","0","","21","5","","1050056","",""
"112511","まったく\n…けど、さっきのは\nほんとのことだからね","1","10","","11","5","","1050057","1",""
"2","1","","","","93","5","","1050058","",""
"112511","omp_talk_normal","","1","","3","5","0.2","1050059","",""
"1050057","","","","","91","5","","1050060","",""
"112511","omp_idle_normal","","1","","3","5","0","1050061","",""
"112611","omp_talk_joy2","","1","","3","5","0","1050062","",""
"vo_omp_7005","vo_omp_7005_010","0","0","","21","5","","1050063","",""
"112611","うん！\nありがとっ、しぶりん！","1","10","","11","5","","1050064","1",""
"0","","","","","91","5","","1050065","",""
"0.4","","","","","93","5","","1050066","",""
"1","112511","-180","1600","omp_talk_normal","1","6","1.8","1060001","-195","0"
"1","112411","20","1500","omp_idle_normal","1","6","1.8","1060002","-190","1"
"1","112611","220","1600","omp_idle_normal","1","6","1.8","1060003","-205","1"
"1","1","0","0","","31","6","1","1060004","1",""
"1","","","","","93","6","","1060005","",""
"vo_omp_7006","vo_omp_7006_000","0","0","","21","6","","1060006","",""
"112511","ウヅキ…\n今日のレッスン\nすごく気合が入ってたね","1","10","","11","6","","1060007","1",""
"0","","","","","91","6","","1060008","",""
"112511","omp_idle_normal","","1","","3","6","0","1060009","",""
"112611","omp_talk_joy1","","1","","3","6","0","1060010","",""
"vo_omp_7006","vo_omp_7006_001","0","0","","21","6","","1060011","",""
"112611","うんうん！\n一緒にレッスンしてるこっちが\n見とれちゃうくらいだったよ～！\nなにかあったのしまむー？","1","10","","11","6","","1060012","1",""
"0","","","","","91","6","","1060013","",""
"112411","0","","","","4","6","","1060014","",""
"112611","omp_idle_joy1","","1","","3","6","0","1060015","",""
"112411","omp_talk_joy1","","1","","3","6","0","1060016","",""
"vo_omp_7006","vo_omp_7006_002","0","0","","21","6","","1060017","",""
"112411","えへへっ、ありがとうございます！\nえっと…","1","10","","11","6","","1060018","1",""
"0","","","","","91","6","","1060019","",""
"112411","omp_talk_normal","","1","","3","6","0","1060020","",""
"vo_omp_7006","vo_omp_7006_003","0","0","","21","6","","1060021","",""
"112411","朝、一人でレッスンしてたら\nお散歩してた人から\n『いつも頑張ってるね』って\n言ってもらえたんです","1","10","","11","6","","1060022","1",""
"0","","","","","91","6","","1060023","",""
"112411","omp_talk_thinking","","1","","3","6","0","1060024","",""
"vo_omp_7006","vo_omp_7006_004","0","0","","21","6","","1060025","",""
"112411","あの人にとっては何気ない\n一言だったのかも知れないですけど\n私にはそれがとてもうれしくて","1","10","","11","6","","1060026","1",""
"0","","","","","91","6","","1060027","",""
"112411","omp_talk_normal2","","1","","3","6","0","1060028","",""
"vo_omp_7006","vo_omp_7006_005","0","0","","21","6","","1060029","",""
"112411","だからもっともっと頑張って\n最高のステージをすることで\nその言葉にお返しが\nできたらなって…","1","10","","11","6","","1060030","1",""
"0","","","","","91","6","","1060031","",""
"112411","omp_idle_calm","","1","","3","6","0","1060032","",""
"112611","omp_talk_sad","","1","","3","6","0","1060033","",""
"vo_omp_7006","vo_omp_7006_006","0","0","","21","6","","1060034","",""
"112611","しまむー…！","1","10","","11","6","","1060035","1",""
"0","","","","","91","6","","1060036","",""
"112411","1","","","","4","6","","1060037","",""
"112611","omp_idle_sad","","1","","3","6","0","1060038","",""
"112511","omp_talk_thinking","","1","","3","6","0","1060039","",""
"vo_omp_7006","vo_omp_7006_007","0","0","","21","6","","1060040","",""
"112511","そっか\nそんなウヅキだから、私たちは\n一緒にやっていきたいって思うんだよ\nミオもそうだよね？","1","10","","11","6","","1060041","1",""
"0","","","","","91","6","","1060042","",""
"112411","0","","","","4","6","","1060043","",""
"112511","omp_idle_thinking","","1","","3","6","0","1060044","",""
"112611","omp_talk_joy1","","1","","3","6","0","1060045","",""
"vo_omp_7006","vo_omp_7006_008","0","0","","21","6","","1060046","",""
"112611","うん！　これからも３人で\n頑張っていこうね！\nしまむー、しぶりん！","1","10","","11","6","","1060047","1",""
"0","","","","","91","6","","1060048","",""
"112411","1","","","","4","6","","1060049","",""
"112611","omp_idle_joy1","","1","","3","6","0","1060050","",""
"112411","omp_talk_joy2","","1","","3","6","0","1060051","",""
"vo_omp_7006","vo_omp_7006_009","0","0","","21","6","","1060052","",""
"112411","リンちゃん、ミオちゃん…！　はい！\n【ニュージェネレーションズ】みんなで\n最高のアイドルを目指しましょう！","1","10","","11","6","","1060053","1",""
"1.2","1","","","","93","6","","1060054","",""
"112411","0","","","","4","6","","1060055","",""
"1060053","","","","","91","6","","1060056","",""
"112511","-180","0","-195","","2","6","","1060057","1",""
"112411","0","0","-190","","2","6","","1060058","1",""
"112611","180","0","-195","","2","6","","1060059","1",""
"112511","omp_psn_dicision_rin","","0","","3","6","0.1","1060060","",""
"112411","omp_psn_dicision_uduki","","0","","3","6","0.1","1060061","",""
"112611","omp_psn_dicision_mio","","0","","3","6","0.1","1060062","",""
"2","2","0","0","","31","6","1","1060063","1",""
"1060062","","","","","91","6","","1060064","",""
"0.6","","","","","93","6","","1060065","",""
"1","105831","-100","1600","omp_idle_normal","1","7","1.8","1070001","-205","0"
"1","105931","-390","1600","omp_idle_normal","1","7","1.8","1070002","-225","0"
"1","106031","-260","1500","omp_idle_normal","1","7","1.8","1070003","-190","0"
"1","112511","250","1500","omp_idle_normal","1","7","1.8","1070004","-185","1"
"1","112411","385","1600","omp_idle_normal","1","7","1.8","1070005","-220","1"
"1","112611","100","1600","omp_idle_normal","1","7","1.8","1070006","-195","1"
"1","1","0","0","","31","7","1","1070007","1",""
"0.2","","","","","93","7","","1070008","",""
"112611","omp_idle_normal","","1","","3","7","0.1","1070009","",""
"112411","omp_talk_normal","","1","","3","7","0","1070010","",""
"112511","omp_idle_normal","","1","","3","7","0.1","1070011","",""
"105831","omp_idle_normal","","1","","3","7","0.1","1070012","",""
"0.1","","","","","93","7","","1070013","",""
"1","","","","","93","7","","1070014","",""
"vo_omp_7007","vo_omp_7007_000","0","0","","21","7","","1070015","",""
"112411","今思うと…最初のゲリラLIVEは\nほんとうにいっぱいいっぱいでしたね","1","10","","11","7","","1070016","1",""
"0","","","","","91","7","","1070017","",""
"112411","omp_idle_normal","","1","","3","7","0.1","1070018","",""
"105831","omp_talk_normal","","1","","3","7","0.1","1070019","",""
"vo_omp_7007","vo_omp_7007_001","0","0","","21","7","","1070020","",""
"105831","緊張してるのが見てて分かりましたよ\nなんだかこっちまで緊張して\nお腹が締め付けられる思いでしたよ～","1","10","","11","7","","1070021","1",""
"0","","","","","91","7","","1070022","",""
"105831","omp_idle_normal","","1","","3","7","0","1070023","",""
"105931","omp_talk_worry","","1","","3","7","0","1070024","",""
"vo_omp_7007","vo_omp_7007_002","0","0","","21","7","","1070025","",""
"105931","ペコリーヌさまの場合は、\n空腹で締め付けられていた\n可能性もありますが…","1","10","","11","7","","1070026","1",""
"0","","","","","91","7","","1070027","",""
"105931","omp_idle_worry","","1","","3","7","0","1070028","",""
"106031","omp_talk_normal","","1","","3","7","0","1070029","",""
"vo_omp_7007","vo_omp_7007_003","0","0","","21","7","","1070030","",""
"106031","まーたしかに、あのときの\nウヅキたちのゲリラLIVEは\nほんとにボロボロだったわね！","1","10","","11","7","","1070031","1",""
"0","","","","","91","7","","1070032","",""
"106031","omp_idle_normal","","1","","3","7","0","1070033","",""
"112611","omp_talk_worry","","1","","3","7","0","1070034","",""
"vo_omp_7007","vo_omp_7007_004","0","0","","21","7","","1070035","",""
"112611","もうっ、キャルキャル～\nあんま言わないでよ～！\n私たちだってわかってるんだからさ～","1","10","","11","7","","1070036","1",""
"0","","","","","91","7","","1070037","",""
"112611","omp_idle_worry","","1","","3","7","0","1070038","",""
"105931","omp_talk_normal2","","1","","3","7","0","1070039","",""
"vo_omp_7007","vo_omp_7007_005","0","0","","21","7","","1070040","",""
"105931","でも、自分たちで立ち上がって\n再び舞台に立つ姿…\nわたくし、感動いたしました","1","10","","11","7","","1070041","1",""
"0","","","","","91","7","","1070042","",""
"105931","omp_idle_calm","","1","","3","7","0","1070043","",""
"112511","omp_talk_normal2","","1","","3","7","0","1070044","",""
"vo_omp_7007","vo_omp_7007_006","0","0","","21","7","","1070045","",""
"112511","あれくらいで立ち止まる気は\nなかったからね\nウヅキもミオも、絶対立ち上がるって\n信じてたよ","1","10","","11","7","","1070046","1",""
