88c5fe4b5a1b119858e03977ddd858f98759e7651be0ec559aea9a46253cc67c,0254133b3e0f511073e4a493427e7be2db0a99b1d6f774cd079b13720b2c704d,b8a113da920e633fb6e9b465da6c471389dc8368018e689ccd2198b2b4f8b7af,adb2bb9f1deff4e2c6bc3df40d03f72e8fe4bbf23fb6c5a07a31995b544d13f5,c27fd460c4a0f72c8c4244e195ab3165a9e633862b5efb8e71f654b6113d0fb5,1ce6f905e87e334f53a5ca783628f77d34ffa195fb668c39de7a6cddbee75a4b,5dd48e1546b72154f044e2e1858d1d8c10342327aec6a85e651269c02443cb2f,403005589681503f92c37de1bb158803b5e772c84fa46e46d6be41a1da6239d6,a5b019ac7c19190d4413c3f1ba6957dc269928d872926cf7e15bfff95fc5f841,14b164ffc3eeb063ecdc9d56c20254f75c0ca5aa48bdf4c66b354b5b0725bfbc,6f47f5c9552942763bca50bd0fcd3cc0b52fb9eb58745e5d8cfb4dce552b1b20,f7bdd1215fc8c4942f8a40719eff4aea4e3ab10aace3a6c91b51edb230e375e7
"0","10","1010039","0","39","0","1","0","242","0","1","1.65"
"0","0","1010040","1","40","0","4","2.654","0","0","1","0"
"vo_minigame_1005_nikki01_003","0","1010041","0","41","vo_minigame_1005","2","0","0","0","1","0"
"0","10","1010042","0","42","0","1","0","345","242","1","0.685"
"0","0","1010043","1","43","0","4","1.036","0","0","1","0"
"0","10","1010044","0","44","0","1","0","397","345","1","0.378"
"0","0","1010045","1","45","0","4","0.378","0","0","1","0"
"0","11","1010046","0","46","0","1","0","377","0","1","2.438"
"0","0","1010047","1","47","0","4","3.395","0","0","1","0"
"vo_minigame_1005_nikki01_004","0","1010048","0","48","vo_minigame_1005","2","0","0","0","1","0"
"0","12","1010049","0","49","0","1","0","83","0","1","0.642"
"0","0","1010050","1","50","0","4","1.061","0","0","1","0"
"0","12","1010051","0","51","0","1","0","159","83","1","0.539"
"0","0","1010052","1","52","0","4","0.877","0","0","1","0"
"0","12","1010053","0","53","0","1","0","316","159","1","1.135"
"0","0","1010054","1","54","0","4","2.635","0","0","1","0"
"0","0","1020001","3","1","0","4","1","0","0","2","0"
"vo_minigame_1005_nikki02_000","0","1020002","0","2","vo_minigame_1005","2","0","0","0","2","0"
"0","1","1020003","0","3","0","1","0","345","0","2","2.91"
"0","0","1020004","1","4","0","4","3.814","0","0","2","0"
"vo_minigame_1005_nikki02_001","0","1020005","0","5","vo_minigame_1005","2","0","0","0","2","0"
"0","2","1020006","0","6","0","1","0","239","0","2","1.67"
"0","0","1020007","1","7","0","4","2.19","0","0","2","0"
"0","3","1020008","0","8","0","1","0","314","0","2","2.455"
"0","0","1020009","1","9","0","4","3.527","0","0","2","0"
"vo_minigame_1005_nikki02_002","0","1020010","0","10","vo_minigame_1005","2","0","0","0","2","0"
"0","4","1020011","0","11","0","1","0","70","0","2","0.454"
"0","0","1020012","1","12","0","4","0.874","0","0","2","0"
"0","4","1020013","0","13","0","1","0","392","70","2","2.154"
"0","0","1020014","1","14","0","4","3.373","0","0","2","0"
"vo_minigame_1005_nikki02_003","0","1020015","0","15","vo_minigame_1005","2","0","0","0","2","0"
"0","5","1020016","0","16","0","1","0","125","0","2","0.895"
"0","0","1020017","1","17","0","4","1.311","0","0","2","0"
"0","5","1020018","0","18","0","1","0","265","125","2","1.114"
"0","0","1020019","1","19","0","4","1.181","0","0","2","0"
"0","5","1020020","0","20","0","1","0","340","265","2","0.497"
"0","0","1020021","1","21","0","4","0.497","0","0","2","0"
"0","6","1020022","0","22","0","1","0","189","0","2","1.37"
"0","0","1020023","1","23","0","4","2.407","0","0","2","0"
"vo_minigame_1005_nikki02_004","0","1020024","0","24","vo_minigame_1005","2","0","0","0","2","0"
"0","7","1020025","0","25","0","1","0","195","0","2","1.616"
"0","0","1020026","1","26","0","4","2.035","0","0","2","0"
"0","7","1020027","0","27","0","1","0","295","195","2","0.951"
"0","0","1020028","1","28","0","4","1.322","0","0","2","0"
"0","8","1020029","0","29","0","1","0","258","0","2","1.924"
"0","0","1020030","1","30","0","4","2.98","0","0","2","0"
"vo_minigame_1005_nikki02_005","0","1020031","0","31","vo_minigame_1005","2","0","0","0","2","0"
"0","9","1020032","0","32","0","1","0","114","0","2","0.93"
"0","0","1020033","1","33","0","4","1.24","0","0","2","0"
"0","9","1020034","0","34","0","1","0","257","114","2","0.879"
"0","0","1020035","1","35","0","4","1.877","0","0","2","0"
"vo_minigame_1005_nikki02_006","0","1020036","0","36","vo_minigame_1005","2","0","0","0","2","0"
"0","10","1020037","0","37","0","1","0","144","0","2","1.148"
"0","0","1020038","1","38","0","4","1.541","0","0","2","0"
"0","10","1020039","0","39","0","1","0","307","144","2","1.145"
"0","0","1020040","1","40","0","4","2.645","0","0","2","0"
"0","0","1030001","3","1","0","4","1","0","0","3","0"
"vo_minigame_1005_nikki03_000","0","1030002","0","2","vo_minigame_1005","2","0","0","0","3","0"
"0","1","1030003","0","3","0","1","0","332","0","3","2.61"
"0","0","1030004","1","4","0","4","3.007","0","0","3","0"
"0","2","1030005","0","5","0","1","0","233","0","3","1.47"
"0","0","1030006","1","6","0","4","2.171","0","0","3","0"
"vo_minigame_1005_nikki03_001","0","1030007","0","7","vo_minigame_1005","2","0","0","0","3","0"
"0","3","1030008","0","8","0","1","0","322","0","3","2.1"
"0","0","1030009","1","9","0","4","2.579","0","0","3","0"
"0","4","1030010","0","10","0","1","0","349","0","3","2.298"
"0","0","1030011","1","11","0","4","3.18","0","0","3","0"
"vo_minigame_1005_nikki03_002","0","1030012","0","12","vo_minigame_1005","2","0","0","0","3","0"
"0","5","1030013","0","13","0","1","0","173","0","3","1.262"
"0","0","1030014","1","14","0","4","1.993","0","0","3","0"
"vo_minigame_1005_nikki03_003","0","1030015","0","15","vo_minigame_1005","2","0","0","0","3","0"
"0","5","1030016","0","16","0","1","0","243","173","3","0.373"
"0","0","1030017","1","17","0","4","0.69","0","0","3","0"
"0","5","1030018","0","18","0","1","0","362","243","3","1.045"
"0","0","1030019","1","19","0","4","2.131","0","0","3","0"
"vo_minigame_1005_nikki03_004","0","1030020","0","20","vo_minigame_1005","2","0","0","0","3","0"
"0","6","1030021","0","21","0","1","0","289","0","3","2.147"
"0","0","1030022","1","22","0","4","2.618","0","0","3","0"
"0","7","1030023","0","23","0","1","0","202","0","3","1.445"
"0","0","1030024","1","24","0","4","2.552","0","0","3","0"
"vo_minigame_1005_nikki03_005","0","1030025","0","25","vo_minigame_1005","2","0","0","0","3","0"
"0","8","1030026","0","26","0","1","0","123","0","3","0.876"
"0","0","1030027","1","27","0","4","1.252","0","0","3","0"
"0","8","1030028","0","28","0","1","0","324","123","3","1.306"
"0","0","1030029","1","29","0","4","1.507","0","0","3","0"
"0","9","1030030","0","30","0","1","0","186","0","3","1.319"
"0","0","1030031","1","31","0","4","2.549","0","0","3","0"
"vo_minigame_1005_nikki03_006","0","1030032","0","32","vo_minigame_1005","2","0","0","0","3","0"
"0","10","1030033","0","33","0","1","0","383","0","3","2.728"
"0","0","1030034","1","34","0","4","3.023","0","0","3","0"
"0","11","1030035","0","35","0","1","0","123","0","3","0.91"
"0","0","1030036","1","36","0","4","1.977","0","0","3","0"
"vo_minigame_1005_nikki03_007","0","1030037","0","37","vo_minigame_1005","2","0","0","0","3","0"
"0","11","1030038","0","38","0","1","0","208","123","3","0.558"
"0","0","1030039","1","39","0","4","0.973","0","0","3","0"
"0","11","1030040","0","40","0","1","0","392","208","3","1.35"
"0","0","1030041","1","41","0","4","2.103","0","0","3","0"
"vo_minigame_1005_nikki03_008","0","1030042","0","42","vo_minigame_1005","2","0","0","0","3","0"
"0","12","1030043","0","43","0","1","0","150","0","3","0.935"
"0","0","1030044","1","44","0","4","2.435","0","0","3","0"
"0","0","1040001","3","1","0","4","1","0","0","4","0"
"vo_minigame_1005_nikki04_000","0","1040002","0","2","vo_minigame_1005","2","0","0","0","4","0"
"0","1","1040003","0","3","0","1","0","222","0","4","1.597"
"0","0","1040004","1","4","0","4","1.881","0","0","4","0"
"0","2","1040005","0","5","0","1","0","239","0","4","1.46"
"0","0","1040006","1","6","0","4","2.457","0","0","4","0"
"vo_minigame_1005_nikki04_001","0","1040007","0","7","vo_minigame_1005","2","0","0","0","4","0"
"0","3","1040008","0","8","0","1","0","171","0","4","1.208"
"0","0","1040009","1","9","0","4","1.578","0","0","4","0"
"0","3","1040010","0","10","0","1","0","270","171","4","0.673"
"0","0","1040011","1","11","0","4","1.009","0","0","4","0"
"0","3","1040012","0","12","0","1","0","352","270","4","0.65"
"0","0","1040013","1","13","0","4","0.729","0","0","4","0"
"0","4","1040014","0","14","0","1","0","166","0","4","0.976"
"0","0","1040015","1","15","0","4","1.993","0","0","4","0"
"vo_minigame_1005_nikki04_002","0","1040016","0","16","vo_minigame_1005","2","0","0","0","4","0"
"0","4","1040017","0","17","0","1","0","220","166","4","0.396"
"0","0","1040018","1","18","0","4","0.864","0","0","4","0"
"0","4","1040019","0","19","0","1","0","352","220","4","0.74"
"0","0","1040020","1","20","0","4","1.855","0","0","4","0"
"vo_minigame_1005_nikki04_003","0","1040021","0","21","vo_minigame_1005","2","0","0","0","4","0"
"0","5","1040022","0","22","0","1","0","52","0","4","0.437"
"0","0","1040023","1","23","0","4","0.497","0","0","4","0"
"0","5","1040024","0","24","0","1","0","289","52","4","1.776"
"0","0","1040025","1","25","0","4","2.233","0","0","4","0"
"0","6","1040026","0","26","0","1","0","153","0","4","1.29"
"0","0","1040027","1","27","0","4","1.638","0","0","4","0"
"0","6","1040028","0","28","0","1","0","329","153","4","1.137"
"0","0","1040029","1","29","0","4","2.3","0","0","4","0"
"vo_minigame_1005_nikki04_004","0","1040030","0","30","vo_minigame_1005","2","0","0","0","4","0"
"0","7","1040031","0","31","0","1","0","55","0","4","0.336"
"0","0","1040032","1","32","0","4","0.826","0","0","4","0"
"0","7","1040033","0","33","0","1","0","252","55","4","1.223"
"0","0","1040034","1","34","0","4","1.223","0","0","4","0"
"0","8","1040035","0","35","0","1","0","179","0","4","0.994"
"0","0","1040036","1","36","0","4","1.487","0","0","4","0"
"0","8","1040037","0","37","0","1","0","312","179","4","0.89"
"0","0","1040038","1","38","0","4","1.567","0","0","4","0"
"vo_minigame_1005_nikki04_005","0","1040039","0","39","vo_minigame_1005","2","0","0","0","4","0"
"0","9","1040040","0","40","0","1","0","151","0","4","0.74"
"0","0","1040041","1","41","0","4","1.731","0","0","4","0"
"vo_minigame_1005_nikki04_006","0","1040042","0","42","vo_minigame_1005","2","0","0","0","4","0"
"0","10","1040043","0","43","0","1","0","278","0","4","1.937"
"0","0","1040044","1","44","0","4","2.435","0","0","4","0"
"0","11","1040045","0","45","0","1","0","126","0","4","0.822"
"0","0","1040046","1","46","0","4","1.376","0","0","4","0"
"0","11","1040047","0","47","0","1","0","199","126","4","0.576"
"0","0","1040048","1","48","0","4","0.923","0","0","4","0"
"0","11","1040049","0","49","0","1","0","353","199","4","0.785"
"0","0","1040050","1","50","0","4","2.285","0","0","4","0"
"0","0","1050001","3","1","0","4","1","0","0","5","0"
"vo_minigame_1005_nikki05_000","0","1050002","0","2","vo_minigame_1005","2","0","0","0","5","0"
"0","1","1050003","0","3","0","1","0","183","0","5","1.419"
"0","0","1050004","1","4","0","4","1.662","0","0","5","0"
"0","2","1050005","0","5","0","1","0","265","0","5","1.614"
"0","0","1050006","1","6","0","4","2.394","0","0","5","0"
"vo_minigame_1005_nikki05_001","0","1050007","0","7","vo_minigame_1005","2","0","0","0","5","0"
"0","3","1050008","0","8","0","1","0","394","0","5","2.658"
"0","0","1050009","1","9","0","4","3.202","0","0","5","0"
"vo_minigame_1005_nikki05_002","0","1050010","0","10","vo_minigame_1005","2","0","0","0","5","0"
"0","4","1050011","0","11","0","1","0","298","0","5","1.745"
"0","0","1050012","1","12","0","4","2.545","0","0","5","0"
"vo_minigame_1005_nikki05_003","0","1050013","0","13","vo_minigame_1005","2","0","0","0","5","0"
"0","5","1050014","0","14","0","1","0","115","0","5","0.964"
"0","0","1050015","1","15","0","4","1.34","0","0","5","0"
"0","5","1050016","0","16","0","1","0","394","115","5","1.919"
"0","0","1050017","1","17","0","4","2.719","0","0","5","0"
"vo_minigame_1005_nikki05_004","0","1050018","0","18","vo_minigame_1005","2","0","0","0","5","0"
"0","6","1050019","0","19","0","1","0","60","0","5","0.434"
"0","0","1050020","1","20","0","4","0.903","0","0","5","0"
"0","6","1050021","0","21","0","1","0","250","60","5","1.262"
"0","0","1050022","1","22","0","4","1.758","0","0","5","0"
"0","7","1050023","0","23","0","1","0","309","0","5","2.473"
"0","0","1050024","1","24","0","4","3.315","0","0","5","0"
"vo_minigame_1005_nikki05_005","0","1050025","0","25","vo_minigame_1005","2","0","0","0","5","0"
"0","8","1050026","0","26","0","1","0","82","0","5","0.509"
"0","0","1050027","1","27","0","4","0.988","0","0","5","0"
"0","8","1050028","0","28","0","1","0","364","82","5","1.775"
"0","0","1050029","1","29","0","4","2.507","0","0","5","0"
"vo_minigame_1005_nikki05_006","0","1050030","0","30","vo_minigame_1005","2","0","0","0","5","0"
"0","9","1050031","0","31","0","1","0","201","0","5","1.139"
"0","0","1050032","1","32","0","4","2.066","0","0","5","0"
"vo_minigame_1005_nikki05_007","0","1050033","0","33","vo_minigame_1005","2","0","0","0","5","0"
"0","10","1050034","0","34","0","1","0","94","0","5","0.665"
"0","0","1050035","1","35","0","4","1.144","0","0","5","0"
"0","10","1050036","0","36","0","1","0","271","94","5","1.389"
"0","0","1050037","1","37","0","4","1.789","0","0","5","0"
"0","10","1050038","0","38","0","1","0","376","271","5","0.823"
"0","0","1050039","1","39","0","4","2.023","0","0","5","0"
