cd7787c2d3f2f29ebe1a510aff1cff1ca84b87a94ef5195a258393c20ceca558,5f5b5b55e5f8a5cb10f039db2fc932a91925ff9faa056f0cb8187b2bed3cbbff,f6e5ec0745d7c33dadcf3d77c9ec955dfd2f62e4d1eabc97872826c2ea77ecdc,2afd54dcc71c32150b50b80b8fae8e029a5d847b2943f49d7b3da27d1cf22846,20217c3485aa5b997d5da5132ebcdd0b475d5a1d064bf4e53461de57abab4257,450055778dda61012e03972a631505fa88d0e44aae6954e2ba6ee7e139fca52d,e1fea361849e6c38563175e5bb14e5a74302d8a8f5b497a8a6ca032d58b86eb8,ce1070e3fd6cf6f4dba549508a5c10e27901c50ff9f27596137c6948a2b9a662,55fa1789e6cbacf16723e246c632dfcfe1cd7544a8e589ac182610db5c95a519,0c0b01b5816e17056efd37030162e3f36b3018bed165fa74b485b757fa749fbb,9c2aa2193c092152d08543004a5e69d94624f17bb590195f93c7caad0bb38a1d,f5eb32dc776a624d69b1aa38f16f16c6bf1406dfd1bee02b7187cd2291a3c567
"2401","11011","2","23","24","0","101","0","24","0","2","0"
"2501","11041","3","24","25","0","104","0","25","0","4","0"
"2601","10501","4","25","26","0","50","0","26","0","3","0"
"2701","10521","3","26","27","0","52","0","27","0","3","0"
"2801","10501","1","27","28","0","50","0","28","0","1","0"
"2901","11041","2","28","29","0","104","0","29","0","4","0"
"3001","10511","1","29","30","0","51","0","30","0","3","0"
"3101","11001","2","30","31","0","100","0","31","0","2","0"
"3201","11011","3","31","32","0","101","0","32","0","1","0"
"3301","11041","4","32","33","0","104","0","33","0","4","0"
"3401","11001","3","33","34","0","100","0","34","0","3","0"
"3501","11041","2","34","35","0","104","0","35","0","4","0"
"3601","11031","3","35","36","0","103","0","36","0","2","0"
"3701","11021","2","36","37","0","102","0","37","0","1","0"
"3801","10501","1","37","38","0","50","0","38","0","2","0"
"3901","11021","3","38","39","0","102","0","39","0","3","0"
"4001","11041","4","39","40","0","104","0","40","0","4","0"
"4101","11001","3","40","41","0","100","0","41","0","1","0"
"4201","10521","2","41","42","0","52","0","42","0","3","0"
"4301","11041","1","42","43","0","104","0","43","0","4","0"
"4401","11031","2","43","44","0","103","0","44","0","1","0"
"4501","11041","1","44","45","0","104","0","45","0","4","0"
"4601","11011","3","45","46","0","101","0","46","0","3","0"
"4701","11021","4","46","47","0","102","0","47","0","1","0"
"4801","11041","2","47","48","0","104","0","48","0","4","0"
"4901","11031","3","48","49","0","103","0","49","0","2","0"
"5001","11041","2","49","50","0","104","0","50","0","4","0"
"5101","11011","1","50","51","0","101","0","51","0","2","0"
"5201","11021","2","51","52","0","102","0","52","0","3","0"
"5301","11041","3","52","53","0","104","0","53","0","4","0"
"5401","10521","4","53","54","0","52","0","54","0","1","0"
"5501","11031","3","54","55","0","103","0","55","0","3","0"
"5601","11041","4","55","56","0","104","0","56","0","4","0"
"5701","11001","2","56","57","0","100","0","57","0","1","0"
"5801","11011","3","57","58","0","101","0","58","0","3","0"
"5901","11031","4","58","59","0","103","0","59","0","2","0"
"6001","11041","3","59","60","0","104","0","60","0","4","0"
"6101","11021","1","60","61","0","102","0","61","0","1","0"
"6201","10501","2","61","62","0","50","0","62","0","3","0"
"6301","11041","1","62","63","0","104","0","63","0","4","0"
"6401","11031","2","63","64","0","103","0","64","0","2","0"
"6501","11021","3","64","65","0","102","0","65","0","1","0"
"6601","11041","2","65","66","0","104","0","66","0","4","0"
"6701","10521","3","66","67","0","52","0","67","0","1","0"
"6801","11021","2","67","68","0","102","0","68","0","2","0"
"6901","11041","4","68","69","0","104","0","69","0","4","0"
"7001","11031","3","69","70","0","103","0","70","0","2","0"
"7101","11011","2","70","71","0","101","0","71","0","3","0"
"7201","11001","3","71","72","0","100","0","72","0","2","0"
"7301","11041","1","72","73","0","104","0","73","0","4","0"
"7401","11031","1","73","74","0","103","0","74","0","1","0"
"7501","11021","3","74","75","0","102","0","75","0","3","0"
"7601","10501","4","75","76","0","50","0","76","0","1","0"
"7701","11041","3","76","77","0","104","0","77","0","4","0"
"7801","11011","2","77","78","0","101","0","78","0","2","0"
"7901","11001","3","78","79","0","100","0","79","0","3","0"
"8001","11041","2","79","80","0","104","0","80","0","4","0"
"8101","10521","1","80","81","0","52","0","81","0","3","0"
"8201","11011","2","81","82","0","101","0","82","0","1","0"
"8301","10501","4","82","83","0","50","0","83","0","3","0"
"8401","11031","3","83","84","0","103","0","84","0","1","0"
"8501","11041","2","84","85","0","104","0","85","0","4","0"
"8601","11001","3","85","86","0","100","0","86","0","2","0"
"8701","11021","2","86","87","0","102","0","87","0","2","0"
"8801","11031","1","87","88","0","103","0","88","0","2","0"
"8901","11041","3","88","89","0","104","0","89","0","4","0"
"9001","11021","2","89","90","0","102","0","90","0","1","0"
"9101","11041","3","90","91","0","104","0","91","0","4","0"
"9201","10501","4","91","92","0","50","0","92","0","3","0"
"9301","11041","3","92","93","0","104","0","93","0","4","0"
"9401","11021","2","93","94","0","102","0","94","0","1","0"
"9501","11031","2","94","95","0","103","0","95","0","2","0"
"9601","11041","3","95","96","0","104","0","96","0","4","0"
"9701","11041","2","96","97","0","104","0","97","0","4","0"
"9801","11011","2","97","98","0","101","0","98","0","2","0"
"9901","11041","3","98","99","0","104","0","99","0","4","0"
"10001","11021","1","99","100","0","102","0","100","0","1","0"
"10101","11031","3","100","101","0","103","0","101","0","3","0"
"10201","11041","4","101","102","0","104","0","102","0","4","0"
"10301","10501","2","102","103","0","50","0","103","0","3","0"
"10401","11001","3","103","104","0","100","0","104","0","1","0"
"10501","11041","4","104","105","0","104","0","105","0","4","0"
"10601","11031","2","105","106","0","103","0","106","0","2","0"
"10701","11041","1","106","107","0","104","0","107","0","4","0"
"10801","11031","3","107","108","0","103","0","108","0","2","0"
"10901","11001","3","108","109","0","100","0","109","0","3","0"
"11001","11041","1","109","110","0","104","0","110","0","4","0"
"11101","11011","2","110","111","0","101","0","111","0","3","0"
"11201","11041","4","111","112","0","104","0","112","0","4","0"
"11301","11021","3","112","113","0","102","0","113","0","1","0"
"11401","11041","2","113","114","0","104","0","114","0","4","0"
"11501","11031","4","114","115","0","103","0","115","0","2","0"
"11601","11041","3","115","116","0","104","0","116","0","4","0"
"11701","11021","2","116","117","0","102","0","117","0","2","0"
"11801","11041","2","117","118","0","104","0","118","0","4","0"
"11901","10521","1","118","119","0","52","0","119","0","3","0"
"12001","11041","3","119","120","0","104","0","120","0","4","0"
"12101","11021","3","120","121","0","102","0","121","0","1","0"
"12201","11031","4","121","122","0","103","0","122","0","3","0"
"12301","11001","2","122","123","0","100","0","123","0","2","0"
"12401","11021","1","123","124","0","102","0","124","0","1","0"
"12501","11041","3","124","125","0","104","0","125","0","4","0"
"12601","11011","2","125","126","0","101","0","126","0","2","0"
