ff5694dd2d221ee23076e9cd83991f6be90ea5367eaba70696284eb597a425c4,9e3694aaab0c4cabea82e9ece6855e68000514ab13ba7b10f154a6db9438ff2d,9ba09e679877d1f403a3be2bdfc01310dd77ce10e2e9744b1741a091831d86cd,1c9090c89bbb8368a4f25d64a5e5b1054ddf61c802c1411dd1ff57e67606898c,f8d87c6a942f4f71d612b3b1bb8a831a6ce3eb9155845ec0011996151536cdb6,5aa3fac5e7a15ec021d12dbe697ebe72a93c69338f0a25faa053f1d9cad60501,fc1fb77c3cb263d38676a1d3c8d9f503b0156dabce7f2b67208b2fd92d7ecfbc,2bdb65d2196896a867737587d892bc3ad774a0db54129df9b927c700e6060203,17c72694f44ca3a0c88ed7c083fc54a84cfeb52de3a02096598ec8f47693f3b4,491a6359acd032581b1e0ae90e07dbcc2e372838bffa80f745e4b24b7d9d81c6,0dc6eaad2ce0d070a31e667060ef0a403e861e63845c12112c213d06e2c168b8
"-180","22","13510003","1","0","1","cmn_swm_flutterKick_floatBoad","351","5","1.75","-850"
"1","-850","13510004","1","","1","","351","31","1","-180"
"","","13510005","0","","0","","351","91","",""
"","-180","13510006","<unit_id>","","1050","","351","2","","10"
"","-180","13510007","1","","1050","","351","2","","10"
"","-180","13510008","1","","1050","","351","33","","10"
"","","13520001","se_10053800","","se_fpc_water_random","","352","23","",""
"-180","23","13520002","1","0","<unit_id>","cmn_swm_flutterKick_floatRing","352","1","1.75","-850"
"-180","22","13520003","1","0","1","cmn_swm_flutterKick_floatBoad_blue","352","5","1.75","-850"
"1","-850","13520004","1","","1","","352","31","1","-180"
"","","13520005","0","","0","","352","91","",""
"","-180","13520006","<unit_id>","","1050","","352","2","","10"
"","-180","13520007","1","","1050","","352","2","","10"
"","-180","13520008","1","","1050","","352","33","","10"
"","","14010001","se_10053800","","se_fpc_water_random","","401","23","",""
"-180","22","14010002","1","0","<unit_id>","cmn_float","401","1","1.75","-850"
"1","-850","14010003","6","","6","","401","31","1","-180"
"","","14010004","0","","0","","401","91","",""
"","-180","14010005","<unit_id>","","1050","","401","2","","10"
"","-180","14010006","6","","1050","","401","33","","10"
"","","14020001","se_10053800","","se_fpc_water_random","","402","23","",""
"-180","22","14020002","1","0","<unit_id>","cmn_float_4","402","1","1.75","-850"
"1","-850","14020003","6","","6","","402","31","1","-180"
"","","14020004","0","","0","","402","91","",""
"","-180","14020005","<unit_id>","","1050","","402","2","","10"
"","-180","14020006","6","","1050","","402","33","","10"
"","","14510001","se_10053800","","se_fpc_water_random","","451","23","",""
"-180","22","14510002","1","0","<unit_id>","cmn_crawl","451","1","1.75","-850"
"1","-850","14510003","1","","1","","451","31","1","-180"
"","","14510004","0","","0","","451","91","",""
"","-180","14510005","<unit_id>","","1050","","451","2","","10"
"","-180","14510006","1","","1050","","451","33","","10"
"","","15010001","se_10053800","","se_fpc_water_random","","501","23","",""
"-250","45","15010002","1","0","<unit_id>","cmn_surfing","501","1","1.75","-850"
"-250","44","15010003","6","0","6","cmn_surfing","501","5","1.75","-850"
"1","-850","15010004","11","","11","","501","31","1","-250"
"","","15010005","0","","0","","501","91","",""
"","-250","15010006","<unit_id>","","1800","","501","2","","6"
"","-250","15010007","6","","1800","","501","2","","6"
"","-250","15010008","11","","1800","","501","33","","6"
"","","15010009","se_10053800","","se_10053800_surfing_wave","","501","23","",""
"","","18510001","se_10053800","","se_fpc_water_random","","851","23","",""
"-125","45","18510002","1","0","107511","cmn_surfing","851","1","1.75","-850"
"-250","45","18510003","1","0","107611","cmn_surfing","851","1","1.75","-1100"
"-125","45","18510004","1","0","107811","cmn_surfing","851","1","1.75","-1350"
"-125","44","18510005","6","0","1","cmn_surfing","851","5","1.75","-850"
"-250","44","18510006","6","0","2","cmn_surfing","851","5","1.75","-1100"
"-125","44","18510007","6","0","3","cmn_surfing","851","5","1.75","-1350"
"1","-850","18510008","11","","1","","851","31","1","-125"
"1","-1100","18510009","11","","2","","851","31","1","-250"
"1","-1350","18510010","11","","3","","851","31","1","-125"
"","-125","18510011","107511","","2350","","851","2","","6"
"","-250","18510012","107611","","2100","","851","2","","6"
"","-125","18510013","107811","","1850","","851","2","","6"
"","-125","18510014","1","","2350","","851","2","","6"
"","-250","18510015","2","","2100","","851","2","","6"
"","-125","18510016","3","","1850","","851","2","","6"
"","-125","18510017","1","","2350","","851","33","","6"
"","-250","18510018","2","","2100","","851","33","","6"
"","-125","18510019","3","","1850","","851","33","","6"
"","","18510020","se_10053800","","se_10053800_surfing_wave","","851","23","",""
"","","18510021","0.3","","","","851","93","",""
"","","18510022","vo_fpc","","vo_fpc_85101","","851","21","","0"
"","","18520001","se_10053800","","se_fpc_water_random","","852","23","",""
"-125","13","18520002","1","0","122411","cmn_swm_flutterKick_floatRing","852","1","1.75","-850"
"-250","33","18520003","1","0","122511","cmn_swm_flutterKick_floatRing","852","1","1.75","-1100"
"-125","13","18520004","1","0","122611","cmn_swm_flutterKick_floatRing","852","1","1.75","-1350"
"-125","12","18520005","1","0","1","cmn_swm_flutterKick_floatRing","852","5","1.75","-850"
"-250","32","18520006","1","0","2","cmn_swm_flutterKick_floatRing_blue","852","5","1.75","-1100"
"-125","12","18520007","1","0","3","cmn_swm_flutterKick_floatRing_pink","852","5","1.75","-1350"
"1","-850","18520008","7","","1","","852","31","1","-125"
"1","-1100","18520009","1","","2","","852","31","1","-250"
"1","-1350","18520010","7","","3","","852","31","1","-125"
"","-125","18520011","122411","","1750","","852","2","","10"
"","-250","18520012","122511","","1500","","852","2","","10"
"","-125","18520013","122611","","1250","","852","2","","10"
"","-125","18520014","1","","1750","","852","2","","10"
"","-250","18520015","2","","1500","","852","2","","10"
"","-125","18520016","3","","1250","","852","2","","10"
"","-125","18520017","1","","1750","","852","33","","10"
"","-250","18520018","2","","1500","","852","33","","10"
"","-125","18520019","3","","1250","","852","33","","10"
"","","18530001","se_10053800","","se_fpc_water_random","","853","23","",""
"-125","12","18530002","1","0","117211","cmn_swm_breastStroke","853","1","1.75","-850"
"-250","32","18530003","1","0","117311","cmn_swm_breastStroke","853","1","1.75","-1100"
"-125","12","18530004","1","0","117411","cmn_swm_breastStroke","853","1","1.75","-1350"
"1","-850","18530005","2","","1","","853","31","1","-125"
"1","-1100","18530006","2","","2","","853","31","1","-250"
"1","-1350","18530007","2","","3","","853","31","1","-125"
"","-125","18530008","117211","","1750","","853","2","","10"
"","-250","18530009","117311","","1500","","853","2","","10"
"","-125","18530010","117411","","1250","","853","2","","10"
"","-125","18530011","1","","1750","","853","33","","10"
"","-250","18530012","2","","1500","","853","33","","10"
"","-125","18530013","3","","1250","","853","33","","10"
"","","18540001","se_10053800","","se_fpc_water_random","","854","23","",""
"-125","13","18540002","1","0","122711","cmn_swm_flutterKick_floatRing","854","1","1.75","-850"
"-250","33","18540003","1","0","122811","cmn_swm_flutterKick_floatRing","854","1","1.75","-1100"
"-125","13","18540004","1","0","122911","cmn_swm_flutterKick_floatRing","854","1","1.75","-1350"
"-125","12","18540005","1","0","1","cmn_swm_flutterKick_floatBoad","854","5","1.75","-850"
"-250","32","18540006","1","0","2","cmn_swm_flutterKick_floatBoad_blue","854","5","1.75","-1100"
"-125","12","18540007","1","0","3","cmn_swm_flutterKick_floatBoad","854","5","1.75","-1350"
"1","-850","18540008","7","","1","","854","31","1","-125"
"1","-1100","18540009","1","","2","","854","31","1","-250"
"1","-1350","18540010","7","","3","","854","31","1","-125"
"","-125","18540011","122711","","1750","","854","2","","10"
"","-250","18540012","122811","","1500","","854","2","","10"
"","-125","18540013","122911","","1250","","854","2","","10"
"","-125","18540014","1","","1750","","854","2","","10"
"","-250","18540015","2","","1500","","854","2","","10"
"","-125","18540016","3","","1250","","854","2","","10"
"","-125","18540017","1","","1750","","854","33","","10"
"","-250","18540018","2","","1500","","854","33","","10"
"","-125","18540019","3","","1250","","854","33","","10"
"","","18550001","se_10053800","","se_fpc_water_random","","855","23","",""
"-125","13","18550002","1","0","113411","cmn_swm_flutterKick_floatRing","855","1","1.75","-850"
"-250","33","18550003","1","0","113511","cmn_swm_flutterKick_floatRing","855","1","1.75","-1100"
"-125","12","18550004","1","0","1","cmn_swm_flutterKick_floatBoad","855","5","1.75","-850"
"-250","32","18550005","1","0","2","cmn_swm_flutterKick_floatBoad_blue","855","5","1.75","-1100"
"1","-850","18550006","7","","1","","855","31","1","-125"
"1","-1100","18550007","1","","2","","855","31","1","-250"
"","-125","18550008","113411","","1750","","855","2","","10"
"","-250","18550009","113511","","1500","","855","2","","10"
"","-125","18550010","1","","1750","","855","2","","10"
"","-250","18550011","2","","1500","","855","2","","10"
"","-125","18550012","1","","1750","","855","33","","10"
"","-250","18550013","2","","1500","","855","33","","10"
"","","18560001","se_10053800","","se_fpc_water_random","","856","23","",""
"-125","13","18560002","1","0","110311","cmn_swm_tread","856","1","1.75","-850"
"-250","33","18560003","1","0","107711","cmn_swm_tread","856","1","1.75","-1100"
"-125","12","18560004","1","0","1","cmn_swm_tread_pink","856","5","1.75","-850"
"-250","32","18560005","1","0","2","cmn_swm_tread","856","5","1.75","-1100"
"1","-850","18560006","13","","1","","856","31","1","-125"
"1","-1100","18560007","3","","2","","856","31","1","-250"
"","-125","18560008","110311","","1750","","856","2","","13.5"
"","-250","18560009","107711","","1500","","856","2","","13.5"
"","-125","18560010","1","","1750","","856","2","","13.5"
"","-250","18560011","2","","1500","","856","2","","13.5"
"","-125","18560012","1","","1750","","856","33","","13.5"
"","-250","18560013","2","","1500","","856","33","","13.5"
"","","18570001","se_10053800","","se_fpc_water_random","","857","23","",""
"-125","13","18570002","1","0","110411","cmn_swm_tread","857","1","1.75","-850"
"-250","33","18570003","1","0","110511","cmn_swm_tread","857","1","1.75","-1100"
"-125","13","18570004","1","0","115711","cmn_swm_tread","857","1","1.75","-1350"
"-250","33","18570005","1","0","110611","cmn_boat_relax","857","1","1.75","-1600"
"-125","12","18570006","1","0","1","cmn_swm_tread_blue","857","5","1.75","-850"
"-250","32","18570007","1","0","2","cmn_swm_tread","857","5","1.75","-1100"
"-125","12","18570008","1","0","3","cmn_swm_tread_pink","857","5","1.75","-1350"
"-250","32","18570009","2","0","4","cmn_boat_idle_l","857","5","1.75","-1600"
"1","-850","18570010","13","","1","","857","31","1","-125"
"1","-1100","18570011","3","","2","","857","31","1","-250"
"1","-1350","18570012","13","","3","","857","31","1","-125"
"1","-1600","18570013","116","","4","","857","31","1","-250"
"","-125","18570014","110411","","1750","","857","2","","13.5"
"","-250","18570015","110511","","1500","","857","2","","13.5"
"","-125","18570016","115711","","1250","","857","2","","13.5"
"","-250","18570017","110611","","1000","","857","2","","13.5"
"","-125","18570018","1","","1750","","857","2","","13.5"
"","-250","18570019","2","","1500","","857","2","","13.5"
"","-125","18570020","3","","1250","","857","2","","13.5"
"","-250","18570021","4","","1000","","857","2","","13.5"
"","-125","18570022","1","","1750","","857","33","","13.5"
"","-250","18570023","2","","1500","","857","33","","13.5"
"","-125","18570024","3","","1250","","857","33","","13.5"
"","-250","18570025","4","","1000","","857","33","","13.5"
"","","18580001","se_10053800","","se_fpc_water_random","","858","23","",""
"-125","13","18580002","1","0","126711","cmn_swm_tread","858","1","1.75","-850"
"-125","13","18580003","1","0","126711","cmn_swm_tread","858","1","1.75","-850"
"-250","33","18580004","1","0","126811","cmn_swm_tread","858","1","1.75","-1100"
"-125","13","18580005","1","0","108011","cmn_swm_tread","858","1","1.75","-1350"
"-250","33","18580006","1","0","107911","cmn_boat_cat","858","1","1.75","-1600"
"-125","12","18580007","1","0","1","cmn_swm_tread_pink","858","5","1.75","-850"
"-250","32","18580008","1","0","2","cmn_swm_tread","858","5","1.75","-1100"
"-125","12","18580009","1","0","3","cmn_swm_tread_blue","858","5","1.75","-1350"
"-250","32","18580010","2","0","4","cmn_boat_idle_l","858","5","1.75","-1600"
"1","-850","18580011","13","","1","","858","31","1","-125"
"1","-1100","18580012","3","","2","","858","31","1","-250"
"1","-1350","18580013","13","","3","","858","31","1","-125"
"1","-1600","18580014","116","","4","","858","31","1","-250"
"","-125","18580015","126711","","1750","","858","2","","13.5"
"","-250","18580016","126811","","1500","","858","2","","13.5"
"","-125","18580017","108011","","1250","","858","2","","13.5"
"","-250","18580018","107911","","1000","","858","2","","13.5"
"","-125","18580019","1","","1750","","858","2","","13.5"
"","-250","18580020","2","","1500","","858","2","","13.5"
"","-125","18580021","3","","1250","","858","2","","13.5"
"","-250","18580022","4","","1000","","858","2","","13.5"
"","-125","18580023","1","","1750","","858","33","","13.5"
"","-250","18580024","2","","1500","","858","33","","13.5"
"","-125","18580025","3","","1250","","858","33","","13.5"
"","-250","18580026","4","","1000","","858","33","","13.5"
"","","18590001","se_10053800","","se_fpc_water_random","","859","23","",""
"-125","45","18590002","1","0","113111","cmn_surfing","859","1","1.75","-850"
"-250","45","18590003","1","0","113211","cmn_surfing","859","1","1.75","-1100"
"-125","45","18590004","1","0","113311","cmn_surfing","859","1","1.75","-1350"
"-250","45","18590005","1","0","117011","cmn_surfing","859","1","1.75","-1600"
"-125","44","18590006","6","0","1","cmn_surfing","859","5","1.75","-850"
"-250","44","18590007","6","0","2","cmn_surfing","859","5","1.75","-1100"
"-125","44","18590008","6","0","3","cmn_surfing","859","5","1.75","-1350"
"-250","44","18590009","6","0","4","cmn_surfing","859","5","1.75","-1600"
"1","-850","18590010","11","","1","","859","31","1","-125"
"1","-1100","18590011","11","","2","","859","31","1","-250"
"1","-1350","18590012","11","","3","","859","31","1","-125"
"1","-1600","18590013","11","","4","","859","31","1","-250"
"","-125","18590014","113111","","2350","","859","2","","6"
"","-250","18590015","113211","","2100","","859","2","","6"
"","-125","18590016","113311","","1850","","859","2","","6"
"","-250","18590017","117011","","1600","","859","2","","6"
"","-125","18590018","1","","2350","","859","2","","6"
"","-250","18590019","2","","2100","","859","2","","6"
"","-125","18590020","3","","1850","","859","2","","6"
"","-250","18590021","4","","1600","","859","2","","6"
"","-125","18590022","1","","2350","","859","33","","6"
"","-250","18590023","2","","2100","","859","33","","6"
"","-125","18590024","3","","1850","","859","33","","6"
"","-250","18590025","4","","1600","","859","33","","6"
"","","18590026","se_10053800","","se_10053800_surfing_wave","","859","23","",""
"","","18590027","0.3","","","","859","93","",""
"","","18590028","vo_fpc","","vo_fpc_85901","","859","21","","0"
"","","18600001","se_10053800","","se_fpc_water_random","","860","23","",""
"-180","23","18600002","1","0","110011","cmn_boat_relax_l","860","1","1.75","-850"
"-180","23","18600003","1","0","110111","cmn_boat_relax","860","1","1.75","-1200"
"-180","22","18600004","2","0","1","cmn_boat_idle_blue","860","5","1.75","-850"
"-180","22","18600005","2","0","2","cmn_boat_idle_l","860","5","1.75","-1200"
"1","-850","18600006","116","","1","","860","31","1","-180"
"1","-1200","18600007","116","","2","","860","31","1","-180"
"","-180","18600008","110011","","1750","","860","2","","13.5"
"","-180","18600009","110111","","1400","","860","2","","13.5"
"","-180","18600010","1","","1750","","860","2","","13.5"
"","-180","18600011","2","","1400","","860","2","","13.5"
"","-180","18600012","1","","1750","","860","33","","13.5"
"","-180","18600013","2","","1400","","860","33","","13.5"
"","","18600014","2.7","","","","860","93","",""
"","","18600015","vo_fpc","","vo_fpc_86001","","860","21","","0"
"","","18610001","se_10053800","","se_fpc_water_random","","861","23","",""
"-125","13","18610002","1","0","129511","cmn_swm_tread","861","1","1.75","-850"
"-250","33","18610003","1","0","129411","cmn_swm_tread","861","1","1.75","-1100"
"-125","13","18610004","1","0","129311","cmn_swm_tread","861","1","1.75","-1350"
"-125","12","18610005","1","0","1","cmn_swm_tread_pink","861","5","1.75","-850"
"-250","32","18610006","1","0","2","cmn_swm_tread_blue","861","5","1.75","-1100"
"-125","12","18610007","1","0","3","cmn_swm_tread","861","5","1.75","-1350"
"1","-850","18610008","13","","1","","861","31","1","-125"
"1","-1100","18610009","3","","2","","861","31","1","-250"
"1","-1350","18610010","13","","3","","861","31","1","-125"
"","-125","18610011","129511","","1750","","861","2","","13.5"
"","-250","18610012","129411","","1500","","861","2","","13.5"
"","-125","18610013","129311","","1250","","861","2","","13.5"
"","-125","18610014","1","","1750","","861","2","","13.5"
"","-250","18610015","2","","1500","","861","2","","13.5"
"","-125","18610016","3","","1250","","861","2","","13.5"
"","-125","18610017","1","","1750","","861","33","","13.5"
"","-250","18610018","2","","1500","","861","33","","13.5"
"","-125","18610019","3","","1250","","861","33","","13.5"
"","","18620001","se_10053800","","se_fpc_water_random","","862","23","",""
"-125","13","18620002","1","0","126711","cmn_swm_tread","862","1","1.75","-850"
"-250","33","18620003","1","0","126811","cmn_swm_tread","862","1","1.75","-1100"
"-180","22","18620004","21","0","21","02_neneka_floatRing","862","5","1.66","-1350"
"-125","12","18620005","1","0","1","cmn_swm_tread","862","5","1.75","-850"
"-250","32","18620006","1","0","2","cmn_swm_tread_blue","862","5","1.75","-1100"
"1","-850","18620007","13","","1","","862","31","1","-125"
"1","-1100","18620008","3","","2","","862","31","1","-250"
"1","-1350","18620009","102","","3","","862","31","1","-180"
"","-125","18620010","126711","","1750","","862","2","","13.5"
"","-250","18620011","126811","","1500","","862","2","","13.5"
"","-180","18620012","21","","1250","","862","2","","13.5"
"","-125","18620013","1","","1750","","862","2","","13.5"
"","-250","18620014","2","","1500","","862","2","","13.5"
"","-125","18620015","1","","1750","","862","33","","13.5"
"","-250","18620016","2","","1500","","862","33","","13.5"
"","-180","18620017","3","","1250","","862","33","","13.5"
"","","18630001","se_10053800","","se_fpc_water_random","","863","23","",""
"-180","22","18630002","1","1","126911","cmn_float","863","1","1.75","-1100"
"-125","12","18630003","1","0","127011","cmn_float","863","1","1.75","-1350"
"-180","22","18630004","1","0","127111","cmn_float","863","1","1.75","-1600"
"1","-1070","18630005","6","","2","","863","31","1","-180"
"1","-1350","18630006","6","","3","","863","31","1","-125"
"1","-1600","18630007","6","","4","","863","31","1","-180"
"","-180","18630008","126911","","1500","","863","2","","13.5"
"","-125","18630009","127011","","1250","","863","2","","13.5"
"","-180","18630010","127111","","1000","","863","2","","13.5"
"","-180","18630011","2","","1530","","863","33","","13.5"
"","-125","18630012","3","","1250","","863","33","","13.5"
"","-180","18630013","4","","1000","","863","33","","13.5"
"","","18630014","2.3","","","","863","93","",""
"","","18630015","vo_fpc","","vo_fpc_86301","","863","21","","0"
"","","18640001","se_10053800","","se_fpc_water_random","","864","23","",""
"-125","45","18640002","1","0","107811","cmn_surfing","864","1","1.75","-850"
"-250","45","18640003","1","0","110011","cmn_surfing","864","1","1.75","-1100"
"-125","44","18640004","6","0","1","cmn_surfing","864","5","1.75","-850"
"-250","44","18640005","6","0","2","cmn_surfing","864","5","1.75","-1100"
"1","-850","18640006","11","","1","","864","31","1","-125"
"1","-1100","18640007","11","","2","","864","31","1","-250"
"","-125","18640008","107811","","2350","","864","2","","6"
"","-250","18640009","110011","","2100","","864","2","","6"
"","-125","18640010","1","","2350","","864","2","","6"
"","-250","18640011","2","","2100","","864","2","","6"
"","-125","18640012","1","","2350","","864","33","","6"
"","-250","18640013","2","","2100","","864","33","","6"
"","","18640014","se_10053800","","se_10053800_surfing_wave","","864","23","",""
"","","18640015","0.2","","","","864","93","",""
"","","18640016","vo_fpc","","vo_fpc_86401","","864","21","","0"
"","","18650001","se_10053800","","se_fpc_water_random","","865","23","",""
"-125","13","18650002","1","0","110311","cmn_swm_flutterKick_floatRing","865","1","1.75","-850"
"-250","33","18650003","1","0","113111","cmn_swm_flutterKick_floatRing","865","1","1.75","-1100"
"-125","12","18650004","1","0","1","cmn_swm_flutterKick_floatRing_pink","865","5","1.75","-850"
"-250","32","18650005","1","0","2","cmn_swm_flutterKick_floatRing_blue","865","5","1.75","-1100"
"1","-850","18650006","7","","1","","865","31","1","-125"
"1","-1100","18650007","1","","2","","865","31","1","-250"
"","-125","18650008","110311","","1750","","865","2","","10"
"","-250","18650009","113111","","1500","","865","2","","10"
"","-125","18650010","1","","1750","","865","2","","10"
"","-250","18650011","2","","1500","","865","2","","10"
"","-125","18650012","1","","1750","","865","33","","10"
"","-250","18650013","2","","1500","","865","33","","10"
"","","18660001","se_10053800","","se_fpc_water_random","","866","23","",""
"-125","13","18660002","1","0","113411","cmn_swm_flutterKick_floatRing","866","1","1.75","-850"
"-250","33","18660003","1","0","115711","cmn_swm_flutterKick_floatRing","866","1","1.75","-1100"
"-125","12","18660004","1","0","1","cmn_swm_flutterKick_floatRing_pink","866","5","1.75","-850"
"-250","32","18660005","1","0","2","cmn_swm_flutterKick_floatRing_blue","866","5","1.75","-1100"
"1","-850","18660006","7","","1","","866","31","1","-125"
"1","-1100","18660007","1","","2","","866","31","1","-250"
"","-125","18660008","113411","","1750","","866","2","","10"
"","-250","18660009","115711","","1500","","866","2","","10"
"","-125","18660010","1","","1750","","866","2","","10"
"","-250","18660011","2","","1500","","866","2","","10"
"","-125","18660012","1","","1750","","866","33","","10"
"","-250","18660013","2","","1500","","866","33","","10"
"","","18670001","se_10053800","","se_fpc_water_random","","867","23","",""
"-125","13","18670002","1","0","113211","cmn_swm_tread","867","1","1.75","-850"
"-250","33","18670003","1","0","127111","cmn_swm_tread","867","1","1.75","-1100"
"-125","12","18670004","1","0","1","cmn_swm_tread_pink","867","5","1.75","-850"
"-250","32","18670005","1","0","2","cmn_swm_tread_blue","867","5","1.75","-1100"
"1","-850","18670006","13","","1","","867","31","1","-125"
"1","-1100","18670007","3","","2","","867","31","1","-250"
"","-125","18670008","113211","","1750","","867","2","","13.5"
"","-250","18670009","127111","","1500","","867","2","","13.5"
"","-125","18670010","1","","1750","","867","2","","13.5"
"","-250","18670011","2","","1500","","867","2","","13.5"
"","-125","18670012","1","","1750","","867","33","","13.5"
"","-250","18670013","2","","1500","","867","33","","13.5"
"","","18680001","se_10053800","","se_fpc_water_random","","868","23","",""
"-125","12","18680002","1","0","117011","cmn_swm_diving","868","1","1.75","-850"
"-180","22","18680003","1","0","117111","cmn_swm_diving","868","1","1.75","-1100"
"1","-850","18680004","9","","1","","868","31","1","-125"
"1","-1100","18680005","9","","2","","868","31","1","-180"
"","-125","18680006","117011","","1750","","868","2","","13.5"
"","-180","18680007","117111","","1500","","868","2","","13.5"
"","-125","18680008","1","","1750","","868","33","","13.5"
"","-180","18680009","2","","1500","","868","33","","13.5"
"","","18690001","se_10053800","","se_fpc_water_random","","869","23","",""
"-125","13","18690002","1","0","110511","cmn_swm_flutterKick_floatRing","869","1","1.75","-850"
"-250","33","18690003","1","0","110011","cmn_swm_flutterKick_floatRing","869","1","1.75","-1100"
"-125","12","18690004","1","0","1","cmn_swm_flutterKick_floatBoad","869","5","1.75","-850"
"-250","32","18690005","1","0","2","cmn_swm_flutterKick_floatBoad_blue","869","5","1.75","-1100"
