9e72c94fe338503ea6893817cf43779fb5c02c7ff3f0db2564e5e9978d266613,dc75c54fb5a1768946f77035a0de1afc8bfd25f79e66cce61da4333e36e6c180,4c15131e875ebaf8be1b6b038e003f0dbd3e132c17107dce74f6969cbaf9a12a,0f4356a1db7763d44193386460e4360b6bb6f81d12c4c1dc599dc86803d2474a,f480db55ec43d22214366088e2f14ad5238513fb8dae065d35c5922077af899b,29f517deab687241fa2c7e1c149ef1ab3ccc92d2e7844a0ff110ecb6c640889e,1895651689dd8297b7fb8dcfb7f7bd14f6c1590a29f2f18b03bdb3520769173b
"1","1","0","8","1","10","14"
"3","12","0","9","1","12","14"
"3","12","0","10","1","12","14"
"3","5","0","11","1","0","14"
"1","5","0","12","1","12","14"
"1","10","0","13","2","6","14"
"1","11","0","14","1","10","14"
"1","10","0","15","3","6","14"
"1","11","0","16","1","10","14"
"1","2","0","17","3","6","14"
"1","10","0","18","2","6","14"
"1","11","0","19","1","4","14"
"2","8","0","20","1","10","14"
"1","8","0","21","3","4","14"
"2","12","0","1","1","10","15"
"1","12","0","2","1","12","15"
"3","11","0","3","1","12","15"
"1","11","0","4","1","6","15"
"2","12","0","5","1","12","15"
"2","5","0","6","1","0","15"
"1","11","0","7","1","12","15"
"1","1","0","8","1","0","15"
"1","5","0","9","1","0","15"
"1","12","0","10","2","12","15"
"3","11","0","11","1","0","15"
"3","12","0","12","1","11","15"
"2","1","0","13","1","9","15"
"1","1","0","14","1","12","15"
"1","12","0","15","1","0","15"
"1","12","0","16","1","9","15"
"2","11","0","17","1","4","15"
"1","11","0","18","3","4","15"
"2","5","0","19","1","12","15"
"2","12","0","20","1","0","15"
"2","12","0","21","1","7","15"
"1","12","0","22","3","12","15"
"1","1","0","23","3","7","15"
"3","4","0","24","1","0","15"
"1","4","0","25","3","10","15"
"2","8","0","26","1","0","15"
"1","11","0","27","1","0","15"
"2","11","0","28","1","0","15"
"1","6","0","1","1","0","16"
"2","11","0","2","1","10","16"
"3","12","0","3","1","0","16"
"2","4","0","4","1","0","16"
"1","6","0","5","1","12","16"
"1","6","0","6","1","0","16"
"2","4","0","7","1","4","16"
"3","5","0","8","1","4","16"
"3","1","0","9","1","0","16"
"1","12","0","10","1","17","16"
"2","11","0","11","1","0","16"
"3","1","0","12","1","10","16"
"2","11","0","13","1","11","16"
"3","11","0","14","1","0","16"
"1","12","0","15","1","12","16"
"1","11","0","16","1","10","16"
"1","11","0","17","1","10","16"
"1","6","0","18","1","6","16"
"2","11","0","19","1","6","16"
"3","1","0","20","1","8","16"
"3","5","0","21","1","8","16"
"1","4","0","22","1","9","16"
"1","11","0","23","1","10","16"
"1","11","0","1","1","4","17"
"1","4","0","2","3","10","17"
"1","11","0","3","1","4","17"
"1","1","0","4","1","0","17"
"1","1","0","5","2","10","17"
"2","11","0","6","1","4","17"
"1","1","0","7","2","10","17"
"2","11","0","8","1","4","17"
"3","1","0","9","1","0","17"
"1","8","0","10","2","10","17"
"1","12","0","11","1","12","17"
"3","11","0","12","1","4","17"
"1","1","0","13","3","4","17"
"1","11","0","14","1","10","17"
"1","1","0","15","2","0","17"
"1","11","0","16","2","4","17"
"1","8","0","17","2","7","17"
"1","11","0","18","1","0","17"
"1","2","0","19","3","6","17"
"1","10","0","20","1","10","17"
"2","11","0","21","1","10","17"
"3","8","0","22","1","7","17"
"1","11","0","1","1","4","18"
"1","5","0","2","2","13","18"
"1","4","0","3","1","10","18"
"2","4","0","4","1","10","18"
"3","11","0","5","1","10","18"
"1","5","0","6","3","7","18"
"1","11","0","7","1","10","18"
"3","4","0","8","1","10","18"
"2","11","0","9","1","10","18"
"1","5","0","10","3","6","18"
"1","11","0","11","1","10","18"
"2","11","0","12","1","10","18"
"3","4","0","13","1","10","18"
"1","5","0","14","2","8","18"
"1","6","0","15","2","6","18"
"3","10","0","16","1","0","18"
"2","10","0","17","1","0","18"
"1","10","0","18","1","0","18"
"1","10","0","19","2","7","18"
"1","8","0","20","1","10","18"
"1","11","0","21","1","10","18"
"1","2","0","22","2","9","18"
"1","13","0","1","2","0","19"
"1","4","0","2","2","8","19"
"1","8","0","3","2","0","19"
"1","14","0","1","2","10","20"
"1","8","0","2","2","0","20"
"1","15","0","1","2","13","21"
"1","15","0","1","2","0","22"
"1","13","0","2","2","0","22"
"1","42","0","1","2","0","23"
"1","72","0","2","2","0","23"
"1","43","0","1","2","0","24"
"1","44","0","1","2","0","25"
"1","45","0","1","2","0","26"
"1","46","0","1","2","0","27"
"1","47","0","1","2","0","28"
"1","14","0","1","2","0","29"
"1","15","0","1","1","0","30"
"2","8","0","2","1","0","30"
"1","10","0","3","1","13","30"
"2","10","0","4","1","13","30"
"2","12","0","5","1","9","30"
"1","72","0","6","1","6","30"
"1","2","0","7","2","8","30"
"1","13","0","8","2","0","30"
"1","4","0","1","1","8","31"
"2","1","0","2","1","0","31"
"1","10","0","3","1","6","31"
"2","4","0","4","1","0","31"
"1","9","0","5","1","7","31"
"2","1","0","6","1","0","31"
"1","10","0","1","1","6","32"
"2","10","0","2","1","13","32"
"3","1","0","3","1","0","32"
"2","2","0","4","1","11","32"
"1","2","0","5","1","8","32"
"3","1","0","6","1","0","32"
"3","72","0","7","1","7","32"
"3","6","0","1","1","0","33"
"1","10","0","2","3","13","33"
"3","3","0","3","1","3","33"
"1","72","0","4","3","0","33"
"3","12","0","5","1","2","33"
"1","4","0","1","2","6","34"
"1","5","0","2","1","7","34"
"2","1","0","3","1","0","34"
"2","12","0","4","1","8","34"
"1","1","0","5","1","0","34"
"1","15","0","6","2","0","34"
"1","8","0","1","2","0","35"
"1","72","0","2","2","10","35"
"1","13","0","3","2","0","35"
"1","4","0","1","2","0","36"
"1","6","0","2","1","6","36"
"1","1","0","3","1","0","36"
"2","72","0","4","1","10","36"
"2","9","0","5","1","0","36"
"2","2","0","6","2","7","36"
"1","8","0","1","2","7","37"
"1","4","0","2","1","0","37"
"2","5","0","3","1","0","37"
"1","13","0","4","2","6","37"
"1","13","0","1","2","10","38"
"1","5","0","2","1","8","38"
"2","6","0","3","1","7","38"
"1","1","0","4","1","0","38"
"2","9","0","5","1","7","38"
"2","15","0","6","1","13","38"
"1","8","0","7","2","0","38"
"1","4","0","1","2","6","39"
"1","6","0","2","1","13","39"
"2","72","0","3","1","10","39"
"1","13","0","4","2","6","39"
