639f39b54802ebcd68b8e0d09fbb1b4de2c65f59372484a4d164b6fbc49f0835,27b931043da43e523122c760005c6ad85ee0ee05d946cdee78c25ca9f3ebcfa5,6f2c44e92c3299fe7562fb765ce9b1769c318d263dbb34e9109a9d626a1c3aa1,72f69584749648bfb63f7732859aba54ee7e5e7e49fe831114c539ca10cee2dd,c6fa47f69a665a678a5c2859c2297daf9324290363ef2c43ee28bd265c368b2f,2882fc32a45808d95cabeb7653da0fa6cb2ae1a10067dc5a2bc73105113a7386,9c422376704ea0655dc3b427b40a51c42acc8fe045b19c910702d7118060d535,05ce4c8ed8bc52a6af71ab972abf93a2bc1047a5dff33e5e4f780d8115a7a520,12d0268703b61e27022e2a62cd017daa97c0e68ef20204873697098ff5a95805,dc71095c66df3de9182bd6328562366632cc029eef9a137576e424a597c4581b
"","0","0","1060011","0","vo_10011600_0603","11","vo_10011600","2","6"
"見つめるだけで目が焼かれちゃいそう。\n","0","8","1060012","0","0","12","0","1","6"
"","3.25","0","1060013","1","0","13","0","4","6"
"","0","0","1060014","0","vo_10011600_0604","14","vo_10011600","2","6"
"面と向かい合ってお話しなんてしようものなら、","0","8","1060015","0","0","15","0","1","6"
"","3.5","0","1060016","1","0","16","0","4","6"
"私のぼっちハートはひび割れ、","0","8","1060017","0","0","17","0","1","6"
"","2.5","0","1060018","1","0","18","0","4","6"
"粉々に砕け散ること間違いなし。\n","0","8","1060019","0","0","19","0","1","6"
"","3.875","0","1060020","1","0","20","0","4","6"
"","0","0","1060021","0","vo_10011600_0605","21","vo_10011600","2","6"
"あのちぇるーん、","0","8","1060022","0","0","22","0","1","6"
"","1.75","0","1060023","1","0","23","0","4","6"
"っていう挨拶、","0","8","1060024","0","0","24","0","1","6"
"","1.625","0","1060025","1","0","25","0","4","6"
"私が口にするとその場で気絶して、","0","8","1060026","0","0","26","0","1","6"
"","2.75","0","1060027","1","0","27","0","4","6"
"天に召されちゃうんじゃないかな……","0","8","1060028","0","0","28","0","1","6"
"","3.125","0","1060029","1","0","29","0","4","6"
"","0","0","1070001","0","vo_10011600_0701","1","vo_10011600","2","7"
"　今日は何から何まで、","0","8","1070002","0","0","2","0","1","7"
"","2.375","0","1070003","1","0","3","0","4","7"
"ユニさんのお世話になっちゃった。\n","0","7","1070004","0","0","4","0","1","7"
"","3.28571428571429","0","1070005","1","0","5","0","4","7"
"","0","0","1070006","0","vo_10011600_0702","6","vo_10011600","2","7"
"クロエさんやチエルさんにからかわれているときとは全然違う、","0","8","1070007","0","0","7","0","1","7"
"","4.625","0","1070008","1","0","8","0","4","7"
"知的で、","0","8","1070009","0","0","9","0","1","7"
"","1.5","0","1070010","1","0","10","0","4","7"
"頼りになる姿をたくさん見た。","0","10","1070011","0","0","11","0","1","7"
"","2.4","0","1070012","1","0","12","0","4","7"
"","0","0","1070013","0","vo_10011600_0703","13","vo_10011600","2","7"
"てきぱきと指示する姿は","0","8","1070014","0","0","14","0","1","7"
"","2.375","0","1070015","1","0","15","0","4","7"
"ギルドマスターであるという貫禄たっぷり。","0","8","1070016","0","0","16","0","1","7"
"","3.5","0","1070017","1","0","17","0","4","7"
"","0","0","1070018","0","vo_10011600_0704","18","vo_10011600","2","7"
"ユニさんだったらきっと、","0","8","1070019","0","0","19","0","1","7"
"","2.25","0","1070020","1","0","20","0","4","7"
"ユニちゃんズの名前を世界中に広めることができると思う。\n\n","0","8","1070021","0","0","21","0","1","7"
"","6.625","0","1070022","1","0","22","0","4","7"
"","0","0","1070023","0","vo_10011600_0705","23","vo_10011600","2","7"
"あれ？","0","8","1070024","0","0","24","0","1","7"
"","1.125","0","1070025","1","0","25","0","4","7"
"　こんなギルド名だったっけ？","0","8","1070026","0","0","26","0","1","7"
"","2.75","0","1070027","1","0","27","0","4","7"
"","0","0","1080001","0","vo_10011600_0801","1","vo_10011600","2","8"
"　初めて会ったときは","0","8","1080002","0","0","2","0","1","8"
"","1.75","0","1080003","1","0","3","0","4","8"
"怖くて話しかけることさえも出来なかったクロエさん。","0","8","1080004","0","0","4","0","1","8"
"","4.125","0","1080005","1","0","5","0","4","8"
"","0","0","1080006","0","vo_10011600_0802","6","vo_10011600","2","8"
"だけど本当はとても優しくて、","0","8","1080007","0","0","7","0","1","8"
"","2.75","0","1080008","1","0","8","0","4","8"
"こんな私のことを気にかけてくれてることが伝わってきた。\n","0","8","1080009","0","0","9","0","1","8"
"","5.875","0","1080010","1","0","10","0","4","8"
"","0","0","1080011","0","vo_10011600_0803","11","vo_10011600","2","8"
"クロエさんのおかげで少しだけだけど、","0","8","1080012","0","0","12","0","1","8"
"","3.25","0","1080013","1","0","13","0","4","8"
"ク\nラスに受け入れてもらえた。\n","0","8","1080014","0","0","14","0","1","8"
"","4.25","0","1080015","1","0","15","0","4","8"
"","0","0","1080016","0","vo_10011600_0804","16","vo_10011600","2","8"
"クロエさんにはご家族がたくさんいるみたい。","0","8","1080017","0","0","17","0","1","8"
"","4.125","0","1080018","1","0","18","0","4","8"
"","0","0","1080019","0","vo_10011600_0805","19","vo_10011600","2","8"
"　確かに、","0","8","1080020","0","0","20","0","1","8"
"","1.625","0","1080021","1","0","21","0","4","8"
"今日のクロエさんは思わずお姉ちゃんと呼んじゃいそうだった！","0","8","1080022","0","0","22","0","1","8"
"","4.625","0","1080023","1","0","23","0","4","8"
"","0","0","1090001","0","vo_10011600_0901","1","vo_10011600","2","9"
"　ちぇるーん。","0","8","1090002","0","0","2","0","1","9"
"","3.875","0","1090003","1","0","3","0","4","9"
"","0","0","1090004","0","vo_10011600_0902","4","vo_10011600","2","9"
"この挨拶を言えるようになれば","0","8","1090005","0","0","5","0","1","9"
"","2.75","0","1090006","1","0","6","0","4","9"
"私もチエルさんみたいな","0","8","1090007","0","0","7","0","1","9"
"","2.375","0","1090008","1","0","8","0","4","9"
"明るくて友達もたくさんいる、","0","8","1090009","0","0","9","0","1","9"
"","2.75","0","1090010","1","0","10","0","4","9"
"私の理想の女性になれるのかな。\n","0","8","1090011","0","0","11","0","1","9"
"","4.375","0","1090012","1","0","12","0","4","9"
"","0","0","1090013","0","vo_10011600_0903","13","vo_10011600","2","9"
"でも","0","8","1090014","0","0","14","0","1","9"
"","1.25","0","1090015","1","0","15","0","4","9"
"この挨拶はまだ私には早いので、","0","8","1090016","0","0","16","0","1","9"
"","2.875","0","1090017","1","0","17","0","4","9"
"今日は書き取りだけしておこう。\n","0","8","1090018","0","0","18","0","1","9"
"","4.125","0","1090019","1","0","19","0","4","9"
"","0","0","1090020","0","vo_10011600_0904","20","vo_10011600","2","9"
"ちぇるーんちぇるーんちぇるーんちぇるーんちぇるーん","0","8","1090021","0","0","21","0","1","9"
"","4.125","0","1090022","1","0","22","0","4","9"
"","0","0","1090023","0","vo_10011600_0905","23","vo_10011600","2","9"
"ちぇるーんちぇるーんちぇるーんちぇるーんちぇるーん","0","8","1090024","0","0","24","0","1","9"
"","4.125","0","1090025","1","0","25","0","4","9"
"","0","0","1090026","0","vo_10011600_0906","26","vo_10011600","2","9"
"ちぇるーんちぇるーんちぇるーんちぇるーんちぇるーん\n","0","8","1090027","0","0","27","0","1","9"
"","4.125","0","1090028","1","0","28","0","4","9"
"","0","0","1090029","0","vo_10011600_0907","29","vo_10011600","2","9"
"ちぇるーんちぇるーんちぇるーん","0","8","1090030","0","0","30","0","1","9"
"","2.875","0","1090031","1","0","31","0","4","9"
"","0","0","1100001","0","vo_10011600_1001","1","vo_10011600","2","10"
"　忘れてた忘れてた忘れてた！\n","0","8","1100002","0","0","2","0","1","10"
"","2.75","0","1100003","1","0","3","0","4","10"
"どうしよう特別講座！","0","8","1100004","0","0","4","0","1","10"
"","2.25","0","1100005","1","0","5","0","4","10"
"","0","0","1100006","0","vo_10011600_1002","6","vo_10011600","2","10"
"エルフの森から持ってきたマンドラゴラも逃げちゃったし、","0","8","1100007","0","0","7","0","1","10"
"","3.625","0","1100008","1","0","8","0","4","10"
"何の準備もしてないよ！\n","0","8","1100009","0","0","9","0","1","10"
"","2.375","0","1100010","1","0","10","0","4","10"
"","0","0","1100011","0","vo_10011600_1003","11","vo_10011600","2","10"
"……エルフの森が","0","8","1100012","0","0","12","0","1","10"
"","2","0","1100013","1","0","13","0","4","10"
"私を呼んでる気が……","0","8","1100014","0","0","14","0","1","10"
"","2.25","0","1100015","1","0","15","0","4","10"
"","0","0","1100016","0","vo_10011600_1004","16","vo_10011600","2","10"
"いやダメダメ、","0","8","1100017","0","0","17","0","1","10"
"","1.875","0","1100018","1","0","18","0","4","10"
"ミサト先生の期待を裏切るわけには！\n","0","8","1100019","0","0","19","0","1","10"
"","4.125","0","1100020","1","0","20","0","4","10"
"","0","0","1100021","0","vo_10011600_1005","21","vo_10011600","2","10"
"でも本当にどうしよう、","0","8","1100022","0","0","22","0","1","10"
"","3.125","0","1100023","1","0","23","0","4","10"
"","0","0","1100024","0","vo_10011600_1006","24","vo_10011600","2","10"
"こうなったら","0","8","1100025","0","0","25","0","1","10"
"","1.75","0","1100026","1","0","26","0","4","10"
"ぼっちライフをどう生き抜くかをまとめて","0","8","1100027","0","0","27","0","1","10"
"","3.375","0","1100028","1","0","28","0","4","10"
"発表してみようかな……？","0","8","1100029","0","0","29","0","1","10"
"","2.5","0","1100030","1","0","30","0","4","10"
"","0","0","1110001","0","vo_10011600_1101","1","vo_10011600","2","11"
"　特別講座、","0","8","1110002","0","0","2","0","1","11"
"","1.75","0","1110003","1","0","3","0","4","11"
"終了！\n","0","8","1110004","0","0","4","0","1","11"
"","2.625","0","1110005","1","0","5","0","4","11"
"","0","0","1110006","0","vo_10011600_1102","6","vo_10011600","2","11"
"結果は……","0","8","1110007","0","0","7","0","1","11"
"","1.625","0","1110008","1","0","8","0","4","11"
"成功、","0","8","1110009","0","0","9","0","1","11"
"","1.375","0","1110010","1","0","10","0","4","11"
"だと思う。","0","8","1110011","0","0","11","0","1","11"
"","3.125","0","1110012","1","0","12","0","4","11"
"","0","0","1110013","0","vo_10011600_1103","13","vo_10011600","2","11"
"　それもこれもすべては、","0","8","1110014","0","0","14","0","1","11"
"","2.5","0","1110015","1","0","15","0","4","11"
"手伝ってくれたあの人、","0","8","1110016","0","0","16","0","1","11"
"","1.875","0","1110017","1","0","17","0","4","11"
"そして","0","8","1110018","0","0","18","0","1","11"
"","0.875","0","1110019","1","0","19","0","4","11"
"なかよし部のみなさんのおかげだ。\n","0","8","1110020","0","0","20","0","1","11"
"","3","0","1110021","1","0","21","0","4","11"
"","0","0","1110022","0","vo_10011600_1104","22","vo_10011600","2","11"
"講座が終わった後、","0","8","1110023","0","0","23","0","1","11"
"","2.125","0","1110024","1","0","24","0","4","11"
"たくさんの人に囲まれて怖かったけど、","0","8","1110025","0","0","25","0","1","11"
"","3","0","1110026","1","0","26","0","4","11"
"","0","0","1110027","0","vo_10011600_1105","27","vo_10011600","2","11"
"でも私、","0","8","1110028","0","0","28","0","1","11"
"","1.5","0","1110029","1","0","29","0","4","11"
"いつもみたいに逃げたりしなかった！\n","0","8","1110030","0","0","30","0","1","11"
"","3.125","0","1110031","1","0","31","0","4","11"
"","0","0","1110032","0","vo_10011600_1106","32","vo_10011600","2","11"
"私も少しだけ……","0","8","1110033","0","0","33","0","1","11"
"","2","0","1110034","1","0","34","0","4","11"
"ほんのちょっとだけだけど、","0","8","1110035","0","0","35","0","1","11"
"","2.625","0","1110036","1","0","36","0","4","11"
"成長……","0","8","1110037","0","0","37","0","1","11"
"","1.5","0","1110038","1","0","38","0","4","11"
"できたのかな。","0","8","1110039","0","0","39","0","1","11"
"","1.875","0","1110040","1","0","40","0","4","11"
"","0","0","1120001","0","vo_10011600_1201","1","vo_10011600","2","12"
"　聖テレサ女学院に何の違和感もなく溶け込めるなんて、","0","8","1120002","0","0","2","0","1","12"
"","4.25","0","1120003","1","0","3","0","4","12"
"あの人はやっぱりすごい！\n","0","8","1120004","0","0","4","0","1","12"
"","3.5","0","1120005","1","0","5","0","4","12"
"","0","0","1120006","0","vo_10011600_1202","6","vo_10011600","2","12"
"　廊下を歩いてるとき、","0","8","1120007","0","0","7","0","1","12"
"","2.125","0","1120008","1","0","8","0","4","12"
"他の生徒はあの人を見て驚いた顔をするんだけど、","0","8","1120009","0","0","9","0","1","12"
"","3.375","0","1120010","1","0","10","0","4","12"
"あの人はにこやかに挨拶するんです！\n","0","8","1120011","0","0","11","0","1","12"
"","3.125","0","1120012","1","0","12","0","4","12"
"","0","0","1120013","0","vo_10011600_1203","13","vo_10011600","2","12"
"そこできゃあ、","0","8","1120014","0","0","14","0","1","12"
"","1.375","0","1120015","1","0","15","0","4","12"
"と言われても","0","8","1120016","0","0","16","0","1","12"
"","1.25","0","1120017","1","0","17","0","4","12"
"涼しい顔で手を振り返す！","0","8","1120018","0","0","18","0","1","12"
"","2.5","0","1120019","1","0","19","0","4","12"
"","0","0","1120020","0","vo_10011600_1204","20","vo_10011600","2","12"
"　挨拶さえもできない私とは大違い！\n\n","0","8","1120021","0","0","21","0","1","12"
"","4.625","0","1120022","1","0","22","0","4","12"
"","0","0","1120023","0","vo_10011600_1205","23","vo_10011600","2","12"
"早く私も","0","8","1120024","0","0","24","0","1","12"
"","1.25","0","1120025","1","0","25","0","4","12"
"あんなふうになりたいなぁ……","0","8","1120026","0","0","26","0","1","12"
"","2.5","0","1120027","1","0","27","0","4","12"
"","0","0","1130001","0","vo_10011600_1301","1","vo_10011600","2","13"
"　私が持ってきたマンドラゴラが大変なことに……\n","0","8","1130002","0","0","2","0","1","13"
"","4.875","0","1130003","1","0","3","0","4","13"
"","0","0","1130004","0","vo_10011600_1302","4","vo_10011600","2","13"
"だけど、","0","8","1130005","0","0","5","0","1","13"
"","1.25","0","1130006","1","0","6","0","4","13"
"あの人となかよし部のみなさんが力を貸してくれたおかげで、","0","8","1130007","0","0","7","0","1","13"
"","4","0","1130008","1","0","8","0","4","13"
"大きな\n被害が出る前に食い止めることができた。","0","8","1130009","0","0","9","0","1","13"
"","5","0","1130010","1","0","10","0","4","13"
"","0","0","1130011","0","vo_10011600_1303","11","vo_10011600","2","13"
"　みなさんは","0","8","1130012","0","0","12","0","1","13"
"","1.45","0","1130013","1","0","13","0","4","13"
"下心があったなんて言ってたけど、","0","8","1130014","0","0","14","0","1","13"
"","2.75","0","1130015","1","0","15","0","4","13"
"そんなことは関係ないと思う。\n","0","8","1130016","0","0","16","0","1","13"
"","3.25","0","1130017","1","0","17","0","4","13"
"","0","0","1130018","0","vo_10011600_1304","18","vo_10011600","2","13"
"こうして一緒に戦うことができて、","0","8","1130019","0","0","19","0","1","13"
"","2.75","0","1130020","1","0","20","0","4","13"
"私は嬉しかった。\n","0","8","1130021","0","0","21","0","1","13"
"","2.5","0","1130022","1","0","22","0","4","13"
"","0","0","1130023","0","vo_10011600_1305","23","vo_10011600","2","13"
"なんだか……","0","8","1130024","0","0","24","0","1","13"
"","1.75","0","1130025","1","0","25","0","4","13"
"仲間、","0","8","1130026","0","0","26","0","1","13"
"","1.375","0","1130027","1","0","27","0","4","13"
"になれたみたいで。","0","8","1130028","0","0","28","0","1","13"
"","2.125","0","1130029","1","0","29","0","4","13"
"","0","0","1140001","0","vo_10011600_1401","1","vo_10011600","2","14"
"　今日は","0","8","1140002","0","0","2","0","1","14"
"","1.5","0","1140003","1","0","3","0","4","14"
"聖テレサ女学院に通う最終日","0","7","1140004","0","0","4","0","1","14"
"","3.60714285714286","0","1140005","1","0","5","0","4","14"
"……だった。\n","0","8","1140006","0","0","6","0","1","14"
"","3.25","0","1140007","1","0","7","0","4","14"
"","0","0","1140008","0","vo_10011600_1402","8","vo_10011600","2","14"
"最初にミサト先生からお願いされたときは","0","8","1140009","0","0","9","0","1","14"
"","3.375","0","1140010","1","0","10","0","4","14"
"絶対ムリだと思ってた。","0","8","1140011","0","0","11","0","1","14"
"","3.125","0","1140012","1","0","12","0","4","14"
"","0","0","1140013","0","vo_10011600_1403","13","vo_10011600","2","14"
"　だけど今は名残惜しくて、","0","8","1140014","0","0","14","0","1","14"
"","2.625","0","1140015","1","0","15","0","4","14"
"こうして日記を書いている。\n","0","8","1140016","0","0","16","0","1","14"
"","3.375","0","1140017","1","0","17","0","4","14"
"","0","0","1140018","0","vo_10011600_1404","18","vo_10011600","2","14"
"　目を閉じると、","0","8","1140019","0","0","19","0","1","14"
"","2","0","1140020","1","0","20","0","4","14"
"あの人や","0","8","1140021","0","0","21","0","1","14"
"","1.5","0","1140022","1","0","22","0","4","14"
"なかよし部のみなさん、","0","8","1140023","0","0","23","0","1","14"
"","2.125","0","1140024","1","0","24","0","4","14"
