29eb7db719de734b0ee7b5a7458e38661c17c93f96a548ee1248d50cebc7a0cc,1b48a21556f0d897a34b462eebae32321a5e4072db94d9acae0210d7036a34cf,89bd8bb308630bec169b2903b8f24b953c4faf8eb2c901718b1a1e23e0e4eb34,1fb51007473d90058a27a9b06770a89fb9682dea78de5adb670b7ff5927c60e9,3979761d9c87be4b5da458c02063944215b3ada6c8f8600df38aad4bee391819,1941f108efa5eaa53ed28e2deb1a09060048a6b394809f58042546912c4148e8,c14e15a49761d19e4197c021d4989c2793db0e1dc4aee67665a69a58cdb4f7b6,66446e225950997572afee5f1fc981ef07ba301a26f7ed5cebb6c57a54937b3e,1de2bb072125bb336d610421af869c6058cba6441135cf782255753b7a1e303c,7ece5d18bce4aa52f11885ebb799cd1608e72ac3803735f558c2b78c20073a7c,db9958b16d56b706ff1d3775be2f9ef636e6703c4955502a855a6c817fe3cf28,bbd72886d458007ad0a64a13855891b079a47715abb59cdf0e12575ed960798d,c0982f9dbb6d513629750ed0992d7374042d91bb5a2a2aeed546e154ca77c027,190d57c7aa41b24151c328008b208195a5116befcd06e6963f058985065b6c23,d4279884c6843e94b59ba74c052ec3471e8078c6623f481365797cf7f835bf7a,984302a1a6bfebcd54f99fbf72241753926c5e659928c09671c3a93a7e9f99cf,1fd79c91b894509c8bffcdb77e11587cafc1851994f875e0ae29c2f265bef196,57d358ace3f858b193a4a088e0c2442685624685cbe50ffea24ddd9f3d9777b6
"17","bgm_M220","巨影復活","2020/04/01 17:59:59","1","4004103","0","bgm_M220","1002003","3","100584","750000000000","1002","250000000001","2020/04/01 13:00:00","バトル オブ ランドソル 巨影復活　～04/01 23：59","300","0"
"18","bgm_M220","巨影復活","2020/04/01 19:59:59","1","4004104","0","bgm_M220","1002001","1","100584","250000000000","1002","125000000001","2020/04/01 18:00:00","バトル オブ ランドソル 巨影復活　～04/01 23：59","120","0"
"19","bgm_M220","巨影復活","2020/04/01 23:59:59","1","0","0","bgm_M220","1002002","2","100584","125000000000","1002","0","2020/04/01 20:00:00","バトル オブ ランドソル 巨影復活　～04/01 23：59","240","0"
"22","bgm_M220","巨影復活","2020/04/01 7:59:59","1","4004109","0","bgm_M220","1002004","1","100584","0","1002","0","2020/04/01","バトル オブ ランドソル 巨影復活　～04/01 23：59","480","0"
"23","bgm_M220","巨影復活","2020/04/01 12:59:59","1","0","0","bgm_M220","1002005","2","100584","0","1002","0","2020/04/01 8:00:00","バトル オブ ランドソル 巨影復活　～04/01 23：59","300","0"
"24","bgm_M220","巨影復活","2020/04/01 17:59:59","1","0","0","bgm_M220","1002006","3","100584","0","1002","0","2020/04/01 13:00:00","バトル オブ ランドソル 巨影復活　～04/01 23：59","300","0"
"25","bgm_M220","巨影復活","2020/04/01 20:59:59","1","0","0","bgm_M220","1002004","1","100584","0","1002","0","2020/04/01 18:00:00","バトル オブ ランドソル 巨影復活　～04/01 23：59","180","0"
"26","bgm_M220","巨影復活","2020/04/01 21:59:59","1","0","0","bgm_M220","1002005","2","100584","0","1002","0","2020/04/01 21:00:00","バトル オブ ランドソル 巨影復活　～04/01 23：59","60","0"
"27","bgm_M220","巨影復活","2020/04/01 22:59:59","1","0","0","bgm_M220","1002006","3","100584","0","1002","0","2020/04/01 22:00:00","バトル オブ ランドソル 巨影復活　～04/01 23：59","60","0"
"28","bgm_M220","巨影復活","2020/04/01 23:59:59","1","0","0","bgm_M220","1002004","1","100584","0","1002","0","2020/04/01 23:00:00","バトル オブ ランドソル 巨影復活　～04/01 23：59","60","0"
