c26ee01f6e747f40a6585e7d6a91c4fdee2b1f5090dab9dcd4aaa3dbb463adb5,b1fedd9f929700847bf4faa4988441430f6b83c6a1deeef0cd86de211ba61892,2daa82abf2dc1271aef89d050c4f01c1040e39983d3c0c9f647e9d1801cc2bdc,5a7c2f62677b6ff2ec0ec0af224fdeb74a69d4ee6ec8e75895668502becd902a,845268f0c70817c2d677a8fec79671fe47c1e825d133e1a8a889f5a40faaab87,953ad7b90d843ab5ccc0ee82c619f7ad691f1d3c0141e0161c5cd7d0aab10631,49e8a76cbc4066ee23f9d8e1f4920f40c550ec8889e0f0637f13a0240ebf4036,307a935604278d363d76922ce3ef2c3d8c2b6dd576cf6de9c7344794caa27a1a,b0dcae6c5c5e932557b19dfac6e8d4d8297b57d86d1569594e132c6f4998d101,c19a44b64f8b386ce3e09daf0fbc0dd406879513f5bbe5c16f56de4c5fec2c42,b8625a00f5ac8dc968cd9b1ba5db6cf1cf22464bc19aaf9250544e03b58041d2,f2b8adac5a5cb21ea2f6531abb26296d257878ab3ca4bd5b6a6233adc11abae3
"最初の頃よりも、頼もしく\nなりましたね。私はどうですか？\n成長していますか？","2","0","0","2","80001","0","103601","0","","25","キョウカ"
"おにいちゃんとあってから、\n1年たったよ～！","1","0","1","2","80001","0","102001","0","","26","ミミ"
"ミミね、おにいちゃんと\nいっぱい遊べてたのしかったな～♪\nこれからもずっと\nいっしょにいてね～！","2","0","1","2","80001","0","102001","0","","27","ミミ"
"にいちゃんがミソギのイタズラに\n引っかかり続けてもう1年かぁ","1","0","2","2","80001","0","100401","0","","28","ミソギ"
"…これからもいっぱいミソギと\n遊んでね、にいちゃん！","2","0","2","2","80001","0","100401","0","","29","ミソギ"
"もう王子はんと会うてから\n1年ぐらいたつそうどすえ\n早いもんやなあ","1","0","0","3","80001","0","101001","0","","30","マホ"
"このままやと、\nうちもあっという間に\n干からびてしまいそうどすえ\nなーんてな。うふふ","2","0","0","3","80001","0","101001","0","","31","マホ"
"お主と会って早1年じゃな\nこれからも存分に尽くすがよい","1","0","1","3","80001","0","104401","0","","32","イリヤ"
"わらわもたまには、お主の献身に\n報いてやらぬでもない♪","2","0","1","3","80001","0","104401","0","","33","イリヤ"
"もう、キミと出会って結構な時間が\nたつさ～。でも、私たちの旅は\nまだまだ始まったばかりさ～！","1","0","2","3","80001","0","101701","0","","34","カオリ"
"これからも、どうぞよろしく\nお願いするさ～！","2","0","2","3","80001","0","101701","0","","35","カオリ"
"あんたと出会ってからもうそんなに\nたつのね～","1","0","0","4","80001","0","102801","0","","36","サレン"
"あっという間だったって感じるほど\n楽しかったわ！\nこれからも一緒に頑張りましょ！","2","0","0","4","80001","0","102801","0","","37","サレン"
"出会ってから1年間、ずっと\nご迷惑をかけっぱなしで、\nすみません…","1","0","1","4","80001","0","102501","0","","38","スズメ"
"これからはもっと頑張りますから\n見ていてくださいね\nできれば…\n今までよりも、私の近くで♪","2","0","1","4","80001","0","102501","0","","39","スズメ"
"振り返れば、今までいろんなことが\nあったにゃあ…","1","0","0","5","80001","0","104601","0","","40","タマキ"
"これからも、二人でたくさんの\n思い出をがっぽり作っていく\nにゃー！","2","0","0","5","80001","0","104601","0","","41","タマキ"
"キミとの師弟関係も、\nもう1年なのね…\nでもキミに教えることは、","1","0","1","5","80001","0","104801","0","","42","ミフユ"
"まだまだいっぱいあるわ\nこれからも、\nしっかりついて来てね！","2","0","1","5","80001","0","104801","0","","43","ミフユ"
"あなたさまと出会ってもう1年…","1","0","0","6","80001","0","103201","0","","44","アキノ"
"光陰矢のごとし、とはまさに\nこのことですわ。…思い出は決して\nお金では買えませんわね","2","0","0","6","80001","0","103201","0","","45","アキノ"
"ダメな私を1年間も見捨てないで\nくれて、本当にありがとう","1","0","1","6","80001","0","103401","0","","46","ユカリ"
"情けないところいっぱいみせるかも\nしれないけど、これからも一緒に\nいてくれると、うれしいな","2","0","1","6","80001","0","103401","0","","47","ユカリ"
"オマエと出会ってもう1年か\nまさかこのワタシの結婚相手に\nなろうとはな…","1","0","0","7","80001","0","107101","0","","48","クリスティーナ"
"ともかくこれからも\n愉しませてくれよ☆","2","0","0","7","80001","0","107101","0","","49","クリスティーナ"
"君と出会ってからもう1年か。\n以前と比べて私の表情もいくらか\n柔らかくなった気がするんだが、\nどうだろう？","1","0","1","7","80001","0","104701","0","","50","ジュン"
"見えないから分からないって？\nそれもそうだな…","2","0","1","7","80001","0","104701","0","","51","ジュン"
"もう1年たったみたいだね\nあなたをからかってばかりだった\nけど、楽しかった♪","1","0","0","8","80001","0","103701","0","","52","トモ"
"これからもよろしくね！","2","0","0","8","80001","0","103701","0","","53","トモ"
"出会って、もう1年たっちゃった\nんスね。なんだか意外ッス","1","0","1","8","80001","0","100501","0","","54","マツリ"
"毎日楽しくて、あっという間に過ぎ\nちゃったみたいなんスよね\nこれからも一緒に悪と戦うッス！","2","0","1","8","80001","0","100501","0","","55","マツリ"
"オマエと会って1年なの！\n全然成仏もできなかったし、","1","0","0","9","80001","0","100701","0","","56","ミヤコ"
"生き返りもしなかったけど、\nすごく楽しかったの～♪\nオマエとプリンがあれば、\nミヤコはハッピーなの～♪","2","0","0","9","80001","0","100701","0","","57","ミヤコ"
"あなたと出会って1年なんですね\nでも、私の占いでは、私とあなたは","1","0","1","9","80001","0","103101","0","","58","シノブ"
"来年も再来年も一緒にいるようです\nふふ、よろしくお願いしますね","2","0","1","9","80001","0","103101","0","","59","シノブ"
"貴様が閃光のシグルドとして覚醒し\nもう1年か…。これからも我らの\n長き戦いに終わりはないが、","1","0","0","10","80001","0","100901","0","","60","アンナ"
"それでも貴様となら…\n添い遂げる覚悟はできているぞ！","2","0","0","10","80001","0","100901","0","","61","アンナ"
"君と出会ってもう1年だって！\n早いねー！","1","0","1","10","80001","0","101301","0","","62","ナナカ"
"これからも最強のバディタッグで\n大活躍だー！\n頼りにしてるよ、相棒！","2","0","1","10","80001","0","101301","0","","63","ナナカ"
"1年たつのって、あっという間ね\nまだまだ君の知らない部分が\nたくさんあるし…","1","0","0","11","80001","0","105101","0","","64","ミツキ"
"これからも、いろんなところを\n調べさせてね？","2","0","0","11","80001","0","105101","0","","65","ミツキ"
"お前さんと出会ってもう1年か\n助太刀するつもりが","1","0","1","11","80001","0","105601","0","","66","ルカ"
"逆に助けられたりもしたね\nこれからもよろしく頼むよ！","2","0","1","11","80001","0","105601","0","","67","ルカ"
"早いものですわね、あなた様と\nお会いして、もう1年…","1","0","2","11","80001","0","102701","0","","68","エリコ"
"あなた様といると、時があっと\nいう間に過ぎてしまいます\n時間を止める研究をしなくては\nいけませんね…","2","0","2","11","80001","0","102701","0","","69","エリコ"
"お兄ちゃんと会ってから、もう、\n1年なんだね。私、少しは\nお姉ちゃんっぽくなったかな？","1","0","0","12","80001","0","102301","0","","70","アヤネ"
"あ、ぷうきちもお兄ちゃんっぽく\nなったよね？","2","0","0","12","80001","0","102301","0","","71","アヤネ"
"あなたと出会って、\nもう1年がたったんですね…\nこれからもそばにいて、","1","0","1","12","80001","0","104201","0","","72","チカ"
"私のことを見守ってください\nできることなら、ずっと…","2","0","1","12","80001","0","104201","0","","73","チカ"
"お兄ちゃんと出会って1年かぁ\n私、相変わらずダメダメで…","1","0","2","12","80001","0","102101","0","","74","クルミ"
"で、でもこれからもずっと…\n一緒にいたいなぁ…","2","0","2","12","80001","0","102101","0","","75","クルミ"
"再会してちょうど1年だね\nお祝いにごちそう作ってきたよ～♪\n特製ケーキと、お寿司と、","1","0","0","13","80001","0","104901","0","","76","シズル"
"ハンバーグと、カレーと、\nシチューと、あ、隠しきれない隠し\n味は、お姉ちゃんの愛情だよ！","2","0","0","13","80001","0","104901","0","","77","シズル"
"お兄ちゃんと再会して、もう1年\nなんですね。\n会えなかった時を思うと、","1","0","1","13","80001","0","101101","0","","78","リノ"
"信じられないくらい幸せな1年\nでした！もう絶対、私から離れ\nないでくださいね♪","2","0","1","13","80001","0","101101","0","","79","リノ"
"騎士クンと出会ってから今まで、\nいろんなことがあったよね\n楽しいこと、ドキドキしたこと…","1","0","0","14","80001","0","100201","0","","80","ユイ"
"そんな日々をこれからも、\nず、ずっと一緒に…\n過ごしていきたいな…！","2","0","0","14","80001","0","100201","0","","81","ユイ"
"騎士くんと出会って、まだ1年しか\nたってないんだ！？","1","0","1","14","80001","0","100101","0","","82","ヒヨリ"
"なんかもうずっと一緒にいる気が\nするなぁ…えへへ。これからの\n1年もまたよろしくねっ！\n騎士くん！","2","0","1","14","80001","0","100101","0","","83","ヒヨリ"
"初めてキミに出会って1年…\n随分見違えたね私もキミも、\n更に強くなっていく…","1","0","2","14","80001","0","100301","0","","84","レイ"
"キミに背中を預けられる日が、\n早くきますように","2","0","2","14","80001","0","100301","0","","85","レイ"
"1年もわたしのことを、忘れない\nでいてくれて、ありがとうござい\nます！","1","0","0","15","80001","0","105801","0","","86","ペコリーヌ"
"これからもずっと、覚えていて\nくださいね！","2","0","0","15","80001","0","105801","0","","87","ペコリーヌ"
"こうして1年も、主さまのおそばに\n置いていただけて、とても光栄\nです。どうかこれからも、","1","0","1","15","80001","0","105901","0","","88","コッコロ"
"末永く主さまをお世話させて\nください。わたくしは、ずっと\n主さまのガイド役でいたいのです","2","0","1","15","80001","0","105901","0","","89","コッコロ"
"1年か、まっさかこんなに長い\n付き合いになるなんてね～\nでも…わりと楽しい1年だったかも","1","0","2","15","80001","0","106001","0","","90","キャル"
"だから、もうしばらくあんたに\n付き合ってやるわよ喜びなさい！","2","0","2","15","80001","0","106001","0","","91","キャル"
"新しい年のはじめに、\nおみくじはいかがでしょうか？\nよい運勢であるほど、\n沢山プレゼントが貰えますよ♪","1","0","1","0","60001","0","112101","1","","92","スズメ"
"今日の運勢は姫吉！　あらゆる運気が最大を示しています！　　　今なら「伝説の吸血鬼」をも従え、世界征服も夢じゃありません！","0","0","2","0","60001","1","0","1","","93",""
"今日の運勢は姫吉！　やること全てが最高潮！　やばいですね☆　ラッキーアイテムはおにぎり！　お腹一杯で幸せが続くでしょう！","0","0","2","0","60001","1","0","1","","94",""
"今日の運勢は姫吉！　最強の運勢でどんなドジも跳ね除けます！　大切な人と一緒に、最高の一日になること間違いなし！","0","0","2","0","60001","1","0","1","","95",""
"今日の運勢は姫吉！　どんな挑戦も上手くいく、最高の運勢です！理想の自分に変身できる絶好の機会！　新しい一歩を踏み出そう！","0","0","2","0","60001","1","0","1","","96",""
"今日の運勢は姫吉！　その高い運気はまさにショーグンの如く！　その溢れる威光は人々を惹きつけ、皆の人気者間違いなしです！","0","0","2","0","60001","1","0","2","","97",""
"今日の運勢は大吉！　運気がどんどん高まっています！　　　　　何をやっても、最大効率で素晴らしい結果になりますよ♪","0","0","2","0","60001","2","0","1","","98",""
"今日の運勢は大吉！　なにをやっても上手くいって大活躍！　　　そんな素敵なあなたを見て、後ろから誰かが……クスクス♪","0","0","2","0","60001","2","0","1","","99",""
"今日の運勢は大吉！　ラッキーワードは「ちぇる～ん♪」　　　　出会う人みんなに言ってあげると、ハッピーになれますよ！","0","0","2","0","60001","2","0","1","","100",""
"今日の運勢は大吉！　運勢はバッチリで無敵状態！　　　　　　　龍眼で全てを見通して、思い通りの一日を過ごしましょう！","0","0","2","0","60001","2","0","1","","101",""
"今日の運勢は大吉！　運気が高く、何かに挑戦すると良い結果に！隠れた才能が引き出されそう！　目指せヒデサ……ではなく秀才！","0","0","2","0","60001","2","0","2","","102",""
"今日の運勢は中吉！　商売運が上がってきています！　　　　　　ラッキーアイテムはたいやき！　和菓子パワーで売上アップです！","0","0","2","0","60001","3","0","1","","103",""
"今日の運勢は中吉！　旅行運がぐんぐんと上昇中♪　　　　　　　もしかしたら、あの「マホマホ王国」にだって行けるかも♪","0","0","2","0","60001","3","0","1","","104",""
"今日の運勢は中吉！　仕事運が急上昇中です！　　　　　　　　　きっと「煉獄に舞う一陣の疾風」の如き活躍ができますよ！","0","0","2","0","60001","3","0","1","","105",""
"今日の運勢は中吉！　チャンスを待つと良い結果に！　　　　　　ラッキーアイテムのプリンを食べて、運を呼び込みましょう！","0","0","2","0","60001","3","0","1","","106",""
"今日の運勢は中吉！　お出かけした先で良縁に恵まれそうです！　ダウナー系あざとい女子が、あま～い飴をくれるかも？","0","0","2","0","60001","3","0","1","","107",""
"今日の運勢は中吉！　大抵のことはゴリ押しでなんとかできます！ラッキープレイスはゲーセン。パンチングマシンでストレス発散！","0","0","2","0","60001","3","0","1","","108",""
"今日の運勢は中吉！　運気が着々と上昇中！　　　　　　　　　　精霊の加護を受けたかの如く、色々な事がうまくいきますよ♪","0","0","2","0","60001","3","0","2","","109",""
"今日の運勢は小吉！　早朝に幸運の兆しあり！　　　　　　　　　もしかしたら、優しいお姉ちゃんが起こしにきてくれますよ♪","0","0","2","0","60001","4","0","1","","110",""
"今日の運勢は小吉！　運気上昇中ですが、上がるまでが要注意！　ラッキーアニマルは熊！　本当の家族のように守ってくれるかも♪","0","0","2","0","60001","4","0","1","","111",""
"今日の運勢は小吉！　外に出てゆっくり過ごすと運気が上昇！　　ラッキースポットは牧場。面白い出会いがありそうです♪","0","0","2","0","60001","4","0","1","","112",""
"今日の運勢は小吉！　運気は高いけども、ハプニングには注意！　出かけた先で、「ふしんしゃ」扱いされてしまうかも……","0","0","2","0","60001","4","0","1","","113",""
"今日の運勢は小吉！　同腹一心の友だちが見つかるかも！　　　　キーワードは「ユニちゃんズ」、記憶に刻みましょう！","0","0","2","0","60001","4","0","1","","114",""
"今日の運勢は小吉！　思わぬ相手と仲良くなれるかも？　　　　　うっかり毒舌をもらしてしまわないように要注意です！","0","0","2","0","60001","4","0","1","","115",""
"今日の運勢は小吉！　根を詰めずにリラックスすると運気向上！　ラッキーパーソンはアイドル。歌があなたを幸せにしてくれます♪","0","0","2","0","60001","4","0","2","","116",""
"おみくじの結果はいかがでしたか？\n新たに始まる一日が、\nあなたにとってよい日になりますように\n明日もお待ちしていますね♪","2","0","3","0","60001","0","112101","0","","117","スズメ"
"おみくじ、楽しんで頂けましたか？\nあなたの新しい年が\n素晴らしいものになるよう、\n心からお祈りしますね","3","0","3","7","60001","0","112101","0","","118","スズメ"
"ヒューヒュー♪\nドンドンパフパフー♪","1","0","0","1","80003","0","105801","0","","119","ペコリーヌ"
"ひゅーひゅー\nどんどんぱふぱふー\nでございます","1","0","1","1","80003","0","105901","0","","120","コッコロ"
"さぁ、キャルさまもご一緒に\nどんどんぱふぱふいたしましょう","2","0","1","1","80003","0","105901","0","","121","コッコロ"
"え？　ちょっと\nいきなりなにっ？","1","0","2","1","80003","0","106001","0","","122","キャル"
"ドンドンパフパフってなんなの？\nあたしにも分かるように\nちゃんと説明しなさいっての！","2","0","2","1","80003","0","106001","0","","123","キャル"
"実はですねキャルちゃん！\nもうすぐわたしたちにとっての\n大切な節目──","2","0","0","1","80003","0","105801","0","","124","ペコリーヌ"
"『プリンセスコネクト！\nRe:Dive』\n2.5周年なんですよ！\nやばいですね☆","3","0","0","1","80003","0","105801","0","","125","ペコリーヌ"
"ですからその日に向けて\n今から気分を盛り上げているのです","3","0","1","1","80003","0","105901","0","","126","コッコロ"
"ああ、そういえば\nそんな時期だっけ\nって言っても、もう少し先じゃない\n気が早いんじゃないの？","3","0","2","1","80003","0","106001","0","","127","キャル"
"いいえ、キャルさま\nこういったお祝いは準備から\n楽しむものでございます\nそうですよね、ペコリーヌさま","4","0","1","1","80003","0","105901","0","","128","コッコロ"
"その通りです♪　というわけで！\nカウントダウンの始まりですよ！\nみんなで一緒に2.5周年に向けて\n盛り上がっていきましょー☆","4","0","0","1","80003","0","105801","0","","129","ペコリーヌ"
"ド、ドンドンパフパフ～\nって何言わせんのよ！\nまったくもう、浮かれちゃってさ","4","0","2","1","80003","0","106001","0","","130","キャル"
"ふふ。キャルさまもワクワクして\nおいでのようですね\nそれでは主さま。大切な記念日まで\nどうぞご期待くださいませ","5","0","1","1","80003","0","105901","0","","131","コッコロ"
"記念日を盛り上げるったって\n一体どうしたらいいのよ？\nあたし、そういうの\n苦手なんだけど…","5","0","0","2","80003","0","106001","0","","132","キャル"
"あら、キャルさん\nどうかなさいましたか？\n何かお困りのようですけど","1","0","1","2","80003","0","190801","0","","133","カリン"
"げっ…カリンじゃない\nなんでもないわよ！","6","0","0","2","80003","0","106001","0","","134","キャル"
"そうなのですか？\nキャルさんのことですからてっきり\n2.5周年をどう盛り上げたら\nいいか悩んでいるのかと…","2","0","1","2","80003","0","190801","0","","135","カリン"
"分かってんじゃないのよ！？\nいっ、いや、違うけどね！\nあたしは別にそんなことで\n悩んでないわよっ？","7","0","0","2","80003","0","106001","0","","136","キャル"
"ふふっ…\nこういう時は、真心を込めて\n気持ちをそのまま口にしたら\nいいのではないでしょうか？","3","0","1","2","80003","0","190801","0","","137","カリン"
"気持ちを、ねぇ\nそれが一番難しいんじゃない…\nそもそも、あたしは記念日とか\n別にどうだっていいし","8","0","0","2","80003","0","106001","0","","138","キャル"
"…まあ、ペコリーヌもコロ助も\nやけに楽しそうだったから…\nこういうお祭り騒ぎみたいなのも\nたまにはいいかな、とは思うけど","9","0","0","2","80003","0","106001","0","","139","キャル"
"なるほどなるほど～\nキャルさんは【美食殿】で祝う\n2.5周年を心から楽しみに\nしている、ということですね！","4","0","1","2","80003","0","190801","0","","140","カリン"
"はぁ！？\nどこ聞いたらそうなるのよ！\nあたしは別に楽しみになんか…！","10","0","0","2","80003","0","106001","0","","141","キャル"
"キャルさんの心からの想い\nみなさんにも伝わったでしょうか？\n私も2.5周年が楽しみです！\n以上、カリンがお伝えしました！","5","0","1","2","80003","0","190801","0","","142","カリン"
"心からの想いって何なのよ！？\n勝手に人の言葉を\n捻じ曲げんじゃないわよ！\nこのくそ眼鏡ーーーっ！","11","0","0","2","80003","0","106001","0","","143","キャル"
"ペコリーヌさま、もうすぐ\n記念日でございますね\nこういった節目というのは\n感慨深いものでございます","6","0","0","3","80003","0","105901","0","","144","コッコロ"
"色んな思い出が蘇ってきますね！\n楽しい出来事が\nいっぱいありました♪","5","0","1","3","80003","0","105801","0","","145","ペコリーヌ"
"はい、そうでございますね\n主さまも【美食殿】の活動の他にも\nいろんなご経験をされたと\n聞いておりますよ","7","0","0","3","80003","0","105901","0","","146","コッコロ"
"たしか…ランドソルで話題沸騰と\nなっていた、魔法少女なるものに\nお会いになられたとか","8","0","0","3","80003","0","105901","0","","147","コッコロ"
"魔法少女って、あの美味しくって\n栄養たっぷりの大ヒット商品\n『魔法少女ソーセージ』の箱に\n描いてある女の子のことですか！？","6","0","1","3","80003","0","105801","0","","148","ペコリーヌ"
"あのソーセージ\n美味しいんですよね～♪\nわたしもたっくさん食べてますよ！","7","0","1","3","80003","0","105801","0","","149","ペコリーヌ"
"あとは、牧場に素敵な温泉が\n出来たとか…","9","0","0","3","80003","0","105901","0","","150","コッコロ"
"牧場ですか！？　温泉につかって\nチーズもオツですね～♪　考えた\nだけでよだれが出ちゃいそうです！\nやばいですね☆","8","0","1","3","80003","0","105801","0","","151","ペコリーヌ"
"ペコリーヌさま\n言ってるそばからよだれが…\n今お拭きしますね。ふき、ふき","10","0","0","3","80003","0","105901","0","","152","コッコロ"
"えへへ、ありがとうございます\nコッコロちゃん！","9","0","1","3","80003","0","105801","0","","153","ペコリーヌ"
"それにしても、主さまは\n【美食殿】の一員として様々な\n美食と出会われていたのですね\nわたくし、感服いたしました","11","0","0","3","80003","0","105901","0","","154","コッコロ"
"これからもたくさん冒険をして\nめいっぱい美食を\n味わい尽くしましょうね！","10","0","1","3","80003","0","105801","0","","155","ペコリーヌ"
"2.5周年カウントダウン♪\nキャルちゃんキャルちゃん！\nわくわくしますね☆","11","0","0","4","80003","0","105801","0","","156","ペコリーヌ"
"あぁもう、うるさいわね～\nまだまだ先でしょ？\nちょっとは落ち着きなさいよ","12","0","1","4","80003","0","106001","0","","157","キャル"
"キャルちゃんだって最近\nソワソワしてるじゃないですか～\nさっきもご機嫌そうに鼻歌とか\n歌ってましたよね？","12","0","0","4","80003","0","105801","0","","158","ペコリーヌ"
"なっ…！　き、聞いてたの！？\nじゃない、歌ってないわよ！？\nあんたいい加減なこと言うと\nぶっ殺すわよ！？","13","0","1","4","80003","0","106001","0","","159","キャル"
"えっへへ～♪\nわたしは最近のキャルちゃんが\nもっともっと大好きですよ♪\nすごく積極的になりましたよね！","13","0","0","4","80003","0","105801","0","","160","ペコリーヌ"
"…積極的？\nなんの話よ？","14","0","1","4","80003","0","106001","0","","161","キャル"
"またまた～♪\nアイドルを目指そうとしたこと\n忘れちゃったんですか？","14","0","0","4","80003","0","105801","0","","162","ペコリーヌ"
"ムーサの町で\nきゃるきゃる～ん☆　って！","15","0","0","4","80003","0","105801","0","","163","ペコリーヌ"
"あっ…！？　ちちち違うわよっ！\nあれは操られてただけで\nあたしはアイドルなんか\n目指してないっての！！","15","0","1","4","80003","0","106001","0","","164","キャル"
"本当に本当ですか？\nわたし、キャルちゃんとっても\n乗り気だなって\n思ってたんですけど～","16","0","0","4","80003","0","105801","0","","165","ペコリーヌ"
"まぁ、悪くはなかったけど…って\nだ、だから目指してないって\n言ってるでしょ！！\nなんてこと思い出させんのよ！？","16","0","1","4","80003","0","106001","0","","166","キャル"
"ああ…ダメだわ…\nもう殺すしかない…\n2.5周年が来る前に\n記憶ごと消し去ってやるー！","17","0","1","4","80003","0","106001","0","","167","キャル"
"2.5周年まであと10日…\nふ～ん？\n案外早いもんね？","18","0","0","5","80003","0","106001","0","","168","キャル"
"そうでございますね…\nその日のためにやるべきことは\nまだまだございます\n気を引き締めねばなりません…！","12","0","1","5","80003","0","105901","0","","169","コッコロ"
"やる気十分ねコロ助…\nそんな気負ってるとしんどいわよ？\nお気楽にやりましょ？","19","0","0","5","80003","0","106001","0","","170","キャル"
"キャルさま…\nありがとうございます\nキャルさまは本当に\n優しいおかたです","13","0","1","5","80003","0","105901","0","","171","コッコロ"
"な、なにわけの分かんないこと\n言ってんのよ…\nあたしは優しくなんかないっての","20","0","0","5","80003","0","106001","0","","172","キャル"
"そんなことはございません\n…あの、実はわたくし\nキャルさまに\nひとつお願いがございまして","14","0","1","5","80003","0","105901","0","","173","コッコロ"
"お願い？　珍しいわね\nコロ助がそんなこと言うなんて\n…まあ、あたしに出来ることなら\n別にいいけど","21","0","0","5","80003","0","106001","0","","174","キャル"
"ありがとうございます\n実は記念日へ向けて\n『かくし芸』というものを\n用意してみようかと思いまして","15","0","1","5","80003","0","105901","0","","175","コッコロ"
"かくし芸？","22","0","0","5","80003","0","106001","0","","176","キャル"
"はい。きゃるきゃる～ん☆　を\n参考に、ころころ～ん☆　という\nご挨拶を考えてみたのですが\nポーズがうまくいかなくて…","16","0","1","5","80003","0","105901","0","","177","コッコロ"
