9fef456245cf11e771b9d36dfa476ebf9d6559e9a58da0f88bcc481cea72ee11,5a0b534eb7497a5e2deebc77db274f7d959e2759f84e4ab97bf7b11ece76ea62,4a39f776f35e128e78b82bff36f483c72450c7e121d292654a4e7352aa21d931,553f65be36b0f26a1f2886ca045e8ef6c15b71c326afb9694614e7497ae498e3,9417acac714baa000feb820a3c93387369429e54f1c16c79a4c8676c58f70bb6,7804142b4a5dfdb52f29592026866b3bfd1f0627a5b413f7d53e2d39f3c54426,ad9dc07cf0172b1117b0c643b8983d041075efe137f85bb80b7653cbf533c52d,a0855f1d6c3f0ed6662c593cc71f3acf5658a1d90b9ed863b9b5f775f716561f
"114","1000","25001","2","10","6","96006","10"
"115","500","150003","4","5","6","96006","30"
"116","650","150004","4","5","6","96006","30"
"117","750","150005","4","5","6","96006","30"
"118","900","150006","4","5","6","96006","30"
"119","1000","150007","4","5","6","96006","30"
"120","1150","150008","4","5","6","96006","30"
"121","1300","150009","4","5","6","96006","30"
"122","2500","20004","2","5","6","96006","500"
"123","1000","22003","2","5","6","96006","500"
"124","1000","20004","2","0","6","96006","100"
"125","400","22003","2","0","6","96006","100"
"126","20000","25101","2","1","7","96007","1"
"127","20000","21952","2","1","7","96007","1"
"128","10000","21905","2","1","7","96007","1"
"129","10000","41000","2","2","7","96007","1"
"130","1500","31272","2","5","7","96007","5"
"131","2000","31808","2","5","7","96007","5"
"132","1500","31275","2","5","7","96007","5"
"133","2500","90005","2","5","7","96007","10"
"134","2500","140001","4","10","7","96007","50"
"135","1000","25001","2","10","7","96007","10"
"136","500","150003","4","5","7","96007","30"
"137","650","150004","4","5","7","96007","30"
"138","750","150005","4","5","7","96007","30"
"139","900","150006","4","5","7","96007","30"
"140","1000","150007","4","5","7","96007","30"
"141","1150","150008","4","5","7","96007","30"
"142","1300","150009","4","5","7","96007","30"
"143","2500","20004","2","5","7","96007","500"
"144","1000","22003","2","5","7","96007","500"
"145","1000","20004","2","0","7","96007","100"
"146","400","22003","2","0","7","96007","100"
"147","20000","25101","2","1","8","96008","1"
"148","20000","21952","2","1","8","96008","1"
"149","10000","21905","2","1","8","96008","1"
"150","10000","41000","2","2","8","96008","1"
"151","1500","31279","2","5","8","96008","5"
"152","2000","31809","2","5","8","96008","5"
"153","1500","31284","2","5","8","96008","5"
"154","1500","31285","2","5","8","96008","5"
"155","1500","31289","2","5","8","96008","5"
"156","1500","31287","2","5","8","96008","5"
"157","1500","31293","2","5","8","96008","5"
"158","2500","90005","2","5","8","96008","10"
"159","2500","140001","4","10","8","96008","50"
"160","1000","25001","2","10","8","96008","10"
"161","500","150003","4","5","8","96008","30"
"162","650","150004","4","5","8","96008","30"
"163","750","150005","4","5","8","96008","30"
"164","900","150006","4","5","8","96008","30"
"165","1000","150007","4","5","8","96008","30"
"166","1150","150008","4","5","8","96008","30"
"167","1300","150009","4","5","8","96008","30"
"168","2500","20004","2","5","8","96008","500"
"169","1000","22003","2","5","8","96008","500"
"170","1000","20004","2","0","8","96008","100"
"171","400","22003","2","0","8","96008","100"
"172","20000","25101","2","1","9","96009","1"
"173","20000","21952","2","1","9","96009","1"
"174","10000","21905","2","1","9","96009","1"
"175","10000","41000","2","2","9","96009","1"
"176","1500","31298","2","5","9","96009","5"
"177","2000","31181","2","5","9","96009","5"
"178","1500","31307","2","5","9","96009","5"
"179","1500","31310","2","5","9","96009","5"
"180","2500","90005","2","5","9","96009","10"
"181","2500","140001","4","10","9","96009","50"
"182","1000","25001","2","10","9","96009","10"
"183","500","150003","4","5","9","96009","30"
"184","650","150004","4","5","9","96009","30"
"185","750","150005","4","5","9","96009","30"
"186","900","150006","4","5","9","96009","30"
"187","1000","150007","4","5","9","96009","30"
"188","1150","150008","4","5","9","96009","30"
"189","1300","150009","4","5","9","96009","30"
"190","2500","20004","2","5","9","96009","500"
"191","1000","22003","2","5","9","96009","500"
"192","1000","20004","2","0","9","96009","100"
"193","400","22003","2","0","9","96009","100"
"194","20000","25101","2","1","10","96010","1"
"195","20000","21952","2","1","10","96010","1"
"196","10000","21905","2","1","10","96010","1"
"197","10000","41000","2","2","10","96010","1"
"198","2000","31182","2","5","10","96010","5"
"199","1500","31312","2","5","10","96010","5"
"200","1500","31316","2","5","10","96010","5"
"201","1500","31317","2","5","10","96010","5"
"202","2500","90005","2","5","10","96010","10"
"203","2500","140001","4","10","10","96010","50"
"204","1000","25001","2","10","10","96010","10"
"205","500","150003","4","5","10","96010","30"
"206","650","150004","4","5","10","96010","30"
"207","750","150005","4","5","10","96010","30"
"208","900","150006","4","5","10","96010","30"
"209","1000","150007","4","5","10","96010","30"
"210","1150","150008","4","5","10","96010","30"
"211","1300","150009","4","5","10","96010","30"
"212","2500","20004","2","5","10","96010","500"
"213","1000","22003","2","5","10","96010","500"
"214","1000","20004","2","0","10","96010","100"
"215","400","22003","2","0","10","96010","100"
"216","20000","25101","2","1","11","96011","1"
"217","20000","21952","2","1","11","96011","1"
"218","10000","21905","2","1","11","96011","1"
"219","10000","41000","2","2","11","96011","1"
"220","1500","31322","2","5","11","96011","5"
"221","1500","31300","2","5","11","96011","5"
"222","1500","31301","2","5","11","96011","5"
"223","1500","31302","2","5","11","96011","5"
"224","2500","90005","2","5","11","96011","10"
"225","2500","140001","4","10","11","96011","50"
"226","1000","25001","2","10","11","96011","10"
"227","500","150003","4","5","11","96011","30"
"228","650","150004","4","5","11","96011","30"
"229","750","150005","4","5","11","96011","30"
"230","900","150006","4","5","11","96011","30"
"231","1000","150007","4","5","11","96011","30"
"232","1150","150008","4","5","11","96011","30"
"233","1300","150009","4","5","11","96011","30"
"234","2500","20004","2","5","11","96011","500"
"235","1000","22003","2","5","11","96011","500"
"236","1000","20004","2","0","11","96011","100"
"237","400","22003","2","0","11","96011","100"
