979d032ae9a617d6169158f515858a51302a7739a25355344a8c282f7a02fd28,92c41ecece56e91842a2fadcc208bf858665b7dbc06fc39ecfe1d9190e64289c,3a5aa02d6c60952dee9cac7445063b142cfdbc0b719bc35b5a6ebe6cff1c26bb,86f3ff816fcfeff2546745fcf516aa71da9a5ad787232ebc9fc2cad0b3a07057,9041955812c077df4bbdeb87457ecc0937382a37d01b3e04b6ae46a3fae9ac90,ba6a246a88fdae1b3b5a0ab94bbcaef24422bf984ffee43582bdf84d6e5db589,eae3615a26ae5706ed1a340e8edfff5c766fbc70a157e9678f24664e173a9c1b,996d6f9512a009888a4d86bd706c3dc2f882bd39fd206c19bf2e47683b3b8bdf,8c19a7bbc9543074a1112f13b5aa672499ad0ae54d543889372e23c8d4589cde,1687cd5018f04313a2e0cb00be9c764cc221ff7289c840660a62dca7d28dcdb5,263cd58cb782c2a6daaf2beaaa6347118c90139362159c2e7d1edc6cd19c509d
"8","91002","25021","101","2","2","25013","10","34","22","283001034"
"8","91002","25021","103","2","2","25013","10","35","22","283001035"
"8","91002","25021","106","2","2","25013","10","36","23","283001036"
"8","91002","25021","108","2","2","25013","10","37","23","283001037"
"8","91002","25021","111","2","2","25013","10","38","24","283001038"
"8","91002","25021","113","2","2","25013","10","39","25","283001039"
"8","91002","25021","115","2","2","25013","30","40","25","283001040"
"8","91002","25021","121","2","2","25013","10","41","26","283001041"
"8","91002","25021","123","2","2","25013","10","42","27","283001042"
"8","91002","25021","125","2","2","25013","10","43","28","283001043"
"8","91002","25021","128","2","2","25013","10","44","28","283001044"
"8","91002","25021","130","2","2","25013","10","45","29","283001045"
"8","91002","25021","132","2","2","25013","10","46","30","283001046"
"8","91002","25021","135","2","2","25013","10","47","30","283001047"
"8","91002","25021","137","2","2","25013","10","48","31","283001048"
"8","91002","25021","139","2","2","25013","10","49","31","283001049"
"8","91002","25021","142","2","2","25013","30","50","31","283001050"
"8","91002","25021","144","2","2","25013","10","51","32","283001051"
"8","91002","25021","146","2","2","25013","10","52","32","283001052"
"8","91002","25021","149","2","2","25013","10","53","32","283001053"
"8","91002","25021","152","2","2","25013","10","54","33","283001054"
"8","91002","25021","155","2","2","25013","10","55","33","283001055"
"8","91002","25021","157","2","2","25013","10","56","33","283001056"
"8","91002","25021","160","2","2","25013","10","57","34","283001057"
"8","91002","25021","163","2","2","25013","10","58","34","283001058"
"8","91002","25021","166","2","2","25013","10","59","34","283001059"
"8","91002","25021","169","2","2","25013","30","60","35","283001060"
"8","91002","25021","171","2","2","25013","10","61","35","283001061"
"8","91002","25021","174","2","2","25013","10","62","35","283001062"
"8","91002","25021","177","2","2","25013","10","63","36","283001063"
"8","91002","25021","180","2","2","25013","10","64","36","283001064"
"8","91002","25021","182","2","2","25013","10","65","36","283001065"
"8","91002","25021","185","2","2","25013","10","66","37","283001066"
"8","91002","25021","187","2","2","25013","10","67","37","283001067"
"8","91002","25021","190","2","2","25013","10","68","37","283001068"
"8","91002","25021","193","2","2","25013","10","69","38","283001069"
"8","91002","25021","196","2","2","25013","30","70","38","283001070"
"8","91002","25021","200","2","2","25013","10","71","39","283001071"
"8","91002","25021","204","2","2","25013","10","72","39","283001072"
"8","91002","25021","208","2","2","25013","10","73","40","283001073"
"8","91002","25021","212","2","2","25013","10","74","40","283001074"
"8","91002","25021","216","2","2","25013","10","75","41","283001075"
"8","91002","25021","220","2","2","25013","10","76","41","283001076"
"8","91002","25021","224","2","2","25013","10","77","42","283001077"
"8","91002","25021","228","2","2","25013","10","78","42","283001078"
"8","91002","25021","232","2","2","25013","10","79","43","283001079"
"8","91002","25021","236","2","2","25013","30","80","43","283001080"
"8","91002","25021","240","2","2","25013","10","81","44","283001081"
"8","91002","25021","244","2","2","25013","10","82","44","283001082"
"8","91002","25021","248","2","2","25013","10","83","45","283001083"
"8","91002","25021","252","2","2","25013","10","84","45","283001084"
"8","91002","25021","256","2","2","25013","10","85","46","283001085"
"8","91002","25021","260","2","2","25013","10","86","46","283001086"
"8","91002","25021","264","2","2","25013","10","87","47","283001087"
"8","91002","25021","268","2","2","25013","10","88","47","283001088"
"8","91002","25021","272","2","2","25013","10","89","48","283001089"
"8","91002","25021","276","2","2","25013","30","90","48","283001090"
