7c3e1d8fa434bd7dd672a4a3c7f1ce0831a78ef01987e2231742ec1f4a223551,54c7ee70fd36916e2e88a8d25bd616fe7d33998217c97ff31350abb16b397674,cf4c386d653dea76c9f49425c9ffe49f5547e28c0c73786db2d833203961d43e,084c0851508f01ed988d2e792c9403146a84ff3c3db0419ba325b718bd345d62,b4ceb39db7023d240e30cfc439f28d1149e2050df2b69f960a887957480c3c6c,9033d0785ecaa26d1175989c1652bdefd5d423577ee9784704cdda1eba8e329e,7d59cbc1771809b23882584b265801309a36f5b8a7e2b3a85531b8799768e76c,850b90456ce72908ecf9dbbc9cc5a9bf88d7aaa0336c1825dfa5fc76eeb167c9,08d814169cc1e381d8c9652e878735f8aebfdc8c3c3584c10a700ea1d572d6c2,a1205366f1fceb4caec94614b72f2c82fa2e530d64e647631fd2e6bc4a72db35
"3010","575","1","37","3011","3","1","1300004","3012","10590"
"3013","575","1","37","3014","3","1","1300005","3015","10590"
"3016","575","1","37","3017","3","1","1300006","3018","10590"
"3019","575","2","37","3020","3","1","1300007","3021","10590"
"3022","575","2","37","3023","3","1","1300008","3024","10590"
"3025","575","4","37","3026","3","1","1300009","3027","10590"
"3028","575","6","37","3029","3","1","1300010","3030","10590"
"3031","500","1","38","3032","3","1","1300011","3033","11820"
"3034","500","1","38","3035","3","1","1300012","3036","11820"
"3037","500","1","38","3038","3","1","1300013","3039","11820"
"3040","500","1","38","3041","3","1","1300014","3042","11820"
"3043","500","1","38","3044","3","1","1300015","3045","11820"
"3046","500","1","38","3047","3","1","1300016","3048","11820"
"3049","500","2","38","3050","3","1","1300017","3051","11820"
"3052","500","4","38","3053","3","1","1300018","3054","11820"
"3055","500","4","38","3056","3","1","1300019","3057","11820"
"3058","500","6","38","3059","3","1","1300020","3060","11820"
"3061","375","1","40","3062","3","1","1300021","3063","13050"
"3064","375","1","40","3065","3","1","1300022","3066","13050"
"3067","375","1","40","3068","3","1","1300023","3069","13050"
"3070","375","1","40","3071","3","1","1300024","3072","13050"
"3073","375","1","40","3074","3","1","1300025","3075","13050"
"3076","375","1","40","3077","3","1","1300026","3078","13050"
"3079","375","2","40","3080","3","1","1300027","3081","13050"
"3082","375","4","40","3083","3","1","1300028","3084","13050"
"3085","375","6","40","3086","3","1","1300029","3087","13050"
"3088","375","6","40","3089","3","1","1300030","3090","13050"
"4001","700","3","29","4002","1","2","2100001","4003","9360"
"4004","700","5","29","4005","1","2","2100002","4006","9360"
"4007","700","7","29","4008","1","2","2100003","4009","9360"
"4010","700","3","29","4011","1","2","2100004","4012","9360"
"4013","700","5","29","4014","1","2","2100005","4015","9360"
"4016","700","7","29","4017","1","2","2100006","4018","9360"
"4019","575","3","30","4020","1","2","2100007","4021","10590"
"4022","575","5","30","4023","1","2","2100008","4024","10590"
"4025","575","7","30","4026","1","2","2100009","4027","10590"
"4028","575","3","30","4029","1","2","2100010","4030","10590"
"5001","700","3","33","5002","2","2","2200001","5003","9360"
"5004","700","5","33","5005","2","2","2200002","5006","9360"
"5007","700","7","33","5008","2","2","2200003","5009","9360"
"5010","700","3","33","5011","2","2","2200004","5012","9360"
"5013","700","5","33","5014","2","2","2200005","5015","9360"
"5016","700","7","33","5017","2","2","2200006","5018","9360"
"5019","700","3","33","5020","2","2","2200007","5021","9360"
"5022","700","5","33","5023","2","2","2200008","5024","9360"
"5025","700","7","33","5026","2","2","2200009","5027","9360"
"5028","700","3","33","5029","2","2","2200010","5030","9360"
"5031","700","5","33","5032","2","2","2200011","5033","9360"
"5034","700","7","33","5035","2","2","2200012","5036","9360"
"5037","575","3","34","5038","2","2","2200013","5039","10590"
"5040","575","5","34","5041","2","2","2200014","5042","10590"
"5043","575","7","34","5044","2","2","2200015","5045","10590"
"5046","575","3","34","5047","2","2","2200016","5048","10590"
"5049","575","5","34","5050","2","2","2200017","5051","10590"
"5052","575","7","34","5053","2","2","2200018","5054","10590"
"5055","575","5","34","5056","2","2","2200019","5057","10590"
"5058","575","7","34","5059","2","2","2200020","5060","10590"
"6001","700","3","33","6002","3","2","2300001","6003","9360"
"6004","700","5","33","6005","3","2","2300002","6006","9360"
"6007","700","7","33","6008","3","2","2300003","6009","9360"
"6010","700","3","33","6011","3","2","2300004","6012","9360"
"6013","700","5","33","6014","3","2","2300005","6015","9360"
"6016","700","7","33","6017","3","2","2300006","6018","9360"
"6019","700","3","33","6020","3","2","2300007","6021","9360"
"6022","700","5","33","6023","3","2","2300008","6024","9360"
"6025","700","7","33","6026","3","2","2300009","6027","9360"
"6028","700","3","33","6029","3","2","2300010","6030","9360"
"6031","700","5","33","6032","3","2","2300011","6033","9360"
"6034","700","7","33","6035","3","2","2300012","6036","9360"
"6037","700","3","33","6038","3","2","2300013","6039","9360"
"6040","700","5","33","6041","3","2","2300014","6042","9360"
"6043","700","7","33","6044","3","2","2300015","6045","9360"
"6046","700","3","33","6047","3","2","2300016","6048","9360"
"6049","700","5","33","6050","3","2","2300017","6051","9360"
"6052","700","7","33","6053","3","2","2300018","6054","9360"
"6055","575","3","34","6056","3","2","2300019","6057","10590"
"6058","575","5","34","6059","3","2","2300020","6060","10590"
"6061","575","7","34","6062","3","2","2300021","6063","10590"
"6064","575","3","34","6065","3","2","2300022","6066","10590"
"6067","575","5","34","6068","3","2","2300023","6069","10590"
"6070","575","7","34","6071","3","2","2300024","6072","10590"
"6073","575","3","34","6074","3","2","2300025","6075","10590"
"6076","575","5","34","6077","3","2","2300026","6078","10590"
"6079","575","7","34","6080","3","2","2300027","6081","10590"
"6082","575","3","34","6083","3","2","2300028","6084","10590"
"6085","575","5","34","6086","3","2","2300029","6087","10590"
"6088","575","7","34","6089","3","2","2300030","6090","10590"
"7001","340","1","39","7002","1","3","3100001","7003","14280"
"7004","340","1","39","7005","1","3","3100002","7006","14280"
"7007","340","1","39","7008","1","3","3100003","7009","14280"
"7010","340","1","39","7011","1","3","3100004","7012","14280"
"7013","340","1","39","7014","1","3","3100005","7015","14280"
"7016","340","1","39","7017","1","3","3100006","7018","14280"
"7019","375","1","36","7020","1","3","3100007","7021","13050"
"7022","375","1","36","7023","1","3","3100008","7024","13050"
"7025","375","1","36","7026","1","3","3100009","7027","13050"
"7028","375","1","36","7029","1","3","3100010","7030","13050"
"8001","340","1","41","8002","2","3","3200001","8003","14280"
"8004","340","1","41","8005","2","3","3200002","8006","14280"
"8007","340","1","41","8008","2","3","3200003","8009","14280"
"8010","340","1","41","8011","2","3","3200004","8012","14280"
"8013","340","1","41","8014","2","3","3200005","8015","14280"
"8016","340","1","41","8017","2","3","3200006","8018","14280"
"8019","340","1","41","8020","2","3","3200007","8021","14280"
"8022","340","1","41","8023","2","3","3200008","8024","14280"
"8025","340","1","41","8026","2","3","3200009","8027","14280"
"8028","340","1","41","8029","2","3","3200010","8030","14280"
"8031","340","1","41","8032","2","3","3200011","8033","14280"
"8034","340","1","41","8035","2","3","3200012","8036","14280"
"8037","375","1","38","8038","2","3","3200013","8039","13050"
"8040","375","1","38","8041","2","3","3200014","8042","13050"
"8043","375","1","38","8044","2","3","3200015","8045","13050"
"8046","375","1","38","8047","2","3","3200016","8048","13050"
"8049","375","1","38","8050","2","3","3200017","8051","13050"
"8052","375","1","38","8053","2","3","3200018","8054","13050"
"8055","375","1","38","8056","2","3","3200019","8057","13050"
"8058","375","1","38","8059","2","3","3200020","8060","13050"
"9001","340","1","40","9002","3","3","3300001","9003","14280"
"9004","340","1","40","9005","3","3","3300002","9006","14280"
"9007","340","1","40","9008","3","3","3300003","9009","14280"
"9010","340","1","40","9011","3","3","3300004","9012","14280"
"9013","340","1","40","9014","3","3","3300005","9015","14280"
"9016","340","1","40","9017","3","3","3300006","9018","14280"
"9019","340","1","40","9020","3","3","3300007","9021","14280"
"9022","340","1","40","9023","3","3","3300008","9024","14280"
"9025","340","1","40","9026","3","3","3300009","9027","14280"
"9028","340","1","40","9029","3","3","3300010","9030","14280"
"9031","340","1","40","9032","3","3","3300011","9033","14280"
"9034","340","1","40","9035","3","3","3300012","9036","14280"
"9037","340","1","40","9038","3","3","3300013","9039","14280"
"9040","340","1","40","9041","3","3","3300014","9042","14280"
"9043","340","1","40","9044","3","3","3300015","9045","14280"
"9046","340","1","40","9047","3","3","3300016","9048","14280"
"9049","340","1","40","9050","3","3","3300017","9051","14280"
"9052","340","1","40","9053","3","3","3300018","9054","14280"
"9055","375","1","39","9056","3","3","3300019","9057","13050"
"9058","375","1","39","9059","3","3","3300020","9060","13050"
"9061","375","1","39","9062","3","3","3300021","9063","13050"
"9064","375","1","39","9065","3","3","3300022","9066","13050"
"9067","375","1","39","9068","3","3","3300023","9069","13050"
"9070","375","1","39","9071","3","3","3300024","9072","13050"
"9073","375","1","39","9074","3","3","3300025","9075","13050"
"9076","375","1","39","9077","3","3","3300026","9078","13050"
"9079","375","1","39","9080","3","3","3300027","9081","13050"
"9082","375","1","39","9083","3","3","3300028","9084","13050"
"9085","375","1","39","9086","3","3","3300029","9087","13050"
"9088","375","1","39","9089","3","3","3300030","9090","13050"
