07d9d5aa03f75454651698b85ab0f0f361a74e2adaeb934aad3af46f1014b3f4,f2abab904f56a216f5642840b3b763fa1edc62166b6bab0e1f71ed687c02971e,cf544cad2003cd07e35f1589f03f6e0a9dd29b03ccb3707582a1461a8cec1036,fdbd2402b5e0cbdac951084f1b593776e98ff801dc531a1d33130ca2e9b38317,68c57b6f48480a1eb7596fff35d42990716203cfec4b908b5f2f01c1715591f4,2e13671a2f02708c16ca41b6bc0676c869afb10305082c866fbbf7ed3e612a6d,d6f5f160615f9b735f58facf1fcc1ca8dd6db1427a9ee298b116e9a066551cd6,7db0792f972d8aeab0ad31e162c13f18e004601053ede8996b7cc40df3a89aef,40fda239324c4122cb552503001615d41a4164f9a5b700ef5f52e4892debc2dc
"2","0","1004","1","難易度NORMAL3で1回戦おう","100511","1005","100511","1"
"3","10000","1001","1","難易度NORMALで10000pt獲得しよう","100512","1005","100512","1"
"3","20000","1001","1","難易度NORMALで20000pt獲得しよう","100513","1005","100513","1"
"3","30000","1001","1","難易度NORMALで30000pt獲得しよう","100514","1005","100514","1"
"4","0","1002","2","難易度HARD1で1回戦おう","100515","1005","100515","1"
"4","0","1003","2","難易度HARD2で1回戦おう","100516","1005","100516","1"
"4","0","1004","2","難易度HARD3で1回戦おう","100517","1005","100517","1"
"5","15000","1001","2","難易度HARDで15000pt獲得しよう","100518","1005","100518","1"
"5","30000","1001","2","難易度HARDで30000pt獲得しよう","100519","1005","100519","1"
"5","45000","1001","2","難易度HARDで45000pt獲得しよう","100520","1005","100520","1"
"6","0","1002","3","難易度EXTRA1で1回戦おう","100521","1005","100521","1"
"6","0","1003","3","難易度EXTRA2で1回戦おう","100522","1005","100522","1"
"6","0","1004","3","難易度EXTRA3で1回戦おう","100523","1005","100523","1"
"7","20000","1001","3","難易度EXTRAで20000pt獲得しよう","100524","1005","100524","1"
"7","40000","1001","3","難易度EXTRAで40000pt獲得しよう","100525","1005","100525","1"
"7","60000","1001","3","難易度EXTRAで60000pt獲得しよう","100526","1005","100526","1"
"0","10000","1001","0","全難易度合計で10000pt獲得しよう","100601","1006","100601","1"
"0","30000","1001","0","全難易度合計で30000pt獲得しよう","100602","1006","100602","1"
"0","50000","1001","0","全難易度合計で50000pt獲得しよう","100603","1006","100603","1"
"0","70000","1001","0","全難易度合計で70000pt獲得しよう","100604","1006","100604","1"
"1","90000","1001","0","全難易度合計で90000pt獲得しよう","100605","1006","100605","1"
"1","105000","1001","0","全難易度合計で105000pt獲得しよう","100606","1006","100606","1"
"1","120000","1001","0","全難易度合計で120000pt獲得しよう","100607","1006","100607","1"
"1","135000","1001","0","全難易度合計で135000pt獲得しよう","100608","1006","100608","1"
"2","0","1002","1","難易度NORMAL1で1回戦おう","100609","1006","100609","1"
"2","0","1003","1","難易度NORMAL2で1回戦おう","100610","1006","100610","1"
"2","0","1004","1","難易度NORMAL3で1回戦おう","100611","1006","100611","1"
"3","10000","1001","1","難易度NORMALで10000pt獲得しよう","100612","1006","100612","1"
"3","20000","1001","1","難易度NORMALで20000pt獲得しよう","100613","1006","100613","1"
"3","30000","1001","1","難易度NORMALで30000pt獲得しよう","100614","1006","100614","1"
"4","0","1002","2","難易度HARD1で1回戦おう","100615","1006","100615","1"
"4","0","1003","2","難易度HARD2で1回戦おう","100616","1006","100616","1"
"4","0","1004","2","難易度HARD3で1回戦おう","100617","1006","100617","1"
"5","15000","1001","2","難易度HARDで15000pt獲得しよう","100618","1006","100618","1"
"5","30000","1001","2","難易度HARDで30000pt獲得しよう","100619","1006","100619","1"
"5","45000","1001","2","難易度HARDで45000pt獲得しよう","100620","1006","100620","1"
"6","0","1002","3","難易度EXTRA1で1回戦おう","100621","1006","100621","1"
"6","0","1003","3","難易度EXTRA2で1回戦おう","100622","1006","100622","1"
"6","0","1004","3","難易度EXTRA3で1回戦おう","100623","1006","100623","1"
"7","20000","1001","3","難易度EXTRAで20000pt獲得しよう","100624","1006","100624","1"
"7","40000","1001","3","難易度EXTRAで40000pt獲得しよう","100625","1006","100625","1"
"7","60000","1001","3","難易度EXTRAで60000pt獲得しよう","100626","1006","100626","1"
"0","10000","1001","0","全難易度合計で10000pt獲得しよう","100701","1007","100701","1"
"0","30000","1001","0","全難易度合計で30000pt獲得しよう","100702","1007","100702","1"
"0","50000","1001","0","全難易度合計で50000pt獲得しよう","100703","1007","100703","1"
"0","70000","1001","0","全難易度合計で70000pt獲得しよう","100704","1007","100704","1"
"1","90000","1001","0","全難易度合計で90000pt獲得しよう","100705","1007","100705","1"
"1","105000","1001","0","全難易度合計で105000pt獲得しよう","100706","1007","100706","1"
"1","120000","1001","0","全難易度合計で120000pt獲得しよう","100707","1007","100707","1"
"1","135000","1001","0","全難易度合計で135000pt獲得しよう","100708","1007","100708","1"
"2","0","1002","1","難易度NORMAL1で1回戦おう","100709","1007","100709","1"
"2","0","1003","1","難易度NORMAL2で1回戦おう","100710","1007","100710","1"
"2","0","1004","1","難易度NORMAL3で1回戦おう","100711","1007","100711","1"
"3","10000","1001","1","難易度NORMALで10000pt獲得しよう","100712","1007","100712","1"
"3","20000","1001","1","難易度NORMALで20000pt獲得しよう","100713","1007","100713","1"
"3","30000","1001","1","難易度NORMALで30000pt獲得しよう","100714","1007","100714","1"
"4","0","1002","2","難易度HARD1で1回戦おう","100715","1007","100715","1"
"4","0","1003","2","難易度HARD2で1回戦おう","100716","1007","100716","1"
"4","0","1004","2","難易度HARD3で1回戦おう","100717","1007","100717","1"
"5","15000","1001","2","難易度HARDで15000pt獲得しよう","100718","1007","100718","1"
"5","30000","1001","2","難易度HARDで30000pt獲得しよう","100719","1007","100719","1"
"5","45000","1001","2","難易度HARDで45000pt獲得しよう","100720","1007","100720","1"
"6","0","1002","3","難易度EXTRA1で1回戦おう","100721","1007","100721","1"
"6","0","1003","3","難易度EXTRA2で1回戦おう","100722","1007","100722","1"
"6","0","1004","3","難易度EXTRA3で1回戦おう","100723","1007","100723","1"
"7","20000","1001","3","難易度EXTRAで20000pt獲得しよう","100724","1007","100724","1"
"7","40000","1001","3","難易度EXTRAで40000pt獲得しよう","100725","1007","100725","1"
"7","60000","1001","3","難易度EXTRAで60000pt獲得しよう","100726","1007","100726","1"
"0","10000","1001","0","全難易度合計で10000pt獲得しよう","100801","1008","100801","1"
"0","30000","1001","0","全難易度合計で30000pt獲得しよう","100802","1008","100802","1"
"0","50000","1001","0","全難易度合計で50000pt獲得しよう","100803","1008","100803","1"
"0","70000","1001","0","全難易度合計で70000pt獲得しよう","100804","1008","100804","1"
"1","90000","1001","0","全難易度合計で90000pt獲得しよう","100805","1008","100805","1"
"1","105000","1001","0","全難易度合計で105000pt獲得しよう","100806","1008","100806","1"
"1","120000","1001","0","全難易度合計で120000pt獲得しよう","100807","1008","100807","1"
"1","135000","1001","0","全難易度合計で135000pt獲得しよう","100808","1008","100808","1"
"2","0","1002","1","難易度NORMAL1で1回戦おう","100809","1008","100809","1"
"2","0","1003","1","難易度NORMAL2で1回戦おう","100810","1008","100810","1"
"2","0","1004","1","難易度NORMAL3で1回戦おう","100811","1008","100811","1"
"3","10000","1001","1","難易度NORMALで10000pt獲得しよう","100812","1008","100812","1"
"3","20000","1001","1","難易度NORMALで20000pt獲得しよう","100813","1008","100813","1"
"3","30000","1001","1","難易度NORMALで30000pt獲得しよう","100814","1008","100814","1"
"4","0","1002","2","難易度HARD1で1回戦おう","100815","1008","100815","1"
"4","0","1003","2","難易度HARD2で1回戦おう","100816","1008","100816","1"
"4","0","1004","2","難易度HARD3で1回戦おう","100817","1008","100817","1"
"5","15000","1001","2","難易度HARDで15000pt獲得しよう","100818","1008","100818","1"
"5","30000","1001","2","難易度HARDで30000pt獲得しよう","100819","1008","100819","1"
"5","45000","1001","2","難易度HARDで45000pt獲得しよう","100820","1008","100820","1"
"6","0","1002","3","難易度EXTRA1で1回戦おう","100821","1008","100821","1"
"6","0","1003","3","難易度EXTRA2で1回戦おう","100822","1008","100822","1"
"6","0","1004","3","難易度EXTRA3で1回戦おう","100823","1008","100823","1"
"7","20000","1001","3","難易度EXTRAで20000pt獲得しよう","100824","1008","100824","1"
"7","40000","1001","3","難易度EXTRAで40000pt獲得しよう","100825","1008","100825","1"
"7","60000","1001","3","難易度EXTRAで60000pt獲得しよう","100826","1008","100826","1"
"0","10000","1001","0","全難易度合計で10000pt獲得しよう","100901","1009","100901","1"
"0","30000","1001","0","全難易度合計で30000pt獲得しよう","100902","1009","100902","1"
"0","50000","1001","0","全難易度合計で50000pt獲得しよう","100903","1009","100903","1"
"0","70000","1001","0","全難易度合計で70000pt獲得しよう","100904","1009","100904","1"
"1","90000","1001","0","全難易度合計で90000pt獲得しよう","100905","1009","100905","1"
"1","105000","1001","0","全難易度合計で105000pt獲得しよう","100906","1009","100906","1"
"1","120000","1001","0","全難易度合計で120000pt獲得しよう","100907","1009","100907","1"
"1","135000","1001","0","全難易度合計で135000pt獲得しよう","100908","1009","100908","1"
"2","0","1002","1","難易度NORMAL1で1回戦おう","100909","1009","100909","1"
"2","0","1003","1","難易度NORMAL2で1回戦おう","100910","1009","100910","1"
"2","0","1004","1","難易度NORMAL3で1回戦おう","100911","1009","100911","1"
"3","10000","1001","1","難易度NORMALで10000pt獲得しよう","100912","1009","100912","1"
"3","20000","1001","1","難易度NORMALで20000pt獲得しよう","100913","1009","100913","1"
"3","30000","1001","1","難易度NORMALで30000pt獲得しよう","100914","1009","100914","1"
"4","0","1002","2","難易度HARD1で1回戦おう","100915","1009","100915","1"
"4","0","1003","2","難易度HARD2で1回戦おう","100916","1009","100916","1"
"4","0","1004","2","難易度HARD3で1回戦おう","100917","1009","100917","1"
"5","15000","1001","2","難易度HARDで15000pt獲得しよう","100918","1009","100918","1"
"5","30000","1001","2","難易度HARDで30000pt獲得しよう","100919","1009","100919","1"
"5","45000","1001","2","難易度HARDで45000pt獲得しよう","100920","1009","100920","1"
"6","0","1002","3","難易度EXTRA1で1回戦おう","100921","1009","100921","1"
"6","0","1003","3","難易度EXTRA2で1回戦おう","100922","1009","100922","1"
"6","0","1004","3","難易度EXTRA3で1回戦おう","100923","1009","100923","1"
"7","20000","1001","3","難易度EXTRAで20000pt獲得しよう","100924","1009","100924","1"
"7","40000","1001","3","難易度EXTRAで40000pt獲得しよう","100925","1009","100925","1"
"7","60000","1001","3","難易度EXTRAで60000pt獲得しよう","100926","1009","100926","1"
