2e3540724dd42da4d8f12c754e5937a901536c9487417e4e5c9b2020b1613536,6ed4c0772cc33f959bd9acc9eed1c1fc4ae812dfc23fe0179f2c6a09bd053768,78cf17335bdf093d5da53bbab1d36d1fe6d6c0dbb919a9faf1206b43cc3a277d,cc8e2ba5096f8b4f9ef3609f4a5ee48abc6976ff86f7ea8c3ebc05a11c2e87ed,a9c10dcf73a0c1711de69714f639da73340403bc62d31202dfd12f2a6bd3eb5b
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001008","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100100805"
"9","ＨＰ吸収ダウン","81001008","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100100806"
"12","火属性ボーナス特大アップ","81001009","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100100901"
"11","深域モンスター","81001009","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100100902"
"17","ＴＰ上昇上限付与","81001009","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100100903"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001009","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100100904"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001009","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100100905"
"9","ＨＰ吸収ダウン","81001009","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100100906"
"12","火属性ボーナス特大アップ","81001010","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100101001"
"11","深域モンスター","81001010","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100101002"
"17","ＴＰ上昇上限付与","81001010","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100101003"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001010","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100101004"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001010","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100101005"
"9","ＨＰ吸収ダウン","81001010","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100101006"
"boss_tp_down_cut","ＴＰダウンカット","81001010","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","100101007"
"1","火傷付与","81001010","バトル開始時、すべてのキャラに火傷状態を付与する。","100101008"
"12","火属性ボーナス特大アップ","81001011","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100101101"
"11","深域モンスター","81001011","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100101102"
"17","ＴＰ上昇上限付与","81001011","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100101103"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001011","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100101104"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001011","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100101105"
"9","ＨＰ吸収ダウン","81001011","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100101106"
"12","火属性ボーナス特大アップ","81001012","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100101201"
"11","深域モンスター","81001012","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100101202"
"17","ＴＰ上昇上限付与","81001012","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100101203"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001012","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100101204"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001012","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100101205"
"9","ＨＰ吸収ダウン","81001012","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100101206"
"12","火属性ボーナス特大アップ","81001013","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100101301"
"11","深域モンスター","81001013","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100101302"
"17","ＴＰ上昇上限付与","81001013","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100101303"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001013","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100101304"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001013","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100101305"
"9","ＨＰ吸収ダウン","81001013","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100101306"
"12","火属性ボーナス特大アップ","81001014","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100101401"
"11","深域モンスター","81001014","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100101402"
"17","ＴＰ上昇上限付与","81001014","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100101403"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001014","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100101404"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001014","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100101405"
"9","ＨＰ吸収ダウン","81001014","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100101406"
"12","火属性ボーナス特大アップ","81001015","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100101501"
"11","深域モンスター","81001015","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100101502"
"17","ＴＰ上昇上限付与","81001015","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100101503"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001015","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100101504"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001015","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100101505"
"9","ＨＰ吸収ダウン","81001015","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100101506"
"12","火属性ボーナス特大アップ","81001016","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100101601"
"11","深域モンスター","81001016","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100101602"
"17","ＴＰ上昇上限付与","81001016","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100101603"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001016","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100101604"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001016","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100101605"
"9","ＨＰ吸収ダウン","81001016","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100101606"
"12","火属性ボーナス特大アップ","81001017","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100101701"
"11","深域モンスター","81001017","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100101702"
"17","ＴＰ上昇上限付与","81001017","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100101703"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001017","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100101704"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001017","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100101705"
"9","ＨＰ吸収ダウン","81001017","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100101706"
"12","火属性ボーナス特大アップ","81001018","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100101801"
"11","深域モンスター","81001018","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100101802"
"17","ＴＰ上昇上限付与","81001018","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100101803"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001018","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100101804"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001018","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100101805"
"9","ＨＰ吸収ダウン","81001018","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100101806"
"12","火属性ボーナス特大アップ","81001019","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100101901"
"11","深域モンスター","81001019","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100101902"
"17","ＴＰ上昇上限付与","81001019","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100101903"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001019","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100101904"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001019","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100101905"
"9","ＨＰ吸収ダウン","81001019","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100101906"
"12","火属性ボーナス特大アップ","81001020","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100102001"
"11","深域モンスター","81001020","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100102002"
"17","ＴＰ上昇上限付与","81001020","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100102003"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001020","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100102004"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001020","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100102005"
"9","ＨＰ吸収ダウン","81001020","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100102006"
"boss_tp_down_cut","ＴＰダウンカット","81001020","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","100102007"
"7","物理防御力ダウン","81001020","バトル開始時、すべてのキャラの物理防御力を大ダウンさせる。","100102008"
"12","火属性ボーナス特大アップ","81001021","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100102101"
"11","深域モンスター","81001021","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100102102"
"17","ＴＰ上昇上限付与","81001021","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100102103"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001021","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100102104"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001021","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100102105"
"9","ＨＰ吸収ダウン","81001021","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100102106"
"12","火属性ボーナス特大アップ","81001022","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100102201"
"11","深域モンスター","81001022","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100102202"
"17","ＴＰ上昇上限付与","81001022","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100102203"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001022","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100102204"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001022","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100102205"
"9","ＨＰ吸収ダウン","81001022","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100102206"
"12","火属性ボーナス特大アップ","81001023","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100102301"
"11","深域モンスター","81001023","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100102302"
"17","ＴＰ上昇上限付与","81001023","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100102303"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001023","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100102304"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001023","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100102305"
"9","ＨＰ吸収ダウン","81001023","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100102306"
"12","火属性ボーナス特大アップ","81001024","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100102401"
"11","深域モンスター","81001024","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100102402"
"17","ＴＰ上昇上限付与","81001024","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100102403"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001024","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100102404"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001024","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100102405"
"9","ＨＰ吸収ダウン","81001024","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100102406"
"12","火属性ボーナス特大アップ","81001025","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100102501"
"11","深域モンスター","81001025","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100102502"
"17","ＴＰ上昇上限付与","81001025","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100102503"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001025","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100102504"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001025","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100102505"
"9","ＨＰ吸収ダウン","81001025","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100102506"
"12","火属性ボーナス特大アップ","81001026","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100102601"
"11","深域モンスター","81001026","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100102602"
"17","ＴＰ上昇上限付与","81001026","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100102603"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001026","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100102604"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001026","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100102605"
"9","ＨＰ吸収ダウン","81001026","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100102606"
"12","火属性ボーナス特大アップ","81001027","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100102701"
"11","深域モンスター","81001027","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100102702"
"17","ＴＰ上昇上限付与","81001027","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100102703"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001027","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100102704"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001027","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100102705"
"9","ＨＰ吸収ダウン","81001027","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100102706"
"12","火属性ボーナス特大アップ","81001028","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100102801"
"11","深域モンスター","81001028","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100102802"
"17","ＴＰ上昇上限付与","81001028","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100102803"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001028","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100102804"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001028","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100102805"
"9","ＨＰ吸収ダウン","81001028","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100102806"
"12","火属性ボーナス特大アップ","81001029","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","100102901"
"11","深域モンスター","81001029","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","100102902"
"17","ＴＰ上昇上限付与","81001029","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","100102903"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","81001029","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","100102904"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","81001029","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","100102905"
"9","ＨＰ吸収ダウン","81001029","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","100102906"
