3f7492f3fc456bbc6c3d431226e86b89518e94d731f7ca02a45390ab2c9d979a,68c5880ea34ce8b7b1d4438e4a510171a5c0fb2e167b068d462e9e1827f477eb,7a2a438eca455bc711edcedaefcd13a3d1aa96d97bc1557dcde4f358d210826a,94b5ec6e11a16e6cd017b2e123933390e11637a97b69a091a17ccaa0f5bacf97,2eec319bab636eb897f821d4b32bfb64a1cc3eec394fa40ed206ae69e48c5218,05b956ba9f5f61135f5f3a96dbaddb572bbe975bd5d3f1899f196be6ada3ef14,8ca86c1e8545ff99e1fb73cdab691e46213a32307d946f1c780df2e180d1fa83,fcf7f0e646b77a8fb7ed44313246ce48faf2e59e21d88eaeab517b442a6f3194
"11112","0","★1～3迷宮遺物×１","11112","193001","お兄ちゃん\nこっちですよ♪","102_chest_rino","0"
"11121","0","アルファルピ×2000","11121","103701","ミクマ流の\n剣技にかけて！","111_tomo_run","0"
"11122","0","ジュンが仲間になる\n＋オールランダムサイン×2～4","11122","104701","ここは私たちに\n任せて！","112_jun_run","0"
"11131","0","バトルマス(NORMAL)の\n敵に挑戦する\n＋アルファルピ×400","11131","100501","腕試しッス！","41_matsuri_guts","0"
"11132","0","バトルマス(EXTREME)の\n敵に挑戦する\n＋アルファルピ×600","11132","107101","強敵との戦いは心躍る！","42_chris_cool","0"
"11171","0","バトルマス(NORMAL)の\n敵に挑戦する\n＋アルファルピ×500","11171","100501","腕試しッス！","41_matsuri_guts","0"
"11172","0","バトルマス(EXTREME)の\n敵に挑戦する\n＋アルファルピ×750","11172","107101","強敵との戦いは心躍る！","42_chris_cool","0"
"13141","0","50％で★1迷宮遺物×1\nさらに次のイベントへ","13141","105601","のんびり\n釣りでもしようか","51_ruka_fishing","0"
"13151","0","50％で次のイベントへ","13151","105801","みんなで\n料理を作りましょう☆","91_peko_guts","0"
"13161","0","50％でアルファルピ×2000\nさらに次のイベントへ","13161","106601","やってやるですよ！","61_inori_guts","0"
"23141","0","25％で★2迷宮遺物×1\nさらに次のイベントへ","23141","105601","もう一回挑戦だ！","52_ruka_fishing","0"
"23151","1","50％で次のイベントへ","23151","105801","まだまだ\n食べ足りません☆","92_peko_guts","0"
"23152","0","ランダムなロールの\nランダムサイン×2","23152","106001","それくらいで\nいいんじゃない？","92_kyaru_sad","0"
"23161","1","50％でアルファルピ×4000\nさらに次のイベントへ","23161","106601","今日はツイてるです！","62_inori_guts","2000"
"23162","0","挑戦終了","23162","105501","もうこの辺で……","62_ayumi_sad","0"
"33141","0","10％で★3迷宮遺物×1","33141","105601","最後にもうひと勝負！","53_ruka_fishing","0"
"33151","1","50％でオールセレクトサイン×２","33151","105801","えへへ～\nもうちょっとだけ……","93_peko_guts","0"
"33152","0","ランダムなロールの\nセレクトサイン×2","33152","106001","そんなに\n食べきれないでしょ！","93_kyaru_anger","0"
"33161","1","50％でアルファルピ×8000","33161","106601","今日のあたしは\n負け知らずです！","63_inori_guts","4000"
"33162","0","挑戦終了","33162","105501","そろそろやめた方が……","63_ayumi_worry","0"
