dc27516c70b11a2898885a81a499883c64f8810f094a103a3627f17b23988ee8,62b0ffc3a9e8fb65824d511af37ca405985d91358ca2309df7d22030010ea0a8,78eb297eac90ce55195c2eb62394ba1587d221197f1b7f6fbdc708d6bfa76ec1,d15c78465dd706c3972d1da73a5ea643a1b5944c7fbe8b04a8105d84fa627b06,3a9a4e90b6488a7efe4d351a9f05bdbb95096eb7aa026ccc23396983bd67bfc8,a038a723e94761723d69c9f71d426eb3556a0c5954ab82b722f2e74a773caffa,be56023e5dc0e2889db8a1ecdacf14d7f1a9def78c70e7aa6dcd508794fc4416,b077564b7e4e7d16f126e07a4b7943165f324447596962ae5d76223a33010eb1,89b52ecb616b884f86e58c1b8c1ed1b297d870cac42003095bb499648f674151,7529aff4392bb51ebab0418c50a0c99f723a0fda0a8ef4305a63b11e48dd642c,4fabc165d34bac50fdd7d525d473bfa979fb5d57de597df1f48ef4600c47fbc1
"","2","nyx_101_chieru_loop","","nyx_101_chieru_01","0","3","11010064","0.2","1","101"
"","104831","","","1","1","12","11010065","","","101"
"0.2","104831","nyx_idle_sad","","nyx_talk_sad","0","3","11010066","0.2","1","101"
"","0.4","","","","","93","11010067","","","101"
"","3","","","0","","32","11010068","","","101"
"","3","","","1","","32","11010069","","","101"
"","1.6","","","","","93","11010070","","","101"
"","104631","","","15","1","12","11010071","","","101"
"0.2","104631","nyx_idle_sad","","nyx_talk_sad","0","3","11010072","0.2","1","101"
"","3","","","","","93","11010073","","","101"
"","110931","","","1","","4","11010074","","","101"
"","2","","","1","","4","11010075","","","101"
"","110931","nyx_101_chieru_loop","","nyx_101_chieru_02","0","3","11010076","0.2","1","101"
"","2","nyx_101_chieru_loop","","nyx_101_chieru_02","0","3","11010077","0.2","1","101"
"","103231","","","10","1","12","11010078","","","101"
"0.2","103231","nyx_idle_joy1","","nyx_talk_joy1","0","3","11010079","0.2","1","101"
"","2","","","","","93","11010080","","","101"
"","103431","","","2","1","12","11010081","","","101"
"0.2","103431","nyx_idle_sad","","nyx_talk_sad","0","3","11010082","0.2","1","101"
"","2.5","","","","","93","11010083","","","101"
"","11010060","","","","","101","11010084","","","101"
"1","1","-362","nyx_102_chloe_01","110831","110","1","11020001","1.35","-209.3","102"
"0","1","90","nyx_102_mifuyu_01","104831","110","1","11020002","1.35","-182.5","102"
"0","1","220","nyx_idle_normal","104631","110","1","11020003","1.35","-182.5","102"
"1","1","336","nyx_talk_normal","103231","110","1","11020004","1.35","-182.5","102"
"1","1","457","nyx_idle_normal","103431","110","1","11020005","1.35","-182.5","102"
"","1","0","","1","0","31","11020006","1","1","102"
"0","2","-362","NoItem","2","120","5","11020007","1.35","-209.3","102"
"","bgm_M347","","","bgm_M347","","25","11020008","","","102"
"","2","","","","","93","11020009","","","102"
"","110831","","","nyx_102_chloe_02","1","3","11020010","0.2","","102"
"","110831","","","次、うちの番か…\nえ、チエルの後って\n何気に不利くない？","10","11","11020011","","","102"
"","0","","","1","","91","11020012","","","102"
"","110831","","","nyx_idle_sad","1","3","11020013","0.2","","102"
"","110831","","","あいつ絶対初見で\nちぇるちぇる言って\n現場冷やしてるし…","10","11","11020014","","","102"
"","0","","","1","","91","11020015","","","102"
"0.2","110831","nyx_102_chloe_02","","cmn_pose02_def_N","0","3","11020016","0.2","1","102"
"","110831","","","ま、いいけど何でも\n…てゆか中の人ら\nダイジョブか？","10","11","11020017","","","102"
"","3","","","","","93","11020018","","","102"
"","103231","","","nyx_idle_normal","1","3","11020019","0.2","","102"
"","104631","","","nyx_talk_sad","1","3","11020020","0.2","","102"
"","110831","","","0","","4","11020021","","","102"
"","11020016","","","","","91","11020022","","","102"
"","1","","","","","93","11020023","","","102"
"","110831","","","nyx_102_chloe_01","1","3","11020024","0.2","","102"
"","110831","","","ちぇる気にやられて\nおかしなことにとか\n…いや、まさかね","10","11","11020025","","","102"
"","2.5","","","","","93","11020026","","","102"
"","110831","nyx_102_chloe_03_loop","","nyx_102_chloe_03","0","3","11020027","0.2","1","102"
"","2","nyx_102_chloe_03_loop","","nyx_102_chloe_03","0","3","11020028","0.2","1","102"
"","11020025","","","","","91","11020029","","","102"
"","1","","","","","93","11020030","","","102"
"","104831","","","ちぇる…ちぇる…","10","11","11020031","","","102"
"","1.5","","","","","93","11020032","","","102"
"","104631","","","1","0","4","11020033","","","102"
"0.2","104631","nyx_idle_surprise2","","cmn_shock_def_N","0","3","11020034","0.2","1","102"
"0.2","103431","nyx_idle_surprise2","","cmn_shock_def_N","0","3","11020035","0.2","1","102"
"0.2","103231","nyx_idle_surprise1","","nyx_surprise","0","3","11020036","0.2","1","102"
"","1.5","","","","","93","11020037","","","102"
"0.2","104631","","","nyx_talk_surprise2","1","3","11020038","0.2","1","102"
"","103431","","","nyx_102_yukari_01","1","3","11020039","0.2","","102"
"","103431","","","ミフユさん！\nしっかりちぇる！\n傷は浅いちぇる！","10","11","11020040","","","102"
"","0","","","1","","91","11020041","","","102"
"0.2","103431","nyx_102_tamaki_01_loop","","cmn_shock_def_N","0","3","11020042","0.2","1","102"
"","103231","","","0","0","4","11020043","","","102"
"","104631","","","0","0","4","11020044","","","102"
"","0","","","","","91","11020045","","","102"
"","104631","","","ダメにゃ…\nミフユもユカリも\n手遅れちぇ…にゃ！","10","11","11020046","","","102"
"","2.6","","","","","93","11020047","","","102"
"0.2","104631","nyx_102_tamaki_01_loop","","nyx_102_tamaki_01","0","3","11020048","0.2","1","102"
"","0.1","","","","","93","11020049","","","102"
"","103231","","","1","0","4","11020050","","","102"
"","1.5","","","","","93","11020051","","","102"
"","103231","","","被害甚大ですわね…\n次の方が普通である\nことを祈りますわ…","10","11","11020052","","","102"
"","0","","","","","91","11020053","","","102"
"","1","","","","","93","11020054","","","102"
"","110831","nyx_102_chloe_03_loop","","nyx_102_chloe_04","0","3","11020055","0.2","1","102"
"","2","nyx_102_chloe_03_loop","","nyx_102_chloe_04","0","3","11020056","0.2","1","102"
"","1.5","","","","","93","11020057","","","102"
"","110831","","","12","1","12","11020058","","","102"
"","1","","","","","93","11020059","","","102"
"","103431","","","1","1","12","11020060","","","102"
"0.2","103431","nyx_cmn_03","","nyx_cmn_01","0","3","11020061","0.2","1","102"
"0.2","104631","","","nyx_idle_worry","1","3","11020062","0.2","1","102"
"","2","","","","","93","11020063","","","102"
"","104831","","","12","1","12","11020064","","","102"
"","2","","","","","93","11020065","","","102"
"","103231","","","10","1","12","11020066","","","102"
"0.2","103231","nyx_idle_normal","","nyx_talk_normal","0","3","11020067","0.2","1","102"
"","2","","","","","93","11020068","","","102"
"","104631","","","2","1","12","11020069","","","102"
"0.2","104631","nyx_idle_worry","","nyx_talk_sad","0","3","11020070","0.2","1","102"
"","4","","","","","93","11020071","","","102"
"","11020055","","","1","","101","11020072","","","102"
"0","1","-421","nyx_103_yuni_01","111031","110","1","11030001","1.35","-209.3","103"
"0","1","121.8","nyx_idle_normal","104831","110","1","11030002","1.35","-182.5","103"
"0","2","121.8","NoItem","2","120","5","11030003","1.35","-182.5","103"
"0","1","227.7","nyx_idle_normal","104631","110","1","11030004","1.35","-182.5","103"
"0","2","227.7","NoItem","2","120","5","11030005","1.35","-182.5","103"
"1","1","340.3","nyx_idle_normal","103231","110","1","11030006","1.35","-182.5","103"
"1","1","449.6","nyx_cmn_03","103431","110","1","11030007","1.35","-182.5","103"
"1","2","449.6","NoItem","2","120","5","11030008","1.35","-182.5","103"
"","1","0","","1","0","31","11030009","1","1","103"
"","bgm_M347","","","bgm_M347","","25","11030010","","","103"
"","2","","","","","93","11030011","","","103"
"","103431","","","nyx_talk_sad","1","3","11030012","0.2","","103"
"","103431","","","プレゼンって\nこんなに\n疲れるものなの…？","10","11","11030013","","","103"
"","0","","","","","91","11030014","","","103"
"","103431","","","nyx_cmn_03","1","3","11030015","0.2","","103"
"","104831","","","nyx_cmn_05","1","3","11030016","0.2","","103"
"","104831","","","きっと次は大丈夫よ\nまともな生徒のはず\n…そうよね？","10","11","11030017","","","103"
"","0","","","","","91","11030018","","","103"
"","104831","","","nyx_cmn_04","1","3","11030019","0.2","","103"
"","103231","","","nyx_talk_normal","1","3","11030020","0.2","","103"
"","103231","","","あら？\n次もなかよし部の方\nみたいですわよ？","10","11","11030021","","","103"
"","0","","","","","91","11030022","","","103"
"","103231","","","nyx_idle_normal","1","3","11030023","0.2","","103"
"","104631","","","nyx_talk_sad","1","3","11030024","0.2","","103"
"","104631","","","…気を抜いたら\nやられるにゃ\n覚悟を決めるにゃ","10","11","11030025","","","103"
"","2.6","","","","","93","11030026","","","103"
"","111031","","","nyx_102_chloe_01","1","3","11030027","0.2","","103"
"","11030025","","","","","91","11030028","","","103"
"0.3","104631","nyx_idle_sad","","nyx_cmn_02","0","3","11030029","0.2","1","103"
"","2","","","nyx_cmn_02","0","3","11030030","0.2","","103"
"0.3","103431","nyx_cmn_03","","nyx_cmn_02","0","3","11030031","0.2","1","103"
"","2","","","nyx_cmn_02","0","3","11030032","0.2","","103"
"0.2","104831","nyx_idle_normal","","nyx_cmn_02","0","3","11030033","0.2","1","103"
"","2","","","nyx_cmn_02","0","3","11030034","0.2","","103"
"","1.5","","","","","93","11030035","","","103"
"","111031","","","nyx_303_yuni_01","1","3","11030036","0.2","","103"
"","111031","","","ふむ、次はぼくだな\nまさに真打登場と\n言ったところか","10","11","11030037","","","103"
"","2.8","","","","","93","11030038","","","103"
"","104831","","","13","1","12","11030039","","","103"
"","104831","","","nyx_talk_normal","1","3","11030040","0.2","","103"
"","11030037","","","","","91","11030041","","","103"
"","111031","","","チエル君、クロエ君\n君らの無念はぼくが\n晴らして見せよう","10","11","11030042","","","103"
"","0","","","","","91","11030043","","","103"
"","111031","","","nyx_103_yuni_02","1","3","11030044","0.2","","103"
"","111031","","","いざ上級生としての\n責務を果たす時だ","10","11","11030045","","","103"
"","1.5","","","","","93","11030046","","","103"
"","103231","","","17","1","12","11030047","","","103"
"","104831","","","nyx_idle_normal","1","3","11030048","0.2","","103"
"","103231","","","nyx_cmn_05","1","3","11030049","0.2","","103"
"","11030045","","","","","91","11030050","","","103"
"0.6","111031","nyx_103_yuni_04","","nyx_103_yuni_03","0","3","11030051","0.3","0","103"
"","111031","","","ユニちゃんズの\n名に懸けて…！","10","11","11030052","","","103"
"","0","","","","","91","11030053","","","103"
"","103231","","","nyx_idle_normal","1","3","11030054","0.2","","103"
"","0.6","","","","","93","11030055","","","103"
"","111031","","","12","1","12","11030056","0.2","","103"
"0.2","111031","nyx_idle_normal","","cmn_pose02_def_N","0","3","11030057","0.2","1","103"
"","1.5","","","","","93","11030058","","","103"
"","104631","","","15","1","12","11030059","","","103"
"0.2","104631","nyx_idle_worry","","nyx_talk_sad","0","3","11030060","0.2","1","103"
"","2","","","","","93","11030061","","","103"
"","103231","","","10","1","12","11030062","","","103"
"0.2","103231","nyx_idle_normal","","nyx_talk_joy1","0","3","11030063","0.2","1","103"
"0.2","111031","nyx_idle_normal","","nyx_103_yuni_01","0","3","11030064","0.2","1","103"
"","2.5","","","","","93","11030065","","","103"
"","103431","","","1","1","12","11030066","","","103"
"0.3","103431","nyx_cmn_03","","nyx_cmn_01","0","3","11030067","0.2","1","103"
"","2","","","","","93","11030068","","","103"
"","104831","","","12","1","12","11030069","","","103"
"","104831","","","nyx_talk_bitter","1","3","11030070","0.2","","103"
"","2","","","","","93","11030071","","","103"
"","104831","","","nyx_idle_bitter","1","3","11030072","0.2","","103"
"","1","","","","","93","11030073","","","103"
"","11030056","","","","","101","11030074","","","103"
"1","1","-235.4","nyx_201_akino_01","103231","110","1","12010001","1.2","-294.7","201"
"1","2","-235.4","nyx_201_akino_01","2","120","5","12010002","1.2","-294.7","201"
"0","1","-357","nyx_idle_normal","104631","110","1","12010003","1.2","-281.6","201"
"1","1","310.5","nyx_idle_normal","103431","110","1","12010004","1.2","-281.6","201"
"0","1","-453.3","nyx_idle_normal","104831","110","1","12010005","1.2","-281.6","201"
"","2","0","","1","0","31","12010006","1","1","201"
"","11","0","","2","0","31","12010007","1","1","201"
"","bgm_M347","","","bgm_M347","","25","12010008","","","201"
"","2","","","","","93","12010009","","","201"
"","103231","","","タマキさん、この\n部品の組み立てを\nお願いしますわ！","10","11","12010010","","","201"
"","0","","","","","91","12010011","","","201"
"0.3","104631","nyx_idle_surprise1","","nyx_surprise","0","3","12010012","0.3","1","201"
"","104631","","","わ、わかったにゃ！\n…こんなの設計図に\nあったかにゃ…？","10","11","12010013","","","201"
"","0","","","","","91","12010014","","","201"
"","103231","","","0","0","4","12010015","","","201"
"","2","","","0","","4","12010016","","","201"
"0.3","104631","","","nyx_idle_bitter2","1","3","12010017","0.3","","201"
"0.3","103231","","","nyx_201_akino_02","1","3","12010018","0.3","","201"
"0.3","2","","","nyx_201_akino_02","1","3","12010019","0.3","","201"
"","103231","2.2","","199","-294.7","2","12010020","","","201"
"","2","2.2","","199","-294.7","2","12010021","","","201"
"","2.2","","","","","93","12010022","","","201"
"0.3","103231","","","nyx_201_akino_01","1","3","12010023","0.3","","201"
"0.3","2","","","nyx_201_akino_01","1","3","12010024","0.3","","201"
"","103231","","","ユカリさん！\nこの回路の発注を\n至急お願いします！","10","11","12010025","","","201"
"","0","","","","","91","12010026","","","201"
"0.3","103431","","","nyx_cmn_01","1","3","12010027","0.3","","201"
"","103431","","","えっ？　えっ？\nちょっとアキノさん\nこれ何に使うの！？","10","11","12010028","","","201"
"","0","","","","","91","12010029","","","201"
"0.3","103431","","","nyx_idle_bitter2","1","3","12010030","0.3","","201"
"","103231","","","1","","4","12010031","","","201"
"","2","","","1","","4","12010032","","","201"
"0.3","103231","","","nyx_201_akino_02","1","3","12010033","0.3","","201"
"0.3","2","","","nyx_201_akino_02","1","3","12010034","0.3","","201"
"","103231","2.2","","-235.4","-294.7","2","12010035","","","201"
"","2","2.2","","-235.4","-294.7","2","12010036","","","201"
"","2.2","","","","","93","12010037","","","201"
"0.3","103231","","","nyx_201_akino_01","1","3","12010038","0.3","","201"
"0.3","2","","","nyx_201_akino_01","1","3","12010039","0.3","","201"
"","103231","","","ミフユさんは動作\nチェックを念入りに\nお願いします！","10","11","12010040","","","201"
"","0","","","","","91","12010041","","","201"
"0.3","104831","nyx_idle_surprise1","","nyx_surprise","0","3","12010042","0.3","1","201"
"","104831","","","は、はいっ！\n…アキノさんが\n燃えてるわ…","10","11","12010043","0","","201"
"","0","","","","","91","12010044","","","201"
"0.3","104831","","","nyx_talk_sad","1","3","12010045","0.3","","201"
"","104831","","","でもなぜかしら\n不安だわ…\n不安しかない…","10","11","12010046","0","","201"
"","0","","","","","91","12010047","","","201"
"0.3","104831","","","nyx_idle_bitter2","1","3","12010048","0.3","","201"
"","0","","","","","91","12010049","","","201"
"","0.4","","","","","93","12010050","","","201"
"","103231","","","0","0","4","12010051","","","201"
"","2","","","0","","4","12010052","","","201"
"0.2","103231","","","nyx_201_akino_02","1","3","12010053","0.2","","201"
"0.2","2","","","nyx_201_akino_02","1","3","12010054","0.2","","201"
"","103231","2.2","","199","-294.7","2","12010055","","","201"
"","2","2.2","","199","-294.7","2","12010056","","","201"
"0.2","103431","","","nyx_cmn_03","1","3","12010057","0.2","","201"
"","2.2","","","","","93","12010058","","","201"
"","103231","","","10","1","12","12010059","","","201"
"0.2","103231","","","nyx_201_akino_01","1","3","12010060","0.2","","201"
"0.2","2","","","nyx_201_akino_01","1","3","12010061","0.2","","201"
"","0","","","","","91","12010062","","","201"
"0.2","103431","","","nyx_idle_surprise1","1","3","12010063","0.2","","201"
"","0","","","","","91","12010064","","","201"
"0.2","103431","","","nyx_102_chloe_02","1","3","12010065","0.2","","201"
"","103231","","","1","","4","12010066","","","201"
"","2","","","1","","4","12010067","","","201"
"0.2","103231","","","nyx_201_akino_02","1","3","12010068","0.2","","201"
"0.2","2","","","nyx_201_akino_02","1","3","12010069","0.2","","201"
"","103231","2.2","","-235.4","-294.7","2","12010070","","","201"
"","2","2.2","","-235.4","-294.7","2","12010071","","","201"
"","2.2","","","","","93","12010072","","","201"
"","103231","","","10","1","12","12010073","","","201"
"0.2","103231","","","nyx_201_akino_01","1","3","12010074","0.2","","201"
"0.2","2","","","nyx_201_akino_01","1","3","12010075","","","201"
"","3","","","","","93","12010076","","","201"
"0.2","104631","nyx_idle_normal","","cmn_nod_def_N","0","3","12010077","0.2","1","201"
"","0.8","","","","","93","12010078","","","201"
"","104831","","","3","1","12","12010079","","","201"
"0.2","104831","nyx_idle_sad","","nyx_talk_worry","0","3","12010080","0.2","1","201"
"","1","","","","","93","12010081","","","201"
"","12010051","","","","","101","12010082","","","201"
"0","1","-136","nyx_202_tamaki_03_loop","3","100","5","12020001","1.2","-255","202"
"1","1","183.7","nyx_idle_joy1","103231","110","1","12020002","1.2","-286.1","202"
"1","2","312.6","nyx_202_yukari_01","5","120","5","12020003","1.2","-286.1","202"
"1","1","312.6","nyx_202_yukari_01","103431","110","1","12020004","1.2","-286.1","202"
"0","1","-269.8","nyx_idle_normal","104831","120","1","12020005","1.2","-286.1","202"
"","2","0","","1","0","31","12020006","1","1","202"
"","12","34","","2","0","31","12020007","1","1","202"
"","16","130","","7","-74","31","12020008","0","1","202"
"0","3","-208","nyx_yagura_idle","4","110","5","12020009","1","-255","202"
"0","2","-269.8","NoItem","6","120","5","12020010","1.2","-286.1","202"
"","bgm_M347","","","bgm_M347","","25","12020011","","","202"
"","2","","","","","93","12020012","","","202"
"","3","","","開発もなんだか\n楽しくなってきた\nにゃ～！","10","11","12020013","","","202"
"","0","","","","","91","12020014","","","202"
"","3","","","ここまで来たら\n世界一のたい焼き\nメカにするにゃ！","10","11","12020015","","","202"
"","0","","","","","91","12020016","","","202"
"","3","","","あたしの全てを\n注ぎ込んでやる\nにゃあ～～！","10","11","12020017","","","202"
"","0.4","","","","","93","12020018","","","202"
"","3","nyx_202_tamaki_loop","","nyx_202_tamaki_03_puton","0","3","12020019","0.2","1","202"
"","12020017","","","","","91","12020020","","","202"
"","3","nyx_202_tamaki_01","","nyx_202_tamaki_up","0","3","12020021","0.2","1","202"
"","4","nyx_yagura_up_idle","","nyx_yagura_up","0","3","12020022","","1","202"
"","2.4","","","","","93","12020023","","","202"
"","7","","","1","","32","12020024","","","202"
"","103231","","","nyx_202_akino_01_loop","1","3","12020025","0.2","","202"
"","103231","","","おーほっほっほ！\n素晴らしい意気込み\nですわ、タマキさん","10","11","12020026","","","202"
"","0","","","","","91","12020027","","","202"
"","104831","","","nyx_talk_anger2","1","3","12020028","0.2","","202"
"","104831","","","設計図のどこにも\nたい焼きなんて\n書いてないわよ！？","10","11","12020029","","","202"
"","0","","","","","91","12020030","","","202"
"","103431","","","nyx_idle_anger2","1","3","12020031","0.2","","202"
"","103431","","","nyx_202_yukari_01","1","3","12020032","0.2","","202"
"","103431","","","ミフユさん…\nタマキさんなら\n大丈夫よ…ひっく","10","11","12020033","","","202"
"","0","","","","","91","12020034","","","202"
"0.2","104831","nyx_cmn_04","","nyx_cmn_05","0","3","12020035","0.2","","202"
"","104831","","","ユカリさん？\n何を飲んでるの？\n…買収されたわね？","10","11","12020036","0","","202"
"","0","","","","","91","12020037","","","202"
"","103431","","","nyx_202_yukari_01","1","3","12020038","0.2","","202"
"","103431","","","え～？\nにゃんのことぉ～？\n…うっふふ～♪","10","11","12020039","","","202"
"","0","","","","","91","12020040","","","202"
"","2","","","","","93","12020041","","","202"
"","103231","","","13","1","12","12020042","","","202"
"0.2","103231","nyx_202_akino_01_loop","","nyx_talk_joy2","0","3","12020043","0.2","1","202"
"","2.5","","","","","93","12020044","","","202"
"","104831","","","3","1","12","12020045","","","202"
"","104831","","","nyx_talk_anger2","1","3","12020046","0.2","","202"
"","2","","","","","93","12020047","","","202"
"","104831","","","nyx_cmn_02","0","3","12020048","0.2","","202"
"","6","NoItem","","nyx_cmn_02","0","3","12020049","0.2","1","202"
"","1","","","","","93","12020050","","","202"
"0.2","104831","nyx_cmn_04","","nyx_cmn_05","0","3","12020051","0.2","1","202"
"","2","","","","","93","12020052","","","202"
"","103431","","","5","1","12","12020053","","","202"
"0.2","5","nyx_202_yukari_01","","nyx_203_yukari_01","0","3","12020054","0.2","1","202"
"0.2","103431","nyx_202_yukari_01","","nyx_203_yukari_01","0","3","12020055","0.2","1","202"
"","1.2","","","","","93","12020056","","","202"
"","3","","","11","1","12","12020057","","","202"
"","0.8","","","","","93","12020058","","","202"
"","12020041","","","","","101","12020059","","","202"
"0","1","-300","nyx_idle_normal","104831","130","1","12030001","1.2","-286","203"
"1","1","316","nyx_idle_normal","104631","100","1","12030002","1.2","-286","203"
"1","1","110","nyx_idle_normal","103231","100","1","12030003","1.2","-286","203"
"0","1","-200","nyx_203_yukari_01","103431","100","1","12030004","1.2","-10","203"
"","2","0","","1","0","31","12030005","1","1","203"
"","13","34","","2","-80","31","12030006","1","1","203"
"0","2","-200","nyx_203_yukari_01","3","110","5","12030007","1.2","-10","203"
"0","3","-250","nyx_yagura_up_harf","4","120","5","12030008","1","-255","203"
"","bgm_M347","","","bgm_M347","","25","12030009","","","203"
"","2","","","","","93","12030010","","","203"
"","103431","","","あっれぇ～？\nここはどこぉ～？\n私はだれ～？","10","11","12030011","","","203"
"","0.6","","","","","93","12030012","","","203"
"0.2","103231","nyx_lookup_loop2","","nyx_lookup","0","3","12030013","0.2","1","203"
"","12030011","","","","","91","12030014","","","203"
"","103431","","","ん～？\nにゃ～にこの\nでっかいのぉ～","10","11","12030015","","","203"
"","0.6","","","","","93","12030016","","","203"
"0.2","104631","nyx_lookup_loop2","","nyx_lookup","0","3","12030017","0.2","1","203"
"","12030015","","","","","91","12030018","","","203"
"","3","nyx_203_yukari_05","","nyx_203_yukari_02","0","3","12030019","0.2","1","203"
"","103431","nyx_203_yukari_05","","nyx_203_yukari_02","0","3","12030020","0.2","1","203"
"","103431","","","あんたも麦しゅわ\n飲む～？\nお～いしいわよ～？","10","11","12030021","","","203"
"","0.4","","","","","93","12030022","","","203"
"0.2","104831","nyx_lookup_loop2","","nyx_lookup","0","3","12030023","0.2","1","203"
"","12030021","","","","","91","12030024","","","203"
"","0.2","","","","","93","12030025","","","203"
"0.2","104831","nyx_idle_sad","","nyx_cmn_02","0","3","12030026","0.2","1","203"
"","104831","","","何してるのよ\nユカリさん…","10","11","12030027","0","","203"
"","0.1","","","","","93","12030028","","","203"
"0.2","103231","nyx_cmn_04","","nyx_cmn_02","0","3","12030029","0.2","1","203"
"","103231","","","何してますの…\nユカリさん…","10","11","12030030","","","203"
"","0.1","","","","","93","12030031","","","203"
"0.2","104631","nyx_idle_sad","","nyx_cmn_02","0","3","12030032","0.2","1","203"
"","104631","","","何してるのにゃ\nユカリ…","10","11","12030033","","","203"
"","0","","","","","91","12030034","","","203"
"","3","","","nyx_203_yukari_03","1","3","12030035","0.5","","203"
