df314a4b67c8bf9c1862c0e9c57cddf6b9387221899d7bfedc70a76e86fee839,c6f90f1140144d4b76179a35b02b608f3f46d72dfcfde8c0c1cae9b980b18967,f4dd274e8f3f14c069d1448aa5182c7470898dc81ef5d016f9c9cf95026d7d43,69377b682dd3512c2fbe51fefed9635f905e81deee4fd275f03b7430c7979e80,480938bf60a904e92335ae7bc57bb69037f68a51cb05cb6fa952ddfc410d5365,d3d3c4b25a8de948339fafa689267cabf24eada615d29116d5832b9410c43283,783aebb19e1288767a3bd61e17f689f53bfec9177a8a0cbd49e041cbab943b43,a464d0a8939e5d277e1141aa45867fc19ef95ecfb5a9f64595c9e09fe6852c05,b73d44a653e363aad6af837e9e02b787c3242d3bc11b5b77342eef062d097edc,426593ab48a8879d4c6838da9b6e0fdb35187e472e5ae6deffc62fe84bb0b538,9d245033e5c0d82c36272196a8d52d0131358f0f92fec209d8bcd0899dc70dde,890184800375705fd8412c1d95c3fcbae87614e07931918b9f4deb8a63b4aafb
"プリンセスフェスのキャラからランダムに1人仲間にできる。","0","999","0","プリンセスフェスのランダムサイン","0","0","0","1","3","31000999","1800"
"アタッカーロールのキャラからランダムに1人仲間にできる。","0","0","0","アタッカーロールのランダムサイン","0","1","0","1","3","31001000","1200"
"ブレイカーロールのキャラからランダムに1人仲間にできる。","0","0","0","ブレイカーロールのランダムサイン","0","2","0","1","3","31002000","1200"
"バッファーロールのキャラからランダムに1人仲間にできる。","0","0","0","バッファーロールのランダムサイン","0","3","0","1","3","31003000","1200"
"デバッファーロールのキャラからランダムに1人仲間にできる。","0","0","0","デバッファーロールのランダムサイン","0","4","0","1","3","31004000","1200"
"ブースターロールのキャラからランダムに1人仲間にできる。","0","0","0","ブースターロールのランダムサイン","0","5","0","1","3","31005000","1200"
"ヒーラーロールのキャラからランダムに1人仲間にできる。","0","0","0","ヒーラーロールのランダムサイン","0","6","0","1","3","31006000","1200"
"タンクロールのキャラからランダムに1人仲間にできる。","0","0","0","タンクロールのランダムサイン","0","7","0","1","3","31007000","1200"
"ジャマーロールのキャラからランダムに1人仲間にできる。","0","0","0","ジャマーロールのランダムサイン","0","8","0","1","3","31008000","1200"
"ラビリスタを仲間にできる。","0","40005","0","ラビリスタサイン","0","0","0","1","3","31040005","99999999"
"ジュンを仲間にできる。","0","40006","0","ジュンサイン","0","0","0","1","3","31040006","99999999"
"ミソギ＆ミミ＆キョウカを仲間にできる。","0","40011","0","ミソギ＆ミミ＆キョウカサイン","0","0","0","1","3","31040011","99999999"
"火属性のキャラからランダムに1人仲間にできる。","0","0","0","火属性のランダムサイン","1","0","0","1","3","31100000","1200"
"水属性のキャラからランダムに1人仲間にできる。","0","0","0","水属性のランダムサイン","2","0","0","1","3","31200000","1200"
"風属性のキャラからランダムに1人仲間にできる。","0","0","0","風属性のランダムサイン","3","0","0","1","3","31300000","1200"
"光属性のキャラからランダムに1人仲間にできる。","0","0","0","光属性のランダムサイン","4","0","0","1","3","31400000","1200"
"闇属性のキャラからランダムに1人仲間にできる。","0","0","0","闇属性のランダムサイン","5","0","0","1","3","31500000","1200"
