b26fc7084b87eb406937fe2a286e55d92ffc855c7fec6728b689c2d55a5fec59,3dc8c480eff71b2c7f3fbf8f8b9e0bc7ad8be131d0974d24b6d71145d7dae664,ea44c050b9c7b5e6bae5d83328f522de547e8bc6cacd5838ecda974f5995c0d2,1b43078c5c6527eea0da8ad1c1ead8500a55898e457262a36e1ddc50e2812c5b,4402f41de9755f0bfef0de050d8545b0d00a9a07c5eeafcf542aae6fc711534b
"5000","10","5","20010","192"
"5000","40","300","20011","193"
"5000","10","5","20011","194"
"5000","65","200","20012","195"
"5000","10","200","20012","196"
"5000","40","150","20013","197"
"5000","10","5","20013","198"
"5000","40","100","20014","199"
"5000","10","5","20014","200"
"5000","50","200","20015","201"
"5000","10","5","20015","202"
"5000","60","250","20016","203"
"5000","30","200","20016","204"
"5000","45","120","20017","205"
"5000","90","300","20017","206"
"5000","90","120","20018","207"
"5000","30","200","20018","208"
"5000","50","190","20019","209"
"5000","60","350","20019","210"
"5000","90","95","20020","211"
"5000","90","95","20020","212"
"5000","60","200","20021","213"
"5000","60","200","20021","214"
"5000","60","200","20022","215"
"5000","60","200","20022","216"
"5000","60","200","20023","217"
"5000","60","200","20023","218"
"5000","30","130","21001","219"
"5000","5","5","21001","220"
"5000","30","140","21002","221"
"5000","5","5","21002","222"
"5000","40","150","21003","223"
"5000","5","5","21003","224"
"5000","45","155","21004","225"
"5000","5","200","21004","226"
"5000","60","155","21005","227"
"5000","10","200","21005","228"
"5000","60","150","21006","229"
"5000","15","200","21006","230"
"5000","60","150","21007","231"
"5000","15","200","21007","232"
"5000","50","160","21008","233"
"5000","15","200","21008","234"
"5000","70","140","21009","235"
"5000","30","200","21009","236"
"5000","35","180","21010","237"
"5000","120","200","21010","238"
"5000","65","140","21011","239"
"5000","30","200","21011","240"
"5000","35","200","21012","241"
"5000","5","5","21012","242"
"5000","70","150","21013","243"
"5000","15","200","21013","244"
"5000","60","150","21014","245"
"5000","15","200","21014","246"
"5000","60","150","21015","247"
"5000","15","200","21015","248"
"5000","60","150","21016","249"
"5000","15","200","21016","250"
"5000","60","150","21017","251"
"5000","15","200","21017","252"
"5000","50","120","21018","253"
"5000","60","200","21018","254"
"5000","67","102","21019","255"
"5000","60","200","21019","256"
"5000","35","120","21020","257"
"5000","60","250","21020","258"
