89de5c33dffb5091b7c5c2c9ac372df9cab87e1023b9601dc287c3272f6c7b1b,cff786ddc648396d1ef2e2f9edec4c2332d8dcffb642de5d4f338ce2303b4456,0b9fe42338de861f170f52b494dcd54c64155fbe54708e283b8cbc54612a16d7,dea5c44a93d6ad1f017bc2f2cc9d2caed46d8894e30a2e2d5bdab26f9c057241,88634e0669998625f2d0795aa73705ec2ba5b687e0ef55697821241abb5659bb,bee25f94018c411e1e16eca08422976da6690786c1a0acab563223f7cb3640b9,5d94041feaf6f8bbc4546af32606e6fd9e72dbdbff12257d6668a294a1846de5,6cc547a148e121c9501ca0d9ea800388b210df3b76fef62bb3120005c62bad5d,45cd2ffa8f8dc73995bd46bc9013396c10497d3b5d08159a56770d9774aa0194,1dfe61704c99f1380d4e8bec64471853b85e9ffba118b63f3e4ef56cb861dffb,9b3eb0eb76c35807821c4fc134804f038478ffaf6a312f8c33fa39fee48b3082,11d3d998e3d6d68bc3425a13294e6995cffab5813716d3881695aa8a9925c814
"31","2","100","11001","0","31","3101","0","0","0","2","30"
"32","3","101","11011","0","32","3201","0","0","0","1","31"
"33","4","104","11041","0","33","3301","0","0","0","4","32"
"34","3","100","11001","0","34","3401","0","0","0","3","33"
"35","2","104","11041","0","35","3501","0","0","0","4","34"
"36","3","103","11031","0","36","3601","0","0","0","2","35"
"37","2","102","11021","0","37","3701","0","0","0","1","36"
"38","1","50","10501","0","38","3801","0","0","0","2","37"
"39","3","102","11021","0","39","3901","0","0","0","3","38"
"40","4","104","11041","0","40","4001","0","0","0","4","39"
"41","3","100","11001","0","41","4101","0","0","0","1","40"
"42","2","52","10521","0","42","4201","0","0","0","3","41"
"43","1","104","11041","0","43","4301","0","0","0","4","42"
"44","2","103","11031","0","44","4401","0","0","0","1","43"
"45","1","104","11041","0","45","4501","0","0","0","4","44"
"46","3","101","11011","0","46","4601","0","0","0","3","45"
"47","4","102","11021","0","47","4701","0","0","0","1","46"
"48","2","104","11041","0","48","4801","0","0","0","4","47"
"49","3","103","11031","0","49","4901","0","0","0","2","48"
"50","2","104","11041","0","50","5001","0","0","0","4","49"
"51","1","101","11011","0","51","5101","0","0","0","2","50"
"52","2","102","11021","0","52","5201","0","0","0","3","51"
"53","3","104","11041","0","53","5301","0","0","0","4","52"
"54","4","52","10521","0","54","5401","0","0","0","1","53"
"55","3","103","11031","0","55","5501","0","0","0","3","54"
"56","4","104","11041","0","56","5601","0","0","0","4","55"
"57","2","100","11001","0","57","5701","0","0","0","1","56"
"58","3","101","11011","0","58","5801","0","0","0","3","57"
"59","4","103","11031","0","59","5901","0","0","0","2","58"
"60","3","104","11041","0","60","6001","0","0","0","4","59"
"61","1","102","11021","0","61","6101","0","0","0","1","60"
"62","2","50","10501","0","62","6201","0","0","0","3","61"
"63","1","104","11041","0","63","6301","0","0","0","4","62"
"64","2","103","11031","0","64","6401","0","0","0","2","63"
"65","3","102","11021","0","65","6501","0","0","0","1","64"
"66","2","104","11041","0","66","6601","0","0","0","4","65"
"67","3","52","10521","0","67","6701","0","0","0","1","66"
"68","2","102","11021","0","68","6801","0","0","0","2","67"
"69","4","104","11041","0","69","6901","0","0","0","4","68"
"70","3","103","11031","0","70","7001","0","0","0","2","69"
"71","2","101","11011","0","71","7101","0","0","0","3","70"
"72","3","100","11001","0","72","7201","0","0","0","2","71"
"73","1","104","11041","0","73","7301","0","0","0","4","72"
"74","1","103","11031","0","74","7401","0","0","0","1","73"
"75","3","102","11021","0","75","7501","0","0","0","3","74"
"76","4","50","10501","0","76","7601","0","0","0","1","75"
"77","3","104","11041","0","77","7701","0","0","0","4","76"
"78","2","101","11011","0","78","7801","0","0","0","2","77"
"79","3","100","11001","0","79","7901","0","0","0","3","78"
"80","2","104","11041","0","80","8001","0","0","0","4","79"
"81","1","52","10521","0","81","8101","0","0","0","3","80"
"82","2","101","11011","0","82","8201","0","0","0","1","81"
"83","4","50","10501","0","83","8301","0","0","0","3","82"
"84","3","103","11031","0","84","8401","0","0","0","1","83"
"85","2","104","11041","0","85","8501","0","0","0","4","84"
"86","3","100","11001","0","86","8601","0","0","0","2","85"
"87","2","102","11021","0","87","8701","0","0","0","2","86"
"88","1","103","11031","0","88","8801","0","0","0","2","87"
"89","3","104","11041","0","89","8901","0","0","0","4","88"
"90","2","102","11021","0","90","9001","0","0","0","1","89"
"91","3","104","11041","0","91","9101","0","0","0","4","90"
"92","4","50","10501","0","92","9201","0","0","0","3","91"
"93","3","104","11041","0","93","9301","0","0","0","4","92"
"94","2","102","11021","0","94","9401","0","0","0","1","93"
"95","2","103","11031","0","95","9501","0","0","0","2","94"
"96","3","104","11041","0","96","9601","0","0","0","4","95"
