c9a83bf30b971a2df5498b9c35932d7ee9b7d26344d979aed39893546c85525e,31665d14c43d449cf19cdceabb08cb34f7e97c38473c64fb25b2357e9a4cecfa,664278e30ac58fb8d3a8a49d35c4a4bb5db92778386d890c597037d50824d384,4a7365e714c3005b9e55133f5271508679a05e0e104591c34e0fafe73f32879f,cb067146badaa9c8edaa3570f9b24d699e1e08ad7bc6acd3fd363ef0aa4da13b,ea210863044b3be18a30ab70085899211d5198357f44deb8fea24920d5993728,c14d42cb7c453ab3b4ff6af987ba2bb179dbcafcebdd016f7fe09877c8240409,010237b6afb11a5a8dc4d1adca31a068e42a7778c1d1e8e0786602dd8d3711d8,5f2bccb61597e2154b6d5d0062b44d5d72ea5d22c075f86371ac0c71bb5648f6,bd4447c433cc75fd3668e4f818c0e9d5dd4ec535ecf80c97ab870afc9b332e2f,1b304cf20d81467f25ec540d5f62706c1a11c696663c324572e19f2259e7b063
"1","1000004","1","1002","travel_exdrama_r_100_run","4","1.46","-175","1","575","1010020005"
"1","1000005","1","1002","travel_exdrama_r_100_run","5","1.46","-250","1","750","1010020006"
"31","10000","10000","1002","","-40","0","1","","20","1010020007"
"2","-100","1000001","1002","","-160","","0","","1","1010020008"
"2","-275","1000002","1002","","-200","","0","","1","1010020009"
"2","-450","1000003","1002","","-250","","0","","1","1010020010"
"2","275","1000004","1002","","-175","","0","","1","1010020011"
"2","450","1000005","1002","","-250","","0","","1","1010020012"
"93","0","1","1002","","0","","0","","0","1010020013"
"3","travel_exdrama_r_100_raiseup","1000001","1002","","0","0.2","0","0","","1010020014"
"3","travel_exdrama_r_100_idle","1000002","1002","","1","0","0","0","","1010020015"
"3","travel_exdrama_r_100_idle","1000003","1002","","1","0","0","0","","1010020016"
"3","travel_exdrama_r_100_idle","1000004","1002","","1","0","0","0","","1010020017"
"3","travel_exdrama_r_100_idle","1000005","1002","","1","0","0","0","","1010020018"
"5","1","1","1002","travel_exdrama_r_100_raiseup","11","1.46","-160","0","-100","1010020019"
"93","0","0.4","1002","","0","0","0","","0","1010020020"
"32","1","10000","1002","","","","0","","","1010020021"
"93","0","0.6","1002","","","","","","","1010020022"
"6","","1000001","1002","","","0.12","0","","","1010020023"
"6","","1000002","1002","","","0.12","0","","","1010020024"
"6","","1000003","1002","","","0.12","0","","","1010020025"
"6","","1000004","1002","","","0.12","0","","","1010020026"
"6","","1000005","1002","","","0.12","0","","","1010020027"
"6","","1","1002","","","0.12","0","","","1010020028"
"93","0","0.12","1002","","","","","","","1010020029"
"91","","0","1002","","","","","","","1010020030"
"31","10100","10100","1011","","-350","1","1","","5","1010110001"
"31","10002","10002","1011","","-525","0","1","","50","1010110002"
"31","10101","10101","1011","","-184","1","1","","-121","1010110003"
"31","10102","10102","1011","","-350","0","1","","5","1010110004"
"31","10103","10103","1011","","-350","0","1","","5","1010110005"
"31","10104","10104","1011","","-350","0","1","","5","1010110006"
"1","1000001","1","1011","travel_exdrama_r_101_walk","11","1.46","-200","0","-470","1010110007"
"1","1000002","1","1011","travel_exdrama_r_101_walk","1","1.46","-150","0","-320","1010110008"
"5","1","1","1011","travel_exdrama_r_101_walk","12","1.46","-200","0","-470","1010110009"
"5","2","1","1011","travel_exdrama_r_101_walk","2","1.46","-150","0","-320","1010110010"
"23","se_travel_finish_cave_rare","se_travel","1012","","0","","","","","1010120001"
"2","-500","1000001","1012","","-200","","0","","0.1","1010120002"
"2","-350","1000002","1012","","-150","","0","","0.1","1010120003"
"2","-500","1","1012","","-200","","0","","0.1","1010120004"
"2","-350","2","1012","","-150","","0","","0.1","1010120005"
"3","travel_exdrama_r_101_joy","1000001","1012","","0","0.2","1","0.2","travel_exdrama_r_101_walk","1010120006"
"3","travel_exdrama_r_101_joy","1000002","1012","","0","0.2","1","0.2","travel_exdrama_r_101_walk","1010120007"
"3","travel_exdrama_r_101_joy","1","1012","","0","0.2","1","0.2","travel_exdrama_r_101_walk","1010120008"
"3","travel_exdrama_r_101_joy","2","1012","","0","0.2","1","0.2","travel_exdrama_r_101_walk","1010120009"
"32","0","10101","1012","","0","","","","","1010120010"
"32","1","10102","1012","","0","","","","","1010120011"
"93","0","1.66","1012","","","","","","","1010120012"
"32","1","10101","1012","","0","","","","","1010120013"
"32","0","10102","1012","","0","","","","","1010120014"
"2","-470","1000001","1012","","-200","","0","","0.2","1010120015"
"2","-320","1000002","1012","","-150","","0","","0.2","1010120016"
"2","-470","1","1012","","-200","","0","","0.2","1010120017"
"2","-320","2","1012","","-150","","0","","0.2","1010120018"
"23","se_travel_finish_cave_event","se_travel","1013","","0","","","","","1010130001"
"3","travel_exdrama_r_101_panic_A","1000001","1013","","0","0.2","1","0","travel_exdrama_r_101_walk","1010130002"
"3","travel_exdrama_r_101_panic_B","1000002","1013","","0","0.2","1","0","travel_exdrama_r_101_walk","1010130003"
"3","travel_exdrama_r_101_panic_A","1","1013","","0","0.2","1","0","travel_exdrama_r_101_walk","1010130004"
"3","travel_exdrama_r_101_panic_B","2","1013","","0","0.2","1","0","travel_exdrama_r_101_walk","1010130005"
"32","1","10002","1013","","","","","","","1010130006"
"32","1","10103","1013","","","","","","","1010130007"
"93","0","3","1013","","","","","","","1010130008"
"32","0","10002","1013","","","","","","","1010130009"
"32","0","10103","1013","","","","","","","1010130010"
"2","-500","1000001","1014","","-200","0","0","0","0.1","1010140001"
"2","-350","1000002","1014","","-150","0","0","0","0.1","1010140002"
"2","-500","1","1014","","-200","0","0","0","0.1","1010140003"
"2","-350","2","1014","","-150","0","0","0","0.1","1010140004"
"3","travel_exdrama_r_finish_B_hand","1000001","1014","","0","0","0","0","","1010140005"
"3","travel_exdrama_r_finish_B_hand","1000002","1014","","0","0","0","0","","1010140006"
"3","travel_exdrama_r_101_finish","1","1014","","0","0","0","0","","1010140007"
"3","travel_exdrama_r_101_finish","2","1014","","0","0","0","0","","1010140008"
"32","0","10101","1014","","0","","","","","1010140009"
"32","1","10104","1014","","0","","","","","1010140010"
"31","10200","10200","1021","","-350","1","1","","5","1010210001"
"31","10201","10201","1021","","-350","0","1","","5","1010210002"
"31","10202","10202","1021","","-350","0","1","","5","1010210003"
"31","10203","10203","1021","","-490","0","1","","86","1010210004"
"31","10204","10204","1021","","-200","0","1","","105","1010210005"
"31","10001","10001","1021","","-525","0","1","","50","1010210006"
"1","1000001","1","1021","travel_exdrama_r_102_book","1","1.46","-180","0","-490","1010210007"
"1","1000002","1","1021","travel_exdrama_r_102_loupe","2","1.46","-180","0","-200","1010210008"
"5","1","1","1021","travel_exdrama_r_102_book","11","1.46","-180","0","-490","1010210009"
"5","2","1","1021","travel_exdrama_r_102_loupe","12","1.46","-180","0","-200","1010210010"
"5","5","5","1021","reliclight_none","13","2","-136","0","-339","1010210011"
"23","se_travel_finish_ruins_rare","se_travel","1022","","0","","","","","1010220001"
"3","travel_exdrama_r_102_bookFind_A","1000001","1022","","0","0.2","1","0.2","travel_exdrama_r_102_book","1010220002"
"3","travel_exdrama_r_102_loupeFind_A","1000002","1022","","0","0.2","1","0.2","travel_exdrama_r_102_loupe","1010220003"
"3","travel_exdrama_r_102_bookFind_A","1","1022","","0","0.2","1","0.2","travel_exdrama_r_102_book","1010220004"
"3","travel_exdrama_r_102_loupeFind_A","2","1022","","0","0.2","1","0.2","travel_exdrama_r_102_loupe","1010220005"
"32","1","10202","1022","","","","","","","1010220006"
"32","1","10203","1022","","","","","","","1010220007"
"32","1","10204","1022","","","","","","","1010220008"
"93","0","1.66","1022","","","","","","","1010220009"
"32","0","10202","1022","","","","","","","1010220010"
"32","0","10203","1022","","","","","","","1010220011"
"32","0","10204","1022","","","","","","","1010220012"
"23","se_travel_finish_ruins_event","se_travel","1023","","0","","","","","1010230001"
"3","travel_exdrama_r_102_bookFind_B","1000001","1023","","0","0.2","1","0","travel_exdrama_r_102_book","1010230002"
"3","travel_exdrama_r_102_loupeFind_B","1000002","1023","","0","0.2","1","0","travel_exdrama_r_102_loupe","1010230003"
"3","travel_exdrama_r_102_bookFind_B","1","1023","","0","0.2","1","0","travel_exdrama_r_102_book","1010230004"
"3","travel_exdrama_r_102_loupeFind_B","2","1023","","0","0.2","1","0","travel_exdrama_r_102_loupe","1010230005"
"3","reliclight_on","5","1023","","0","","","","","1010230006"
"32","1","10201","1023","","","","","","","1010230007"
"32","1","10001","1023","","","","","","","1010230008"
"93","0","3","1023","","","","","","","1010230009"
"32","0","10201","1023","","","","","","","1010230010"
"32","0","10001","1023","","","","","","","1010230011"
"3","reliclight_none","5","1023","","0","","","","","1010230012"
"4","1","1000002","1024","","0","0","0","0","","1010240001"
"4","1","2","1024","","0","0","0","0","","1010240002"
"3","travel_exdrama_r_finish_A","1000001","1024","","0","0","0","0","","1010240003"
"3","travel_exdrama_r_finish_A_front","1000002","1024","","0","0","0","0","","1010240004"
"3","travel_exdrama_r_102_book_finish","1","1024","","0","0","0","0","","1010240005"
"3","travel_exdrama_r_102_loupe_finish","2","1024","","0","0","0","0","","1010240006"
"3","reliclight_none","5","1024","","0","","","","","1010240007"
"31","10300","10300","1031","","-350","1","1","","5","1010310001"
"31","10301","10301","1031","","-350","0","1","","5","1010310002"
"31","10302","10302","1031","","-350","0","1","","5","1010310003"
"31","10002","10002","1031","","-525","0","1","","50","1010310004"
"1","1000001","1","1031","travel_exdrama_r_103_dig_A","5","1.46","-200","0","-510","1010310005"
"1","1000002","1","1031","travel_exdrama_r_103_dig_B","3","1.46","-175","0","-400","1010310006"
"1","1000003","1","1031","travel_exdrama_r_103_map","1","1.46","-140","0","-190","1010310007"
"5","1","1","1031","travel_exdrama_r_103_dig_A","6","1.46","-200","0","-510","1010310008"
"5","2","1","1031","travel_exdrama_r_103_dig_B","4","1.46","-175","0","-400","1010310009"
"5","3","1","1031","travel_exdrama_r_103_map","2","1.46","-140","0","-190","1010310010"
"23","se_travel_finish_dig_rare","se_travel","1032","","0","","","","","1010320001"
"3","travel_exdrama_r_103_surprise_A","1000001","1032","","0","0.2","1","0.2","travel_exdrama_r_103_dig_A","1010320002"
"3","travel_exdrama_r_103_surprise_A","1000002","1032","","0","0.2","1","0.2","travel_exdrama_r_103_dig_B","1010320003"
"3","travel_exdrama_r_103_mapSurprise_A","1000003","1032","","0","0.2","1","0.2","travel_exdrama_r_103_map","1010320004"
"3","travel_exdrama_r_103_surprise_A","1","1032","","0","0.2","1","0.2","travel_exdrama_r_103_dig_A","1010320005"
"3","travel_exdrama_r_103_surprise_A","2","1032","","0","0.2","1","0.2","travel_exdrama_r_103_dig_B","1010320006"
"3","travel_exdrama_r_103_mapSurprise_A","3","1032","","0","0.2","1","0.2","travel_exdrama_r_103_map","1010320007"
"32","1","10302","1032","","","","","","","1010320008"
"93","0","1.25","1032","","","","","","","1010320009"
"32","0","10302","1032","","","","","","","1010320010"
"23","se_travel_finish_dig_event","se_travel","1033","","0","","","","","1010330001"
"3","travel_exdrama_r_103_surprise_B","1000001","1033","","0","0.2","1","0","travel_exdrama_r_103_dig_A","1010330002"
"3","travel_exdrama_r_103_surprise_B","1000002","1033","","0","0.2","1","0","travel_exdrama_r_103_dig_B","1010330003"
"3","travel_exdrama_r_103_mapSurprise_B","1000003","1033","","0","0.2","1","0","travel_exdrama_r_103_map","1010330004"
"3","travel_exdrama_r_103_surprise_B","1","1033","","0","0.2","1","0","travel_exdrama_r_103_dig_A","1010330005"
"3","travel_exdrama_r_103_surprise_B","2","1033","","0","0.2","1","0","travel_exdrama_r_103_dig_B","1010330006"
"3","travel_exdrama_r_103_mapSurprise_B","3","1033","","0","0.2","1","0","travel_exdrama_r_103_map","1010330007"
"32","1","10301","1033","","","","","","","1010330008"
"32","1","10002","1033","","","","","","","1010330009"
"93","0","3","1033","","","","","","","1010330010"
"32","0","10301","1033","","","","","","","1010330011"
"32","0","10002","1033","","","","","","","1010330012"
"4","1","1000003","1034","","","","","","","1010340001"
"4","1","3","1034","","","","","","","1010340002"
"3","travel_exdrama_r_finish_B","1000001","1034","","0","0","0","0","","1010340003"
"3","travel_exdrama_r_finish_B","1000002","1034","","0","0","0","0","","1010340004"
"3","travel_exdrama_r_finish_A_front","1000003","1034","","0","0","0","0","","1010340005"
"3","travel_exdrama_r_103_shovel","1","1034","","0","0","0","0","","1010340006"
"3","travel_exdrama_r_103_shovel","2","1034","","0","0","0","0","","1010340007"
"3","travel_exdrama_r_103_map_finish","3","1034","","0","0","0","0","","1010340008"
"31","10400","10400","1041","","-350","1","1","","5","1010410001"
"31","10401","10401","1041","","-350","1","1","","5","1010410002"
"31","10402","10402","1041","","-350","0","1","","5","1010410003"
"31","10403","10403","1041","","-350","0","1","","5","1010410004"
"31","10001","10001","1041","","-525","0","1","","50","1010410005"
"1","1000001","1","1041","travel_exdrama_r_104_fishingIdle","12","1.46","-150","0","-450","1010410006"
"1","1000002","1","1041","travel_exdrama_r_104_idle_B","10","1.46","-125","0","-200","1010410007"
"5","1","2","1041","travel_exdrama_r_104_fishingIdle","11","1.46","-150","0","-450","1010410008"
"5","10","4","1041","none","20","1","-150","0","-350","1010410009"
"23","se_travel_finish_bridge_rare","se_travel","1042","","0","","","","","1010420001"
"3","travel_exdrama_r_104_fishingCatch","1000001","1042","","0","0.2","1","0.2","travel_exdrama_r_104_fishingIdle","1010420002"
"3","travel_exdrama_r_104_glad_B","1000002","1042","","0","0.2","1","0.2","travel_exdrama_r_104_idle_B","1010420003"
"3","travel_exdrama_r_104_fishingCatch","1","1042","","0","0.2","1","0.2","travel_exdrama_r_104_fishingIdle","1010420004"
"3","fish","10","1042","","0","0","1","0","none","1010420005"
"32","1","10402","1042","","","","","","","1010420006"
"93","0","1.25","1042","","","","","","","1010420007"
"32","0","10402","1042","","","","","","","1010420008"
"23","se_travel_finish_bridge_event","se_travel","1043","","0","","","","","1010430001"
"3","travel_exdrama_r_104_fishingBig","1000001","1043","","0","0","1","0","travel_exdrama_r_104_fishingIdle","1010430002"
"3","travel_exdrama_r_104_surprise_B","1000002","1043","","0","0","1","0","travel_exdrama_r_104_idle_B","1010430003"
"3","travel_exdrama_r_104_fishingBig","1","1043","","0","0","1","0","travel_exdrama_r_104_fishingIdle","1010430004"
"32","1","10403","1043","","","","","","","1010430005"
"32","1","10001","1043","","","","","","","1010430006"
"93","0","3","1043","","","","","","","1010430007"
"32","0","10403","1043","","","","","","","1010430008"
"32","0","10001","1043","","","","","","","1010430009"
"4","1","1000002","1044","","","","","","","1010440001"
"3","travel_exdrama_r_104_fishing_finish","1000001","1044","","0","0","0","0","","1010440002"
"3","travel_exdrama_r_finish_A_front","1000002","1044","","0","0","0","0","","1010440003"
"3","travel_exdrama_r_104_fishing_finish","1","1044","","0","0.2","0","0","","1010440004"
"31","10500","10500","1051","","-350","1","1","","5","1010510001"
"31","10501","10501","1051","","-350","0","1","","-200","1010510002"
"31","10001","10001","1051","","-525","0","1","","50","1010510003"
"1","1000001","1","1051","travel_exdrama_r_105_netSearch","1","1.46","-200","0","-470","1010510004"
"1","1000002","1","1051","travel_exdrama_r_105_binoculars","2","1.46","-220","0","-200","1010510005"
"5","1","1","1051","travel_exdrama_r_105_netSearch","5","1.46","-200","0","-470","1010510006"
"5","2","1","1051","travel_exdrama_r_105_binoculars","3","1.46","-220","0","-200","1010510007"
"5","10","3","1051","idle","4","1.46","-230","0","-350","1010510008"
"3","travel_exdrama_r_105_netFind_A","1000001","1052","","0","0.2","1","0.1","travel_exdrama_r_105_netSearch","1010520001"
"3","travel_exdrama_r_105_binocularsFind_A","1000002","1052","","0","0.2","1","0.2","travel_exdrama_r_105_binoculars","1010520002"
"3","travel_exdrama_r_105_netFind_A","1","1052","","0","0.2","1","0.1","travel_exdrama_r_105_netSearch","1010520003"
"3","travel_exdrama_r_105_binocularsFind_A","2","1052","","0","0.2","1","0.2","travel_exdrama_r_105_binoculars","1010520004"
"3","beetle","10","1052","","0","0.2","1","0.2","idle","1010520005"
"32","1","10501","1052","","","","","","","1010520006"
"93","0","1.2","1052","","","","","","","1010520007"
"32","0","10501","1052","","","","","","","1010520008"
"23","se_travel_finish_insects_event","se_travel","1053","","0","","","","","1010530001"
"3","travel_exdrama_r_105_netFind_B","1000001","1053","","0","0.2","1","0","travel_exdrama_r_105_netSearch","1010530002"
"3","travel_exdrama_r_105_binocularsFind_B","1000002","1053","","0","0.2","1","0","travel_exdrama_r_105_binoculars","1010530003"
"3","travel_exdrama_r_105_netFind_B","1","1053","","0","0.2","1","0","travel_exdrama_r_105_netSearch","1010530004"
"3","travel_exdrama_r_105_binocularsFind_B","2","1053","","0","0.2","1","0","travel_exdrama_r_105_binoculars","1010530005"
"3","butterfly","10","1053","","0","0.2","1","0","idle","1010530006"
"32","1","10501","1053","","","","","","","1010530007"
"32","1","10001","1053","","","","","","","1010530008"
"93","0","2.6","1053","","","","","","","1010530009"
"32","0","10501","1053","","","","","","","1010530010"
"32","1","10501","1053","","","","","","","1010530011"
"93","0","0.4","1053","","","","","","","1010530012"
"32","0","10501","1053","","","","","","","1010530013"
"32","0","10001","1053","","","","","","","1010530014"
"4","1","1000002","1054","","","","","","","1010540001"
"4","1","2","1054","","","","","","","1010540002"
"3","travel_exdrama_r_finish_B_hand","1000001","1054","","0","0","0","0","","1010540003"
"3","travel_exdrama_r_finish_B","1000002","1054","","0","0","0","0","","1010540004"
"3","travel_exdrama_r_105_net_finish","1","1054","","0","0","0","0","","1010540005"
"3","travel_exdrama_r_105_binoculars_finish","2","1054","","0","0","0","0","","1010540006"
"3","stop","10","1054","","0","0","0","0","","1010540007"
"31","10600","10600","1061","","-350","1","1","","5","1010610001"
"31","10601","10601","1061","","-350","0","1","","5","1010610002"
"31","10602","10602","1061","","-350","0","1","","5","1010610003"
"31","10603","10603","1061","","-350","0","1","","5","1010610004"
"31","10604","10604","1061","","-350","1","1","","5","1010610005"
"31","10605","10605","1061","","-350","1","1","","5","1010610006"
"31","10001","10001","1061","","-525","0","1","","50","1010610007"
"1","1000001","1","1061","travel_exdrama_r_106_idle_A","18","1.46","-224","0","-497","1010610008"
"1","1000002","1","1061","travel_exdrama_r_106_idle_B","2","1.46","-116","0","-208","1010610009"
"5","1","1","1061","travel_exdrama_r_106_idle_A","30","1.46","-224","0","-497","1010610010"
"5","2","1","1061","travel_exdrama_r_000_none","3","1.46","-116","0","-208","1010610011"
"23","se_travel_finish_beach_rare","se_travel","1062","","0","","","","","1010620001"
"3","travel_exdrama_r_106_rare_A","1000001","1062","","0","0","1","0.2","travel_exdrama_r_106_idle_A","1010620002"
"3","travel_exdrama_r_106_rare_B","1000002","1062","","0","0","1","0.2","travel_exdrama_r_106_idle_B","1010620003"
"3","travel_exdrama_r_106_rare_A","1","1062","","0","0","1","0.2","travel_exdrama_r_106_idle_A","1010620004"
"3","travel_exdrama_r_106_rare_B","2","1062","","0","0","0","0.2","travel_exdrama_r_000_none","1010620005"
"32","1","10603","1062","","","","","","","1010620006"
"93","0","1.2","1062","","","","","","","1010620007"
"32","0","10603","1062","","","","","","","1010620008"
"23","se_travel_finish_beach_event","se_travel","1063","","0","","","","","1010630001"
"3","travel_exdrama_r_106_memory_A","1000001","1063","","0","0","1","0","travel_exdrama_r_106_idle_A","1010630002"
"3","travel_exdrama_r_106_memory_B","1000002","1063","","0","0","1","0","travel_exdrama_r_106_idle_B","1010630003"
"3","travel_exdrama_r_106_memory_A","1","1063","","0","0","1","0","travel_exdrama_r_106_idle_A","1010630004"
"32","1","10601","1063","","","","","","","1010630005"
"32","1","10602","1063","","","","","","","1010630006"
"32","1","10001","1063","","","","","","","1010630007"
"93","0","3","1063","","","","","","","1010630008"
"32","0","10601","1063","","","","","","","1010630009"
"32","0","10602","1063","","","","","","","1010630010"
"32","0","10001","1063","","","","","","","1010630011"
"4","1","1000002","1064","","","","","","","1010640001"
"4","1","1000001","1064","","","","","","","1010640002"
"4","1","2","1064","","","","","","","1010640003"
"3","travel_exdrama_r_106_finish_A","1000001","1064","","0","0","","0","","1010640004"
"3","travel_exdrama_r_106_finish_B","1000002","1064","","0","0","","0","","1010640005"
"3","travel_exdrama_r_106_rare_A","1","1064","","0","0","","0","","1010640006"
"3","travel_exdrama_r_000_none","2","1064","","0","0","","0","","1010640007"
"31","10700","10700","1071","","-350","1","1","","5","1010710001"
"31","10701","10701","1071","","-350","1","1","","5","1010710002"
"31","10702","10702","1071","","-350","0","1","","5","1010710003"
"31","10703","10703","1071","","-350","0","1","","5","1010710004"
"31","10001","10001","1071","","-525","0","1","","50","1010710005"
"1","1000001","1","1071","travel_exdrama_r_107_dig_A","32","1.46","-170","0","-470","1010710006"
"1","1000002","1","1071","travel_exdrama_r_107_dig_B","30","1.46","-170","1","-215","1010710007"
"5","1","1","1071","travel_exdrama_r_107_dig_A","33","1.46","-170","0","-470","1010710008"
"5","10","1","1071","travel_exdrama_r_107_dig_B","31","1.46","-170","1","-215","1010710009"
"23","se_travel_finish_raredrop","se_travel","1072","","0","","","","","1010720001"
"3","travel_exdrama_r_107_joy","1000001","1072","","0","0.2","1","0.2","travel_exdrama_r_107_dig_A","1010720002"
"3","travel_exdrama_r_107_joy","1000002","1072","","0","0.2","1","0.2","travel_exdrama_r_107_dig_B","1010720003"
"3","travel_exdrama_r_107_joy","1","1072","","0","0.2","1","0.2","travel_exdrama_r_107_dig_A","1010720004"
"3","travel_exdrama_r_107_joy","10","1072","","0","0.2","1","0.2","travel_exdrama_r_107_dig_B","1010720005"
"32","0","10701","1072","","","","","","","1010720006"
"32","1","10702","1072","","","","","","","1010720007"
"93","0","1.4","1072","","","","","","","1010720008"
"32","1","10701","1072","","","","","","","1010720009"
"32","0","10702","1072","","","","","","","1010720010"
"23","se_travel_finish_memory_event","se_travel","1073","","0","","","","","1010730001"
"3","travel_exdrama_r_107_surprise_A","1000001","1073","","0","0.2","1","0","travel_exdrama_r_107_dig_A","1010730002"
"3","travel_exdrama_r_107_surprise_B","1000002","1073","","0","0.2","1","0","travel_exdrama_r_107_dig_B","1010730003"
"3","travel_exdrama_r_107_surprise_A","1","1073","","0","0.2","1","0","travel_exdrama_r_107_dig_A","1010730004"
"3","travel_exdrama_r_107_surprise_B","10","1073","","0","0.2","1","0","travel_exdrama_r_107_dig_B","1010730005"
"32","1","10703","1073","","","","","","","1010730006"
"32","1","10001","1073","","","","","","","1010730007"
"32","0","10701","1073","","","","","","","1010730008"
"93","0","3","1073","","","","","","","1010730009"
"32","0","10703","1073","","","","","","","1010730010"
"32","0","10001","1073","","","","","","","1010730011"
"32","1","10701","1073","","","","","","","1010730012"
"4","1","1000002","1074","","","","","","","1010740001"
"4","1","10","1074","","","","","","","1010740002"
"3","travel_exdrama_r_finish_B_hand","1000001","1074","","0","0","0","0","","1010740003"
"3","travel_exdrama_r_finish_B_hand","1000002","1074","","0","0","0","0","","1010740004"
"3","travel_exdrama_r_107_finish_A","1","1074","","0","0","0","0","","1010740005"
"3","travel_exdrama_r_107_finish_A","10","1074","","0","0","0","0","","1010740006"
"32","0","10701","1074","","","","","","","1010740007"
"31","10800","10800","1081","","-350","1","1","","5","1010810001"
"31","10401","10401","1081","","-350","1","1","","5","1010810002"
"31","10402","10402","1081","","-350","0","1","","5","1010810003"
"31","10403","10403","1081","","-350","0","1","","5","1010810004"
"31","10001","10001","1081","","-525","0","1","","50","1010810005"
"1","1000001","1","1081","travel_exdrama_r_104_fishingIdle","12","1.46","-150","0","-450","1010810006"
"1","1000002","1","1081","travel_exdrama_r_104_idle_B","10","1.46","-125","0","-200","1010810007"
"5","1","2","1081","travel_exdrama_r_104_fishingIdle","11","1.46","-150","0","-450","1010810008"
"5","10","4","1081","none","20","1","-150","0","-350","1010810009"
"23","se_travel_finish_bridge_rare","se_travel","1082","","0","","","","","1010820001"
"3","travel_exdrama_r_104_fishingCatch","1000001","1082","","0","0.2","1","0.2","travel_exdrama_r_104_fishingIdle","1010820002"
"3","travel_exdrama_r_104_glad_B","1000002","1082","","0","0.2","1","0.2","travel_exdrama_r_104_idle_B","1010820003"
"3","travel_exdrama_r_104_fishingCatch","1","1082","","0","0.2","1","0.2","travel_exdrama_r_104_fishingIdle","1010820004"
"3","fish","10","1082","","0","0","1","0","none","1010820005"
"32","1","10402","1082","","","","","","","1010820006"
"93","0","1.25","1082","","","","","","","1010820007"
"32","0","10402","1082","","","","","","","1010820008"
"23","se_travel_finish_bridge_event","se_travel","1083","","0","","","","","1010830001"
"3","travel_exdrama_r_104_fishingBig","1000001","1083","","0","0","1","0","travel_exdrama_r_104_fishingIdle","1010830002"
"3","travel_exdrama_r_104_surprise_B","1000002","1083","","0","0","1","0","travel_exdrama_r_104_idle_B","1010830003"
"3","travel_exdrama_r_104_fishingBig","1","1083","","0","0","1","0","travel_exdrama_r_104_fishingIdle","1010830004"
