ae33ec63944ab649868f7f315127bedfafb52879fe2963f8b0697518b7f6c415,d24624e8b953e028593b562d9064a3e080077ad01aad4c6781e57237bc1ad093,72144f5b4d886d1645e61ce4ff89393dbf511aa63ff3851dd25d8d9354e15c8c,c478b83649baa34501a2f61d5ad92999c296669a4d7c82dbbc9a172ce50864bb,3005883638fc32540b5a7ede649e568e5ac701504de2968faf3e081ad1d476c6
"3","4100103","バトル開始時、すべてのキャラのＴＰ上昇を小ダウンさせる。","ＴＰ上昇ダウン","10010306"
"9","4100103","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","ＨＰ吸収ダウン","10010307"
"13","4100104","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","水属性ボーナス特大アップ","10010401"
"18","4100104","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","10010402"
"boss_def_lower_limit","4100104","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","10010403"
"boss_magic_def_lower_limit","4100104","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","10010404"
"boss_tp_down_cut","4100104","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット","10010405"
"3","4100104","バトル開始時、すべてのキャラのＴＰ上昇を小ダウンさせる。","ＴＰ上昇ダウン","10010406"
"9","4100104","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","ＨＰ吸収ダウン","10010407"
"13","4100105","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","水属性ボーナス特大アップ","10010501"
"18","4100105","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","10010502"
"boss_def_lower_limit","4100105","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","10010503"
"boss_magic_def_lower_limit","4100105","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","10010504"
"boss_tp_down_cut","4100105","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット","10010505"
"17","4100105","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","10010506"
"9","4100105","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","10010507"
"14","4100106","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","風属性ボーナス特大アップ","10010601"
"18","4100106","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","10010602"
"boss_def_lower_limit","4100106","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","10010603"
"boss_magic_def_lower_limit","4100106","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","10010604"
"boss_tp_down_cut","4100106","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット","10010605"
"17","4100106","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","10010606"
"9","4100106","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","10010607"
"12","4100107","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","10010701"
"18","4100107","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","ダメージ減衰","10010702"
"boss_def_lower_limit","4100107","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","10010703"
"boss_magic_def_lower_limit","4100107","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","10010704"
"boss_tp_down_cut","4100107","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット","10010705"
"17","4100107","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","ＴＰ上昇上限付与","10010706"
"9","4100107","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","ＨＰ吸収ダウン","10010707"
"16","4100108","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","闇属性ボーナス特大アップ","10010801"
"38","4100108","すべてのモンスターが一度の行動で受けるダメージの値が「2000000」以上の場合、ダメージの値に応じてダメージ量を減少させる。","ダメージ減衰","10010802"
"boss_def_lower_limit","4100108","バトル開始時、すべてのモンスターの物理防御力を特大アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","10010803"
"boss_magic_def_lower_limit","4100108","バトル開始時、すべてのモンスターの魔法防御力を特大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","10010804"
"boss_tp_down_cut","4100108","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット","10010805"
"3","4100108","バトル開始時、すべてのキャラのＴＰ上昇を小ダウンさせる。","ＴＰ上昇ダウン","10010806"
"9","4100108","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","ＨＰ吸収ダウン","10010807"
"15","4100109","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","光属性ボーナス特大アップ","10010901"
"38","4100109","すべてのモンスターが一度の行動で受けるダメージの値が「2000000」以上の場合、ダメージの値に応じてダメージ量を減少させる。","ダメージ減衰","10010902"
"boss_def_lower_limit","4100109","バトル開始時、すべてのモンスターの物理防御力を特大アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","10010903"
"boss_magic_def_lower_limit","4100109","バトル開始時、すべてのモンスターの魔法防御力を特大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","10010904"
"boss_tp_down_cut","4100109","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","ＴＰダウンカット","10010905"
"3","4100109","バトル開始時、すべてのキャラのＴＰ上昇を小ダウンさせる。","ＴＰ上昇ダウン","10010906"
"9","4100109","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","ＨＰ吸収ダウン","10010907"
"12","4100110","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","火属性ボーナス特大アップ","10011001"
"38","4100110","すべてのモンスターが一度の行動で受けるダメージの値が「2000000」以上の場合、ダメージの値に応じてダメージ量を減少させる。","ダメージ減衰","10011002"
"boss_def_lower_limit","4100110","バトル開始時、すべてのモンスターの物理防御力を特大アップさせる。この効果は物理防御力ダウンの影響を受けない。","物理防御力（ダウン不可）アップ","10011003"
"boss_magic_def_lower_limit","4100110","バトル開始時、すべてのモンスターの魔法防御力を特大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","魔法防御力（ダウン不可）アップ","10011004"
"boss_tp_down_cut","4100110","バトル開始時、すべてのモンスターがＴＰダウン\n50％カット状態になる。","ＴＰダウンカット","10011005"
"3","4100110","バトル開始時、すべてのキャラのＴＰ上昇を中ダウンさせる。","ＴＰ上昇ダウン","10011006"
"9","4100110","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","ＨＰ吸収ダウン","10011007"
