9f2c581990d59bf54634c37efaa4c74aa1911149d2778c319f6338807aef1cd7,219342901ffdde79c5d8e3e48f806f07db47b37ff63726df79bedcfae22f9fc0,e8ac20b49324943da8cc2b65c5e7dc6eae4baab511b256a9025b2700059aa510,24ab343a9e7b94fa860799a1cfd8694e74a802d3a96385ffb54506094c87aeac,66e79c19b7f5c0856a29d464fdcc227e5ee7ff9c9aab2f215fa665faccfe981c,40362c45ba33712ef2f598ed74aac6c4cb1601e59aaa0058d55e7a7cbcec9e32,38a487e9fe3198cf98bc3233e2f006bd999055cdaa5bce1b58907e286b2df5da,6f0bb4bf1e8f4c51cc3421da96cb4be198fcaf7002cd7c946e90bfe6f034fa59,a5ebc582a6ca20bf59351789f2bc4969b1537aee944e700fc16e0165920770c3
"21600","2","336","6","31","","","84","93001"
"21600","2","340","6","32","","","85","93001"
"14400","3","3","2","1","","","1","20001"
"9600","3","5","2","2","","","1","20001"
"7200","3","7","2","3","","","1","20001"
"5400","3","10","2","4","","","1","20001"
"3600","3","15","2","5","","","1","20001"
"9600","3","6","2","6","","","1","20002"
"7200","3","8","2","7","","","1","20002"
"4800","3","12","2","8","","","1","20002"
"3600","3","16","2","9","","","1","20002"
"2700","3","20","2","10","","","1","20002"
"10800","3","6","2","11","","","1","20003"
"9000","3","8","2","12","","","1","20003"
"7200","3","12","2","13","","","1","20003"
"5400","3","16","2","14","","","1","20003"
"3600","3","20","2","15","","","1","20003"
"2880","3","30","2","16","","","1","20003"
"12600","3","7","2","17","","","1","20004"
"11400","3","8","2","18","","","1","20004"
"10200","3","9","2","19","","","1","20004"
"9300","3","10","2","20","","","1","20004"
"8700","3","10","2","21","","","1","20004"
"6600","3","13","2","22","","","1","20004"
"6300","3","14","2","23","","","1","20004"
"6000","3","15","2","24","","","1","20004"
"5700","3","15","2","25","","","1","20004"
"5400","3","16","2","26","","","1","20004"
"5100","3","17","2","27","","","1","20004"
"4860","3","18","2","28","","","1","20004"
"4620","3","19","2","29","","","1","20004"
"4440","3","20","2","30","","","1","20004"
"4260","3","21","2","31","","","1","20004"
"4080","3","22","2","32","","","1","20004"
"21600","4","12000","12","1","","","3000","94002"
"21600","4","18000","12","2","","","4500","94002"
"21600","4","24000","12","3","","","6000","94002"
"21600","4","30000","12","4","","","7500","94002"
"21600","4","42000","12","5","","","10500","94002"
"21600","4","54000","12","6","","","13500","94002"
"21600","4","66000","12","7","","","16500","94002"
"21600","4","84000","12","8","","","21000","94002"
"21600","4","102000","12","9","","","25500","94002"
"21600","4","120000","12","10","","","30000","94002"
"21600","4","144000","12","11","","","36000","94002"
"21600","4","168000","12","12","","","42000","94002"
"21600","4","192000","12","13","","","48000","94002"
"21600","4","222000","12","14","","","55500","94002"
"21600","4","252000","12","15","","","63000","94002"
"21600","4","282000","12","16","","","70500","94002"
"21600","4","318000","12","17","","","79500","94002"
"21600","4","354000","12","18","","","88500","94002"
"21600","4","390000","12","19","","","97500","94002"
"21600","4","432000","12","20","","","108000","94002"
"21600","4","474000","12","21","","","118500","94002"
"21600","4","516000","12","22","","","129000","94002"
"21600","4","562000","12","23","","","140500","94002"
"21600","4","600000","12","24","","","150000","94002"
"21600","4","642000","12","25","","","160500","94002"
"21600","4","684000","12","26","","","171000","94002"
"21600","4","726000","12","27","","","181500","94002"
"21600","4","768000","12","28","","","192000","94002"
"21600","4","810000","12","29","","","202500","94002"
"21600","4","852000","12","30","","","213000","94002"
"21600","4","894000","12","31","","","223500","94002"
"21600","4","920000","12","32","","","230000","94002"
"21600","5","48","6","1","","","12","93001"
"21600","6","48","6","1","","","12","93001"
"21600","7","48","6","1","","","12","93001"
"21600","8","48","6","1","","","12","93001"
"21600","11","48","6","1","","","12","93001"
"21600","12","48","6","1","","","12","93001"
"21600","19","48","6","1","","","12","93001"
"0","23","0","0","0","4999999999","14999999999","1","0"
"21600","25","48","6","1","","","12","93001"
"21600","28","48","6","1","","","12","93001"
"21600","30","48","6","1","","","12","93001"
