a31aaaed36477e24390f09483ff442520c40fba1a63bb72e03f9f99de1567501,e85ee405e60d983983f489b860f7aa602cfa4ca61e519895341a900c74b78a20,2f89073b4a9eb25e24691e7321a79c4abda0497ccd223dfa0ba72df0b3943107,aa82004355c440a1aeba596d757d5550c4762ecd8c2877268ff390ec573cf12b,bb0b97f7b3a9486a4f8d950d1a5f464eb8438cb3a45516c113cf950b0596ec9a,bedda206e32dfb2ff787e1d08371ef7a5fc31eb910e723fe13a5916354c699c0
"4","25","14","500012","1","400"
"0","0","12","500021","0","0"
"107","10000","14","500031","30","1"
"2999130","0","1","500041","0","2500"
"50005","0","3","500051","0","1"
"2999195","0","1","500061","0","50000"
"2999197","0","1","500071","0","50000"
"2999202","0","1","500081","0","50000"
"100","10000","14","500091","30","1"
"101","10000","14","500092","30","1"
"2999203","0","1","500101","0","50000"
"1","0","10","500111","0","0"
"1","0","9","500121","0","0"
"1","0","11","500131","0","0"
"2999206","0","1","500141","0","50000"
