d1d9d0a1edffec3f2c5cdcabdd47f85f5cdd5e7bcb7a57b13ec164680dc2304d,9927bcec84413d192b6978297e8a74ea18c5096de1e379c33c333b70b9ea4b10,b9dc7938027e3a954f385f880fcae023a92699fbb020aa757cab9ff145d1311f,e99c906abfdcaa79ec96d7a1475c3408aaeacef0aef8556d36ca076c4d9acc36,3103e91c35e5334110a0c8145acf3aef2994a7b042aa7d5a17d58d98a9c588c0,3d380ae6f897d5edaad711cc272ab3cab44352ef4d79589a04c9c890e6440035,209f216876c0664dafbc77fd634594d429822e94c0e2644c86e0197c6a1fa605,182318e4f8d595462efa4c3958e5a7e5a7386706b7fd1b034110466ecb0e73b6,c59ccb3aa51f5633767e424e5ab3975b976712b742f898c820a43543708f65ea
"2","","29","","1","20004","3","4620","19"
"2","","30","","1","20004","3","4440","20"
"2","","31","","1","20004","3","4260","21"
"2","","32","","1","20004","3","4080","22"
"2","","33","","1","20004","3","3960","22"
"2","","34","","1","20004","3","3840","23"
"12","","1","","3000","94002","4","21600","12000"
"12","","2","","4500","94002","4","21600","18000"
"12","","3","","6000","94002","4","21600","24000"
"12","","4","","7500","94002","4","21600","30000"
"12","","5","","10500","94002","4","21600","42000"
"12","","6","","13500","94002","4","21600","54000"
"12","","7","","16500","94002","4","21600","66000"
"12","","8","","21000","94002","4","21600","84000"
"12","","9","","25500","94002","4","21600","102000"
"12","","10","","30000","94002","4","21600","120000"
"12","","11","","36000","94002","4","21600","144000"
"12","","12","","42000","94002","4","21600","168000"
"12","","13","","48000","94002","4","21600","192000"
"12","","14","","55500","94002","4","21600","222000"
"12","","15","","63000","94002","4","21600","252000"
"12","","16","","70500","94002","4","21600","282000"
"12","","17","","79500","94002","4","21600","318000"
"12","","18","","88500","94002","4","21600","354000"
"12","","19","","97500","94002","4","21600","390000"
"12","","20","","108000","94002","4","21600","432000"
"12","","21","","118500","94002","4","21600","474000"
"12","","22","","129000","94002","4","21600","516000"
"12","","23","","140500","94002","4","21600","562000"
"12","","24","","150000","94002","4","21600","600000"
"12","","25","","160500","94002","4","21600","642000"
"12","","26","","171000","94002","4","21600","684000"
"12","","27","","181500","94002","4","21600","726000"
"12","","28","","192000","94002","4","21600","768000"
"12","","29","","202500","94002","4","21600","810000"
"12","","30","","213000","94002","4","21600","852000"
"12","","31","","223500","94002","4","21600","894000"
"12","","32","","230000","94002","4","21600","920000"
"12","","33","","235000","94002","4","21600","940000"
"12","","34","","240000","94002","4","21600","960000"
"6","","1","","12","93001","5","21600","48"
"6","","1","","12","93001","6","21600","48"
"6","","1","","12","93001","7","21600","48"
"6","","1","","12","93001","8","21600","48"
"6","","1","","12","93001","11","21600","48"
"6","","1","","12","93001","12","21600","48"
"6","","1","","12","93001","19","21600","48"
"0","14999999999","0","4999999999","1","0","23","0","0"
"6","","1","","12","93001","25","21600","48"
"6","","1","","12","93001","28","21600","48"
"6","","1","","12","93001","30","21600","48"
