ce44615f70e71135730386b86ef09b195037e3b9cbca9ffb0ec4a27859988226,5ec262cc0e43b406ded444c456e236c8401fef8e90c92696178b1b623fda5d85,c54ea4fb690b22e98d3b03ae1a0cdeb58e7bd5d601077274ad9892f1bfe6049f,a35c9478d176cd7f0a7e9ee183adc919704bda84e18632401dc4921e00900692,4d380fe5080c1f369ee3dd9202665fc266dc14c4e64c3ffc37136b1efcf80893,7862902d57a327261f5fb399a4172ea19a4ef16bcc83ef37bc9faac042e388eb,c40c692c5aacdf73b4272af8acd12aa7a06bb6a1d09e743f67fad991438617cd,1c3f329c1591afac0e29bc4e579dc5ae87f59f70439644eee7090b2d881554bc,1af256e600379b46a94f0256b0fddb79f209a5095d9d8640b1f8a31e45be7abe,6dcd4917fd096f4e1fbeb0839fafcb9ab5d3707715c9576772c091d1f75edd21,f1c6ce6dc617ae03e4aa4a7bcf03e63def153ba1b3490e19ec1f87d7205ce1b1
"-1","0","8","0","113411","8","0","0","1080004","11","ハツネちゃんも\n練習のお手伝いを\nしちゃうのだ～！\nきらーん☆"
"","","","","3.6","8","","","1080005","93",""
"","","0","0.2","113411","8","","","1080006","3","pkb_hatsune_kiran"
"","","","","1080004","8","","","1080007","91",""
"","","1","0.2","113411","8","","","1080008","3","pkb_idle_normal"
"pkb_idle_normal","1","100","1.65","1","9","-175","64","1090001","1","113411"
"","","1","0.2","113411","9","","","1090002","3","pkb_talk_joy2"
"","","0","","vo_minigame_1006","9","","0","1090003","21","vo_minigame_1006_top_203"
"0","0","6","0","113411","9","0","0","1090004","11","私も投げてみたいな！\n超能りょ…じゃなくて\n魔法で、すごい球を\n投げちゃうよ！"
"","","","","3","9","","","1090005","93",""
"","0.2","0","0.2","113411","9","1","pkb_idle_surprise1","1090006","3","pkb_surprise"
"","","","","1","9","","","1090007","93",""
"","","1","0.2","113411","9","","","1090008","3","pkb_talk_joy3"
"","","","","1090004","9","","","1090009","91",""
"","","1","0.2","113411","9","","","1090010","3","pkb_idle_normal"
"pkb_idle_normal","1","100","1.65","1","10","-175","64","1100001","1","106531"
"","","0","0.2","106531","10","1","pkb_idle_arm_crossed","1100002","3","pkb_talk_arm_crossed"
"","","0","","vo_minigame_1006","10","","0","1100003","21","vo_minigame_1006_top_301"
"0","0","8","0","106531","10","0","0","1100004","11","なあ、練習始めようぜ\n早く投げたくて\nウズウズしてるんだ！"
"","","","","2.8","10","","","1100005","93",""
"","","1","0.2","106531","10","","","1100006","3","pkb_talk_joy1"
"","","","","1100004","10","","","1100007","91",""
"","","1","0.2","106531","10","","","1100008","3","pkb_idle_normal"
"pkb_idle_normal","1","100","1.65","1","11","-175","64","1110001","1","106531"
"","","1","0.2","106531","11","","","1110002","3","pkb_talk_normal"
"","","0","","vo_minigame_1006","11","","0","1110003","21","vo_minigame_1006_top_302"
"0","0","8","0","106531","11","0","0","1110004","11","オレ様の特訓は\n半端じゃねえぜ\n覚悟しとけよ？"
"","","","","3.2","11","","","1110005","93",""
"","0.2","0","0.2","106531","11","1","pkb_idle_arm_crossed","1110006","3","pkb_talk_arm_crossed"
"","","","","1110004","11","","","1110007","91",""
"","","1","0.2","106531","11","","","1110008","3","pkb_idle_normal"
"pkb_idle_normal","1","100","1.65","1","12","-175","64","1120001","1","106531"
"","0.2","0","0.2","106531","12","1","pkb_idle_arm_crossed","1120002","3","pkb_talk_arm_crossed"
"","","0","","vo_minigame_1006","12","","0","1120003","21","vo_minigame_1006_top_303"
"0.5","0","8","0","106531","12","0","0","1120004","11","威勢がいいのは口だけ\nじゃねえってとこ\n見せてくれよな？"
"","","","","3.2","12","","","1120005","93",""
"","","0","0.2","106531","12","1","pkb_idle_doya","1120006","3","pkb_talk_doya"
"","","","","1120004","12","","","1120007","91",""
"","","1","0.2","106531","12","","","1120008","3","pkb_idle_normal"
"pkb_idle_normal","1","100","1.65","1","13","-175","64","1130001","1","102311"
"","0.4","0","0.2","102311","13","1","pkb_talk_joy1","1130002","3","pkb_talk_fun"
"","","0","","vo_minigame_1006","13","","0","1130003","21","vo_minigame_1006_top_401"
"0","0","8","0","102311","13","0","0","1130004","11","今日も打っちゃうよ！\n一緒にがんばろうね\nぷうきち！"
"","","","","1130004","13","","","1130005","91",""
"","","1","0.2","102311","13","","","1130006","3","pkb_idle_normal"
"pkb_idle_normal","1","100","1.65","1","14","-175","64","1140001","1","102311"
"","","1","0.2","102311","14","","","1140002","3","pkb_talk_joy1"
"","","0","","vo_minigame_1006","14","","0","1140003","21","vo_minigame_1006_top_402"
"0","0","8","0","102311","14","0","0","1140004","11","全部ホームラン\n打てばいいんだよね？\nそれくらい簡単だよ！"
"","","","","3","14","","","1140005","93",""
"","","0","0.2","102311","14","1","pkb_idle_doya","1140006","3","pkb_talk_doya"
"","","","","1140004","14","","","1140007","91",""
"","","1","0.2","102311","14","","","1140008","3","pkb_idle_normal"
"pkb_idle_normal","1","100","1.65","1","15","-175","64","1150001","1","102311"
"","","1","0.2","102311","15","","","1150002","3","pkb_talk_wish"
"","","0","","vo_minigame_1006","15","","0","1150003","21","vo_minigame_1006_top_403"
"-0.5","0","8","0","102311","15","0","0","1150004","11","お兄ちゃんたちの\nお手本になれる\nように、いっぱい\n打つからね！"
"","","","","2.4","15","","","1150005","93",""
"","0.4","0","0.2","102311","15","1","pkb_talk_joy1","1150006","3","pkb_talk_fun"
"","","","","1150004","15","","","1150007","91",""
"","","1","0.2","102311","15","","","1150008","3","pkb_idle_normal"
"pkb_idle_normal_l","1","100","57","1","16","-155","64","1160001","5","1"
"","0.2","0","0.2","1","16","1","pkb_idle_arm_crossed_l","1160002","3","pkb_talk_arm_crossed_l"
"","","0","","vo_minigame_1006","16","","0","1160003","21","vo_minigame_1006_top_701"
"0","0","8","0","1","16","0","0","1160004","11","全国大会を目指して\n今日も練習頑張ろう！"
"","","","","2.6","16","","","1160005","93",""
"","0.2","0","0.2","1","16","1","pkb_idle_doya_l","1160006","3","pkb_talk_doya_l"
"","","","","1160004","16","","","1160007","91",""
"","","1","0.2","1","16","","","1160008","3","pkb_idle_normal_l"
"pkb_idle_normal_l","1","100","57","1","17","-155","64","1170001","5","1"
"","","0","0.2","1","17","1","pkb_idle_guts_l","1170002","3","pkb_talk_guts_l"
"","","0","","vo_minigame_1006","17","","0","1170003","21","vo_minigame_1006_top_702"
"0","0","8","0","1","17","0","0","1170004","11","夢を叶えるために\n全力で練習に\n取り組もう！"
"","","","","0","17","","","1170005","91",""
"","","1","0.2","1","17","","","1170006","3","pkb_idle_normal_l"
"pkb_idle_normal_l","1","100","57","1","18","-155","64","1180001","5","1"
"","0.2","0","0.2","1","18","1","pkb_idle_arm_crossed_l","1180002","3","pkb_talk_arm_crossed_l"
"","","0","","vo_minigame_1006","18","","0","1180003","21","vo_minigame_1006_top_703"
"0","0","8","0","1","18","0","0","1180004","11","部員のみんなも\nすごく上達してる…\n俺も負けてられない！"
"","","","","2.9","18","","","1180005","93",""
"","","0","0.2","1","18","1","pkb_idle_guts_l","1180006","3","pkb_talk_guts_l"
"","","","","1180004","18","","","1180007","91",""
"","","1","0.2","1","18","","","1180008","3","pkb_idle_normal_l"
"pkb_idle_normal_l","1","100","57","2","19","-155","64","1190001","5","2"
"","0.2","0","0.2","2","19","1","pkb_idle_arm_crossed_l","1190002","3","pkb_talk_arm_crossed_l"
"","","0","","vo_minigame_1006","19","","0","1190003","21","vo_minigame_1006_top_801"
"0","0","8","0","2","19","0","0","1190004","11","上達してるってとこ\n見せてやる\nオレだって選手なんだ"
"","","","","3.8","19","","","1190005","93",""
"","","0","0.2","2","19","1","pkb_idle_guts_l","1190006","3","pkb_talk_guts_l"
"","","","","1190004","19","","","1190007","91",""
"","","1","0.2","2","19","","","1190008","3","pkb_idle_normal_l"
"pkb_idle_normal_l","1","100","57","2","20","-155","64","1200001","5","2"
"","","0","0.2","2","20","1","pkb_idle_guts_l","1200002","3","pkb_talk_guts_l"
"","","0","","vo_minigame_1006","20","","0","1200003","21","vo_minigame_1006_top_802"
"0","0","8","0","2","20","0","0","1200004","11","今日もかっとばす\n遠慮せず全力で\nかかってこい"
"","","","","3.2","20","","","1200005","93",""
"","","0","0.2","2","20","1","pkb_idle_doya_l","1200006","3","pkb_talk_doya_l"
"","","","","1200004","20","","","1200007","91",""
"","","1","0.2","2","20","","","1200008","3","pkb_idle_normal_l"
"pkb_idle_normal_l","1","100","57","2","21","-155","64","1210001","5","2"
"","0.2","0","0.2","2","21","1","pkb_idle_arm_crossed_l","1210002","3","pkb_talk_arm_crossed_l"
"","","0","","vo_minigame_1006","21","","0","1210003","21","vo_minigame_1006_top_803"
"0","0","8","0","2","21","0","0","1210004","11","全国を目指してんだ\nもっと練習しなきゃ\nいけねえよな"
"","","","","0","21","","","1210005","91",""
"","","1","0.2","2","21","","","1210006","3","pkb_idle_normal_l"
"pkb_idle_normal","0","100","1.6","1","22","-150","-20","1220001","1","113511"
"pkb_idle_normal","1","100","1.6","1","22","-150","170","1220002","1","113411"
"","","1","0.2","113511","22","","","1220003","3","pkb_talk_joy1"
"","","0","","vo_minigame_1006","22","","0","1220004","21","vo_minigame_1006_top_talk_1_101"
"-0.5","0","6","0","113511","22","0","0","1220005","11","ふふ、みんなすごく\n張り切ってるわね\nハツネちゃんの応援の\nおかげかしら♪"
"","","","","0","22","","","1220006","91",""
"","","1","0.2","113511","22","","","1220007","3","pkb_idle_normal"
"","","1","0.2","113411","22","","","1220008","3","pkb_talk_joy1"
"","","0","","vo_minigame_1006","22","","0","1220009","21","vo_minigame_1006_top_talk_1_202"
"-0.5","0","6","0","113411","22","0","0","1220010","11","そうかなー？\nじゃあもっと応援\nがんばっちゃうぞ～！"
"","","","","4","22","","","1220011","93",""
"","0","0","0.2","113411","22","1","pkb_idle_normal","1220012","3","pkb_talk_handsup"
"","","","","1220010","22","","","1220013","91",""
"","","1","0.2","113411","22","","","1220014","3","pkb_idle_normal"
"pkb_idle_normal","1","100","1.6","1","23","-150","170","1230001","1","113411"
"pkb_idle_normal","0","100","1.6","1","23","-150","-20","1230002","1","113511"
"","","1","0.2","113411","23","","","1230003","3","pkb_talk_normal"
"","","0","","vo_minigame_1006","23","","0","1230004","21","vo_minigame_1006_top_talk_2_201"
"-1.5","0","8","0","113411","23","0","0","1230005","11","ミサト先生も一緒に\n応援しようよ！"
"","","","","0","23","","","1230006","91",""
"","","1","0.2","113411","23","","","1230007","3","pkb_idle_normal"
"","","1","0.2","113511","23","","","1230008","3","pkb_talk_normal"
"","","0","","vo_minigame_1006","23","","0","1230009","21","vo_minigame_1006_top_talk_2_102"
"3","0","5","0","113511","23","0","0","1230010","11","あらあら\n楽しそうね～♪\nフレーフレー！"
"","","","","4","23","","","1230011","93",""
"","0.2","0","0.2","113511","23","0","pkb_talk_fun","1230012","3","pkb_talk_fun"
"","","","","2.7","23","","","1230013","93",""
"","0.2","0","0.2","113511","23","1","pkb_talk_joy1","1230014","3","pkb_idle_normal"
"","","","","1230010","23","","","1230015","91",""
"","","1","0.2","113511","23","","","1230016","3","pkb_idle_normal"
"pkb_idle_normal","1","100","1.6","1","24","-150","170","1240001","1","113511"
"pkb_idle_normal","0","100","55","3","24","-130","-20","1240002","5","3"
"","","1","0.2","113511","24","","","1240003","3","pkb_talk_joy3"
"","","0","","vo_minigame_1006","24","","0","1240004","21","vo_minigame_1006_top_talk_3_101"
"-1","0","6","0","113511","24","0","0","1240005","11","ダイチくんったら\nすごい気合いね～！\nでも、無理しちゃ\n駄目ですよ～？"
"","","","","4","24","","","1240006","93",""
"","","1","0.2","113511","24","","","1240007","3","pkb_talk_wish"
"","","","","1240005","24","","","1240008","91",""
"","","1","0.2","113511","24","","","1240009","3","pkb_idle_normal"
"","","1","0.2","3","24","","","1240010","3","pkb_talk_normal"
"","","0","","vo_minigame_1006","24","","0","1240011","21","vo_minigame_1006_top_talk_3_602"
"-1","0","6","0","3","24","0","0","1240012","11","わかってるっつーの\nけどよ、ビーチベース\nボールが楽しくて\n仕方ねえんだよ！"
"","","","","2","24","","","1240013","93",""
"","","0","0.2","3","24","1","pkb_idle_doya","1240014","3","pkb_talk_doya"
"","","","","1240012","24","","","1240015","91",""
"","","1","0.2","3","24","","","1240016","3","pkb_idle_normal"
"pkb_idle_normal","0","100","55","3","25","-130","-20","1250001","5","3"
"pkb_idle_normal","1","100","1.6","1","25","-150","170","1250002","1","113511"
"","0.2","0","0.2","3","25","1","pkb_idle_arm_crossed","1250003","3","pkb_talk_arm_crossed"
"","","0","","vo_minigame_1006","25","","0","1250004","21","vo_minigame_1006_top_talk_4_601"
"-0.5","0","8","0","3","25","0","0","1250005","11","今の俺たちなら\n全国行けるぜ！\n絶対に夢を\n叶えようぜ！"
"","","","","3","25","","","1250006","93",""
"","","0","0.2","3","25","1","pkb_idle_guts","1250007","3","pkb_talk_guts"
"","","","","1250005","25","","","1250008","91",""
"","","1","0.2","3","25","","","1250009","3","pkb_idle_normal"
"","","1","0.2","113511","25","","","1250010","3","pkb_talk_wish"
"","","0","","vo_minigame_1006","25","","0","1250011","21","vo_minigame_1006_top_talk_4_102"
"1","0","6","0","113511","25","0","0","1250012","11","ええ、あなたたちなら\n行けるって信じてるわ\n頑張りましょう～♪"
"","","","","5.6","25","","","1250013","93",""
"","0.2","0","0.2","113511","25","1","pkb_idle_normal","1250014","3","pkb_talk_handsup"
"","","","","0","25","","","1250015","91",""
"","","1","0.2","113511","25","","","1250016","3","pkb_idle_normal"
"pkb_idle_normal","1","100","1.6","1","26","-150","170","1260001","1","113511"
"pkb_idle_normal","0","100","55","1","26","-130","-20","1260002","5","1"
"","","1","0.2","113511","26","","","1260003","3","pkb_talk_joy3"
"","","0","","vo_minigame_1006","26","","0","1260004","21","vo_minigame_1006_top_talk_5_101"
"0","0","6","0","113511","26","0","0","1260005","11","ふふ、先生も\n練習のお手伝いを\nしますからね～"
"","","","","0","26","","","1260006","91",""
"","","1","0.2","113511","26","","","1260007","3","pkb_idle_normal"
"","0.2","0","0.2","1","26","1","pkb_idle_guts","1260008","3","pkb_talk_guts"
"","","0","","vo_minigame_1006","26","","0","1260009","21","vo_minigame_1006_top_talk_5_702"
"-1","0","8","0","1","26","0","0","1260010","11","先生、ありがとう\nございます！\n俺も気合い入れて\n頑張ります！"
"","","","","0","26","","","1260011","91",""
"","","1","0.2","1","26","","","1260012","3","pkb_idle_normal"
"pkb_idle_normal","0","100","55","1","27","-130","-20","1270001","5","1"
"pkb_idle_normal","1","100","1.6","1","27","-150","170","1270002","1","113511"
"","0.2","0","0.2","1","27","1","pkb_idle_arm_crossed","1270003","3","pkb_talk_arm_crossed"
"","","0","","vo_minigame_1006","27","","0","1270004","21","vo_minigame_1006_top_talk_6_701"
"-0.5","0","8","0","1","27","0","0","1270005","11","今日もボールが\nピカピカだ…\nきっと先生が\n磨いてくれたんだ…！"
"","","","","2.6","27","","","1270006","93",""
"","0.2","0","0.2","1","27","1","pkb_idle_guts","1270007","3","pkb_talk_guts"
"","","","","1270005","27","","","1270008","91",""
"","","1","0.2","1","27","","","1270009","3","pkb_idle_normal"
"","","1","0.2","113511","27","","","1270010","3","pkb_talk_joy3"
"","","0","","vo_minigame_1006","27","","0","1270011","21","vo_minigame_1006_top_talk_6_102"
"0.5","0","6","0","113511","27","0","0","1270012","11","私にできることを\nしただけですよ～\nみんなが気持ちよく\n練習できたらなって♪"
"","","","","4","27","","","1270013","93",""
"","","1","0.2","113511","27","","","1270014","3","pkb_talk_wish"
"","","","","1270012","27","","","1270015","91",""
"","","1","0.2","113511","27","","","1270016","3","pkb_idle_normal"
"pkb_idle_normal","1","100","1.6","1","28","-150","170","1280001","1","113411"
"pkb_idle_normal","0","100","55","3","28","-130","-20","1280002","5","3"
"","0.2","0","0.2","113411","28","1","pkb_talk_joy1","1280003","3","pkb_talk_yell"
"","","0","","vo_minigame_1006","28","","0","1280004","21","vo_minigame_1006_top_talk_7_201"
"-0.5","0","8","0","113411","28","0","0","1280005","11","みんな、頑張れ～♪\nかっこいいところ\n期待してるよー！\nファイトファイト～！"
"","","","","4.6","28","","","1280006","93",""
"","0.2","0","0.2","113411","28","1","pkb_idle_normal","1280007","3","pkb_talk_fun"
"","","","","1280005","28","","","1280008","91",""
"","","1","0.2","113411","28","","","1280009","3","pkb_idle_normal"
"","","0","0.2","3","28","1","pkb_idle_guts","1280010","3","pkb_talk_guts"
"","","0","","vo_minigame_1006","28","","0","1280011","21","vo_minigame_1006_top_talk_7_602"
"0","0","8","0","3","28","0","0","1280012","11","応援が沁みるぜ…\nハツネちゃんに\nいいとこ見せるぞ！\nうおおぉぉ！！"
"","","","","5","28","","","1280013","93",""
"","","0","0.2","3","28","1","pkb_idle_normal","1280014","3","pkb_talk_handsup"
"","","","","1280012","28","","","1280015","91",""
"","","1","0.2","3","28","","","1280016","3","pkb_idle_normal"
"pkb_idle_normal","0","100","55","3","29","-130","-20","1290001","5","3"
"pkb_idle_normal","1","100","1.6","1","29","-150","170","1290002","1","113411"
"","0.2","0","0.2","3","29","1","pkb_idle_arm_crossed","1290003","3","pkb_talk_arm_crossed"
"","","0","","vo_minigame_1006","29","","0","1290004","21","vo_minigame_1006_top_talk_8_601"
"-1","0","8","0","3","29","0","0","1290005","11","かなりハードな練習に\nなりそうなんだ\nビシッと気合いが入る\n応援を頼むぜ！"
"","","","","2.8","29","","","1290006","93",""
"","","0","0.2","3","29","1","pkb_idle_guts","1290007","3","pkb_talk_guts"
"","","","","1290005","29","","","1290008","91",""
"","","1","0.2","3","29","","","1290009","3","pkb_idle_normal"
"","","1","0.2","113411","29","","","1290010","3","pkb_talk_joy1"
"","","0","","vo_minigame_1006","29","","0","1290011","21","vo_minigame_1006_top_talk_8_202"
"-0.5","0","8","0","113411","29","0","0","1290012","11","任せてよ！\nいつもよりいっぱい\n応援しちゃうよ～！"
"","","","","2.2","29","","","1290013","93",""
"","0.4","0","0.2","113411","29","0","pkb_smile","1290014","3","pkb_talk_fun"
"","","","","2.2","29","","","1290015","93",""
"","","1","0.2","113411","29","","","1290016","3","pkb_idle_normal"
"","","","","1290012","29","","","1290017","91",""
"","","1","0.2","113411","29","","","1290018","3","pkb_idle_normal"
"pkb_idle_normal","1","100","1.6","1","30","-150","170","1300001","1","113411"
"pkb_idle_normal","0","100","55","1","30","-130","-20","1300002","5","1"
"","","1","0.2","113411","30","","","1300003","3","pkb_talk_joy1"
"","","0","","vo_minigame_1006","30","","0","1300004","21","vo_minigame_1006_top_talk_9_201"
"1","0","8","0","113411","30","0","0","1300005","11","いっぱい応援するから\n今日も練習頑張ってね\n目指せ、全国大会～！"
"","","","","5","30","","","1300006","93",""
"","","0","0.2","113411","30","1","pkb_idle_normal","1300007","3","pkb_talk_handsup"
"","","","","1300005","30","","","1300008","91",""
"","","1","0.2","113411","30","","","1300009","3","pkb_idle_normal"
"","","1","0.2","1","30","","","1300010","3","pkb_talk_normal"
"","","0","","vo_minigame_1006","30","","0","1300011","21","vo_minigame_1006_top_talk_9_702"
"-1","0","8","0","1","30","0","0","1300012","11","ハツネちゃんの応援は\n俺たちの力に\nなってるよ\nいつもありがとう！"
"","","","","3.3","30","","","1300013","93",""
"","","0","0.2","1","30","1","pkb_idle_guts","1300014","3","pkb_talk_guts"
"","","","","1300012","30","","","1300015","91",""
"","","1","0.2","1","30","","","1300016","3","pkb_idle_normal"
"pkb_idle_normal","0","100","55","1","31","-130","-20","1310001","5","1"
"pkb_idle_normal","1","100","1.6","1","31","-150","170","1310002","1","113411"
"","0.2","0","0.2","1","31","1","pkb_idle_arm_crossed","1310003","3","pkb_talk_arm_crossed"
"","","0","","vo_minigame_1006","31","","0","1310004","21","vo_minigame_1006_top_talk_10_701"
"-1.5","0","8","0","1","31","0","0","1310005","11","キャプテンとして\nもっと上手くなって\nみんなを引っ張って\nいかないと！"
"","","","","3.6","31","","","1310006","93",""
"","","0","0.2","1","31","1","pkb_idle_doya","1310007","3","pkb_talk_doya"
"","","","","1310005","31","","","1310008","91",""
"","","1","0.2","1","31","","","1310009","3","pkb_idle_normal"
"","","1","0.2","113411","31","","","1310010","3","pkb_talk_joy1"
"","","0","","vo_minigame_1006","31","","0","1310011","21","vo_minigame_1006_top_talk_10_202"
"-0.5","0","8","0","113411","31","0","0","1310012","11","おっ、アサヒくん！\n気合い入ってるね！\nその意気なのだ～！\n頑張れ頑張れ～☆"
"","","","","3.6","31","","","1310013","93",""
"","","0","0.2","113411","31","0","pkb_talk_fun","1310014","3","pkb_talk_fun"
"","","","","3","31","","","1310015","93",""
"","","1","0.2","113411","31","","","1310016","3","pkb_idle_normal"
"","","","","1310012","31","","","1310017","91",""
"pkb_idle_normal","0","100","55","2","32","-130","-20","1320001","5","2"
"pkb_idle_normal","1","100","1.6","1","32","-150","170","1320002","1","113411"
"","","0","0.2","2","32","1","pkb_idle_guts","1320003","3","pkb_talk_guts"
"","","0","","vo_minigame_1006","32","","0","1320004","21","vo_minigame_1006_top_talk_11_801"
"0","0","8","0","2","32","0","0","1320005","11","ハツネちゃん…\nホームラン打つって\n約束するから\nしっかり見ててくれよ"
"","","","","5","32","","","1320006","93",""
"","","0","0.2","2","32","1","pkb_idle_doya","1320007","3","pkb_talk_doya"
"","","","","1320005","32","","","1320008","91",""
"","","1","0.2","2","32","","","1320009","3","pkb_idle_normal"
"","","1","0.2","113411","32","","","1320010","3","pkb_talk_joy2"
"","","0","","vo_minigame_1006","32","","0","1320011","21","vo_minigame_1006_top_talk_11_202"
"0","0","8","0","113411","32","0","0","1320012","11","うん、わかった！\n特大ホームランを\nよろしくねー！\n期待してるよ～！"
"","","","","4.6","32","","","1320013","93",""
"","0.2","0","0.2","113411","32","1","pkb_idle_normal","1320014","3","pkb_hatsune_kiran"
"","","","","1320012","32","","","1320015","91",""
"","","1","0.2","113411","32","","","1320016","3","pkb_idle_normal"
"pkb_idle_normal","1","100","1.6","1","33","-150","170","1330001","1","102311"
"pkb_idle_normal","0","100","55","2","33","-130","-20","1330002","5","2"
"","","1","0.2","102311","33","","","1330003","3","pkb_talk_normal"
"","","0","","vo_minigame_1006","33","","0","1330004","21","vo_minigame_1006_top_talk_12_401"
"-0.5","0","8","0","102311","33","0","0","1330005","11","声出し練習やろうよ！\n「ぷうきち\nフルスイング」って\n大声で百回～！"
"","","","","1.6","33","","","1330006","93",""
"","0.2","0","0.2","102311","33","1","pkb_talk_joy1","1330007","3","pkb_talk_yell"
"","","","","1330005","33","","","1330008","91",""
"","","1","0.2","102311","33","","","1330009","3","pkb_idle_normal"
"","","0","","vo_minigame_1006","33","","0","1330010","21","vo_minigame_1006_top_talk_12_802"
"0","0","8","0","2","33","0","0","1330011","11","ぷ、ぷうきち\nフルスイーング！\n…これはこれで\nキツい練習だな"
"","","","","0.5","33","","","1330012","93",""
