9ecd376445305791e3024b14921c4bd32fc8f443264177986370c2a374422e98,c9d67418493c478d07a8fae1ef3ebcda40ca09c21d0793eaac381a0095b2246d,11992eea048f82aa4f273f01667dfd049c5b3c4d1a95042f51416f00c96d40bf,d2007a24207b05365484dc4d3257f9ba02bbab0a19ab2c8d6794ab9a5d4101c0,c4cedfb9b221f64405be610ecb1d8fd0a65b3d62f42e652a3b139465efdad7d1,4a2988f68f45901adad5e2ff53c63e2d3af861aaed8bee2869d6d87b6ea6b4f6,9d78f63822ea23cadd6d05776428111e96f8c991aa99df82de990c8b4643af75,76cd05e6a38f9a31c055e4b7429e3ff3f85ded2cc1c6e9d2c4092570b107605d,2fe1587ba75b2a9754002f4d9d68f180b14c66a75a3f553eb4ae691e5072e960,47561e7e914284ff7a2a2fed2c2df42b2d75bff69be55a9c8514a9e0646d89f4,83739ebabc5ebf30cdb55e3766b1b9b4d76254d1a395e610ae83e6208f56fbca
"","61167","","2","","1058","2","5146061","-278","-225","0"
"","61168","","2","","105911","2","5146061","-288","-385","0"
"","61169","","2","","1059","2","5146061","-288","-385","0"
"","61170","","","","106011","4","5146061","","0",""
"","61171","","","","1060","4","5146061","","0",""
"","61172","","","","105811","4","5146061","","1",""
"","61173","","","","1058","4","5146061","","1",""
"","61174","","","","105911","4","5146061","","1",""
"","61175","","","","1059","4","5146061","","1",""
"","61176","","","","2","93","5146061","","0",""
"","61177","","","","106011","4","5146061","","1",""
"","61178","","","","1060","4","5146061","","1",""
"","61179","","","","105811","4","5146061","","0",""
"","61180","","","","1058","4","5146061","","0",""
"","61181","","","","105911","4","5146061","","0",""
"","61182","","","","1059","4","5146061","","0",""
"","61183","","","0.2","106011","3","5146061","1","joy_idle_doya_shy",""
"","61184","","","0.2","1060","3","5146061","1","joy_idle_doya_shy",""
"","61185","","","0.2","105811","3","5146061","1","idle_normal",""
"","61186","","","0.2","1058","3","5146061","1","idle_normal",""
"","61187","","","0.2","105911","3","5146061","1","kokkoro_idle_normal_joy",""
"","61188","","","0.2","1059","3","5146061","1","kokkoro_idle_normal_joy",""
"","61189","","","","0.3","93","5146061","","0",""
"","61190","0.2","guts2_talk_joy","0.2","105811","3","5146061","0","jump_short","1"
"","61191","0.2","guts2_talk_joy","0.2","1058","3","5146061","0","jump_short","1"
"","61192","","0","","vo_apg","21","5146061","0","vo_apg_0112",""
"0","61193","0","1","0","105811","11","5146061","10","はぁ～♪\n楽しかったですねー☆","1"
"","61194","","","","0","91","5146061","","",""
"","61195","","","0.2","105811","3","5146061","1","idle_normal",""
"","61196","","","0.2","1058","3","5146061","1","idle_normal",""
"","61197","","","0.2","105911","3","5146061","1","kokkoro_talk_normal",""
"","61198","","","0.2","1059","3","5146061","1","kokkoro_talk_normal",""
"","61199","","0","","vo_apg","21","5146061","0","vo_apg_0113",""
"0","61200","0","1","0","105911","11","5146061","10","みなさま。\nお写真が\n仕上がったみたいです","1"
"","61201","","","","0","91","5146061","","",""
"","61202","","","0.2","105911","3","5146061","1","kokkoro_idle_normal_joy",""
"","61203","","","0.2","1059","3","5146061","1","kokkoro_idle_normal_joy",""
"","61204","0","armcrossed_talk_dere_shy","0.2","106011","3","5146061","0","armcrossed_in_dere_shy","1"
"","61205","0","armcrossed_talk_dere_shy","0.2","1060","3","5146061","0","armcrossed_in_dere_shy","1"
"","61206","","0","","vo_apg","21","5146061","0","vo_apg_0114",""
"0","61207","0","1","0","106011","11","5146061","10","は～最悪。\n…ま、どんなもんか\n一応見てやるけど♪","1"
"","61208","","","","0","91","5146061","","",""
"","61209","","","","0","22","5146061","","0",""
"","61210","","","0.2","106011","3","5146061","0","armcrossed_idle_anger_lookup",""
"","61211","","","0.2","1060","3","5146061","0","armcrossed_idle_anger_lookup",""
"","61212","","","0.2","105811","3","5146061","1","idle_normal_lookup",""
"","61213","","","0.2","1058","3","5146061","1","idle_normal_lookup",""
"","61214","","","0.2","105911","3","5146061","1","kokkoro_wish_idle_joy_lookup",""
"","61215","","","0.2","1059","3","5146061","1","kokkoro_wish_idle_joy_lookup",""
"","61216","","","0","21","3","5146061","0","coaster_1_in",""
"","61217","","","","se_10055900","23","5146061","0","se_10055900_photo",""
"","61218","","","","2.3","93","5146061","","0",""
"","61219","","","0.2","105811","3","5146061","1","idle_normal_surprise",""
"","61220","","","0.2","1058","3","5146061","1","idle_normal_surprise",""
"","61221","","","0.2","105911","3","5146061","1","kokkoro_idle_normal_surprise",""
"","61222","","","0.2","1059","3","5146061","1","kokkoro_idle_normal_surprise",""
"","61223","0","pointing_loop_noface","0.2","106011","3","5146061","0","pointing_in_noface","1"
"","61224","0","pointing_loop_kyaru","0.2","1060","3","5146061","0","pointing_in_kyaru","1"
"","61225","","0","","vo_apg","21","5146061","0","vo_apg_0115",""
"0","61226","0","1","0","106011","11","5146061","10","ってなによこれーっ！！！\nあたし写ってないじゃない！！？","1"
"","61227","","","","0.5","93","5146061","","1",""
"","61228","","","","30","122","5146061","0.5","30",""
"","61229","","","","61226","91","5146061","","",""
"","61230","","","0.2","105811","3","5146061","1","surprise_talk",""
"","61231","","","0.2","1058","3","5146061","1","surprise_talk",""
"","61232","","0","","vo_apg","21","5146061","0","vo_apg_0116",""
"0","61233","0","1","0","105811","11","5146061","10","……へ？\nキャルちゃんほんとは\n写りたかったんですか？","1"
"","61234","","","","0","91","5146061","","",""
"","61235","","","0.2","105811","3","5146061","1","idle_normal_talk1R",""
"","61236","","","0.2","1058","3","5146061","1","idle_normal_talk1R",""
"","61237","","","0.2","105911","3","5146061","1","kokkoro_sad_talk",""
"","61238","","","0.2","1059","3","5146061","1","kokkoro_sad_talk",""
"","61239","","0","","vo_apg","21","5146061","0","vo_apg_0117",""
"0","61240","0","1","0","105911","11","5146061","10","写りたくないのではと思って\nキャルさまを隠しましたが。\n余計なお世話だったみたいです","1"
"","61241","","","","0","91","5146061","","",""
"","61242","","","0.2","105911","3","5146061","1","kokkoro_idle_normal",""
"","61243","","","0.2","1059","3","5146061","1","kokkoro_idle_normal",""
"","61244","0","shock_loop_shy_red","0.2","106011","3","5146061","0","shock_in_shy_red","1"
"","61245","0","shock_loop_shy_red","0.2","1060","3","5146061","0","shock_in_shy_red","1"
"","61246","","0","","vo_apg","21","5146061","0","vo_apg_0118",""
"0","61247","0","1","0","106011","11","5146061","10","い…いやそういう訳じゃ\nないけどっ！！？","1"
"","61248","","","","0","91","5146061","","",""
"","61249","","","0","21","3","5146061","0","coaster_1_out",""
"","61250","0.2","","0.2","105911","3","5146061","1","kokkoro_idle_normal_joy",""
"","61251","0.2","","0.2","1059","3","5146061","1","kokkoro_idle_normal_joy",""
"","61252","0.2","","0.2","105811","3","5146061","1","joy_talk",""
"","61253","0.2","","0.2","1058","3","5146061","1","joy_talk",""
"","61254","","0","","vo_apg","21","5146061","0","vo_apg_0119",""
"0","61255","0","1","0","105811","11","5146061","10","なんだ♪\nじゃあもう一回乗りましょー♪","1"
"","61256","","","","0","91","5146061","","",""
"","61257","","","0.2","105811","3","5146061","1","joy_idle",""
"","61258","","","0.2","1058","3","5146061","1","joy_idle",""
"","61259","","","0.2","105911","3","5146061","1","kokkoro_wish_talk_normal2",""
"","61260","","","0.2","1059","3","5146061","1","kokkoro_wish_talk_normal2",""
"","61261","","0","","vo_apg","21","5146061","0","vo_apg_0120",""
"0","61262","0","1","0","105911","11","5146061","10","はい、そういたしましょう♪","1"
"","61263","","","","0","91","5146061","","",""
"","61264","","","","0","22","5146061","","0",""
"","61265","","","0.2","105911","3","5146061","1","kokkoro_wish_idle_joy",""
"","61266","","","0.2","1059","3","5146061","1","kokkoro_wish_idle_joy",""
"","61267","","","0.2","106011","3","5146061","1","anger_talk_anger2_red",""
"","61268","","","0.2","1060","3","5146061","1","anger_talk_anger2_red",""
"0","61269","0","0","0","106011","12","5146061","2","2","0"
"0","61270","0","0","0","105811","12","5146061","2","10","0"
"0","61271","0","0","0","105911","12","5146061","2","10","0"
"","61272","","","","2","93","5146061","","0",""
"","61273","","","","61274","101","5146061","","",""
"","61274","","","","0","22","5146061","","0.2",""
"idle_normal","62001","0","-290","1.8","1","1","5146062","103","100911","-278"
"idle_normal","62002","0","-290","1.8","3","5","5146062","104","1009","-278"
"idle_normal","62003","1","290","1.8","1","1","5146062","100","131011","-278"
"","62004","","","","100911","13","5146062","","203",""
"","62005","","","","131011","13","5146062","","200",""
"idle","62006","0","0","0.85","7","5","5146062","15","7","-174"
"empty","62007","0","-132","1","20","5","5146062","210","20","71"
"empty","62008","0","0","1","22","5","5146062","210","22","-42"
"empty","62009","0","0","1","21","5","5146062","60","21","153"
"","62010","","0","1","1","31","5146062","0","1","1"
"","62011","","-57.7","0","2","31","5146062","0","2","1"
"","62012","","0","0","10","31","5146062","0","10","1"
"","62013","","0","0","11","31","5146062","0","11","1"
"","62014","","-278","0","14","31","5146062","-290","14","1"
"","62015","","0","1","20","31","5146062","0","20","1"
"","62016","","","","20","36","5146062","","100911",""
"","62017","","","","20","36","5146062","","20",""
"","62018","","","","20","36","5146062","","22",""
"","62019","","","","0","91","5146062","","0",""
"","62020","","","","0","102","5146062","0","0",""
"","62021","","","","1","93","5146062","","0",""
"","62022","0","cool_talk_dere","0.2","100911","3","5146062","0","cool_in_dere","1"
"","62023","0","cool_talk_dere","0.2","1009","3","5146062","0","cool_in_dere","1"
"","62024","","0","","vo_apg","21","5146062","0","vo_apg_0201",""
"0","62025","0","1","0","100911","11","5146062","10","いざ征かん、極滅禁断秘儀へ！\nさあ、案内を頼むぞ！","1"
"","62026","","","","0","91","5146062","","",""
"","62027","","","0.2","100911","3","5146062","1","cool_idle",""
"","62028","","","0.2","1009","3","5146062","1","cool_idle",""
"","62029","","","0.2","131011","3","5146062","1","wish_talk_joy",""
"","62030","","0","","vo_apg","21","5146062","0","vo_apg_0202",""
"0","62031","0","1","0","131011","11","5146062","10","アンナはんが興味持って\nくれるなんてうれしいわ～\nしっかり案内させてもらいます","1"
"","62032","","","","0","91","5146062","","",""
"","62033","","","0.2","131011","3","5146062","1","wish_idle",""
"","62034","0.2","sad_talk","0.2","100911","3","5146062","0","anna_armcrossed","1"
"","62035","0.2","sad_talk","0.2","1009","3","5146062","0","anna_armcrossed","1"
"","62036","","0","","vo_apg","21","5146062","0","vo_apg_0203",""
"0","62037","0","1","0","100911","11","5146062","10","うむ！　シグルドたちも\n挑んだというその試練、この冥姫も…\nって、え？　\nこれ、もしかして絶叫系…？","1"
"","62038","","","","0","91","5146062","","",""
"","62039","","","0.2","100911","3","5146062","1","sad_idle",""
"","62040","","","0.2","1009","3","5146062","1","sad_idle",""
"","62041","0.2","surprise_talk","0.2","131011","3","5146062","0","maho_talk_normal","1"
"","62042","","0","","vo_apg","21","5146062","0","vo_apg_0204",""
"0","62043","0","1","0","131011","11","5146062","10","このパークの大人気\nアトラクションなんよ～\nあら？　どないしはりました？\n顔色が良くないような…","1"
"","62044","","","","0","91","5146062","","",""
"","62045","","","0.2","131011","3","5146062","1","surprise_idle",""
"","62046","","","0.2","100911","3","5146062","1","anger_talk_shy",""
"","62047","","","0.2","1009","3","5146062","1","anger_talk_shy",""
"","62048","","0","","vo_apg","21","5146062","0","vo_apg_0205",""
"0","62049","0","1","0","100911","11","5146062","10","べべべ、別に　お、怯えてなぞ…\nまったくもって、一向に構わぬが？","1"
"","62050","","","","0","91","5146062","","",""
"","62051","","","0.2","100911","3","5146062","1","anger_idle_shy",""
"","62052","","","0.2","1009","3","5146062","1","anger_idle_shy",""
"","62053","","","0.2","131011","3","5146062","1","worry_talk",""
"","62054","","0","","vo_apg","21","5146062","0","vo_apg_0206",""
"0","62055","0","1","0","131011","11","5146062","10","せやけど、無理はせん方が\nええんとちゃいます？","1"
"","62056","","","","0","91","5146062","","",""
"","62057","","","0.2","131011","3","5146062","1","wish_idle_shy",""
"","62058","","","0.2","100911","3","5146062","1","anger_talk_pain",""
"","62059","","","0.2","1009","3","5146062","1","anger_talk_pain",""
"","62060","","0","","vo_apg","21","5146062","0","vo_apg_0207",""
"0","62061","0","1","0","100911","11","5146062","10","ええい！　か、構わんと言っている！\nここまで案内させて引くわけには…\nいくぞ！　突撃だーーーー！","1"
"","62062","","","","0","91","5146062","","",""
"","62063","","","","0","22","5146062","","0",""
"","62064","","","0.2","100911","3","5146062","1","run_dash_anger2",""
"","62065","","","0.2","1009","3","5146062","1","run_dash_anger2",""
"","62066","","","0.2","131011","3","5146062","1","walk_surprise",""
"","62067","","2","","100911","2","5146062","-278","-129","0"
"","62068","","2","","1009","2","5146062","-278","-129","0"
"","62069","","2","","131011","2","5146062","-278","129","0"
"","62070","","","","14","32","5146062","","1",""
"","62071","","","","14","37","5146062","","left",""
"","62072","","2","","14","33","5146062","-278","-129","0"
"","62073","","","","1","93","5146062","","0",""
"","62074","","","","2","32","5146062","","1",""
"","62075","","","","1.5","93","5146062","","0",""
"","62076","","","","14","32","5146062","","0",""
"","62077","","0","","100911","2","5146062","-331","0","0"
"","62078","","","","20","37","5146062","","scale15",""
"","62079","","","","se_10055900","23","5146062","1","se_10055900_coaster_01",""
"","62080","","0","","vo_apg","21","5146062","0","vo_apg_0208",""
"","62081","","","0","22","3","5146062","0","0208_in",""
"","62082","","","","3.3","93","5146062","","1",""
"","62083","","","0","22","3","5146062","0","0208_mid",""
"","62084","","","","","92","5146062","","",""
"","62085","","","0","22","3","5146062","0","0208_out",""
"","62086","","","","0.2","93","5146062","","0",""
"","62087","","","","0.3","93","5146062","","0",""
"","62088","","","","20","37","5146062","","scale1",""
"","62089","","","","10","32","5146062","","1",""
"","62090","","","","se_10055900_coaster_01","24","5146062","","0.5",""
"","62091","","","","se_10055900","23","5146062","1","se_10055900_coaster_02",""
"","62092","","0","","20","2","5146062","0","0","0"
"","62093","","","","30","122","5146062","0.5","30",""
"","62094","","0","","vo_apg","21","5146062","0","vo_apg_0209",""
"","62095","","","0","20","3","5146062","0","0209_in",""
"","62096","","","","2.6","93","5146062","","1",""
"","62097","","","0","20","3","5146062","0","0209_mid",""
"","62098","","","","","92","5146062","","",""
"","62099","","","0","20","3","5146062","0","0209_out",""
"","62100","","","","0.2","93","5146062","","0",""
"","62101","","","","30","122","5146062","1","30",""
"","62102","","0","","vo_apg","21","5146062","0","vo_apg_0210",""
"","62103","","","0","20","3","5146062","0","0210_in",""
"","62104","","","","2.7","93","5146062","","1",""
"","62105","","","0","20","3","5146062","0","0210_mid",""
"","62106","","","","","92","5146062","","",""
"","62107","","","0","20","3","5146062","0","0210_out",""
"","62108","","","","0.2","93","5146062","","0",""
"","62109","","","","0","22","5146062","","0",""
"","62110","","","0","20","3","5146062","1","empty",""
"","62111","","","","1","93","5146062","","",""
"","62112","","","","11","32","5146062","","1",""
"","62113","","","","se_10055900","23","5146062","0","se_10055900_camera",""
"","62114","","","","0.2","93","5146062","","0",""
"","62115","","","","10","32","5146062","","0",""
"","62116","","","","1.8","93","5146062","","0",""
"","62117","","","","se_10055900_coaster_02","24","5146062","","0.5",""
"","62118","","","","2","37","5146062","","iris_out",""
"","62119","","0","","100911","2","5146062","-278","-129","0"
"","62120","","0","","1009","2","5146062","-278","-129","0"
"","62121","","0","","131011","2","5146062","-278","129","0"
"","62122","","","0.2","100911","3","5146062","1","anna_walk",""
"","62123","","","0.2","1009","3","5146062","1","anna_walk",""
"","62124","","","0.2","131011","3","5146062","1","walk_normal_joy",""
"","62125","","2","","100911","2","5146062","-278","-290","0"
"","62126","","2","","1009","2","5146062","-278","-290","0"
"","62127","","2","","131011","2","5146062","-278","290","0"
"","62128","","","","100911","4","5146062","","1",""
"","62129","","","","1009","4","5146062","","1",""
"","62130","","","","131011","4","5146062","","0",""
"","62131","","","","2","93","5146062","","0",""
"","62132","","","","100911","4","5146062","","0",""
"","62133","","","","1009","4","5146062","","0",""
"","62134","","","","131011","4","5146062","","1",""
"","62135","","","0.2","100911","3","5146062","1","anna_idle",""
"","62136","","","0.2","1009","3","5146062","1","anna_idle","0"
"","62137","","","0.2","131011","3","5146062","1","idle_normal",""
"","62138","","","","0.5","93","5146062","","0",""
"","62139","","","0.2","131011","3","5146062","1","talk_normal_surprise",""
"","62140","","0","","vo_apg","21","5146062","0","vo_apg_0211",""
"0","62141","0","1","0","131011","11","5146062","10","どないでした？\nえらい声出してはったけど","1"
"","62142","","","","0","91","5146062","","",""
"","62143","","","0.2","131011","3","5146062","1","idle_normal_surprise",""
"","62144","0","anna_kukuku_loop","0.2","100911","3","5146062","0","anna_kukuku_in","1"
"","62145","0","anna_kukuku_loop","0.2","1009","3","5146062","0","anna_kukuku_in","1"
"","62146","","0","","vo_apg","21","5146062","0","vo_apg_0212",""
"0","62147","0","1","20","100911","11","5146062","10","ふ、ふふふ…シグルドよ…\n私にも、刻が…見える！","1"
"","62148","","","","0","91","5146062","","",""
"","62149","","","0","21","3","5146062","0","coaster_2_in",""
"","62150","","","","se_10055900","23","5146062","0","se_10055900_photo",""
"","62151","","","","0.1","93","5146062","","0",""
"","62152","0","anna_ahaha_loop","0.2","100911","3","5146062","0","anna_ahaha_in","1"
"","62153","0","anna_ahaha_loop","0.2","1009","3","5146062","0","anna_ahaha_in","1"
"","62154","","0","","vo_apg","21","5146062","0","vo_apg_0213",""
"0","62155","0","1","-30","100911","11","5146062","10","今、冥姫は\n疾風を追い越した！","1"
"","62156","","","","0","91","5146062","","",""
