73c15349ca46f965500d79cb6637a24278116dde1a63291d3fd7157715362d1e,13f945b983c2245d212c404b64422492f3d8ae2cec275bf2e0980244fae15865,983515c377feca7a1e87b7c122bc320c1916ae09372d9f97f3b4da120ec3b72a,cca7fff9e605a68fcb2c01e93e82992938f3707e63516f2a45339ab67eb367f9,fef2a83cf59940d4ee9fa4c24f09b873b24c3ea153c112705641f49bffd7218a,573f2156eeeacafb3a673b6290ecb3fcb670ab3bb320217dca4573a4b4d3573b
"2","1","60000101","10011004","4","114072"
"2","1","60000102","10011004","4","114102"
"2","1","60000103","10011004","4","114132"
"2","1","60000104","10011004","4","114162"
"2","1","60000105","10011004","4","114191"
"2","1","60000106","10011004","4","114221"
"2","1","60000107","10011004","4","114222"
"2","1","60000108","10011004","4","114252"
"3","1","60000109","10011004","4","114281"
"3","1","60000110","10011004","4","114282"
"3","1","60000111","10011004","4","114312"
"3","1","60000112","10011004","4","114341"
"3","1","60000113","10011004","4","114371"
"3","1","60000114","10011004","4","114372"
"3","1","60000115","10011004","4","114432"
"3","1","60000116","10011004","4","114461"
"3","1","60000117","10011004","4","114522"
"3","1","60000118","10011004","4","114551"
"3","1","60000119","10011004","4","114581"
"2","1","60000120","10011004","4","114611"
"2","1","60000121","10011004","4","124042"
"2","1","60000122","10011004","4","124071"
"2","1","60000123","10011004","4","124101"
"2","1","60000124","10011004","4","124131"
"2","1","60000125","10011004","4","124161"
"2","1","60000126","10011004","4","124192"
"2","1","60000127","10011004","4","124251"
"3","1","60000128","10011004","4","124311"
"3","1","60000129","10011004","4","124342"
"3","1","60000130","10011004","4","124401"
"3","1","60000131","10011004","4","124431"
"3","1","60000132","10011004","4","124491"
"3","1","60000133","10011004","4","124521"
"100","1","60000134","10012098","2","31012"
"100","1","60000135","10012099","2","31038"
"100","1","62001045","62001045","2","60001"
"100","3","62001046","62001046","2","60002"
