d1fa69029c6d7c758ff5975b10008438f42654d6303ff019eac6f013314d14aa,29e3ca3a69bdcb818f3cc4b1a06216be689ba3454ec927f78e96af8cd0193c25,2b6da7edc3a3d6a63891ef2a681c8435b85dff0942e2360a11b3dbb4ca709b58,ffb0124eb395d8c917e255ce5e5d7f52273890af03041464accf7d1f8ba57e3e,cb8ca9965d086e9fa0bff401312ed5f26037e49204922c59a46e220224df4ca0
"2","1","1","10204001","24027"
"2","1","1","10204002","21905"
"2","120","1","10204003","31064"
"5","20000","1","10204004","0"
"2","370","1","10204005","31037"
"2","150","1","10204006","31064"
"4","3","1","10204007","140000"
"2","1","1","10204008","21026"
"5","20000","1","10204009","0"
"2","145","1","10204010","31032"
"2","1","1","10205001","24027"
"2","1","1","10205002","21905"
"5","20000","1","10205003","0"
"2","370","1","10205004","31032"
"4","3","1","10205005","140000"
"5","20000","1","10205006","0"
"2","145","1","10205007","31014"
"2","1","1","10205008","21905"
"5","20000","1","10205009","0"
"2","370","1","10205010","31014"
"4","3","1","10205011","140000"
"5","20000","1","10205012","0"
"2","145","1","10205013","31012"
"2","1","1","10206001","24027"
"2","50","1","10206002","32064"
"2","50","2","10206002","31064"
"2","100","3","10206002","25001"
"2","50","1","10206003","32058"
"2","50","2","10206003","32060"
"2","50","3","10206003","32059"
"2","1000","1","10206004","20005"
"12","100000000","2","10206004","94002"
"4","2000","1","10206005","150005"
"4","2000","2","10206005","150004"
"4","2000","3","10206005","150003"
"4","2000","1","10206006","150008"
"4","2000","2","10206006","150007"
"4","2000","3","10206006","150006"
"2","370","1","10206007","31012"
"5","40000","1","10206008","0"
"2","1","1","10206009","21905"
"4","3","1","10206010","140000"
"2","1","1","10206011","24027"
"5","40000","1","10206012","0"
"2","2","1","10206013","21905"
"2","1","1","10207001","41000"
"5","40000","2","10207001","0"
"2","10000","1","10207002","25011"
"2","4000","2","10207002","25021"
"2","10000","1","10207003","25012"
"2","4000","2","10207003","25021"
"2","10000","1","10207004","25013"
"2","4000","2","10207004","25021"
"2","10000","1","10207005","25014"
"2","4000","2","10207005","25021"
"2","10000","1","10207006","25015"
"2","4000","2","10207006","25021"
"2","1","1","10207007","27022"
"2","1000","1","10301001","20005"
"12","100000000","2","10301001","94002"
"5","20000","1","10301002","0"
"2","10000","1","10301003","25021"
"4","500","1","10301004","150001"
"4","500","2","10301004","150002"
"5","20000","1","10301005","0"
"4","3","1","10301006","140000"
"5","20000","1","10301007","0"
"2","1000","1","10301008","20005"
"12","100000000","2","10301008","94002"
"2","100","1","10301009","90005"
"4","500","1","10302001","150003"
"4","500","2","10302001","150004"
"4","500","3","10302001","150005"
"5","20000","1","10302002","0"
"2","10000","1","10302003","25021"
"4","200","1","10302004","140001"
"5","20000","1","10302005","0"
"2","1000","1","10302006","20005"
"12","100000000","2","10302006","94002"
"5","20000","1","10302007","0"
"2","10000","1","10302008","25021"
"2","1","1","10302009","24027"
"4","500","1","10303001","150006"
"4","500","2","10303001","150007"
"4","500","3","10303001","150008"
"5","20000","1","10303002","0"
"2","10000","1","10303003","25021"
"2","1000","1","10303004","20005"
"12","100000000","2","10303004","94002"
"5","20000","1","10303005","0"
"4","500","1","10303006","150009"
"2","100000","1","10303007","26202"
"18","1","1","10303008","4106501"
"2","1","1","10303009","27026"
"2","100","1","10304001","25001"
"4","500","1","10304002","150009"
"2","10000","1","10304003","25021"
"2","100000","1","10304004","26202"
"18","1","1","10304005","4107501"
"4","500","1","10304006","150009"
"5","40000","1","10304007","0"
"2","10000","1","10304008","25021"
"2","1","1","10304009","24027"
"2","10000","1","10305001","25021"
"2","100000","1","10305002","26202"
"2","6000","1","10305003","25011"
"2","20000","2","10305003","25021"
"2","6000","1","10305004","25012"
"2","20000","2","10305004","25021"
"2","6000","1","10305005","25013"
"2","20000","2","10305005","25021"
"2","6000","1","10305006","25014"
"2","20000","2","10305006","25021"
"2","6000","1","10305007","25015"
"2","20000","2","10305007","25021"
"2","1","1","10305008","27027"
"2","1","1","20101001","24028"
"2","1","1","20101002","24028"
"2","1","1","20101003","24029"
"8","300","1","20101004","91002"
"2","1","1","20101005","28035"
"2","1","1","20101006","24028"
"4","2000","1","20101007","150008"
"4","2000","2","20101007","150009"
"2","100000","1","20101008","25011"
"2","100000","2","20101008","25012"
"2","100000","3","20101008","25013"
"2","100000","4","20101008","25014"
"2","100000","5","20101008","25015"
"2","50000","6","20101008","25021"
"2","3000000","1","20101009","26202"
"2","1000","1","20101010","23003"
"2","1","1","20101011","41000"
"2","1","1","20101012","24028"
"2","1","1","20101013","21953"
"2","1","1","20101014","24028"
"2","1","1","20101015","24029"
"2","1","1","20101016","24028"
"2","1","1","20101017","24028"
"2","1","1","20101018","24029"
"2","1","1","20201001","24028"
"8","150","1","20201002","91002"
"2","1","1","20201003","24028"
"8","150","1","20201004","91002"
"2","1","1","20201005","24029"
"2","10000","1","20201006","20005"
"2","100000","1","20201007","25011"
"2","100000","2","20201007","25012"
"2","100000","3","20201007","25013"
"2","100000","4","20201007","25014"
"2","100000","5","20201007","25015"
"2","50000","6","20201007","25021"
"2","1","1","20201008","24028"
"2","3000000","1","20201009","26202"
"2","1000","1","20201010","23003"
"2","1","1","20201011","41000"
"2","1","1","20201012","21953"
"2","1","1","20201013","24028"
"2","1","1","20201014","24029"
"2","1","1","20201015","24028"
"2","1","1","20201016","24028"
"2","1","1","20201017","24028"
"2","1","1","20201018","24029"
"2","1","1","20301001","24028"
"8","150","1","20301002","91002"
"2","1","1","20301003","24028"
"8","150","1","20301004","91002"
"2","1","1","20301005","24029"
"2","10000","1","20301006","20005"
"2","100000","1","20301007","25011"
"2","100000","2","20301007","25012"
"2","100000","3","20301007","25013"
"2","100000","4","20301007","25014"
"2","100000","5","20301007","25015"
"2","50000","6","20301007","25021"
"2","1","1","20301008","24028"
"2","3000000","1","20301009","26202"
"2","1000","1","20301010","23003"
"2","1","1","20301011","41000"
"2","1","1","20301012","21953"
"2","1","1","20301013","24028"
"2","1","1","20301014","24029"
"2","1","1","20301015","24028"
"2","1","1","20301016","24028"
"2","1","1","20301017","24028"
"2","1","1","20301018","24029"
"2","1","1","20401001","24035"
"8","150","1","20401002","91002"
"2","1","1","20401003","24035"
"8","150","1","20401004","91002"
"2","1","1","20401005","24036"
"2","10000","1","20401006","20005"
"2","100000","1","20401007","25011"
"2","100000","2","20401007","25012"
"2","100000","3","20401007","25013"
"2","100000","4","20401007","25014"
"2","100000","5","20401007","25015"
"2","50000","6","20401007","25021"
"2","1","1","20401008","24035"
"2","3000000","1","20401009","26202"
"2","1000","1","20401010","23003"
"2","1","1","20401011","41000"
"2","1","1","20401012","21953"
"2","1","1","20401013","24035"
"2","1","1","20401014","24036"
"2","1","1","20401015","24035"
"2","1","1","20401016","24035"
"2","1","1","20401017","24035"
"2","1","1","20401018","24036"
"5","2500","1","30101001","0"
"2","10","2","30101001","20003"
"4","50","1","30101002","150001"
"4","50","2","30101002","150002"
"12","100000","1","30101003","94002"
"2","30","1","30101004","50003"
"4","50","1","30101005","150001"
"2","5","1","30101006","31392"
"2","500","1","30101007","25011"
"2","500","2","30101007","25012"
"2","500","3","30101007","25013"
"2","500","4","30101007","25014"
"2","500","5","30101007","25015"
"2","50","1","30101008","23001"
"2","5","1","30101009","31392"
"2","10","1","30101010","20003"
"4","50","1","30101011","150002"
"2","500","1","30101012","25021"
"2","20","1","30101013","31392"
"4","50","1","30102001","150003"
"2","15","1","30102002","31392"
"2","15","1","30102003","31392"
"2","15","1","30102004","31392"
"2","5","1","30102005","90005"
"2","100","1","30102006","23001"
"2","1000","1","30102007","25011"
"2","1000","2","30102007","25012"
"2","1000","3","30102007","25013"
"2","1000","4","30102007","25014"
"2","1000","5","30102007","25015"
"2","15","1","30102008","31392"
"8","50","1","30102009","91002"
"2","20","1","30102010","20003"
"4","50","1","30102011","150003"
"4","75","2","30102011","150004"
"4","50","1","30102012","150001"
"2","15","1","30102013","31392"
"2","20","1","30102014","20003"
"12","200000","1","30102015","94002"
"2","750","1","30102016","25021"
"2","100","1","30102017","23003"
"2","25","1","30102018","31392"
"8","50","1","30103001","91002"
"2","5","1","30103002","90005"
"12","300000","1","30103003","94002"
"2","15","1","30103004","31392"
"2","50","1","30103005","23003"
"2","1500","1","30103006","25011"
"2","1500","2","30103006","25012"
"2","1500","3","30103006","25013"
"2","1500","4","30103006","25014"
"2","1500","5","30103006","25015"
"8","50","1","30103007","91002"
"2","15","1","30103008","31392"
"2","15","1","30103009","31392"
"2","15","1","30103010","31392"
"2","15","1","30103011","31392"
"2","20","1","30103012","20004"
"4","50","1","30103013","150005"
"4","50","2","30103013","150006"
"4","50","3","30103013","150007"
"2","1000","1","30103014","25021"
"2","50","1","30103015","23003"
"2","45","1","30103016","31392"
"8","50","1","30104001","91002"
"2","10","1","30104002","90005"
"12","400000","1","30104003","94002"
"8","100","1","30104004","91002"
"2","20","1","30104005","31392"
"2","20","1","30104006","31392"
"2","20","1","30104007","31392"
"2","20","1","30104008","31392"
"2","2000","1","30104009","25011"
"2","2000","2","30104009","25012"
"2","2000","3","30104009","25013"
"2","2000","4","30104009","25014"
"2","2000","5","30104009","25015"
"2","100","1","30104010","23003"
"2","25","1","30104011","25201"
"2","25","2","30104011","25203"
"2","25","3","30104011","25205"
"2","20","1","30104012","31392"
"2","50","1","30104013","20004"
"4","30","1","30104014","150008"
"4","30","2","30104014","150009"
"4","30","3","30104014","150010"
"2","1250","1","30104015","25021"
"2","100","1","30104016","23003"
"2","50","1","30104017","31392"
