32bbab0e58df49f1ccc255124f7159de316df526ff2f765672f4772a8bc61b9d,6ba95d95593b195746f3135e38f9d2e5ab0971cdf422ba011428dc575d118686,21b6903b70e5984049801e0e215b4012dff2bad68489a80ca499c7aa0734e14a,d6fb1eda551fc3285565016690ff31acdeef9d3d34acab57addaa1e79b8ebd46,9dc5f0385dd9c4b314f0c3b6d6068db615e26e66a5f70520ab980ec3dc2ee25b,8bbcca69014e2c44ce022dccb0adda99cdb543b76d85849f911337e52c808a8e,8031798c6a1001398cbfb711ffbba61a0bbdfdca32d9538f1fbe6bda2c944daa,06c9f222fbe78bcffe3d14886e4beee86858415c411b91daf469017dea336bb5,0e164d8097439d606510666e0232562ab1f71387fe95458af63140f72417d540,945f015ccd95b5ec066110930ffdb9995261edb301527c689a83d9c7b16b2a60,ee2a78e27b00df0f97b85c941cbaee802b672785bb51d1737579b4edde0c1c01
"イベント「ハッピー・チェンジ・エンジェルズ」の\nエンディングを読むと、特別なエピソードが解放されます。","2","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","5048","2021/09/24 21:00:00","ストーリーへ","10075","イベントスペシャルエピソード","0","2021/09/30 11:59:59","1007501"
"イベント「ハッピー・チェンジ・エンジェルズ」で\nラフィからお手紙が届きました！","3","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","5048","2021/09/24 21:00:00","ストーリーへ","10075","イベントスペシャルエピソード","0","2021/09/30 11:59:59","1007502"
"「みんなでおせちパーティー」に\n集合写真が追加されました。","5","","1004","2022/01/14 21:00:00","イベントへ","10082","集合写真追加","5082601","2022/01/18 14:59:59","1008201"
"イベント「新春グルメプリンセス！　一投にかけた乙女たち」\nのスペシャルエピソードが解放されました。","4","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","5056","2022/01/25 21:00:00","ストーリーへ","10083","イベントスペシャルエピソード","5056601","2022/01/31 11:59:59","1008301"
"イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。","3","エクストラストーリーから\n特別なストーリーをご覧いただけます。","5061","2022/03/16 12:00:00","ストーリーへ","10089","イベントスペシャルエピソード","5061601","2022/03/25 14:59:59","1008901"
"イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。","5","","10089","2022/03/23 21:00:00","ストーリーへ","10089","イベントスペシャルエピソード","5061602","2022/03/25 14:59:59","1008902"
"イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。","3","エクストラストーリーから\n特別なストーリーをご覧いただけます。","5061","2022/03/25 15:00:00","ストーリーへ","10089","イベントスペシャルエピソード","5061601","2022/03/31 11:59:59","1008903"
"イベント「エピソード・オブ・パイレーツ　海賊島の呪われし\n遺宝」のスペシャルエピソードが解放されました。","5","","10092","2022/05/14 21:00:00","ストーリーへ","10092","イベントスペシャルエピソード","5092601","2022/05/18 14:59:59","1009201"
"イベント「マホマホ・ミラクル・ジャーニー！　旅する少女と\n最果ての大樹」のスペシャルエピソードが解放されました。","5","","10100","2022/09/14 21:00:00","ストーリーへ","10100","イベントスペシャルエピソード","5100601","2022/09/18 14:59:59","1010001"
"「みんなでおせちパーティー」に\n集合写真が追加されました。","5","","1004","2023/01/23 21:00:00","イベントへ","10109","集合写真追加","5082601","2023/01/25 14:59:59","1010901"
"イベント「エピソード・オブ・パイレーツ　海賊島の呪われし\n遺宝」のスペシャルエピソードが解放されました。","5","","10119","2023/05/23 21:00:00","ストーリーへ","10119","イベントスペシャルエピソード","5092601","2023/05/25 14:59:59","1011901"
"イベント「マホマホ・ミラクル・ジャーニー！　旅する少女と\n最果ての大樹」のスペシャルエピソードが解放されました。","5","","10127","2023/09/25 21:00:00","ストーリーへ","10127","イベントスペシャルエピソード","5100601","2023/09/27 14:59:59","1012701"
"イベント「新春グルメプリンセス！　一投にかけた乙女たち」\nのスペシャルエピソードが解放されました。","4","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","5056","2022/01/25 21:00:00","ストーリーへ","20032","イベントスペシャルエピソード","5056601","2022/01/31 11:59:59","2003201"
