d98e520d00708c44f4725c34d749cbaa01f035190d2630ce85de4a078e98b72e,9bab438197466d90e39e7aecb6830bc8088c09d4e53f67987e68472638af891d,62d1389e707070ea6b088e754fbcf00390ecc71f20d394af10a8df441242ac40,fa9426ae95bc93ea4ac67dceff1413371092a250cebcea4010c2347668935c70,811e508a9188797ce3716328e73106b7e0a8df600910ec976068399e728d6816,180b7bd82bf46133d7cc815bbaea2e9d50f7cb2b0bf296902ed3b777f378cf00,fb447469b6617976b3bf128b8bb9857a0adfaec1f45ed799ef6b0ba5b9983103,b4f43050c203430ea9a09ec64585983c2bcc68c735da67b8e8063a533b7ed34f,127db38526e5e2f55e8724c9a8d3dcfa19bef35fd409fcea3920386fec375139,9ce00f5aed7ba8b8299d4bb16aef9afbcdefae04dd05c1f508be5abad8dfba3a,6c9d77359f757b08e9fdba50a8bb3c382566a1e3290aa36f2e79154478bf7553
"","ま、興味はあるし\n付き合ってあげるわ","","1","11","106031","","1010028","","10",""
"","","","1","91","0","","1010029","","",""
"","はい♪みなさんで\n頂上を目指して\n頑張りましょう！","","1","11","112431","","1010030","","10",""
"","","","1","91","0","","1010031","","",""
"02_uek_cmn_idol_def_N","104431","1.3","2","1","1","0","1020001","0","100","0"
"","02_uek_02_ilya","","2","3","104431","02_uek_02_ilya_loop","1020002","","0","0"
"","はーっはっはっは！\n世界征服への\n第一歩を始めるぞ！","","2","11","104431","0","1020003","","10",""
"","","","2","91","0","","1020004","","","0"
"01_uek_cmn_idol_def_N","105831","1.3","3","1","1","-140","1030001","0","100","-10"
"01_uek_cmn_idol_def_N","105931","1.3","3","1","1","120","1030002","1","100","10"
"01_uek_cmn_idol_def_N","106031","1.3","3","1","1","0","1030003","1","100","0"
"","01_uek_03_peko","","3","3","105831","01_uek_03_peko_loop","1030004","","0","0"
"","01_uek_03_kyaru","","3","3","106031","01_uek_03_kyaru_loop","1030005","","0","0"
"","キャルちゃん！\n見てください\nいい景色ですよ☆","","3","11","105831","0","1030006","","10",""
"","","","3","91","0","","1030007","","",""
"","ちょ、あんた！\n引っぱんないでよ！\n落ちるでしょうが！","","3","11","106031","0","1030008","","10",""
"","","","3","91","0","","1030009","","",""
"","01_uek_03_kokkoro","","3","3","105931","01_uek_cmn_idol_def_N","1030010","","0","1"
"","ふふ、この先も\nきっと素敵な景色が\n待っているはずです","","3","11","105931","0","1030011","","10",""
"02_uek_cmn_idol_def_N","101131","1.3","4","1","1","-120","1040001","0","100","-30"
"02_uek_cmn_idol_def_N","104931","1.3","4","1","1","20","1040002","1","100","-5"
"","02_uek_talk_joy2","","4","3","101131","","1040003","","1",""
"","マスターセンリも\n一発からです！\n頑張りますよ！","","4","11","101131","0","1040004","","10",""
"","","","4","91","0","","1040005","","",""
"","02_uek_cmn_idol_def_N","0.2","4","3","101131","","1040006","","1",""
"","02_uek_04_shizuru","0.2","4","3","104931","","1040007","","1",""
"","それを言うなら\n千里の道も一歩から\nだよ、リノちゃん","","4","11","104931","0","1040008","","10",""
"","","","4","91","0","","1040009","","",""
"","02_uek_cmn_idol_def_N","0.2","4","3","104931","","1040010","","1",""
"02_uek_cmn_idol_def_N","105031","1.3","5","1","1","-70","1050001","0","100","0"
"02_uek_cmn_idol_def_N","101631","1.3","5","1","1","70","1050002","1","100","1"
"","02_uek_05_misaki","","5","3","105031","02_uek_05_misaki_loop","1050003","","0","-15"
"","02_uek_05_suzuna","","5","3","101631","02_uek_05_suzuna_loop","1050004","","0","0"
"","大人の階段を\n登るわよー！","","5","11","105031","0","1050005","","10",""
"","","","5","91","0","","1050006","","","0"
"","うちもモデルの\nてっぺん目指すし！","","5","11","101631","0","1050007","","10",""
"02_uek_cmn_idol_def_N","100531","1.3","6","1","1","120","1060001","1","100","25"
"02_uek_cmn_idol_def_N","103731","1.3","6","1","1","-20","1060002","0","100","5"
"","02_uek_cmn_pose04","","6","3","100531","","1060003","","1",""
"","これくらいの高さで\nへこたれてたら\nヒーロー失格ッス！","","6","11","100531","0","1060004","","10",""
"","","","6","91","0","","1060005","","",""
"","02_uek_talk_normal","0.2","6","3","103731","","1060006","","1",""
"","うん、いい鍛錬に\nなりそうだね\n楽しくなってきたよ","","6","11","103731","0","1060007","","10",""
"","","","6","91","0","","1060008","","",""
"","02_uek_cmn_idol_def_N","0.2","6","3","103731","","1060009","","1",""
"02_uek_cmn_idol_def_N","103831","1.3","7","1","1","-60","1070001","0","100","-20"
"","02_uek_07_shiori","0.2","7","3","103831","","1070002","","1",""
"","あれ…お姉ちゃん\nどこに行ったのかな\n…お姉ちゃーん？","","7","11","103831","","1070003","","10",""
"02_uek_08_kuka_loop","104531","1.3","8","1","1","90","1080001","0","100","40"
"","2","1","8","31","2","60","1080002","","90","1"
"","あ、足に絡みつく\nツタの感触が\nたまりません～～！","","8","11","104531","0","1080003","","10","0"
"","","","8","91","0","","1080004","","",""
"05_idle","105831","0.9","9","1","2","-195","1090001","0","100","-35"
"302102_idle","302102","1.2","9","1","2","150","1090002","0","1000","-30"
"","15","1","9","31","102","50","1090003","","150","1"
"","16","1","9","31","103","400","1090004","","150","1"
"01_uek_cmn_idol_def_N","112531","1.3","10","1","1","-160","1100001","0","100","-25"
"01_uek_cmn_idol_def_N","112431","1.3","10","1","1","-40","1100002","1","100","-5"
"01_uek_cmn_idol_def_N","112631","1.3","10","1","1","125","1100003","1","100","20"
"","01_uek_talk_surprise2","","10","3","112631","","1100004","","1","0"
"","うっひゃ～…！\n足場が雲になるって\nどういうこと！？","","10","11","112631","0","1100005","","10","0"
"","","","10","91","0","","1100006","","",""
"","01_uek_cmn_idol_def_N","0.2","10","3","112631","","1100007","","1","0"
"","01_uek_talk_joy1","","10","3","112431","","1100008","","1",""
"","なんだか不思議な\n感触してますね～\nふわふわですよ♪","","10","11","112431","0","1100009","","10","0"
"","","","10","91","0","","1100010","","",""
"","01_uek_cmn_idol_def_N","0.2","10","3","112431","","1100011","","1",""
"","01_uek_talk_normal","","10","3","112531","","1100012","","1",""
"","落ちたりはしなそう\nだけど…足元には\n気をつけて進もう","","10","11","112531","0","1100013","","10","0"
"","","","10","91","0","","1100014","","",""
"","01_uek_cmn_idol_def_N","0.2","10","3","112531","","1100015","","1",""
"","","","10","91","0","","1100016","","",""
"03_uek_cmn_idol_def_N","104731","1.3","11","1","1","-135","1110001","0","100","-20"
"03_uek_cmn_idol_def_N","107131","1.3","11","1","1","100","1110002","1","100","5"
"","03_uek_11_jun","0","11","3","104731","03_uek_11_jun_loop","1110003","","0","1"
"","03_uek_11_chris","0","11","3","107131","03_uek_cmn_idol_def_N","1110004","0.2","0","1"
"","むむ、視界が白く…\nクリスちゃん、\n気を付けるんだ！","","11","11","104731","","1110005","","10","0"
"","","","11","91","0","","1110006","","",""
"","ははは、鎧の重さで\n沈んでいるぞ団長☆\nそぉれ一本釣りだ！","","11","11","107131","0","1110007","","10","0"
"","","","11","93","1.5","","1110008","","",""
"","-135","","11","2","104731","1.5","1110009","","0","1"
"","","","11","91","1110007","","1110010","","",""
"03_uek_cmn_idol_def_N","101031","1.3","12","1","1","-120","1120001","0","100","-20"
"03_uek_cmn_idol_def_N","101431","1.3","12","1","1","10","1120002","1","100","-5"
"","03_uek_talk_joy1","","12","3","101031","","1120003","","1","0"
"","かわいい雲さんやね\n一緒に連れて\n帰りたいわぁ♪","","12","11","101031","0","1120004","","10","0"
"","","","12","91","0","","1120005","","",""
"","03_uek_cmn_idol_def_N","0.2","12","3","101031","","1120006","","1","0"
"","03_uek_talk_normal","","12","3","101431","","1120007","","1","0"
"","いくらなんでも\nそれは難しいんじゃ\nないかな…？","","12","11","101431","0","1120008","","10","0"
"","","","12","91","0","","1120009","","",""
"","03_uek_cmn_idol_def_N","0.2","12","3","101431","","1120010","","1","0"
"01_uek_cmn_idol_def_N","105831","1.3","13","1","1","-165","1130001","0","100","-45"
"01_uek_cmn_idol_def_N","105931","1.3","13","1","1","-45","1130002","0","100","-20"
"01_uek_cmn_idol_def_N","106031","1.3","13","1","1","120","1130003","1","100","-5"
"","01_uek_talk_normal","","13","3","105931","","1130004","","1","1"
"","かなり高くまで\n登ってまいりました\nですが…","","13","11","105931","0","1130005","","10","0"
"","","","13","91","0","","1130006","","",""
"","01_uek_13_kokkoro","0.2","13","3","105931","01_uek_cmn_idol_def_N","1130007","","0","1"
"","01_uek_13_kyaru","","13","3","106031","01_uek_13_kyaru_loop","1130008","","0","1"
"","全然頂上が\n見えないじゃない！\nどんだけ高いのよ！","","13","11","106031","0","1130009","","10","0"
"","","","13","91","0","","1130010","","",""
"","01_uek_13_peco_loop","","13","3","105831","","1130011","","1","0"
"","いいじゃないですか\n運動のあとの食事は\nまた格別ですよ☆","","13","11","105831","0","1130012","","10","0"
"","","","13","91","0","","1130013","","",""
"03_uek_cmn_idol_def_N","104031","1.3","14","1","1","-86","1140001","0","100","-25"
"","1","1","14","31","1","250","1140002","","0","1"
"","03_uek_14_aoi","","14","3","104031","03_uek_14_aoi_loop","1140003","","0","1"
"","うう、ぼっちへの\n風当たりが\n強すぎませんか！？","","14","11","104031","0","1140004","","10","0"
"03_uek_cmn_idol_def_N","100731","1.3","15","1","1","-75","1150001","0","100","-20"
"03_uek_15_father","103131","1.3","15","1","1","65","1150002","1","100","10"
"","03_uek_15_miyako","","15","3","100731","","1150003","","1","0"
"","空は気持ちいいの～\nこれが天にも昇る\n気持ちってやつなの","","15","11","100731","0","1150004","","10","0"
"","","","15","91","0","","1150005","","",""
"","03_uek_15_father","","15","3","103131","","1150006","","1","0"
"","ガキんちょもか？\nオレも身体が\n軽くなってきたぞ！","","15","11","103131","0","1150007","","10","0"
"","","","15","91","0","","1150008","","",""
"","03_uek_talk_normal","","15","3","103131","","1150009","","1","0"
"","ミヤコさんは\n本当に昇天しちゃ\nだめですよ…？","","15","11","103131","0","1150010","","10","0"
"","","","15","91","0","","1150011","","",""
"","03_uek_cmn_idol_def_N","0.2","15","3","103131","","1150012","","1","0"
"01_uek_cmn_idol_def_N","112431","1.3","16","1","1","-110","1160001","0","100","-45"
"01_uek_cmn_idol_def_N","105831","1.3","16","1","1","40","1160002","1","100","-15"
"01_uek_cmn_idol_def_N","105931","1.3","16","1","1","140","1160003","1","100","10"
"","01_uek_01_kokkoro","","16","3","105931","01_uek_cmn_idol_def_N","1160004","","0","0"
"","01_uek_01_uduki","","16","3","112431","01_uek_cmn_idol_def_N","1160005","","0","1"
"","01_uek_01_peko","","16","3","105831","01_uek_cmn_idol_def_N","1160006","","0","1"
"","","","16","91","0","","1160007","","",""
"","01_uek_talk_normal","","16","3","105931","","1160008","","1","1"
"","ウヅキさま。先は長\nそうですが、休まな\nくて大丈夫ですか？","","16","11","105931","0","1160009","","10","0"
"","","","16","91","0","","1160010","","",""
"","01_uek_cmn_idol_def_N","","16","3","105931","","1160011","","1","1"
"","01_uek_talk_joy1","","16","3","112431","","1160012","","1",""
"","はい、平気です！\nとっても楽しくって\nやばいです☆","","16","11","112431","0","1160013","","10","0"
"","","","16","93","1.5","","1160014","","",""
"","01_uek_16_uduki","0.2","16","3","112431","01_uek_16_uduki_loop","1160015","","0","1"
"","","","16","91","1160013","","1160016","","",""
"","01_uek_talk_joy1","","16","3","105831","","1160017","","1",""
"","元気いっぱいですね\nウヅキさん、一緒に\n頑張りましょう～☆","","16","11","105831","0","1160018","","10","0"
"","","","16","93","2.2","","1160019","","",""
"","01_uek_16_peco","0.2","16","3","105831","01_uek_16_uduki_loop","1160020","","0","1"
"","","","16","91","1160018","","1160021","","",""
"03_uek_cmn_idol_def_N","102331","1.3","17","1","1","150","1170001","1","300","10"
"03_uek_cmn_idol_def_N","102131","1.3","17","1","1","-100","1170002","0","100","-15"
"","3","0","17","31","3","10","1170003","","20","1.3"
"","03_uek_17_ayane","0.2","17","3","102331","03_uek_17_ayane_loop","1170004","0.2","0","1"
"","03_uek_cmn_pose05","0.2","17","3","102131","03_uek_cmn_idol_def_N","1170005","","0","1"
"","1","","17","32","3","","1170006","","",""
"","見て見て！\n雲でぷうきちを\n作ったよー！","","17","11","102331","0","1170007","","10","0"
"","","","17","91","0","","1170008","","",""
"","03_uek_talk_joy1","0.2","17","3","102131","","1170009","","1",""
"","わぁ、すご～い…！\n私も何か\n作りたいなぁ…♪","","17","11","102131","0","1170010","","10","0"
"","","","17","91","0","","1170011","","",""
"","03_uek_cmn_idol_def_N","0.2","17","3","102131","","1170012","","1",""
"01_uek_cmn_idol_def_N","112631","1.3","18","1","1","229","1180001","0","100","45"
"01_uek_cmn_idol_def_N","105831","1.3","18","1","1","170","1180002","0","110","20"
"01_uek_cmn_idol_def_N","105931","1.3","18","1","1","-85","1180003","0","100","-10"
"","01_uek_18_mio","","18","3","112631","01_uek_18_mio_loop","1180004","","0","1"
"","だいぶ登ったね～\nちょっと下のほう\n見てみようよ！","","18","11","112631","0","1180005","","10","0"
"","","","18","91","0","","1180006","","",""
"","01_uek_18_mio","","18","3","105831","01_uek_18_mio_loop","1180007","","0","1"
"","そうですね！\nえーと、どれどれ…\nって、わわわわ！","","18","11","105831","0","1180008","","10","0"
"","","","18","93","3","","1180009","","",""
"","170","","18","2","105831","2","1180010","","5","1"
"","","","18","91","1180008","","1180011","","",""
"","01_uek_18_kokkoro","","18","3","105931","01_uek_cmn_idol_def_N","1180012","","0","1"
"","ふふ、お二人とも\nはしゃがれて、楽し\nそうでございますね","","18","11","105931","0","1180013","","10","0"
"02_uek_19_hatsune","101231","1.3","19","1","1","402","1190001","0","100","110"
"02_uek_talk_surprise2","103831","1.3","19","1","1","166","1190002","0","100","30"
"","02_uek_talk_surprise2","0.2","19","3","103831","","1190003","","1","0"
"","あ！　お姉ちゃん！\nこんなところで\n寝ちゃ危ないよー！","","19","11","103831","0","1190004","","10","0"
"","","","19","91","0","","1190005","","",""
"","しおりんの声が\n聞こえたような…\nすやぁ…☆","","19","11","101231","0","1190006","","10","0"
"05_idle","105831","0.9","20","1","2","-195","1200001","0","100","-35"
"304602_idle","304602","1.4","20","1","2","150","1200002","0","1000","30"
"","17","1","20","31","102","50","1200003","","150","1"
"","18","1","20","31","103","400","1200004","","150","1"
"01_uek_21_kokkoro_loop","105931","1.3","21","1","1","185","1210001","0","110","25"
"01_uek_21_rin_loop","112531","1.3","21","1","1","65","1210002","0","120","-5"
"01_uek_cmn_idol_def_N","106031","1.3","21","1","1","-140","1210003","0","100","-35"
"","風が心地よいですね\n優しく、囁きかけて\nいるように感じます","","21","11","105931","0","1210004","","10","0"
"","","","21","91","0","","1210005","","",""
"","上に向かう私たちに\n蒼い風が語りかけて\nきてるのかもね…","","21","11","112531","0","1210006","","10","0"
"","","","21","91","0","","1210007","","",""
"","01_uek_21_kyaru","","21","3","106031","01_uek_cmn_idol_def_N","1210008","","0","1"
"","…あんたたち\nなんか妙なところで\nシンクロしてるわね","","21","11","106031","0","1210009","","10","0"
"","","","21","91","0","","1210010","","",""
"01_uek_cmn_idol_def_N","105831","1.3","22","1","1","180","1220001","0","100","40"
"","4","1","22","31","4","250","1220002","","420","1.3"
"","01_uek_cmn_pose03","0.2","22","3","105831","","1220003","","1",""
"","おにぎり型の雲って\nどんな味がするんで\nしょう…じゅるり☆","","22","11","105831","0","1220004","","10","0"
"","","","22","91","0","","1220005","","",""
"03_uek_cmn_idol_def_N","105231","1.3","23","1","1","33","1230001","0","100","5"
"03_uek_23_rin","102631","1.3","23","1","1","200","1230002","0","1010","40"
"03_uek_cmn_idol_def_N","103331","1.3","23","1","1","-110","1230003","0","100","-25"
"","5","1","23","31","5","32","1230004","","220","1"
"","03_uek_23_rin","0.2","23","3","102631","","1230005","","1",""
"","この雲、ふかふかで\n気持ちいい～\nぐっすり眠れそう～","","23","11","102631","0","1230006","","10","0"
"","","","23","91","0","","1230007","","",""
"","1100","","23","2","102631","45","1230008","","40","0"
"","1120","","23","33","5","45","1230009","","32","0"
"","03_uek_cmn_pose04","0.2","23","3","105231","","1230010","","1",""
"","03_uek_talk_surprise2","0.2","23","3","103331","","1230011","","1",""
"","リンちゃんの寝てる\n雲が流されてるわ！\nど、どうしよう！","","23","11","105231","0","1230012","","10","0"
"","","","23","91","0","","1230013","","",""
"","干し草のほうが\nふかふかだべー！\n戻ってくるべさー！","","23","11","103331","0","1230014","","10","0"
"","","","23","91","0","","1230015","","",""
"03_uek_24_ayumi","105531","1.3","24","1","1","-240","1240001","0","10","-45"
"","03_uek_24_ayumi","","24","3","105531","","1240002","","1","0"
"","あっ、あそこに\n先輩がいる\nじーーーー…","","24","11","105531","0","1240003","","10","0"
"03_uek_cmn_idol_def_N","103631","1.3","25","1","1","175","1250001","1","100","15"
"03_uek_cmn_idol_def_N","100431","1.3","25","1","1","-36","1250002","0","100","-10"
"03_uek_cmn_idol_def_N","102031","1.3","25","1","1","-158","1250003","0","100","-45"
"","03_uek_cmn_pose06","","25","3","102031","","1250004","","1","0"
"","お空で遊ぶのって\nすごく気持ちいいね\nるんたった～♪","","25","11","102031","0","1250005","","10","0"
"","","","25","91","0","","1250006","","",""
"","03_uek_25_misogi","","25","3","100431","03_uek_25_misogi_loop","1250007","","0","1"
"","うん！　キョウカも\nそう思うでしょー？\n…わぁっ！","","25","11","100431","0","1250008","","10","0"
"","03_uek_25_kyouka","","25","3","103631","03_uek_25_kyouka_loop","1250009","","1","0"
"","","","25","91","0","","1250010","","",""
"","ちょっとミソギ！\n落ちたら危ないから\nおどかさないでよ！","","25","11","103631","0","1250011","","10","0"
"","","","25","91","0","","1250012","","",""
"01_uek_cmn_idol_def_N","104831","1.3","27","1","1","-179","1270001","0","100","-43"
"01_uek_27_tamaki_loop","104631","1.3","27","1","1","0","1270002","0","100","-14"
"01_uek_cmn_idol_def_N","103231","1.3","27","1","1","200","1270003","1","100","24"
"","はぁはぁ…\nも、もう限界にゃ…\n帰りたいにゃ…","","27","11","104631","0","1270004","","10","0"
"","","","27","91","0","","1270005","","",""
"","01_uek_cmn_pose02","","27","3","104831","01_uek_talk_normal","1270006","","0","1"
"","効率的な体力配分で\n登れば、これくらい\n楽勝のはずよ","","27","11","104831","0","1270007","","10","0"
"","","","27","91","0","","1270008","","",""
"","01_uek_cmn_idol_def_N","0.3","27","3","104831","","1270009","","1","0"
"","01_uek_27_akino_loop","","27","3","103231","","1270010","","1","0"
"","おーっほっほっほ！\nいい眺めですわ！\n先が楽しみですわね","","27","11","103231","0","1270011","","10","0"
"04_uek_cmn_idol_def_N","102931","1.3","28","1","1","0","1280001","0","110","-10"
"04_uek_cmn_idol_def_N","104231","1.3","28","1","1","-120","1280002","0","120","-30"
"04_uek_cmn_idol_def_N","105431","1.3","28","1","1","120","1280003","0","100","10"
"","6","0","28","31","6","10","1280004","","35","1.3"
"","9","0","28","31","6","-10","1280005","","-85","1.3"
"","10","0","28","31","6","30","1280006","","155","1.3"
"","04_uek_28_nozomi","0.2","28","3","102931","","1280007","","1",""
"","04_uek_28_chika","0.2","28","3","104231","","1280008","","1",""
"","04_uek_28_tsumugi","0.2","28","3","105431","","1280009","","1",""
"","1","","28","32","6","","1280010","","",""
"","1","","28","32","9","","1280011","","",""
"","1","","28","32","10","","1280012","","",""
"","空の上でも\nカルミナ…\nオンステージ！","","28","11","102931","0","1280013","","10","0"
"","","","28","91","0","","1280014","","",""
"","風が気持ちいい…！\n精霊たちも\n楽しそうです！","","28","11","104231","0","1280015","","10","0"
"","","","28","91","0","","1280016","","",""
"","最っ高ですね！\nアンコールまで\n駆け抜けましょう！","","28","11","105431","0","1280017","","10","0"
"","","","28","91","0","","1280018","","",""
"03_uek_cmn_idol_def_N","101531","1.3","29","1","1","-40","1290001","0","100","-10"
"03_uek_cmn_idol_def_N","101831","1.3","29","1","1","95","1290002","1","100","10"
"","03_uek_talk_joy1","","29","3","101831","","1290003","","1","0"
"","気持ちいいところね\n遠足で生徒たちも\n連れてこようかしら","","29","11","101831","0","1290004","","10","0"
"","","","29","91","0","","1290005","","",""
"","03_uek_cmn_idol_def_N","0.3","29","3","101831","","1290006","","1","0"
"","03_uek_talk_joy1","0.3","29","3","101531","","1290007","","1","0"
"","あらあら～、じゃあ\n里の子どもたちも\nご一緒したいです～","","29","11","101531","0","1290008","","10","0"
"","","","29","91","0","","1290009","","",""
"","03_uek_cmn_idol_def_N","0.3","29","3","101531","","1290010","","1","0"
"05_idle","105831","0.9","30","1","2","-195","1300001","0","100","-35"
"307505_idle","307505","1.5","30","1","2","150","1300002","0","1000","-50"
"","19","1","30","31","102","50","1300003","","150","1"
"","20","1","30","31","103","400","1300004","","150","1"
"","307505_awake","0","30","3","307505","307505_idle","1300005","","0","1"
"01_uek_cmn_idol_def_N","105831","1.3","31","1","1","140","1310001","0","110","10"
"01_uek_cmn_idol_def_N","105931","1.3","31","1","1","20","1310002","0","110","0"
"01_uek_26_kyaru_loop","106031","1.3","31","1","1","-200","1310003","0","110","-55"
"","","","31","93","1","","1310004","","",""
"","1","","31","4","105831","","1310005","","",""
"","01_uek_cmn_pose04","0","31","3","105831","","1310006","","1",""
"","見てください！\nお星様の世界です！\nすごい景色ですね☆","","31","11","105831","","1310007","","10",""
"","","","31","93","2.3","","1310008","","",""
"","01_uek_cmn_idol_def_N","0.2","31","3","105831","","1310009","","0","0"
"","","","31","91","1310007","","1310010","","",""
"","01_uek_cmn_idol_def_N","0.2","31","3","105831","","1310011","","1","0"
"","01_uek_talk_normal","","31","3","105931","","1310012","","1",""
"","本当に素晴らしい\n場所でございます\n堪能いたしましょう","","31","11","105931","","1310013","","10",""
"","","","31","91","0","","1310014","","",""
"","01_uek_cmn_idol_def_N","0.2","31","3","105931","","1310015","","1",""
"","何落ち着いてるのよ\nおかしいでしょ\nなんか色々と…！","","31","11","106031","","1310016","","10",""
"02_uek_32_kuka_loop","104531","1.3","32","1","1","255","1320001","1","100","91"
"02_uek_cmn_idol_def_N","105331","1.3","32","1","1","-97","1320002","0","100","-29"
"02_uek_cmn_idol_def_N","103031","1.3","32","1","1","50","1320003","0","100","0"
"","02_uek_32_kuka","0.5","32","3","104531","","1320004","","0","0"
"","02_uek_cmn_shock_def_N","0.5","32","3","105331","02_uek_talk_surprise2","1320005","","0","1"
"","02_uek_cmn_shock_def_N","0.5","32","3","103031","02_uek_talk_surprise2","1320006","","0","1"
"","","","32","91","0","","1320007","","",""
"","02_uek_talk_surprise2","0.5","32","3","103031","","1320008","","1","0"
"","せっかく見つけた\nクウカがまた\n飛んでマス！","","32","11","103031","0","1320009","","10","0"
"","","","32","91","0","","1320010","","",""
"","02_uek_talk_surprise2","0.5","32","3","105331","","1320011","","1","0"
"","やっぱりよろこんで\nなかったか！？","","32","11","105331","0","1320012","","10","0"
"02_uek_cmn_idol_def_N","100831","1.3","33","1","1","0","1330001","1","100","0"
"","7","1","33","31","7","130","1330002","","-120","1.3"
"","02_uek_33_yuki","0.2","33","3","100831","02_uek_33_yuki_loop","1330003","","0","1"
"","星の輝きを浴びた\nボクはまた一段と\n美しいね…","","33","11","100831","0","1330004","","10","0"
"","","","33","91","0","","1330005","","",""
"02_uek_cmn_idol_def_N","100931","1.3","34","1","1","10","1340001","1","110","0"
"02_uek_cmn_idol_def_N","101331","1.3","34","1","1","180","1340002","1","110","10"
"","","","34","93","1","","1340003","","",""
"","02_uek_cmn_pose01","0.2","34","3","101331","02_uek_cmn_idol_def_N","1340004","0.2","1","1"
"","ウチュウキター！\nテンション爆上がり\nですしおすし！","","34","11","101331","0","1340005","","10","0"
"","","","34","91","0","","1340006","","",""
"","02_uek_34_anna","0.2","34","3","100931","02_uek_34_anna_loop","1340007","0","0","1"
"","くくく…星の力を\n強く感じるぞ！\n覚醒の時は近い…！","","34","11","100931","0","1340008","","10","0"
"01_uek_cmn_idol_def_N","100231","1.3","35","1","1","-200","1350001","1","100","-60"
"01_uek_cmn_idol_def_N","100331","1.3","35","1","1","0","1350002","1","100","10"
"01_uek_cmn_idol_def_N","100131","1.3","35","1","1","200","1350003","1","100","20"
"","8","1","35","31","8","270","1350004","","0","1"
"","01_uek_35_yui","0.2","35","3","100231","01_uek_35_yui_loop","1350005","0.2","0","1"
"","01_uek_35_rei","0.2","35","3","100331","01_uek_35_rei_loop","1350006","0.2","0","1"
"","01_uek_cmn_pose03","0.2","35","3","100131","","1350007","","1",""
"","見て、流れ星…！\nみんなで願い事を\nしようよ","","35","11","100231","0","1350008","","10","0"
"","","","35","91","0","","1350009","","",""
"","ああ、そうだね\n私たちにぴったりな\nシチュエーションだ","","35","11","100331","0","1350010","","10","0"
"","","","35","91","0","","1350011","","",""
"","さんせーい！\nじゃあ、あたしは…\nうーん、うーん…！","","35","11","100131","0","1350012","","10","0"
"","","","35","91","0","","1350013","","",""
