390d86820965cec43be3a5465c16879ce6da897f5f5cb88b5a805cc6fa6553b4,a378f0567d9941b62cc4ad9abc8dd0fda813d280840508a31cc207cb3e3b2f63,6bbe0747a3d6cf111d6b51dfedc6edae8c6012dfe7d446c4411dadc52b1549e9,1b8581bba15c3cf52811f6f4dfa48a7daffca2c75e64922fe4a2cfcdf7adfff3,118b3c9f87815082253c6f2a06f155b7070b650241af9b8e751cc2b6cc8b43a9,5940ea9ee6a4c81543b8575d59bc45b6ff17557d7cc08071de08e6d94495f394,e62a2b387ee42a8dd113669fd573e5101d6996008130c89c8049ca4e9f6f0c18,d5d8c182e65bcba62fe6210a1bd859ad2372625c2de32e7dcb6d6b0990a2c0f1,21cd853247660ee793655e5dc01fe7d4da72f0d60e54d0b638d0e19a758d69e1,77913e3f3ccd376d91b21babd9ec675d9c51ca10f328feede6689df0d876ae0b,cf2a7180d1468b7986f025513afc162b5bb765b859db680e1355de5d6a055ea5
"","","","","91","","0","","","1","1010031"
"1.3","0","0","0","1","02_uek_cmn_idol_def_N","1","104431","100","2","1020001"
"","02_uek_02_ilya_loop","0","","3","","104431","02_uek_02_ilya","0","2","1020002"
"","0","","","11","","104431","はーっはっはっは！\n世界征服への\n第一歩を始めるぞ！","10","2","1020003"
"","","0","","91","","0","","","2","1020004"
"1.3","-140","-10","0","1","01_uek_cmn_idol_def_N","1","105831","100","3","1030001"
"1.3","120","10","1","1","01_uek_cmn_idol_def_N","1","105931","100","3","1030002"
"1.3","0","0","1","1","01_uek_cmn_idol_def_N","1","106031","100","3","1030003"
"","01_uek_03_peko_loop","0","","3","","105831","01_uek_03_peko","0","3","1030004"
"","01_uek_03_kyaru_loop","0","","3","","106031","01_uek_03_kyaru","0","3","1030005"
"","0","","","11","","105831","キャルちゃん！\n見てください\nいい景色ですよ☆","10","3","1030006"
"","","","","91","","0","","","3","1030007"
"","0","","","11","","106031","ちょ、あんた！\n引っぱんないでよ！\n落ちるでしょうが！","10","3","1030008"
"","","","","91","","0","","","3","1030009"
"","01_uek_cmn_idol_def_N","1","","3","","105931","01_uek_03_kokkoro","0","3","1030010"
"","0","","","11","","105931","ふふ、この先も\nきっと素敵な景色が\n待っているはずです","10","3","1030011"
"1.3","-120","-30","0","1","02_uek_cmn_idol_def_N","1","101131","100","4","1040001"
"1.3","20","-5","1","1","02_uek_cmn_idol_def_N","1","104931","100","4","1040002"
"","","","","3","","101131","02_uek_talk_joy2","1","4","1040003"
"","0","","","11","","101131","マスターセンリも\n一発からです！\n頑張りますよ！","10","4","1040004"
"","","","","91","","0","","","4","1040005"
"0.2","","","","3","","101131","02_uek_cmn_idol_def_N","1","4","1040006"
"0.2","","","","3","","104931","02_uek_04_shizuru","1","4","1040007"
"","0","","","11","","104931","それを言うなら\n千里の道も一歩から\nだよ、リノちゃん","10","4","1040008"
"","","","","91","","0","","","4","1040009"
"0.2","","","","3","","104931","02_uek_cmn_idol_def_N","1","4","1040010"
"1.3","-70","0","0","1","02_uek_cmn_idol_def_N","1","105031","100","5","1050001"
"1.3","70","1","1","1","02_uek_cmn_idol_def_N","1","101631","100","5","1050002"
"","02_uek_05_misaki_loop","-15","","3","","105031","02_uek_05_misaki","0","5","1050003"
"","02_uek_05_suzuna_loop","0","","3","","101631","02_uek_05_suzuna","0","5","1050004"
"","0","","","11","","105031","大人の階段を\n登るわよー！","10","5","1050005"
"","","0","","91","","0","","","5","1050006"
"","0","","","11","","101631","うちもモデルの\nてっぺん目指すし！","10","5","1050007"
"1.3","120","25","1","1","02_uek_cmn_idol_def_N","1","100531","100","6","1060001"
"1.3","-20","5","0","1","02_uek_cmn_idol_def_N","1","103731","100","6","1060002"
"","","","","3","","100531","02_uek_cmn_pose04","1","6","1060003"
"","0","","","11","","100531","これくらいの高さで\nへこたれてたら\nヒーロー失格ッス！","10","6","1060004"
"","","","","91","","0","","","6","1060005"
"0.2","","","","3","","103731","02_uek_talk_normal","1","6","1060006"
"","0","","","11","","103731","うん、いい鍛錬に\nなりそうだね\n楽しくなってきたよ","10","6","1060007"
"","","","","91","","0","","","6","1060008"
"0.2","","","","3","","103731","02_uek_cmn_idol_def_N","1","6","1060009"
"1.3","-60","-20","0","1","02_uek_cmn_idol_def_N","1","103831","100","7","1070001"
"0.2","","","","3","","103831","02_uek_07_shiori","1","7","1070002"
"","","","","11","","103831","あれ…お姉ちゃん\nどこに行ったのかな\n…お姉ちゃーん？","10","7","1070003"
"1.3","90","40","0","1","02_uek_08_kuka_loop","1","104531","100","8","1080001"
"1","60","1","","31","","2","2","90","8","1080002"
"","0","0","","11","","104531","あ、足に絡みつく\nツタの感触が\nたまりません～～！","10","8","1080003"
"","","","","91","","0","","","8","1080004"
"0.9","-195","-35","0","1","05_idle","2","105831","100","9","1090001"
"1.2","150","-30","0","1","302102_idle","2","302102","1000","9","1090002"
"1","50","1","","31","","102","15","150","9","1090003"
"1","400","1","","31","","103","16","150","9","1090004"
"1.3","-160","-25","0","1","01_uek_cmn_idol_def_N","1","112531","100","10","1100001"
"1.3","-40","-5","1","1","01_uek_cmn_idol_def_N","1","112431","100","10","1100002"
"1.3","125","20","1","1","01_uek_cmn_idol_def_N","1","112631","100","10","1100003"
"","","0","","3","","112631","01_uek_talk_surprise2","1","10","1100004"
"","0","0","","11","","112631","うっひゃ～…！\n足場が雲になるって\nどういうこと！？","10","10","1100005"
"","","","","91","","0","","","10","1100006"
"0.2","","0","","3","","112631","01_uek_cmn_idol_def_N","1","10","1100007"
"","","","","3","","112431","01_uek_talk_joy1","1","10","1100008"
"","0","0","","11","","112431","なんだか不思議な\n感触してますね～\nふわふわですよ♪","10","10","1100009"
"","","","","91","","0","","","10","1100010"
"0.2","","","","3","","112431","01_uek_cmn_idol_def_N","1","10","1100011"
"","","","","3","","112531","01_uek_talk_normal","1","10","1100012"
"","0","0","","11","","112531","落ちたりはしなそう\nだけど…足元には\n気をつけて進もう","10","10","1100013"
"","","","","91","","0","","","10","1100014"
"0.2","","","","3","","112531","01_uek_cmn_idol_def_N","1","10","1100015"
"","","","","91","","0","","","10","1100016"
"1.3","-135","-20","0","1","03_uek_cmn_idol_def_N","1","104731","100","11","1110001"
"1.3","100","5","1","1","03_uek_cmn_idol_def_N","1","107131","100","11","1110002"
"0","03_uek_11_jun_loop","1","","3","","104731","03_uek_11_jun","0","11","1110003"
"0","03_uek_cmn_idol_def_N","1","0.2","3","","107131","03_uek_11_chris","0","11","1110004"
"","","0","","11","","104731","むむ、視界が白く…\nクリスちゃん、\n気を付けるんだ！","10","11","1110005"
"","","","","91","","0","","","11","1110006"
"","0","0","","11","","107131","ははは、鎧の重さで\n沈んでいるぞ団長☆\nそぉれ一本釣りだ！","10","11","1110007"
"","","","","93","","1.5","","","11","1110008"
"","1.5","1","","2","","104731","-135","0","11","1110009"
"","","","","91","","1110007","","","11","1110010"
"1.3","-120","-20","0","1","03_uek_cmn_idol_def_N","1","101031","100","12","1120001"
"1.3","10","-5","1","1","03_uek_cmn_idol_def_N","1","101431","100","12","1120002"
"","","0","","3","","101031","03_uek_talk_joy1","1","12","1120003"
"","0","0","","11","","101031","かわいい雲さんやね\n一緒に連れて\n帰りたいわぁ♪","10","12","1120004"
"","","","","91","","0","","","12","1120005"
"0.2","","0","","3","","101031","03_uek_cmn_idol_def_N","1","12","1120006"
"","","0","","3","","101431","03_uek_talk_normal","1","12","1120007"
"","0","0","","11","","101431","いくらなんでも\nそれは難しいんじゃ\nないかな…？","10","12","1120008"
"","","","","91","","0","","","12","1120009"
"0.2","","0","","3","","101431","03_uek_cmn_idol_def_N","1","12","1120010"
"1.3","-165","-45","0","1","01_uek_cmn_idol_def_N","1","105831","100","13","1130001"
"1.3","-45","-20","0","1","01_uek_cmn_idol_def_N","1","105931","100","13","1130002"
"1.3","120","-5","1","1","01_uek_cmn_idol_def_N","1","106031","100","13","1130003"
"","","1","","3","","105931","01_uek_talk_normal","1","13","1130004"
"","0","0","","11","","105931","かなり高くまで\n登ってまいりました\nですが…","10","13","1130005"
"","","","","91","","0","","","13","1130006"
"0.2","01_uek_cmn_idol_def_N","1","","3","","105931","01_uek_13_kokkoro","0","13","1130007"
"","01_uek_13_kyaru_loop","1","","3","","106031","01_uek_13_kyaru","0","13","1130008"
"","0","0","","11","","106031","全然頂上が\n見えないじゃない！\nどんだけ高いのよ！","10","13","1130009"
"","","","","91","","0","","","13","1130010"
"","","0","","3","","105831","01_uek_13_peco_loop","1","13","1130011"
"","0","0","","11","","105831","いいじゃないですか\n運動のあとの食事は\nまた格別ですよ☆","10","13","1130012"
"","","","","91","","0","","","13","1130013"
"1.3","-86","-25","0","1","03_uek_cmn_idol_def_N","1","104031","100","14","1140001"
"1","250","1","","31","","1","1","0","14","1140002"
"","03_uek_14_aoi_loop","1","","3","","104031","03_uek_14_aoi","0","14","1140003"
"","0","0","","11","","104031","うう、ぼっちへの\n風当たりが\n強すぎませんか！？","10","14","1140004"
"1.3","-75","-20","0","1","03_uek_cmn_idol_def_N","1","100731","100","15","1150001"
"1.3","65","10","1","1","03_uek_15_father","1","103131","100","15","1150002"
"","","0","","3","","100731","03_uek_15_miyako","1","15","1150003"
"","0","0","","11","","100731","空は気持ちいいの～\nこれが天にも昇る\n気持ちってやつなの","10","15","1150004"
"","","","","91","","0","","","15","1150005"
"","","0","","3","","103131","03_uek_15_father","1","15","1150006"
"","0","0","","11","","103131","ガキんちょもか？\nオレも身体が\n軽くなってきたぞ！","10","15","1150007"
"","","","","91","","0","","","15","1150008"
"","","0","","3","","103131","03_uek_talk_normal","1","15","1150009"
"","0","0","","11","","103131","ミヤコさんは\n本当に昇天しちゃ\nだめですよ…？","10","15","1150010"
"","","","","91","","0","","","15","1150011"
"0.2","","0","","3","","103131","03_uek_cmn_idol_def_N","1","15","1150012"
"1.3","-110","-45","0","1","01_uek_cmn_idol_def_N","1","112431","100","16","1160001"
"1.3","40","-15","1","1","01_uek_cmn_idol_def_N","1","105831","100","16","1160002"
"1.3","140","10","1","1","01_uek_cmn_idol_def_N","1","105931","100","16","1160003"
"","01_uek_cmn_idol_def_N","0","","3","","105931","01_uek_01_kokkoro","0","16","1160004"
"","01_uek_cmn_idol_def_N","1","","3","","112431","01_uek_01_uduki","0","16","1160005"
"","01_uek_cmn_idol_def_N","1","","3","","105831","01_uek_01_peko","0","16","1160006"
"","","","","91","","0","","","16","1160007"
"","","1","","3","","105931","01_uek_talk_normal","1","16","1160008"
"","0","0","","11","","105931","ウヅキさま。先は長\nそうですが、休まな\nくて大丈夫ですか？","10","16","1160009"
"","","","","91","","0","","","16","1160010"
"","","1","","3","","105931","01_uek_cmn_idol_def_N","1","16","1160011"
"","","","","3","","112431","01_uek_talk_joy1","1","16","1160012"
"","0","0","","11","","112431","はい、平気です！\nとっても楽しくって\nやばいです☆","10","16","1160013"
"","","","","93","","1.5","","","16","1160014"
"0.2","01_uek_16_uduki_loop","1","","3","","112431","01_uek_16_uduki","0","16","1160015"
"","","","","91","","1160013","","","16","1160016"
"","","","","3","","105831","01_uek_talk_joy1","1","16","1160017"
"","0","0","","11","","105831","元気いっぱいですね\nウヅキさん、一緒に\n頑張りましょう～☆","10","16","1160018"
"","","","","93","","2.2","","","16","1160019"
"0.2","01_uek_16_uduki_loop","1","","3","","105831","01_uek_16_peco","0","16","1160020"
"","","","","91","","1160018","","","16","1160021"
"1.3","150","10","1","1","03_uek_cmn_idol_def_N","1","102331","300","17","1170001"
"1.3","-100","-15","0","1","03_uek_cmn_idol_def_N","1","102131","100","17","1170002"
"0","10","1.3","","31","","3","3","20","17","1170003"
"0.2","03_uek_17_ayane_loop","1","0.2","3","","102331","03_uek_17_ayane","0","17","1170004"
"0.2","03_uek_cmn_idol_def_N","1","","3","","102131","03_uek_cmn_pose05","0","17","1170005"
"","","","","32","","3","1","","17","1170006"
"","0","0","","11","","102331","見て見て！\n雲でぷうきちを\n作ったよー！","10","17","1170007"
"","","","","91","","0","","","17","1170008"
"0.2","","","","3","","102131","03_uek_talk_joy1","1","17","1170009"
"","0","0","","11","","102131","わぁ、すご～い…！\n私も何か\n作りたいなぁ…♪","10","17","1170010"
"","","","","91","","0","","","17","1170011"
"0.2","","","","3","","102131","03_uek_cmn_idol_def_N","1","17","1170012"
"1.3","229","45","0","1","01_uek_cmn_idol_def_N","1","112631","100","18","1180001"
"1.3","170","20","0","1","01_uek_cmn_idol_def_N","1","105831","110","18","1180002"
"1.3","-85","-10","0","1","01_uek_cmn_idol_def_N","1","105931","100","18","1180003"
"","01_uek_18_mio_loop","1","","3","","112631","01_uek_18_mio","0","18","1180004"
"","0","0","","11","","112631","だいぶ登ったね～\nちょっと下のほう\n見てみようよ！","10","18","1180005"
"","","","","91","","0","","","18","1180006"
"","01_uek_18_mio_loop","1","","3","","105831","01_uek_18_mio","0","18","1180007"
"","0","0","","11","","105831","そうですね！\nえーと、どれどれ…\nって、わわわわ！","10","18","1180008"
"","","","","93","","3","","","18","1180009"
"","2","1","","2","","105831","170","5","18","1180010"
"","","","","91","","1180008","","","18","1180011"
"","01_uek_cmn_idol_def_N","1","","3","","105931","01_uek_18_kokkoro","0","18","1180012"
"","0","0","","11","","105931","ふふ、お二人とも\nはしゃがれて、楽し\nそうでございますね","10","18","1180013"
"1.3","402","110","0","1","02_uek_19_hatsune","1","101231","100","19","1190001"
"1.3","166","30","0","1","02_uek_talk_surprise2","1","103831","100","19","1190002"
"0.2","","0","","3","","103831","02_uek_talk_surprise2","1","19","1190003"
"","0","0","","11","","103831","あ！　お姉ちゃん！\nこんなところで\n寝ちゃ危ないよー！","10","19","1190004"
"","","","","91","","0","","","19","1190005"
"","0","0","","11","","101231","しおりんの声が\n聞こえたような…\nすやぁ…☆","10","19","1190006"
"0.9","-195","-35","0","1","05_idle","2","105831","100","20","1200001"
"1.4","150","30","0","1","304602_idle","2","304602","1000","20","1200002"
"1","50","1","","31","","102","17","150","20","1200003"
"1","400","1","","31","","103","18","150","20","1200004"
"1.3","185","25","0","1","01_uek_21_kokkoro_loop","1","105931","110","21","1210001"
"1.3","65","-5","0","1","01_uek_21_rin_loop","1","112531","120","21","1210002"
"1.3","-140","-35","0","1","01_uek_cmn_idol_def_N","1","106031","100","21","1210003"
"","0","0","","11","","105931","風が心地よいですね\n優しく、囁きかけて\nいるように感じます","10","21","1210004"
"","","","","91","","0","","","21","1210005"
"","0","0","","11","","112531","上に向かう私たちに\n蒼い風が語りかけて\nきてるのかもね…","10","21","1210006"
"","","","","91","","0","","","21","1210007"
"","01_uek_cmn_idol_def_N","1","","3","","106031","01_uek_21_kyaru","0","21","1210008"
"","0","0","","11","","106031","…あんたたち\nなんか妙なところで\nシンクロしてるわね","10","21","1210009"
"","","","","91","","0","","","21","1210010"
"1.3","180","40","0","1","01_uek_cmn_idol_def_N","1","105831","100","22","1220001"
"1","250","1.3","","31","","4","4","420","22","1220002"
"0.2","","","","3","","105831","01_uek_cmn_pose03","1","22","1220003"
"","0","0","","11","","105831","おにぎり型の雲って\nどんな味がするんで\nしょう…じゅるり☆","10","22","1220004"
"","","","","91","","0","","","22","1220005"
"1.3","33","5","0","1","03_uek_cmn_idol_def_N","1","105231","100","23","1230001"
"1.3","200","40","0","1","03_uek_23_rin","1","102631","1010","23","1230002"
"1.3","-110","-25","0","1","03_uek_cmn_idol_def_N","1","103331","100","23","1230003"
"1","32","1","","31","","5","5","220","23","1230004"
"0.2","","","","3","","102631","03_uek_23_rin","1","23","1230005"
"","0","0","","11","","102631","この雲、ふかふかで\n気持ちいい～\nぐっすり眠れそう～","10","23","1230006"
"","","","","91","","0","","","23","1230007"
"","45","0","","2","","102631","1100","40","23","1230008"
"","45","0","","33","","5","1120","32","23","1230009"
"0.2","","","","3","","105231","03_uek_cmn_pose04","1","23","1230010"
"0.2","","","","3","","103331","03_uek_talk_surprise2","1","23","1230011"
"","0","0","","11","","105231","リンちゃんの寝てる\n雲が流されてるわ！\nど、どうしよう！","10","23","1230012"
"","","","","91","","0","","","23","1230013"
"","0","0","","11","","103331","干し草のほうが\nふかふかだべー！\n戻ってくるべさー！","10","23","1230014"
"","","","","91","","0","","","23","1230015"
"1.3","-240","-45","0","1","03_uek_24_ayumi","1","105531","10","24","1240001"
"","","0","","3","","105531","03_uek_24_ayumi","1","24","1240002"
"","0","0","","11","","105531","あっ、あそこに\n先輩がいる\nじーーーー…","10","24","1240003"
"1.3","175","15","1","1","03_uek_cmn_idol_def_N","1","103631","100","25","1250001"
"1.3","-36","-10","0","1","03_uek_cmn_idol_def_N","1","100431","100","25","1250002"
"1.3","-158","-45","0","1","03_uek_cmn_idol_def_N","1","102031","100","25","1250003"
"","","0","","3","","102031","03_uek_cmn_pose06","1","25","1250004"
"","0","0","","11","","102031","お空で遊ぶのって\nすごく気持ちいいね\nるんたった～♪","10","25","1250005"
"","","","","91","","0","","","25","1250006"
"","03_uek_25_misogi_loop","1","","3","","100431","03_uek_25_misogi","0","25","1250007"
"","0","0","","11","","100431","うん！　キョウカも\nそう思うでしょー？\n…わぁっ！","10","25","1250008"
"","03_uek_25_kyouka_loop","0","","3","","103631","03_uek_25_kyouka","1","25","1250009"
"","","","","91","","0","","","25","1250010"
"","0","0","","11","","103631","ちょっとミソギ！\n落ちたら危ないから\nおどかさないでよ！","10","25","1250011"
"","","","","91","","0","","","25","1250012"
"1.3","-179","-43","0","1","01_uek_cmn_idol_def_N","1","104831","100","27","1270001"
"1.3","0","-14","0","1","01_uek_27_tamaki_loop","1","104631","100","27","1270002"
"1.3","200","24","1","1","01_uek_cmn_idol_def_N","1","103231","100","27","1270003"
"","0","0","","11","","104631","はぁはぁ…\nも、もう限界にゃ…\n帰りたいにゃ…","10","27","1270004"
"","","","","91","","0","","","27","1270005"
"","01_uek_talk_normal","1","","3","","104831","01_uek_cmn_pose02","0","27","1270006"
"","0","0","","11","","104831","効率的な体力配分で\n登れば、これくらい\n楽勝のはずよ","10","27","1270007"
"","","","","91","","0","","","27","1270008"
"0.3","","0","","3","","104831","01_uek_cmn_idol_def_N","1","27","1270009"
"","","0","","3","","103231","01_uek_27_akino_loop","1","27","1270010"
"","0","0","","11","","103231","おーっほっほっほ！\nいい眺めですわ！\n先が楽しみですわね","10","27","1270011"
"1.3","0","-10","0","1","04_uek_cmn_idol_def_N","1","102931","110","28","1280001"
"1.3","-120","-30","0","1","04_uek_cmn_idol_def_N","1","104231","120","28","1280002"
"1.3","120","10","0","1","04_uek_cmn_idol_def_N","1","105431","100","28","1280003"
"0","10","1.3","","31","","6","6","35","28","1280004"
"0","-10","1.3","","31","","6","9","-85","28","1280005"
"0","30","1.3","","31","","6","10","155","28","1280006"
"0.2","","","","3","","102931","04_uek_28_nozomi","1","28","1280007"
"0.2","","","","3","","104231","04_uek_28_chika","1","28","1280008"
"0.2","","","","3","","105431","04_uek_28_tsumugi","1","28","1280009"
"","","","","32","","6","1","","28","1280010"
"","","","","32","","9","1","","28","1280011"
"","","","","32","","10","1","","28","1280012"
"","0","0","","11","","102931","空の上でも\nカルミナ…\nオンステージ！","10","28","1280013"
"","","","","91","","0","","","28","1280014"
"","0","0","","11","","104231","風が気持ちいい…！\n精霊たちも\n楽しそうです！","10","28","1280015"
"","","","","91","","0","","","28","1280016"
"","0","0","","11","","105431","最っ高ですね！\nアンコールまで\n駆け抜けましょう！","10","28","1280017"
"","","","","91","","0","","","28","1280018"
"1.3","-40","-10","0","1","03_uek_cmn_idol_def_N","1","101531","100","29","1290001"
"1.3","95","10","1","1","03_uek_cmn_idol_def_N","1","101831","100","29","1290002"
"","","0","","3","","101831","03_uek_talk_joy1","1","29","1290003"
"","0","0","","11","","101831","気持ちいいところね\n遠足で生徒たちも\n連れてこようかしら","10","29","1290004"
"","","","","91","","0","","","29","1290005"
"0.3","","0","","3","","101831","03_uek_cmn_idol_def_N","1","29","1290006"
"0.3","","0","","3","","101531","03_uek_talk_joy1","1","29","1290007"
"","0","0","","11","","101531","あらあら～、じゃあ\n里の子どもたちも\nご一緒したいです～","10","29","1290008"
"","","","","91","","0","","","29","1290009"
"0.3","","0","","3","","101531","03_uek_cmn_idol_def_N","1","29","1290010"
"0.9","-195","-35","0","1","05_idle","2","105831","100","30","1300001"
"1.5","150","-50","0","1","307505_idle","2","307505","1000","30","1300002"
"1","50","1","","31","","102","19","150","30","1300003"
"1","400","1","","31","","103","20","150","30","1300004"
"0","307505_idle","1","","3","","307505","307505_awake","0","30","1300005"
"1.3","140","10","0","1","01_uek_cmn_idol_def_N","1","105831","110","31","1310001"
"1.3","20","0","0","1","01_uek_cmn_idol_def_N","1","105931","110","31","1310002"
"1.3","-200","-55","0","1","01_uek_26_kyaru_loop","1","106031","110","31","1310003"
"","","","","93","","1","","","31","1310004"
"","","","","4","","105831","1","","31","1310005"
"0","","","","3","","105831","01_uek_cmn_pose04","1","31","1310006"
"","","","","11","","105831","見てください！\nお星様の世界です！\nすごい景色ですね☆","10","31","1310007"
"","","","","93","","2.3","","","31","1310008"
"0.2","","0","","3","","105831","01_uek_cmn_idol_def_N","0","31","1310009"
"","","","","91","","1310007","","","31","1310010"
"0.2","","0","","3","","105831","01_uek_cmn_idol_def_N","1","31","1310011"
"","","","","3","","105931","01_uek_talk_normal","1","31","1310012"
"","","","","11","","105931","本当に素晴らしい\n場所でございます\n堪能いたしましょう","10","31","1310013"
"","","","","91","","0","","","31","1310014"
"0.2","","","","3","","105931","01_uek_cmn_idol_def_N","1","31","1310015"
"","","","","11","","106031","何落ち着いてるのよ\nおかしいでしょ\nなんか色々と…！","10","31","1310016"
"1.3","255","91","1","1","02_uek_32_kuka_loop","1","104531","100","32","1320001"
"1.3","-97","-29","0","1","02_uek_cmn_idol_def_N","1","105331","100","32","1320002"
"1.3","50","0","0","1","02_uek_cmn_idol_def_N","1","103031","100","32","1320003"
"0.5","","0","","3","","104531","02_uek_32_kuka","0","32","1320004"
"0.5","02_uek_talk_surprise2","1","","3","","105331","02_uek_cmn_shock_def_N","0","32","1320005"
"0.5","02_uek_talk_surprise2","1","","3","","103031","02_uek_cmn_shock_def_N","0","32","1320006"
"","","","","91","","0","","","32","1320007"
"0.5","","0","","3","","103031","02_uek_talk_surprise2","1","32","1320008"
"","0","0","","11","","103031","せっかく見つけた\nクウカがまた\n飛んでマス！","10","32","1320009"
"","","","","91","","0","","","32","1320010"
"0.5","","0","","3","","105331","02_uek_talk_surprise2","1","32","1320011"
"","0","0","","11","","105331","やっぱりよろこんで\nなかったか！？","10","32","1320012"
"1.3","0","0","1","1","02_uek_cmn_idol_def_N","1","100831","100","33","1330001"
"1","130","1.3","","31","","7","7","-120","33","1330002"
"0.2","02_uek_33_yuki_loop","1","","3","","100831","02_uek_33_yuki","0","33","1330003"
"","0","0","","11","","100831","星の輝きを浴びた\nボクはまた一段と\n美しいね…","10","33","1330004"
"","","","","91","","0","","","33","1330005"
"1.3","10","0","1","1","02_uek_cmn_idol_def_N","1","100931","110","34","1340001"
"1.3","180","10","1","1","02_uek_cmn_idol_def_N","1","101331","110","34","1340002"
"","","","","93","","1","","","34","1340003"
"0.2","02_uek_cmn_idol_def_N","1","0.2","3","","101331","02_uek_cmn_pose01","1","34","1340004"
"","0","0","","11","","101331","ウチュウキター！\nテンション爆上がり\nですしおすし！","10","34","1340005"
"","","","","91","","0","","","34","1340006"
"0.2","02_uek_34_anna_loop","1","0","3","","100931","02_uek_34_anna","0","34","1340007"
"","0","0","","11","","100931","くくく…星の力を\n強く感じるぞ！\n覚醒の時は近い…！","10","34","1340008"
"1.3","-200","-60","1","1","01_uek_cmn_idol_def_N","1","100231","100","35","1350001"
"1.3","0","10","1","1","01_uek_cmn_idol_def_N","1","100331","100","35","1350002"
"1.3","200","20","1","1","01_uek_cmn_idol_def_N","1","100131","100","35","1350003"
"1","270","1","","31","","8","8","0","35","1350004"
"0.2","01_uek_35_yui_loop","1","0.2","3","","100231","01_uek_35_yui","0","35","1350005"
"0.2","01_uek_35_rei_loop","1","0.2","3","","100331","01_uek_35_rei","0","35","1350006"
"0.2","","","","3","","100131","01_uek_cmn_pose03","1","35","1350007"
"","0","0","","11","","100231","見て、流れ星…！\nみんなで願い事を\nしようよ","10","35","1350008"
"","","","","91","","0","","","35","1350009"
"","0","0","","11","","100331","ああ、そうだね\n私たちにぴったりな\nシチュエーションだ","10","35","1350010"
"","","","","91","","0","","","35","1350011"
