0b2a59f8d04dbd86013c2413ae31e51f899dfb744afc066c9a1baa5467e7a056,a4eda5368b14a5ffc961beb0a3e04f19e50d8331dec6d051491be6835b7b312d,d0a37421879f8da0516450553edcf51b9dd0be873aff494b00f52b4e3259d6e9,99e2cdb7898a9d9578d510be1b72be061792da40d4822c58429e6009388e81a1,ee79d169b8e7db8a08a76a32313e6fb457a8c39ec4f147e48440c85f73b4e1ad,70ee2ed5b1b9c4ab63c2eb5a6fa004daa1a1d3fa372627067f4a33d2ed148974,a7572bcb7d70cb53a92d2702763d83d6f08a5ed6989e5d01032e1f1123eb513d,2eaeb437917caa4d8f444ec0b87055fa332147fe78d925e8321b072a44f0265e,88a42930e34fbb408cdbd09b1de1257d3d2a216fa63116de9ce2f44db42e54de,5f193ddee9e34fdebb0baed7c5cee97f83bdf5f39bef4834dc22cf2864d3971d,c77f4bf9f8177e41e9155b9b5a1dffe105b1352267ea711feb3a2835177a3eb4
"285001042","25021","25015","2","2","27","123","8","10","91002","42"
"285001043","25021","25015","2","2","28","125","8","10","91002","43"
"285001044","25021","25015","2","2","28","128","8","10","91002","44"
"285001045","25021","25015","2","2","29","130","8","10","91002","45"
"285001046","25021","25015","2","2","30","132","8","10","91002","46"
"285001047","25021","25015","2","2","30","135","8","10","91002","47"
"285001048","25021","25015","2","2","31","137","8","10","91002","48"
"285001049","25021","25015","2","2","31","139","8","10","91002","49"
"285001050","25021","25015","2","2","31","142","8","30","91002","50"
"285001051","25021","25015","2","2","32","144","8","10","91002","51"
"285001052","25021","25015","2","2","32","146","8","10","91002","52"
"285001053","25021","25015","2","2","32","149","8","10","91002","53"
"285001054","25021","25015","2","2","33","152","8","10","91002","54"
"285001055","25021","25015","2","2","33","155","8","10","91002","55"
"285001056","25021","25015","2","2","33","157","8","10","91002","56"
"285001057","25021","25015","2","2","34","160","8","10","91002","57"
"285001058","25021","25015","2","2","34","163","8","10","91002","58"
"285001059","25021","25015","2","2","34","166","8","10","91002","59"
"285001060","25021","25015","2","2","35","169","8","30","91002","60"
"285001061","25021","25015","2","2","35","171","8","10","91002","61"
"285001062","25021","25015","2","2","35","174","8","10","91002","62"
"285001063","25021","25015","2","2","36","177","8","10","91002","63"
"285001064","25021","25015","2","2","36","180","8","10","91002","64"
"285001065","25021","25015","2","2","36","182","8","10","91002","65"
"285001066","25021","25015","2","2","37","185","8","10","91002","66"
"285001067","25021","25015","2","2","37","187","8","10","91002","67"
"285001068","25021","25015","2","2","37","190","8","10","91002","68"
"285001069","25021","25015","2","2","38","193","8","10","91002","69"
"285001070","25021","25015","2","2","38","196","8","30","91002","70"
"285001071","25021","25015","2","2","39","200","8","10","91002","71"
"285001072","25021","25015","2","2","39","204","8","10","91002","72"
"285001073","25021","25015","2","2","40","208","8","10","91002","73"
"285001074","25021","25015","2","2","40","212","8","10","91002","74"
"285001075","25021","25015","2","2","41","216","8","10","91002","75"
"285001076","25021","25015","2","2","41","220","8","10","91002","76"
"285001077","25021","25015","2","2","42","224","8","10","91002","77"
"285001078","25021","25015","2","2","42","228","8","10","91002","78"
"285001079","25021","25015","2","2","43","232","8","10","91002","79"
"285001080","25021","25015","2","2","43","236","8","30","91002","80"
"285001081","25021","25015","2","2","44","240","8","10","91002","81"
"285001082","25021","25015","2","2","44","244","8","10","91002","82"
"285001083","25021","25015","2","2","45","248","8","10","91002","83"
"285001084","25021","25015","2","2","45","252","8","10","91002","84"
"285001085","25021","25015","2","2","46","256","8","10","91002","85"
"285001086","25021","25015","2","2","46","260","8","10","91002","86"
"285001087","25021","25015","2","2","47","264","8","10","91002","87"
"285001088","25021","25015","2","2","47","268","8","10","91002","88"
"285001089","25021","25015","2","2","48","272","8","10","91002","89"
"285001090","25021","25015","2","2","48","276","8","30","91002","90"
