439defd73601e3839d5cc5941dbcd8b8184e9c5d1c18cd7470381497b6ea8f4c,6d36c72020f920f5a1beb16bdb6dbed2bc179b5ae20c1d7a9c08b2d78481c4fe,44b581020587d2f1be731dd5e969eb7c7919231e777a9d461fc965920449f3ad,d1aa9e7f968b1ae90b5946a821602d7a7c7bd11472bc568d64c7c9e89a96e619,8dbc6424c5d9b3c41a8ed0d9baa541bdc6b1f43b4bc77e5cf8432de136c3faf4,f0c13f6500c1aa245e1a515adb550f27d69ea37e1cfb4e485868170b2d339059,77ab68c29ac5dcf50b3110106d6c23d57f6f3e77f5d4199945a8bf691e434e3c,192ace3142773caa0aae9730022b82bc4ec59bc49e63de44662f3850c6e77586,51e0c354e0eea2fdc5ae7b29eff3000c7e0774dd15a03a36b8c909868c9fffe1,4813f99aa382c2a29b8bcebd5d3eeb4836dd25d0369d4e02866f8cb891e75b17,9c1279b05461e02b85181222d0ed57fe054a79ece8c04a3491a6c1a78740fdd5,8940890469fddc913dfb516f8e22e1858ecec5651c3f7e57315354ab388b810c
"11501","0","115","114","11031","0","103","4","0","115","0","2"
"11601","0","116","115","11041","0","104","3","0","116","0","4"
"11701","0","117","116","11021","0","102","2","0","117","0","2"
"11801","0","118","117","11041","0","104","2","0","118","0","4"
"11901","0","119","118","10521","0","52","1","0","119","0","3"
"12001","0","120","119","11041","0","104","3","0","120","0","4"
"12101","0","121","120","11021","0","102","3","0","121","0","1"
"12201","0","122","121","11031","0","103","4","0","122","0","3"
"12301","0","123","122","11001","0","100","2","0","123","0","2"
"12401","0","124","123","11021","0","102","1","0","124","0","1"
"12501","0","125","124","11041","0","104","3","0","125","0","4"
"12601","0","126","125","11011","0","101","2","0","126","0","2"
"12701","0","127","126","11001","0","100","1","0","127","0","3"
"12801","0","128","127","10501","0","50","2","0","128","0","2"
"12901","0","129","128","11041","0","104","3","0","129","0","4"
"13001","0","130","129","11011","0","101","1","0","130","0","1"
"13101","0","131","130","11031","0","103","3","0","131","0","3"
"13201","0","132","131","11041","0","104","4","0","132","0","4"
"13301","0","133","132","11021","0","102","3","0","133","0","3"
"13401","0","134","133","11001","0","100","3","0","134","0","1"
"13501","0","135","134","11041","0","104","2","0","135","0","4"
"13601","0","136","135","11041","0","104","1","0","136","0","4"
"13701","0","137","136","11011","0","101","1","0","137","0","1"
"13801","0","138","137","11001","0","100","3","0","138","0","2"
"13901","0","139","138","11041","0","104","4","0","139","0","4"
"14001","0","140","139","11011","0","101","2","0","140","0","3"
"14101","0","141","140","11041","0","104","1","0","141","0","4"
"14201","0","142","141","10521","0","52","2","0","142","0","3"
"14301","0","143","142","11001","0","100","3","0","143","0","2"
"14401","0","144","143","11031","0","103","4","0","144","0","1"
"14501","0","145","144","11041","0","104","2","0","145","0","4"
"14601","0","146","145","11041","0","104","3","0","146","0","4"
"14701","0","147","146","11021","0","102","2","0","147","0","2"
"14801","0","148","147","11031","0","103","1","0","148","0","2"
"14901","0","149","148","11041","0","104","3","0","149","0","4"
"15001","0","150","149","11021","0","102","3","0","150","0","3"
"15101","0","151","150","11031","0","103","4","0","151","0","1"
"15201","0","152","151","11041","0","104","2","0","152","0","4"
"15301","0","153","152","11021","0","102","1","0","153","0","2"
"15401","0","154","153","11041","0","104","3","0","154","0","4"
"15501","0","155","154","11011","0","101","2","0","155","0","3"
"15601","0","156","155","11041","0","104","4","0","156","0","4"
