cdd68e9330cdf778afa6f0fdbb90f3fdfdb8d1081cd6cee057e117d9089bce2b,3c5698c9fc7a672b8845ca21c3a8d629a0c968f7e981bdec714159b8cae783ba,80efc855cfa81ce46ca4367793979e9a8597032f1b6e85da4b3c0e602b97b6dd,0ce104cef21ef9a4be5c49257ae18f48e27a65c626bad93700f24dda80e07efd,15411fd7ff230de5793e561d7261266281f258a7634a30392912ca555c2b6ce5,cb772b3c347d47f9505288105cdc7ee784b0e21114356daf36a7b69a612b5213,fa5ac5e56833d8085a827e54318cd55f039513fe21538cb372146888a2d3d58e,1fab2c0dd8f84d381b6bdb26795833f83721979989e9ae90064e923a1df5f597,89aef5f60d3ec65a464e2445a2b2089fab9c0a013513ab7f913eeec86e216354,f7e05f409f68458886eeb73f09f57138a64208b76c6d487d49982c3dbda3238a,57992d11818a6dabc8d565fa9f7dcc93947dfd1e0ec8993b5fd877c5b2cbfbc7,b69f44529fa90bfdb6b28304cf41d2d78849f79bad73b296a8f6233585f75a8f
"13","0","0","0","4","4","1","5154064","0","0","0","515406413"
"14","0","0","0","0","2","0","5154064","vo_abd_0305","0","vo_abd","515406414"
"15","0.2","5","0","0","1","0","5154064","0","35","0","515406415"
"16","0","0","0","1.05","4","1","5154064","0","0","0","515406416"
"17","2","5","45","0","1","0","5154064","0","420","0","515406417"
"18","0","0","0","3.5","4","1","5154064","0","0","0","515406418"
"19","0","0","0","0","2","0","5154064","vo_abd_0306","0","vo_abd","515406419"
"20","1","6","0","0","1","0","5154064","0","175","0","515406420"
"21","0","0","0","1.7","4","1","5154064","0","0","0","515406421"
"22","1","6","175","0","1","0","5154064","0","260","0","515406422"
"23","0","0","0","2.8","4","1","5154064","0","0","0","515406423"
"24","0.8","6","260","0","1","0","5154064","0","400","0","515406424"
"25","0","0","0","0.96","4","1","5154064","0","0","0","515406425"
"26","0","0","0","0","2","0","5154064","vo_abd_0307","0","vo_abd","515406426"
"27","1.5","7","0","0","1","0","5154064","0","245","0","515406427"
"28","0","0","0","1.7","4","1","5154064","0","0","0","515406428"
"29","0.8","7","245","0","1","0","5154064","0","400","0","515406429"
"30","0","0","0","2","4","1","5154064","0","0","0","515406430"
"31","0","0","0","0","2","0","5154064","vo_abd_0308","0","vo_abd","515406431"
"32","1","8","0","0","1","0","5154064","0","208","0","515406432"
"33","0","0","0","2","4","1","5154064","0","0","0","515406433"
"34","0.3","8","208","0","1","0","5154064","0","270","0","515406434"
"35","0","0","0","1.5","4","1","5154064","0","0","0","515406435"
"36","0.8","8","275","0","1","0","5154064","0","400","0","515406436"
"37","0","0","0","2","4","1","5154064","0","0","0","515406437"
"38","0","0","0","0","2","0","5154064","vo_abd_0309","0","vo_abd","515406438"
"39","2","9","0","0","1","0","5154064","0","300","0","515406439"
"40","0","0","0","2.65","4","1","5154064","0","0","0","515406440"
"41","1","9","300","0","1","0","5154064","0","425","0","515406441"
"42","0","0","0","2","4","1","5154064","0","0","0","515406442"
"43","0","0","0","0","2","0","5154064","vo_abd_0310","0","vo_abd","515406443"
"44","2.5","10","0","0","1","0","5154064","0","375","0","515406444"
"45","0","0","0","4","4","1","5154064","0","0","0","515406445"
"46","0","0","0","0","2","0","5154064","vo_abd_0311","0","vo_abd","515406446"
"47","1.2","11","0","0","1","0","5154064","0","165","0","515406447"
"48","0","0","0","2","4","1","5154064","0","0","0","515406448"
"49","1","11","165","0","1","0","5154064","0","295","0","515406449"
"50","0","0","0","2.5","4","1","5154064","0","0","0","515406450"
"51","0.5","11","295","0","1","0","5154064","0","400","0","515406451"
"1","0","0","0","0.8","4","1","5154065","0","0","0","515406501"
"2","0","0","0","0","2","0","5154065","vo_abd_0401","0","vo_abd","515406502"
"3","2","1","0","0","1","0","5154065","0","400","0","515406503"
"4","0","0","0","3.2","4","1","5154065","0","0","0","515406504"
"5","0","0","0","0","2","0","5154065","vo_abd_0402","0","vo_abd","515406505"
"6","2","2","0","0","1","0","5154065","0","400","0","515406506"
"7","0","0","0","3.7","4","1","5154065","0","0","0","515406507"
"8","0","0","0","0","2","0","5154065","vo_abd_0403","0","vo_abd","515406508"
"9","2","3","0","0","1","0","5154065","0","400","0","515406509"
"10","0","0","0","3","4","1","5154065","0","0","0","515406510"
"11","0","0","0","0","2","0","5154065","vo_abd_0404","0","vo_abd","515406511"
"12","1","4","0","0","1","0","5154065","0","155","0","515406512"
"13","0","0","0","1.15","4","1","5154065","0","0","0","515406513"
"14","1","4","155","0","1","0","5154065","0","425","0","515406514"
"15","0","0","0","2.5","4","1","5154065","0","0","0","515406515"
"16","0","0","0","0","2","0","5154065","vo_abd_0405","0","vo_abd","515406516"
"17","2.4","5","0","0","1","0","5154065","0","450","0","515406517"
"18","0","0","0","2.9","4","1","5154065","0","0","0","515406518"
"19","0","0","0","0","2","0","5154065","vo_abd_0407","0","vo_abd","515406519"
"20","1","6","0","0","1","0","5154065","0","300","0","515406520"
"21","0","0","0","1.5","4","1","5154065","0","0","0","515406521"
"22","0","0","0","0","2","0","5154065","vo_abd_0408","0","vo_abd","515406522"
"23","1","7","0","0","1","0","5154065","0","250","0","515406523"
"24","0","0","0","1","4","1","5154065","0","0","0","515406524"
"25","0","0","0","0","2","0","5154065","vo_abd_0409","0","vo_abd","515406525"
"26","1","8","0","0","1","0","5154065","0","250","0","515406526"
"27","0","0","0","2","4","1","5154065","0","0","0","515406527"
"28","0","0","0","0","2","0","5154065","vo_abd_0410","0","vo_abd","515406528"
"29","0.2","9","0","0","1","0","5154065","0","50","0","515406529"
"30","0","0","0","0.7","4","1","5154065","0","0","0","515406530"
"31","1.5","9","50","0","1","0","5154065","0","280","0","515406531"
"32","0","0","0","2.5","4","1","5154065","0","0","0","515406532"
"33","0","0","0","0","2","0","5154065","vo_abd_0411","0","vo_abd","515406533"
"34","0.2","10","0","0","1","0","5154065","0","35","0","515406534"
"35","0","0","0","1.08","4","1","5154065","0","0","0","515406535"
"36","0.3","10","35","0","1","0","5154065","0","107","0","515406536"
"37","0","0","0","0.9","4","1","5154065","0","0","0","515406537"
"38","1.5","10","107","0","1","0","5154065","0","425","0","515406538"
