047652a7b0da18ec6f20740ae13787be940ad024d9b2817089575915cba28f7e,4918a6a29594a98149a9de88c3d947b22520768608fd6cdb66bdac87fd3f0e55,c0c5c9b335d060e78114531917ed43f5de96491b9eb4e2e7786767149453aa3a,93e9ff2e05cc5d77c3b645ff2e51dbf60428e82ea9c83a64eda2acf94fcf6d78,fc36920179b3f20281b5a01d112f5c72fa696363de1d4a1f245c7fd7366745e0,32129a816625fd6ba2f545b6bf98223b5cd0414395349e00e75be98a1eb3b0c5,ebc48203f30d399e45f98da48d6f2282be231904b2a2824ab4743a617d7a03f5,3dcc6f75e918f803fa70967c2fd7c0909071fc880724d3b73d8e1f6b72707362
"52024","0","【料理】次回移動時に3マス分多く進める","1","0","34","1","1"
"52025","0","【料理】移動時に「マイルマス」「トレジャーマス」をスキップできる","2","0","35","1","10"
"52027","0","【料理】ダイスの目が必ず「5」になる","1","0","36","1","1"
"52028","0","【料理】ダイスの目が\n「1・2」のみになる","1","0","37","1","1"
"52029","0","【料理】ダイスの目が必ず「2」になる","1","0","38","1","1"
"52029","0","【料理】次のターン数のカウントをスキップする","3","0","39","1","2"
"8","0","【イベント】マイルショップの全商品が20%以上割引される","3","0","40","2","4"
"52030","0","【料理】「マイルマス」を「トレジャーマス」に変化させる","3","0","41","1","11"
"52031","0","【料理】ダイスの目が\n「1・6・6・6・8・8」になる","1","0","42","1","1"
"52032","0","【料理】移動時に料理マスをスキップできる","2","0","43","1","10"
"52034","0","【料理】移動時にマイルマスをスキップできる","1","0","44","1","8"
"52036","0","【料理】ダイスの目が1ターン目は必ず「12」に、2・3ターン目は必ず「1」になる","1","0","45","1","1"
"52037","0","【料理】「マイルマス」「トレ\nジャーマス」「ショップマス」のRANKが1つ上がる","2","0","46","1","6"
"1","0","最大ｎマイルを入手する","1","0","1001","3","99"
"2","0","ダイスを1回振りなおせる","1","0","1002","3","99"
"3","0","ダイスを1回振りなおせる_有効ターン2","1","0","1003","3","99"
"1001","0","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1","0","11001","3","126501"
"1002","0","【仲間】最大1000マイルを入手する","1","0","11002","3","105301"
"1003","0","【仲間】料理を1つ入手する","1","0","11003","3","126401"
"1004","0","【仲間】ダイスの目を1回振りなおせる","1","0","11004","3","100501"
"1005","0","【仲間】ダイスの目を2回振りなおせる","1","0","11005","3","101301"
"1006","0","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","1","0","11006","3","104301"
"1007","0","【仲間】出目が3のダイスを同時に振ってどちらか選択できる","1","0","11007","3","102701"
"1008","0","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1","0","11008","3","100901"
"1009","0","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1","0","11009","3","105101"
"1010","0","【仲間】最大1000マイルを入手する","1","0","11010","3","101801"
"1011","0","【仲間】ダイスの表と裏どちらを適用するか選択できる","1","0","11011","3","129701"
"1012","0","【仲間】ダイスの目を1回振りなおせる","1","0","11012","3","101601"
"1013","0","【仲間】ダイスの目を2回振りなおせる","1","0","11013","3","105601"
"1014","0","【仲間】出目が3のダイスを同時に振ってどちらか選択できる","1","0","11014","3","102001"
"1015","0","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1","0","11015","3","129601"
"1016","0","【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる","1","0","11016","3","100401"
"1017","0","【仲間】出たダイスの目が偶数だった場合、1マス分多く進める","1","0","11017","3","127701"
"1018","0","【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる","1","0","11018","3","127801"
"1019","0","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1","0","11019","3","104801"
"1020","0","【仲間】ダイスの目を2回振りなおせる","1","0","11020","3","104701"
"1021","0","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1","0","11021","3","105001"
"1022","0","【仲間】最大2000マイルを入手する","1","0","11022","3","103201"
"1023","0","【仲間】福引券を1枚入手する","1","0","11023","3","130901"
"1024","0","【仲間】料理を1つ入手する","1","0","11024","3","102501"
"1025","0","【仲間】ダイスの表と裏どちらを適用するか選択できる","1","0","11025","3","100801"
"1026","0","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","1","0","11026","3","123301"
"1027","0","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1","0","11027","3","104601"
"1028","0","【仲間】ダイスの目を2回振りなおせる","1","0","11028","3","118101"
"1029","0","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1","0","11029","3","103401"
"1030","0","【仲間】最大2000マイルを入手する","1","0","11030","3","118001"
"1031","0","【仲間】福引券を1枚入手する","1","0","11031","3","102801"
"1032","0","【仲間】料理を1つ入手する","1","0","11032","3","100201"
"1033","0","【仲間】出たダイスの目が奇数だった場合、1マス分多く進める","1","0","11033","3","101201"
"1034","0","【仲間】ダイスの目を1回振りなおせる","1","0","11034","3","118201"
"1035","0","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1","0","11035","3","106101"
"1036","0","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","1","0","11036","3","103101"
"1037","0","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1","0","11037","3","103301"
"1038","0","【仲間】最大2000マイルを入手する","1","0","11038","3","103601"
"1039","0","【仲間】福引券を1枚入手する","1","0","11039","3","133001"
"1040","0","【仲間】料理を1つ入手する","1","0","11040","3","133101"
"1041","0","【仲間】ダイスの表と裏どちらを適用するか選択できる","1","0","11041","3","106801"
"1042","0","【仲間】ダイスの目を1回振りなおせる","1","0","11042","3","107101"
"1043","0","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","1","0","11043","3","107001"
"1044","0","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","1","0","11044","3","106501"
"1045","0","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1","0","11045","3","111001"
"1046","0","【仲間】最大2000マイルを入手する","1","0","11046","3","134901"
"1047","0","【仲間】福引券を1枚入手する","1","0","11047","3","105401"
"1048","0","【仲間】料理を1つ入手する","1","0","11048","3","134701"
