6fa23a80b7916a947db9cdfe0eb284b25feda082bffbcbd8444e63ff181d0a7e,1ae2c1dcdc8e99117f8f30b787d53a574013900366d61cf2dbda8ebe1358a12e,9728cf7fa64aa3590ac58277700a4e38bf4be347852a0cc2917c6f4342e273f3,6ed6f2384f46442af2ab10f68e495d813d47054a13072b932401f89cdb465050,31bff26de7da455562372c9b94d263236279d1e83de761f3cc20bb2a3955a621
"編成可能キャラ数が4キャラになる。","74001505","編成キャラ数制限","49","limit_chara_num"
"パーティキャラの最大HPが20％ダウンする。","74001505","キャラ最大HPダウン","50","max_hp_down"
"ボスモンスターのユニオンバーストが強化される。","74001505","ボスUB強化","51","boss_ub_enhance"
"バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","74001505","開始時攻撃力アップ","52","boss_atk_up"
"カリンのシャドウが追加される。","74002102","シャドウ1体追加","53","add_shadow"
"ミヤコ、ユカリ、アユミのシャドウに専用装備が追加される。","74002103","シャドウ強化","54","star6_shadow"
"カリンのシャドウが追加される。","74002103","シャドウ1体追加","55","add_shadow"
"ミヤコ、ユカリ、アユミのシャドウが★6になる。","74002104","シャドウ強化","56","star6_shadow"
"カリンのシャドウが追加される。","74002104","シャドウ1体追加","57","add_shadow"
"すべてのシャドウの物理攻撃力が大幅に上昇する。","74002105","シャドウ物理攻撃力アップ","58","boss_atk_up"
"ミヤコ、ユカリ、アユミのシャドウが★6になる。","74002105","シャドウ強化","59","star6_shadow"
"カリンのシャドウが追加される。","74002105","シャドウ1体追加","60","add_shadow"
"カヤ（リベレイター）のシャドウが追加される。","74002202","シャドウ1体追加","61","add_shadow"
"ツムギ（ハロウィン）、マヒル（クリスマス）、ミツキ、カスミ（マジカル）のシャドウに専用装備が追加される。","74002203","シャドウ強化","62","star6_shadow"
"カヤ（リベレイター）のシャドウが追加される。","74002203","シャドウ1体追加","63","add_shadow"
"ミツキのシャドウが★6になる。ツムギ（ハロウィン）、マヒル（クリスマス）、カスミ（マジカル）のシャドウに専用装備が追加される。","74002204","シャドウ強化","64","star6_shadow"
"カヤ（リベレイター）のシャドウが追加される。","74002204","シャドウ1体追加","65","add_shadow"
"すべてのシャドウの魔法防御力が大幅に上昇する。","74002205","シャドウ魔法防御力アップ","66","boss_magic_def_up"
"ツムギ（ハロウィン）、マヒル（クリスマス）、カスミ（マジカル）のシャドウに専用装備が追加され、ミツキのシャドウが★6になる。","74002205","シャドウ強化","67","star6_shadow"
"カヤ（リベレイター）のシャドウが追加される。","74002205","シャドウ1体追加","68","add_shadow"
"ノゾミのシャドウが追加される。","74002302","シャドウ1体追加","69","add_shadow"
"ノゾミとキャル（プリンセス）のシャドウが追加される。","74002303","シャドウ2体追加","70","add_shadow"
"編成可能キャラ数が4キャラになる。","74002304","編成キャラ数制限","71","limit_chara_num"
"ノゾミのシャドウが★6になる。キャル（プリンセス）のシャドウに専用装備が追加される。","74002304","シャドウ強化","72","star6_shadow"
"ノゾミとキャル（プリンセス）のシャドウが追加される。","74002304","シャドウ2体追加","73","add_shadow"
"編成可能キャラ数が4キャラになる。","74002305","編成キャラ数制限","74","limit_chara_num"
"バトル開始時、ボスモンスターが敵全員の物理防御力を特大アップさせる。","74002305","開始時物理防御力アップ","75","boss_def_up"
"バトル開始時、ボスモンスターが敵全員の魔法防御力を特大アップさせる。","74002305","開始時魔法防御力アップ","76","boss_magic_def_up"
"ノゾミのシャドウが★6になる。キャル（プリンセス）のシャドウに専用装備が追加される。","74002305","シャドウ強化","77","star6_shadow"
"ノゾミとキャル（プリンセス）のシャドウが追加される。","74002305","シャドウ2体追加","78","add_shadow"
"アヤネのシャドウが追加される。","74002402","シャドウ1体追加","79","add_shadow"
"アヤネとぺコリーヌ（サマー）のシャドウが追加される。","74002403","シャドウ2体追加","80","add_shadow"
"編成可能キャラ数が4キャラになる。","74002404","編成キャラ数制限","81","limit_chara_num"
"アヤネとぺコリーヌ（サマー）のシャドウが★6になる。","74002404","シャドウ強化","82","star6_shadow"
"アヤネとぺコリーヌ（サマー）のシャドウが追加される。","74002404","シャドウ2体追加","83","add_shadow"
"編成可能キャラ数が4キャラになる。","74002405","編成キャラ数制限","84","limit_chara_num"
"バトル開始時、ボスモンスターが敵全員の物理防御力を特大アップさせる。","74002405","開始時物理防御力アップ","85","boss_def_up"
"バトル開始時、ボスモンスターが敵全員の魔法防御力を特大アップさせる。","74002405","開始時魔法防御力アップ","86","boss_magic_def_up"
"アヤネとぺコリーヌ（サマー）のシャドウが★6になる。","74002405","シャドウ強化","87","star6_shadow"
"アヤネとぺコリーヌ（サマー）のシャドウが追加される。","74002405","シャドウ2体追加","88","add_shadow"
"バトル時間が70秒になる。","74002502","バトル時間制限","89","limit_time"
"バトル時間が60秒になる。","74002503","バトル時間制限","90","limit_time"
"バトル時間が60秒になる。","74002504","バトル時間制限","91","limit_time"
"ボスモンスターのユニオンバーストが強化される。","74002504","ボスUB強化","92","boss_ub_enhance"
"バトル時間が45秒になる。","74002505","バトル時間制限","93","limit_time"
"ボスモンスターのユニオンバーストが強化される。","74002505","ボスUB強化","94","boss_ub_enhance"
"カスミ、ハツネ、ユイ（プリンセス）のシャドウに専用装備が追加される。","74003102","シャドウ強化","95","star6_shadow"
"ユキのシャドウが追加される。","74003103","シャドウ1体追加","96","add_shadow"
"ハツネ、ユキのシャドウが★6になる。","74003103","シャドウ強化","97","star6_shadow"
"編成可能キャラ数が4キャラになる。","74003104","編成キャラ数制限","98","limit_chara_num"
"編成可能キャラ数が4キャラになる。","74003105","編成キャラ数制限","99","limit_chara_num"
"すべてのシャドウの最大ＨＰが大幅に上昇する。","74003105","シャドウ最大ＨＰアップ","100","max_hp_up"
"カーズ・レリックが追加される。","74003202","モンスター1体追加","101","add_shadow"
"アオイのシャドウが★6になる。","74003203","シャドウ強化","102","star6_shadow"
"バトル開始時、カーズ・レリックが味方全体を魔法ダメージ50%カット状態にさせる。","74003204","開始時魔法ダメージカット","103","boss_magic_cut"
"カーズ・レリックのスキルが強化される。","74003204","モンスター強化","104","boss_ub_enhance"
"バトル開始時、カーズ・レリックが味方全体を魔法ダメージ75%カット状態にさせる。","74003205","開始時魔法ダメージカット","105","boss_magic_cut"
"編成可能キャラ数が4キャラになる。","74003205","編成キャラ数制限","106","limit_chara_num"
"ヒール・レリックが追加される。","74003302","モンスター1体追加","107","add_shadow"
"キャル（ニューイヤー）のシャドウに専用装備が追加される。","74003303","シャドウ強化","108","star6_shadow"
"バトル開始時、ヒール・レリックが味方全体を物理ダメージ50%カット状態にさせる。","74003304","開始時物理ダメージカット","109","boss_physics_cut"
"ヒール・レリックのスキルが強化される。","74003304","モンスター強化","110","boss_ub_enhance"
"バトル開始時、ヒール・レリックが味方全体を物理ダメージ75%カット状態にさせる。","74003305","開始時物理ダメージカット","111","boss_physics_cut"
"編成可能キャラ数が4キャラになる。","74003305","編成キャラ数制限","112","limit_chara_num"
"バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003402","ボス物理防御力（ダウン不可）アップ","113","boss_def_lower_limit"
"バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003402","ボス魔法防御力（ダウン不可）アップ","114","boss_magic_def_lower_limit"
"バトル時間が70秒になる。","74003403","バトル時間制限","115","limit_time"
"バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003403","ボス物理防御力（ダウン不可）アップ","116","boss_def_lower_limit"
"バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003403","ボス魔法防御力（ダウン不可）アップ","117","boss_magic_def_lower_limit"
"バトル時間が70秒になる。","74003404","バトル時間制限","118","limit_time"
"ボスモンスターのユニオンバーストが強化される。","74003404","ボスUB強化","119","boss_ub_enhance"
"バトル開始時、ボスモンスターがＴＰダウン100％カット状態になる。","74003404","ボスＴＰダウンカット","120","boss_tp_down_cut"
"バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003404","ボス物理防御力（ダウン不可）アップ","121","boss_def_lower_limit"
"バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003404","ボス魔法防御力（ダウン不可）アップ","122","boss_magic_def_lower_limit"
"バトル時間が50秒になる。","74003405","バトル時間制限","123","limit_time"
"ボスモンスターのユニオンバーストが強化される。","74003405","ボスUB強化","124","boss_ub_enhance"
"バトル開始時、ボスモンスターがＴＰダウン100％カット状態になる。","74003405","ボスＴＰダウンカット","125","boss_tp_down_cut"
"バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003405","ボス物理防御力（ダウン不可）アップ","126","boss_def_lower_limit"
"バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003405","ボス魔法防御力（ダウン不可）アップ","127","boss_magic_def_lower_limit"
"バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003502","ボス物理防御力（ダウン不可）アップ","128","boss_def_lower_limit"
"バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003502","ボス魔法防御力（ダウン不可）アップ","129","boss_magic_def_lower_limit"
"バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003503","ボス物理防御力（ダウン不可）アップ","130","boss_def_lower_limit"
"バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003503","ボス魔法防御力（ダウン不可）アップ","131","boss_magic_def_lower_limit"
"ルナポッドが追加される。","74003504","モンスター1体追加","132","add_shadow"
"バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003504","ボス物理防御力（ダウン不可）アップ","133","boss_def_lower_limit"
"バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003504","ボス魔法防御力（ダウン不可）アップ","134","boss_magic_def_lower_limit"
"カイザーインサイトのシャドウが追加される。","74003505","シャドウ1体追加","135","add_shadow"
"バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003505","ボス物理防御力（ダウン不可）アップ","136","boss_def_lower_limit"
"バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003505","ボス魔法防御力（ダウン不可）アップ","137","boss_magic_def_lower_limit"
"イノリ、サレン、ヨリ、ユニのシャドウに専用装備が追加される。","74004102","シャドウ強化","138","star6_shadow"
"サレン（サマー）のシャドウが追加される。","74004103","シャドウ1体追加","139","add_shadow"
"サレン、ヨリのシャドウが★6になる。","74004103","シャドウ強化","140","star6_shadow"
"編成可能キャラ数が4キャラになる。","74004104","編成キャラ数制限","141","limit_chara_num"
"編成可能キャラ数が4キャラになる。","74004105","編成キャラ数制限","142","limit_chara_num"
"すべてのシャドウの最大ＨＰが大幅に上昇する。","74004105","シャドウ最大ＨＰアップ","143","max_hp_up"
"シールド・レリックが追加される。","74004202","モンスター1体追加","144","add_shadow"
"ネネカ（ニューイヤー）のシャドウに専用装備が追加される。","74004203","シャドウ強化","145","star6_shadow"
"シールド・レリックのスキルが強化される。","74004204","モンスター強化","146","boss_ub_enhance"
"バトル開始時、シールド・レリックのが味方全体のＨＰを特大回復させる。","74004204","開始時ＨＰ回復","147","hp_recover"
"バトル開始時、シールド・レリックのが味方全体のＨＰを特大回復させる。","74004205","開始時ＨＰ回復","148","hp_recover"
"バトル開始時、シールド・レリックのが味方全体に継続ＴＰ回復状態を付与する。","74004205","開始時ＴＰ継続回復付与","149","energy_recover"
"アタック・レリックが追加される。","74004302","モンスター1体追加","150","add_shadow"
"リマのシャドウが★6になる。","74004303","シャドウ強化","151","star6_shadow"
"アタック・レリックのスキルが強化される。","74004304","モンスター強化","152","boss_ub_enhance"
"バトル開始時、アタック・レリックが味方全体の行動速度を特大アップさせるフィールドを展開する。","74004305","開始時行動速度アップフィールド","153","boss_haste"
"パーティキャラの最大HPが20％ダウンする。","74004402","キャラ最大HPダウン","154","max_hp_down"
"バトル時間が75秒になる。","74004403","バトル時間制限","155","limit_time"
"パーティキャラの最大HPが20％ダウンする。","74004403","キャラ最大HPダウン","156","max_hp_down"
"バトル時間が75秒になる。","74004404","バトル時間制限","157","limit_time"
"編成可能キャラ数が4キャラになる。","74004404","編成キャラ数制限","158","limit_chara_num"
"パーティキャラの最大HPが20％ダウンする。","74004404","キャラ最大HPダウン","159","max_hp_down"
"バトル時間が60秒になる。","74004405","バトル時間制限","160","limit_time"
"編成可能キャラ数が4キャラになる。","74004405","編成キャラ数制限","161","limit_chara_num"
"パーティキャラの最大HPが20％ダウンする。","74004405","キャラ最大HPダウン","162","max_hp_down"
"パーティキャラの最大HPが20％ダウンする。","74004502","キャラ最大HPダウン","163","max_hp_down"
"ボスモンスターのユニオンバーストとスキルが強化される。","74004503","ボスUB・スキル強化","164","boss_ub_enhance"
"バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74004503","ボスＴＰダウンカット","165","boss_tp_down_cut"
"パーティキャラの最大HPが20％ダウンする。","74004503","キャラ最大HPダウン","166","max_hp_down"
"ルナポッドが追加される。","74004504","モンスター1体追加","167","add_shadow"
"バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74004504","ボスＴＰダウンカット","168","boss_tp_down_cut"
"パーティキャラの最大HPが20％ダウンする。","74004504","キャラ最大HPダウン","169","max_hp_down"
"アヤネのシャドウが追加される。","74004505","シャドウ1体追加","170","add_shadow"
"バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74004505","ボスＴＰダウンカット","171","boss_tp_down_cut"
"パーティキャラの最大HPが20％ダウンする。","74004505","キャラ最大HPダウン","172","max_hp_down"
"リマ、カヤ、イノリ、サレン（サマー）のシャドウに専用装備が追加される。","74005102","シャドウ強化","173","star6_shadow"
"リマ、カヤ、イノリのシャドウが★6になる。","74005103","シャドウ強化","174","star6_shadow"
"バトル開始時、すべてのモンスターが物理ダメージ50％カット状態になる。","74005103","物理ダメージカット","175","boss_physics_cut"
"編成可能キャラ数が4キャラになる。","74005104","編成キャラ数制限","176","limit_chara_num"
"バトル開始時、すべてのモンスターが物理ダメージ50％カット状態になる。","74005104","物理ダメージカット","177","boss_physics_cut"
"編成可能キャラ数が4キャラになる。","74005105","編成キャラ数制限","178","limit_chara_num"
"バトル開始時、すべてのモンスターが物理ダメージ100％カット状態になる。","74005105","物理ダメージカット","179","boss_physics_cut"
"ミヤコ、レイ（ニューイヤー）、ユカリ、ハツネ、ミサキ（ハロウィン）のシャドウに専用装備が追加される。","74005202","シャドウ強化","180","star6_shadow"
"ミヤコ、レイ（ニューイヤー）、ユカリ、ハツネのシャドウが★6になる。","74005203","シャドウ強化","181","star6_shadow"
"バトル開始時、すべてのモンスターが魔法ダメージ50％カット状態になる。","74005203","魔法ダメージカット","182","boss_magic_cut"
"編成可能キャラ数が4キャラになる。","74005204","編成キャラ数制限","183","limit_chara_num"
"バトル開始時、すべてのモンスターが魔法ダメージ50％カット状態になる。","74005204","魔法ダメージカット","184","boss_magic_cut"
"編成可能キャラ数が4キャラになる。","74005205","編成キャラ数制限","185","limit_chara_num"
"バトル開始時、すべてのモンスターが魔法ダメージ100％カット状態になる。","74005205","魔法ダメージカット","186","boss_magic_cut"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005301","ダメージ減衰","187","18"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005301","ＴＰ上昇上限付与","188","17"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005301","物理防御力（ダウン不可）アップ","189","boss_def_lower_limit"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005301","魔法防御力（ダウン不可）アップ","190","boss_magic_def_lower_limit"
"バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005301","ＨＰ吸収ダウン","191","9"
"ゼラチナ、エルダークラウドが追加される。","74005302","モンスター追加","192","add_shadow"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005302","ダメージ減衰","193","18"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005302","ＴＰ上昇上限付与","194","17"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005302","物理防御力（ダウン不可）アップ","195","boss_def_lower_limit"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005302","魔法防御力（ダウン不可）アップ","196","boss_magic_def_lower_limit"
"バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005302","ＨＰ吸収ダウン","197","9"
"ユカリ、ホマレ（ニューイヤー）が追加される。","74005303","モンスター追加","198","add_shadow"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005303","ダメージ減衰","199","18"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005303","ＴＰ上昇上限付与","200","17"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005303","物理防御力（ダウン不可）アップ","201","boss_def_lower_limit"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005303","魔法防御力（ダウン不可）アップ","202","boss_magic_def_lower_limit"
"バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005303","ＨＰ吸収ダウン","203","9"
"ルナポッドが追加される。","74005304","モンスター追加","204","add_shadow"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005304","ダメージ減衰","205","18"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005304","ＴＰ上昇上限付与","206","17"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005304","物理防御力（ダウン不可）アップ","207","boss_def_lower_limit"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005304","魔法防御力（ダウン不可）アップ","208","boss_magic_def_lower_limit"
"バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005304","ＨＰ吸収ダウン","209","9"
"バトル時間が60秒になる。","74005305","バトル時間制限","210","limit_time"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005305","ダメージ減衰","211","18"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005305","ＴＰ上昇上限付与","212","17"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005305","物理防御力（ダウン不可）アップ","213","boss_def_lower_limit"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005305","魔法防御力（ダウン不可）アップ","214","boss_magic_def_lower_limit"
"バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005305","ＨＰ吸収ダウン","215","9"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005401","ダメージ減衰","216","18"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005401","ＴＰ上昇上限付与","217","17"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005401","物理防御力（ダウン不可）アップ","218","boss_def_lower_limit"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005401","魔法防御力（ダウン不可）アップ","219","boss_magic_def_lower_limit"
"バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005401","ＨＰ吸収ダウン","220","9"
"タートルタイラント、ホオズキムシが追加される。","74005402","モンスター追加","221","add_shadow"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005402","ダメージ減衰","222","18"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005402","ＴＰ上昇上限付与","223","17"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005402","物理防御力（ダウン不可）アップ","224","boss_def_lower_limit"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005402","魔法防御力（ダウン不可）アップ","225","boss_magic_def_lower_limit"
"バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005402","ＨＰ吸収ダウン","226","9"
"シズル（ノワール）、コッコロ（サマー）が追加される。","74005403","モンスター追加","227","add_shadow"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005403","ダメージ減衰","228","18"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005403","ＴＰ上昇上限付与","229","17"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005403","物理防御力（ダウン不可）アップ","230","boss_def_lower_limit"
"バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005403","魔法防御力（ダウン不可）アップ","231","boss_magic_def_lower_limit"
"バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005403","ＨＰ吸収ダウン","232","9"
"ルナポッドが追加される。","74005404","モンスター追加","233","add_shadow"
"すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005404","ダメージ減衰","234","18"
"バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005404","ＴＰ上昇上限付与","235","17"
"バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005404","物理防御力（ダウン不可）アップ","236","boss_def_lower_limit"
