14a757f71a53328e5910a3d890085b382fd40c4256465d177b6e2ec05f8ece71,385ce4c4aa9204b5583299ca45ed55e3aa75adf8542b52b3907779634f9f2d20,53bbcc9305040c5c426703cd5fac994e52228b6f12e6ab63dd05856cd07101d2,ede949b62fd79bc56fe7c26d3ff0c36d24f840bda3aac2ed2f7802f78ccb15df,5afd05b74d0077f1b243353590b6648a7f8a876f52d5f213d19c6f87aa2bdaf7,441f84a4538079dfa0773dc76f91983bbd07565a79e01df15461d6e3de13411d,af4d54adc04047db23af7d6b5ab75fdc0338370de9eb407ce3f95720ea79c946,7359745bfcbd15102e9c040d4ac1b7c4d8b6bf27b76214b9db8a7d0045bfbd7f,d08704ecf62deb536528e2b13d285e2b9f78cc31523af149d7fdd193111339e2,1b7a6f0622061ee4b3c2a8b2a7d4285eea4038c5779d4d617372b1bae8b449f8,cc12403af1a2214450995d7b6678427b03be6977da6c68fe100c40f5ce5a4543,c70d64abda28ddd6465359fc91e79d1bb3c20042b7d19934ac2d1fe41c8157d6,99a26b23b4ba023936c4dd313b725c8590f98695fc60ceab3ab2816e39a54248,ad091eb3f489899be36d7fd84d247ebfaeaca18808d8b82519ff3b9284a37f46,8ad015a8a8d83e618f9bf1241a901204f0176c7373d3a66bdae4375e614479b4,1e6784e02d3fa125ef3b7984e5554b92afcb35507b9791ec1cd4fe223a93f7eb
"156","101201","46","24","フォレスティエ","エルフ","A","12","みんなのために超能力を使う眠り姫","17","私はハツネ！　困っている人の味方だよ！\n困った時は、いつでも言ってね♪\n私のちょ…ま、魔法で助けてあげるから！","妹と遊ぶこと、二度寝、昼寝、早寝","大橋彩香","0","6","ハツネ"
"166","101301","55","21","トワイライトキャラバン","魔族","O","8","オタク全開な魔法少女","18","","読書、魔法","佳村はるか","0","13","ナナカ"
"152","101401","41","3","自警団（カォン）","獣人族","AB","11","頭脳明晰な美少女名探偵","15","test","読書、推理","水瀬いのり","0","10","カスミ"
"165","101501","54","5","フォレスティエ","エルフ","O","9","母性溢れる優しいみんなの「ミサト先生」","21","test","絵本作り","國府田マリ子","0","6","ミサト"
"167","101601","48","10","ルーセント学院","魔族","O","4","天真爛漫で人気者のカリスマモデル","18","ヒデサイ、ちょっす～！　うち、漢字と計算は\nちょっち…てか、おに苦手なんだ～\nでもでも、ファッションだったら任せて～！","ファッション","上坂すみれ","0","14","スズナ"
"158","101701","53","7","自警団（カォン）","獣人族","A","7","いつでも「なんくるないさ～」な天然娘","19","ハイターイ！　歌って踊って、\n最高に盛り上がるさ～！\nやさやさ、キミも一緒に踊るさ～！","踊り、空手","高森奈津美","0","10","カオリ"
"162","101801","52","14","ルーセント学院","魔族","B","8","多くの男性を魅了する無垢な女教師","23","いつも助けてくれてありがとう\n私のほうが年上なのに\n頼ってばかりでごめんなさい～","恋愛小説、恋愛舞台、恋愛漫画の鑑賞","伊藤静","0","14","イオ"
"117","102001","21","3","リトルリリカル","獣人族","O","4","お歌もにんじんも、ウサギさんも大好き♪","10","ぴょんぴょん、うさぎさんになりたいな～♪　\nミミ、うさぎさんになれたら、\n最初におにいちゃんに見せてあげるね！","かわいいもの集め","日高里菜","0","5","ミミ"
"150","102101","40","9","サレンディア救護院","ヒューマン","B","6","泣き虫で臆病な守ってあげたい女の子","12","あの、えっと…私、く、クルミですぅ…\nふ、ふぇぇぇ…ど、どうしようぅ…\nは、恥かしくて…ご、ごめんなさいぃぃ！","観劇、おままごと","植田佳奈","0","9","クルミ"
"150","102201","40","22","悪魔偽王国軍（ディアボロス）","魔族","O","11","人見知りであまのじゃくな女の子","13","え、えっと…こ、こういうときって、\nどういうことを言えばいいんだっけ…\nうう、どうしてちゃんと喋れないの…","ゲーム全般","原紗友里","0","7","ヨリ"
"148","102301","38","10","サレンディア救護院","ヒューマン","B","5","ぷうきちといつも一緒！","14","この子はね、ぷうきちって言うんだ\n武器なんだけど、しゃべるんだよ♪\n大事な大事な、私の友達なんだぁ～！","屋内でできる遊び","芹澤優","0","9","アヤネ"
"154","102501","43","12","サレンディア救護院","ヒューマン","O","12","お嬢さまのためにがんばるドジっ娘メイド","15","うぅ…ごめんなさい～…\nまたキッチンを爆発させてしまいました～\nこれじゃあメイド失格です…","ご奉仕","悠木碧","0","9","スズメ"
"144","102601","42","1","牧場（エリザベスパーク）","獣人族","B","1","遊びと睡眠が何より大事なぐうたら娘","17","test","あんパン","小岩井ことり","0","11","リン"
"154","102701","43","30","トワイライトキャラバン","魔族","B","7","運命の相手に一途すぎる乙女","16","『壊し屋』の二つ名を持つ私…\nですが、怖がる必要はありませんわ\nあなた様は大切な運命の人ですから…","実験、裁縫、料理","橋本ちなみ","0","13","エリコ"
"156","102801","43","4","サレンディア救護院","エルフ","A","10","救護院を経営する優しい庶民派お嬢様","17","貧乏性？　いいえ、\n「もったいない」の精神で\n日々を過ごしてるだけよ！","経営、お茶会","堀江由衣","0","9","サレン"
"157","102901","40","24","カルミナ","ヒューマン","B","1","歌って踊れる大人気アイドル","17","いつか世界中の人達をファンにしてみせる！\nトップアイドルになるその日まで、\n応援よろしくね♪","舞台鑑賞、ダンス","日笠陽子","0","4","ノゾミ"
"163","103001","51","31","ヴァイスフリューゲル　ランドソル支部","ヒューマン","O","8","トーゴクの神秘、オシエテクダサイ！","16","スシ、ゲイシャ、テンプラ…\nはふぅ～！\nトーゴクの文化はステキデスね～！","忍法開発","佐藤聡美","0","15","ニノン"
"157","103101","42","22","悪魔偽王国軍（ディアボロス）","魔族","AB","12","占いが得意な霊能少女","18","私、小さい頃から人には見えないものが\n見えていたんです。今もあなたの後ろに\n一人、二人、三人…賑やかですね","占い","大坪由佳","0","7","シノブ"
"157","103201","45","12","メルクリウス財団","ヒューマン","AB","3","一人前の商人を目指すパワフルお嬢様","18","この私とともにいる限り、\nお金に不自由はさせませんわ！","慈善事業","松嵜麗","0","12","アキノ"
"142","103301","35","3","牧場（エリザベスパーク）","ヒューマン","B","3","みんなを笑顔にするお笑い牧場主","20","オラはどんな時でもみんなに笑顔を届ける\n最高の芸人目指してる！\n一緒に頑張るべ！","漫才","新田恵海","0","11","マヒル"
"164","103401","55","16","メルクリウス財団","エルフ","A","3","純情でほっとけない大人の女性","22","キミには情けないところばかり\n見られているけど、こんなところ、\nキミ以外には見せないんだからね？","ウインドーショッピング","今井麻美","0","12","ユカリ"
"118","103601","21","2","リトルリリカル","エルフ","A","2","礼儀正しくしっかり者のちびっ子優等生","8","test","お勉強","小倉唯","0","5","キョウカ"
"149","103701","43","11","王宮騎士団（NIGHTMARE）","ヒューマン","A","8","義理堅くてからかい好きな剣術少女","13","test","剣術、年長者をからかう","茅原実里","0","8","トモ"
"153","103801","40","3","牧場（エリザベスパーク）","獣人族","A","11","読書が趣味の病弱少女","14","ゴホッ、ゴホッ…か、身体は弱いけど、\nせめて気持ちだけでも前向きに…！\nあっ、でもダメ…立ちくらみが…","読書、お散歩","小清水亜美","0","11","シオリ"
"158","104001","44","6","フォレスティエ","エルフ","AB","6","「友達」に憧れる、エルフの森の女の子","13","友達ができるその日まで…\nBB団で\nトレーニングですっ！","友達作りのイメトレ","花澤香菜","0","6","アオイ"
"163","104201","46","3","カルミナ","ヒューマン","O","6","人々を守るために歌う、唱喚士の少女","17","私は人々の平和を守るため、唱喚術を使って\n戦います。…最近は、ア、アイドルとしても\n活動してますが、そちらはまだ不慣れで…","各種楽器","福原綾香","0","4","チカ"
"168","104301","54","9","自警団（カォン）","獣人族","O","8","男勝りで情に厚いワイルド娘","17","腹へってたら言えよな\n簡単でよければ\nすっげー旨いもん食わせてやるよ！","お菓子作り","小松未可子","0","10","マコト"
"172","104401","50","5","悪魔偽王国軍（ディアボロス）","魔族","A","5","かつては夜を支配した最強の吸血鬼","??","test","世界征服","丹下桜","0","7","イリヤ"
"157","104501","49","19","ヴァイスフリューゲル　ランドソル支部","ヒューマン","AB","11","妄想大好き！　ほんとは照れ屋な女の子","18","あなたのことを考えていました\n…逆らえないクウカをああして、こうして\nぐふ、ぐふふふ…","小説を読むこと","長妻樹里","0","15","クウカ"
"158","104601","48","1","メルクリウス財団","獣人族","AB","3","弱きを助け強きをくじく猫娘","18","お金もうけの話なら、ぜひともあたしに\n持ってくるにゃ！　稼げるなら１ルピだって\n見逃さないのが、あたしの信条にゃ～♪","猫とたわむれること","沼倉愛美","0","12","タマキ"
"171","104701","50","25","王宮騎士団（NIGHTMARE）","ヒューマン","A","10","素顔を見せない冷静沈着な女性騎士","25","？？？","格闘技、湯浴み","川澄綾子","0","8","ジュン"
"163","104801","49","11","メルクリウス財団","ヒューマン","O","11","仕事も私事も効率優先な傭兵少女","20","私がキミの師匠になってあげる！\nもちろんタダとはいかないわ\n時給はしっかりもらうから","傭兵などのアルバイト","田所あずさ","0","12","ミフユ"
"168","104901","54","24","ラビリンス","ヒューマン","O","10","お姉ちゃんがお世話してあげるからねっ！","18","身の回りのお世話はお姉ちゃんがやってあげるね！\nお料理も、お洗濯も、お掃除も\nお風呂で背中も流してあげちゃうぞっ！","家事全般","生天目仁美","0","3","シズル"
"120","105001","22","3","ルーセント学院","魔族","A","1","ちょっとおませな恋に恋する女の子","11","アタシのこと呼んだ？\nレディの魅力で夢中にさせてあげるわね！","ファッション誌鑑賞、コスメ集め","久野美咲","0","14","ミサキ"
"166","105101","53","7","トワイライトキャラバン","ヒューマン","A","3","実験が趣味の危険な科学者","27","私は科学者だけど、\n医者の真似事もしてるの\n病気になったら診てあげるわ","研究、実験","三石琴乃","0","13","ミツキ"
"150","105201","100","14","牧場（エリザベスパーク）","獣人族","A","3","乙女チックなもふもふアニマル","18","私、ごく普通の、どこにでもいる女の子よ！\nみ、見た目以外はね…","毛繕い、お喋り","徳井青空","0","11","リマ"
"140","105301","33","28","ヴァイスフリューゲル　ランドソル支部","ヒューマン","A","7","見た目も中身もお子ちゃまな異国の軍人","18","「白き翼」こと、ヴァイスフリューゲル…\nその名に恥じぬよう、天高く舞い、\n華麗に敵を倒してみせる！","お菓子屋通い","辻あゆみ","0","15","モニカ"
"153","105401","45","7","カルミナ","ヒューマン","AB","9","ファッション大好きなキュートガール","14","test","裁縫","木戸衣吹","0","4","ツムギ"
"155","105501","43","7","ヴァイスフリューゲル　ランドソル支部","エルフ","O","4","どこまでも一途に慕う、純情乙女","16","test","観察","大関英里","0","15","アユミ"
"167","105601","54","11","トワイライトキャラバン","ヒューマン","B","7","人情味溢れる粋でいなせな「姉御」","25","test","釣り","佐藤利奈","0","13","ルカ"
"156","105701","45","10","？？？","ヒューマン","O","3","空への冒険を夢見る騎空士の少女","17","私ね、一人前の騎空士になりたいんだ\nいつか父さんみたいな騎空士になって、\n空の果てまで旅する。それが私の夢だよ！","冒険、おしゃべり","金元寿子","0","","ジータ"
"156","105801","46","31","美食殿","ヒューマン","O","3","いつも元気な腹ペコ少女","17","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","食べ歩き、料理","M・A・O","0","1","ペコリーヌ"
"140","105901","35","11","美食殿","エルフ","B","5","主を慕う、小さなガイド役","11","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","瞑想、動植物の飼育","伊藤美来","0","1","コッコロ"
"152","106001","39","2","美食殿","獣人族","A","9","行き倒れの謎のネコミミ魔法使い","14","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","猫と遊ぶ","立花理香","0","1","キャル"
"148","106101","40","11","？？？","ヒューマン","O","8","さまよえる謎の少女","16","いいんだ、アタシは……独りでも。大丈夫だから、もう慣れたからさぁ","冒険、思い出話","潘めぐみ","0","","ムイミ"
"155","106301","42","17","？？？","エルフ","O","6","森番を目指すエルフの少女","15","","キレイな葉っぱを集めること","優木かな","0","","アリサ"
"147","106401","???","14","美食殿","ドラゴン族","B","12","記憶喪失のドラゴン娘","14","","読書、ストレッチ","近藤玲奈","0","1","シェフィ"
"156","106501","???","25","ドラゴンズネスト","ドラゴン族","B","6","拳で語る喧嘩屋ドラゴン少女","16","","格闘技","小市眞琴","0","17","カヤ"
"145","106601","???","29","ドラゴンズネスト","ドラゴン族","AB","9","口が達者なヘタレドラゴン","13","","ゲーム","藤田茜","0","17","イノリ"
"168","106701","???","17","ドラゴンズネスト","ドラゴン族","O","4","妖しい微笑で全てを見透かす臥竜の頭領","25","","絵画、読書","大西沙織","0","17","ホマレ"
"160","106801","??","25","ラビリンス","ヒューマン","AB","7","秘密結社ラビリンスの『迷宮女王』","25","","人間観察","沢城みゆき","0","3","ラビリスタ"
"166","106901","??","1","？？？","獣人族","AB","7","謎に包まれたランドソルの主","29","","占い、支配","蒼井翔太","0","","カイザーインサイト"
"149","107001","??","24","？？？","エルフ","O","3","研究所に隠れ住む物静かなお姉さん","24","","物真似、芸術鑑賞","井口裕香","0","","ネネカ"
"165","107101","??","7","王宮騎士団（NIGHTMARE）","ヒューマン","O","2","傍若無人な王宮騎士団副団長","27","","強敵との闘争","たかはし智秋","0","8","クリスティーナ"
"156","107501","46","31","美食殿","ヒューマン","O","3","いつも元気な腹ペコ少女","17","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","食べ歩き、料理","M・A・O","0","1","ペコリーヌ（サマー）"
"140","107601","35","11","美食殿","エルフ","B","5","主を慕う、小さなガイド役","11","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","瞑想、動植物の飼育","伊藤美来","0","1","コッコロ（サマー）"
"154","107701","43","12","サレンディア救護院","ヒューマン","O","12","お嬢さまのためにがんばるドジっ娘メイド","15","うぅ…ごめんなさい～…\nまたキッチンを爆発させてしまいました～\nこれじゃあメイド失格です…","ご奉仕","悠木碧","0","9","スズメ（サマー）"
"152","107801","39","2","美食殿","獣人族","A","9","行き倒れの謎のネコミミ魔法使い","14","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","猫と遊ぶ","立花理香","0","1","キャル（サマー）"
"158","107901","48","1","メルクリウス財団","獣人族","AB","3","弱きを助け強きをくじく猫娘","18","お金もうけの話なら、ぜひともあたしに\n持ってくるにゃ！　稼げるなら１ルピだって\n見逃さないのが、あたしの信条にゃ～♪","猫とたわむれること","沼倉愛美","0","12","タマキ（サマー）"
"163","108001","49","11","メルクリウス財団","ヒューマン","O","11","仕事も私事も効率優先な傭兵少女","20","私がキミの師匠になってあげる！\nもちろんタダとはいかないわ\n時給はしっかりもらうから","傭兵などのアルバイト","田所あずさ","0","12","ミフユ（サマー）"
"157","108101","42","22","悪魔偽王国軍（ディアボロス）","魔族","AB","12","占いが得意な霊能少女","18","私、小さい頃から人には見えないものが\n見えていたんです。今もあなたの後ろに\n一人、二人、三人…賑やかですね","占い","大坪由佳","0","7","シノブ（ハロウィン）"
"130","108201","32","23","悪魔偽王国軍（ディアボロス）","魔族","B","1","プリン大好きゴースト娘","14","難しいことはわからないの～\nただ毎日プリンを食べられるなら、\n幽霊のままでいいの～","プリンを食べること","雨宮天","0","7","ミヤコ（ハロウィン）"
"120","108301","22","3","ルーセント学院","魔族","A","1","ちょっとおませな恋に恋する女の子","11","アタシのこと呼んだ？\nレディの魅力で夢中にさせてあげるわね！","ファッション誌鑑賞、コスメ集め","久野美咲","0","14","ミサキ（ハロウィン）"
"163","108401","46","3","カルミナ","ヒューマン","O","6","人々を守るために歌う、唱喚士の少女","17","私は人々の平和を守るため、唱喚術を使って\n戦います。…最近は、ア、アイドルとしても\n活動してますが、そちらはまだ不慣れで…","各種楽器","福原綾香","0","4","チカ（クリスマス）"
"150","108501","40","9","サレンディア救護院","ヒューマン","B","6","泣き虫で臆病な守ってあげたい女の子","12","あの、えっと…私、く、クルミですぅ…\nふ、ふぇぇぇ…ど、どうしようぅ…\nは、恥かしくて…ご、ごめんなさいぃぃ！","観劇、おままごと","植田佳奈","0","9","クルミ（クリスマス）"
"148","108601","38","10","サレンディア救護院","ヒューマン","B","5","ぷうきちといつも一緒！","14","この子はね、ぷうきちって言うんだ\n武器なんだけど、しゃべるんだよ♪\n大事な大事な、私の友達なんだぁ～！","屋内でできる遊び","芹澤優","0","9","アヤネ（クリスマス）"
"155","108701","44","27","トゥインクルウィッシュ","獣人族","A","8","人助けが大好き！　前向き格闘娘","16","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","人助け、応援","東山奈央","0","2","ヒヨリ（ニューイヤー）"
"158","108801","47","5","トゥインクルウィッシュ","ヒューマン","O","4","戦闘のサポートが得意な、心優しい少女","17","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","料理、人間観察","種田梨沙","0","2","ユイ（ニューイヤー）"
"163","108901","46","12","トゥインクルウィッシュ","魔族","B","1","クールで何事にも真っ直ぐな剣士","18","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","読書、乗馬、お茶","早見沙織","0","2","レイ（ニューイヤー）"
"154","109001","43","30","トワイライトキャラバン","魔族","B","7","運命の相手に一途すぎる乙女","16","『壊し屋』の二つ名を持つ私…\nですが、怖がる必要はありませんわ\nあなた様は大切な運命の人ですから…","実験、裁縫、料理","橋本ちなみ","0","13","エリコ（バレンタイン）"
"168","109101","54","24","ラビリンス","ヒューマン","O","10","お姉ちゃんがお世話してあげるからねっ！","18","身の回りのお世話はお姉ちゃんがやってあげるね！\nお料理も、お洗濯も、お掃除も\nお風呂で背中も流してあげちゃうぞっ！","家事全般","生天目仁美","0","3","シズル（バレンタイン）"
"156","109201","55","1","？？？","ヒューマン","AB","12","英霊と契約を結んだマナリアの天才王女","17","私はアン！一応、マナリア王国の\n第一王女だけど…あまりかしこまらないで、\n気軽に仲良くしてくれたら嬉しいな！","読書","日笠陽子","0","","アン"
"144","109301","45","4","？？？","ヒューマン","O","2","マナリア魔法学院の新入生","15","ルゥはルゥですぅ！マナリア魔法学院に\n通ってるですぅ。あなたもルゥの\nお友だちになってくれるですか？","食べること、眠ること","こやまきみこ","0","","ルゥ"
"167","109401","67","3","？？？","半人半竜","B","11","人を超越した力を有す心優しい竜姫","17","私はグレア。竜と人、両方の血を\n受け継いでいるの…\nえっと…よ、よろしくね","ピアノ","福原綾香","0","","グレア"
"157","109501","49","19","ヴァイスフリューゲル　ランドソル支部","ヒューマン","AB","11","妄想大好き！　ほんとは照れ屋な女の子","18","あなたのことを考えていました\n…逆らえないクウカをああして、こうして\nぐふ、ぐふふふ…","小説を読むこと","長妻樹里","0","15","クウカ（オーエド）"
"163","109601","51","31","ヴァイスフリューゲル　ランドソル支部","ヒューマン","O","8","トーゴクの神秘、オシエテクダサイ！","16","スシ、ゲイシャ、テンプラ…\nはふぅ～！\nトーゴクの文化はステキデスね～！","忍法開発","佐藤聡美","0","15","ニノン（オーエド）"
"154","109701","??","2","？？？","鬼族","?","2","鬼がかりの万能妹メイド","17","","演劇鑑賞、詩文","水瀬いのり","0","","レム"
"154","109801","??","2","？？？","鬼族","?","2","毒舌系鬼姉メイド","17","","読書","村川梨衣","0","","ラム"
"164","109901","??","23","？？？","ハーフエルフ","?","9","銀髪のおっとりハーフエルフ","114","","パックの毛繕い、勉強","高橋李依","0","","エミリア"
"167","110001","48","10","ルーセント学院","魔族","O","4","天真爛漫で人気者のカリスマモデル","18","ヒデサイ、ちょっす～！　うち、漢字と計算は\nちょっち…てか、おに苦手なんだ～\nでもでも、ファッションだったら任せて～！","ファッション","上坂すみれ","0","14","スズナ（サマー）"
"162","110101","52","14","ルーセント学院","魔族","B","8","多くの男性を魅了する無垢な女教師","23","いつも助けてくれてありがとう\n私のほうが年上なのに\n頼ってばかりでごめんなさい～","恋愛小説、恋愛舞台、恋愛漫画の鑑賞","伊藤静","0","14","イオ（サマー）"
"120","110201","22","3","ルーセント学院","魔族","A","1","ちょっとおませな恋に恋する女の子","11","","ファッション誌鑑賞、コスメ集め","久野美咲","0","14","ミサキ（サマー）"
"156","110301","43","4","サレンディア救護院","エルフ","A","10","救護院を経営する優しい庶民派お嬢様","17","貧乏性？　いいえ、\n「もったいない」の精神で\n日々を過ごしてるだけよ！","経営、お茶会","堀江由衣","0","9","サレン（サマー）"
"168","110401","54","9","自警団（カォン）","獣人族","O","8","男勝りで情に厚いワイルド娘","17","腹へってたら言えよな\n簡単でよければ\nすっげー旨いもん食わせてやるよ！","お菓子作り","小松未可子","0","10","マコト（サマー）"
"158","110501","53","7","自警団（カォン）","獣人族","A","7","いつでも「なんくるないさ～」な天然娘","19","ハイターイ！　歌って踊って、\n最高に盛り上がるさ～！\nやさやさ、キミも一緒に踊るさ～！","踊り、空手","高森奈津美","0","10","カオリ（サマー）"
"155","110601","42","22","自警団（カォン）","獣人族","O","9","マホマホ王国のプリンセス","16","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","空想、ぬいぐるみ集め","内田真礼","0","10","マホ（サマー）"
"158","110701","44","6","フォレスティエ","エルフ","AB","6","「友達」に憧れる、エルフの森の女の子","13","","友達作りのイメトレ","花澤香菜","0","6","アオイ（編入生）"
"154","110801","42","7","聖テレサ女学院（なかよし部）","エルフ","O","8","ダウンタウン育ちのダウナー系エルフ","17","","ダーツ","種﨑敦美","0","16","クロエ"
"156","110901","46","15","聖テレサ女学院（なかよし部）","ヒューマン","O","9","自由奔放ナチュラル無礼な現代っ子","16","","ダンス、カラオケ","佐倉綾音","0","16","チエル"
"142","111001","36","28","聖テレサ女学院（なかよし部）","ヒューマン","O","2","書庫に眠れる小さな賢人","18","","読書","小原好美","0","16","ユニ"
"118","111101","21","2","リトルリリカル","エルフ","A","2","礼儀正しくしっかり者のちびっ子優等生","8","","お勉強","小倉唯","0","5","キョウカ（ハロウィン）"
"128","111201","27","10","リトルリリカル","ヒューマン","O","8","探検好きのイタズラっ子","9","イタズラなら任せて！\nにいちゃん、引っかからないように気を付けなよー♪","いたずら、探検","諸星すみれ","0","5","ミソギ（ハロウィン）"
"117","111301","21","3","リトルリリカル","獣人族","O","4","お歌もにんじんも、ウサギさんも大好き♪","10","ぴょんぴょん、うさぎさんになりたいな～♪　\nミミ、うさぎさんになれたら、\n最初におにいちゃんに見せてあげるね！","かわいいもの集め","日高里菜","0","5","ミミ（ハロウィン）"
"142","111401","28","?","？？？","ヒューマン","?","?","おともだちを探す死霊術師の少女","??","","「おともだち」を探すこと","小倉唯","0","","ルナ"
"165","111501","??","7","王宮騎士団（NIGHTMARE）","ヒューマン","O","2","傍若無人な王宮騎士団副団長","27","","強敵との闘争","たかはし智秋","0","8","クリスティーナ（クリスマス）"
"157","111601","40","24","カルミナ","ヒューマン","B","1","歌って踊れる大人気アイドル","17","","舞台鑑賞、ダンス","日笠陽子","0","4","ノゾミ（クリスマス）"
"172","111701","50","5","悪魔偽王国軍（ディアボロス）","魔族","A","5","かつては夜を支配した最強の吸血鬼","??","","世界征服","丹下桜","0","7","イリヤ（クリスマス）"
"156","111801","46","31","美食殿","ヒューマン","O","3","いつも元気な腹ペコ少女","17","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","食べ歩き、料理","M・A・O","0","1","ぺコリーヌ（ニューイヤー）"
"140","111901","35","11","美食殿","エルフ","B","5","主を慕う、小さなガイド役","11","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","瞑想、動植物の飼育","伊藤美来","0","1","コッコロ（ニューイヤー）"
