8097ed4225daabbc47402075de94b703b02f1442b6b7cf2e4563133d5102b399,b824788d3e73679002a1072d1781ae2fb2fde8e7597430e772fc90d15c72129b,a133269bb40f732f5a0c7396867f6b8a061cc54b5772fe53edd1379f31d220f5,1fcbff3ad9d9976a67a3f07476128bd465e05ddfe988db4fc4ceb5d1dbb18a1d,6b8e984e75750b30ac2c267e5af0e5c85ef9cdf3d2c454bd2d9a3a83f9ace377,9f3f1f9b300e174364cd5b5aaff2e57db39cd840fd9d8e8e4ce55359e3d106f8,aca48341f061bbe96d8ddaba7efa0aa36f0f9c27b0d3bbfc7bac05380201809f,b1bea6a2f31826528ac224fdf68b98170807dd9722d2fbf1eae5cfc8387168df
"チョキにしよう","0","勝つとアルファルピ×3000\n負けるとアルファルピ×1000","0","11102","32_rei_choki","11102","100301"
"パーにしようかな","0","勝つとアルファルピ×3000\n負けるとアルファルピ×1000","0","11103","33_yui_pa","11103","100201"
"弟くん\nこっちこっち♪","0","アルファルピ×2000","0","11111","101_chest_shizuru","11111","193001"
"お兄ちゃん\nこっちですよ♪","0","★1～3迷宮遺物×１","0","11112","102_chest_rino","11112","193001"
"ミクマ流の\n剣技にかけて！","0","アルファルピ×2000","0","11121","111_tomo_run","11121","103701"
"ここは私たちに\n任せて！","0","ジュンが仲間になる\n＋オールランダムサイン×2～4","0","11122","112_jun_run","11122","104701"
"腕試しッス！","0","バトルマス(NORMAL)の\n敵に挑戦する\n＋アルファルピ×400","0","11131","41_matsuri_guts","11131","100501"
"強敵との戦いは心躍る！","0","バトルマス(EXTREME)の\n敵に挑戦する\n＋アルファルピ×600","0","11132","42_chris_cool","11132","107101"
"腕試しッス！","0","バトルマス(NORMAL)の\n敵に挑戦する\n＋アルファルピ×500","0","11171","41_matsuri_guts","11171","100501"
"強敵との戦いは心躍る！","0","バトルマス(EXTREME)の\n敵に挑戦する\n＋アルファルピ×750","0","11172","42_chris_cool","11172","107101"
"のんびり\n釣りでもしようか","0","50％で★1迷宮遺物×1\nさらに次のイベントへ","0","13141","51_ruka_fishing","13141","105601"
"みんなで\n料理を作りましょう☆","0","50％で次のイベントへ","0","13151","91_peko_guts","13151","105801"
"やってやるですよ！","0","50％でアルファルピ×2000\nさらに次のイベントへ","0","13161","61_inori_guts","13161","106601"
"もう一回挑戦だ！","0","25％で★2迷宮遺物×1\nさらに次のイベントへ","0","23141","52_ruka_fishing","23141","105601"
"まだまだ\n食べ足りません☆","0","50％で次のイベントへ","1","23151","92_peko_guts","23151","105801"
"それくらいで\nいいんじゃない？","0","ランダムなロールの\nランダムサイン×2","0","23152","92_kyaru_sad","23152","106001"
"今日はツイてるです！","2000","50％でアルファルピ×4000\nさらに次のイベントへ","1","23161","62_inori_guts","23161","106601"
"もうこの辺で……","0","挑戦終了","0","23162","62_ayumi_sad","23162","105501"
"最後にもうひと勝負！","0","10％で★3迷宮遺物×1","0","33141","53_ruka_fishing","33141","105601"
"えへへ～\nもうちょっとだけ……","0","50％でオールセレクトサイン×２","1","33151","93_peko_guts","33151","105801"
"そんなに\n食べきれないでしょ！","0","ランダムなロールの\nセレクトサイン×2","0","33152","93_kyaru_anger","33152","106001"
"今日のあたしは\n負け知らずです！","4000","50％でアルファルピ×8000","1","33161","63_inori_guts","33161","106601"
"そろそろやめた方が……","0","挑戦終了","0","33162","63_ayumi_worry","33162","105501"
