6cb38c93f2ca4eeb25fafb2e6df994e1fc1a11a0a3b461aae4a951c3ce25d84b,5e4afc51abf21859a6c75a9881faf5d2e0403a55e52c190dd3fc7b326c8a738e,861b58a42a9761b540b5556297c9bd81de11c58e00d8e4c0621f62417de236ca,e3a87cb7b310955e7c4ef8335c2c3f2fc4f9d37a652d7ddfa8b8a62eb940e522,2f0c43b8c762dd9c8be80c78e9e8c6a723e2b97957927e2fb26adb9cda20a1ed,114fd2768c3ea623d0c9aca86584d82c3e618b8ca681a9f56df8457a6c627e43
"10119","3","124","2","5092001","501031"
"10119","3","125","2","5092004","501551"
"10118","3","126","2","5118002","500133"
"10118","3","127","2","5118003","500810"
"10118","3","128","2","5118007","500133"
"20040","3","129","2","5072004","501364"
"20040","3","130","2","5072006","501365"
"10124","3","132","2","5124003","501614"
"20041","3","133","2","5074001","501383"
"10121","3","135","2","5094001","501593"
"10122","3","136","2","5122000","502003"
"10122","3","137","2","5122002","502015"
"10123","3","138","2","5096002","501613"
"20042","3","139","2","5076005","505036"
"20043","3","140","2","5078004","501451"
"10125","3","141","2","5098000","501031"
"10127","3","143","2","5100003","500837"
"20044","3","144","2","5080005","501463"
"10128","3","145","2","5128001","502063"
"10129","3","146","2","5102002","501873"
"20045101","1","147","1","20045105","0"
"20045102","1","148","1","20045108","0"
"20045103","1","149","1","20045111","0"
"20045","3","150","2","5082002","501160"
"20045","3","151","2","5082004","501031"
"20045","3","152","2","5082005","501483"
"20046","3","153","2","5084001","500368"
"20046","3","154","2","5084002","510306"
"20046","3","155","2","5084003","500039"
"20047","3","156","2","5085002","500368"
"20047","3","157","2","5085003","510203"
"20047","3","158","2","5085004","500272"
"20047","3","159","2","5085005","501501"
"10130","3","160","2","5130001","500016"
"10130","3","161","2","5130007","500133"
"10131","3","162","2","5104003","500133"
"10136","3","163","2","5136002","500143"
"10136","3","164","2","5136004","500175"
"10137","3","165","2","5137002","501622"
"10137","3","166","2","5137005","500133"
"20048","3","167","2","5088005","501810"
"10134","3","168","2","5134007","500553"
"10135","3","169","2","5108002","501911"
"10138","3","170","2","5110005","501931"
"10139","3","171","2","5111005","500013"
"20049","3","172","2","5090002","501541"
"10138101","2","173","1","1013801","0"
"10141","3","174","2","5114000","500016"
"10141","3","175","2","5114003","501952"
"10140","3","180","2","5140002","502224"
"20050","3","181","2","5092001","501031"
"20050","3","182","2","5092004","501551"
"10142","3","183","2","5142001","501683"
"10143","3","184","2","5116004","500837"
"10145","3","185","2","5118002","500133"
"10145","3","186","2","5118003","500810"
"10145","3","187","2","5118007","500133"
"20051","3","188","2","5094001","501593"
"20052","3","189","2","5096002","501613"
"10146","3","1014601","2","5146001","502283"
"10149","3","1014901","2","5122000","502003"
"10149","3","1014902","2","5122002","502015"
"10151","3","1015101","2","5124003","501614"
"20053","3","2005301","2","5098000","501031"
"20054","3","2005401","2","5100003","500837"
"20055","3","2005501","2","5102002","501873"
