8a410e2431500fa6ba8143ce5a092bb39fcaacbd0d4b64396caf7d1960a83970,a3d5f61209b5c1c8b148828acef9d09398a440b21773780160730b171f573fc7,e2d8e72d6e237a70179c038f6fe211b336847bc52c6ec2ff5ce4a8a26419a616,b8869e6455984070462c2f58c47f5df8ebbb9c6b32dae80147e4f530462db19d,1e70fe92152e482d67136e301d27e223bdf58857a14e262092d67995051a8c00,bc2eaec74bfa2becab1b225987ea34f6742e7c58b0126ed785e54aa8dd4f76f0,68f2e02748c4f4df650edf1b4e4455f7c99da0deccb7baf328970758da2b453a,a668afa7d58737dd54c4062bfbf42923c0cc1be25182c4b54148c5facfb94db4,3ea7651900dbf017713cf5cbc16de3fff86a26a29495515248876e814cc38e7d,5c0ad312c358a24c4199f57444566dd5f84825bb1637d6b57698f185af444b54,140e104b7379c4cc975f803b8b5012db77d993338df5796c8087c0139a4f051b,da1fa682b93bd3be7e05a94bed8a9bc40035c1772c413be2df8092515f52425e,f0cad9107c6795ee152f9882053bb59b046be3521bbf1b9eebbbba47e46bdebb,4e0288ba137d141031d7a55d054cbd1ff11e705290cccc498032de8dcb5221b1,42ab549d258241cea4661301fd6151ec51a46a4b75df6d8f613de160e1661142,b39e8ae1f1272c4ad3b702b7b2b0c2fe7b725234af390b95c0b9bf276827a0ba
"101101","25","阿澄佳奈","A","ラビリンス","リノ","お裁縫","覚えていないと思うんですけど…\n私は妹なんですよ！\nだからお兄ちゃんって呼んでいいですか？","44","156","15","0","8","3","ヒューマン","人懐っこくてマシンガントークな妹系少女"
"101201","24","大橋彩香","A","フォレスティエ","ハツネ","妹と遊ぶこと、二度寝、昼寝、早寝","私はハツネ！　困っている人の味方だよ！\n困った時は、いつでも言ってね♪\n私のちょ…ま、魔法で助けてあげるから！","46","156","17","0","12","6","エルフ","みんなのために超能力を使う眠り姫"
"101301","21","佳村はるか","O","トワイライトキャラバン","ナナカ","読書、魔法","","55","166","18","0","8","13","魔族","オタク全開な魔法少女"
"101401","3","水瀬いのり","AB","自警団（カォン）","カスミ","読書、推理","test","41","152","15","0","11","10","獣人族","頭脳明晰な美少女名探偵"
"101501","5","國府田マリ子","O","フォレスティエ","ミサト","絵本作り","test","54","165","21","0","9","6","エルフ","母性溢れる優しいみんなの「ミサト先生」"
"101601","10","上坂すみれ","O","ルーセント学院","スズナ","ファッション","ヒデサイ、ちょっす～！　うち、漢字と計算は\nちょっち…てか、おに苦手なんだ～\nでもでも、ファッションだったら任せて～！","48","167","17","0","4","14","魔族","天真爛漫で人気者のカリスマモデル"
"101701","7","高森奈津美","A","自警団（カォン）","カオリ","踊り、空手","ハイターイ！　歌って踊って、\n最高に盛り上がるさ～！\nやさやさ、キミも一緒に踊るさ～！","53","158","17","0","7","10","獣人族","いつでも「なんくるないさ～」な天然娘"
"101801","14","伊藤静","B","ルーセント学院","イオ","恋愛小説、恋愛舞台、恋愛漫画の鑑賞","いつも助けてくれてありがとう\n私のほうが年上なのに\n頼ってばかりでごめんなさい～","52","162","23","0","8","14","魔族","多くの男性を魅了する無垢な女教師"
"102001","3","日高里菜","O","リトルリリカル","ミミ","かわいいもの集め","ぴょんぴょん、うさぎさんになりたいな～♪　\nミミ、うさぎさんになれたら、\n最初におにいちゃんに見せてあげるね！","21","117","10","0","4","5","獣人族","お歌もにんじんも、ウサギさんも大好き♪"
"102101","9","植田佳奈","B","サレンディア救護院","クルミ","観劇、おままごと","あの、えっと…私、く、クルミですぅ…\nふ、ふぇぇぇ…ど、どうしようぅ…\nは、恥かしくて…ご、ごめんなさいぃぃ！","40","150","12","0","6","9","ヒューマン","泣き虫で臆病な守ってあげたい女の子"
"102201","22","原紗友里","O","悪魔偽王国軍（ディアボロス）","ヨリ","ゲーム全般","え、えっと…こ、こういうときって、\nどういうことを言えばいいんだっけ…\nうう、どうしてちゃんと喋れないの…","40","150","13","0","11","7","魔族","人見知りであまのじゃくな女の子"
"102301","10","芹澤優","B","サレンディア救護院","アヤネ","屋内でできる遊び","この子はね、ぷうきちって言うんだ\n武器なんだけど、しゃべるんだよ♪\n大事な大事な、私の友達なんだぁ～！","38","148","14","0","5","9","ヒューマン","ぷうきちといつも一緒！"
"102501","12","悠木碧","O","サレンディア救護院","スズメ","ご奉仕","うぅ…ごめんなさい～…\nまたキッチンを爆発させてしまいました～\nこれじゃあメイド失格です…","43","154","15","0","12","9","ヒューマン","お嬢さまのためにがんばるドジっ娘メイド"
"102601","1","小岩井ことり","B","牧場（エリザベスパーク）","リン","あんパン","test","42","144","17","0","1","11","獣人族","遊びと睡眠が何より大事なぐうたら娘"
"102701","30","橋本ちなみ","B","トワイライトキャラバン","エリコ","実験、裁縫、料理","『壊し屋』の二つ名を持つ私…\nですが、怖がる必要はありませんわ\nあなた様は大切な運命の人ですから…","43","154","16","0","7","13","魔族","運命の相手に一途すぎる乙女"
"102801","4","堀江由衣","A","サレンディア救護院","サレン","経営、お茶会","貧乏性？　いいえ、\n「もったいない」の精神で\n日々を過ごしてるだけよ！","43","156","17","0","10","9","エルフ","救護院を経営する優しい庶民派お嬢様"
"102901","24","日笠陽子","B","カルミナ","ノゾミ","舞台鑑賞、ダンス","いつか世界中の人達をファンにしてみせる！\nトップアイドルになるその日まで、\n応援よろしくね♪","40","157","17","0","1","4","ヒューマン","歌って踊れる大人気アイドル"
"103001","31","佐藤聡美","O","ヴァイスフリューゲル　ランドソル支部","ニノン","忍法開発","スシ、ゲイシャ、テンプラ…\nはふぅ～！\nトーゴクの文化はステキデスね～！","51","163","16","0","8","15","ヒューマン","トーゴクの神秘、オシエテクダサイ！"
"103101","22","大坪由佳","AB","悪魔偽王国軍（ディアボロス）","シノブ","占い","私、小さい頃から人には見えないものが\n見えていたんです。今もあなたの後ろに\n一人、二人、三人…賑やかですね","42","157","18","0","12","7","魔族","占いが得意な霊能少女"
"103201","12","松嵜麗","AB","メルクリウス財団","アキノ","慈善事業","この私とともにいる限り、\nお金に不自由はさせませんわ！","45","157","18","0","3","12","ヒューマン","一人前の商人を目指すパワフルお嬢様"
"103301","3","新田恵海","B","牧場（エリザベスパーク）","マヒル","漫才","オラはどんな時でもみんなに笑顔を届ける\n最高の芸人目指してる！\n一緒に頑張るべ！","35","142","20","0","3","11","ヒューマン","みんなを笑顔にするお笑い牧場主"
"103401","16","今井麻美","A","メルクリウス財団","ユカリ","ウインドーショッピング","キミには情けないところばかり\n見られているけど、こんなところ、\nキミ以外には見せないんだからね？","55","164","22","0","3","12","エルフ","純情でほっとけない大人の女性"
"103601","2","小倉唯","A","リトルリリカル","キョウカ","お勉強","test","21","118","8","0","2","5","エルフ","礼儀正しくしっかり者のちびっ子優等生"
"103701","11","茅原実里","A","王宮騎士団（NIGHTMARE）","トモ","剣術、年長者をからかう","test","43","149","13","0","8","8","ヒューマン","義理堅くてからかい好きな剣術少女"
"103801","3","小清水亜美","A","牧場（エリザベスパーク）","シオリ","読書、お散歩","ゴホッ、ゴホッ…か、身体は弱いけど、\nせめて気持ちだけでも前向きに…！\nあっ、でもダメ…立ちくらみが…","40","153","14","0","11","11","獣人族","読書が趣味の病弱少女"
"104001","6","花澤香菜","AB","フォレスティエ","アオイ","友達作りのイメトレ","友達ができるその日まで…\nBB団で\nトレーニングですっ！","44","158","13","0","6","6","エルフ","「友達」に憧れる、エルフの森の女の子"
"104201","3","福原綾香","O","カルミナ","チカ","各種楽器","私は人々の平和を守るため、唱喚術を使って\n戦います。…最近は、ア、アイドルとしても\n活動してますが、そちらはまだ不慣れで…","46","163","17","0","6","4","ヒューマン","人々を守るために歌う、唱喚士の少女"
"104301","9","小松未可子","O","自警団（カォン）","マコト","お菓子作り","腹へってたら言えよな\n簡単でよければ\nすっげー旨いもん食わせてやるよ！","54","168","17","0","8","10","獣人族","男勝りで情に厚いワイルド娘"
"104401","5","丹下桜","A","悪魔偽王国軍（ディアボロス）","イリヤ","世界征服","test","50","172","??","0","5","7","魔族","かつては夜を支配した最強の吸血鬼"
"104501","19","長妻樹里","AB","ヴァイスフリューゲル　ランドソル支部","クウカ","小説を読むこと","あなたのことを考えていました\n…逆らえないクウカをああして、こうして\nぐふ、ぐふふふ…","49","157","18","0","11","15","ヒューマン","妄想大好き！　ほんとは照れ屋な女の子"
"104601","1","沼倉愛美","AB","メルクリウス財団","タマキ","猫とたわむれること","お金もうけの話なら、ぜひともあたしに\n持ってくるにゃ！　稼げるなら１ルピだって\n見逃さないのが、あたしの信条にゃ～♪","48","158","19","0","3","12","獣人族","弱きを助け強きをくじく猫娘"
"104701","25","川澄綾子","A","王宮騎士団（NIGHTMARE）","ジュン","格闘技、湯浴み","？？？","50","171","25","0","10","8","ヒューマン","素顔を見せない冷静沈着な女性騎士"
"104801","11","田所あずさ","O","メルクリウス財団","ミフユ","傭兵などのアルバイト","私がキミの師匠になってあげる！\nもちろんタダとはいかないわ\n時給はしっかりもらうから","49","163","20","0","11","12","ヒューマン","仕事も私事も効率優先な傭兵少女"
"104901","24","生天目仁美","O","ラビリンス","シズル","家事全般","身の回りのお世話はお姉ちゃんがやってあげるね！\nお料理も、お洗濯も、お掃除も\nお風呂で背中も流してあげちゃうぞっ！","54","168","18","0","10","3","ヒューマン","お姉ちゃんがお世話してあげるからねっ！"
"105001","3","久野美咲","A","ルーセント学院","ミサキ","ファッション誌鑑賞、コスメ集め","アタシのこと呼んだ？\nレディの魅力で夢中にさせてあげるわね！","22","120","11","0","1","14","魔族","ちょっとおませな恋に恋する女の子"
"105101","7","三石琴乃","A","トワイライトキャラバン","ミツキ","研究、実験","私は科学者だけど、\n医者の真似事もしてるの\n病気になったら診てあげるわ","53","166","27","0","3","13","ヒューマン","実験が趣味の危険な科学者"
"105201","14","徳井青空","A","牧場（エリザベスパーク）","リマ","毛繕い、お喋り","私、ごく普通の、どこにでもいる女の子よ！\nみ、見た目以外はね…","100","150","17","0","3","11","獣人族","乙女チックなもふもふアニマル"
"105301","28","辻あゆみ","A","ヴァイスフリューゲル　ランドソル支部","モニカ","お菓子屋通い","「白き翼」こと、ヴァイスフリューゲル…\nその名に恥じぬよう、天高く舞い、\n華麗に敵を倒してみせる！","33","140","17","0","7","15","ヒューマン","見た目も中身もお子ちゃまな異国の軍人"
"105401","7","木戸衣吹","AB","カルミナ","ツムギ","裁縫","test","45","153","14","0","9","4","ヒューマン","ファッション大好きなキュートガール"
"105501","7","大関英里","O","ヴァイスフリューゲル　ランドソル支部","アユミ","観察","test","43","155","16","0","4","15","エルフ","どこまでも一途に慕う、純情乙女"
"105601","11","佐藤利奈","B","トワイライトキャラバン","ルカ","釣り","test","54","167","25","0","7","13","ヒューマン","人情味溢れる粋でいなせな「姉御」"
"105701","10","金元寿子","O","？？？","ジータ","冒険、おしゃべり","私ね、一人前の騎空士になりたいんだ\nいつか父さんみたいな騎空士になって、\n空の果てまで旅する。それが私の夢だよ！","45","156","17","0","3","","ヒューマン","空への冒険を夢見る騎空士の少女"
"105801","31","M・A・O","O","美食殿","ペコリーヌ","食べ歩き、料理","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","46","156","17","0","3","1","ヒューマン","いつも元気な腹ペコ少女"
"105901","11","伊藤美来","B","美食殿","コッコロ","瞑想、動植物の飼育","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","35","140","11","0","5","1","エルフ","主を慕う、小さなガイド役"
"106001","2","立花理香","A","美食殿","キャル","猫と遊ぶ","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","39","152","14","0","9","1","獣人族","行き倒れの謎のネコミミ魔法使い"
"106101","11","潘めぐみ","O","？？？","ムイミ","冒険、思い出話","いいんだ、アタシは……独りでも。大丈夫だから、もう慣れたからさぁ","40","148","16","0","8","","ヒューマン","さまよえる謎の少女"
"106301","17","優木かな","O","？？？","アリサ","キレイな葉っぱを集めること","","42","155","15","0","6","","エルフ","森番を目指すエルフの少女"
"106401","14","近藤玲奈","B","美食殿","シェフィ","読書、ストレッチ","","???","147","14","0","12","1","ドラゴン族","記憶喪失のドラゴン娘"
"106501","25","小市眞琴","B","ドラゴンズネスト","カヤ","格闘技","","???","156","16","0","6","17","ドラゴン族","拳で語る喧嘩屋ドラゴン少女"
"106601","29","藤田茜","AB","ドラゴンズネスト","イノリ","ゲーム","","???","145","13","0","9","17","ドラゴン族","口が達者なヘタレドラゴン"
"106701","17","大西沙織","O","ドラゴンズネスト","ホマレ","絵画、読書","","???","168","25","0","4","17","ドラゴン族","妖しい微笑で全てを見透かす臥竜の頭領"
"106801","25","沢城みゆき","AB","ラビリンス","ラビリスタ","人間観察","","??","160","25","0","7","3","ヒューマン","秘密結社ラビリンスの『迷宮女王』"
"106901","1","蒼井翔太","AB","？？？","カイザーインサイト","占い、支配","","??","166","29","0","7","","獣人族","謎に包まれたランドソルの主"
"107001","24","井口裕香","O","？？？","ネネカ","物真似、芸術鑑賞","","??","149","24","0","3","","エルフ","研究所に隠れ住む物静かなお姉さん"
"107101","7","たかはし智秋","O","王宮騎士団（NIGHTMARE）","クリスティーナ","強敵との闘争","","??","165","27","0","2","8","ヒューマン","傍若無人な王宮騎士団副団長"
"107501","31","M・A・O","O","美食殿","ペコリーヌ（サマー）","食べ歩き、料理","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","46","156","17","0","3","1","ヒューマン","いつも元気な腹ペコ少女"
"107601","11","伊藤美来","B","美食殿","コッコロ（サマー）","瞑想、動植物の飼育","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","35","140","11","0","5","1","エルフ","主を慕う、小さなガイド役"
"107701","12","悠木碧","O","サレンディア救護院","スズメ（サマー）","ご奉仕","うぅ…ごめんなさい～…\nまたキッチンを爆発させてしまいました～\nこれじゃあメイド失格です…","43","154","15","0","12","9","ヒューマン","お嬢さまのためにがんばるドジっ娘メイド"
"107801","2","立花理香","A","美食殿","キャル（サマー）","猫と遊ぶ","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","39","152","14","0","9","1","獣人族","行き倒れの謎のネコミミ魔法使い"
"107901","1","沼倉愛美","AB","メルクリウス財団","タマキ（サマー）","猫とたわむれること","お金もうけの話なら、ぜひともあたしに\n持ってくるにゃ！　稼げるなら１ルピだって\n見逃さないのが、あたしの信条にゃ～♪","48","158","19","0","3","12","獣人族","弱きを助け強きをくじく猫娘"
"108001","11","田所あずさ","O","メルクリウス財団","ミフユ（サマー）","傭兵などのアルバイト","私がキミの師匠になってあげる！\nもちろんタダとはいかないわ\n時給はしっかりもらうから","49","163","20","0","11","12","ヒューマン","仕事も私事も効率優先な傭兵少女"
"108101","22","大坪由佳","AB","悪魔偽王国軍（ディアボロス）","シノブ（ハロウィン）","占い","私、小さい頃から人には見えないものが\n見えていたんです。今もあなたの後ろに\n一人、二人、三人…賑やかですね","42","157","18","0","12","7","魔族","占いが得意な霊能少女"
"108201","23","雨宮天","B","悪魔偽王国軍（ディアボロス）","ミヤコ（ハロウィン）","プリンを食べること","難しいことはわからないの～\nただ毎日プリンを食べられるなら、\n幽霊のままでいいの～","32","130","14","0","1","7","魔族","プリン大好きゴースト娘"
"108301","3","久野美咲","A","ルーセント学院","ミサキ（ハロウィン）","ファッション誌鑑賞、コスメ集め","アタシのこと呼んだ？\nレディの魅力で夢中にさせてあげるわね！","22","120","11","0","1","14","魔族","ちょっとおませな恋に恋する女の子"
"108401","3","福原綾香","O","カルミナ","チカ（クリスマス）","各種楽器","私は人々の平和を守るため、唱喚術を使って\n戦います。…最近は、ア、アイドルとしても\n活動してますが、そちらはまだ不慣れで…","46","163","17","0","6","4","ヒューマン","人々を守るために歌う、唱喚士の少女"
"108501","9","植田佳奈","B","サレンディア救護院","クルミ（クリスマス）","観劇、おままごと","あの、えっと…私、く、クルミですぅ…\nふ、ふぇぇぇ…ど、どうしようぅ…\nは、恥かしくて…ご、ごめんなさいぃぃ！","40","150","12","0","6","9","ヒューマン","泣き虫で臆病な守ってあげたい女の子"
"108601","10","芹澤優","B","サレンディア救護院","アヤネ（クリスマス）","屋内でできる遊び","この子はね、ぷうきちって言うんだ\n武器なんだけど、しゃべるんだよ♪\n大事な大事な、私の友達なんだぁ～！","38","148","14","0","5","9","ヒューマン","ぷうきちといつも一緒！"
"108701","27","東山奈央","A","トゥインクルウィッシュ","ヒヨリ（ニューイヤー）","人助け、応援","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","44","155","16","0","8","2","獣人族","人助けが大好き！　前向き格闘娘"
"108801","5","種田梨沙","O","トゥインクルウィッシュ","ユイ（ニューイヤー）","料理、人間観察","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","47","158","17","0","4","2","ヒューマン","戦闘のサポートが得意な、心優しい少女"
"108901","12","早見沙織","B","トゥインクルウィッシュ","レイ（ニューイヤー）","読書、乗馬、お茶","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","46","163","18","0","1","2","魔族","クールで何事にも真っ直ぐな剣士"
"109001","30","橋本ちなみ","B","トワイライトキャラバン","エリコ（バレンタイン）","実験、裁縫、料理","『壊し屋』の二つ名を持つ私…\nですが、怖がる必要はありませんわ\nあなた様は大切な運命の人ですから…","43","154","16","0","7","13","魔族","運命の相手に一途すぎる乙女"
"109101","24","生天目仁美","O","ラビリンス","シズル（バレンタイン）","家事全般","身の回りのお世話はお姉ちゃんがやってあげるね！\nお料理も、お洗濯も、お掃除も\nお風呂で背中も流してあげちゃうぞっ！","54","168","18","0","10","3","ヒューマン","お姉ちゃんがお世話してあげるからねっ！"
"109201","1","日笠陽子","AB","？？？","アン","読書","私はアン！一応、マナリア王国の\n第一王女だけど…あまりかしこまらないで、\n気軽に仲良くしてくれたら嬉しいな！","55","156","17","0","12","","ヒューマン","英霊と契約を結んだマナリアの天才王女"
"109301","4","こやまきみこ","O","？？？","ルゥ","食べること、眠ること","ルゥはルゥですぅ！マナリア魔法学院に\n通ってるですぅ。あなたもルゥの\nお友だちになってくれるですか？","45","144","16","0","2","","ヒューマン","マナリア魔法学院の新入生"
"109401","3","福原綾香","B","？？？","グレア","ピアノ","私はグレア。竜と人、両方の血を\n受け継いでいるの…\nえっと…よ、よろしくね","67","167","17","0","11","","半人半竜","人を超越した力を有す心優しい竜姫"
"109501","19","長妻樹里","AB","ヴァイスフリューゲル　ランドソル支部","クウカ（オーエド）","小説を読むこと","あなたのことを考えていました\n…逆らえないクウカをああして、こうして\nぐふ、ぐふふふ…","49","157","18","0","11","15","ヒューマン","妄想大好き！　ほんとは照れ屋な女の子"
"109601","31","佐藤聡美","O","ヴァイスフリューゲル　ランドソル支部","ニノン（オーエド）","忍法開発","スシ、ゲイシャ、テンプラ…\nはふぅ～！\nトーゴクの文化はステキデスね～！","51","163","16","0","8","15","ヒューマン","トーゴクの神秘、オシエテクダサイ！"
"109701","2","水瀬いのり","?","？？？","レム","演劇鑑賞、詩文","","??","154","17","0","2","","鬼族","鬼がかりの万能妹メイド"
"109801","2","村川梨衣","?","？？？","ラム","読書","","??","154","17","0","2","","鬼族","毒舌系鬼姉メイド"
"109901","23","高橋李依","?","？？？","エミリア","パックの毛繕い、勉強","","??","164","??","0","9","","ハーフエルフ","銀髪のおっとりハーフエルフ"
"110001","10","上坂すみれ","O","ルーセント学院","スズナ（サマー）","ファッション","ヒデサイ、ちょっす～！　うち、漢字と計算は\nちょっち…てか、おに苦手なんだ～\nでもでも、ファッションだったら任せて～！","48","167","17","0","4","14","魔族","天真爛漫で人気者のカリスマモデル"
"110101","14","伊藤静","B","ルーセント学院","イオ（サマー）","恋愛小説、恋愛舞台、恋愛漫画の鑑賞","いつも助けてくれてありがとう\n私のほうが年上なのに\n頼ってばかりでごめんなさい～","52","162","23","0","8","14","魔族","多くの男性を魅了する無垢な女教師"
"110201","3","久野美咲","A","ルーセント学院","ミサキ（サマー）","ファッション誌鑑賞、コスメ集め","","22","120","11","0","1","14","魔族","ちょっとおませな恋に恋する女の子"
"110301","4","堀江由衣","A","サレンディア救護院","サレン（サマー）","経営、お茶会","貧乏性？　いいえ、\n「もったいない」の精神で\n日々を過ごしてるだけよ！","43","156","17","0","10","9","エルフ","救護院を経営する優しい庶民派お嬢様"
"110401","9","小松未可子","O","自警団（カォン）","マコト（サマー）","お菓子作り","腹へってたら言えよな\n簡単でよければ\nすっげー旨いもん食わせてやるよ！","54","168","17","0","8","10","獣人族","男勝りで情に厚いワイルド娘"
"110501","7","高森奈津美","A","自警団（カォン）","カオリ（サマー）","踊り、空手","ハイターイ！　歌って踊って、\n最高に盛り上がるさ～！\nやさやさ、キミも一緒に踊るさ～！","53","158","17","0","7","10","獣人族","いつでも「なんくるないさ～」な天然娘"
"110601","22","内田真礼","O","自警団（カォン）","マホ（サマー）","空想、ぬいぐるみ集め","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","42","155","16","0","9","10","獣人族","マホマホ王国のプリンセス"
"110701","6","花澤香菜","AB","フォレスティエ","アオイ（編入生）","友達作りのイメトレ","","44","158","13","0","6","6","エルフ","「友達」に憧れる、エルフの森の女の子"
"110801","7","種﨑敦美","O","聖テレサ女学院（なかよし部）","クロエ","ダーツ","","42","154","17","0","8","16","エルフ","ダウンタウン育ちのダウナー系エルフ"
"110901","15","佐倉綾音","O","聖テレサ女学院（なかよし部）","チエル","ダンス、カラオケ","","46","156","16","0","9","16","ヒューマン","自由奔放ナチュラル無礼な現代っ子"
"111001","28","小原好美","O","聖テレサ女学院（なかよし部）","ユニ","読書","","36","142","18","0","2","16","ヒューマン","書庫に眠れる小さな賢人"
"111101","2","小倉唯","A","リトルリリカル","キョウカ（ハロウィン）","お勉強","","21","118","8","0","2","5","エルフ","礼儀正しくしっかり者のちびっ子優等生"
"111201","10","諸星すみれ","O","リトルリリカル","ミソギ（ハロウィン）","いたずら、探検","イタズラなら任せて！\nにいちゃん、引っかからないように気を付けなよー♪","27","128","9","0","8","5","ヒューマン","探検好きのイタズラっ子"
"111301","3","日高里菜","O","リトルリリカル","ミミ（ハロウィン）","かわいいもの集め","ぴょんぴょん、うさぎさんになりたいな～♪　\nミミ、うさぎさんになれたら、\n最初におにいちゃんに見せてあげるね！","21","117","10","0","4","5","獣人族","お歌もにんじんも、ウサギさんも大好き♪"
"111401","8","小倉唯","?","？？？","ルナ","「おともだち」を探すこと","","28","142","??","0","1","","ヒューマン","おともだちを探す死霊術師の少女"
"111501","7","たかはし智秋","O","王宮騎士団（NIGHTMARE）","クリスティーナ（クリスマス）","強敵との闘争","","??","165","27","0","2","8","ヒューマン","傍若無人な王宮騎士団副団長"
"111601","24","日笠陽子","B","カルミナ","ノゾミ（クリスマス）","舞台鑑賞、ダンス","","40","157","17","0","1","4","ヒューマン","歌って踊れる大人気アイドル"
"111701","5","丹下桜","A","悪魔偽王国軍（ディアボロス）","イリヤ（クリスマス）","世界征服","","50","172","??","0","5","7","魔族","かつては夜を支配した最強の吸血鬼"
"111801","31","M・A・O","O","美食殿","ぺコリーヌ（ニューイヤー）","食べ歩き、料理","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","46","156","17","0","3","1","ヒューマン","いつも元気な腹ペコ少女"
"111901","11","伊藤美来","B","美食殿","コッコロ（ニューイヤー）","瞑想、動植物の飼育","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","35","140","11","0","5","1","エルフ","主を慕う、小さなガイド役"
"112001","2","立花理香","A","美食殿","キャル（ニューイヤー）","猫と遊ぶ","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","39","152","14","0","9","1","獣人族","行き倒れの謎のネコミミ魔法使い"
