a4026ffe2c6ff713a97aea1dc047e760065c764bda24e8458e2e3ab91a3a14c4,6b399931dbf86324a4840973ab9caee5f5bb284855c299dd80a20548d464674d,e07e0973967496233da9efd7f876db35bbf3e9f89b1b0b1944362bee684c8866,614d2354b798d7a5d157b510256eb61f4dde660c686c7125782c9c7aecf9d399,370f86053e5746907acab9076e4177f45647915a204a468072dca7ec9076ff49,fd0dcb91586a8fb72d3e4964b0be5a2d4d8ba4fc931b2f3977c13296976896d2,8e685be9886d352c44908442d018e1b477a4b7dacef4bf064c0c9879c036dc6b,88d4e5a118e12e7ea52c4783459faa72c5a5334b58d9ad1d45cf61c33065659f,c36c858a890d714a636076f9fee4dcb017708fe367af5cb43b8c0ab907f0e489,4cf78936c92b2fb904f89591cc79928b82c97d6a403530aff9943a56d249fbda,2da246a55594ec7eaf05b30f5ccc6a36c955c83753ae0568fd602e9c9118e8f4
"0.5","1","0","0","2","キュイキュイ！","1","6","11","0","1019"
"","","","","0","","1","","91","","1020"
"","","","","2","psy_fairy_idle","1","1","3","0.2","1021"
"","","","","119931","psy_miyako_talk2","1","1","3","0.2","1022"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0102","1","0","21","","1023"
"0.5","1","0","0","119931","オマエも手伝いたいの？\nそれなら卵と牛乳をマヒルから\nたくさんもらってくるの！\n材料はたくさんあったほうがいいの！","1","5","11","0","1024"
"","","","","2","1","1","","93","","1025"
"","","","","119931","psy_miyako_talk_joy2","1","1","3","0.2","1026"
"","","","","1024","","1","","91","","1027"
"","","","","0","0","1","","22","","1028"
"","","","","119931","psy_miyako_idle","1","1","3","0.2","1029"
"","","","","2","1","1","","4","","1030"
"","psy_fairy_run","0","1","2","psy_fairy_run_in","1","0","3","0.2","1031"
"","","","","1.3","","1","","93","","1032"
"","1","","0","2","1000","1","-220","2","","1033"
"","","","","2","","1","","93","","1034"
"","psy_miyako_doya_loop","0.2","1","119931","psy_miyako_doya_in","1","0","3","0.2","1035"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0103","1","0","21","","1036"
"0.5","1","0","0","119931","オマエはミヤコを手伝うの！\nめんどくさいことは全部\nオマエに任せるの！","1","6","11","0","1037"
"","","","","0","","1","","91","","1038"
"","","","","0","0","1","","22","","1039"
"0","0","0","0","1","11","1","1","12","0","1040"
"","psy_item00_idle_guts","0.2","1","1","psy_item00_talk_guts","1","0","3","0.2","1041"
"","","","","2","","1","","93","","1042"
"","","","","119931","psy_miyako_talk_joy2","1","1","3","0.2","1043"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0104","1","0","21","","1044"
"0.5","1","0","0","119931","みんなみんな\nおいしいプリンにしてやるの～♪","1","5","11","0","1045"
"","","","","4","1","1","","93","","1046"
"","psy_miyako_fight_loop","0.2","1","119931","psy_miyako_fight_in","1","0","3","0.2","1047"
"","psy_item00_handsup_loop","0.2","1","1","psy_item00_handsup","1","0","3","0.2","1048"
"","","","","1.5","","1","","93","","1049"
"","","","","1045","","1","","91","","1050"
"","","","","0","0","1","","22","","1051"
"psy_miyako_start","-300","0","-200","1","119931","2","100","1","1.7","2001"
"psy_walk","300","1","-220","1","106011","2","100","1","1.7","2002"
"","0","","1","1","11","2","0","31","1","2003"
"psy_smoke_start","-300","0","-200","1","1","2","101","5","1.7","2004"
"","2","","0","106011","185","2","-220","2","","2005"
"","","","","2","","2","","93","","2006"
"","psy_kyaru_talk_arm_crossed_loop","0","1","106011","psy_kyaru_talk_arm_crossed","2","0","3","0.2","2007"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0305","2","0","21","","2008"
"0.5","1","0","0","106011","ねぇ、あんた。\nペコリーヌに差し入れるのにちょうど\nいいお菓子を適当に見つくろって……","2","8","11","0","2009"
"","","","","0","","2","","91","","2010"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0306","2","0","21","","2011"
"","","","","106011","psy_talk_sad","2","1","3","0.2","2012"
"0.5","1","0","0","106011","って、居ないじゃない。\nあいつが働いてるって聞いたから\n来たのに……というか、誰もいないし。\n不用心な店ね。","2","8","11","0","2013"
"","","","","4","1","2","","93","","2014"
"","","","","106011","psy_talk_sad","2","1","3","0.2","2015"
"","","","","2013","","2","","91","","2016"
"","","","","106011","psy_idle_sad","2","1","3","0.2","2017"
"","psy_miyako_thinking4","0.2","1","119931","psy_miyako_appear","2","0","3","0.2","2018"
"","psy_smoke_start","0","0","1","psy_smoke_appear","2","0","3","0","2019"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0301","2","0","21","","2020"
"1","1","0","0","119931","プリン……プリン……\n究極のプリン作りは難しいの……\n何かひらめくキッカケが欲しいの……","2","4","11","0","2021"
"","","","","1","1","2","","93","","2022"
"","psy_idle_surprise2","0.2","1","106011","psy_surprise","2","0","3","0.2","2023"
"","","","","2021","","2","","91","","2024"
"","","","","0","0","2","","22","","2025"
"","","","","119931","psy_miyako_idle_thinking","2","1","3","0.2","2026"
"","","","","106011","psy_talk_surprise2","2","1","3","0.2","2027"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0307","2","0","21","","2028"
"0.5","1","0","0","106011","キャッ！？\nいきなり出てきてなんなのよあんた！","2","8","11","0","2029"
"","","","","0","","2","","91","","2030"
"","","","","106011","psy_idle_surprise2","2","1","3","0.2","2031"
"","","","","119931","psy_miyako_anger1","2","1","3","0.2","2032"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0302","2","0","21","","2033"
"1","1","0","0","119931","オマエが勝手に入ってきたの。\nミヤコは悪くないの。\nミヤコの邪魔をするななの……ん？\nオマエ……","2","5","11","0","2034"
"","","","","8","1","2","","93","","2035"
"","","","","119931","psy_miyako_thinking2","2","1","3","0.2","2036"
"","","","","2034","","2","","91","","2037"
"","","","","0","0","2","","22","","2038"
"","","","","106011","psy_talk_sad","2","1","3","0.2","2039"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0308","2","0","21","","2040"
"0.5","1","0","0","106011","な、何よ……","2","8","11","0","2041"
"","","","","0","","2","","91","","2042"
"","","","","106011","psy_idle_sad","2","1","3","0.2","2043"
"","","","","119931","psy_miyako_run","2","1","3","0.2","2044"
"","2","","0","119931","0","2","-200","2","","2045"
"","","","","2","","2","","93","","2046"
"","","","","119931","psy_miyako_thinking2","2","1","3","0.2","2047"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0303","2","0","21","","2048"
"1","1","0","0","119931","むむむむむ……\nオマエ、なんかおいしそうなの……","2","6","11","0","2049"
"","","","","0","","2","","91","","2050"
"","","","","0","0","2","","22","","2051"
"","","","","0.5","","2","","93","","2052"
"","","","","106011","psy_talk_sad","2","1","3","0.2","2053"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0309","2","0","21","","2054"
"0.5","1","0","0","106011","はぁ～？","2","8","11","0","2055"
"","","","","0","","2","","91","","2056"
"","","","","106011","psy_idle_sad","2","1","3","0.2","2057"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0304","2","0","21","","2058"
"0.5","1","0","0","119931","オマエをプリンにしてやるの～～！！","2","6","11","0","2059"
"","","","","0.5","1","2","","93","","2060"
"","psy_miyako_attack_loop","0","1","119931","psy_miyako_attack_in","2","0","3","0.2","2061"
"","","","","0.2","1","2","","93","","2062"
"","psy_idle_surprise2","0.2","1","106011","psy_surprise","2","0","3","0.2","2063"
"","","","","2059","","2","","91","","2064"
"","","","","0","0","2","","22","","2065"
"","","","","106011","psy_talk_surprise2","2","1","3","0.2","2066"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0310","2","0","21","","2067"
"0.5","1","0","0","106011","な、なんなのよこの店～～！！","2","8","11","0","2068"
"","","","","0","","2","","91","","2069"
"","","","","106011","0","2","","4","","2070"
"","","","","106011","psy_run_shy","2","1","3","0.2","2071"
"","","","","119931","psy_miyako_attack_loop_move","2","1","3","0.2","2072"
"","3","","0","106011","1000","2","-220","2","","2073"
"","5","","0","119931","1000","2","-220","2","","2074"
"","","","","3.5","","2","","93","","2075"
"","","","","0","0","2","","22","","2076"
"","","","","0","","2","","91","","2077"
"psy_miyako_gasagoso_B","-250","1","-150","1","119931","3","100","1","1.65","3001"
"psy_walk","340","1","-180","1","105511","3","100","1","1.7","3002"
"","0","","1","1","11","3","0","31","1","3003"
"psy_smoke_start","-300","0","-220","1","1","3","101","5","1.7","3004"
"","2","","0","105511","225","3","-180","2","","3005"
"","","","","2","","3","","93","","3006"
"","","","","105511","psy_talk_wish","3","1","3","0.2","3007"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0203","3","0","21","","3008"
"0.5","1","0","0","105511","こ、ここで先輩が働いてるんですよね？","3","8","11","0","3009"
"","","","","0","","3","","91","","3010"
"","psy_ayumi_kyoro_loop","0","1","105511","psy_ayumi_kyoro_in","3","0","3","0.2","3011"
"","","","","1.8","","3","","93","","3012"
"","","","","105511","psy_talk_joy1","3","1","3","0.2","3013"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0204","3","0","21","","3014"
"0.5","1","0","0","105511","わぁ、おいしそうなお菓子がたくさん\n並んでますね……先輩が作ったお菓子も\nあったりするのかな？","3","8","11","0","3015"
"","","","","0","","3","","91","","3016"
"","","","","105511","psy_talk_call","3","1","3","0.2","3017"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0205","3","0","21","","3018"
"0.5","1","0","0","105511","あの……このお菓子一つください。\nあの～すみませ～ん。\n聞こえてないのかな？","3","8","11","0","3019"
"","","","","3","1","3","","93","","3020"
"0","1","0","0","119931","5","3","0.8","12","0","3021"
"","","","","119931","0","3","","4","","3022"
"","","","","119931","psy_miyako_idle_thinking","3","1","3","0","3023"
"","","","","1.5","1","3","","93","","3024"
"","","","","119931","1","3","","4","","3025"
"","","","","119931","psy_miyako_gasagoso_B","3","1","3","0","3026"
"","","","","0.5","1","3","","93","","3027"
"","","","","105511","psy_talk_sad","3","1","3","0.2","3028"
"","","","","3019","","3","","91","","3029"
"","","","","105511","psy_talk_wish","3","1","3","0.2","3030"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0206","3","0","21","","3031"
"0.5","1","0","0","105511","と、とりあえずお金はおいておきますね\n失礼します！","3","8","11","0","3032"
"","","","","2","1","3","","93","","3033"
"","","","","105511","psy_gasagoso_B2","3","1","3","0.2","3034"
"","","","","1","1","3","","93","","3035"
"","psy_idle_normal","0.2","1","105511","psy_pekori","3","0","3","0.2","3036"
"","","","","3032","","3","","91","","3037"
"","","","","105511","0","3","","4","","3038"
"","","","","105511","psy_run","3","1","3","0.2","3039"
"","3","","0","105511","1000","3","-180","2","","3040"
"","","","","3","","3","","93","","3041"
"","","","","0.5","","3","","93","","3042"
"","","","","119931","psy_miyako_idle_thinking","3","1","3","0","3043"
"","","","","2","","3","","93","","3044"
"","","","","119931","0","3","","4","","3045"
"","","","","119931","psy_miyako_run","3","1","3","0.2","3046"
"","2","","0","119931","0","3","-165","2","","3047"
"","","","","2","","3","","93","","3048"
"","","","","119931","psy_miyako_thinking4","3","1","3","0.2","3049"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0201","3","0","21","","3050"
"0.5","1","0","0","119931","……？\nいつの間にかお金があるの！\nさっきまでなかったはずなの！\n怖いの！　お化けでも出たの？","3","5","11","0","3051"
"","","","","4","1","3","","93","","3052"
"","","","","119931","psy_miyako_panic1","3","1","3","0.2","3053"
"","","","","3051","","3","","91","","3054"
"","","","","0","0","3","","22","","3055"
"","psy_miyako_surprise2_loop","0","1","119931","psy_miyako_surprise2_in","3","0","3","0.2","3056"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0202","3","0","21","","3057"
"1","1","0","0","119931","……！\n急にプリンのアイデアが下りて来たの！\nでも、思い浮かんだ顔は記憶にないの。\nコイツは…………誰なの？","3","5","11","0","3058"
"","","","","4","1","3","","93","","3059"
"","","","","119931","psy_miyako_thinking4","3","1","3","0.2","3060"
"","","","","3058","","3","","91","","3061"
"","","","","0","0","3","","22","","3062"
"","","","","1","","3","","93","","3063"
"","","","","0","","3","","91","","3064"
"psy_miyako_start","-300","0","-200","1","119931","4","100","1","1.7","4001"
"psy_walk","300","1","-220","1","107131","4","100","1","1.7","4002"
"","0","","1","1","11","4","0","31","1","4003"
"psy_smoke_start","-300","0","-200","1","1","4","101","5","1.7","4004"
"","2","","0","107131","185","4","-220","2","","4005"
"","","","","2","","4","","93","","4006"
"","psy_talk_doya_loop","0.2","1","107131","psy_talk_doya","4","0","3","0.2","4007"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0405","4","0","21","","4008"
"0.5","1","0","0","107131","この店が話題になっていると聞いて、\nクリスティーナさんが来てやったぞ☆","4","8","11","0","4009"
"","","","","0","","4","","91","","4010"
"","","","","107131","psy_idle_doya","4","1","3","0.2","4011"
"","","","","107131","psy_talk_sad","4","1","3","0.2","4012"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0406","4","0","21","","4013"
"0.5","1","0","0","107131","……む？　誰もいないではないか。\nせっかくカルミナへの差し入れを\n買いに来たというのに。\nおい、誰かいないのか。","4","8","11","0","4014"
"","","","","6","1","4","","93","","4015"
"","","","","107131","psy_talk_call","4","1","3","0.2","4016"
"","","","","4014","","4","","91","","4017"
"","","","","107131","psy_idle_arm_crossed","4","1","3","0.2","4018"
"","psy_miyako_talk_joy1","0.2","1","119931","psy_miyako_appear","4","0","3","0","4019"
"","psy_smoke_start","0","0","1","psy_smoke_appear","4","0","3","0","4020"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0401","4","0","21","","4021"
"0.5","1","0","0","119931","あ！　オマエ！\n大きいプリンくれたヤツなの！\nまたミヤコにプリンを持ってきたの？","4","6","11","0","4022"
"","","","","0","","4","","91","","4023"
"","","","","0","0","4","","22","","4024"
"","","","","119931","psy_miyako_idle","4","1","3","0.2","4025"
"","","","","107131","psy_talk_normal","4","1","3","0.2","4026"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0407","4","0","21","","4027"
"0.5","1","0","0","107131","おまえは……ああ、いつぞやの\nクリスマスで会ったことがあったな。\n今日はサンタとしてではなく\n客として来たのだ。","4","8","11","0","4028"
"","","","","0","","4","","91","","4029"
"","","","","107131","psy_idle_normal","4","1","3","0.2","4030"
"","","","","119931","psy_miyako_sad1","4","1","3","0.2","4031"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0402","4","0","21","","4032"
"0.5","1","0","0","119931","プリンをくれないオマエに用はないの。\nおばあちゃんも留守だし、\nおとといきやがれなの。","4","6","11","0","4033"
"","","","","5","1","4","","93","","4034"
"","","","","119931","psy_miyako_talk4","4","1","3","0.2","4035"
"","","","","4033","","4","","91","","4036"
"","","","","0","0","4","","22","","4037"
"","","","","119931","psy_miyako_idle2","4","1","3","0.2","4038"
"","psy_ahaha_loop","0.2","1","107131","psy_ahaha_in","4","0","3","0.2","4039"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0408","4","0","21","","4040"
"0.5","1","0","0","107131","はっはっは！\nこのクリスティーナさんに向かって\nずいぶんな物言いだな。おもしろい☆","4","8","11","0","4041"
"","","","","1.7","1","4","","93","","4042"
"","","","","107131","psy_talk_joy1","4","1","3","0.2","4043"
"","","","","4041","","4","","91","","4044"
"","psy_talk_doya_loop","0.2","1","107131","psy_talk_doya","4","0","3","0.2","4045"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0409","4","0","21","","4046"
"0.5","1","0","0","107131","なんとしてもおまえからお菓子を\n買わせてもらおう。","4","8","11","0","4047"
"","","","","0","","4","","91","","4048"
"","","","","107131","psy_idle_wish","4","1","3","0.2","4049"
"","","","","119931","psy_miyako_panic1","4","1","3","0.2","4050"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0403","4","0","21","","4051"
"0.5","1","0","0","119931","なんでそうなるの！？\nいいから帰れなの！","4","6","11","0","4052"
"","","","","0","","4","","91","","4053"
"","","","","0","0","4","","22","","4054"
"","","","","119931","psy_miyako_idle_panic","4","1","3","0.2","4055"
"","psy_cris_approach_loop","0","1","107131","psy_cris_approach_in","4","0","3","0.2","4056"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0410","4","0","21","","4057"
"0.5","1","0","0","107131","ほぅ、作りかけのプリンが\nあるではないか。\nうーむ……手作りの差し入れというのも\n喜ばれそうだな。","4","8","11","0","4058"
"","","","","4","1","4","","93","","4059"
"","psy_talk_arm_crossed_loop","0","1","107131","psy_talk_arm_crossed","4","0","3","0.2","4060"
"","","","","4058","","4","","91","","4061"
"","","","","107131","psy_talk_joy1","4","1","3","0.2","4062"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0411","4","0","21","","4063"
"0.5","1","0","0","107131","よし！　ワタシがプリンを作ろう！\nおまえも手伝え。\nクリスマスの貸しを返してもらおう。","4","8","11","0","4064"
"","","","","0","","4","","91","","4065"
"","","","","107131","psy_idle_joy1","4","1","3","0.2","4066"
"","","","","119931","psy_miyako_anger2","4","1","3","0.2","4067"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0404","4","0","21","","4068"
"0.5","1","0","0","119931","な、なんでそうなるのーー！？","4","6","11","0","4069"
"","","","","4","","4","","93","","4070"
"","","","","0","","4","","91","","4071"
"psy_miyako_start","-300","0","-200","1","119931","5","100","1","1.7","5001"
"psy_walk","300","1","-220","1","104931","5","100","1","1.7","5002"
"","0","","1","1","11","5","0","31","1","5003"
"psy_smoke_start","-300","0","-200","1","1","5","101","5","1.7","5004"
"","2","","0","104931","185","5","-220","2","","5005"
"","","","","2","","5","","93","","5006"
"","","","","104931","psy_talk_wish","5","1","3","0.2","5007"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0504","5","0","21","","5008"
"0.5","1","0","0","104931","ここが弟くんとリノちゃんが\n手伝ってるっていうお菓子屋さんだね！\n弟くん！　お姉ちゃんが来たよ！！","5","8","11","0","5009"
"","","","","4.3","1","5","","93","","5010"
"","","","","104931","psy_talk_joy1","5","1","3","0.2","5011"
"","","","","5009","","5","","91","","5012"
"","","","","104931","psy_idle_joy1","5","1","3","0.2","5013"
"","psy_miyako_talk3","0.2","1","119931","psy_miyako_appear","5","0","3","0","5014"
"","psy_smoke_start","0","0","1","psy_smoke_appear","5","0","3","0","5015"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0501","5","0","21","","5016"
"0.5","1","0","0","119931","うるさいの。\nいきなりなんなの？","5","6","11","0","5017"
"","","","","0","","5","","91","","5018"
"","","","","0","0","5","","22","","5019"
"","","","","119931","psy_miyako_idle","5","1","3","0.2","5020"
"","","","","104931","psy_talk_joy1","5","1","3","0.2","5021"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0505","5","0","21","","5022"
"0.5","1","0","0","104931","あっ！　ミヤコちゃんだよね？\nリノちゃんから聞いてるよ！\n初めまして弟くんのお姉ちゃんだよ！","5","8","11","0","5023"
"","","","","4","","5","","93","","5024"
"","","","","104931","psy_talk_wish","5","1","3","0.2","5025"
"","","","","5023","","5","","91","","5026"
"","","","","0","","5","","91","","5027"
"","","","","104931","psy_idle_wish","5","1","3","0.2","5028"
"","","","","119931","psy_miyako_anger3","5","1","3","0.2","5029"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0502","5","0","21","","5030"
"0.5","1","0","0","119931","オマエがアイツのお姉ちゃんか\nどうかなんてどうでもいいの。\nミヤコはプリン作りに忙しいの。","5","6","11","0","5031"
"","","","","5","1","5","","93","","5032"
"","psy_miyako_arm_crossed_loop","0","1]","119931","psy_miyako_arm_crossed_in","5","0","3","0.2","5033"
"","","","","5031","","5","","91","","5034"
"","","","","0","0","5","","22","","5035"
"","","","","119931","psy_miyako_arm_crossed_idle","5","1","3","0.2","5036"
"","","","","104931","psy_talk_wish","5","1","3","0.2","5037"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0506","5","0","21","","5038"
"0.5","1","0","0","104931","どうでもいいって反応は初めてで\nお姉ちゃんそれはそれで\n傷ついちゃうな！\n愛の反対は無関心っていうし！","5","8","11","0","5039"
"","","","","0","","5","","91","","5040"
"","","","","104931","psy_talk_joy2","5","1","3","0.2","5041"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0507","5","0","21","","5042"
"0.5","1","0","0","104931","よーし！\n今からミヤコちゃんに\n弟くんとお姉ちゃんの愛と運命の物語を\nお届けしちゃうよ！","5","8","11","0","5043"
"","","","","0","","5","","91","","5044"
"","","","","104931","psy_talk_memory","5","1","3","0.2","5045"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0508","5","0","21","","5046"
"0.5","1","0","0","104931","まずはそう、運命の出会いから……","5","8","11","0","5047"
"","","","","0","","5","","91","","5048"
"","","","","104931","psy_idle_memory","5","1","3","0.2","5049"
"","","","","119931","psy_miyako_sad1","5","1","3","0.2","5050"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0503","5","0","21","","5051"
"0.5","1","0","0","119931","（なんか始まったの……\nめんどくさいからミヤコは消えるの……）","5","6","11","0","5052"
"","","","","0","","5","","91","","5053"
"","","","","0","0","5","","22","","5054"
"","","","","119931","psy_miyako_hide","5","0","3","0.2","5055"
"","psy_smoke_start","0","0","1","psy_smoke_hide","5","0","3","0","5056"
"","","","","2","","5","","93","","5057"
"","","","","0","","5","","91","","5058"
"psy_miyako_idle_thinking","-300","1","-200","1","119931","6","100","1","1.7","6001"
"psy_walk","300","1","-220","1","103131","6","100","1","1.7","6002"
"","0","","1","1","11","6","0","31","1","6003"
"0","0","0","0","119931","17","6","2","12","0","6004"
"","2","","0","103131","185","6","-220","2","","6005"
"","","","","2","","6","","93","","6006"
"","","","","103131","psy_talk_wish","6","1","3","0.2","6007"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0605","6","0","21","","6008"
"0.5","1","0","0","103131","こんにちは。\nミヤコさんがお菓子屋のお手伝いを\nしていると聞いたので、\n様子を見に来ました。","6","8","11","0","6009"
"","","","","0","","6","","91","","6010"
"","","","","103131","psy_idle_wish","6","1","3","0.2","6011"
"","","","","119931","0","6","","4","","6012"
"","psy_miyako_talk_joy2","0.2","1","119931","psy_miyako_surprise2_in","6","0","3","0.2","6013"
"","","","","1","","6","","93","","6014"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0601","6","0","21","","6015"
"0.5","1","0","0","119931","シノブ！　いいところに来たの！\nミヤコちょっと困ってるの！","6","6","11","0","6016"
"","","","","3","1","6","","93","","6017"
"","","","","119931","psy_miyako_talk2","6","1","3","0.2","6018"
"","","","","6016","","6","","91","","6019"
"","","","","0","0","6","","22","","6020"
"","","","","119931","psy_miyako_idle_sad","6","1","3","0.2","6021"
"","","","","103131","psy_talk_sad","6","1","3","0.2","6022"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0606","6","0","21","","6023"
"0.5","1","0","0","103131","どうしたんですか？\nあ、まさか売り物のプリンを\n食べてしまったんですか？\nそれなら一緒に謝りましょう。","6","8","11","0","6024"
"","","","","0","","6","","91","","6025"
"","","","","103131","psy_idle_sad","6","1","3","0.2","6026"
"","","","","119931","psy_miyako_panic3","6","1","3","0.2","6027"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0602","6","0","21","","6028"
"0.5","1","0","0","119931","違うの！　ミヤコは今究極のプリンを\n作ろうとしてるの！\nでも、いいアイデアが\n浮かばなくなっちゃったの……","6","5","11","0","6029"
"","","","","5.5","1","6","","93","","6030"
"","","","","119931","psy_miyako_sad2","6","1","3","0.2","6031"
"","","","","6029","","6","","91","","6032"
"","","","","0","0","6","","22","","6033"
"","","","","119931","psy_miyako_idle_sad","6","1","3","0.2","6034"
"","psy_talk_surprise1","0.2","1","103131","psy_surprise","6","0","3","0.2","6035"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0607","6","0","21","","6036"
"0.5","1","0","0","103131","ミヤコさんが……自分で……\nプリンを……","6","8","11","0","6037"
"","","","","0","","6","","91","","6038"
"","","","","103131","psy_idle_surprise1","6","1","3","0.2","6039"
"","","","","119931","psy_miyako_talk2","6","1","3","0.2","6040"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0603","6","0","21","","6041"
"0.5","1","0","0","119931","どうしたの？","6","6","11","0","6042"
"","","","","0","","6","","91","","6043"
"","","","","0","0","6","","22","","6044"
"","","","","119931","psy_miyako_idle","6","1","3","0.2","6045"
"","","","","103131","psy_talk_joy1","6","1","3","0.2","6046"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0608","6","0","21","","6047"
"0.5","1","0","0","103131","ふふっ、いえ。なんでもありませんよ。\n私で力になれるかはわかりませんが、\n精一杯手伝わせていただきます。","6","8","11","0","6048"
"","","","","4","1","6","","93","","6049"
"","","","","103131","psy_talk_wish","6","1","3","0.2","6050"
"","","","","6048","","6","","91","","6051"
"","","","","103131","psy_idle_wish","6","1","3","0.2","6052"
"","","","","119931","psy_miyako_joy1","6","1","3","0.2","6053"
"","0","","","vo_minigame_1008","vo_minigame_1008_drama_0604","6","0","21","","6054"
"0.5","1","0","0","119931","ありがとうなの！\nシノブとミヤコが揃えば最強なの！\n絶対においしいプリンが\nできるはずなの！","6","6","11","0","6055"
"","","","","5","1","6","","93","","6056"
"","psy_miyako_guts1_loop","0","1","119931","psy_miyako_guts1_in","6","0","3","0.2","6057"
"","","","","6055","","6","","91","","6058"
"","","","","0","0","6","","22","","6059"
"","","","","1.5","","6","","93","","6060"
"","","","","0","","6","","91","","6061"
"psy_miyako_idle","-200","0","-200","1","119931","7","100","1","1.7","7001"
"psy_fairy_idle","125","0","-220","1","1","7","100","5","1.7","7002"
"","0","","1","1","11","7","0","31","1","7003"
"","","","","2","","7","","93","","7004"
