b24701a911b413db7c73562961dddb822dee99a0e1689ffdbb866fa6449462e9,e34f2816f5cb345f2233da02c7c6c16260865751b1be880ac1f61a877138bab2,aad12beec1d2cdb02bebdbdecbb09c02a15ed7b8dd8cfdd851cbd5d4fd15844a,06b0f76ab05c511ed3b050f67d00ae212cbdeb57e828d3d88e72a22d7dfec6e5,7f20f841aa1c3f45b8965a7b5f20eac398d6efba8f5e76fd27b0c169d2649ecc,5afb47dafab6ee4ecd109aa0ae0d178ac98c66dcb2a35a6f40d3275f45263044
"6000","14","0","108","0","240011"
"10000","1","0","2999132","0","240021"
"10000","1","0","2999133","0","240031"
"4000","14","0","2","0","240041"
"4000","14","0","4","0","240042"
"2000","14","0","3","0","240051"
"2000","14","0","5","0","240052"
"2000","14","0","110","0","250011"
"2000","14","0","1","0","250021"
"100000","1","0","2999139","0","250031"
"100000","1","0","2999140","0","250032"
"100000","1","0","2999141","0","250033"
"100000","1","0","2999142","0","250034"
"100000","1","0","2999143","0","250035"
"100000","1","0","2999154","0","250041"
"100000","1","0","2999155","0","250042"
"100000","1","0","2999156","0","250043"
"100000","1","0","2999157","0","250044"
"100000","1","0","2999158","0","250045"
"10000","1","0","2999165","0","250051"
"10000","14","0","104","0","300011"
"15","14","0","14","0","310011"
"30000","1","0","2999119","0","310021"
"30000","1","0","2999120","0","310031"
"6","14","0","16","0","310041"
"3000","1","0","2999101","0","310051"
"100","14","0","14","0","310061"
"6000","14","0","105","0","320011"
"15000","1","0","2999123","0","320021"
"15000","1","0","2999126","0","320031"
"3000","1","0","2999127","0","320041"
"3000","1","0","2999128","0","320051"
"2500","1","0","2999192","0","320061"
"3000","1","0","2999129","0","330011"
"3000","14","0","100","0","330021"
"3000","14","0","101","0","330022"
"9000","14","0","107","0","330031"
"3000","14","0","6","0","330041"
"3000","14","0","7","0","330042"
"30","14","0","9","0","330051"
"50000","14","0","107","0","330061"
"50","14","0","9","0","330062"
"9000","14","0","108","0","340011"
"15000","1","0","2999132","0","340021"
"15000","1","0","2999133","0","340031"
"6000","14","0","2","0","340041"
"6000","14","0","4","0","340042"
"3000","14","0","3","0","340051"
"3000","14","0","5","0","340052"
"5000","1","0","2999191","0","340061"
"3000","14","0","110","0","350011"
"3000","14","0","1","0","350021"
"150000","1","0","2999144","0","350031"
"150000","1","0","2999145","0","350032"
"150000","1","0","2999146","0","350033"
"150000","1","0","2999147","0","350034"
"150000","1","0","2999148","0","350035"
"150000","1","0","2999159","0","350041"
"150000","1","0","2999160","0","350042"
"150000","1","0","2999161","0","350043"
"150000","1","0","2999162","0","350044"
"150000","1","0","2999163","0","350045"
"15000","1","0","2999166","0","350051"
"10000","14","0","1","0","350061"
"1500","14","0","1","0","400011"
"1500","14","0","102","0","400012"
"1500","14","0","103","0","400013"
"5000","14","0","104","0","400021"
"0","8","0","10","0","400031"
"5000","14","0","100","0","400041"
"5000","14","0","101","0","400042"
"-2500","14","0","6","0","400043"
"-2500","14","0","7","0","400044"
"1","2","0","40005","0","400051"
"400","14","1","2","25","500011"
"400","14","1","4","25","500012"
"0","12","0","0","0","500021"
"1","14","30","107","10000","500031"
"2500","1","0","2999130","0","500041"
"1","3","0","50005","0","500051"
