a14021c3eeef2b2afd5ab7301c4a96b4fc4956f92ea4c2374bb43c45c4df1194,e8809f31c4d62c86fb54240630eaa7b8b7c7d9e301215b1925fa419241f41faf,037704800796d908c13bf794a5dc1e8d405f0c9f4d442b9c4c02ea0cc7408721,36618597d8ee5e14263f589da09d399d81e8d5687da71a2ddedf8abefbcf503b,2fea79f1d06adc701cc47ca63d9f53fa628fd4e44daa68a1cfeff1d370a9d85a,ca30eec5dc4331dc05587584ce0d08e66d0cbeaebef4906c200ffdb65ce6ae05,2322237dd92cba53acf9ac57526976677f69c56926623d8e831a976f432ec88f,1b5fdf663d66921619648d8434d681c470b4facb160b6491c608c9700ec01bb6,7f7c834370dd93fea12ef9cb9b99853a6fd929cb6987180b4b5c3719d099743e,7db93414e2eee8608fc303b2a1f83f28c168f42e134dbc9bf156076dd4f91a4e,70e580ccd09fc2f82dad577f490b9407d7ecc1a0ea7dce147d4004521fbc1040
"3","","1","1007401","","0.2","","117531","mhp_sit_talk_normal","1007401016",""
"21","","0","1007401","","","","vo_mhp_1007401","vo_mhp_4001","1007401017","0"
"11","0","8","1007401","0.5","0","0","117531","次の方どうぞー","1007401018","0"
"91","","","1007401","","","","0","","1007401019",""
"3","","1","1007401","","0.2","","117531","mhp_sit_idle","1007401020",""
"3","","1","1007401","","0.2","","100211","mhp_anna_walk_sad","1007401021",""
"2","0","-220","1007401","","","","100211","-200","1007401022","4"
"3","","1","1007401","","0.2","","31","NoItem","1007401023",""
"2","0","-220","1007401","","","","31","-200","1007401024","4"
"91","","","1007401","","","","0","","1007401025",""
"3","1","0","1007401","","0.2","0.2","100211","mhp_sit_in_sad","1007401026","mhp_sit_idle_sad"
"93","","","1007401","","","","1","","1007401027",""
"3","","1","1007401","","0.2","","100211","mhp_sit_talk_sad","1007401028",""
"21","","0","1007401","","","","vo_mhp_1007401","vo_mhp_4002","1007401029","0"
"11","0","7","1007401","0.5","0","0","100211","え、ええっと……ご無沙汰してます。","1007401030","1"
"91","","","1007401","","","","0","","1007401031",""
"3","","1","1007401","","0.2","","100211","mhp_sit_idle_sad","1007401032",""
"3","","1","1007401","","0.2","","117531","mhp_sit_talk_normal","1007401033",""
"21","","0","1007401","","","","vo_mhp_1007401","vo_mhp_4003","1007401034","0"
"11","0","6","1007401","0.5","0","0","117531","久しぶりねユイちゃん。\n前にみんなでオーエド町に\n来た時以来ね。","1007401035","1"
"91","","","1007401","","","","0","","1007401036",""
"3","","1","1007401","","0.2","","117531","mhp_sit_idle","1007401037",""
"3","","1","1007401","","0.2","","100211","mhp_sit_talk_memory","1007401038",""
"3","","1","1007401","","0","","31","mhp_yui_sit_talk_memory","1007401039",""
"21","","0","1007401","","","","vo_mhp_1007401","vo_mhp_4004","1007401040","0"
"11","0","4","1007401","1.5","0","0","100211","そうですね。あの時は大変でしたけど\n楽しかったなぁ\n温泉とかまた行きたい――\nおん、せん……あ、ああ……","1007401041","1"
"93","","","1007401","","","","14","1","1007401042",""
"3","","1","1007401","","0.2","","100211","mhp_yui_hot","1007401043",""
"3","","1","1007401","","0.2","","31","mhp_yui_hot","1007401044",""
"32","","","1007401","","","","123","1","1007401045",""
"23","","","1007401","","","","se_10031400","se_10031400_love","1007401046",""
"91","","","1007401","","","","1007401041","","1007401047",""
"93","","","1007401","","","","3","0","1007401048",""
"3","","1","1007401","","0.2","","117531","mhp_sit_talk_worry","1007401049",""
"21","","0","1007401","","","","vo_mhp_1007401","vo_mhp_4005","1007401050","0"
"11","0","7","1007401","0.5","0","0","117531","どうしたの？　顔が真っ赤よ？","1007401051","1"
"91","","","1007401","","","","0","","1007401052",""
"32","","","1007401","","","","123","0","1007401053",""
"3","","1","1007401","","0.2","","117531","mhp_sit_idle","1007401054",""
"3","","1","1007401","","0.2","","100211","mhp_yui_sit_talk_worry","1007401055",""
"3","","1","1007401","","0.2","","31","NoItem","1007401056",""
"21","","0","1007401","","","","vo_mhp_1007401","vo_mhp_4006","1007401057","0"
"11","0","5","1007401","0.5","0","0","100211","そ、それが、ここのところ急に\n顔が火照ってしまうんです……\nこれって、何かの病気なんでしょうか？","1007401058","1"
"91","","","1007401","","","","0","","1007401059",""
"3","0","1","1007401","","0.2","","100211","mhp_yui_sit_idle_sad","1007401060",""
"3","0","1","1007401","","0.2","","117531","mhp_sit_talk_thinking","1007401061",""
"21","","0","1007401","","","","vo_mhp_1007401","vo_mhp_4007","1007401062","0"
"11","0","5","1007401","0.5","0","0","117531","今すぐ断定はできないわ\nでも、もしかしたら大きな病気\nそれも不治の病かもしれないわね。","1007401063","1"
"91","","","1007401","","","","0","","1007401064",""
"3","","1","1007401","","0.2","","117531","mhp_sit_idle_thinking","1007401065",""
"3","","1","1007401","","0.2","","100211","mhp_yui_sit_talk_sad","1007401066",""
"21","","0","1007401","","","","vo_mhp_1007401","vo_mhp_4008","1007401067","0"
"11","0","8","1007401","0.5","0","0","100211","そんな……","1007401068","1"
"91","","","1007401","","","","0","","1007401069",""
"3","","1","1007401","","0.2","","100211","mhp_yui_sit_idle_sad","1007401070",""
"3","","1","1007401","","0.2","","117531","mhp_sit_talk_normal","1007401071",""
"21","","0","1007401","","","","vo_mhp_1007401","vo_mhp_4009","1007401072","0"
"11","0","6","1007401","0.5","0","0","117531","普通なら命にかかわることはないけど\nこじらせると大変なことになるわ\nだから今日のところはひとまず――","1007401073","1"
"91","","","1007401","","","","0","","1007401074",""
"22","","","1007401","","","","0","0","1007401075",""
"103","","0","1007401","","","","冷たいタオルをおでこに当てなさい。","1007401079","1007401076",""
"103","","0","1007401","","","","何も考えずゆっくり休みなさい。","1007401125","1007401077",""
"103","","0","1007401","","","","特製のカンポーを出しておくわ。","1007401142","1007401078",""
"3","1","0","1007401","","0.2","0","117531","mhp_sit_out","1007401079","mhp_idle_normal"
"93","","","1007401","","","","0.6","0","1007401080",""
"3","1","0","1007401","","0.2","0","100211","mhp_sit_out","1007401081","mhp_idle_normal"
"93","","","1007401","","","","0.2","0","1007401082",""
"3","0","1","1007401","","0.2","","100211","mhp_walk","1007401083",""
"2","0","-220","1007401","","","","100211","35","1007401084","1.5"
"2","0","-220","1007401","","","","31","35","1007401085","1.5"
"2","0","-220","1007401","","","","11","35","1007401086","1.5"
"2","0","-220","1007401","","","","12","35","1007401087","1.5"
"93","","","1007401","","","","0.3","0","1007401088",""
"3","1","0","1007401","","0.2","0","117531","mhp_handover_in","1007401089","mhp_handover_loop"
"6","1","1","1007401","","0","0","21","1","1007401090","1"
"6","1","1","1007401","","0","0","22","1","1007401091","1"
"3","1","0","1007401","","0.2","0","21","mhp_handover_in","1007401092","mhp_handover_loop"
"3","1","0","1007401","","0.2","0","22","mhp_item_EX0015_handover_in","1007401093","mhp_item_EX0015_handover_loop"
"93","","","1007401","","","","1.2","0","1007401094",""
"3","1","0","1007401","","0.2","0","100211","mhp_handover_receive_in","1007401095","mhp_handover_receive_loop"
"6","1","1","1007401","","0","0","11","1","1007401096","1"
"6","1","1","1007401","","0","0","12","1","1007401097","1"
"3","1","0","1007401","","0.2","0","11","mhp_receive_yui_in","1007401098","mhp_receive_yui_loop"
"3","1","0","1007401","","0.2","0","12","mhp_item_EX0015_receive_in","1007401099","mhp_item_EX0015_receive_loop"
"93","","","1007401","","","","0.6","0","1007401100",""
"6","1","1","1007401","","0.4","0","22","1","1007401101","1"
"93","","","1007401","","","","0.4","0","1007401102",""
"3","1","0","1007401","","0.2","0","117531","mhp_handover_out","1007401103","mhp_idle_normal"
"3","1","0","1007401","","0.2","0","21","mhp_handover_out","1007401104","NoItem_idle"
"3","1","0","1007401","","0.2","0","22","mhp_item_EX0015_handover_out","1007401105","NoItem_idle"
"93","","","1007401","","","","0.4","0","1007401106",""
"3","1","0","1007401","","0.2","0","100211","mhp_handover_receive_out","1007401107","mhp_idle_normal"
"3","1","0","1007401","","0.2","0","11","mhp_receive_yui_out","1007401108","NoItem_idle"
"3","1","0","1007401","","0.2","0","12","mhp_item_EX0015_receive_out","1007401109","NoItem_idle"
"93","","","1007401","","","","2","0","1007401110",""
"3","","1","1007401","","0.2","","100211","mhp_talk_worry","1007401111",""
"21","","0","1007401","","","","vo_mhp_1007401","vo_mhp_4010","1007401112","0"
"11","0","7","1007401","0.5","0","0","100211","こ、これで治るんですか？","1007401113","1"
"91","","","1007401","","","","0","","1007401114",""
"3","","1","1007401","","0.2","","100211","mhp_idle_worry","1007401115",""
"3","","1","1007401","","0.2","","117531","mhp_talk_normal","1007401116",""
"21","","0","1007401","","","","vo_mhp_1007401","vo_mhp_4011","1007401117","0"
"11","0","5","1007401","0.5","0","0","117531","いいえ、単なる対処療法よ\nでも今はそれで十分\nまた何かあったら訪ねてきなさい。","1007401118","1"
"91","","","1007401","","","","0","","1007401119",""
"22","","","1007401","","","","0","0","1007401120",""
"3","1","0","1007401","","0.2","0.2","117531","mhp_sit_in","1007401121","mhp_sit_idle"
"3","","0","1007401","","0.2","","100211","mhp_yui_pekori","1007401122",""
"91","","","1007401","","","","0","","1007401123",""
"101","","","1007401","","","","1007401186","","1007401124",""
"3","","1","1007401","","0.2","","117531","mhp_sit_idle","1007401125",""
"3","","1","1007401","","0.2","","100211","mhp_sit_talk_worry","1007401126",""
"21","","0","1007401","","","","vo_mhp_1007401","vo_mhp_4012","1007401127","0"
"11","0","8","1007401","0.5","0","0","100211","あの、お薬とかは……","1007401128","1"
"91","","","1007401","","","","0","","1007401129",""
"3","","1","1007401","","0.2","","100211","mhp_sit_idle_sad","1007401130",""
"3","","1","1007401","","0.2","","117531","mhp_sit_talk_thinking","1007401131",""
"21","","0","1007401","","","","vo_mhp_1007401","vo_mhp_4013","1007401132","0"
"11","0","5","1007401","0.5","0","0","117531","必要ないわ。色々考えすぎるのが\nよくないの、だから心穏やかに\n過ごすのが一番よ。","1007401133","1"
"91","","","1007401","","","","0","","1007401134",""
"22","","","1007401","","","","0","0","1007401135",""
"3","","1","1007401","","0.2","","117531","mhp_sit_idle","1007401136",""
"3","","0","1007401","","0.2","","100211","mhp_yui_sit_pekori","1007401137",""
"91","","","1007401","","","","0","","1007401138",""
"3","","0","1007401","","0.2","","100211","mhp_sit_out","1007401139",""
"91","","","1007401","","","","0","","1007401140",""
"101","","","1007401","","","","1007401186","","1007401141",""
"3","1","0","1007401","","0.2","0","117531","mhp_sit_out","1007401142","mhp_idle_normal"
"93","","","1007401","","","","0.6","0","1007401143",""
"3","1","0","1007401","","0.2","0","100211","mhp_sit_out","1007401144","mhp_idle_normal"
"93","","","1007401","","","","0.2","0","1007401145",""
"3","0","1","1007401","","0.2","","100211","mhp_walk","1007401146",""
"2","0","-220","1007401","","","","100211","35","1007401147","1.5"
"2","0","-220","1007401","","","","31","35","1007401148","1.5"
"2","0","-220","1007401","","","","11","35","1007401149","1.5"
"2","0","-220","1007401","","","","12","35","1007401150","1.5"
"93","","","1007401","","","","0.3","0","1007401151",""
"3","1","0","1007401","","0.2","0","117531","mhp_handover_in","1007401152","mhp_handover_loop"
"6","1","1","1007401","","0","0","21","1","1007401153","1"
"6","1","1","1007401","","0","0","22","1","1007401154","1"
"3","1","0","1007401","","0.2","0","21","mhp_handover_in","1007401155","mhp_handover_loop"
"3","1","0","1007401","","0.2","0","22","mhp_item_EX0007_handover_in","1007401156","mhp_item_EX0007_handover_loop"
"93","","","1007401","","","","1.2","0","1007401157",""
"3","1","0","1007401","","0.2","0","100211","mhp_handover_receive_in","1007401158","mhp_handover_receive_loop"
"6","1","1","1007401","","0","0","11","1","1007401159","1"
"6","1","1","1007401","","0","0","12","1","1007401160","1"
"3","1","0","1007401","","0.2","0","11","mhp_receive_yui_in","1007401161","mhp_receive_yui_loop"
"3","1","0","1007401","","0.2","0","12","mhp_item_EX0007_receive_in","1007401162","mhp_item_EX0007_receive_loop"
"93","","","1007401","","","","0.6","0","1007401163",""
"6","1","1","1007401","","0.4","0","22","1","1007401164","1"
"93","","","1007401","","","","0.4","0","1007401165",""
"3","1","0","1007401","","0.2","0","117531","mhp_handover_out","1007401166","mhp_idle_normal"
"3","1","0","1007401","","0.2","0","21","mhp_handover_out","1007401167","NoItem_idle"
"3","1","0","1007401","","0.2","0","22","mhp_item_EX0007_handover_out","1007401168","NoItem_idle"
"93","","","1007401","","","","0.4","0","1007401169",""
"3","1","0","1007401","","0.2","0","100211","mhp_handover_receive_out","1007401170","mhp_idle_normal"
"3","1","0","1007401","","0.2","0","11","mhp_receive_yui_out","1007401171","NoItem_idle"
"3","1","0","1007401","","0.2","0","12","mhp_item_EX0007_receive_out","1007401172","NoItem_idle"
"93","","","1007401","","","","2","0","1007401173",""
"3","","1","1007401","","0.2","","100211","mhp_talk_wish","1007401174",""
"21","","0","1007401","","","","vo_mhp_1007401","vo_mhp_4014","1007401175","0"
"11","0","5","1007401","0.5","0","0","100211","カンポー……なんだかよく効きそう……\nありがとうございます、ミツキさん","1007401176","1"
"91","","","1007401","","","","0","","1007401177",""
"3","","1","1007401","","0.2","","100211","mhp_idle_wish","1007401178",""
"3","","1","1007401","","0.2","","117531","mhp_talk_thinking","1007401179",""
"21","","0","1007401","","","","vo_mhp_1007401","vo_mhp_4015","1007401180","0"
"11","0","7","1007401","0.5","0","0","117531","（まあ、滋養強壮のカンポーだから\n全然関係ないんだけどね）","1007401181","1"
"91","","","1007401","","","","0","","1007401182",""
"22","","","1007401","","","","0","0","1007401183",""
"3","1","0","1007401","","0.2","0.2","117531","mhp_sit_in","1007401184","mhp_sit_idle"
"3","","0","1007401","","0.2","","100211","mhp_yui_pekori","1007401185",""
"91","","","1007401","","","","0","","1007401186",""
"3","","1","1007401","","0.2","","100211","mhp_walk","1007401187",""
"4","","","1007401","","","","100211","1","1007401188",""
"2","0","-220","1007401","","","","100211","-1000","1007401189","5"
"93","","","1007401","","","","4","0","1007401190",""
"3","","1","1007401","","0.2","","117631","mhp_sit_talk_worry","1007401191",""
"21","","0","1007401","","","","vo_mhp_1007401","vo_mhp_4016","1007401192","0"
"11","0","5","1007401","0.5","0","0","117631","先生、あの人って本当に病気なの？","1007401193","1"
"91","","","1007401","","","","0","","1007401194",""
"3","","1","1007401","","0.2","","117631","mhp_sit_idle","1007401195",""
"3","","1","1007401","","0.2","","117531","mhp_sit_talk_thinking","1007401196",""
"21","","0","1007401","","","","vo_mhp_1007401","vo_mhp_4017","1007401197","0"
"11","0","4","1007401","0.5","","0","117531","ええ、かなりの重病よ\nこれはしっかりと診てあげないとね\nふふ、若い子っていいわね♪","1007401198","1"
"91","","","1007401","","","","0","","1007401199",""
"22","","","1007401","","","","0","0.5","1007401200",""
"91","","","1007401","","","","0","","1007401201",""
"1","-240","100","1007402","mhp_idle_normal","1.7","0","1","100211","1007402001","-1000"
"1","-220","100","1007402","mhp_sit_idle","1.7","1","1","117531","1007402002","185"
"1","-200","100","1007402","mhp_sit_idle","1.7","1","1","117631","1007402003","365"
"31","0.85","-240","1007402","","1","","1","1","1007402004","-154"
"5","-220","110","1007402","NoItem","1.7","0","1","11","1007402005","-200"
"5","-220","105","1007402","NoItem","1.7","0","1","12","1007402006","-200"
"5","-220","110","1007402","NoItem","1.7","1","1","21","1007402007","185"
"5","-220","105","1007402","NoItem","1.7","1","1","22","1007402008","185"
"6","0","1","1007402","","0","0","11","1","1007402009","1"
"6","0","1","1007402","","0","0","12","1","1007402010","1"
"6","0","1","1007402","","0","0","21","1","1007402011","1"
"6","0","1","1007402","","0","0","22","1","1007402012","1"
"5","-220","110","1007402","NoItem","1.7","0","1","31","1007402013","-1000"
"91","","","1007402","","","","0","","1007402014",""
"3","","1","1007402","","0.2","","117531","mhp_sit_talk_normal","1007402015",""
"21","","0","1007402","","","","vo_mhp_1007402","vo_mhp_4101","1007402016","0"
"11","0","8","1007402","0.5","0","0","117531","ユイちゃん、どうぞー","1007402017","0"
"91","","","1007402","","","","0","","1007402018",""
"3","","1","1007402","","0.2","","117531","mhp_sit_idle","1007402019",""
"3","","1","1007402","","0.2","","100211","mhp_yui_walk_sad2","1007402020",""
"2","0","-220","1007402","","","","100211","-200","1007402021","4"
"91","","","1007402","","","","0","","1007402022",""
"3","1","0","1007402","","0.2","0.2","100211","mhp_yui_sit_in_sad","1007402023","mhp_yui_sit_idle_sad"
"93","","","1007402","","","","1","0","1007402024",""
"3","","1","1007402","","0.2","","117531","mhp_sit_talk_normal","1007402025",""
"21","","0","1007402","","","","vo_mhp_1007402","vo_mhp_4102","1007402026","0"
"11","0","5","1007402","0.5","0","0","117531","よく来たわね\n今日はもしかして胸の苦しみ、かしら？","1007402027","1"
"91","","","1007402","","","","0","","1007402028",""
"3","","1","1007402","","0.2","","117531","mhp_sit_idle","1007402029",""
"3","","1","1007402","","0.2","","100211","mhp_yui_sit_talk_surprise","1007402030",""
"21","","0","1007402","","","","vo_mhp_1007402","vo_mhp_4103","1007402031","0"
"11","0","6","1007402","0.5","0","0","100211","ま、まだ何も言っていないのに！？\nさすがミツキさんですね……","1007402032","1"
"91","","","1007402","","","","0","","1007402033",""
"3","","1","1007402","","0.2","","100211","mhp_yui_sit_talk_sad","1007402034",""
"21","","0","1007402","","","","vo_mhp_1007402","vo_mhp_4104","1007402035","0"
"11","0","4","1007402","0.5","0","0","100211","そうなんです、胸が苦しくて\n仕方ないんです……\nや、やっぱり重病なんでしょうか……","1007402036","1"
"91","","","1007402","","","","0","","1007402037",""
"3","","1","1007402","","0.2","","100211","mhp_yui_sit_idle_sad","1007402038",""
"3","","1","1007402","","0.2","","117531","mhp_sit_talk_sad2","1007402039",""
"21","","0","1007402","","","","vo_mhp_1007402","vo_mhp_4105","1007402040","0"
"11","0","6","1007402","0.5","0","0","117531","前にも言ったけど、直接命にかかわる\nことはないわ。でも、時に死ぬよりも\n苦しいことになる可能性もあるわね。","1007402041","1"
"91","","","1007402","","","","0","","1007402042",""
"3","","1","1007402","","0.2","","117531","mhp_sit_idle","1007402043",""
"3","","1","1007402","","0.2","","100211","mhp_yui_sit_talk_wish","1007402044",""
"21","","0","1007402","","","","vo_mhp_1007402","vo_mhp_4106","1007402045","0"
"11","0","6","1007402","0.5","0","0","100211","そんな……\nわ、わたし、どうすれば……","1007402046","1"
"91","","","1007402","","","","0","","1007402047",""
"3","","1","1007402","","0.2","","100211","mhp_yui_sit_idle_sad","1007402048",""
"3","","1","1007402","","0.2","","117531","mhp_sit_talk_wish","1007402049",""
"21","","0","1007402","","","","vo_mhp_1007402","vo_mhp_4107","1007402050","0"
"11","0","6","1007402","0.5","0","0","117531","大丈夫、そのための医者ですもの\nさて、胸の苦しさには――","1007402051","1"
"91","","","1007402","","","","0","","1007402052",""
"22","","","1007402","","","","0","0","1007402053",""
"103","","0","1007402","","","","動悸の薬を処方するわ。","1007402057","1007402054",""
"103","","0","1007402","","","","オーエド土産の甘いお菓子よ。","1007402102","1007402055",""
"103","","0","1007402","","","","羊の数でも数えなさい。","1007402147","1007402056",""
"3","1","0","1007402","","0.2","0","117531","mhp_sit_out","1007402057","mhp_idle_normal"
"93","","","1007402","","","","0.6","0","1007402058",""
"3","1","0","1007402","","0.2","0","100211","mhp_sit_out","1007402059","mhp_idle_normal"
"93","","","1007402","","","","0.2","0","1007402060",""
"3","0","1","1007402","","0.2","","100211","mhp_walk","1007402061",""
"2","0","-220","1007402","","","","100211","35","1007402062","1.5"
"2","0","-220","1007402","","","","31","35","1007402063","1.5"
"2","0","-220","1007402","","","","11","35","1007402064","1.5"
"2","0","-220","1007402","","","","12","35","1007402065","1.5"
"93","","","1007402","","","","0.3","0","1007402066",""
"3","1","0","1007402","","0.2","0","117531","mhp_handover_in","1007402067","mhp_handover_loop"
"6","1","1","1007402","","0","0","21","1","1007402068","1"
"6","1","1","1007402","","0","0","22","1","1007402069","1"
"3","1","0","1007402","","0.2","0","21","mhp_handover_in","1007402070","mhp_handover_loop"
"3","1","0","1007402","","0.2","0","22","mhp_item_EX0009_handover_in","1007402071","mhp_item_EX0009_handover_loop"
"93","","","1007402","","","","1.2","0","1007402072",""
"3","1","0","1007402","","0.2","0","100211","mhp_handover_receive_in","1007402073","mhp_handover_receive_loop"
"6","1","1","1007402","","0","0","11","1","1007402074","1"
"6","1","1","1007402","","0","0","12","1","1007402075","1"
"3","1","0","1007402","","0.2","0","11","mhp_receive_yui_in","1007402076","mhp_receive_yui_loop"
"3","1","0","1007402","","0.2","0","12","mhp_item_EX0009_receive_in","1007402077","mhp_item_EX0009_receive_loop"
"93","","","1007402","","","","0.6","0","1007402078",""
"6","1","1","1007402","","0.4","0","22","1","1007402079","1"
"93","","","1007402","","","","0.4","0","1007402080",""
"3","1","0","1007402","","0.2","0","117531","mhp_handover_out","1007402081","mhp_idle_normal"
"3","1","0","1007402","","0.2","0","21","mhp_handover_out","1007402082","NoItem_idle"
"3","1","0","1007402","","0.2","0","22","mhp_item_EX0009_handover_out","1007402083","NoItem_idle"
"93","","","1007402","","","","0.4","0","1007402084",""
"3","1","0","1007402","","0.2","0","100211","mhp_handover_receive_out","1007402085","mhp_idle_normal"
"3","1","0","1007402","","0.2","0","11","mhp_receive_yui_out","1007402086","NoItem_idle"
"3","1","0","1007402","","0.2","0","12","mhp_item_EX0009_receive_out","1007402087","NoItem_idle"
"93","","","1007402","","","","2","0","1007402088",""
"3","","1","1007402","","0.2","","100211","mhp_talk_sad","1007402089",""
"21","","0","1007402","","","","vo_mhp_1007402","vo_mhp_4108","1007402090","0"
"11","0","6","1007402","0.5","0","0","100211","お薬もらえるとなんだか安心します\nこれで治るといいんですけど……","1007402091","1"
"91","","","1007402","","","","0","","1007402092",""
"3","","1","1007402","","0.2","","100211","mhp_idle_sad","1007402093",""
"3","","1","1007402","","0.2","","117531","mhp_idle_thinking","1007402094",""
"21","","0","1007402","","","","vo_mhp_1007402","vo_mhp_4109","1007402095","0"
"11","0","6","1007402","0.5","0","0","117531","（実際はただのラムネ菓子だけどね。\n本当の病気じゃないならこれが一番よ）","1007402096","1"
"91","","","1007402","","","","0","","1007402097",""
"22","","","1007402","","","","0","0","1007402098",""
"3","1","0","1007402","","0.2","0.2","117531","mhp_sit_in","1007402099","mhp_sit_idle"
"93","","","1007402","","","","1","0","1007402100",""
"101","","","1007402","","","","1007402160","","1007402101",""
"3","1","0","1007402","","0.2","0","117531","mhp_sit_out","1007402102","mhp_idle_normal"
"93","","","1007402","","","","0.6","0","1007402103",""
"3","1","0","1007402","","0.2","0","100211","mhp_sit_out","1007402104","mhp_idle_normal"
"93","","","1007402","","","","0.2","0","1007402105",""
"3","0","1","1007402","","0.2","","100211","mhp_walk","1007402106",""
"2","0","-220","1007402","","","","100211","35","1007402107","1.5"
"2","0","-220","1007402","","","","31","35","1007402108","1.5"
"2","0","-220","1007402","","","","11","35","1007402109","1.5"
"2","0","-220","1007402","","","","12","35","1007402110","1.5"
"93","","","1007402","","","","0.3","0","1007402111",""
"3","1","0","1007402","","0.2","0","117531","mhp_handover_in","1007402112","mhp_handover_loop"
"6","1","1","1007402","","0","0","21","1","1007402113","1"
"6","1","1","1007402","","0","0","22","1","1007402114","1"
"3","1","0","1007402","","0.2","0","21","mhp_handover_in","1007402115","mhp_handover_loop"
"3","1","0","1007402","","0.2","0","22","mhp_item_EX0010_handover_in","1007402116","mhp_item_EX0010_handover_loop"
"93","","","1007402","","","","1.2","0","1007402117",""
"3","1","0","1007402","","0.2","0","100211","mhp_handover_receive_in","1007402118","mhp_handover_receive_loop"
"6","1","1","1007402","","0","0","11","1","1007402119","1"
"6","1","1","1007402","","0","0","12","1","1007402120","1"
"3","1","0","1007402","","0.2","0","11","mhp_receive_yui_in","1007402121","mhp_receive_yui_loop"
"3","1","0","1007402","","0.2","0","12","mhp_item_EX0010_receive_in","1007402122","mhp_item_EX0010_receive_loop"
"93","","","1007402","","","","0.6","0","1007402123",""
"6","1","1","1007402","","0.4","0","22","1","1007402124","1"
"93","","","1007402","","","","0.4","0","1007402125",""
"3","1","0","1007402","","0.2","0","117531","mhp_handover_out","1007402126","mhp_idle_normal"
"3","1","0","1007402","","0.2","0","21","mhp_handover_out","1007402127","NoItem_idle"
"3","1","0","1007402","","0.2","0","22","mhp_item_EX0010_handover_out","1007402128","NoItem_idle"
"93","","","1007402","","","","0.4","0","1007402129",""
"3","1","0","1007402","","0.2","0","100211","mhp_handover_receive_out","1007402130","mhp_idle_normal"
"3","1","0","1007402","","0.2","0","11","mhp_receive_yui_out","1007402131","NoItem_idle"
