a800b7dfdc25b464ced337efb0435e1444f1ac96f9256d14d5b0424e5dca92e5,720b0ee6ee6640d961be8059d71cf80642dcb8be494f59bfc5ccd207d466c89c,3c43a088934c64236860fade2755700cbcf3254e3ebeaf4da7fd279fd8f5d420,b46c01dafdb7433ba964fdc3b696a86230327e55dfa5c88f8e0ce2fa951e834d,3bd68a4b9047a29cc70e558103d85e9f66a60b4e74f98a9bd30b10df4e25137a,3ca9df59171e668f577119f077aafcd64072669c874bc659c192d73316b35eb2,0fa0dea3381b79792d30977799af0edf5902d4c768c53c5734919e76682da2bf,77bfb6f0661783184da95347cb2a2b9589e813d059cda036c3fbbddadaf86af8,4e0f7a16b4009d48f5be6f61c9d3bf4b1f1560690c979f6d33d84ed96aa6fb77,4a71086678e98313159e382d445bac9466b0ff4c67b7d6a54dcdbaafe6739313,8ad0caf068f702efe3f46eefee007d095a4b0de5ac279b28127fbe8ad4f5e9ec
"113411","0","0","8","0","0","フレーフレー！\n今日もファイトだよ！\n張り切っていこー！","11","0","1070004","7"
"3.4","","","","","","","93","","1070005","7"
"113411","1","","0","0.2","0.2","pkb_talk_handsup","3","pkb_idle_normal","1070006","7"
"1070004","","","","","","","91","","1070007","7"
"113411","","","1","","0.2","pkb_idle_normal","3","","1070008","7"
"1","-175","pkb_idle_normal","100","1","1.65","113411","1","64","1080001","8"
"113411","","","1","","0.2","pkb_talk_joy2","3","","1080002","8"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_202","21","0","1080003","8"
"113411","0","-1","8","0","0","ハツネちゃんも\n練習のお手伝いを\nしちゃうのだ～！\nきらーん☆","11","0","1080004","8"
"3.6","","","","","","","93","","1080005","8"
"113411","","","0","","0.2","pkb_hatsune_kiran","3","","1080006","8"
"1080004","","","","","","","91","","1080007","8"
"113411","","","1","","0.2","pkb_idle_normal","3","","1080008","8"
"1","-175","pkb_idle_normal","100","1","1.65","113411","1","64","1090001","9"
"113411","","","1","","0.2","pkb_talk_joy2","3","","1090002","9"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_203","21","0","1090003","9"
"113411","0","0","6","0","0","私も投げてみたいな！\n超能りょ…じゃなくて\n魔法で、すごい球を\n投げちゃうよ！","11","0","1090004","9"
"3","","","","","","","93","","1090005","9"
"113411","1","","0","0.2","0.2","pkb_surprise","3","pkb_idle_surprise1","1090006","9"
"1","","","","","","","93","","1090007","9"
"113411","","","1","","0.2","pkb_talk_joy3","3","","1090008","9"
"1090004","","","","","","","91","","1090009","9"
"113411","","","1","","0.2","pkb_idle_normal","3","","1090010","9"
"1","-175","pkb_idle_normal","100","1","1.65","106531","1","64","1100001","10"
"106531","1","","0","","0.2","pkb_talk_arm_crossed","3","pkb_idle_arm_crossed","1100002","10"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_301","21","0","1100003","10"
"106531","0","0","8","0","0","なあ、練習始めようぜ\n早く投げたくて\nウズウズしてるんだ！","11","0","1100004","10"
"2.8","","","","","","","93","","1100005","10"
"106531","","","1","","0.2","pkb_talk_joy1","3","","1100006","10"
"1100004","","","","","","","91","","1100007","10"
"106531","","","1","","0.2","pkb_idle_normal","3","","1100008","10"
"1","-175","pkb_idle_normal","100","1","1.65","106531","1","64","1110001","11"
"106531","","","1","","0.2","pkb_talk_normal","3","","1110002","11"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_302","21","0","1110003","11"
"106531","0","0","8","0","0","オレ様の特訓は\n半端じゃねえぜ\n覚悟しとけよ？","11","0","1110004","11"
"3.2","","","","","","","93","","1110005","11"
"106531","1","","0","0.2","0.2","pkb_talk_arm_crossed","3","pkb_idle_arm_crossed","1110006","11"
"1110004","","","","","","","91","","1110007","11"
"106531","","","1","","0.2","pkb_idle_normal","3","","1110008","11"
"1","-175","pkb_idle_normal","100","1","1.65","106531","1","64","1120001","12"
"106531","1","","0","0.2","0.2","pkb_talk_arm_crossed","3","pkb_idle_arm_crossed","1120002","12"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_303","21","0","1120003","12"
"106531","0","0.5","8","0","0","威勢がいいのは口だけ\nじゃねえってとこ\n見せてくれよな？","11","0","1120004","12"
"3.2","","","","","","","93","","1120005","12"
"106531","1","","0","","0.2","pkb_talk_doya","3","pkb_idle_doya","1120006","12"
"1120004","","","","","","","91","","1120007","12"
"106531","","","1","","0.2","pkb_idle_normal","3","","1120008","12"
"1","-175","pkb_idle_normal","100","1","1.65","102311","1","64","1130001","13"
"102311","1","","0","0.4","0.2","pkb_talk_fun","3","pkb_talk_joy1","1130002","13"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_401","21","0","1130003","13"
"102311","0","0","8","0","0","今日も打っちゃうよ！\n一緒にがんばろうね\nぷうきち！","11","0","1130004","13"
"1130004","","","","","","","91","","1130005","13"
"102311","","","1","","0.2","pkb_idle_normal","3","","1130006","13"
"1","-175","pkb_idle_normal","100","1","1.65","102311","1","64","1140001","14"
"102311","","","1","","0.2","pkb_talk_joy1","3","","1140002","14"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_402","21","0","1140003","14"
"102311","0","0","8","0","0","全部ホームラン\n打てばいいんだよね？\nそれくらい簡単だよ！","11","0","1140004","14"
"3","","","","","","","93","","1140005","14"
"102311","1","","0","","0.2","pkb_talk_doya","3","pkb_idle_doya","1140006","14"
"1140004","","","","","","","91","","1140007","14"
"102311","","","1","","0.2","pkb_idle_normal","3","","1140008","14"
"1","-175","pkb_idle_normal","100","1","1.65","102311","1","64","1150001","15"
"102311","","","1","","0.2","pkb_talk_wish","3","","1150002","15"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_403","21","0","1150003","15"
"102311","0","-0.5","8","0","0","お兄ちゃんたちの\nお手本になれる\nように、いっぱい\n打つからね！","11","0","1150004","15"
"2.4","","","","","","","93","","1150005","15"
"102311","1","","0","0.4","0.2","pkb_talk_fun","3","pkb_talk_joy1","1150006","15"
"1150004","","","","","","","91","","1150007","15"
"102311","","","1","","0.2","pkb_idle_normal","3","","1150008","15"
"1","-155","pkb_idle_normal_l","100","1","57","1","5","64","1160001","16"
"1","1","","0","0.2","0.2","pkb_talk_arm_crossed_l","3","pkb_idle_arm_crossed_l","1160002","16"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_701","21","0","1160003","16"
"1","0","0","8","0","0","全国大会を目指して\n今日も練習頑張ろう！","11","0","1160004","16"
"2.6","","","","","","","93","","1160005","16"
"1","1","","0","0.2","0.2","pkb_talk_doya_l","3","pkb_idle_doya_l","1160006","16"
"1160004","","","","","","","91","","1160007","16"
"1","","","1","","0.2","pkb_idle_normal_l","3","","1160008","16"
"1","-155","pkb_idle_normal_l","100","1","57","1","5","64","1170001","17"
"1","1","","0","","0.2","pkb_talk_guts_l","3","pkb_idle_guts_l","1170002","17"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_702","21","0","1170003","17"
"1","0","0","8","0","0","夢を叶えるために\n全力で練習に\n取り組もう！","11","0","1170004","17"
"0","","","","","","","91","","1170005","17"
"1","","","1","","0.2","pkb_idle_normal_l","3","","1170006","17"
"1","-155","pkb_idle_normal_l","100","1","57","1","5","64","1180001","18"
"1","1","","0","0.2","0.2","pkb_talk_arm_crossed_l","3","pkb_idle_arm_crossed_l","1180002","18"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_703","21","0","1180003","18"
"1","0","0","8","0","0","部員のみんなも\nすごく上達してる…\n俺も負けてられない！","11","0","1180004","18"
"2.9","","","","","","","93","","1180005","18"
"1","1","","0","","0.2","pkb_talk_guts_l","3","pkb_idle_guts_l","1180006","18"
"1180004","","","","","","","91","","1180007","18"
"1","","","1","","0.2","pkb_idle_normal_l","3","","1180008","18"
"2","-155","pkb_idle_normal_l","100","1","57","2","5","64","1190001","19"
"2","1","","0","0.2","0.2","pkb_talk_arm_crossed_l","3","pkb_idle_arm_crossed_l","1190002","19"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_801","21","0","1190003","19"
"2","0","0","8","0","0","上達してるってとこ\n見せてやる\nオレだって選手なんだ","11","0","1190004","19"
"3.8","","","","","","","93","","1190005","19"
"2","1","","0","","0.2","pkb_talk_guts_l","3","pkb_idle_guts_l","1190006","19"
"1190004","","","","","","","91","","1190007","19"
"2","","","1","","0.2","pkb_idle_normal_l","3","","1190008","19"
"2","-155","pkb_idle_normal_l","100","1","57","2","5","64","1200001","20"
"2","1","","0","","0.2","pkb_talk_guts_l","3","pkb_idle_guts_l","1200002","20"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_802","21","0","1200003","20"
"2","0","0","8","0","0","今日もかっとばす\n遠慮せず全力で\nかかってこい","11","0","1200004","20"
"3.2","","","","","","","93","","1200005","20"
"2","1","","0","","0.2","pkb_talk_doya_l","3","pkb_idle_doya_l","1200006","20"
"1200004","","","","","","","91","","1200007","20"
"2","","","1","","0.2","pkb_idle_normal_l","3","","1200008","20"
"2","-155","pkb_idle_normal_l","100","1","57","2","5","64","1210001","21"
"2","1","","0","0.2","0.2","pkb_talk_arm_crossed_l","3","pkb_idle_arm_crossed_l","1210002","21"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_803","21","0","1210003","21"
"2","0","0","8","0","0","全国を目指してんだ\nもっと練習しなきゃ\nいけねえよな","11","0","1210004","21"
"0","","","","","","","91","","1210005","21"
"2","","","1","","0.2","pkb_idle_normal_l","3","","1210006","21"
"1","-150","pkb_idle_normal","100","0","1.6","113511","1","-20","1220001","22"
"1","-150","pkb_idle_normal","100","1","1.6","113411","1","170","1220002","22"
"113511","","","1","","0.2","pkb_talk_joy1","3","","1220003","22"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_talk_1_101","21","0","1220004","22"
"113511","0","-0.5","6","0","0","ふふ、みんなすごく\n張り切ってるわね\nハツネちゃんの応援の\nおかげかしら♪","11","0","1220005","22"
"0","","","","","","","91","","1220006","22"
"113511","","","1","","0.2","pkb_idle_normal","3","","1220007","22"
"113411","","","1","","0.2","pkb_talk_joy1","3","","1220008","22"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_talk_1_202","21","0","1220009","22"
"113411","0","-0.5","6","0","0","そうかなー？\nじゃあもっと応援\nがんばっちゃうぞ～！","11","0","1220010","22"
"4","","","","","","","93","","1220011","22"
"113411","1","","0","0","0.2","pkb_talk_handsup","3","pkb_idle_normal","1220012","22"
"1220010","","","","","","","91","","1220013","22"
"113411","","","1","","0.2","pkb_idle_normal","3","","1220014","22"
"1","-150","pkb_idle_normal","100","1","1.6","113411","1","170","1230001","23"
"1","-150","pkb_idle_normal","100","0","1.6","113511","1","-20","1230002","23"
"113411","","","1","","0.2","pkb_talk_normal","3","","1230003","23"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_talk_2_201","21","0","1230004","23"
"113411","0","-1.5","8","0","0","ミサト先生も一緒に\n応援しようよ！","11","0","1230005","23"
"0","","","","","","","91","","1230006","23"
"113411","","","1","","0.2","pkb_idle_normal","3","","1230007","23"
"113511","","","1","","0.2","pkb_talk_normal","3","","1230008","23"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_talk_2_102","21","0","1230009","23"
"113511","0","3","5","0","0","あらあら\n楽しそうね～♪\nフレーフレー！","11","0","1230010","23"
"4","","","","","","","93","","1230011","23"
"113511","0","","0","0.2","0.2","pkb_talk_fun","3","pkb_talk_fun","1230012","23"
"2.7","","","","","","","93","","1230013","23"
"113511","1","","0","0.2","0.2","pkb_idle_normal","3","pkb_talk_joy1","1230014","23"
"1230010","","","","","","","91","","1230015","23"
"113511","","","1","","0.2","pkb_idle_normal","3","","1230016","23"
"1","-150","pkb_idle_normal","100","1","1.6","113511","1","170","1240001","24"
"3","-130","pkb_idle_normal","100","0","55","3","5","-20","1240002","24"
"113511","","","1","","0.2","pkb_talk_joy3","3","","1240003","24"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_talk_3_101","21","0","1240004","24"
"113511","0","-1","6","0","0","ダイチくんったら\nすごい気合いね～！\nでも、無理しちゃ\n駄目ですよ～？","11","0","1240005","24"
"4","","","","","","","93","","1240006","24"
"113511","","","1","","0.2","pkb_talk_wish","3","","1240007","24"
"1240005","","","","","","","91","","1240008","24"
"113511","","","1","","0.2","pkb_idle_normal","3","","1240009","24"
"3","","","1","","0.2","pkb_talk_normal","3","","1240010","24"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_talk_3_602","21","0","1240011","24"
"3","0","-1","6","0","0","わかってるっつーの\nけどよ、ビーチベース\nボールが楽しくて\n仕方ねえんだよ！","11","0","1240012","24"
"2","","","","","","","93","","1240013","24"
"3","1","","0","","0.2","pkb_talk_doya","3","pkb_idle_doya","1240014","24"
"1240012","","","","","","","91","","1240015","24"
"3","","","1","","0.2","pkb_idle_normal","3","","1240016","24"
"3","-130","pkb_idle_normal","100","0","55","3","5","-20","1250001","25"
"1","-150","pkb_idle_normal","100","1","1.6","113511","1","170","1250002","25"
"3","1","","0","0.2","0.2","pkb_talk_arm_crossed","3","pkb_idle_arm_crossed","1250003","25"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_talk_4_601","21","0","1250004","25"
"3","0","-0.5","8","0","0","今の俺たちなら\n全国行けるぜ！\n絶対に夢を\n叶えようぜ！","11","0","1250005","25"
"3","","","","","","","93","","1250006","25"
"3","1","","0","","0.2","pkb_talk_guts","3","pkb_idle_guts","1250007","25"
"1250005","","","","","","","91","","1250008","25"
"3","","","1","","0.2","pkb_idle_normal","3","","1250009","25"
"113511","","","1","","0.2","pkb_talk_wish","3","","1250010","25"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_talk_4_102","21","0","1250011","25"
"113511","0","1","6","0","0","ええ、あなたたちなら\n行けるって信じてるわ\n頑張りましょう～♪","11","0","1250012","25"
"5.6","","","","","","","93","","1250013","25"
"113511","1","","0","0.2","0.2","pkb_talk_handsup","3","pkb_idle_normal","1250014","25"
"0","","","","","","","91","","1250015","25"
"113511","","","1","","0.2","pkb_idle_normal","3","","1250016","25"
"1","-150","pkb_idle_normal","100","1","1.6","113511","1","170","1260001","26"
"1","-130","pkb_idle_normal","100","0","55","1","5","-20","1260002","26"
"113511","","","1","","0.2","pkb_talk_joy3","3","","1260003","26"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_talk_5_101","21","0","1260004","26"
"113511","0","0","6","0","0","ふふ、先生も\n練習のお手伝いを\nしますからね～","11","0","1260005","26"
"0","","","","","","","91","","1260006","26"
"113511","","","1","","0.2","pkb_idle_normal","3","","1260007","26"
"1","1","","0","0.2","0.2","pkb_talk_guts","3","pkb_idle_guts","1260008","26"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_talk_5_702","21","0","1260009","26"
"1","0","-1","8","0","0","先生、ありがとう\nございます！\n俺も気合い入れて\n頑張ります！","11","0","1260010","26"
"0","","","","","","","91","","1260011","26"
"1","","","1","","0.2","pkb_idle_normal","3","","1260012","26"
"1","-130","pkb_idle_normal","100","0","55","1","5","-20","1270001","27"
"1","-150","pkb_idle_normal","100","1","1.6","113511","1","170","1270002","27"
"1","1","","0","0.2","0.2","pkb_talk_arm_crossed","3","pkb_idle_arm_crossed","1270003","27"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_talk_6_701","21","0","1270004","27"
"1","0","-0.5","8","0","0","今日もボールが\nピカピカだ…\nきっと先生が\n磨いてくれたんだ…！","11","0","1270005","27"
"2.6","","","","","","","93","","1270006","27"
"1","1","","0","0.2","0.2","pkb_talk_guts","3","pkb_idle_guts","1270007","27"
"1270005","","","","","","","91","","1270008","27"
"1","","","1","","0.2","pkb_idle_normal","3","","1270009","27"
"113511","","","1","","0.2","pkb_talk_joy3","3","","1270010","27"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_talk_6_102","21","0","1270011","27"
"113511","0","0.5","6","0","0","私にできることを\nしただけですよ～\nみんなが気持ちよく\n練習できたらなって♪","11","0","1270012","27"
"4","","","","","","","93","","1270013","27"
"113511","","","1","","0.2","pkb_talk_wish","3","","1270014","27"
"1270012","","","","","","","91","","1270015","27"
"113511","","","1","","0.2","pkb_idle_normal","3","","1270016","27"
"1","-150","pkb_idle_normal","100","1","1.6","113411","1","170","1280001","28"
"3","-130","pkb_idle_normal","100","0","55","3","5","-20","1280002","28"
"113411","1","","0","0.2","0.2","pkb_talk_yell","3","pkb_talk_joy1","1280003","28"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_talk_7_201","21","0","1280004","28"
"113411","0","-0.5","8","0","0","みんな、頑張れ～♪\nかっこいいところ\n期待してるよー！\nファイトファイト～！","11","0","1280005","28"
"4.6","","","","","","","93","","1280006","28"
"113411","1","","0","0.2","0.2","pkb_talk_fun","3","pkb_idle_normal","1280007","28"
"1280005","","","","","","","91","","1280008","28"
"113411","","","1","","0.2","pkb_idle_normal","3","","1280009","28"
"3","1","","0","","0.2","pkb_talk_guts","3","pkb_idle_guts","1280010","28"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_talk_7_602","21","0","1280011","28"
"3","0","0","8","0","0","応援が沁みるぜ…\nハツネちゃんに\nいいとこ見せるぞ！\nうおおぉぉ！！","11","0","1280012","28"
"5","","","","","","","93","","1280013","28"
"3","1","","0","","0.2","pkb_talk_handsup","3","pkb_idle_normal","1280014","28"
"1280012","","","","","","","91","","1280015","28"
"3","","","1","","0.2","pkb_idle_normal","3","","1280016","28"
"3","-130","pkb_idle_normal","100","0","55","3","5","-20","1290001","29"
"1","-150","pkb_idle_normal","100","1","1.6","113411","1","170","1290002","29"
"3","1","","0","0.2","0.2","pkb_talk_arm_crossed","3","pkb_idle_arm_crossed","1290003","29"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_talk_8_601","21","0","1290004","29"
"3","0","-1","8","0","0","かなりハードな練習に\nなりそうなんだ\nビシッと気合いが入る\n応援を頼むぜ！","11","0","1290005","29"
"2.8","","","","","","","93","","1290006","29"
"3","1","","0","","0.2","pkb_talk_guts","3","pkb_idle_guts","1290007","29"
"1290005","","","","","","","91","","1290008","29"
"3","","","1","","0.2","pkb_idle_normal","3","","1290009","29"
"113411","","","1","","0.2","pkb_talk_joy1","3","","1290010","29"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_talk_8_202","21","0","1290011","29"
"113411","0","-0.5","8","0","0","任せてよ！\nいつもよりいっぱい\n応援しちゃうよ～！","11","0","1290012","29"
"2.2","","","","","","","93","","1290013","29"
"113411","0","","0","0.4","0.2","pkb_talk_fun","3","pkb_smile","1290014","29"
"2.2","","","","","","","93","","1290015","29"
"113411","","","1","","0.2","pkb_idle_normal","3","","1290016","29"
"1290012","","","","","","","91","","1290017","29"
"113411","","","1","","0.2","pkb_idle_normal","3","","1290018","29"
"1","-150","pkb_idle_normal","100","1","1.6","113411","1","170","1300001","30"
"1","-130","pkb_idle_normal","100","0","55","1","5","-20","1300002","30"
"113411","","","1","","0.2","pkb_talk_joy1","3","","1300003","30"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_talk_9_201","21","0","1300004","30"
"113411","0","1","8","0","0","いっぱい応援するから\n今日も練習頑張ってね\n目指せ、全国大会～！","11","0","1300005","30"
"5","","","","","","","93","","1300006","30"
"113411","1","","0","","0.2","pkb_talk_handsup","3","pkb_idle_normal","1300007","30"
"1300005","","","","","","","91","","1300008","30"
"113411","","","1","","0.2","pkb_idle_normal","3","","1300009","30"
"1","","","1","","0.2","pkb_talk_normal","3","","1300010","30"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_talk_9_702","21","0","1300011","30"
"1","0","-1","8","0","0","ハツネちゃんの応援は\n俺たちの力に\nなってるよ\nいつもありがとう！","11","0","1300012","30"
"3.3","","","","","","","93","","1300013","30"
"1","1","","0","","0.2","pkb_talk_guts","3","pkb_idle_guts","1300014","30"
"1300012","","","","","","","91","","1300015","30"
"1","","","1","","0.2","pkb_idle_normal","3","","1300016","30"
"1","-130","pkb_idle_normal","100","0","55","1","5","-20","1310001","31"
"1","-150","pkb_idle_normal","100","1","1.6","113411","1","170","1310002","31"
"1","1","","0","0.2","0.2","pkb_talk_arm_crossed","3","pkb_idle_arm_crossed","1310003","31"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_talk_10_701","21","0","1310004","31"
"1","0","-1.5","8","0","0","キャプテンとして\nもっと上手くなって\nみんなを引っ張って\nいかないと！","11","0","1310005","31"
"3.6","","","","","","","93","","1310006","31"
"1","1","","0","","0.2","pkb_talk_doya","3","pkb_idle_doya","1310007","31"
"1310005","","","","","","","91","","1310008","31"
"1","","","1","","0.2","pkb_idle_normal","3","","1310009","31"
"113411","","","1","","0.2","pkb_talk_joy1","3","","1310010","31"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_talk_10_202","21","0","1310011","31"
"113411","0","-0.5","8","0","0","おっ、アサヒくん！\n気合い入ってるね！\nその意気なのだ～！\n頑張れ頑張れ～☆","11","0","1310012","31"
"3.6","","","","","","","93","","1310013","31"
"113411","0","","0","","0.2","pkb_talk_fun","3","pkb_talk_fun","1310014","31"
"3","","","","","","","93","","1310015","31"
"113411","","","1","","0.2","pkb_idle_normal","3","","1310016","31"
"1310012","","","","","","","91","","1310017","31"
"2","-130","pkb_idle_normal","100","0","55","2","5","-20","1320001","32"
"1","-150","pkb_idle_normal","100","1","1.6","113411","1","170","1320002","32"
"2","1","","0","","0.2","pkb_talk_guts","3","pkb_idle_guts","1320003","32"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_talk_11_801","21","0","1320004","32"
"2","0","0","8","0","0","ハツネちゃん…\nホームラン打つって\n約束するから\nしっかり見ててくれよ","11","0","1320005","32"
"5","","","","","","","93","","1320006","32"
"2","1","","0","","0.2","pkb_talk_doya","3","pkb_idle_doya","1320007","32"
"1320005","","","","","","","91","","1320008","32"
"2","","","1","","0.2","pkb_idle_normal","3","","1320009","32"
"113411","","","1","","0.2","pkb_talk_joy2","3","","1320010","32"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_talk_11_202","21","0","1320011","32"
"113411","0","0","8","0","0","うん、わかった！\n特大ホームランを\nよろしくねー！\n期待してるよ～！","11","0","1320012","32"
"4.6","","","","","","","93","","1320013","32"
"113411","1","","0","0.2","0.2","pkb_hatsune_kiran","3","pkb_idle_normal","1320014","32"
"1320012","","","","","","","91","","1320015","32"
"113411","","","1","","0.2","pkb_idle_normal","3","","1320016","32"
"1","-150","pkb_idle_normal","100","1","1.6","102311","1","170","1330001","33"
"2","-130","pkb_idle_normal","100","0","55","2","5","-20","1330002","33"
"102311","","","1","","0.2","pkb_talk_normal","3","","1330003","33"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_talk_12_401","21","0","1330004","33"
"102311","0","-0.5","8","0","0","声出し練習やろうよ！\n「ぷうきち\nフルスイング」って\n大声で百回～！","11","0","1330005","33"
"1.6","","","","","","","93","","1330006","33"
"102311","1","","0","0.2","0.2","pkb_talk_yell","3","pkb_talk_joy1","1330007","33"
"1330005","","","","","","","91","","1330008","33"
"102311","","","1","","0.2","pkb_idle_normal","3","","1330009","33"
"vo_minigame_1006","","","0","","","vo_minigame_1006_top_talk_12_802","21","0","1330010","33"
"2","0","0","8","0","0","ぷ、ぷうきち\nフルスイーング！\n…これはこれで\nキツい練習だな","11","0","1330011","33"
"0.5","","","","","","","93","","1330012","33"
