2275fa8f4e34538685366cabb26d7193f5513d7bc834a06b2829d2d414b575e2,aa918664a8f224ff3d918bc5160a95b13aa0a4aa9022e4b976fe17a5324ed3ee,c651b089942752c47237daa6becc71bc450ea857d7c598a4c55fe262344b608c,0fa4016df1550b74c8617fbb9879d55d26a21cc7833307402c001072005e400d,ecebfb301e0d68cd105e6f8987bc2bda8fc22cfada96aa7edc067de1f5ac7395,a07ee1b79ad8f14ce3718dbdd409d91f7e967151b09bff0a63cd6ac0ac42df05,3548bb7a634a3d43e74712ccc0b6f904f9380868b6903d25f34ac5f12eef184e,554d6d956f8035b94096b286f572fae3f5afd1f61cea6ee5c05ba84835ce4c11,b6aceaf3e6e993038244f5e9019a393a0353ac9f5df532f7287508075270e05e,4f5e1c955f159b2e456b9fc111a44f22bc5f3748b77b371276889f7db817f484,2cb7c73653b64cd4a87c92505fb6ba31404e0e82ca6012849942f645d148b0bb
"100412","78100412","bgm_MC294","90","1004","1","1004","bgm_MC294","103624","78100412","２戦目"
"100413","78100413","bgm_MC294","90","1004","1","1004","bgm_MC294","103624","78100413","３戦目"
"100414","78100414","bgm_MC294","90","1004","1","1004","bgm_MC294","103624","78100414","４戦目"
"100415","78100415","bgm_MC295B","90","1004","2","1004","bgm_MC295B","103624","78100415","５戦目"
"100421","78100421","bgm_MC294","90","1004","1","1004","bgm_MC294","103624","78100421","１戦目"
"100422","78100422","bgm_MC294","90","1004","1","1004","bgm_MC294","103624","78100422","２戦目"
"100423","78100423","bgm_MC294","90","1004","1","1004","bgm_MC294","103624","78100423","３戦目"
"100424","78100424","bgm_MC294","90","1004","1","1004","bgm_MC294","103624","78100424","４戦目"
"100425","78100425","bgm_MC295B","90","1004","2","1004","bgm_MC295B","103624","78100425","５戦目"
"100431","78100431","bgm_MC294","90","1004","1","1004","bgm_MC294","103624","78100431","１戦目"
"100432","78100432","bgm_MC294","90","1004","1","1004","bgm_MC294","103624","78100432","２戦目"
"100433","78100433","bgm_MC294","90","1004","1","1004","bgm_MC294","103624","78100433","３戦目"
"100434","78100434","bgm_MC294","90","1004","1","1004","bgm_MC294","103624","78100434","４戦目"
"100435","78100435","bgm_MC295B","90","1004","2","1004","bgm_MC295B","103624","78100435","５戦目"
"100441","78100441","bgm_MC294","90","1004","1","1004","bgm_MC294","103624","78100441","１戦目"
"100442","78100442","bgm_MC294","90","1004","1","1004","bgm_MC294","103624","78100442","２戦目"
"100443","78100443","bgm_MC294","90","1004","1","1004","bgm_MC294","103624","78100443","３戦目"
"100444","78100444","bgm_MC294","90","1004","1","1004","bgm_MC294","103624","78100444","４戦目"
"100445","78100445","bgm_MC295B","90","1004","2","1004","bgm_MC295B","103624","78100445","５戦目"
