1eddb438c6244783bb4d4c40c986d621321e44f4f28e4134870262f3850e6a36,053c801553e4208b81662fc583eacb41b1569779935b77eb7bc1c2948dc97c02,2203b9df9487e06b8b54d09a8c5c022fd87a86972a5d11f6b8b3afe4a1c472cc,ba6677a5b70e01b1df9dffa6a665520ad0e7b7fb83481bb02d398481072e3fa1,bd90ebc198ae9a477a3858a1c041f68bd6209ab831d1f75ea64a347a53478fa4,0817d4ffcd79723cd725418d6c771bc2c222f5ca4e432842fe1295e956c85d4f,412ec2636c314fd2d5abd0d361af50552eed2c289e105a7a7456be512822c635,07be14f03813ead7c7aa312e9cb9079e77e752ce7adc53cc5daf18218c9a2400,7378bf6e1b2534fb5b0682702074b67a69b85062b10c0290c9f9532f243de5a2
"45000","1","2","1001","難易度HARDで45000pt獲得しよう","100320","100320","1003","5"
"0","1","3","1002","難易度EXTRA1で1回戦おう","100321","100321","1003","6"
"0","1","3","1003","難易度EXTRA2で1回戦おう","100322","100322","1003","6"
"0","1","3","1004","難易度EXTRA3で1回戦おう","100323","100323","1003","6"
"20000","1","3","1001","難易度EXTRAで20000pt獲得しよう","100324","100324","1003","7"
"40000","1","3","1001","難易度EXTRAで40000pt獲得しよう","100325","100325","1003","7"
"60000","1","3","1001","難易度EXTRAで60000pt獲得しよう","100326","100326","1003","7"
"10000","1","0","1001","全難易度合計で10000pt獲得しよう","100401","100401","1004","0"
"30000","1","0","1001","全難易度合計で30000pt獲得しよう","100402","100402","1004","0"
"50000","1","0","1001","全難易度合計で50000pt獲得しよう","100403","100403","1004","0"
"70000","1","0","1001","全難易度合計で70000pt獲得しよう","100404","100404","1004","0"
"90000","1","0","1001","全難易度合計で90000pt獲得しよう","100405","100405","1004","1"
"105000","1","0","1001","全難易度合計で105000pt獲得しよう","100406","100406","1004","1"
"120000","1","0","1001","全難易度合計で120000pt獲得しよう","100407","100407","1004","1"
"135000","1","0","1001","全難易度合計で135000pt獲得しよう","100408","100408","1004","1"
"0","1","1","1002","難易度NORMAL1で1回戦おう","100409","100409","1004","2"
"0","1","1","1003","難易度NORMAL2で1回戦おう","100410","100410","1004","2"
"0","1","1","1004","難易度NORMAL3で1回戦おう","100411","100411","1004","2"
"10000","1","1","1001","難易度NORMALで10000pt獲得しよう","100412","100412","1004","3"
"20000","1","1","1001","難易度NORMALで20000pt獲得しよう","100413","100413","1004","3"
"30000","1","1","1001","難易度NORMALで30000pt獲得しよう","100414","100414","1004","3"
"0","1","2","1002","難易度HARD1で1回戦おう","100415","100415","1004","4"
"0","1","2","1003","難易度HARD2で1回戦おう","100416","100416","1004","4"
"0","1","2","1004","難易度HARD3で1回戦おう","100417","100417","1004","4"
"15000","1","2","1001","難易度HARDで15000pt獲得しよう","100418","100418","1004","5"
"30000","1","2","1001","難易度HARDで30000pt獲得しよう","100419","100419","1004","5"
"45000","1","2","1001","難易度HARDで45000pt獲得しよう","100420","100420","1004","5"
"0","1","3","1002","難易度EXTRA1で1回戦おう","100421","100421","1004","6"
"0","1","3","1003","難易度EXTRA2で1回戦おう","100422","100422","1004","6"
"0","1","3","1004","難易度EXTRA3で1回戦おう","100423","100423","1004","6"
"20000","1","3","1001","難易度EXTRAで20000pt獲得しよう","100424","100424","1004","7"
"40000","1","3","1001","難易度EXTRAで40000pt獲得しよう","100425","100425","1004","7"
"60000","1","3","1001","難易度EXTRAで60000pt獲得しよう","100426","100426","1004","7"
"10000","1","0","1001","全難易度合計で10000pt獲得しよう","100501","100501","1005","0"
"30000","1","0","1001","全難易度合計で30000pt獲得しよう","100502","100502","1005","0"
"50000","1","0","1001","全難易度合計で50000pt獲得しよう","100503","100503","1005","0"
"70000","1","0","1001","全難易度合計で70000pt獲得しよう","100504","100504","1005","0"
"90000","1","0","1001","全難易度合計で90000pt獲得しよう","100505","100505","1005","1"
"105000","1","0","1001","全難易度合計で105000pt獲得しよう","100506","100506","1005","1"
"120000","1","0","1001","全難易度合計で120000pt獲得しよう","100507","100507","1005","1"
"135000","1","0","1001","全難易度合計で135000pt獲得しよう","100508","100508","1005","1"
"0","1","1","1002","難易度NORMAL1で1回戦おう","100509","100509","1005","2"
"0","1","1","1003","難易度NORMAL2で1回戦おう","100510","100510","1005","2"
"0","1","1","1004","難易度NORMAL3で1回戦おう","100511","100511","1005","2"
"10000","1","1","1001","難易度NORMALで10000pt獲得しよう","100512","100512","1005","3"
"20000","1","1","1001","難易度NORMALで20000pt獲得しよう","100513","100513","1005","3"
"30000","1","1","1001","難易度NORMALで30000pt獲得しよう","100514","100514","1005","3"
"0","1","2","1002","難易度HARD1で1回戦おう","100515","100515","1005","4"
"0","1","2","1003","難易度HARD2で1回戦おう","100516","100516","1005","4"
"0","1","2","1004","難易度HARD3で1回戦おう","100517","100517","1005","4"
"15000","1","2","1001","難易度HARDで15000pt獲得しよう","100518","100518","1005","5"
"30000","1","2","1001","難易度HARDで30000pt獲得しよう","100519","100519","1005","5"
"45000","1","2","1001","難易度HARDで45000pt獲得しよう","100520","100520","1005","5"
"0","1","3","1002","難易度EXTRA1で1回戦おう","100521","100521","1005","6"
"0","1","3","1003","難易度EXTRA2で1回戦おう","100522","100522","1005","6"
"0","1","3","1004","難易度EXTRA3で1回戦おう","100523","100523","1005","6"
"20000","1","3","1001","難易度EXTRAで20000pt獲得しよう","100524","100524","1005","7"
"40000","1","3","1001","難易度EXTRAで40000pt獲得しよう","100525","100525","1005","7"
"60000","1","3","1001","難易度EXTRAで60000pt獲得しよう","100526","100526","1005","7"
"10000","1","0","1001","全難易度合計で10000pt獲得しよう","100601","100601","1006","0"
"30000","1","0","1001","全難易度合計で30000pt獲得しよう","100602","100602","1006","0"
"50000","1","0","1001","全難易度合計で50000pt獲得しよう","100603","100603","1006","0"
"70000","1","0","1001","全難易度合計で70000pt獲得しよう","100604","100604","1006","0"
"90000","1","0","1001","全難易度合計で90000pt獲得しよう","100605","100605","1006","1"
"105000","1","0","1001","全難易度合計で105000pt獲得しよう","100606","100606","1006","1"
"120000","1","0","1001","全難易度合計で120000pt獲得しよう","100607","100607","1006","1"
"135000","1","0","1001","全難易度合計で135000pt獲得しよう","100608","100608","1006","1"
"0","1","1","1002","難易度NORMAL1で1回戦おう","100609","100609","1006","2"
"0","1","1","1003","難易度NORMAL2で1回戦おう","100610","100610","1006","2"
"0","1","1","1004","難易度NORMAL3で1回戦おう","100611","100611","1006","2"
"10000","1","1","1001","難易度NORMALで10000pt獲得しよう","100612","100612","1006","3"
"20000","1","1","1001","難易度NORMALで20000pt獲得しよう","100613","100613","1006","3"
"30000","1","1","1001","難易度NORMALで30000pt獲得しよう","100614","100614","1006","3"
"0","1","2","1002","難易度HARD1で1回戦おう","100615","100615","1006","4"
"0","1","2","1003","難易度HARD2で1回戦おう","100616","100616","1006","4"
"0","1","2","1004","難易度HARD3で1回戦おう","100617","100617","1006","4"
"15000","1","2","1001","難易度HARDで15000pt獲得しよう","100618","100618","1006","5"
"30000","1","2","1001","難易度HARDで30000pt獲得しよう","100619","100619","1006","5"
"45000","1","2","1001","難易度HARDで45000pt獲得しよう","100620","100620","1006","5"
"0","1","3","1002","難易度EXTRA1で1回戦おう","100621","100621","1006","6"
"0","1","3","1003","難易度EXTRA2で1回戦おう","100622","100622","1006","6"
"0","1","3","1004","難易度EXTRA3で1回戦おう","100623","100623","1006","6"
"20000","1","3","1001","難易度EXTRAで20000pt獲得しよう","100624","100624","1006","7"
"40000","1","3","1001","難易度EXTRAで40000pt獲得しよう","100625","100625","1006","7"
"60000","1","3","1001","難易度EXTRAで60000pt獲得しよう","100626","100626","1006","7"
"10000","1","0","1001","全難易度合計で10000pt獲得しよう","100701","100701","1007","0"
"30000","1","0","1001","全難易度合計で30000pt獲得しよう","100702","100702","1007","0"
"50000","1","0","1001","全難易度合計で50000pt獲得しよう","100703","100703","1007","0"
"70000","1","0","1001","全難易度合計で70000pt獲得しよう","100704","100704","1007","0"
"90000","1","0","1001","全難易度合計で90000pt獲得しよう","100705","100705","1007","1"
"105000","1","0","1001","全難易度合計で105000pt獲得しよう","100706","100706","1007","1"
"120000","1","0","1001","全難易度合計で120000pt獲得しよう","100707","100707","1007","1"
"135000","1","0","1001","全難易度合計で135000pt獲得しよう","100708","100708","1007","1"
"0","1","1","1002","難易度NORMAL1で1回戦おう","100709","100709","1007","2"
"0","1","1","1003","難易度NORMAL2で1回戦おう","100710","100710","1007","2"
"0","1","1","1004","難易度NORMAL3で1回戦おう","100711","100711","1007","2"
"10000","1","1","1001","難易度NORMALで10000pt獲得しよう","100712","100712","1007","3"
"20000","1","1","1001","難易度NORMALで20000pt獲得しよう","100713","100713","1007","3"
"30000","1","1","1001","難易度NORMALで30000pt獲得しよう","100714","100714","1007","3"
"0","1","2","1002","難易度HARD1で1回戦おう","100715","100715","1007","4"
"0","1","2","1003","難易度HARD2で1回戦おう","100716","100716","1007","4"
"0","1","2","1004","難易度HARD3で1回戦おう","100717","100717","1007","4"
"15000","1","2","1001","難易度HARDで15000pt獲得しよう","100718","100718","1007","5"
"30000","1","2","1001","難易度HARDで30000pt獲得しよう","100719","100719","1007","5"
"45000","1","2","1001","難易度HARDで45000pt獲得しよう","100720","100720","1007","5"
"0","1","3","1002","難易度EXTRA1で1回戦おう","100721","100721","1007","6"
"0","1","3","1003","難易度EXTRA2で1回戦おう","100722","100722","1007","6"
"0","1","3","1004","難易度EXTRA3で1回戦おう","100723","100723","1007","6"
"20000","1","3","1001","難易度EXTRAで20000pt獲得しよう","100724","100724","1007","7"
"40000","1","3","1001","難易度EXTRAで40000pt獲得しよう","100725","100725","1007","7"
"60000","1","3","1001","難易度EXTRAで60000pt獲得しよう","100726","100726","1007","7"
"10000","1","0","1001","全難易度合計で10000pt獲得しよう","100801","100801","1008","0"
"30000","1","0","1001","全難易度合計で30000pt獲得しよう","100802","100802","1008","0"
"50000","1","0","1001","全難易度合計で50000pt獲得しよう","100803","100803","1008","0"
"70000","1","0","1001","全難易度合計で70000pt獲得しよう","100804","100804","1008","0"
"90000","1","0","1001","全難易度合計で90000pt獲得しよう","100805","100805","1008","1"
"105000","1","0","1001","全難易度合計で105000pt獲得しよう","100806","100806","1008","1"
"120000","1","0","1001","全難易度合計で120000pt獲得しよう","100807","100807","1008","1"
"135000","1","0","1001","全難易度合計で135000pt獲得しよう","100808","100808","1008","1"
"0","1","1","1002","難易度NORMAL1で1回戦おう","100809","100809","1008","2"
"0","1","1","1003","難易度NORMAL2で1回戦おう","100810","100810","1008","2"
"0","1","1","1004","難易度NORMAL3で1回戦おう","100811","100811","1008","2"
"10000","1","1","1001","難易度NORMALで10000pt獲得しよう","100812","100812","1008","3"
"20000","1","1","1001","難易度NORMALで20000pt獲得しよう","100813","100813","1008","3"
"30000","1","1","1001","難易度NORMALで30000pt獲得しよう","100814","100814","1008","3"
"0","1","2","1002","難易度HARD1で1回戦おう","100815","100815","1008","4"
"0","1","2","1003","難易度HARD2で1回戦おう","100816","100816","1008","4"
"0","1","2","1004","難易度HARD3で1回戦おう","100817","100817","1008","4"
"15000","1","2","1001","難易度HARDで15000pt獲得しよう","100818","100818","1008","5"
"30000","1","2","1001","難易度HARDで30000pt獲得しよう","100819","100819","1008","5"
"45000","1","2","1001","難易度HARDで45000pt獲得しよう","100820","100820","1008","5"
"0","1","3","1002","難易度EXTRA1で1回戦おう","100821","100821","1008","6"
"0","1","3","1003","難易度EXTRA2で1回戦おう","100822","100822","1008","6"
"0","1","3","1004","難易度EXTRA3で1回戦おう","100823","100823","1008","6"
"20000","1","3","1001","難易度EXTRAで20000pt獲得しよう","100824","100824","1008","7"
"40000","1","3","1001","難易度EXTRAで40000pt獲得しよう","100825","100825","1008","7"
"60000","1","3","1001","難易度EXTRAで60000pt獲得しよう","100826","100826","1008","7"
"10000","1","0","1001","全難易度合計で10000pt獲得しよう","100901","100901","1009","0"
"30000","1","0","1001","全難易度合計で30000pt獲得しよう","100902","100902","1009","0"
"50000","1","0","1001","全難易度合計で50000pt獲得しよう","100903","100903","1009","0"
"70000","1","0","1001","全難易度合計で70000pt獲得しよう","100904","100904","1009","0"
"90000","1","0","1001","全難易度合計で90000pt獲得しよう","100905","100905","1009","1"
"105000","1","0","1001","全難易度合計で105000pt獲得しよう","100906","100906","1009","1"
"120000","1","0","1001","全難易度合計で120000pt獲得しよう","100907","100907","1009","1"
"135000","1","0","1001","全難易度合計で135000pt獲得しよう","100908","100908","1009","1"
"0","1","1","1002","難易度NORMAL1で1回戦おう","100909","100909","1009","2"
"0","1","1","1003","難易度NORMAL2で1回戦おう","100910","100910","1009","2"
"0","1","1","1004","難易度NORMAL3で1回戦おう","100911","100911","1009","2"
"10000","1","1","1001","難易度NORMALで10000pt獲得しよう","100912","100912","1009","3"
"20000","1","1","1001","難易度NORMALで20000pt獲得しよう","100913","100913","1009","3"
"30000","1","1","1001","難易度NORMALで30000pt獲得しよう","100914","100914","1009","3"
"0","1","2","1002","難易度HARD1で1回戦おう","100915","100915","1009","4"
"0","1","2","1003","難易度HARD2で1回戦おう","100916","100916","1009","4"
"0","1","2","1004","難易度HARD3で1回戦おう","100917","100917","1009","4"
"15000","1","2","1001","難易度HARDで15000pt獲得しよう","100918","100918","1009","5"
"30000","1","2","1001","難易度HARDで30000pt獲得しよう","100919","100919","1009","5"
"45000","1","2","1001","難易度HARDで45000pt獲得しよう","100920","100920","1009","5"
"0","1","3","1002","難易度EXTRA1で1回戦おう","100921","100921","1009","6"
"0","1","3","1003","難易度EXTRA2で1回戦おう","100922","100922","1009","6"
"0","1","3","1004","難易度EXTRA3で1回戦おう","100923","100923","1009","6"
"20000","1","3","1001","難易度EXTRAで20000pt獲得しよう","100924","100924","1009","7"
"40000","1","3","1001","難易度EXTRAで40000pt獲得しよう","100925","100925","1009","7"
"60000","1","3","1001","難易度EXTRAで60000pt獲得しよう","100926","100926","1009","7"
