05237c47f6113a9a9626535de7ef1f554867f04a525c233c5e79596735134405,1e4125e6dd1e24dd812cb8ac89cb2d4c7c33061bd0404e69c929f87a6f68829c,ff67fa7f106c0501689c3222cdcce6686e308e12793909a507903da75dfc0803,6fe24f3c5c23dd0c23247ae7fdf253452fedb3c32a0c490f595baa616b10f82d,3fc71f729f172cb11bffefd91654eec7b2014c81e128a5d77956eb1a4e0727a3,c6a923f2f01d1f9f3a468011536961d2046d69490b6ad9594ad9adba705a8ce2,611ab920f41c6280d4ca7830102906c7b39ae8c56762361534e1e23a6129aab3,36e11d1454264a9a5eb8b7843e5d4923a867688902c0a705d606727ce9b0f2be
"201","227","112","194","5","5","3131","11"
"161","159","-111","111","6","6","3141","11"
"161","159","-111","111","7","7","3151","11"
"166","307","-80","209","8","8","3171","11"
"364","-185","-106","206","1","3","3211","12"
"160","-304","34","277","2","1","3221","12"
"249","-107","45","275","3","2","3231","12"
"167","31","-46","233","4","5","3321","12"
"174","135","-122","130","5","7","3381","12"
"174","135","-122","130","6","8","3391","12"
"244","127","101","223","7","4","3431","12"
"235","254","-24","246","8","6","3441","12"
"167","303","-114","156","9","9","3461","12"
"167","303","-114","156","10","10","3471","12"
"108","338","152","94","11","11","3491","12"
"108","338","152","94","12","12","3501","12"
"210","-286","-48","270","1","3","3531","13"
"92","-310","144","103","2","2","3541","13"
"228","-152","-90","219","3","3","3551","13"
"94","-148","99","103","4","4","3561","13"
"110","-12","-157","71","5","5","3571","13"
"209","-5","-2","274","6","1","3581","13"
"219","141","-72","292","7","6","3691","13"
"88","146","143","104","8","7","3701","13"
"160","299","131","135","9","8","3741","13"
"160","299","131","135","10","9","3751","13"
"179","301","-82","268","11","10","3791","13"
"197","-470","6","286","1","2","3801","14"
"134","-520","-123","89","2","3","3811","14"
"204","-369","103","236","3","1","3821","14"
"176","-283","-74","241","4","5","3861","14"
"156","-151","-83","236","5","6","3891","14"
"219","-174","108","226","6","4","3911","14"
"107","-51","-130","96","7","10","3921","14"
"179","-5","50","251","8","9","3931","14"
"113","100","-106","102","9","11","3941","14"
"242","268","-41","317","10","12","3951","14"
"209","138","79","240","11","7","3961","14"
"209","138","79","240","12","8","3971","14"
"125","441","-125","93","13","14","4021","14"
"219","485","22","279","14","13","4031","14"
