947c64b74bc3c2d5ab5ff7c20b7dbff6e9b03e591a13884b2f9c36b926b62bb9,49532ae1abed5e36db30c5777acad97d22596ac9b17908cdaa88fae044b9cf09,2ec290f95b7d62020d9f4b528f5802db78db4c15b4155579760c143a72e60396,e00cb23af1e602cc77913909f890c21b5a712031cc0bc1c53cf46be68b7e74a6,800819a992b0dd604eb6f5e96d9844135b704ba8d810976f6b16200dfdb57e27,f02e24f46feaaeb8813943e1850c5d487b9f509bdf5666bda3e3b232366ed7cf,283a00bbebfff9b6c7d81b9214539d2690c2252937f8aa8db715b3ff081f5d1d,506355ab49b85f635395326c3ab5fabf444651f1d3df00cc4491f16a66f8a102,15d7deea7c35555aff365acb41b3fce752607c56c02c256f0b062a4748e9744c,cf0b6728e1abaf815118f48355e3d73ba93ecade365cc9de213a8ce975ca72d4,fd2f640bca4b2e80044ba3c9bb935f1af107b4e969386152c9cc0a9d150a438c
"112024","0.5","11","0","1","112","1","0","10","実はこのたび景観向上事業として\nランドソルを囲む壁に\n絵を描いて、街を華やかにするという\n計画を進めることになりまして。","118511"
"112025","","91","","","112","","","","","112024"
"112026","","3","0.2","","112","","","1","wac_215_karin_idle_normal","118511"
"112027","","3","0.2","wac_215_talk_normal","112","1","0.2","0","wac_215_shefy_humu","106431"
"112028","","21","","0","112","","","0","vo_wac_220215_005","vo_wac_220215"
"112029","0.5","11","0","1","112","1","0","10","ランドソルを囲む壁に絵を？\nふぅん、楽しそうね。\nここに描けばいいのかしら？","106431"
"112030","","91","","","112","","","","","112029"
"112031","","3","0.2","","112","","","1","wac_215_idle_normal2_joy","106431"
"112032","","3","0.2","","112","","","1","wac_215_karin_talk_normal","118511"
"112033","","21","","0","112","","","0","vo_wac_220215_006","vo_wac_220215"
"112034","0.5","11","0","1","112","1","0","10","はい。ここから始めて、\nランドソルの壁をぐるっと一周\n絵でいっぱいにしたいんです。","118511"
"112035","","91","","","112","","","","","112034"
"112036","","3","0.2","","112","","","1","wac_215_karin_idle_normal","118511"
"112037","","3","0.2","","112","","","1","wac_215_talk_sad","106431"
"112038","","21","","0","112","","","0","vo_wac_220215_007","vo_wac_220215"
"112039","0.5","11","0","1","112","1","0","10","え？　ランドソルの壁を……\nぐるっと一周？","106431"
"112040","","91","","","112","","","","","112039"
"112041","","3","0.2","","112","","","1","wac_215_idle_sad","106431"
"112042","","3","0.2","","112","","","1","wac_215_karin_talk_wish","118511"
"112043","","21","","0","112","","","0","vo_wac_220215_008","vo_wac_220215"
"112044","0.5","11","0","1","112","1","0","10","はい♪　ランドソル中を\n素敵な絵で飾ることができたら\nとっても魅力的な街になると\n思いませんか？","118511"
"112045","","91","","","112","","","","","112044"
"112046","","3","0.2","","112","","","1","wac_215_karin_idle_normal","118511"
"112047","","3","0.2","","112","","","1","wac_215_coccoro_talk_wish","105911"
"112048","","21","","0","112","","","0","vo_wac_220215_009","vo_wac_220215"
"112049","0.5","11","0","1","112","1","0","10","それは……壮大な計画でございますね。\nカリンさま。","105911"
"112050","","91","","","112","","","","","112049"
"112051","","3","0.2","","112","","","1","wac_215_coccoro_idle_wish","105911"
"112052","","3","0.2","wac_215_peko_talk_guts2_loop","112","1","0","0","wac_215_peko_talk_guts2","105811"
"112053","","21","","0","112","","","0","vo_wac_220215_010","vo_wac_220215"
"112054","0.5","11","0","1","112","1","0","10","わくわくします！　やばいですね☆\nじゃあ、王宮勤めの画家の人に\n絵の描き方を教えてもらいましょう♪","105811"
"112055","","91","","","112","","","","","112054"
"112056","","3","0.2","","112","","","1","wac_215_peko_idle_guts2","105811"
"112057","","4","","","112","","","","0","105811"
"112058","","4","","","112","","","","0","105911"
"112059","","3","0.2","","112","","","1","wac_215_idle_joy1","105811"
"112060","","3","0.2","","112","","","1","wac_215_idle_normal","105911"
"112061","","3","0.2","","112","","","1","wac_215_idle_surprise1","106431"
"112062","","3","0.2","wac_215_talk_anger2","112","1","0.2","1","wac_215_kyaru_anger","106011"
"112063","","21","","0","112","","","0","vo_wac_220215_011","vo_wac_220215"
"112064","0.5","11","0","1","112","1","0","10","待って待って待って！！\n待ちなさいってば！？\nあんたたち、ランドソルの壁一周って\nどんだけの長さがあると思ってんのよ！","106011"
"112065","","91","","","112","","","","","112064"
"112066","","3","0.2","","112","","","1","wac_215_idle_anger2","106011"
"112067","","3","0.2","","112","","","1","wac_215_talk_sad","106011"
"112068","","21","","0","112","","","0","vo_wac_220215_012","vo_wac_220215"
"112069","0.5","11","0","1","112","1","0","10","普通に歩くだけでもうんざりする\nくらいの距離なのよ？\nあたしたちだけじゃいくらなんでも……","106011"
"112070","","91","","","112","","","","","112069"
"112071","","3","0.2","","112","","","1","wac_215_idle_sad","106011"
"112072","","3","0.2","","112","","","1","wac_215_coccoro_talk_wish2","105911"
"112073","","21","","0","112","","","0","vo_wac_220215_013","vo_wac_220215"
"112074","0.5","11","0","1","112","1","0","10","キャルさま、では、他のギルドにも\nご協力いただくのはどうでしょう。\nみなさまと力を合わせれば……","105911"
"112075","","91","","","112","","","","","112074"
"112076","","3","0.2","","112","","","1","wac_215_coccoro_idle_wish2","105911"
"112077","","3","0.2","wac_215_kyaru_talk_doya_loop","112","1","0","0","wac_215_kyaru_talk_doya","106011"
"112078","","21","","0","112","","","0","vo_wac_220215_014","vo_wac_220215"
"112079","0.5","11","0","1","112","1","0","10","超やる気じゃないのコロ助……\nああもう、仕方ないわね。\nカリン、あんたそういうの得意でしょ？\nコールオブなんとかっていうやつ。","106011"
"112080","","91","","","112","","","","","112079"
"112081","","3","0.2","","112","","","1","wac_215_idle_arm_crossed","106011"
"112082","","4","","","112","","","","1","105811"
"112083","","4","","","112","","","","1","105911"
"112084","","3","0.2","","112","","","1","wac_215_idle_normal_joy","105911"
"112085","","3","0.2","","112","","","1","wac_215_idle_normal2_joy","106431"
"112086","","3","0.2","","112","","","1","wac_215_karin_talk_wish","118511"
"112087","","21","","0","112","","","0","vo_wac_220215_015","vo_wac_220215"
"112088","0.5","11","0","1","112","1","0","10","分かりました、\n各ギルドへの依頼書をまとめますね。\nコールオブギルド……！","118511"
"112089","","91","","","112","","","","","112088"
"112090","","3","0.2","","112","","","1","wac_215_karin_idle_normal","118511"
"112091","","3","0.2","","112","","","1","wac_215_karin_talk_normal","118511"
"112092","","21","","0","112","","","0","vo_wac_220215_016","vo_wac_220215"
"112093","0.5","11","0","1","112","1","0","10","では、みなさんが描かれている間に\n他のギルドへ声を掛けていきますね。\n壁を素敵な絵でいっぱいにして\nランドソルのシンボルを作りましょう！","118511"
"112094","","91","","","112","","","","","112093"
"112095","","3","0.2","","112","","","1","wac_215_karin_idle_normal","118511"
"112096","","3","0.2","wac_215_peko_talk_wish_loop","112","1","0.2","0","wac_215_peko_talk_wish","105811"
"112097","","21","","0","112","","","0","vo_wac_220215_017","vo_wac_220215"
"112098","0.5","11","0","1","112","1","0","10","わかりました！\nそれじゃあわたしは、魔物料理の絵を――","105811"
"112099","","91","","","112","","","","","112098"
"112100","","3","0.2","","112","","","1","wac_215_peko_idle_wish","105811"
"112101","","3","0.2","wac_215_talk_arm_crossed_loop","112","1","0.2","0","wac_215_kyaru_talk_anger","106011"
"112102","","21","","0","112","","","0","vo_wac_220215_018","vo_wac_220215"
"112103","0.5","11","0","1","112","1","0","10","気持ち悪そうなもの描こうとすんな！\nま、計画自体はいいんじゃない？\n楽しそうだし……それじゃ、\nいっちょやってやろうじゃないの！","106011"
"112104","","91","","","112","","","","","112103"
"112105","","3","0.2","","112","","","1","wac_215_idle_arm_crossed","106011"
"112106","","3","0.2","wac_215_cmn_eieio_loop","112","1","0","0","wac_215_cmn_eieio","105811"
"112107","","3","0.2","wac_215_cmn_eieio_loop","112","1","0","0","wac_215_cmn_eieio","106431"
"112108","","93","","","112","","","","","0.1"
"112109","","3","0.2","wac_215_cmn_eieio_loop","112","1","0","0","wac_215_cmn_eieio","105911"
"112110","","3","0.2","wac_215_cmn_eieio_loop","112","1","0.2","0","wac_215_cmn_eieio","106011"
"112111","","93","","","112","","","","","0.9"
"112112","","3","0.2","wac_215_karin_idle_normal","112","1","0.2","0","wac_215_handclap","118511"
"112113","","93","","","112","","","","0","2"
"112114","","91","","","112","","","","","0"
"113001","","3","0.2","","113","","","1","wac_215_karin_idle_normal","118511"
"113002","","3","0.2","","113","","","1","wac_215_idle_joy1","105811"
"113003","","93","","","113","","","","","0.1"
"113004","","3","0.2","","113","","","1","wac_215_coccoro_idle_wish","105911"
"113005","","3","0.2","","113","","","1","wac_215_idle_arm_crossed","106011"
"113006","","93","","","113","","","","","0.1"
"113007","","3","0.2","","113","","","1","wac_215_idle_normal2_joy","106431"
"113008","","91","","","113","","","","","0"
"211001","wac_default_11","1","2","-108","211","-212.75","0","202","105811","1"
"211002","wac_default_11","5","2","-108","211","-212.75","0","201","111","1"
"211003","","31","1","0","211","1","","0","1","1"
"211004","","31","0","0","211","1","","0","2","2"
"211005","","31","0","0","211","1","","0","11","11"
"211006","","3","0.2","","211","0","","0","wac_paint_11","105811"
"211007","","3","0.2","","211","0","","0","wac_paint_11","111"
"211008","","93","","","211","","","","0","0.3"
"211009","wac_default_11","32","","","211","","","","1","11"
"211010","","23","","","211","","","0","se_10035700_roller","se_10035700"
"211011","","131","","","211","","","","","1"
"212001","","3","0.2","wac_talk_kyapi_loop","212","1","","0","wac_talk_kyapi_in","105811"
"212002","","3","0.2","","212","","","1","wac_no_items","111"
"212003","","2","","0","212","","","-340","200","105811"
"212004","","2","","0","212","","","-340","200","111"
"212005","","32","","","212","","","","0","1"
"212006","","32","","","212","","","","1","2"
"212007","","32","","","212","","","","0","11"
"212008","","21","","0","212","","","0","vo_wac_220216_000","vo_wac_220216"
"212009","0.5","11","0","1","212","1","0","10","えっへへ～♪　お絵かきお絵かき～！\nこんな大きな絵を描くのなんて\n生まれて初めてかもしれません！","105811"
"212010","","91","","","212","","","","","0"
"212011","","21","","0","212","","","0","vo_wac_220216_001","vo_wac_220216"
"212012","0.5","11","0","1","212","1","0","10","みんなで食卓を囲むのは\nもちろん幸せですけど\nみんなで一つのものを作るって……\nやばいですね☆","105811"
"212013","","91","","","212","","","","","0"
"212014","","22","","","212","","","","0","0"
"213001","","3","0.2","","213","","","1","wac_idle_kyapi","105811"
"213002","","3","0.2","","213","","","1","wac_no_items","111"
"213003","","2","","0","213","","","-340","200","105811"
"213004","","2","","0","213","","","-340","200","111"
"213005","","32","","","213","","","","0","1"
"213006","","32","","","213","","","","1","2"
"213007","","32","","","213","","","","0","11"
"213008","","91","","","213","","","","","0"
"311001","wac_default_01","1","2","-108","311","-212.75","0","202","105911","1"
"311002","wac_default_03","5","2","-108","311","-212.75","0","201","111","1"
"311003","","31","1","0","311","1","","0","1","1"
"311004","","31","0","0","311","1","","0","2","2"
"311005","","31","0","0","311","1","","0","11","11"
"311006","","3","0.2","","311","","","0","wac_paint_01","105911"
"311007","","3","0.2","","311","","","0","wac_paint_03","111"
"311008","wac_default_11","32","","","311","","","","1","11"
"311009","","23","","","311","","","0","se_10035700_brush","se_10035700"
"311010","","131","","","311","","","","","1"
"312001","","3","0.2","wac_talk_wish_loop","312","1","","0","wac_talk_wish_in","105911"
"312002","","3","0.2","","312","","","1","wac_no_items","111"
"312003","","2","","0","312","","","-340","200","105911"
"312004","","2","","0","312","","","-340","200","111"
"312005","","32","","","312","","","","0","1"
"312006","","32","","","312","","","","1","2"
"312007","","32","","","312","","","","0","11"
"312008","","21","","0","312","","","0","vo_wac_220217_000","vo_wac_220217"
"312009","0.5","11","0","1","312","1","0","10","ふぅ……\nお世話するのは得意なつもりですが\n絵心にはあまり自信がありません。\nしかし――","105911"
"312010","","91","","","312","","","","","0"
"312011","","21","","0","312","","","0","vo_wac_220217_001","vo_wac_220217"
"312012","0.5","11","0","1","312","1","0","10","いつかこのランドソルの壁に\n凛々しい主さまのお姿を描きたい……\nわたくし、頑張ります。\n見ていてくださいまし、主さま……♪","105911"
"312013","","91","","","312","","","","","0"
"312014","","22","","","312","","","","0","0"
"313001","","3","0.2","","313","","","1","wac_idle_wish","105911"
"313002","","3","0.2","","313","","","1","wac_no_items","111"
"313003","","2","","0","313","","","-340","200","105911"
"313004","","2","","0","313","","","-340","200","111"
"313005","","32","","","313","","","","0","1"
"313006","","32","","","313","","","","1","2"
"313007","","32","","","313","","","","0","11"
"313008","","91","","","313","","","","","0"
"411001","wac_default_01","1","2","-108","411","-212.75","0","202","106011","1"
"411002","wac_default_02","5","2","-108","411","-212.75","0","201","111","1"
"411003","","31","1","0","411","1","","0","1","1"
"411004","","31","0","0","411","1","","0","2","2"
"411005","","31","0","0","411","1","","0","11","11"
"411006","","3","0.2","","411","","","0","wac_paint_01","106011"
"411007","","3","0.2","","411","","","0","wac_paint_02","111"
"411008","wac_default_11","32","","","411","","","","1","11"
"411009","","23","0.2","","411","0","","0","se_10035700_brush","se_10035700"
"411010","","131","","","411","","","","","1"
"412001","","3","0.2","wac_talk_doya_loop","412","1","","0","wac_talk_doya_in","106011"
"412002","","3","0.2","","412","","","1","wac_no_items","111"
"412003","","2","","0","412","","","-340","200","106011"
"412004","","2","","0","412","","","-340","200","111"
"412005","","32","","","412","","","","0","1"
"412006","","32","","","412","","","","1","2"
"412007","","32","","","412","","","","0","11"
"412008","","21","","0","412","","","0","vo_wac_220218_000","vo_wac_220218"
"412009","0.5","11","0","1","412","1","0","10","ふんふんふーん♪\nよし、いい感じね！\n今日の分、出来上がり！","106011"
"412010","","91","","","412","","","","","0"
"412011","","21","","0","412","","","0","vo_wac_220218_001","vo_wac_220218"
"412012","0.5","11","0","1","412","1","0","10","なんか楽しくなってきちゃったわね。\n……あたしってばもしかして\n絵の才能あるんじゃないかしら♪\nよーし、ばんばんいくわよ！","106011"
"412013","","91","","","412","","","","","0"
"412014","","22","","","412","","","","0","0"
"413001","","3","0.2","","413","","","1","wac_idle_doya","106011"
"413002","","3","0.2","","413","","","1","wac_no_items","111"
"413003","","2","","0","413","","","-340","200","106011"
"413004","","2","","0","413","","","-340","200","111"
"413005","","32","","","413","","","","0","1"
"413006","","32","","","413","","","","1","2"
"413007","","32","","","413","","","","0","11"
"413008","","91","","","413","","","","","0"
"511001","wac_default_11","1","2","-108","511","-212.75","0","202","106431","1"
"511002","wac_default_12","5","2","-108","511","-212.75","0","201","111","1"
"511003","","31","1","0","511","1","","0","1","1"
"511004","","31","0","0","511","1","","0","2","2"
"511005","","31","0","0","511","1","","0","11","11"
"511006","","3","0.2","","511","","","0","wac_paint_11","106431"
"511007","","3","0.2","","511","","","0","wac_paint_12","111"
"511008","","93","","","511","","","","0","0.3"
"511009","wac_default_11","32","","","511","","","","1","11"
"511010","","23","0.2","","511","0","","0","se_10035700_roller","se_10035700"
"511011","","131","","","511","","","","","1"
"512001","","3","0.2","wac_talk_smile_loop","512","1","","0","wac_talk_smile_in","106431"
"512002","","3","0.2","","512","","","1","wac_no_items","111"
"512003","","2","","0","512","","","-340","200","106431"
"512004","","2","","0","512","","","-340","200","111"
"512005","","32","","","512","","","","0","1"
"512006","","32","","","512","","","","1","2"
"512007","","32","","","512","","","","0","11"
"512008","","21","","0","512","","","0","vo_wac_220219_000","vo_wac_220219"
"512009","0.5","11","0","1","512","1","0","10","絵の勉強なんて\nしたことなかったけど……\nめいっぱい手を動かして絵を描くのって\n新鮮で面白いわね。","106431"
"512010","","91","","","512","","","","","0"
"512011","","21","","0","512","","","0","vo_wac_220219_001","vo_wac_220219"
"512012","0.5","11","0","1","512","1","0","10","私たちの描いた絵が\nランドソルの風景の一部になるなんて\nなんだか夢みたいだわ……！","106431"
"512013","","91","","","512","","","","","0"
"512014","","22","","","512","","","","0","0"
"513001","","3","0.2","","513","","","1","wac_idle_smile","106431"
"513002","","3","0.2","","513","","","1","wac_no_items","111"
"513003","","2","","0","513","","","-340","200","106431"
"513004","","2","","0","513","","","-340","200","111"
"513005","","32","","","513","","","","0","1"
"513006","","32","","","513","","","","1","2"
"513007","","32","","","513","","","","0","11"
"513008","","91","","","513","","","","","0"
"611001","wac_default_01","1","2","-108","611","-212.75","0","202","104411","1"
"611002","wac_default_01","5","2","-108","611","-212.75","0","201","111","1"
"611003","","31","1","0","611","1","","0","1","1"
"611004","","31","0","0","611","1","","0","2","2"
"611005","","31","0","0","611","1","","0","11","11"
"611006","","3","0.2","","611","","","0","wac_paint_01","104411"
"611007","","3","0.2","","611","","","0","wac_paint_01","111"
"611008","wac_default_11","32","","","611","","","","1","11"
"611009","","23","0.2","","611","0","","0","se_10035700_brush","se_10035700"
"611010","","131","","","611","","","","","1"
"612001","","3","0.2","wac_talk_doya_loop","612","1","","0","wac_talk_doya_in","104411"
"612002","","3","0.2","","612","","","1","wac_no_items","111"
"612003","","2","","0","612","","","-340","200","104411"
"612004","","2","","0","612","","","-340","200","111"
"612005","","32","","","612","","","","0","1"
"612006","","32","","","612","","","","1","2"
"612007","","32","","","612","","","","0","11"
"612008","","21","","0","612","","","0","vo_wac_220220_000","vo_wac_220220"
"612009","0.5","11","0","1","612","1","0","10","ランドソルにわらわの威光を\n余すことなく描く……\nなかなか粋なことではないか！","104411"
"612010","","91","","","612","","","","","0"
"612011","","21","","0","612","","","0","vo_wac_220220_001","vo_wac_220220"
"612012","0.5","11","0","1","612","1","0","10","ふむ。それにしてもさすがわらわ。\n他の追随を許さぬすばらしい筆さばき。\nこれで世界征服も目前じゃ！\nフッ……フハハハハ、ハーハっハっハ！","104411"
"612013","","91","","","612","","","","","0"
"612014","","22","","","612","","","","0","0"
"613001","","3","0.2","","613","","","1","wac_idle_doya","104411"
"613002","","3","0.2","","613","","","1","wac_no_items","111"
"613003","","2","","0","613","","","-340","200","104411"
"613004","","2","","0","613","","","-340","200","111"
"613005","","32","","","613","","","","0","1"
"613006","","32","","","613","","","","1","2"
"613007","","32","","","613","","","","0","11"
"613008","","91","","","613","","","","","0"
"711001","wac_default_bot_01","1","2","-108","711","-325","0","202","102211","1"
"711002","wac_default_02","5","2","-108","711","-325","0","201","111","1"
"711003","","31","1","0","711","1","","0","3","3"
"711004","","31","0","0","711","1","","0","2","2"
"711005","","31","0","0","711","1","","0","13","13"
"711006","","3","0.2","","711","","","0","wac_paint_bot_01","102211"
"711007","","3","0.2","","711","","","0","wac_paint_02","111"
"711008","wac_default_11","32","","","711","","","","1","13"
"711009","","23","0.2","","711","0","","0","se_10035700_brush","se_10035700"
"711010","","131","","","711","","","","","1"
"712001","","3","0.2","wac_talk_sad_loop","712","1","","0","wac_talk_sad_in","102211"
"712002","","3","0.2","","712","","","1","wac_no_items","111"
"712003","","2","","0","712","","","-340","200","102211"
"712004","","2","","0","712","","","-340","200","111"
"712005","","32","","","712","","","","0","3"
"712006","","32","","","712","","","","1","2"
"712007","","32","","","712","","","","0","13"
"712008","","21","","0","712","","","0","vo_wac_220221_000","vo_wac_220221"
"712009","0.5","11","0","1","712","1","0","10","こ、こんな感じでいいの……？\n突然絵を描いてくれなんて\n無茶言ってくれるわ。","102211"
"712010","","91","","","712","","","","","0"
"712011","","21","","0","712","","","0","vo_wac_220221_001","vo_wac_220221"
"712012","0.5","11","0","1","712","1","0","10","緊張して手が震えちゃったけど……\n我ながらいい出来じゃない。\nアカリはどんなの描いたのかしら？\n見に行ってみましょ。","102211"
"712013","","91","","","712","","","","","0"
"712014","","22","","","712","","","","0","0"
"713001","","3","0.2","","713","","","1","wac_idle_sad","102211"
"713002","","3","0.2","","713","","","1","wac_no_items","111"
"713003","","2","","0","713","","","-340","200","102211"
"713004","","2","","0","713","","","-340","200","111"
"713005","","32","","","713","","","","0","3"
"713006","","32","","","713","","","","1","2"
"713007","","32","","","713","","","","0","13"
"713008","","91","","","713","","","","","0"
"811001","wac_default_bot_11","1","2","-108","811","-325","0","202","100611","1"
"811002","wac_default_12","5","2","-108","811","-325","0","201","111","1"
"811003","","31","1","0","811","1","","0","3","3"
"811004","","31","0","0","811","1","","0","2","2"
"811005","","31","0","0","811","1","","0","13","13"
"811006","","3","0.2","","811","","","0","wac_paint_bot_11","100611"
"811007","","3","0.2","","811","","","0","wac_paint_12","111"
"811008","","93","","","811","","","","0","0.3"
"811009","wac_default_11","32","","","811","","","","1","13"
"811010","","23","0.2","","811","0","","0","se_10035700_roller","se_10035700"
"811011","","131","","","811","","","","","1"
"812001","","3","0.2","wac_talk_smile_loop","812","1","","0","wac_talk_smile_in","100611"
"812002","","3","0.2","","812","","","1","wac_no_items","111"
"812003","","2","","0","812","","","-340","200","100611"
"812004","","2","","0","812","","","-340","200","111"
"812005","","32","","","812","","","","0","3"
"812006","","32","","","812","","","","1","2"
"812007","","32","","","812","","","","0","13"
"812008","","21","","0","812","","","0","vo_wac_220222_000","vo_wac_220222"
"812009","0.5","11","0","1","812","1","0","10","えへへ♪\nアカリ、できちゃいました～♪\nとってもかわいい～♪","100611"
"812010","","91","","","812","","","","","0"
"812011","","21","","0","812","","","0","vo_wac_220222_001","vo_wac_220222"
"812012","0.5","11","0","1","812","1","0","10","でも、もっとハートを散りばめた方が\nよかったかな？　お姉ちゃんの方に\n描き足しちゃったりして――\nあ！　お姉ちゃん♪","100611"
"812013","","91","","","812","","","","","0"
"812014","","22","","","812","","","","0","0"
"813001","","3","0.2","","813","","","1","wac_idle_smile","100611"
"813002","","3","0.2","","813","","","1","wac_no_items","111"
"813003","","2","","0","813","","","-340","200","100611"
"813004","","2","","0","813","","","-340","200","111"
"813005","","32","","","813","","","","0","3"
"813006","","32","","","813","","","","1","2"
"813007","","32","","","813","","","","0","13"
"813008","","91","","","813","","","","","0"
"911001","wac_default_01","1","2","-108","911","-212.75","0","202","103111","1"
"911002","wac_default_03","5","2","-108","911","-212.75","0","201","111","1"
"911003","","31","1","0","911","1","","0","1","1"
"911004","","31","0","0","911","1","","0","2","2"
"911005","","31","0","0","911","1","","0","11","11"
"911006","","3","0.2","","911","","","0","wac_paint_01","103111"
"911007","","3","0.2","","911","","","0","wac_paint_03","111"
"911008","wac_default_11","32","","","911","","","","1","11"
"911009","","23","0.2","","911","0","","0","se_10035700_brush","se_10035700"
"911010","","131","","","911","","","","","1"
"912001","","3","0.2","wac_talk_wish_loop","912","1","","0","wac_talk_wish_in","103111"
"912002","","3","0.2","","912","","","1","wac_no_items","111"
"912003","","2","","0","912","","","-340","200","103111"
"912004","","2","","0","912","","","-340","200","111"
"912005","","32","","","912","","","","0","1"
"912006","","32","","","912","","","","1","2"
"912007","","32","","","912","","","","0","11"
"912008","","21","","0","912","","","0","vo_wac_220223_000","vo_wac_220223"
"912009","0.5","11","0","1","912","1","0","10","ランドソルの壁に絵を描く……\n私にそんなことができるのか\n不安でしたが、\nうまくいって一安心です。","103111"
"912010","","91","","","912","","","","","0"
"912011","","21","","0","912","","","0","vo_wac_220223_001","vo_wac_220223"
"912012","0.5","11","0","1","912","1","0","10","これを他の人が見ると思うと、\n少し恥ずかしい気もしますが……\n楽しい気持ちになってもらえたら\nうれしいですね。","103111"
"912013","","91","","","912","","","","","0"
"912014","","22","","","912","","","","0","0"
"913001","","3","0.2","","913","","","1","wac_idle_wish","103111"
"913002","","3","0.2","","913","","","1","wac_no_items","111"
"913003","","2","","0","913","","","-340","200","103111"
"913004","","2","","0","913","","","-340","200","111"
"913005","","32","","","913","","","","0","1"
"913006","","32","","","913","","","","1","2"
"913007","","32","","","913","","","","0","11"
"913008","","91","","","913","","","","","0"
"1011001","wac_default_01","1","2","-108","1011","-212.75","0","202","100711","1"
"1011002","wac_default_01","5","2","-108","1011","-212.75","0","201","111","1"
"1011003","","31","1","0","1011","1","","0","1","1"
"1011004","","31","0","0","1011","1","","0","2","2"
"1011005","","31","0","0","1011","1","","0","11","11"
"1011006","","3","0.2","","1011","","","0","wac_paint_01","100711"
"1011007","","3","0.2","","1011","","","0","wac_paint_01","111"
"1011008","wac_default_11","32","","","1011","","","","1","11"
"1011009","","23","0.2","","1011","0","","0","se_10035700_brush","se_10035700"
"1011010","","131","","","1011","","","","","1"
"1012001","","3","0.2","wac_talk_smile_loop","1012","1","","0","wac_talk_smile_in","100711"
"1012002","","3","0.2","","1012","","","1","wac_no_items","111"
"1012003","","2","","0","1012","","","-340","200","100711"
"1012004","","2","","0","1012","","","-340","200","111"
"1012005","","32","","","1012","","","","0","1"
"1012006","","32","","","1012","","","","1","2"
"1012007","","32","","","1012","","","","0","11"
"1012008","","21","","0","1012","","","0","vo_wac_220224_000","vo_wac_220224"
"1012009","0.5","11","0","1","1012","1","0","10","プリンなの、ここにもプリンなの、\nあっちにもそっちにもプリンなの\nなんて、ウソなの。\nちゃんと習った通りに描くの。","100711"
"1012010","","91","","","1012","","","","","0"
"1012011","","21","","0","1012","","","0","vo_wac_220224_001","vo_wac_220224"
