7537a788b69f3e65a36da196089e90efc0a1642c2a4b23aa490491c0db169cd4,a97c18174d05a2110243a73e90445cf00823ee71f86310b1906914327764c620,ba7a1f01887c2eaee273d9e0e1faf4dcc48f8f63c43d8ed4f77227815c18b7a4,9fe2aefabca64370d14797683f4e88472a71822ecba9c93cda95e5c4e6890bc1,7e424f3ac2a95e47261bc9437ce50fa0ddab5f49e468b1bc86c51f9100ca60a1,73d4bfa23897f1ac8859be7f1d460a91a4d31297a39caed270fc44cff913f176,8108c132c85281b04501776d8cd41fe93b8bf7c43be20767ac99d2c1882545cd,d4f7a95b361af48f8efbf11aa318a886aaf13914d438dc7a632e56a4e3666a8a,f2516964c13bbdbcac2ff2b14576916179018c8e19cfcbc5c2024ba061f0c86c,a6d4dc7bfe68a03293b7491d04c2196faa3d3e971a3a051b49526f577f9eb0ab,cd799f42c5b7ec33dbe66ba770308a47f0d9b98fd40e63038ed66a9b5d90ffc9
"1.05","93","","","","","1033501","1033501033","","",""
"se_common","23","","","0","","1033501","1033501034","","0","se_sys_login_birthday_cracker"
"6","31","","","0","1","1033501","1033501035","1","0","6"
"103311","3","","","0","0","1033501","1033501036","1","blb_wish_02","blb_joy_02"
"2","93","","","","","1033501","1033501037","","",""
"vo_adv_1033501","21","","","0","","1033501","1033501038","","0","vo_adv_1033501_000"
"103311","13","","","","","1033501","1033501039","","","870"
"103311","11","0","","6","0","1033501","1033501040","1","1","急に牛乳と卵が欲しいっつうから\n何かと思ったけんど、まさか\nオラのためにこんな立派なケーキ\n用意してくれてただなんてな！"
"0","91","","","","","1033501","1033501041","","",""
"vo_adv_1033501","21","","","0","","1033501","1033501042","","0","vo_adv_1033501_001"
"103311","11","0","","5","0","1033501","1033501043","1","1","オラの食材とあんちゃんの腕……\nこれは二人の共同作業ってことに……\nな、なんでもねぇ！\n気にしねぇでけろ！"
"0","91","","","","","1033501","1033501044","","",""
"vo_adv_1033501","21","","","0","","1033501","1033501045","","0","vo_adv_1033501_002"
"103311","11","0","","6","0","1033501","1033501046","1","1","それにしても食べるのが\nもったいねぇいいケーキだなぁ……\nでも食べなきゃ食べねぇで\nもったいねぇよなぁ……"
"0","91","","","","","1033501","1033501047","","",""
"vo_adv_1033501","21","","","0","","1033501","1033501048","","0","vo_adv_1033501_003"
"103311","11","0","","6","0","1033501","1033501049","1","1","うーん……\nオラ一人で食べるのも申し訳ねぇし\nエリザベスパークのみんなで\n食べるべか！"
"0","91","","","","","1033501","1033501050","","",""
"vo_adv_1033501","21","","","0","","1033501","1033501051","","0","vo_adv_1033501_004"
"103311","11","0","","6","0","1033501","1033501052","1","1","みんなで過ごすのがオラにとって\n最高の誕生日だべ！\nあんがとな、あんちゃん！"
"0","91","","","","","1033501","1033501053","","",""
"9","31","","","0","1","1033501","1033501054","1","0","9"
"0","131","","","","","1033501","1033501055","","",""
"0","22","","","0","","1033501","1033501056","","0","1"
"","111","","","","","1033501","1033501057","","",""
"0","91","","","","","1033501","1033501058","","",""
"1","1","1","cmn_talk_def_N","850","1.5","1034501","1034501001","-220","400","103411"
"8","31","","","0","1","1034501","1034501002","1","0","8"
"7","31","","","0","1","1034501","1034501003","1","0","7"
"85","31","","","0","1","1034501","1034501004","1","0","85"
"3","31","","","0","1","1034501","1034501005","1","0","3"
"2","31","","","0","1","1034501","1034501006","1","0","2"
"1","31","","","0","1","1034501","1034501007","1","0","1"
"12","31","","","0","0","1034501","1034501008","1","0","12"
"103411","3","","","1","0.3","1034501","1034501009","","","blb_run_01"
"103411","2","","","-220","","1034501","1034501010","0","1.3","90"
"bgm_M321","25","","","0","","1034501","1034501011","","0","bgm_M321_2C"
"0","121","","","1.25","0","1034501","1034501012","0","1.25","0"
"12","32","","","0","1","1034501","1034501013","1","0","1"
"se_common","23","","","0","","1034501","1034501014","","0","se_sys_login_birthday_new_01"
"1.3","93","","","","","1034501","1034501015","","",""
"103411","3","0.3","","0","0.05","1034501","1034501016","0","blb_idle","blb_stop"
"103411","2","","","-220","","1034501","1034501017","0","0.25","80"
"1.4","93","","","","","1034501","1034501018","","",""
"0","121","","","1.4","3","1034501","1034501019","1","1.4","0"
"1","131","","","","","1034501","1034501020","","",""
"103411","3","0.3","","0","0.3","1034501","1034501021","1","blb_idle_02","blb_blowout_03"
"0.7","93","","","","","1034501","1034501022","","",""
"12","32","","","0","1","1034501","1034501023","1","0","0"
"13","31","","","0","1","1034501","1034501024","1","0","13"
"0.2","93","","","","","1034501","1034501025","","",""
"se_common","23","","","0","","1034501","1034501026","","0","se_sys_login_birthday_blow_candle"
"1.2","93","","","","","1034501","1034501027","","",""
"se_adv_tickle_02","23","","","0","","1034501","1034501028","","0","se_adv_tickle_02"
"4","31","","","0","1","1034501","1034501029","1","0","4"
"1","93","","","","","1034501","1034501030","","",""
"se_common","23","","","0","","1034501","1034501031","","0","se_sys_login_birthday_02"
"103411","3","","","1","0.3","1034501","1034501032","0","","blb_idle_02"
"1.05","93","","","","","1034501","1034501033","","",""
"se_common","23","","","0","","1034501","1034501034","","0","se_sys_login_birthday_cracker"
"6","31","","","0","1","1034501","1034501035","1","0","6"
"103411","3","","","0","0","1034501","1034501036","1","blb_wish_04","blb_joy_04"
"2","93","","","","","1034501","1034501037","","",""
"vo_adv_1034501","21","","","0","","1034501","1034501038","","0","vo_adv_1034501_000"
"103411","13","","","","","1034501","1034501039","","","870"
"103411","11","0","","4","0","1034501","1034501040","1","1","わあ……素敵なケーキね！\nえ？　キミが作ったの？\nすごいじゃない！"
"0","91","","","","","1034501","1034501041","","",""
"vo_adv_1034501","21","","","0","","1034501","1034501042","","0","vo_adv_1034501_001"
"103411","11","0","","6","0","1034501","1034501043","1","1","麦しゅわに合わないかも……って、\nそんな気を使わなくていいわよ。\nだって、今日は飲むつもりはないもの。"
"0","91","","","","","1034501","1034501044","","",""
"vo_adv_1034501","21","","","0","","1034501","1034501045","","0","vo_adv_1034501_002"
"103411","11","0","","5","0","1034501","1034501046","1","1","なんでって、それは……\nキミがお祝いに来てくれるかも、\nなんて思ってたから……"
"0","91","","","","","1034501","1034501047","","",""
"vo_adv_1034501","21","","","0","","1034501","1034501048","","0","vo_adv_1034501_003"
"103411","11","0","","5","0","1034501","1034501049","1","1","だから、今日は麦しゅわは封印よ。\n麦しゅわもありの大人な誕生日は、\nキミが大人になってから……ね？"
"0","91","","","","","1034501","1034501050","","",""
"9","31","","","0","1","1034501","1034501051","1","0","9"
"0","131","","","","","1034501","1034501052","","",""
"0","22","","","0","","1034501","1034501053","","0","1"
"","111","","","","","1034501","1034501054","","",""
"0","91","","","","","1034501","1034501055","","",""
"1","1","1","cmn_talk_def_N","850","1.5","1046501","1046501001","-220","400","104611"
"8","31","","","0","1","1046501","1046501002","1","0","8"
"7","31","","","0","1","1046501","1046501003","1","0","7"
"79","31","","","0","1","1046501","1046501004","1","0","79"
"3","31","","","0","1","1046501","1046501005","1","0","3"
"2","31","","","0","1","1046501","1046501006","1","0","2"
"1","31","","","0","1","1046501","1046501007","1","0","1"
"12","31","","","0","0","1046501","1046501008","1","0","12"
"104611","3","","","1","0.3","1046501","1046501009","","","blb_run_01"
"104611","2","","","-220","","1046501","1046501010","0","1.3","90"
"bgm_M321","25","","","0","","1046501","1046501011","","0","bgm_M321_2C"
"0","121","","","1.25","0","1046501","1046501012","0","1.25","0"
"12","32","","","0","1","1046501","1046501013","1","0","1"
"se_common","23","","","0","","1046501","1046501014","","0","se_sys_login_birthday_new_01"
"1.3","93","","","","","1046501","1046501015","","",""
"104611","3","0.3","","0","0.05","1046501","1046501016","0","blb_idle","blb_stop"
"104611","2","","","-220","","1046501","1046501017","0","0.25","80"
"1.4","93","","","","","1046501","1046501018","","",""
"0","121","","","1.4","3","1046501","1046501019","1","1.4","0"
"1","131","","","","","1046501","1046501020","","",""
"104611","3","0.3","","0","0.3","1046501","1046501021","1","blb_idle","blb_blowout_02"
"0.7","93","","","","","1046501","1046501022","","",""
"12","32","","","0","1","1046501","1046501023","1","0","0"
"13","31","","","0","1","1046501","1046501024","1","0","13"
"0.2","93","","","","","1046501","1046501025","","",""
"se_common","23","","","0","","1046501","1046501026","","0","se_sys_login_birthday_blow_candle"
"1.2","93","","","","","1046501","1046501027","","",""
"se_adv_tickle_02","23","","","0","","1046501","1046501028","","0","se_adv_tickle_02"
"4","31","","","0","1","1046501","1046501029","1","0","4"
"1","93","","","","","1046501","1046501030","","",""
"se_common","23","","","0","","1046501","1046501031","","0","se_sys_login_birthday_02"
"104611","3","","","1","0.3","1046501","1046501032","0","","blb_idle"
"1.05","93","","","","","1046501","1046501033","","",""
"se_common","23","","","0","","1046501","1046501034","","0","se_sys_login_birthday_cracker"
"6","31","","","0","1","1046501","1046501035","1","0","6"
"104611","3","","","0","0","1046501","1046501036","1","blb_wish_02","blb_joy_02"
"2","93","","","","","1046501","1046501037","","",""
"vo_adv_1046501","21","","","0","","1046501","1046501038","","0","vo_adv_1046501_000"
"104611","13","","","","","1046501","1046501039","","","870"
"104611","11","0","","6","0","1046501","1046501040","1","1","にゃはは～！\n誕生日のお祝いしてくれて\nどうもありがとにゃ！"
"0","91","","","","","1046501","1046501041","","",""
"vo_adv_1046501","21","","","0","","1046501","1046501042","","0","vo_adv_1046501_001"
"104611","11","0","","6","0","1046501","1046501043","1","1","たい焼きの他にケーキまで\n作れるにゃんて……\nキミって意外と料理上手にゃ？"
"0","91","","","","","1046501","1046501044","","",""
"vo_adv_1046501","21","","","0","","1046501","1046501045","","0","vo_adv_1046501_002"
"104611","11","0","","6","0","1046501","1046501046","1","1","にゃにゃ……？\nキミのケーキを見てたら\n新しいたい焼きのアイデアが\nどんどん湧いてきたにゃ！"
"0","91","","","","","1046501","1046501047","","",""
"vo_adv_1046501","21","","","0","","1046501","1046501048","","0","vo_adv_1046501_003"
"104611","11","0","","6","0","1046501","1046501049","1","1","にゃっふっふ……\nそれじゃ今度、絶品のたい焼きを\nキミにごちそうしてあげるにゃ！\n楽しみに待ってるといいにゃ♪"
"0","91","","","","","1046501","1046501050","","",""
"9","31","","","0","1","1046501","1046501051","1","0","9"
"0","131","","","","","1046501","1046501052","","",""
"0","22","","","0","","1046501","1046501053","","0","1"
"","111","","","","","1046501","1046501054","","",""
"0","91","","","","","1046501","1046501055","","",""
"1","1","1","cmn_talk_def_N","850","1.5","1051501","1051501001","-220","400","105111"
"8","31","","","0","1","1051501","1051501002","1","0","8"
"7","31","","","0","1","1051501","1051501003","1","0","7"
"81","31","","","0","1","1051501","1051501004","1","0","81"
"3","31","","","0","1","1051501","1051501005","1","0","3"
"2","31","","","0","1","1051501","1051501006","1","0","2"
"1","31","","","0","1","1051501","1051501007","1","0","1"
"12","31","","","0","0","1051501","1051501008","1","0","12"
"105111","3","","","1","0.3","1051501","1051501009","","","blb_run_01"
"105111","2","","","-220","","1051501","1051501010","0","1.3","90"
"bgm_M321","25","","","","","1051501","1051501011","","","bgm_M321_2C"
"0","121","","","1.25","0","1051501","1051501012","0","1.25","0"
"12","32","","","","","1051501","1051501013","","","1"
"se_common","23","","","0","","1051501","1051501014","","","se_sys_login_birthday_new_01"
"1.3","93","","","","","1051501","1051501015","","",""
"105111","3","0.3","","0","0.05","1051501","1051501016","0","blb_idle","blb_stop"
"105111","2","","","-220","","1051501","1051501017","0","0.25","80"
"1.4","93","","","","","1051501","1051501018","","",""
"0","121","","","1.4","3","1051501","1051501019","1","1.4","0"
"1","131","","","","","1051501","1051501020","","",""
"105111","3","0.3","","0","0.3","1051501","1051501021","1","blb_idle_02","blb_blowout_03"
"0.7","93","","","","","1051501","1051501022","","",""
"12","32","","","","","1051501","1051501023","","","0"
"13","31","","","0","1","1051501","1051501024","1","0","13"
"0.2","93","","","","","1051501","1051501025","","",""
"se_common","23","","","0","","1051501","1051501026","","0","se_sys_login_birthday_blow_candle"
"1.2","93","","","","","1051501","1051501027","","",""
"se_adv_tickle_02","23","","","0","","1051501","1051501028","","0","se_adv_tickle_02"
"4","31","","","0","1","1051501","1051501029","1","0","4"
"1","93","","","","","1051501","1051501030","","",""
"se_common","23","","","0","","1051501","1051501031","","0","se_sys_login_birthday_02"
"105111","3","","","1","0.3","1051501","1051501032","0","","blb_idle_02"
"1.05","93","","","","","1051501","1051501033","","",""
"se_common","23","","","0","","1051501","1051501034","","0","se_sys_login_birthday_cracker"
"6","31","","","0","1","1051501","1051501035","1","0","6"
"105111","3","","","0","0","1051501","1051501036","1","blb_wish_04","blb_joy_04"
"2","93","","","","","1051501","1051501037","","",""
"vo_adv_1051501","21","","","0","","1051501","1051501038","","0","vo_adv_1051501_000"
"105111","13","","","","","1051501","1051501039","","","870"
"105111","11","0","","7","0","1051501","1051501040","1","1","誕生日を祝ってくれてありがとう。\nいくつになってもお祝いして\nもらえるのはうれしいものね。"
"0","91","","","","","1051501","1051501041","","",""
"vo_adv_1051501","21","","","0","","1051501","1051501042","","0","vo_adv_1051501_001"
"105111","11","0","","4","0","1051501","1051501043","1","1","え、このケーキ君の手作りなの？\nなによ至れり尽くせりじゃない。"
"0","91","","","","","1051501","1051501044","","",""
"vo_adv_1051501","21","","","0","","1051501","1051501045","","0","vo_adv_1051501_002"
"105111","11","0","","6","0","1051501","1051501046","1","1","ここまでしてもらったら大人しく\n祝ってもらうしかないわね。\nいくら私でも時と場合は\nちゃんとわきまえるわよ。"
"0","91","","","","","1051501","1051501047","","",""
"vo_adv_1051501","21","","","0","","1051501","1051501048","","0","vo_adv_1051501_003"
"105111","11","0","","6","0","1051501","1051501049","1","1","でも、もらってばかりなのは\n性に合わないから、今度お返しに\n体が丈夫になる薬でも\nプレゼントするわ。"
"0","91","","","","","1051501","1051501050","","",""
"vo_adv_1051501","21","","","0","","1051501","1051501051","","0","vo_adv_1051501_004"
"105111","11","0","","6","0","1051501","1051501052","1","1","君には健康でいてもらって\nまた誕生日を祝ってもらいたいもの。\nまあ、薬が効きすぎて\n変なことになってもご愛敬ね。"
"0","91","","","","","1051501","1051501053","","",""
"9","31","","","0","1","1051501","1051501054","1","0","9"
"0","131","","","","","1051501","1051501055","","",""
"0","22","","","0","","1051501","1051501056","","0","1"
"","111","","","","","1051501","1051501057","","",""
"0","91","","","","","1051501","1051501058","","",""
"1","1","1","cmn_talk_def_N","850","1.5","1052501","1052501001","-220","400","105211"
"8","31","","","0","1","1052501","1052501002","1","0","8"
"7","31","","","0","1","1052501","1052501003","1","0","7"
"84","31","","","0","1","1052501","1052501004","1","0","84"
"3","31","","","0","1","1052501","1052501005","1","0","3"
"2","31","","","0","1","1052501","1052501006","1","0","2"
"1","31","","","0","1","1052501","1052501007","1","0","1"
"12","31","","","0","0","1052501","1052501008","1","0","12"
"105211","3","","","1","0.3","1052501","1052501009","","","blb_run_01"
"105211","2","","","-220","","1052501","1052501010","0","1.3","90"
"bgm_M321","25","","","0","","1052501","1052501011","","0","bgm_M321_2C"
"0","121","","","1.25","0","1052501","1052501012","0","1.25","0"
"12","32","","","0","1","1052501","1052501013","1","0","1"
"se_common","23","","","0","","1052501","1052501014","","0","se_sys_login_birthday_new_01"
"1.3","93","","","","","1052501","1052501015","","",""
"105211","3","0.3","","0","0.05","1052501","1052501016","0","blb_idle","blb_stop"
"105211","2","","","-220","","1052501","1052501017","0","0.25","80"
"1.4","93","","","","","1052501","1052501018","","",""
"0","121","","","1.4","3","1052501","1052501019","1","1.4","0"
"1","131","","","","","1052501","1052501020","","",""
"105211","3","0.3","","0","0.3","1052501","1052501021","1","blb_idle","blb_blowout_02"
"0.7","93","","","","","1052501","1052501022","","",""
"12","32","","","0","1","1052501","1052501023","1","0","0"
"13","31","","","0","1","1052501","1052501024","1","0","13"
"0.2","93","","","","","1052501","1052501025","","",""
"se_common","23","","","0","","1052501","1052501026","","0","se_sys_login_birthday_blow_candle"
"1.2","93","","","","","1052501","1052501027","","",""
"se_adv_tickle_02","23","","","0","","1052501","1052501028","","0","se_adv_tickle_02"
"4","31","","","0","1","1052501","1052501029","1","0","4"
"1","93","","","","","1052501","1052501030","","",""
"se_common","23","","","0","","1052501","1052501031","","0","se_sys_login_birthday_02"
"105211","3","","","1","0.3","1052501","1052501032","0","","blb_idle"
"1.05","93","","","","","1052501","1052501033","","",""
"se_common","23","","","0","","1052501","1052501034","","0","se_sys_login_birthday_cracker"
"6","31","","","0","1","1052501","1052501035","1","0","6"
"105211","3","","","0","0","1052501","1052501036","1","blb_wish_03","blb_joy_03"
"2","93","","","","","1052501","1052501037","","",""
"vo_adv_1052501","21","","","0","","1052501","1052501038","","0","vo_adv_1052501_000"
"105211","13","","","","","1052501","1052501039","","","870"
"105211","11","0","","6","0","1052501","1052501040","1","1","素敵なケーキをありがとう！\nまさかこんな盛大に\nお祝いしてもらえるなんて\n思わなかったわ！"
"0","91","","","","","1052501","1052501041","","",""
"vo_adv_1052501","21","","","0","","1052501","1052501042","","0","vo_adv_1052501_001"
"105211","11","0","","6","0","1052501","1052501043","1","1","おめでとうって言ってもらえるだけでも\nうれしいのに、手作りのケーキまで……\n私、あなたにいろんなものを\nもらってばっかりね。"
"0","91","","","","","1052501","1052501044","","",""
"vo_adv_1052501","21","","","0","","1052501","1052501045","","0","vo_adv_1052501_002"
"105211","11","0","","5","0","1052501","1052501046","1","1","少しでもお返ししたいけど……\nあなたは何かしてほしいことはある？\nえ？　私の誕生日だから私が\n喜んでくれたらうれしい……？"
"0","91","","","","","1052501","1052501047","","",""
"vo_adv_1052501","21","","","0","","1052501","1052501048","","0","vo_adv_1052501_003"
"105211","11","0","","5","0","1052501","1052501049","1","1","私、もう十分に喜んでるわ！\nでも、あなたのそんな言葉を聞いたら\nもう少しわがままを\n言いたくなっちゃうわ。"
"0","91","","","","","1052501","1052501050","","",""
"vo_adv_1052501","21","","","0","","1052501","1052501051","","0","vo_adv_1052501_004"
"105211","11","0","","4","0","1052501","1052501052","1","1","ケーキをあーんしてもらってもいい？\n一口だけ、一口だけでいいから！\nいいの？　ありがとう！\n最高の誕生日だわ！"
"0","91","","","","","1052501","1052501053","","",""
"9","31","","","0","1","1052501","1052501054","1","0","9"
"0","131","","","","","1052501","1052501055","","",""
"0","22","","","0","","1052501","1052501056","","0","1"
"","111","","","","","1052501","1052501057","","",""
"0","91","","","","","1052501","1052501058","","",""
"1","1","1","cmn_talk_def_N","850","1.5","1057501","1057501001","-220","400","105711"
"8","31","","","0","1","1057501","1057501002","1","0","8"
"7","31","","","0","1","1057501","1057501003","1","0","7"
"82","31","","","0","1","1057501","1057501004","1","0","82"
"3","31","","","0","1","1057501","1057501005","1","0","3"
"2","31","","","0","1","1057501","1057501006","1","0","2"
"1","31","","","0","1","1057501","1057501007","1","0","1"
"12","31","","","0","0","1057501","1057501008","1","0","12"
"105711","3","","","1","0.3","1057501","1057501009","","","blb_run_01"
"105711","2","","","-220","","1057501","1057501010","0","1.3","90"
"bgm_M321","25","","","0","","1057501","1057501011","","0","bgm_M321_2C"
"0","121","","","1.25","0","1057501","1057501012","0","1.25","0"
"12","32","","","0","1","1057501","1057501013","1","0","1"
"se_common","23","","","0","","1057501","1057501014","","0","se_sys_login_birthday_new_01"
"1.3","93","","","","","1057501","1057501015","","",""
"105711","3","0.3","","0","0.05","1057501","1057501016","0","blb_idle","blb_stop"
"105711","2","","","-220","","1057501","1057501017","0","0.25","80"
"1.4","93","","","","","1057501","1057501018","","",""
"0","121","","","1.4","3","1057501","1057501019","1","1.4","0"
"1","131","","","","","1057501","1057501020","","",""
"105711","3","0.3","","0","0.3","1057501","1057501021","1","blb_idle","blb_blowout_01"
"0.7","93","","","","","1057501","1057501022","","",""
"12","32","","","0","1","1057501","1057501023","1","0","0"
"13","31","","","0","1","1057501","1057501024","1","0","13"
"0.2","93","","","","","1057501","1057501025","","",""
"se_common","23","","","0","","1057501","1057501026","","0","se_sys_login_birthday_blow_candle"
"1.2","93","","","","","1057501","1057501027","","",""
"se_adv_tickle_02","23","","","0","","1057501","1057501028","","0","se_adv_tickle_02"
"4","31","","","0","1","1057501","1057501029","1","0","4"
"1","93","","","","","1057501","1057501030","","",""
"se_common","23","","","0","","1057501","1057501031","","0","se_sys_login_birthday_02"
"105711","3","","","1","0.3","1057501","1057501032","0","","blb_idle"
"1.05","93","","","","","1057501","1057501033","","",""
"se_common","23","","","0","","1057501","1057501034","","0","se_sys_login_birthday_cracker"
"6","31","","","0","1","1057501","1057501035","1","0","6"
"105711","3","","","0","0","1057501","1057501036","1","blb_wish_01","blb_joy_01"
"2","93","","","","","1057501","1057501037","","",""
"vo_adv_1057501","21","","","0","","1057501","1057501038","","0","vo_adv_1057501_000"
"105711","13","","","","","1057501","1057501039","","","870"
"105711","11","0","","6","0","1057501","1057501040","1","1","お祝いしてくれてありがとう！\n私の誕生日、覚えててくれたんだね。\nすごくうれしいな。"
"0","91","","","","","1057501","1057501041","","",""
"vo_adv_1057501","21","","","0","","1057501","1057501042","","0","vo_adv_1057501_001"
"105711","11","0","","5","0","1057501","1057501043","1","1","このケーキ、すごく美味しそうだね。\n有名なお店のケーキなのかな？\nえ？　あなたが自分で作ってくれたの？\nすごーい！"
