43c9db901eb21c31ab3fc0d19aa41db006168f119e378cd4ce8617f86ed61a6d,50797a81af18c6117736ec73494ec69f485ede9d926c9e132cb911edd619c4a3,6c8915f91534cd88ba737e4affb5407969c0033690af7439743777894d4d7365,74f98bb2a53ea124ce19a3095936e2c1718685e7ea75628a34cae758c45c6f5e,ffe29dc2eb025f67aa9001d82154b26635f192449ea326b048b9528eb0d852d6,ed76e63960e066dc98cdc5624f83b5124537f1d9b14fa9cd805919cf99d4ba5e,a2603cf6e4fa5d67fb10f13cf84cbe4655fc67297b2ae3433f4b982869bb31ca,751154286a36237a310786123c4c3eeefeabc982e005c341569c28a9f7b8eeeb,033020aa474f111d8d9163218b25596841c0f28c5671de80422cd92373ae26e5,b07758868f6f426d0d8c092e72be161aa832d48688495b8b21bf35aed152fb53,241b3baa696157c5a0b73dde189677001b1e9bd3b340daeca1d14e50098e6d24,60b8eb01077e2edfc24bd2c25c41775cb3359d8b569dc926c1a85a75b4e58554
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki02_002","2","0","10","0","2","1020010"
"0.454","4","70","0","0","0","1","0","11","0","2","1020011"
"0","0","0","0","0","0","4","1","12","0.874","2","1020012"
"2.154","4","392","0","70","0","1","0","13","0","2","1020013"
"0","0","0","0","0","0","4","1","14","3.373","2","1020014"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki02_003","2","0","15","0","2","1020015"
"0.895","5","125","0","0","0","1","0","16","0","2","1020016"
"0","0","0","0","0","0","4","1","17","1.311","2","1020017"
"1.114","5","265","0","125","0","1","0","18","0","2","1020018"
"0","0","0","0","0","0","4","1","19","1.181","2","1020019"
"0.497","5","340","0","265","0","1","0","20","0","2","1020020"
"0","0","0","0","0","0","4","1","21","0.497","2","1020021"
"1.37","6","189","0","0","0","1","0","22","0","2","1020022"
"0","0","0","0","0","0","4","1","23","2.407","2","1020023"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki02_004","2","0","24","0","2","1020024"
"1.616","7","195","0","0","0","1","0","25","0","2","1020025"
"0","0","0","0","0","0","4","1","26","2.035","2","1020026"
"0.951","7","295","0","195","0","1","0","27","0","2","1020027"
"0","0","0","0","0","0","4","1","28","1.322","2","1020028"
"1.924","8","258","0","0","0","1","0","29","0","2","1020029"
"0","0","0","0","0","0","4","1","30","2.98","2","1020030"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki02_005","2","0","31","0","2","1020031"
"0.93","9","114","0","0","0","1","0","32","0","2","1020032"
"0","0","0","0","0","0","4","1","33","1.24","2","1020033"
"0.879","9","257","0","114","0","1","0","34","0","2","1020034"
"0","0","0","0","0","0","4","1","35","1.877","2","1020035"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki02_006","2","0","36","0","2","1020036"
"1.148","10","144","0","0","0","1","0","37","0","2","1020037"
"0","0","0","0","0","0","4","1","38","1.541","2","1020038"
"1.145","10","307","0","144","0","1","0","39","0","2","1020039"
"0","0","0","0","0","0","4","1","40","2.645","2","1020040"
"0","0","0","0","0","0","4","3","1","1","3","1030001"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki03_000","2","0","2","0","3","1030002"
"2.61","1","332","0","0","0","1","0","3","0","3","1030003"
"0","0","0","0","0","0","4","1","4","3.007","3","1030004"
"1.47","2","233","0","0","0","1","0","5","0","3","1030005"
"0","0","0","0","0","0","4","1","6","2.171","3","1030006"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki03_001","2","0","7","0","3","1030007"
"2.1","3","322","0","0","0","1","0","8","0","3","1030008"
"0","0","0","0","0","0","4","1","9","2.579","3","1030009"
"2.298","4","349","0","0","0","1","0","10","0","3","1030010"
"0","0","0","0","0","0","4","1","11","3.18","3","1030011"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki03_002","2","0","12","0","3","1030012"
"1.262","5","173","0","0","0","1","0","13","0","3","1030013"
"0","0","0","0","0","0","4","1","14","1.993","3","1030014"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki03_003","2","0","15","0","3","1030015"
"0.373","5","243","0","173","0","1","0","16","0","3","1030016"
"0","0","0","0","0","0","4","1","17","0.69","3","1030017"
"1.045","5","362","0","243","0","1","0","18","0","3","1030018"
"0","0","0","0","0","0","4","1","19","2.131","3","1030019"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki03_004","2","0","20","0","3","1030020"
"2.147","6","289","0","0","0","1","0","21","0","3","1030021"
"0","0","0","0","0","0","4","1","22","2.618","3","1030022"
"1.445","7","202","0","0","0","1","0","23","0","3","1030023"
"0","0","0","0","0","0","4","1","24","2.552","3","1030024"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki03_005","2","0","25","0","3","1030025"
"0.876","8","123","0","0","0","1","0","26","0","3","1030026"
"0","0","0","0","0","0","4","1","27","1.252","3","1030027"
"1.306","8","324","0","123","0","1","0","28","0","3","1030028"
"0","0","0","0","0","0","4","1","29","1.507","3","1030029"
"1.319","9","186","0","0","0","1","0","30","0","3","1030030"
"0","0","0","0","0","0","4","1","31","2.549","3","1030031"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki03_006","2","0","32","0","3","1030032"
"2.728","10","383","0","0","0","1","0","33","0","3","1030033"
"0","0","0","0","0","0","4","1","34","3.023","3","1030034"
"0.91","11","123","0","0","0","1","0","35","0","3","1030035"
"0","0","0","0","0","0","4","1","36","1.977","3","1030036"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki03_007","2","0","37","0","3","1030037"
"0.558","11","208","0","123","0","1","0","38","0","3","1030038"
"0","0","0","0","0","0","4","1","39","0.973","3","1030039"
"1.35","11","392","0","208","0","1","0","40","0","3","1030040"
"0","0","0","0","0","0","4","1","41","2.103","3","1030041"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki03_008","2","0","42","0","3","1030042"
"0.935","12","150","0","0","0","1","0","43","0","3","1030043"
"0","0","0","0","0","0","4","1","44","2.435","3","1030044"
"0","0","0","0","0","0","4","3","1","1","4","1040001"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki04_000","2","0","2","0","4","1040002"
"1.597","1","222","0","0","0","1","0","3","0","4","1040003"
"0","0","0","0","0","0","4","1","4","1.881","4","1040004"
"1.46","2","239","0","0","0","1","0","5","0","4","1040005"
"0","0","0","0","0","0","4","1","6","2.457","4","1040006"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki04_001","2","0","7","0","4","1040007"
"1.208","3","171","0","0","0","1","0","8","0","4","1040008"
"0","0","0","0","0","0","4","1","9","1.578","4","1040009"
"0.673","3","270","0","171","0","1","0","10","0","4","1040010"
"0","0","0","0","0","0","4","1","11","1.009","4","1040011"
"0.65","3","352","0","270","0","1","0","12","0","4","1040012"
"0","0","0","0","0","0","4","1","13","0.729","4","1040013"
"0.976","4","166","0","0","0","1","0","14","0","4","1040014"
"0","0","0","0","0","0","4","1","15","1.993","4","1040015"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki04_002","2","0","16","0","4","1040016"
"0.396","4","220","0","166","0","1","0","17","0","4","1040017"
"0","0","0","0","0","0","4","1","18","0.864","4","1040018"
"0.74","4","352","0","220","0","1","0","19","0","4","1040019"
"0","0","0","0","0","0","4","1","20","1.855","4","1040020"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki04_003","2","0","21","0","4","1040021"
"0.437","5","52","0","0","0","1","0","22","0","4","1040022"
"0","0","0","0","0","0","4","1","23","0.497","4","1040023"
"1.776","5","289","0","52","0","1","0","24","0","4","1040024"
"0","0","0","0","0","0","4","1","25","2.233","4","1040025"
"1.29","6","153","0","0","0","1","0","26","0","4","1040026"
"0","0","0","0","0","0","4","1","27","1.638","4","1040027"
"1.137","6","329","0","153","0","1","0","28","0","4","1040028"
"0","0","0","0","0","0","4","1","29","2.3","4","1040029"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki04_004","2","0","30","0","4","1040030"
"0.336","7","55","0","0","0","1","0","31","0","4","1040031"
"0","0","0","0","0","0","4","1","32","0.826","4","1040032"
"1.223","7","252","0","55","0","1","0","33","0","4","1040033"
"0","0","0","0","0","0","4","1","34","1.223","4","1040034"
"0.994","8","179","0","0","0","1","0","35","0","4","1040035"
"0","0","0","0","0","0","4","1","36","1.487","4","1040036"
"0.89","8","312","0","179","0","1","0","37","0","4","1040037"
"0","0","0","0","0","0","4","1","38","1.567","4","1040038"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki04_005","2","0","39","0","4","1040039"
"0.74","9","151","0","0","0","1","0","40","0","4","1040040"
"0","0","0","0","0","0","4","1","41","1.731","4","1040041"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki04_006","2","0","42","0","4","1040042"
"1.937","10","278","0","0","0","1","0","43","0","4","1040043"
"0","0","0","0","0","0","4","1","44","2.435","4","1040044"
"0.822","11","126","0","0","0","1","0","45","0","4","1040045"
"0","0","0","0","0","0","4","1","46","1.376","4","1040046"
"0.576","11","199","0","126","0","1","0","47","0","4","1040047"
"0","0","0","0","0","0","4","1","48","0.923","4","1040048"
"0.785","11","353","0","199","0","1","0","49","0","4","1040049"
"0","0","0","0","0","0","4","1","50","2.285","4","1040050"
"0","0","0","0","0","0","4","3","1","1","5","1050001"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki05_000","2","0","2","0","5","1050002"
"1.419","1","183","0","0","0","1","0","3","0","5","1050003"
"0","0","0","0","0","0","4","1","4","1.662","5","1050004"
"1.614","2","265","0","0","0","1","0","5","0","5","1050005"
"0","0","0","0","0","0","4","1","6","2.394","5","1050006"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki05_001","2","0","7","0","5","1050007"
"2.658","3","394","0","0","0","1","0","8","0","5","1050008"
"0","0","0","0","0","0","4","1","9","3.202","5","1050009"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki05_002","2","0","10","0","5","1050010"
"1.745","4","298","0","0","0","1","0","11","0","5","1050011"
"0","0","0","0","0","0","4","1","12","2.545","5","1050012"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki05_003","2","0","13","0","5","1050013"
"0.964","5","115","0","0","0","1","0","14","0","5","1050014"
"0","0","0","0","0","0","4","1","15","1.34","5","1050015"
"1.919","5","394","0","115","0","1","0","16","0","5","1050016"
"0","0","0","0","0","0","4","1","17","2.719","5","1050017"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki05_004","2","0","18","0","5","1050018"
"0.434","6","60","0","0","0","1","0","19","0","5","1050019"
"0","0","0","0","0","0","4","1","20","0.903","5","1050020"
"1.262","6","250","0","60","0","1","0","21","0","5","1050021"
"0","0","0","0","0","0","4","1","22","1.758","5","1050022"
"2.473","7","309","0","0","0","1","0","23","0","5","1050023"
"0","0","0","0","0","0","4","1","24","3.315","5","1050024"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki05_005","2","0","25","0","5","1050025"
"0.509","8","82","0","0","0","1","0","26","0","5","1050026"
"0","0","0","0","0","0","4","1","27","0.988","5","1050027"
"1.775","8","364","0","82","0","1","0","28","0","5","1050028"
"0","0","0","0","0","0","4","1","29","2.507","5","1050029"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki05_006","2","0","30","0","5","1050030"
"1.139","9","201","0","0","0","1","0","31","0","5","1050031"
"0","0","0","0","0","0","4","1","32","2.066","5","1050032"
"0","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki05_007","2","0","33","0","5","1050033"
"0.665","10","94","0","0","0","1","0","34","0","5","1050034"
"0","0","0","0","0","0","4","1","35","1.144","5","1050035"
"1.389","10","271","0","94","0","1","0","36","0","5","1050036"
"0","0","0","0","0","0","4","1","37","1.789","5","1050037"
"0.823","10","376","0","271","0","1","0","38","0","5","1050038"
"0","0","0","0","0","0","4","1","39","2.023","5","1050039"
