a718a1857b0a0b7fc8880f7fb0db3661f801407e10be2d2865a9d89d27cf1236,fc43d9a38cdbc2e325238de0e67723df9df736e954872778ceff488f227f7b98,bb9074d09cd96c3316b671587d33d085f1f04d58e12ade61d16d6cb088126fad,cfd44e05bdd89dd99e78be6874b8af643e4324877e78796084ba04e0161e3826,2bb9a3a2612697583b3da3b2922dfaf195e5843d8a9397ad9217db464bccc7ff,66886144c5a78dd0d9d19a085982329ab7df7d782ae713e67eb454876fffcbc7,18227fffbe094cbe0749308ac8d0105aec004cde34128946b24b08ed353cb0c3,5dda0ec1c84c5e1edc724cb9a064c6ff35cfad1c818062ea6ce65419fddb6187,591547cb5e98f48a5bda1e82d99937e675f92467e6ef9b338072c204eac98b7d,780399ef91f91ed1ad22e472e841d7020d797a19c285e1ae54ac022791fff335,661d59e66d0677639383988fead496753b79ffbea5403768d393036b9452bcb1
"","","se_fpc_water_random","","se_10053800","","863","","","23","18630001"
"1.75","-180","126911","1","1","22","863","cmn_float","-1100","1","18630002"
"1.75","-125","127011","0","1","12","863","cmn_float","-1350","1","18630003"
"1.75","-180","127111","0","1","22","863","cmn_float","-1600","1","18630004"
"1","1","2","","6","-1070","863","","-180","31","18630005"
"1","1","3","","6","-1350","863","","-125","31","18630006"
"1","1","4","","6","-1600","863","","-180","31","18630007"
"","","1500","","126911","-180","863","","13.5","2","18630008"
"","","1250","","127011","-125","863","","13.5","2","18630009"
"","","1000","","127111","-180","863","","13.5","2","18630010"
"","","1530","","2","-180","863","","13.5","33","18630011"
"","","1250","","3","-125","863","","13.5","33","18630012"
"","","1000","","4","-180","863","","13.5","33","18630013"
"","","","","2.3","","863","","","93","18630014"
"","","vo_fpc_86301","","vo_fpc","","863","","0","21","18630015"
"","","se_fpc_water_random","","se_10053800","","864","","","23","18640001"
"1.75","-125","107811","0","1","45","864","cmn_surfing","-850","1","18640002"
"1.75","-250","110011","0","1","45","864","cmn_surfing","-1100","1","18640003"
"1.75","-125","1","0","6","44","864","cmn_surfing","-850","5","18640004"
"1.75","-250","2","0","6","44","864","cmn_surfing","-1100","5","18640005"
"1","1","1","","11","-850","864","","-125","31","18640006"
"1","1","2","","11","-1100","864","","-250","31","18640007"
"","","2350","","107811","-125","864","","6","2","18640008"
"","","2100","","110011","-250","864","","6","2","18640009"
"","","2350","","1","-125","864","","6","2","18640010"
"","","2100","","2","-250","864","","6","2","18640011"
"","","2350","","1","-125","864","","6","33","18640012"
"","","2100","","2","-250","864","","6","33","18640013"
"","","se_10053800_surfing_wave","","se_10053800","","864","","","23","18640014"
"","","","","0.2","","864","","","93","18640015"
"","","vo_fpc_86401","","vo_fpc","","864","","0","21","18640016"
"","","se_fpc_water_random","","se_10053800","","865","","","23","18650001"
"1.75","-125","110311","0","1","13","865","cmn_swm_flutterKick_floatRing","-850","1","18650002"
"1.75","-250","113111","0","1","33","865","cmn_swm_flutterKick_floatRing","-1100","1","18650003"
"1.75","-125","1","0","1","12","865","cmn_swm_flutterKick_floatRing_pink","-850","5","18650004"
"1.75","-250","2","0","1","32","865","cmn_swm_flutterKick_floatRing_blue","-1100","5","18650005"
"1","1","1","","7","-850","865","","-125","31","18650006"
"1","1","2","","1","-1100","865","","-250","31","18650007"
"","","1750","","110311","-125","865","","10","2","18650008"
"","","1500","","113111","-250","865","","10","2","18650009"
"","","1750","","1","-125","865","","10","2","18650010"
"","","1500","","2","-250","865","","10","2","18650011"
"","","1750","","1","-125","865","","10","33","18650012"
"","","1500","","2","-250","865","","10","33","18650013"
"","","se_fpc_water_random","","se_10053800","","866","","","23","18660001"
"1.75","-125","113411","0","1","13","866","cmn_swm_flutterKick_floatRing","-850","1","18660002"
"1.75","-250","115711","0","1","33","866","cmn_swm_flutterKick_floatRing","-1100","1","18660003"
"1.75","-125","1","0","1","12","866","cmn_swm_flutterKick_floatRing_pink","-850","5","18660004"
"1.75","-250","2","0","1","32","866","cmn_swm_flutterKick_floatRing_blue","-1100","5","18660005"
"1","1","1","","7","-850","866","","-125","31","18660006"
"1","1","2","","1","-1100","866","","-250","31","18660007"
"","","1750","","113411","-125","866","","10","2","18660008"
"","","1500","","115711","-250","866","","10","2","18660009"
"","","1750","","1","-125","866","","10","2","18660010"
"","","1500","","2","-250","866","","10","2","18660011"
"","","1750","","1","-125","866","","10","33","18660012"
"","","1500","","2","-250","866","","10","33","18660013"
"","","se_fpc_water_random","","se_10053800","","867","","","23","18670001"
"1.75","-125","113211","0","1","13","867","cmn_swm_tread","-850","1","18670002"
"1.75","-250","127111","0","1","33","867","cmn_swm_tread","-1100","1","18670003"
"1.75","-125","1","0","1","12","867","cmn_swm_tread_pink","-850","5","18670004"
"1.75","-250","2","0","1","32","867","cmn_swm_tread_blue","-1100","5","18670005"
"1","1","1","","13","-850","867","","-125","31","18670006"
"1","1","2","","3","-1100","867","","-250","31","18670007"
"","","1750","","113211","-125","867","","13.5","2","18670008"
"","","1500","","127111","-250","867","","13.5","2","18670009"
"","","1750","","1","-125","867","","13.5","2","18670010"
"","","1500","","2","-250","867","","13.5","2","18670011"
"","","1750","","1","-125","867","","13.5","33","18670012"
"","","1500","","2","-250","867","","13.5","33","18670013"
"","","se_fpc_water_random","","se_10053800","","868","","","23","18680001"
"1.75","-125","117011","0","1","12","868","cmn_swm_diving","-850","1","18680002"
"1.75","-180","117111","0","1","22","868","cmn_swm_diving","-1100","1","18680003"
"1","1","1","","9","-850","868","","-125","31","18680004"
"1","1","2","","9","-1100","868","","-180","31","18680005"
"","","1750","","117011","-125","868","","13.5","2","18680006"
"","","1500","","117111","-180","868","","13.5","2","18680007"
"","","1750","","1","-125","868","","13.5","33","18680008"
"","","1500","","2","-180","868","","13.5","33","18680009"
"","","se_fpc_water_random","","se_10053800","","869","","","23","18690001"
"1.75","-125","110511","0","1","13","869","cmn_swm_flutterKick_floatRing","-850","1","18690002"
"1.75","-250","110011","0","1","33","869","cmn_swm_flutterKick_floatRing","-1100","1","18690003"
"1.75","-125","1","0","1","12","869","cmn_swm_flutterKick_floatBoad","-850","5","18690004"
"1.75","-250","2","0","1","32","869","cmn_swm_flutterKick_floatBoad_blue","-1100","5","18690005"
"1","1","1","","7","-850","869","","-125","31","18690006"
"1","1","2","","1","-1100","869","","-250","31","18690007"
"","","1750","","110511","-125","869","","10","2","18690008"
