47b84a5957588766b55d8c7132add820096191cc17cc371e43824abead4e178d,6a93d57847c5e91e99d8109fcad419b7b334793c32a680e60e3cb899f4629a16,a403a3078a24bb860284a72c78c4ab4c82e8693a16a20cde95606af5ab7c0a4d,fe36844f0201873d6b162589107e42ffeb0de53347fedc8827f7620e929877bc,02c30897647e36a6b2372b6369acb322d23cee44dca7a30e9eaa628cc08f84dd
"energy_recover","開始時TP回復","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001403","31"
"boss_physics_cut","ボス物理ダメージカット","バトル開始時、ボスモンスターが物理ダメージ50％カット状態になる。","74001403","32"
"add_shadow","シャドウ2体追加","クウカ（オーエド）とネネカのシャドウが追加される。","74001403","33"
"boss_ub_enhance","ボスUB強化","ボスモンスターのユニオンバーストが強化される。","74001404","34"
"energy_recover","開始時TP回復","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001404","35"
"boss_physics_cut","ボス物理ダメージカット","バトル開始時、ボスモンスターが物理ダメージ70％カット状態になる。","74001404","36"
"add_shadow","シャドウ2体追加","クウカ（オーエド）とネネカのシャドウが追加される。","74001404","37"
"limit_time","バトル時間制限","バトル時間が60秒になる。","74001405","38"
"boss_ub_enhance","ボスUB強化","ボスモンスターのユニオンバーストが強化される。","74001405","39"
"energy_recover","開始時TP回復","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","74001405","40"
"boss_physics_cut","ボス物理ダメージカット","バトル開始時、ボスモンスターが物理ダメージ100％カット状態になる。","74001405","41"
"add_shadow","シャドウ2体追加","クウカ（オーエド）とネネカのシャドウが追加される。","74001405","42"
"boss_atk_up","開始時攻撃力アップ","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","74001502","43"
"limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74001503","44"
"boss_atk_up","開始時攻撃力アップ","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","74001503","45"
"limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74001504","46"
"boss_ub_enhance","ボスUB強化","ボスモンスターのユニオンバーストが強化される。","74001504","47"
"boss_atk_up","開始時攻撃力アップ","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","74001504","48"
"limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74001505","49"
"max_hp_down","キャラ最大HPダウン","パーティキャラの最大HPが20％ダウンする。","74001505","50"
"boss_ub_enhance","ボスUB強化","ボスモンスターのユニオンバーストが強化される。","74001505","51"
"boss_atk_up","開始時攻撃力アップ","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","74001505","52"
"add_shadow","シャドウ1体追加","カリンのシャドウが追加される。","74002102","53"
"star6_shadow","シャドウ強化","ミヤコ、ユカリ、アユミのシャドウに専用装備が追加される。","74002103","54"
"add_shadow","シャドウ1体追加","カリンのシャドウが追加される。","74002103","55"
"star6_shadow","シャドウ強化","ミヤコ、ユカリ、アユミのシャドウが★6になる。","74002104","56"
"add_shadow","シャドウ1体追加","カリンのシャドウが追加される。","74002104","57"
"boss_atk_up","シャドウ物理攻撃力アップ","すべてのシャドウの物理攻撃力が大幅に上昇する。","74002105","58"
"star6_shadow","シャドウ強化","ミヤコ、ユカリ、アユミのシャドウが★6になる。","74002105","59"
"add_shadow","シャドウ1体追加","カリンのシャドウが追加される。","74002105","60"
"add_shadow","シャドウ1体追加","カヤ（リベレイター）のシャドウが追加される。","74002202","61"
"star6_shadow","シャドウ強化","ツムギ（ハロウィン）、マヒル（クリスマス）、ミツキ、カスミ（マジカル）のシャドウに専用装備が追加される。","74002203","62"
"add_shadow","シャドウ1体追加","カヤ（リベレイター）のシャドウが追加される。","74002203","63"
"star6_shadow","シャドウ強化","ミツキのシャドウが★6になる。ツムギ（ハロウィン）、マヒル（クリスマス）、カスミ（マジカル）のシャドウに専用装備が追加される。","74002204","64"
"add_shadow","シャドウ1体追加","カヤ（リベレイター）のシャドウが追加される。","74002204","65"
"boss_magic_def_up","シャドウ魔法防御力アップ","すべてのシャドウの魔法防御力が大幅に上昇する。","74002205","66"
"star6_shadow","シャドウ強化","ツムギ（ハロウィン）、マヒル（クリスマス）、カスミ（マジカル）のシャドウに専用装備が追加され、ミツキのシャドウが★6になる。","74002205","67"
"add_shadow","シャドウ1体追加","カヤ（リベレイター）のシャドウが追加される。","74002205","68"
"add_shadow","シャドウ1体追加","ノゾミのシャドウが追加される。","74002302","69"
"add_shadow","シャドウ2体追加","ノゾミとキャル（プリンセス）のシャドウが追加される。","74002303","70"
"limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74002304","71"
"star6_shadow","シャドウ強化","ノゾミのシャドウが★6になる。キャル（プリンセス）のシャドウに専用装備が追加される。","74002304","72"
"add_shadow","シャドウ2体追加","ノゾミとキャル（プリンセス）のシャドウが追加される。","74002304","73"
"limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74002305","74"
"boss_def_up","開始時物理防御力アップ","バトル開始時、ボスモンスターが敵全員の物理防御力を特大アップさせる。","74002305","75"
"boss_magic_def_up","開始時魔法防御力アップ","バトル開始時、ボスモンスターが敵全員の魔法防御力を特大アップさせる。","74002305","76"
"star6_shadow","シャドウ強化","ノゾミのシャドウが★6になる。キャル（プリンセス）のシャドウに専用装備が追加される。","74002305","77"
"add_shadow","シャドウ2体追加","ノゾミとキャル（プリンセス）のシャドウが追加される。","74002305","78"
"add_shadow","シャドウ1体追加","アヤネのシャドウが追加される。","74002402","79"
"add_shadow","シャドウ2体追加","アヤネとぺコリーヌ（サマー）のシャドウが追加される。","74002403","80"
"limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74002404","81"
"star6_shadow","シャドウ強化","アヤネとぺコリーヌ（サマー）のシャドウが★6になる。","74002404","82"
"add_shadow","シャドウ2体追加","アヤネとぺコリーヌ（サマー）のシャドウが追加される。","74002404","83"
"limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74002405","84"
"boss_def_up","開始時物理防御力アップ","バトル開始時、ボスモンスターが敵全員の物理防御力を特大アップさせる。","74002405","85"
"boss_magic_def_up","開始時魔法防御力アップ","バトル開始時、ボスモンスターが敵全員の魔法防御力を特大アップさせる。","74002405","86"
"star6_shadow","シャドウ強化","アヤネとぺコリーヌ（サマー）のシャドウが★6になる。","74002405","87"
"add_shadow","シャドウ2体追加","アヤネとぺコリーヌ（サマー）のシャドウが追加される。","74002405","88"
"limit_time","バトル時間制限","バトル時間が70秒になる。","74002502","89"
"limit_time","バトル時間制限","バトル時間が60秒になる。","74002503","90"
"limit_time","バトル時間制限","バトル時間が60秒になる。","74002504","91"
"boss_ub_enhance","ボスUB強化","ボスモンスターのユニオンバーストが強化される。","74002504","92"
"limit_time","バトル時間制限","バトル時間が45秒になる。","74002505","93"
"boss_ub_enhance","ボスUB強化","ボスモンスターのユニオンバーストが強化される。","74002505","94"
"star6_shadow","シャドウ強化","カスミ、ハツネ、ユイ（プリンセス）のシャドウに専用装備が追加される。","74003102","95"
"add_shadow","シャドウ1体追加","ユキのシャドウが追加される。","74003103","96"
"star6_shadow","シャドウ強化","ハツネ、ユキのシャドウが★6になる。","74003103","97"
"limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74003104","98"
"limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74003105","99"
"max_hp_up","シャドウ最大ＨＰアップ","すべてのシャドウの最大ＨＰが大幅に上昇する。","74003105","100"
"add_shadow","モンスター1体追加","カーズ・レリックが追加される。","74003202","101"
"star6_shadow","シャドウ強化","アオイのシャドウが★6になる。","74003203","102"
"boss_magic_cut","開始時魔法ダメージカット","バトル開始時、カーズ・レリックが味方全体を魔法ダメージ50%カット状態にさせる。","74003204","103"
"boss_ub_enhance","モンスター強化","カーズ・レリックのスキルが強化される。","74003204","104"
"boss_magic_cut","開始時魔法ダメージカット","バトル開始時、カーズ・レリックが味方全体を魔法ダメージ75%カット状態にさせる。","74003205","105"
"limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74003205","106"
"add_shadow","モンスター1体追加","ヒール・レリックが追加される。","74003302","107"
"star6_shadow","シャドウ強化","キャル（ニューイヤー）のシャドウに専用装備が追加される。","74003303","108"
"boss_physics_cut","開始時物理ダメージカット","バトル開始時、ヒール・レリックが味方全体を物理ダメージ50%カット状態にさせる。","74003304","109"
"boss_ub_enhance","モンスター強化","ヒール・レリックのスキルが強化される。","74003304","110"
"boss_physics_cut","開始時物理ダメージカット","バトル開始時、ヒール・レリックが味方全体を物理ダメージ75%カット状態にさせる。","74003305","111"
"limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74003305","112"
"boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003402","113"
"boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003402","114"
"limit_time","バトル時間制限","バトル時間が70秒になる。","74003403","115"
"boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003403","116"
"boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003403","117"
"limit_time","バトル時間制限","バトル時間が70秒になる。","74003404","118"
"boss_ub_enhance","ボスUB強化","ボスモンスターのユニオンバーストが強化される。","74003404","119"
"boss_tp_down_cut","ボスＴＰダウンカット","バトル開始時、ボスモンスターがＴＰダウン100％カット状態になる。","74003404","120"
"boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003404","121"
"boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003404","122"
"limit_time","バトル時間制限","バトル時間が50秒になる。","74003405","123"
"boss_ub_enhance","ボスUB強化","ボスモンスターのユニオンバーストが強化される。","74003405","124"
"boss_tp_down_cut","ボスＴＰダウンカット","バトル開始時、ボスモンスターがＴＰダウン100％カット状態になる。","74003405","125"
"boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003405","126"
"boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003405","127"
"boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003502","128"
"boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003502","129"
"boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003503","130"
"boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003503","131"
"add_shadow","モンスター1体追加","ルナポッドが追加される。","74003504","132"
"boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003504","133"
"boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003504","134"
"add_shadow","シャドウ1体追加","カイザーインサイトのシャドウが追加される。","74003505","135"
"boss_def_lower_limit","ボス物理防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003505","136"
"boss_magic_def_lower_limit","ボス魔法防御力（ダウン不可）アップ","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003505","137"
"star6_shadow","シャドウ強化","イノリ、サレン、ヨリ、ユニのシャドウに専用装備が追加される。","74004102","138"
"add_shadow","シャドウ1体追加","サレン（サマー）のシャドウが追加される。","74004103","139"
"star6_shadow","シャドウ強化","サレン、ヨリのシャドウが★6になる。","74004103","140"
"limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74004104","141"
"limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74004105","142"
"max_hp_up","シャドウ最大ＨＰアップ","すべてのシャドウの最大ＨＰが大幅に上昇する。","74004105","143"
"add_shadow","モンスター1体追加","シールド・レリックが追加される。","74004202","144"
"star6_shadow","シャドウ強化","ネネカ（ニューイヤー）のシャドウに専用装備が追加される。","74004203","145"
"boss_ub_enhance","モンスター強化","シールド・レリックのスキルが強化される。","74004204","146"
"hp_recover","開始時ＨＰ回復","バトル開始時、シールド・レリックのが味方全体のＨＰを特大回復させる。","74004204","147"
"hp_recover","開始時ＨＰ回復","バトル開始時、シールド・レリックのが味方全体のＨＰを特大回復させる。","74004205","148"
"energy_recover","開始時ＴＰ継続回復付与","バトル開始時、シールド・レリックのが味方全体に継続ＴＰ回復状態を付与する。","74004205","149"
"add_shadow","モンスター1体追加","アタック・レリックが追加される。","74004302","150"
"star6_shadow","シャドウ強化","リマのシャドウが★6になる。","74004303","151"
"boss_ub_enhance","モンスター強化","アタック・レリックのスキルが強化される。","74004304","152"
"boss_haste","開始時行動速度アップフィールド","バトル開始時、アタック・レリックが味方全体の行動速度を特大アップさせるフィールドを展開する。","74004305","153"
"max_hp_down","キャラ最大HPダウン","パーティキャラの最大HPが20％ダウンする。","74004402","154"
"limit_time","バトル時間制限","バトル時間が75秒になる。","74004403","155"
"max_hp_down","キャラ最大HPダウン","パーティキャラの最大HPが20％ダウンする。","74004403","156"
"limit_time","バトル時間制限","バトル時間が75秒になる。","74004404","157"
"limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74004404","158"
"max_hp_down","キャラ最大HPダウン","パーティキャラの最大HPが20％ダウンする。","74004404","159"
"limit_time","バトル時間制限","バトル時間が60秒になる。","74004405","160"
"limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74004405","161"
"max_hp_down","キャラ最大HPダウン","パーティキャラの最大HPが20％ダウンする。","74004405","162"
"max_hp_down","キャラ最大HPダウン","パーティキャラの最大HPが20％ダウンする。","74004502","163"
"boss_ub_enhance","ボスUB・スキル強化","ボスモンスターのユニオンバーストとスキルが強化される。","74004503","164"
"boss_tp_down_cut","ボスＴＰダウンカット","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74004503","165"
"max_hp_down","キャラ最大HPダウン","パーティキャラの最大HPが20％ダウンする。","74004503","166"
"add_shadow","モンスター1体追加","ルナポッドが追加される。","74004504","167"
"boss_tp_down_cut","ボスＴＰダウンカット","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74004504","168"
"max_hp_down","キャラ最大HPダウン","パーティキャラの最大HPが20％ダウンする。","74004504","169"
"add_shadow","シャドウ1体追加","アヤネのシャドウが追加される。","74004505","170"
"boss_tp_down_cut","ボスＴＰダウンカット","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74004505","171"
"max_hp_down","キャラ最大HPダウン","パーティキャラの最大HPが20％ダウンする。","74004505","172"
"star6_shadow","シャドウ強化","リマ、カヤ、イノリ、サレン（サマー）のシャドウに専用装備が追加される。","74005102","173"
"star6_shadow","シャドウ強化","リマ、カヤ、イノリのシャドウが★6になる。","74005103","174"
"boss_physics_cut","物理ダメージカット","バトル開始時、すべてのモンスターが物理ダメージ50％カット状態になる。","74005103","175"
"limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74005104","176"
"boss_physics_cut","物理ダメージカット","バトル開始時、すべてのモンスターが物理ダメージ50％カット状態になる。","74005104","177"
"limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74005105","178"
"boss_physics_cut","物理ダメージカット","バトル開始時、すべてのモンスターが物理ダメージ100％カット状態になる。","74005105","179"
"star6_shadow","シャドウ強化","ミヤコ、レイ（ニューイヤー）、ユカリ、ハツネ、ミサキ（ハロウィン）のシャドウに専用装備が追加される。","74005202","180"
"star6_shadow","シャドウ強化","ミヤコ、レイ（ニューイヤー）、ユカリ、ハツネのシャドウが★6になる。","74005203","181"
"boss_magic_cut","魔法ダメージカット","バトル開始時、すべてのモンスターが魔法ダメージ50％カット状態になる。","74005203","182"
"limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74005204","183"
"boss_magic_cut","魔法ダメージカット","バトル開始時、すべてのモンスターが魔法ダメージ50％カット状態になる。","74005204","184"
"limit_chara_num","編成キャラ数制限","編成可能キャラ数が4キャラになる。","74005205","185"
"boss_magic_cut","魔法ダメージカット","バトル開始時、すべてのモンスターが魔法ダメージ100％カット状態になる。","74005205","186"
"18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005301","187"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005301","188"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005301","189"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005301","190"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005301","191"
"add_shadow","モンスター追加","ゼラチナ、エルダークラウドが追加される。","74005302","192"
"18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005302","193"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005302","194"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005302","195"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005302","196"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005302","197"
"add_shadow","モンスター追加","ユカリ、ホマレ（ニューイヤー）が追加される。","74005303","198"
"18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005303","199"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005303","200"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005303","201"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005303","202"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005303","203"
"add_shadow","モンスター追加","ルナポッドが追加される。","74005304","204"
"18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005304","205"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005304","206"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005304","207"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005304","208"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005304","209"
"limit_time","バトル時間制限","バトル時間が60秒になる。","74005305","210"
"18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005305","211"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005305","212"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005305","213"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005305","214"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005305","215"
"18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005401","216"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005401","217"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005401","218"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005401","219"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005401","220"
"add_shadow","モンスター追加","タートルタイラント、ホオズキムシが追加される。","74005402","221"
"18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005402","222"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005402","223"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005402","224"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005402","225"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005402","226"
"add_shadow","モンスター追加","シズル（ノワール）、コッコロ（サマー）が追加される。","74005403","227"
"18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005403","228"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005403","229"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005403","230"
"boss_magic_def_lower_limit","魔法防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005403","231"
"9","ＨＰ吸収ダウン","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005403","232"
"add_shadow","モンスター追加","ルナポッドが追加される。","74005404","233"
"18","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005404","234"
"17","ＴＰ上昇上限付与","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005404","235"
"boss_def_lower_limit","物理防御力（ダウン不可）アップ","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005404","236"
