5d5e56c123da623da0c389d3f656ab735b20213666fb49f6fc442685e0deb70e,ea0eec4d85597ced0d2a1cd12be086664afa10fc938f842c39f70604ffd5ed46,f19c16113febdff69a3a21420c195e9e4cf259ec5030c2219c3d5b6f034b6350,73bab41c383fbbc978f4b615f6f7da226476a80d1557625c55ca885b187c0d7f,e9f5a1624c4202632a96632529ed5f332b0db976d6bb311abadfc84a5149b084,686acaea21d16a2e0b404300ab8ff262f3bc35bc18c5e071bf079cb7811b0b82,33f47f56d0b4b18fdf90b9d7a3cc34f80503a8d437ee46b556c2de228e655f9e,d69f8a89bb5b7537f723d3e4b58645b105a6bacad6f488ba8c8e81364ad1e1db,7b765de00b16ffe8a2b6824101b2f90a1625cfe4ea8d56693dba5ff6f46340b0,8c34705db9b4640be2d0f1afc05a0accefede6df5a7ff92d51773d3cebefef4b,c78001aeddf56bf8bba0d78bf99143845c54a451e40f21d5a18d0b43601f9311,99b9e2e69b9500625ecaa667c9e5950bc30e38dff7d4a1c81f76e5e50b9197c4
"0","1.5","5","10207201","0","1","610207104","0","0","0","3","0"
"0","5.5","5","10207501","0","2","610207105","3","0","600","1","0"
"66","1.5","5","10207501","0","1","610207106","0","0","0","2","0"
"0","1.5","5","10207501","0","1","610207107","0","0","0","3","0"
"0","5.5","5","10208201","0","2","610208102","3","5208322","600","1","5208321"
"70","1.5","5","10208201","0","1","610208103","0","5208323","0","2","0"
"0","1.5","5","10208201","0","1","610208104","0","0","0","3","0"
"0","5.5","5","10208501","0","2","610208105","3","0","600","1","0"
"70","1.5","5","10208501","0","1","610208106","0","0","0","2","0"
"0","1.5","5","10208501","0","1","610208107","0","0","0","3","0"
"0","5.5","5","10209201","0","2","610209102","3","5209322","600","1","5209321"
"55","1.5","5","10209201","0","1","610209103","0","5209323","0","2","0"
"0","1.5","5","10209201","0","1","610209104","0","0","0","3","0"
"0","5.5","5","10209501","0","2","610209105","3","0","600","1","0"
"60","1.5","5","10209501","0","1","610209106","0","0","0","2","0"
"0","1.5","5","10209501","0","1","610209107","0","0","0","3","0"
"0","5.5","5","10210201","0","2","610210102","3","5210322","600","1","5210321"
"65","1.5","5","10210201","0","1","610210103","0","5210323","0","2","0"
"0","1.5","5","10210201","0","1","610210104","0","0","0","3","0"
"0","5.5","5","10210501","0","2","610210105","3","0","600","1","0"
"60","1.5","5","10210501","0","1","610210106","0","0","0","2","0"
"0","1.5","5","10210501","0","1","610210107","0","0","0","3","0"
"0","5.5","5","10211201","0","2","610211102","3","5211322","600","1","5211321"
"40","1.5","5","10211201","0","1","610211103","0","5211323","0","2","0"
"0","1.5","5","10211201","0","1","610211104","0","0","0","3","0"
"0","5.5","5","10211501","0","2","610211105","3","0","600","1","0"
"45","1.5","5","10211501","0","1","610211106","0","0","0","2","0"
"0","1.5","5","10211501","0","1","610211107","0","0","0","3","0"
"0","5.5","5","10212201","0","2","610212102","3","5212322","600","1","5212321"
"60","1.5","5","10212201","0","1","610212103","0","5212323","0","2","0"
"0","1.5","5","10212201","0","1","610212104","0","0","0","3","0"
"0","5.5","5","10212501","0","2","610212105","3","0","600","1","0"
"60","1.5","5","10212501","0","1","610212106","0","0","0","2","0"
"0","1.5","5","10212501","0","1","610212107","0","0","0","3","0"
"0","5.5","5","10213201","0","2","610213102","3","5213322","600","1","5213321"
"60","1.5","5","10213201","0","1","610213103","0","5213323","0","2","0"
"0","1.5","5","10213201","0","1","610213104","0","0","0","3","0"
"0","5.5","5","10213501","0","2","610213105","3","0","600","1","0"
"60","1.5","5","10213501","0","1","610213106","0","0","0","2","0"
"0","1.5","5","10213501","0","1","610213107","0","0","0","3","0"
"0","5.5","5","10213251","0","2","610213152","5.5","5213332","600","1","5213331"
"70","1.5","5","10213251","0","1","610213153","0","5213333","0","2","0"
"0","1.5","5","10213251","0","1","610213154","0","0","0","3","0"
"0","5.5","5","10213551","0","2","610213155","5.5","0","600","1","0"
"70","1.5","5","10213551","0","1","610213156","0","0","0","2","0"
"0","1.5","5","10213551","0","1","610213157","0","0","0","3","0"
"0","5.5","5","10214201","0","2","610214102","3","5214322","600","1","5214321"
"0","1.5","5","10214201","0","2","610214103","3","5214323","600","2","0"
"0","1.5","5","10214201","0","1","610214104","0","0","0","3","0"
"0","5.5","5","10214501","0","2","610214105","3","0","600","1","0"
"0","1.5","5","10214501","0","2","610214106","3","0","600","2","0"
"0","1.5","5","10214501","0","1","610214107","0","0","0","3","0"
"0","5.5","5","10215201","0","2","610215102","3","5215322","600","1","5215321"
"0","1.5","5","10215201","0","2","610215103","3","5215323","600","2","0"
"0","1.5","5","10215201","0","1","610215104","0","0","0","3","0"
"0","5.5","5","10215501","0","2","610215105","3","0","600","1","0"
"0","1.5","5","10215501","0","2","610215106","3","0","600","2","0"
"0","1.5","5","10215501","0","1","610215107","0","0","0","3","0"
"0","5.5","5","10216201","0","2","610216102","3","5216322","600","1","5216321"
"55","1.5","5","10216201","0","1","610216103","0","5216323","0","2","0"
"0","1.5","5","10216201","0","1","610216104","0","0","0","3","0"
"0","5.5","5","10216501","0","2","610216105","3","0","600","1","0"
"55","1.5","5","10216501","0","1","610216106","0","0","0","2","0"
"0","1.5","5","10216501","0","1","610216107","0","0","0","3","0"
"70","5.5","5","10217201","0","2","610217102","3","5217322","600","1","5217321"
"40","1.5","5","10217201","0","1","610217103","0","5217323","0","2","0"
"0","1.5","5","10217201","0","1","610217104","0","0","0","3","0"
"70","5.5","5","10217501","0","2","610217105","3","0","600","1","0"
"40","1.5","5","10217501","0","1","610217106","0","0","0","2","0"
"0","1.5","5","10217501","0","1","610217107","0","0","0","3","0"
"0","5.5","5","10218201","0","2","610218102","3","5218322","600","1","5218321"
"40","1.5","5","10218201","0","1","610218103","0","5218323","0","2","0"
"0","1.5","5","10218201","0","1","610218104","0","0","0","3","0"
"0","5.5","5","10218501","0","2","610218105","3","0","600","1","0"
"40","1.5","5","10218501","0","1","610218106","0","0","0","2","0"
"0","1.5","5","10218501","0","1","610218107","0","0","0","3","0"
"0","5.5","5","10219201","0","2","610219102","3","5219322","600","1","5219321"
"55","1.5","5","10219201","0","1","610219103","0","5219323","0","2","0"
"0","1.5","5","10219201","0","1","610219104","0","0","0","3","0"
"0","5.5","5","10219501","0","2","610219105","3","0","600","1","0"
"55","1.5","5","10219501","0","1","610219106","0","0","0","2","0"
"0","1.5","5","10219501","0","1","610219107","0","0","0","3","0"
"0","5.5","5","10220201","0","2","610220102","3","5220322","600","1","5220321"
"45","1.5","5","10220201","0","1","610220103","0","5220323","0","2","0"
"0","1.5","5","10220201","0","1","610220104","0","0","0","3","0"
"0","5.5","5","10220501","0","2","610220105","3","0","600","1","0"
"45","1.5","5","10220501","0","1","610220106","0","0","0","2","0"
"0","1.5","5","10220501","0","1","610220107","0","0","0","3","0"
