570d39db4d2ae5140caf5117b9f57b2e0b993920362f8b0f4357953230d5de4d,84659360fab0882523ffb695ebe93eddba301fb319dc2eb22a9202cf454585d7,8f41023a938e2b5dd54c594af4e8fdd0dfdd73c8a71a590b1e2fbd53f57f3520,6910accac2d149a216b7e1e9bc1dc5296fb426a3d2f208be3105ccb7ca162008,a5b6c2b46633e4fad6e623b5d1838f99b0b29d0272569fef0c2096c8f06fe0ed,624bafadf1f217e34f6c43470e53d8a8162bb00b9185a585aa3c307b3f960439,43d99c7c0dca4e3a3959a400f6fa77ba23da96e98f491faad5ffa8d9e7ad0e3a,7b7d1c21eb210142c00e2868ec878bd9e823fc0169c2c521e8a4de2e8865c5f8,94a741f752b0f919f9fa1f620289e1d5e4e0fb98d496a72243404875edf96712,6fb0ae4309c4aab7f046d332f8677470a9ccc788650723caedf90d253c1e5fa5,68cb5bf1d19fd9862ee0a10bef4141c1fb550874050f6fb5debc1cc1b7518f4f
"0","って、いつもの妄想か。\n心配してすごく損した気分になったぞ、\n頼むから、任務に集中してくれ！","1","105311","11","10","1","20042","0","0","1200420015"
"","","","0","91","","","20042","","","1200420016"
"","travel_topdrama_r_2000_idle_doya_sad","","105311","3","1","","20042","0.2","","1200420017"
"","","","","112","","","20042","","","1200420018"
"","","","0","91","","","20042","","","1200420019"
"0","100911","-42","1","1","101","-68","20051","0.8","travel_topdrama_r_2000_idle_thinking","1200510001"
"1","105611","42","1","1","102","-68","20051","0.8","travel_topdrama_r_2000_idle_arm_crossed","1200510002"
"0","0","0","0","5","110","-75","20051","1","mana","1200510003"
"","","","0","91","","","20051","","","1200510004"
"","0","","10","93","","","20051","","","1200510005"
"","","","1200510005","101","","","20051","","","1200510006"
"","none","","0","3","0","","20051","0","","1200510007"
"","","","0","91","","","20051","","","1200510008"
"","103","","100911","13","","","20052","","","1200520001"
"","104","","105611","13","","","20052","","","1200520002"
"","travel_topdrama_r_2000_talk_thinking","","100911","3","1","1","20052","0.2","","1200520003"
"","vo_travel_talk_20005_00","0","vo_travel_talk","21","0","","20052","","","1200520004"
"0","我が内なる暗黒が囁いている……\n数多の運命の糸が複雑に絡み合い、\nこの旅はやがて壮大な冒険譚になると！","1","100911","11","10","1","20052","0","0","1200520005"
"","","","0","91","","","20052","","","1200520006"
"","travel_topdrama_r_2000_idle_thinking","","100911","3","1","","20052","0.2","","1200520007"
"","travel_topdrama_r_2000_talk_arm_crossed_in","travel_topdrama_r_2000_talk_arm_crossed_loop","105611","3","0","1","20052","0.2","","1200520008"
"","vo_travel_talk_20005_01","0","vo_travel_talk","21","0","","20052","","","1200520009"
"0","そうかい。\nじゃあまずは、焚火の枝を集める運命を\n受け入れてもらえるかい？","1","105611","11","10","1","20052","0","0","1200520010"
"","","","0","91","","","20052","","","1200520011"
"","travel_topdrama_r_2000_idle_arm_crossed","","105611","3","1","","20052","0.2","","1200520012"
"","travel_topdrama_r_2000_talk_doya_in_blink","travel_topdrama_r_2000_talk_doya_loop","100911","3","0","1","20052","0.2","","1200520013"
"","vo_travel_talk_20005_02","0","vo_travel_talk","21","0","","20052","","","1200520014"
"0","ふっ、既にその運命は受け入れている！\n……のだが、その、全然集まらなくて。\nよければ手伝ってほしいんだが。","1","100911","11","10","1","20052","0","0","1200520015"
"","","","0","91","","","20052","","","1200520016"
"","travel_topdrama_r_2000_idle_doya","","100911","3","1","","20052","0.2","","1200520017"
"","","","","112","","","20052","","","1200520018"
"","","","0","91","","","20052","","","1200520019"
"1","110911","42","1","1","101","-68","20061","0.8","travel_topdrama_r_2000_idle_kyapi","1200610001"
"0","110811","-42","1","1","102","-68","20061","0.8","travel_topdrama_r_2000_idle_doya_sad","1200610002"
"0","0","0","0","5","110","-75","20061","1","mana","1200610003"
"","","","0","91","","","20061","","","1200610004"
"","0","","10","93","","","20061","","","1200610005"
"","","","1200610005","101","","","20061","","","1200610006"
"","none","","0","3","0","","20061","0","","1200610007"
"","","","0","91","","","20061","","","1200610008"
"","103","","110911","13","","","20062","","","1200620001"
"","104","","110811","13","","","20062","","","1200620002"
"","travel_topdrama_r_2000_talk_kyapi_in","travel_topdrama_r_2000_talk_kyapi_loop","110911","3","0","1","20062","0.2","","1200620003"
"","vo_travel_talk_20006_00","0","vo_travel_talk","21","0","","20062","","","1200620004"
"0","ちぇる～ん☆\nちぇるちぇら、ちぇりんぱ、\nちぇちぇりぽぷ！","1","110911","11","10","1","20062","0","0","1200620005"
"","","","0","91","","","20062","","","1200620006"
"","travel_topdrama_r_2000_idle_kyapi","","110911","3","1","","20062","0.2","","1200620007"
"","travel_topdrama_r_2000_talk_doya_in_sad","travel_topdrama_r_2000_talk_doya_loop_sad","110811","3","0","1","20062","0.2","","1200620008"
"","vo_travel_talk_20006_01","0","vo_travel_talk","21","0","","20062","","","1200620009"
"0","あのさ。いんだけどさ。\nそのアタマ悪めの奇声でさっき魔物が\nクソ集まってきた件、もう忘れたわけ。","1","110811","11","10","1","20062","0","0","1200620010"
"","","","0","91","","","20062","","","1200620011"
"","travel_topdrama_r_2000_idle_doya_sad","","110811","3","1","","20062","0.2","","1200620012"
"","travel_topdrama_r_2000_talk_normal2","","110911","3","1","1","20062","0.2","","1200620013"
"","vo_travel_talk_20006_02","0","vo_travel_talk","21","0","","20062","","","1200620014"
"0","……その節は\nたいへん御迷惑をおかけいたしました。","1","110911","11","10","1","20062","0","0","1200620015"
"","","","0","91","","","20062","","","1200620016"
"","travel_topdrama_r_2000_idle_normal","","110911","3","1","","20062","0.2","","1200620017"
"","","","","112","","","20062","","","1200620018"
"","","","0","91","","","20062","","","1200620019"
"1","102911","42","1","1","101","-68","20071","0.8","travel_topdrama_r_2000_idle_smile","1200710001"
"0","105411","-42","1","1","102","-68","20071","0.8","travel_topdrama_r_2000_idle_sad","1200710002"
"0","0","0","0","5","110","-75","20071","1","mana","1200710003"
"","","","0","91","","","20071","","","1200710004"
"","0","","10","93","","","20071","","","1200710005"
"","","","1200710005","101","","","20071","","","1200710006"
"","none","","0","3","0","","20071","0","","1200710007"
"","","","0","91","","","20071","","","1200710008"
"","103","","102911","13","","","20072","","","1200720001"
"","104","","105411","13","","","20072","","","1200720002"
"","travel_topdrama_r_2000_talk_smile_in","travel_topdrama_r_2000_talk_smile_loop","102911","3","0","1","20072","0.2","","1200720003"
"","vo_travel_talk_20007_00","0","vo_travel_talk","21","0","","20072","","","1200720004"
"0","このあたりの地形って、ダンスの\n練習にちょうどいいんじゃないかな？\n一緒にステップを踏んでみてくれない？","1","102911","11","10","1","20072","0","0","1200720005"
"","","","0","91","","","20072","","","1200720006"
"","travel_topdrama_r_2000_idle_smile","","102911","3","1","","20072","0.2","","1200720007"
"0.2","travel_topdrama_r_2007_dance","travel_topdrama_r_2000_talk_sad_loop","105411","3","0","1","20072","0.2","","1200720008"
"","vo_travel_talk_20007_01","0","vo_travel_talk","21","0","","20072","","","1200720009"
"0","えっと、こんな感じですか？\n……わわっ、バランスが！？\nなかなか難しいですね……","1","105411","11","10","1","20072","0","0","1200720010"
"","","","0","91","","","20072","","","1200720011"
"","travel_topdrama_r_2000_idle_sad","","105411","3","1","","20072","0.2","","1200720012"
"","travel_topdrama_r_2000_talk_smile_in","travel_topdrama_r_2000_talk_smile_loop","102911","3","0","1","20072","0.2","","1200720013"
"","vo_travel_talk_20007_02","0","vo_travel_talk","21","0","","20072","","","1200720014"
"0","つまり、練習になるってことだよ！\nライブ前、ここに戻ってこれるように、\n場所をメモしておかなきゃね♪","1","102911","11","10","1","20072","0","0","1200720015"
"","","","0","91","","","20072","","","1200720016"
"","travel_topdrama_r_2000_idle_smile","","102911","3","1","","20072","0.2","","1200720017"
"","","","","112","","","20072","","","1200720018"
"","","","0","91","","","20072","","","1200720019"
"1","104711","42","1","1","101","-68","20081","0.8","travel_topdrama_r_2000_idle_sad","1200810001"
"0","107111","-42","1","1","102","-68","20081","0.8","travel_topdrama_r_2000_idle_doya","1200810002"
"0","0","0","0","5","110","-75","20081","1","mana","1200810003"
"","","","0","91","","","20081","","","1200810004"
"","0","","10","93","","","20081","","","1200810005"
"","","","1200810005","101","","","20081","","","1200810006"
"","none","","0","3","0","","20081","0","","1200810007"
"","","","0","91","","","20081","","","1200810008"
"","103","","104711","13","","","20082","","","1200820001"
"","104","","107111","13","","","20082","","","1200820002"
"","travel_topdrama_r_2000_talk_sad_in","travel_topdrama_r_2000_talk_sad_loop","104711","3","0","1","20082","0.2","","1200820003"
"","vo_travel_talk_20008_00","0","vo_travel_talk","21","0","","20082","","","1200820004"
"0","王宮を離れる機会は何度かあったけど、\nやっぱり落ち着かないな……\n何かあった時に対応が難しいし。","1","104711","11","10","1","20082","0","0","1200820005"
"","","","0","91","","","20082","","","1200820006"
"","travel_topdrama_r_2000_idle_sad","","104711","3","1","","20082","0.2","","1200820007"
"","travel_topdrama_r_2000_talk_doya_in","travel_topdrama_r_2000_talk_doya_loop","107111","3","0","1","20082","0.2","","1200820008"
"","vo_travel_talk_20008_01","0","vo_travel_talk","21","0","","20082","","","1200820009"
"0","今さら不安がっても仕方ないだろう？\nもっと気楽にこの旅を愉しむべきだ。\nまだまだ先は長いのだからな☆","1","107111","11","10","1","20082","0","0","1200820010"
"","","","0","91","","","20082","","","1200820011"
"","travel_topdrama_r_2000_idle_doya","","107111","3","1","","20082","0.2","","1200820012"
"","travel_topdrama_r_2000_talk_guts_in","travel_topdrama_r_2000_talk_guts_loop","104711","3","0","1","20082","0.2","","1200820013"
"","vo_travel_talk_20008_02","0","vo_travel_talk","21","0","","20082","","","1200820014"
"0","ありがとう、クリスちゃん。\n王宮には優秀な部下たちもいるし、\n目の前の仕事に集中するよ。","1","104711","11","10","1","20082","0","0","1200820015"
"","","","0","91","","","20082","","","1200820016"
"","travel_topdrama_r_2000_idle_guts","","104711","3","1","","20082","0.2","","1200820017"
"","","","","112","","","20082","","","1200820018"
"","","","0","91","","","20082","","","1200820019"
"1","104011","42","1","1","101","-68","20091","0.8","travel_topdrama_r_2000_idle_guts2","1200910001"
"0","101511","-42","1","1","102","-68","20091","0.8","travel_topdrama_r_2000_idle_smile","1200910002"
"0","0","0","0","5","110","-75","20091","1","mana","1200910003"
"","","","0","91","","","20091","","","1200910004"
"","0","","10","93","","","20091","","","1200910005"
"","","","1200910005","101","","","20091","","","1200910006"
"","none","","0","3","0","","20091","0","","1200910007"
"","","","0","91","","","20091","","","1200910008"
"","103","","104011","13","","","20092","","","1200920001"
"","104","","101511","13","","","20092","","","1200920002"
"","travel_topdrama_r_2000_talk_guts2_in","travel_topdrama_r_2000_talk_guts2_loop","104011","3","0","1","20092","0.2","","1200920003"
"","vo_travel_talk_20009_00","0","vo_travel_talk","21","0","","20092","","","1200920004"
"0","今回の冒険には、たくさんのギルドが\n参加してるんですよね……？\nもしかして、友達を作るチャンス……？","1","104011","11","10","1","20092","0","0","1200920005"
"","","","0","91","","","20092","","","1200920006"
"","travel_topdrama_r_2000_idle_guts2","","104011","3","1","","20092","0.2","","1200920007"
"","travel_topdrama_r_2000_talk_wish_in_joy","travel_topdrama_r_2000_talk_wish_loop_joy","101511","3","0","1","20092","0.2","","1200920008"
"","vo_travel_talk_20009_01","0","vo_travel_talk","21","0","","20092","","","1200920009"
"0","ふふっ、そうね～\nきっといろんな出会いがあるから、\nいっぱいお話してみるといいわよ～？","1","101511","11","10","1","20092","0","0","1200920010"
"","","","0","91","","","20092","","","1200920011"
"","travel_topdrama_r_2000_idle_wish_joy","","101511","3","1","","20092","0.2","","1200920012"
"","travel_topdrama_r_2000_talk_surprise_in_sad","travel_topdrama_r_2000_talk_surprise_loop_sad","104011","3","0","1","20092","0.2","","1200920013"
"","vo_travel_talk_20009_02","0","vo_travel_talk","21","0","","20092","","","1200920014"
"0","いっぱい……お話……！？\n一気に自信がなくなってきました……\nやっぱり、隅っこを歩きましょう……","1","104011","11","10","1","20092","0","0","1200920015"
"","","","0","91","","","20092","","","1200920016"
"","travel_topdrama_r_2000_idle_surprise_sad","","104011","3","1","","20092","0.2","","1200920017"
"","","","","112","","","20092","","","1200920018"
"","","","0","91","","","20092","","","1200920019"
"1","102611","42","1","1","101","-68","20101","0.8","travel_topdrama_r_2000_idle_sad","1201010001"
"0","103311","-42","1","1","102","-68","20101","0.8","travel_topdrama_r_2000_idle_doya_sad","1201010002"
"0","0","0","0","5","110","-75","20101","1","mana","1201010003"
"","","","0","91","","","20101","","","1201010004"
"","0","","10","93","","","20101","","","1201010005"
"","","","1201010005","101","","","20101","","","1201010006"
"","none","","0","3","0","","20101","0","","1201010007"
"","","","0","91","","","20101","","","1201010008"
"","103","","102611","13","","","20102","","","1201020001"
"","104","","103311","13","","","20102","","","1201020002"
"","travel_topdrama_r_2000_talk_sad_in","travel_topdrama_r_2000_talk_sad_loop","102611","3","0","1","20102","0.2","","1201020003"
"","vo_travel_talk_20010_00","0","vo_travel_talk","21","0","","20102","","","1201020004"
"0","ふぇ～……ふぇ～……！\nもうだいぶ歩かされてるよ～！\n帰りたい～、ごろごろしてたい～！","1","102611","11","10","1","20102","0","0","1201020005"
"","","","0","91","","","20102","","","1201020006"
"","travel_topdrama_r_2000_idle_sad","","102611","3","1","","20102","0.2","","1201020007"
"","travel_topdrama_r_2000_talk_doya_in_sad","travel_topdrama_r_2000_talk_doya_loop_sad","103311","3","0","1","20102","0.2","","1201020008"
"","vo_travel_talk_20010_01","0","vo_travel_talk","21","0","","20102","","","1201020009"
"0","なに言ってるべさ～！\nリンリンこそしっかり歩いて、\n体を鍛え直さねぇと！","1","103311","11","10","1","20102","0","0","1201020010"
"","","","0","91","","","20102","","","1201020011"
"","travel_topdrama_r_2000_idle_doya_sad","","103311","3","1","","20102","0.2","","1201020012"
"","travel_topdrama_r_2000_talk_dead","","102611","3","1","1","20102","0.2","","1201020013"
"","vo_travel_talk_20010_02","0","vo_travel_talk","21","0","","20102","","","1201020014"
"0","そういうの、間に合ってるから……！\nとにかく休憩！　休憩しよ～！\nドングリ食べないと、足が棒になる～！","1","102611","11","10","1","20102","0","0","1201020015"
"","","","0","91","","","20102","","","1201020016"
"","travel_topdrama_r_2000_idle_dead","","102611","3","1","","20102","0.2","","1201020017"
"","","","","112","","","20102","","","1201020018"
"","","","0","91","","","20102","","","1201020019"
"1","104911","42","1","1","101","-68","20111","0.8","travel_topdrama_r_2000_idle_smile","1201110001"
"0","101111","-42","1","1","102","-68","20111","0.8","travel_topdrama_r_2000_idle_normal","1201110002"
"0","0","0","0","5","110","-75","20111","1","mana","1201110003"
"","","","0","91","","","20111","","","1201110004"
"","0","","10","93","","","20111","","","1201110005"
"","","","1201110005","101","","","20111","","","1201110006"
"","none","","0","3","0","","20111","0","","1201110007"
"","","","0","91","","","20111","","","1201110008"
"","103","","104911","13","","","20112","","","1201120001"
"","104","","101111","13","","","20112","","","1201120002"
"","travel_topdrama_r_2000_talk_smile_in","travel_topdrama_r_2000_talk_smile_loop","104911","3","0","1","20112","0.2","","1201120003"
"","vo_travel_talk_20011_00","0","vo_travel_talk","21","0","","20112","","","1201120004"
"0","なにかいい物、落ちてないかな～？\n弟くんが喜びのあまり、お姉ちゃん\n大好き以外の感情を失う宝物とか。","1","104911","11","10","1","20112","0","0","1201120005"
"","","","0","91","","","20112","","","1201120006"
"","travel_topdrama_r_2000_idle_smile","","104911","3","1","","20112","0.2","","1201120007"
"","travel_topdrama_r_2000_shock_in","travel_topdrama_r_2000_talk_shock","101111","3","0","1","20112","0.2","","1201120008"
"","vo_travel_talk_20011_01","0","vo_travel_talk","21","0","","20112","","","1201120009"
"0","いやいやいや、お姉ちゃん？\nそれはもう呪いの装備の類です、\n見つけても持って帰らないでください。","1","101111","11","10","1","20112","0","0","1201120010"
"","","","0","91","","","20112","","","1201120011"
"","travel_topdrama_r_2000_idle_normal","","101111","3","1","","20112","0.2","","1201120012"
"","travel_topdrama_r_2000_talk_wish_in_joy","travel_topdrama_r_2000_talk_wish_loop_joy","104911","3","0","1","20112","0.2","","1201120013"
"","vo_travel_talk_20011_02","0","vo_travel_talk","21","0","","20112","","","1201120014"
"0","え～……まぁ、いいか。\nそんなものに頼らなくても、弟くんは\nお姉ちゃんのこと大好きだしね♪","1","104911","11","10","1","20112","0","0","1201120015"
"","","","0","91","","","20112","","","1201120016"
"","travel_topdrama_r_2000_idle_wish_joy","","104911","3","1","","20112","0.2","","1201120017"
"","","","","112","","","20112","","","1201120018"
"","","","0","91","","","20112","","","1201120019"
"1","101011","42","1","1","101","-68","20121","0.8","travel_topdrama_r_2000_idle_sad","1201210001"
"0","101711","-42","1","1","102","-68","20121","0.8","travel_topdrama_r_2000_idle_guts2_joy","1201210002"
"0","3","-42","3","5","103","-68","20121","0.8","travel_topdrama_r_2012_empty","1201210003"
"0","0","0","0","5","110","-75","20121","1","mana","1201210004"
"","","","0","91","","","20121","","","1201210005"
"","0","","10","93","","","20121","","","1201210006"
"","","","1201210006","101","","","20121","","","1201210007"
"","none","","0","3","0","","20121","0","","1201210008"
"","","","0","91","","","20121","","","1201210009"
"","104","","101011","13","","","20122","","","1201220001"
"","105","","101711","13","","","20122","","","1201220002"
"","travel_topdrama_r_2000_talk_sad_in","travel_topdrama_r_2000_talk_sad_loop","101011","3","0","1","20122","0.2","","1201220003"
"","vo_travel_talk_20012_00","0","vo_travel_talk","21","0","","20122","","","1201220004"
"0","冒険って大変やなぁ～\nうちはちょっと疲れてきたんやけど、\nカオリはんはまだまだ元気そうやね～？","1","101011","11","10","1","20122","0","0","1201220005"
"","","","0","91","","","20122","","","1201220006"
"","travel_topdrama_r_2000_idle_sad","","101011","3","1","","20122","0.2","","1201220007"
"","travel_topdrama_r_2012_raise_in","travel_topdrama_r_2012_raise_loop_talk","101711","3","0","1","20122","0.2","","1201220008"
"","travel_topdrama_r_2012_raise_in","travel_topdrama_r_2012_raise_loop_talk","3","3","0","1","20122","0.2","","1201220009"
"","vo_travel_talk_20012_01","0","vo_travel_talk","21","0","","20122","","","1201220010"
"0","サーターアンダギーのおかげさ～♪\n甘くてお腹もいっぱいなるから、\nマホにもお裾分けしてあげるね～？","1","101711","11","10","1","20122","0","0","1201220011"
"","","","0","91","","","20122","","","1201220012"
"","travel_topdrama_r_2012_raise_loop_idle","","101711","3","1","","20122","0.2","","1201220013"
"","travel_topdrama_r_2012_raise_loop_talk","","3","3","1","","20122","0.2","","1201220014"
"","travel_topdrama_r_2000_talk_smile_in","travel_topdrama_r_2000_talk_smile_loop","101011","3","0","1","20122","0.2","","1201220015"
"","vo_travel_talk_20012_02","0","vo_travel_talk","21","0","","20122","","","1201220016"
