d1589a1bded12db1be87ece5683a3147f3668d8d3e5f6eca4c87d3c22df531d2,adb856a976bbfdcae26f3f9b7d96c95c772ddaf789f437d48b09ddcc90227a9b,9644177e21e4c0f57f70474e9eef05bde055641563e2c11c1f45081bb441ee0c,0231d4a6dfe4b105fb91716137b843b744175715c2604d322fbd794c27da835c,ec4f82d4847c7a70f824371f14cb482847fc567454b043416e52548d8796fa85,b5eeab20144eea928ceda11589229f3f389b45eb30e950088c1120ed79a23b0b
"ミュージック","1000802","2","10008","1","「音楽」のまた別の呼び方。"
"うた","1000803","2","10008","1","声を用いた音楽のこと。"
"ドレミ","1000804","2","10008","1","音の階名を低い順に３つ並べたもの。"
"えのぐ","1000900","1","10009","1","絵の色をつけるための材料。"
"チューブ","1000901","2","10009","1","ペースト上のものをつめる容器。"
"ブルー","1000902","2","10009","1","青色のこと。または憂鬱な様子。"
"あおいえのぐ","1000903","2","10009","1","青色の絵の具。"
"けん","1001000","1","10010","1","刃によって攻撃する武器の総称。"
"ソード","1001001","1","10010","1","「剣」の英語読み。"
"つるぎ","1001002","2","10010","1","もろ刃になっている剣。"
"はもの","1001003","2","10010","1","刃がついている道具や武器のこと。"
"プリンセスソード","1001004","3","10010","1","「ペコリーヌ」の専用装備。ペコリーヌに更なる力を与える、『王家の装備』の真なる姿。"
"めがね","1001100","1","10011","1","視力を補正するために、目の辺りに身に着ける道具。"
"レンズ","1001101","2","10011","1","眼鏡やさまざまなものに用いられる、光を屈折させるための透明な物体。"
"ビンぞこめがね","1001102","2","10011","1","ビンの底のような厚いレンズの眼鏡。"
"ぐるぐるめがね","1001103","2","10011","1","変装に用いられたり、外すと美人だったりする眼鏡。"
"カリンのめがね","1001104","3","10011","1","ギルドハウスの管理人さん「カリン」がかけている眼鏡。"
"むしめがね","1001200","1","10012","1","小さいものを拡大して見るための道具。"
"レンズ","1001201","1","10012","1","虫眼鏡やさまざまなものに用いられる、光を屈折させるための透明な物体。"
"ルーペ","1001202","1","10012","1","「虫眼鏡」のまた別の呼び方。"
"ズーム","1001203","2","10012","1","レンズを用いて、物を大きく見たり小さく見たりする操作。"
"たんていのひっすアイテム","1001204","3","10012","1","名探偵「カスミ」が愛用する探偵道具の一つ。"
"ディテクティブルーペ","1001205","3","10012","1","「カスミ」の専用装備。このルーペと、数々の事件を共にしてきた。"
"にく","1001300","1","10013","1","焼けばジュワっと肉汁あふれる、素敵な食材。"
"りょうり","1001301","2","10013","1","食材を加工して、食べるために味をつけたり整えたりしたも\nの。"
"ミート","1001302","2","10013","1","「肉」の英語読み。"
"ほねつきにく","1001303","2","10013","1","骨についたままの肉。また、その状態のまま料理したもの。骨についているだけでなんだか美味しそうに見える。"
"ドラゴンのにく","1001304","3","10013","1","こんなに立派な骨付き肉、もしかするとエルピス島に存在すると噂される「ドラゴン」のものなのかもしれない。"
"つき","1001400","1","10014","1","夜空に黄金に輝く美しい衛星。"
"まんげつ","1001401","1","10014","1","まん丸に輝いた状態の月。"
"ムーン","1001402","2","10014","1","「月」の英語読み。"
"ルナ","1001403","2","10014","1","「月」のラテン語読み。"
"めいげつ","1001404","3","10014","1","特に美しく見える月。"
"こうもり","1001500","1","10015","1","数少ない飛翔する哺乳類。血を吸うイメージだが、吸血種は極わずかしかいない。"
"バット","1001501","1","10015","1","「こうもり」の英語読み。"
"きゅうけつき","1001502","2","10015","1","民話や伝説に登場する種族。"
"イリヤのけんぞく","1001503","3","10015","1","幼女の頭を撫でたり抱きしめたりするだけの簡単なお仕事。"
"とり","1001600","1","10016","1","鳥類の総称。全身を羽毛に覆われ、翼で飛翔する。"
"まもの","1001601","1","10016","1","ランドソル全土に現れる怪物の総称。"
"バード","1001602","2","10016","1","「とり」の英語読み。"
"ジズ","1001603","3","10016","1","本に封じられていた鳥型の魔物。ハツネ・シオリ姉妹が退治した。"
"くつ","1001700","1","10017","1","足に履く物。小石やガムなどから足の裏を護る文明の極み。"
"ズック","1001701","1","10017","1","「くつ」のまた別の呼び方。最近あんまり言わなくない？"
"シューズ","1001702","2","10017","1","「くつ」の英語読み。行動速度が５くらい上がりそうな読み\n方。"
"かわぐつ","1001703","2","10017","1","おじさんから女子高生まで幅広く愛用されるおしゃれアイテ\nム。残念ながら煮ても食べられない。"
"ブーツ","1001704","2","10017","1","脚を覆う長い靴。特に編み上げの物はおしゃれ度において他の追随を許さない。"
"ねこ","1001800","1","10018","1","ネコ科の哺乳類。人間と馴染みの深い動物で、そのかわいさの前に人間はただただ無力。"
"キャット","1001801","1","10018","1","「ねこ」の英語読み。"
"とらねこ","1001802","2","10018","1","虎のようなしま模様のねこ。タビーとも呼ばれる。"
"にゃんこ","1001803","2","10018","1","猫を指す幼児語。意外と大人も言う。"
"タマキのおともだち","1001804","3","10018","1","猫たちのこと。タマキがご飯を与えているが、出費が馬鹿にならないらしい。"
"きんぎょ","1001900","1","10019","1","観賞用の赤く小さな魚類。縁日ですくわずにはいられないニクいやつ。"
"おさかな","1001901","1","10019","1","魚類の一般的な呼び方。食べると頭がよくなるという噂。"
"さかな","1001902","1","10019","1","魚類の一般的な呼び方。年をとると肉より食べたくなるといわれている。"
"らんちゅう","1001903","2","10019","1","金魚の一種。ずんぐりとした体型で顔がこぶ状に隆起しているのが特徴。"
"ねずみ","1002000","1","10020","1","げっ歯類の一種。"
"マウス","1002001","1","10020","1","「ねずみ」の英語読み。かわいくて愛される方は大体マウス。"
"ちゅーちゅー","1002002","2","10020","1","ねずみの鳴き声、あるいは愛称。"
"ラット","1002003","2","10020","1","「ねずみ」の英語読み。科学実験に用いられる方は大体ラッ\nト。"
"たまご","1002100","1","10021","1","鳥などの雌が産む殻に包まれた球状の物体。"
"エッグ","1002101","2","10021","1","「たまご」の英語読み。"
"こども","1002102","2","10021","1","幼い生き物。基本小さくてかわいい。"
"とりのす","1002103","2","10021","1","鳥のすみかで、ここで産卵を行ったりする。"
"ふね","1002200","1","10022","1","人や物を載せて水上を進む乗り物。"
"クルージング","1002201","2","10022","1","大型の船で航海すること。"
"はんせん","1002202","2","10022","1","帆を張って風力で進む船。"
"シップ","1002203","2","10022","1","「ふね」の英語読み。"
"ぎゅうにゅう","1002300","1","10023","1","牛がだす乳汁。そのまま飲むのはもちろん、チーズやバターなどに加工できる優れもの。"
"ミルク","1002301","1","10023","1","「ぎゅうにゅう」の英語読み。"
"おちち","1002302","2","10023","1","「ぎゅうにゅう」のまた別の呼び方。口に出すのはちょっと恥ずかしい。"
"エリザベス","1002303","3","10023","1","エリザベスパークにいる牛の名前にしてマヒルのパートナー。"
"チョコレート","1002400","1","10024","1","カカオを加工したお菓子。２月14日に大量消費される。"
"おかし","1002401","1","10024","1","通常の食事以外で食す嗜好品。"
"あまいもの","1002402","2","10024","1","甘い味のするもの。疲れた時にほしくなる。"
"カカオ","1002403","2","10024","1","チョコレートの原料。含有量が多いほどビターな味わいにな\nる。"
"ドラちゃんのこうぶつ","1002404","3","10024","1","味をしめたらしい。"
"どんぐり","1002500","1","10025","1","硬い木の実。人が食すにはあまり適さないが、子どもの収集欲を刺激する魅惑の木の実。"
"きのみ","1002501","1","10025","1","木になる実。"
"ナッツ","1002502","2","10025","1","硬い殻に包まれた食用の実。お菓子に入れたり酒のつまみにと色々重宝する。"
"リンのおやつ","1002503","3","10025","1","アンパンほどではないが、好きらしい。バトルのときは敵にぶつけてスタンさせる。"
"いちご","1002600","1","10026","1","小さく甘酸っぱい果物。種と思われる粒々は実は果実。"
"ストロベリー","1002601","1","10026","1","「いちご」の英語読み。"
"ジャム","1002602","2","10026","1","果物を加工した食品。パンやクラッカーに塗ったり、紅茶に入れたりする。"
"とら","1002700","1","10027","1","大型のネコ科の猛獣。肉食。酔っぱらいを指す言葉としても使われる。"
"タイガー","1002701","1","10027","1","「とら」の英語読み。"
"ねこ","1002702","2","10027","1","ネコ科の哺乳類。人間となじみの深い動物で、そのかわいさの前に人間はただただ無力。"
"けもの","1002703","2","10027","1","全身を毛におおわれ、四足で歩く哺乳類。"
"マツリのあこがれ","1002704","3","10027","1","トラタイガー！"
"むてきヒーロートラタイガー","1002705","3","10027","1","マツリが憧れる正義のヒーロー。名前にツッコんではいけな\nい。"
"ぬいぐるみ","1002800","1","10028","1","布を縫合し綿などを詰めて人や動物を似せて形作ったもの。"
"うさぎ","1002801","1","10028","1","長い耳と短い尻尾がかわいい哺乳類。ペットとしても人気が高い。"
"にんぎょう","1002802","1","10028","1","人や生き物を模ったもの。材質も様々で、玩具や観賞用、祭礼と用途は様々。"
"ラビット","1002803","2","10028","1","「うさぎ」の英語読み。"
"アーサー","1002804","3","10028","1","マホのぬいぐるみの一体。名称はアーサー王と円卓の騎士がモチーフ。"
"ばくだん","1002900","1","10029","1","爆発による熱と衝撃で対象を破壊、殺傷する兵器。超危ない。"
"ボム","1002901","1","10029","1","「ばくだん」の英語読み。"
"きけんぶつ","1002902","2","10029","1","生物や環境に危険を及ぼす可能性のある物質。取り扱いには資格が必要になることもある。"
"とびどうぐ","1002903","2","10029","1","遠くから飛ばして攻撃するタイプの武器のこと。反則的な発想やアイデアという意味で使われることもある。"
"ミソギのいたずらグッズ","1002904","3","10029","1","一度ちゃんと怒られた方がいい。"
"すいか","1003000","1","10030","1","ウリ科の大きな果実。緑のしま模様の皮、赤い果肉と黒い種が印象的。"
"こだますいか","1003001","2","10030","1","小ぶりのスイカ。小玉といえどまあまあデカい。"
"なつのふうぶつし","1003002","2","10030","1","夏の感じを表す物事。スイカの他に海や花火など。"
"うま","1003100","1","10031","1","ウマ科の大型の哺乳類。力が強く速く走れるため、家畜や競走馬としてなじみ深い。"
"ろば","1003101","1","10031","1","ウマ科の哺乳類。馬に比べて小型だが力が強く労働力として重宝される。"
"ホース","1003102","2","10031","1","「うま」の英語読み。"
"ぱかぱか","1003103","2","10031","1","馬が歩く時のひづめの音。"
"サラブレッド","1003104","2","10031","1","馬の種類で競走用に品種改良されたもの。"
"ムーバ","1003105","3","10031","1","クランバトルに登場する馬型の魔物。"
"いす","1003200","1","10032","1","腰かけるための家具。役職、地位を示す意味もある。"
"かぐ","1003201","2","10032","1","室内に配置して日常的に使用する道具の総称。"
"チェア","1003202","2","10032","1","「いす」の英語読み。"
"ギルドハウスアイテム","1003203","3","10032","1","ギルドハウスに置く家具や装飾品。豪華なデザインからユニークなものまで、そのバリエーションは非常に豊か。"
"うみ","1003300","1","10033","1","陸地以外の凹所にひとつづきに水がたたえている場所。"
"かいがん","1003301","1","10033","1","陸地が海と接する部分。"
"ビーチ","1003302","1","10033","1","海辺。海水浴場として用いられることもある。ここでものを食べるとなんだかとても美味い。"
"しおさい","1003303","2","10033","1","寄せてくる波が立てる音。貝殻に耳を当ててもそれっぽい音が聞こえる。"
"すなはま","1003304","2","10033","1","砂ばかりの浜辺。城を建てたり埋まってみたりと楽しみ方は無限大。"
"マルジェンかいがん","1003305","3","10033","1","ランドソルから徒歩で行ける人気のビーチだが、よく魔物が現れるので意外と物騒。"
"やどかり","1003400","1","10034","1","貝殻を背負って生活する甲殻類。"
"かいがら","1003401","2","10034","1","貝類の外側を覆う殻。砂浜に落ちているとつい集めたくなる。"
"こうかくるい","1003402","2","10034","1","硬い外骨格を持つ節足動物。エビ、カニはもちろんミジンコもこれにあたる。"
"ハーミットナイト","1003403","3","10034","1","ランドソルのいたる所に現れる魔物。鎧のような見た目の通り硬くて厄介な敵。"
"ふえ","1003500","1","10035","1","一般的に木管楽器を指す言葉。縦笛と横笛に分けられる。"
"リコーダー","1003501","1","10035","1","木管楽器の一種。チャンバラごっこに使ってはいけない。"
"かんがっき","1003502","2","10035","1","楽器の分類のうちのひとつ。息を吹き込み管内の空気を振動させ音を出す。"
"たてぶえ","1003503","2","10035","1","縦に構えて吹く笛。リコーダーやクラリネットなど。"
"ほん","1003600","1","10036","1","紙の束に文字や図画を印刷し製本したもの。"
"ノート","1003601","1","10036","1","文字や絵を書き記すための文房具。"
"しょうせつ","1003602","2","10036","1","創作の物語。恋愛、歴史、ミステリーなどジャンルは多岐にわたる。"
"ブック","1003603","2","10036","1","「ほん」の英語読み。"
"キャルのまどうしょ","1003604","3","10036","1","本なの？　それとも杖なの？"
"さかな","1003700","1","10037","1","魚類の一般的な呼び方。食べると頭がよくなるという噂。"
"おさかな","1003701","1","10037","1","魚類の一般的な呼び方。年をとると肉より食べたくなるといわれている。"
"かつお","1003702","2","10037","1","魚の一種。刺身が美味い。かつおぶしなどの加工品でもおなじみ。"
"まぐろ","1003703","2","10037","1","魚の一種。でかくて美味い高級魚。寿司といえばこれ。"
"フィッシュ","1003704","2","10037","1","「さかな」の英語読み。"
"うお","1003705","2","10037","1","「さかな」のまた別の呼び方。"
"ツリー","1003800","1","10038","1","樹木のこと。"
"クリスマス","1003801","1","10038","1","いつから、どうしてなのかは不明だがサンタクロースがプレゼントをくれる日。"
"もみのき","1003802","2","10038","1","クリスマスツリーに用いられる針葉樹。大きいものは40ｍにもなる。"
"キャロル","1003803","2","10038","1","クリスマスに歌われる祝歌。"
"ぼうきゃくのキャロル","1003804","3","10038","1","チカとサレンディア救護院に起きた、聖なる夜の奇跡の物語。"
"あめ","1003900","1","10039","1","砂糖などを煮詰め固めた菓子。"
"キャンディ","1003901","1","10039","1","「あめ」の英語読み。"
"ロリポップ","1003902","2","10039","1","棒つきの飴。"
"クロエのおやつ","1003903","3","10039","1","持ってるだけで絵になる。"
"ハンマー","1004000","1","10040","1","頭が金属でできた鈍器。叩かれるととても痛い。"
"ピコピコハンマー","1004001","1","10040","1","頭がやわらかいじゃばらでできたおもちゃ。叩かれるとコミカルな音が鳴る。"
"かなづち","1004002","2","10040","1","頭が金属でできた鈍器。叩かれるととても痛い。"
"こづち","1004003","2","10040","1","小さな槌。振ることによりいろんなものがでてくるとかこないとか。"
"イノリのえもの","1004004","3","10040","1","イノリの得物。かわいらしい動作から繰り広げられる攻撃は凶悪。"
"ほし","1004100","1","10041","1","夜空に光る天体。"
"ごかくけい","1004101","1","10041","1","５つの頂点と辺を持つ多角形。"
"スター","1004102","1","10041","1","「ほし」の英語読み。"
"ずけい","1004103","2","10041","1","面や点、線、立体、またはそれらの集まり。"
"ひとで","1004104","2","10041","1","星形の海洋生物。食用には適さない。"
"きらきら","1004105","2","10041","1","光る様子の表現の一つ。"
"ランドソルのかたち","1004106","3","10041","1","空から見ないと分からない。"
"ぼうし","1004200","1","10042","1","頭にかぶる装身具。"
"ハット","1004201","1","10042","1","「ぼうし」の英語読み。"
"やまたかぼう","1004202","2","10042","1","「ぼうし」の種類の一部。"
"シルクハット","1004203","2","10042","1","「ぼうし」の種類の一部。"
"カップ","1004300","1","10043","1","飲み物などを入れる容器。"
"コーヒー","1004301","1","10043","1","苦い飲み物。大人の味。"
"マグ","1004302","2","10043","1","「コップ」の種類の一部。"
"いぬ","1004400","1","10044","1","ワンワン吠える動物。"
"ドッグ","1004401","1","10044","1","「いぬ」の英語読み。"
"おおかみ","1004402","2","10044","1","「いぬ」の仲間。野生の力だ。"
"ウルフ","1004403","2","10044","1","「いぬ」の仲間。ワイルドの力だ。"
"わんこ","1004404","2","10044","1","「いぬ」のまた別の呼び方。"
"はた","1004500","1","10045","1","ひらひらした布。"
"フラッグ","1004501","1","10045","1","「はた」の英語読み。"
"ケーキ","1004600","1","10046","1","素敵なおかし。甘くて美味しい。"
"おかし","1004601","1","10046","1","素敵な食べ物。"
"ぎふと","1004602","2","10046","1","贈り物に最適。"
"きずなポイント","1004603","3","10046","1","絆の深さは共に過ごす時間だけではない。カロリーもまた絆の証…"
"ミックスベリーケーキ","1004604","3","10046","1","みんな大好き。何がとは言わないが30Pt加算される。"
"マイク","1004700","1","10047","1","音を信号に変換する装置。"
"うた","1004701","1","10047","1","マイクは歌の必需品！"
"ライブ","1004702","1","10047","1","ステージでの生演奏。"
"アイドルのひっすアイテム","1004703","2","10047","1","これがなくちゃはじまらない。"
"ブリリアントマイク","1004704","3","10047","1","「ノゾミ」の専用装備。カルミナマーク入り！"
"くちべに","1004800","1","10048","1","口元を引き立たせる化粧品。"
"リップ","1004801","1","10048","1","「くちべに」の英語読み。"
"ルージュ","1004802","2","10048","1","「くちべに」のまた別の呼び方。本来は赤の意味。"
"もち","1004900","1","10049","1","穀物を蒸してついた。縁起物でもある。"
"おもち","1004901","1","10049","1","「もち」のまた別の呼び方。"
"かがみもち","1004902","2","10049","1","正月に神仏に供える、大小ふたつ重ねの餅。"
"たんすいかぶつ","1004903","2","10049","1","もちの主な栄養素。とりすぎに注意。"
"ライスケーキ","1004904","2","10049","1","「もち」の英語読み。"
"ようせい","1005000","1","10050","1","小さくて羽の生えた種族。"
"フェアリー","1005001","2","10050","1","「ようせい」の英語読み。"
"ネビア","1005002","3","10050","1","ギルドハウスに住んでいるいたずら妖精。"
"かさ","1005100","1","10051","1","雨や日差しを避ける道具。"
"アンブレラ","1005101","1","10051","1","主に雨を避けるためのかさ。"
"パラソル","1005102","2","10051","1","主に日差しを避けるためのかさ。"
"ひがさ","1005103","2","10051","1","主に日差しを避けるためのかさ。"
"ペコリーヌサマー","1005104","3","10051","1","真夏のビーチプリンセスの必需品！"
"さいころ","1005200","1","10052","1","乱数を発生させるための道具。"
"ダイス","1005201","1","10052","1","「さいころ」の英語読み。"
"ギャンブル","1005202","2","10052","1","賭け事。さいころの目で一喜一憂。"
"りっぽうたい","1005203","2","10052","1","一般的なさいころの形。"
"すごろく","1005204","2","10052","1","サイコロを使ったボードゲーム。"
"てがみ","1005300","1","10053","1","言葉では伝えられない思いを文字にして。"
"レター","1005301","2","10053","1","「てがみ」の英語読み。"
"メール","1005302","2","10053","1","「てがみ」の英語読み。"
"おたより","1005303","2","10053","1","「てがみ」のまた別の呼び方。"
"ラブレター","1005304","2","10053","1","愛を伝えるための手紙。"
"ブドウ","1005400","1","10054","1","房になる。となりのものは酸っぱいらしい。"
"グレープ","1005401","1","10054","1","「ぶどう」の英語読み。"
"きょほう","1005402","2","10054","1","「ぶどう」の種類の一部。"
"デラウェア","1005403","2","10054","1","「ぶどう」の種類の一部。たねがない。"
"ひつじ","1005500","1","10055","1","もこもこの毛の動物。"
"シープ","1005501","2","10055","1","「ひつじ」の英語読み。"
"メリーさんのひつじ","1005502","2","10055","1","かわいいな～♪"
"とうふ","1005600","1","10056","1","豆からつくられるトーゴク料理。"
"もめんどうふ","1005601","2","10056","1","「とうふ」の種類の一部。ワイルドなくちあたり。"
"きぬごしどうふ","1005602","2","10056","1","「とうふ」の種類の一部。繊細なくちあたり。"
"ひややっこ","1005603","2","10056","1","代表的なとうふ料理。"
"あひる","1005700","1","10057","1","飛べない鳥。がーがーなく。"
"がちょう","1005701","1","10057","1","飛べない鳥。ぐわぐわなく。"
"グース","1005702","2","10057","1","「がちょう」の英語読み。"
"ダック","1005703","2","10057","1","「あひる」の英語読み。"
"とり","1005704","2","10057","1","飛べる鳥もいる。飛べない鳥もいる。"
"とんぼ","1005800","1","10058","1","空を飛ぶ昆虫。"
"やんま","1005801","2","10058","1","「とんぼ」の種類の一部。"
"オニヤンマ","1005802","2","10058","1","「とんぼ」の種類の一部。大きい。"
"ドラゴンフライ","1005803","2","10058","1","「とんぼ」の英語読み。強そう。"
"はっぱ","1005900","1","10059","1","葉。"
"このは","1005901","1","10059","1","木のはっぱ。"
"リーフ","1005902","2","10059","1","「葉っぱ」の英語読み。"
"くさ","1005903","2","10059","1","樹木にならない植物。雑草。"
"アオイのともだち","1005904","3","10059","1","アオイが気兼ねなく話せる数少ないともだち。ともだちです。"
"ゆびわ","1006000","1","10060","1","指につける装身具。"
"リング","1006001","1","10060","1","「ゆびわ」の英語読み。輪。"
"わっか","1006002","1","10060","1","まーるい輪。"
"なわ","1006100","1","10061","1","麻などで編まれた頑丈なひも。いろいろなものを縛ったりす\nる。"
"ロープ","1006101","1","10061","1","「なわ」の英語読み。"
"ひも","1006102","1","10061","1","細いなわ。"
"つな","1006103","1","10061","1","「ロープ」のまた別の呼び方。"
"クウカのまるひアイテム","1006104","3","10061","1","ぐふふふふ。"
"エクスタシー","1006105","3","10061","1","クウカは、クウカはぁ～！"
"たて","1006200","1","10062","1","攻撃を防ぐための板状の防具。"
"シールド","1006201","1","10062","1","「たて」の英語読み。"
"ガード","1006202","2","10062","1","何かを防ぐものの総称。"
"ぼうぐ","1006203","2","10062","1","身を守る装具。"
"バックラー","1006204","2","10062","1","攻撃を受けるのではなく逸らすための盾。"
"インフェルノシールド","1006205","3","10062","1","ジュンのユニオンバースト。あらゆる攻撃を受け止める！"
"おかね","1006300","1","10063","1","貨幣。食べ物ではない。"
"かね","1006301","1","10063","1","「おかね」のまた別の呼び方。食べ物ではない。"
"マネー","1006302","2","10063","1","「おかね」の英語読み。食べ物ではない。"
"こぜに","1006303","2","10063","1","少額の貨幣。食べ物ではない。"
"きんか","1006304","2","10063","1","金でできた貨幣。食べ物ではない。"
"ルピ","1006305","3","10063","1","ランドソルで使われる通貨単位。食べ物ではない。"
"ギルドハウスかぐこうにゅう","1006306","3","10063","1","ルピの主な使い道。食べ物も、ある。"
"プリンアラモード","1006400","1","10064","1","全てのおやつを総べるおやつのなかのおやつなの。"
"デザート","1006401","1","10064","1","食後に食べるの。プリンが最適なの。"
"スイーツ","1006402","2","10064","1","甘い物なの。つまりプリンなの。"
"ミヤコのおやつ","1006403","3","10064","1","全てのプリンはミヤコのものなの。"
"ネックレス","1006500","1","10065","1","首元を彩るアクセサリー。"
"ペンダント","1006501","1","10065","1","首から下げるアクセサリー。"
"アクセサリー","1006502","2","10065","1","装身具。オシャレするならマストアイテム。"
"くびかざり","1006503","2","10065","1","「ネックレス」のまた別の呼び方。"
"いなほ","1006600","1","10066","1","稲の穂。お米がとれる。"
"たんぼ","1006601","2","10066","1","稲作用の耕作地。水を張るなど管理が大変。"
"こめ","1006602","2","10066","1","稲を精製した穀物。ごはん！"
"おこめ","1006603","2","10066","1","「こめ」のまた別の呼び方。"
"むぎ","1006604","2","10066","1","パンのもとになる穀物。"
"しょうゆ","1006700","1","10067","1","豆からつくるトーゴク独自のソース。"
"ソイソース","1006701","2","10067","1","「しょうゆ」の英語読み。お豆のソース。"
"ちょうみりょう","1006702","2","10067","1","味付けに使う。"
"ベルトコンベア","1006800","1","10068","1","流れ作業を行うための機械。"
"こうじょう","1006801","2","10068","1","製品の大量生産を行う施設。"
"ファクトリー","1006802","2","10068","1","「こうじょう」の英語読み。"
"たいやきこうじょう","1006803","3","10068","1","【メルクリウス財団】の威信をかけた一大事業。あの時爆発さえしなければ…"
"シャンデリア","1006900","1","10069","1","きらびやかで豪華な照明器具。"
"あかり","1006901","2","10069","1","暗闇を照らす光。"
"しお","1007000","1","10070","1","しょっぱい。"
"ソルト","1007001","2","10070","1","「しお」の英語読み。"
"ちょうみりょう","1007002","2","10070","1","味付けに使う。"
"うずしお","1007100","1","10071","1","激しく渦を巻く潮の流れ。"
"ぐるぐる","1007101","2","10071","1","目で追うとフラフラしてくる。"
"つりざお","1007200","1","10072","1","魚をとるための道具。うまく扱うにはコツが必要。"
"ロッド","1007201","2","10072","1","「つりざお」の英語読み。"
"ルカのしゅみごと","1007202","3","10072","1","腕前はプロ級らしい。"
"なべ","1007300","1","10073","1","食べ物などを煮るための調理器具。"
"おなべ","1007301","1","10073","1","「なべ」のまた別の呼び方。"
"ずんどう","1007302","2","10073","1","「なべ」の一種。大きい。"
"カレー","1007303","2","10073","1","みんな大好き。においを嗅いだ瞬間にもう食べたくなるスパイスの魔術。"
"シチュー","1007304","2","10073","1","肉や野菜を入れた煮込み料理。これをおかずにご飯が食べられるかで議論が起こる。"
"シーソー","1007400","1","10074","1","両端に乗ってギッタンバッコン。"
"ゆうぐ","1007401","2","10074","1","公園においてある遊び道具。"
"ぎったんばっこん","1007402","2","10074","1","シーソーの音。"
"こうえんあそび","1007403","2","10074","1","公園に集合ね！"
"ふで","1007500","1","10075","1","絵や字を書くどうぐ。"
"しょどう","1007501","2","10075","1","トーゴクの文化デース！"
"もうひつ","1007502","2","10075","1","「ふで」のまた別の呼び方。"
"おしゅうじ","1007503","2","10075","1","習い事の定番。"
"すずり","1007504","2","10075","1","墨をする道具。"
"とーごくぶんか","1007505","3","10075","1","ランドソルから遙か東の方にあるという国の文化。ニンジャ、サムライ、フジヤマ、ゲイシャなどがある。ニノンの憧れ。"
"きんトレ","1007600","1","10076","1","主にパワーをアップさせるためのトレーニング。"
"ダンベル","1007601","1","10076","1","トレーニング器具。"
"マッスル","1007602","2","10076","1","筋肉！"
"ウェイトトレーニング","1007603","2","10076","1","重い物をもちあげるトレーニング。"
"おばけ","1007700","1","10077","1","おばけなの。プリンをよこすの。"
"ゆうれい","1007701","1","10077","1","ゆうれいなの。プリンをよこすの。"
"ミヤコ","1007702","3","10077","1","ミヤコなの！　プリンをよこすの。"
