236adb9ea389cc93178b15615f2e428f7364a0e2baa66a24ba2ffd8b32294054,9d2871e5bda972168a38f9a536adb83073b0dde3688cd056c420f4ee69fd7258,ca4dc272494246459e44d2a509f3412f0da65642aadf90e6e5a4393f5b7997b9,f1f8a5137b44a700ec1f5113acfde0578e1806f681026077772ea2521f6c4d79,7fd348ea4084b362d7b0552244811145fe59c20a4e56c2ee7a29e9ef154041e7,c30641089a7fc16300c85350c5538fc7a82fecc7e1d67aff2d332596a36f11b5,d529538dcb015deefa5a0651678ed87b0ea854f5ea8f307a6a04a446980641cb,fb225f46e62f52c9f029ef9f36746d6df37e19400e6e4a2a0326ebc563767b1a,02932b13dc83cd45abf3669f5ee303fb3ae172b7cf906d7983b613fad10f7864,913c626e04eec7df0e5047fcd6c9749cc0d0a772a12c583c868cd4306bba0ea7,71120b11d63ad9f8de093134ba6cbecb0835d683e4950c5151424e5f50f8be66
"20042","0","ニノン","117801","0","2","1000","0","1","0","0"
"20042","0","スズナ","117901","0","3","1000","0","1","0","0"
"20043","0","イオ","119001","0","1","1000","0","1","0","0"
"20043","0","クウカ","119101","0","2","1000","0","1","0","0"
"20048","0","クルミ","121301","0","1","1000","0","1","0","0"
"20048","0","ミサキ","121401","0","2","1000","0","1","0","0"
"20049","0","アユミ","121501","0","1","1000","0","1","0","0"
"20049","0","イノリ","121601","0","2","1000","0","1","0","0"
"20051","0","ユカリ","122201","0","1","1000","0","1","0","0"
"20051","0","アオイ","122101","0","2","1000","0","1","0","0"
"20051","0","ジュン","123401","0","3","1000","0","1","0","0"
"20054","0","マホ","123101","0","1","1000","0","1","0","0"
"20054","0","アヤネ","123201","0","2","1000","0","1","0","0"
"20055","0","トモ","123601","0","1","1000","0","1","0","0"
"20055","0","リン","123501","0","2","1000","0","1","0","0"
"20055","0","ナナカ","123701","0","3","1000","0","1","0","0"
"20056","0","マツリ","123901","0","1","1000","0","1","0","0"
"20056","0","クリスティーナ","123801","0","2","1000","0","1","0","0"
"20061","0","モニカ","125201","0","1","1000","0","1","0","0"
"20061","0","タマキ","125101","0","2","1000","0","1","0","0"
"10151","0","シノブ","127101","0","1","1000","0","1","0","0"
"10151","0","クウカ","127001","0","2","1000","0","1","0","0"
"10151","0","ランファ","126901","0","3","1000","0","1","0","0"
"10151","0","ドクロ親父","427101","0","4","1000","0","1","0","0"
"10144","0","スズメ","130801","0","1","1000","0","1","0","0"
"10144","0","キョウカ","130701","0","2","1000","0","1","0","0"
