56c4336f8dbf4bc1591ebe397a3318a090fea6720ef09a71ab54d07902b15b95,21874119188c5d7154effcc2c7577e7bd114f1efb7a7127adb1ac0feea99d91e,024950c95d846a365efcaa80f6709254592ef06e7ea480a3479401bbeb67ab6f,3b2bc949c4afe42a19f944a125d2a9d9f6153e2fc8a3deceff4473d04508a6d7,271c02b93d4c312317f66eae81facd9cf8bc59dcf14bfd91343ff2441323c466,7acc55d9987bf6d8dba3deceff4400726563d0b94d5b92faba740b5921cd455f,e3d90411789a3674a611c192e9ad5095f3d9fa75cd3ec5d6a625acfa1ac7894c,0cf05e5d69c072b815f0462b2ec407665ce2d4b5e74cc09993496a704a4412c1,9a863683baebf234480cbbe53a55b1048d5f80d2daf0cadb37dbaa5c4cb1a516,f0aa892b5962ccb903a693397cf9abc2b98057ce0008922c06964fec5e693871,d68421fccfd75308bfca493166e0ddf0971535ab90a35eed9e82c11328e059cc,64564e41562d4ab1b460cf897fd93ad6116006ff5d0006fed508a48cd99ba8d3,4e9ca6427aea709387b05486f87ccbd0180810cb644a87dff6b9745437592198,9929ac1dbc7e447b6cd3e48aaa84ff239d79f60d02ea32b2aa53022c3e6c7260,c2b91f847919303d8039fd7bd73f6a1e252c3911586c60aa5424d94d5393c748,adf6a22e5723b9cf7f5d4f25d0803b557554d0800f1c18a8aae5166260b8528c,9e481d751fc88e5bc9e53bfae5835a737099b22cb8e8b699265dbf706755e560,68d8c5e7b8e46951db60db66fec5335a14b3ca24e3b0854ec3c1f8e0eb268579,b5e982f4cd6186aa64876019082451827dd07f0d51fb158ff903eceba1357229,5d737e4de0b9875c836db16c8dba66a79a4c34294b97e9e348422fa0ae41d8e0,ab7f9874505a29ba807c1e2eef1a5134897cca3fc52b6e70bde2a12df6a18a84
"BeachJumpBoard","1058","SummerEnemyC","NONE","BeachJumpBoard","BeachJumpBoard","0","0","0","0","1200","NONE","0","NONE","NONE","0","2100","NONE","NONE","3500","300"
"BeachJumpOverTrap","1059","BeachJumpOverTrap","BeachTrap","BeachJumpOverTrap","BeachJumpOverTrap","3600","0","0","0","1200","BeachTrap","3000","NONE","NONE","0","1800","NONE","NONE","2400","600"
"NONE","1060","NONE","NONE","BeachJumpBoard","BeachJumpBoard","0","0","0","0","2500","NONE","0","NONE","NONE","0","0","NONE","NONE","0","1300"
"BeachJumpBoard","1061","SummerJumpOverEnemyB","NONE","BeachJumpBoard","BeachJumpBoard","0","0","0","0","1200","NONE","0","NONE","NONE","0","2100","NONE","NONE","3500","300"
"AccelBoardA","1062","BeachJumpOverTrap","NONE","SummerEnemyD","BeachTrap","0","0","0","0","1200","BeachJumpOverTrap","3300","NONE","NONE","0","1800","NONE","NONE","2600","500"
"AccelBoardA","1063","NONE","NONE","BeachJumpBoard","SpeedTerritoryB","0","0","0","0","2300","NONE","0","NONE","NONE","0","3300","NONE","NONE","0","700"
"ShellFlyingItem","1064","EnemyB","SummerEnemyG","SpeedTerritoryB","ShaveIce","2800","0","3200","0","1200","ShellFlyingItem","2400","NONE","NONE","0","1600","ShellFlyingItem","NONE","2000","600"
"ShaveIce","1065","EnemyB","SummerEnemyA","SummerEnemyD","BeachTrap","2400","0","2800","3600","800","ShellFlyingItem","2000","SummerEnemyG","SummerEnemyG","3200","1200","ShellFlyingItem","NONE","1600","400"
"SummerEnemyG","1066","ShaveIce","SummerEnemyC","BeachJumpBoard","SummerEnemyA_NoColl","2800","0","3200","0","800","EnemyB","2400","NONE","SummerEnemyG","3600","1600","SummerEnemyG","NONE","2000","400"
"AccelBoardA","1067","SpeedTerritoryA","EnemyB","AccelBoardA","AccelBoardA","3200","0","3600","0","1100","ShaveIce","2800","NONE","NONE","0","1800","SummerEnemyA","NONE","2400","400"
"WaterMelon","1068","ShaveIce","NONE","WaterMelon","WaterMelon","0","0","0","0","1300","NONE","0","NONE","NONE","0","2000","NONE","NONE","2700","300"
"WaterMelon","1069","WaterMelon","NONE","WaterMelon","WaterMelon","0","0","0","0","1200","NONE","0","NONE","NONE","0","2200","NONE","NONE","3200","300"
"WaterMelon","1070","ShaveIce","NONE","WaterMelon","WaterMelon","0","0","0","0","1150","NONE","0","NONE","NONE","0","1850","NONE","NONE","2550","300"
"WaterMelon","1071","ShaveIce","NONE","WaterMelon","WaterMelon","0","0","0","0","1000","NONE","0","NONE","NONE","0","1700","NONE","NONE","2400","300"
"SummerEnemyA","1072","WaterMelon","NONE","BeachTrap","SpeedTerritoryB","0","0","0","0","800","NONE","0","NONE","NONE","0","1200","NONE","NONE","1600","400"
"SummerEnemyB","1073","Balloon","NONE","BeachTrap","SpeedTerritoryB","0","0","0","0","800","NONE","0","NONE","NONE","0","1200","NONE","NONE","1600","400"
"SummerEnemyC","1074","BeachJumpBoard","NONE","BeachTrap","SpeedTerritoryB","0","0","0","0","800","NONE","0","NONE","NONE","0","1200","NONE","NONE","1600","400"
"SummerEnemyD","1075","ShaveIce","NONE","BeachTrap","SpeedTerritoryB","0","0","0","0","800","NONE","0","NONE","NONE","0","1200","NONE","NONE","1600","400"
"EnemyB","1076","ShaveIce","ShellFlyingItem","SummerEnemyD","SummerJumpOverEnemyC","3000","0","3600","0","800","EnemyB","2400","NONE","NONE","0","1200","SummerEnemyG","NONE","1800","400"
"SpeedTerritoryA","1077","ShaveIce","EnemyB","SpeedTerritoryA","WaterMelon","3200","0","3600","0","800","SummerEnemyC","2600","NONE","NONE","0","1600","SummerEnemyG","NONE","2000","400"
"SummerEnemyB","1078","SummerEnemyG","SummerEnemyG","Surf","ShellFlyingItem","3600","0","3600","0","800","BeachJumpOverTrap","2800","NONE","NONE","0","1600","NONE","NONE","2000","400"
"BeachTrap","1079","Surf","ShellFlyingItem","BeachTrap","BeachJumpOverTrap","2400","0","2800","0","800","ShellFlyingItem","2000","NONE","NONE","0","1200","SummerEnemyB","NONE","1600","400"
"BeachTrap_NoCall","1080","SummerEnemyB","Surf","BeachJumpBoard","SummerEnemyA_NoColl","2000","0","2400","3200","700","SummerEnemyC","1600","SummerEnemyB","ShellFlyingItem","2800","1000","SummerEnemyB","NONE","1300","400"
"ShellFlyingItem","1081","SummerEnemyB","BeachTrap","SummerEnemyA","Surf","2800","0","3600","0","800","SummerEnemyB","2000","NONE","NONE","0","1200","BeachJumpOverTrap","NONE","1600","400"
"BeachTrap","1082","SurfB","SummerEnemyB","SurfB","ShellFlyingItem","3200","0","3600","0","800","SummerEnemyB","2400","NONE","NONE","0","1600","BeachJumpOverTrap","NONE","2000","400"
"ShellFlyingItem","1083","SummerEnemyB","SummerEnemyC","SpeedTerritoryA","SurfB","2600","0","3000","0","800","Surf","2000","NONE","SummerEnemyG","3400","1100","ShellFlyingItem","NONE","1800","400"
"ShellFlyingItem","1084","SummerEnemyC","SummerEnemyG","Surf","EnemyB","2800","0","3600","0","800","SurfB","2500","NONE","NONE","0","1500","SummerEnemyC","NONE","1800","300"
"BeachJumpOverTrap","1085","SummerEnemyC","SummerEnemyG","SurfB","EnemyB","2800","0","3600","0","800","SurfB","2500","NONE","NONE","0","1500","SummerEnemyC","NONE","1800","300"
"ShellFlyingItem","1086","SummerEnemyC","SummerEnemyG","Surf","EnemyB","2800","0","3600","0","800","SurfB","2500","NONE","NONE","0","1500","BeachJumpOverTrap","NONE","1800","300"
"ShellFlyingItem","1087","SummerEnemyC","SummerEnemyG","Surf","EnemyB","2800","0","3600","0","800","SurfB","2500","NONE","NONE","0","1500","BeachTrap","NONE","1800","300"
"NONE","1088","NONE","NONE","Carpet500","NONE","0","0","0","0","0","NONE","0","NONE","NONE","0","0","NONE","NONE","0","400"
"BeachTrap","1089","BeachJumpOverTrap","BeachJumpOverTrap","SummerEnemyA","SummerEnemyB","3000","0","3500","0","1000","AccelBoardA","2600","NONE","NONE","0","1500","SummerJumpOverEnemyA","NONE","2100","500"
"SummerJumpOverEnemyA","1090","AccelBoardA","SummerEnemyC","BeachTrap","SpeedTerritoryA","2800","0","3300","0","900","SummerEnemyB","2300","NONE","NONE","0","1500","BeachTrap","NONE","1900","400"
"SummerEnemyA","1091","SummerEnemyB","NONE","WaterMelon","BeachTrap","0","0","0","0","1500","SummerEnemyA","3200","NONE","NONE","0","2200","NONE","NONE","2700","500"
"BeachTrap","1092","SummerJumpOverEnemyA","BeachTrap","BeachJumpOverTrap","SummerEnemyA","3300","0","0","0","1100","SpeedTerritoryA","2600","NONE","NONE","0","1700","NONE","NONE","2200","600"
"ShellFlyingItem","1093","ShaveIce","SummerEnemyC","Surf","EnemyB","3400","0","0","0","900","SummerEnemyG","3000","NONE","NONE","0","1500","NONE","NONE","2600","500"
"ShaveIce","1094","EnemyB","SummerEnemyC","SummerEnemyC","BeachJumpOverTrap","3400","0","0","0","800","SummerEnemyG","2700","NONE","NONE","0","1300","NONE","NONE","2000","400"
"SpeedTerritoryA","1095","ShaveIce","ShellFlyingItem","BeachTrap","WaterMelon","3300","0","0","0","1000","SummerEnemyC","2800","NONE","NONE","0","1900","NONE","NONE","2300","500"
"SummerEnemyB","1096","ShaveIce","SummerEnemyC","SummerJumpOverEnemyA","BeachJumpBoard","3500","0","0","0","900","ShellFlyingItem","3000","NONE","NONE","0","1800","NONE","NONE","2500","400"
"AccelBoardA","1097","SummerEnemyC","SummerEnemyB","SummerEnemyA","SpeedTerritoryA","3000","0","3400","0","800","AccelBoardA","2200","NONE","NONE","0","1400","SummerEnemyA","NONE","1900","400"
"SummerEnemyB","1098","BeachTrap","SummerEnemyB","BeachTrap","AccelBoardA","3000","0","3300","0","900","SummerEnemyC","2400","NONE","NONE","0","1500","BeachTrap","NONE","1900","500"
"SummerEnemyC","1099","AccelBoardA","SummerEnemyB","SummerEnemyB","BeachTrap","3000","0","0","0","800","SummerEnemyA","2500","NONE","NONE","0","1400","NONE","NONE","1900","400"
"AccelBoardA","1100","SpeedTerritoryA","BeachTrap","SummerEnemyA","BeachTrap","3000","0","3400","0","900","SummerEnemyD","2300","NONE","NONE","0","1300","SummerEnemyB","NONE","1900","500"
"SpeedTerritoryA","1101","SummerEnemyB","BeachTrap","SummerEnemyA","BeachTrap","3300","0","0","0","1000","SummerEnemyB","2700","NONE","NONE","0","1600","NONE","NONE","2100","600"
"AccelBoardA","1102","SummerEnemyB","BeachTrap","BeachTrap","SummerEnemyA","2700","0","3000","0","900","SummerEnemyC","2300","NONE","SummerEnemyB","3400","1500","SummerEnemyA","NONE","1900","500"
"BeachTrap","1103","SpeedTerritoryA","SpeedTerritoryA","SummerEnemyB","SummerEnemyC","3300","0","3600","0","1100","SummerEnemyB","2800","NONE","NONE","0","1500","SummerEnemyC","NONE","1900","600"
"BeachTrap","1104","SummerEnemyA","SummerEnemyA","BeachTrap","SummerEnemyD","2600","0","2900","0","1000","AccelBoardA","2200","NONE","SummerEnemyC","3300","1400","SpeedTerritoryA","NONE","1800","600"
"SummerEnemyC","1105","SummerEnemyA","SummerJumpOverEnemyC","SummerJumpOverEnemyA","SummerJumpOverEnemyD","2800","0","3100","0","1000","SummerEnemyD","2400","NONE","SummerEnemyA","3500","1500","SummerEnemyD","NONE","1900","500"
"SummerJumpOverEnemyB","1106","SummerEnemyD","SummerEnemyD","SummerJumpOverEnemyC","SummerEnemyA","3100","0","3500","0","900","SummerJumpOverEnemyB","2500","NONE","NONE","0","1500","SummerEnemyC","NONE","2000","500"
"SummerJumpOverEnemyC","1107","SummerJumpOverEnemyA","SummerJumpOverEnemyB","SummerEnemyA","SummerJumpOverEnemyC","3400","0","0","0","1200","SummerEnemyA","2800","NONE","NONE","0","1800","NONE","NONE","2300","600"
"SummerJumpOverEnemyA","1108","SummerJumpOverEnemyC","SummerEnemyB","SummerJumpOverEnemyB","SummerEnemyD","3500","0","0","0","1000","SummerEnemyA","2900","NONE","NONE","0","1700","NONE","NONE","2400","500"
"SummerEnemyB","8001","SummerEnemyG","NONE","SurfC","ShellFlyingItem","0","0","0","0","1000","SummerEnemyG","3000","NONE","NONE","0","1300","NONE","NONE","2000","700"
"EnemyB","8002","SummerEnemyA","NONE","SurfC","SummerEnemyA","0","0","0","0","1000","SummerEnemyG","3000","NONE","NONE","0","1300","NONE","NONE","2000","700"
"SummerJumpOverEnemyA","8003","BeachTrap","SpeedTerritoryA","SurfB","SummerEnemyA","2500","0","2800","0","1300","BeachJumpOverTrap","2200","NONE","AccelBoardA","3100","1600","SpeedTerritoryB","NONE","1900","300"
"SummerEnemyA_NoColl","8004","SpeedTerritoryA_NoColl","WaterMelon","SurfB","BeachJumpBoard","3200","0","0","0","1300","WarpGateA","2200","NONE","NONE","0","1600","NONE","NONE","1800","300"
"SummerEnemyA_NoColl","8005","SpeedTerritoryA_NoColl","NONE","SurfB","Balloon","0","0","0","0","1300","NONE","0","NONE","NONE","0","2000","NONE","NONE","2400","300"
"SummerJumpOverEnemyA","8006","BeachTrap","SpeedTerritoryA","NONE","SummerEnemyA","1500","0","1800","3000","300","BeachJumpOverTrap","1200","SurfB","AccelBoardA","2100","600","SpeedTerritoryB","NONE","900","0"
"SummerEnemyA_NoColl","8007","SpeedTerritoryA_NoColl","WaterMelon","NONE","BeachJumpBoard","2200","0","3000","0","300","WarpGateA","1200","NONE","NONE","0","600","SurfB","NONE","800","0"
"SummerEnemyA_NoColl","8008","SpeedTerritoryA_NoColl","NONE","NONE","Balloon","0","0","0","0","300","SurfB","3000","NONE","NONE","0","1000","NONE","NONE","1300","0"
"NONE","8009","NONE","NONE","NONE","NONE","0","0","0","0","300","NONE","3000","NONE","NONE","0","1000","NONE","NONE","1300","0"
"WarpGateA","9990","BeachJumpBoard","NONE","AccelBoardA","AccelBoardA","0","0","0","0","1000","NONE","0","NONE","NONE","0","2000","NONE","NONE","3100","500"
"BeachTrap","9991","SummerJumpOverEnemyB","NONE","AccelBoardA","BeachTrap","3000","0","0","0","800","EnemyB","2500","NONE","NONE","0","1300","NONE","NONE","2000","500"
"SummerJumpOverEnemyB","9992","EnemyB","BeachTrap","AccelBoardA","SummerEnemyC","3300","0","0","0","1100","AccelBoardA","2800","NONE","NONE","0","1400","NONE","NONE","2100","500"
"SummerEnemyA","9993","AccelBoardA","SummerEnemyA","AccelBoardA","SummerJumpOverEnemyA","3300","0","3600","0","1200","SummerEnemyB","3000","NONE","NONE","0","2000","SummerEnemyA","NONE","2500","500"
"AccelBoardA","9994","AccelBoardA","AccelBoardA","WaterMelon","AccelBoardA","3000","0","0","0","1000","AccelBoardA","2500","NONE","NONE","0","1500","NONE","NONE","2000","300"
"BeachJumpOverTrap","9995","SpeedTerritoryA","SummerJumpOverEnemyA","SummerJumpOverEnemyA","EnemyB","3000","0","0","0","900","BeachJumpOverTrap","2600","NONE","NONE","0","1400","NONE","NONE","1700","500"
"AccelBoardA","9996","AccelBoardA","NONE","SummerJumpOverEnemyB","WarpGateA","0","0","0","0","700","NONE","0","NONE","NONE","0","1900","NONE","NONE","2700","400"
"SummerEnemyA","9997","ShellFlyingItem","NONE","ShaveIce","ShellFlyingItem","0","0","0","0","700","ShellFlyingItem","3600","NONE","NONE","0","1900","NONE","NONE","2700","400"
